,cid,votes,time,含hate,含hate中文翻译
7884,Ugw1TZW-s8jgOQWNj854AaABAg,1,2 years ago,"li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to show his personal talent as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi as a branch owner or a member of the branches under the strong political umbrella or a member of the strong political forces behind it. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director organizes an excellent team. the official pen and pen of the people who buy the water and margin society are all capable. ordinary people live in china, you put a small stall on the street, and you must also be very knowledgeable. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue. li ziyi, the social system of the communist wife, is very lucky.

before the reform and opening up after the cultural revolution, the urban and rural areas of china always retained the buildings and production and living models and status left by manqing. deng xiaoping sent water ghosts to taiwan's lianlian lin yifu from golden gate, and lin yifu broke the trick to subvert the world. since then, the chinese government has printed banknotes to exchange banknotes day and night. foreign trade subsidies are lower than cost -effective global economic aggression to destroy the european and american family industry light industry and become the world's richest ruling group. the dictatorship of 1.4 billion people has become the world hegemon. europe has been controlled by china today. the united states has died. china has been allowed to enter the city for a meager income forty years ago from forty years ago. the government ’s intentional day and night tofu residue project has accumulated the original agricultural workers’ blood -sweat. by now, the stock market housing market controlled by zhu rongji ’s son has repeatedly absorbed the hard -sweat of the national slave! high -speed transportation throughout the high -speed building everywhere, flicker inexplicable high -end consumption! excuse me, which brick tile belongs to you? you are just alive!

li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to play the personal talent as freely as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi to become a branch owner of the branch under the strong political umbrella or a member of the strong political forces behind it. it is really fate. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director's excellent team, and officials who buy all aspects of the society of the water and margin are all the skills. ordinary people, you have a small stall on the street, and you must also be very conscious. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue.","李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒天具有天才演技，也不可能长久地这样如纪录片展示自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演组织优秀的团队，恰到好处的买通水浒社会各环节的官吏笔笔都是大本领。普通人活在中国，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。共产共妻的社会制度李子柒是很幸运的。

文革后改革开放之前，中国城乡始终保留停留在满清留下来的建筑以及生产生活模式以及状态。邓小平派水鬼从金门接来台湾连长林毅夫，林毅夫一语道破颠覆世界的诀窍。从此中国政府日夜印刷钞票兑换欧元美金。外贸补贴低于成本全球经济侵略摧毁欧美家族工业轻工业从而成为世界最富有的统治集团。独裁集中十四亿人的血汗成为世界霸主。如今欧洲早已经被中国控制。美国已经亡国。中国遍地从四十年前开始，许可农奴进城用命换取微薄的收入。政府故意日夜豆腐渣工程积累最初的农工血汗，到如今朱镕基儿子管控的股市房市，反复猛烈吸纳国奴的血汗！遍地高楼大厦高速交通，忽悠莫名其妙的各类高端消费！试问，哪一块砖瓦属于你的呢？你仅仅是苟活而已！

李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒具有天才演技，也不可能长久地这样如纪录片展示的那样自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员，真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演优秀的团队，买通水浒社会各环节的官吏都是大本领。普通人，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。"
43040,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rjBWmgf7Kd,1,4 years ago,"can you believe that she was a dj years ago in china city ?'t hate your wife, not everyone is happy enough to live in the city",您能相信她是几年前在中国城市的DJ吗？但是她决定回到乡村照顾她的祖母，因为她的Grany太老了，无法独自生活。所以不要恨你的妻子，并不是每个人都很高兴生活在城市
6867,UgyreNtMVZQeXrquvRZ4AaABAg.9Kum6K17yQD9L4M3WFQ1Gl,1,2 years ago,internet haters are everywhere.,互联网仇恨者无处不在。
12657,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DaeKujLY-e,1,2 years ago,"i love how different people from all over the world, till there's racism.. still have no idea why people made such big fuss over race, nationality, or color. is not that what makes people unique in their own way? how human disrespect something so wonderful is just stupid and useless. the worst part is racism is already sensitive topic, and many people that want to support justice and spread equality that're only making statement in such a hateful manners which only pouring oil into fire, lets start by stop fighting hate with hate smh",我喜欢与世界各地的不同人，直到种族主义。.仍然不知道为什么人们在种族，国籍或色彩上大惊小怪。这不是什么使人们以自己的方式独一无二？人类多么不尊重如此美妙的事物是愚蠢和无用的。最糟糕的部分是种族主义已经是敏感的话题，许多想要支持正义和传播平等的人只在这种可恶的举止中发表声明，而只将石油倒入火中，首先让我们停止与仇恨与仇恨SMH作斗争
12667,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9E-JPYlQEiZ,1,2 years ago,"love all the comments straight up pretending racism doesn't exist and people magically compartmentalize their hate towards the government and there definitely hasn't been any personalized racism enflamed by the president of the united states deflecting his failures in a time of crisis.

rot in hell degenerates","爱情所有的评论直接假装种族主义并不存在，人们神奇地将他们对政府的仇恨划分了，而且在危机时期，美国总统肯定没有任何个性化的种族主义，在危机时期将他的失败偏转。

地狱中的腐烂"
12672,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EDbs9cVkUm,1,2 years ago,"guys chill, i don't hate chinese people, i just hate how chinese government threatens other countries and it's affecting us all that's it. 

i love my chinese friends xoxo","伙计们放松，我不讨厌中国人，我只是讨厌中国政府如何威胁其他国家，这对我们的一切影响。

我爱我的中国朋友xoxo"
6343,UgwH0fzfKDx0P-MjgOB4AaABAg,1,2 years ago,"something wrong with those who dislike this kind of video!! i can't understand why!!?? 
i love allllll the videos she makes...so peaceful and inspiring!! thank you for making them! ignore all haters....they are from lower realms!","那些不喜欢这种视频的人出了问题！！我不明白为什么！
我喜欢Allllll她制作的视频...如此宁静和鼓舞人心！谢谢您制作它们！忽略所有仇恨者。...他们来自下层领域！"
5836,Ugy1nBFREz_YBmiOYC54AaABAg,1,2 years ago,"i feel like this is how mankind should be. not this modernized, stressful world. where we already have everything planed out, school, college, work, marriage, retirement. in this society where everything runs in a system.

i fell like this is how we're supposed to be. working hard everyday, taking what we need from nature and preserving it. this is how it should be,not this crime filled world, where everyone just hates each other. it should us just spending our whole day fulfilling the basic necessities, but enjoying how peaceful it is. it's probably a lot harder than it seems. but it's seems much better than what we are living in now.","我觉得这就是人类应该的样子。不是这个现代化的，压力很大的世界。在我们已经计划的一切，学校，大学，工作，婚姻，退休的地方。在这个社会中，一切都在系统中运行。

我像这样跌倒了。每天努力工作，从大自然中获得我们需要的东西并保存它。这就是应该的方式，而不是这个充满犯罪的世界，每个人都彼此讨厌。它应该花一整天的时间来满足基本必需品，但要享受它的和平。这可能比看起来要困难得多。但这似乎比我们现在所居住的东西要好得多。"
12690,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EfYNpW5LBU,1,2 years ago,"china as an entity needs a bit of hate (i am chinese). as a country, the ccp have been right bastards

what people need to realize is that the chinese government and chinese people are two very different things","中国作为一个实体需要一些仇恨（我是中国人）。作为一个国家，CCP是正确的混蛋

人们需要意识到的是，中国政府和中国人是两个截然不同的事情"
13428,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9Czhuw9LllQ,1,2 years ago,@yzr1 when did i say i hate her i subscribed her,@yzr1我什么时候说我讨厌她我订阅了她
51198,UgwUp1TGihrnwx93kbp4AaABAg,1,4 years ago,wow superb i wish if i had this life..... plucking whatever necessary from my garden.... a care free life ..... with all those animals grandma..... it's one of a kind...... also i do have a request may i visit your place the very next time pls consider this,哇，我希望如果我有这个生命..... ....我也有一个请求
50350,Ugy30mvmJf3hQOjf60Z4AaABAg,1,4 years ago,"how can you get the small stove that can burn the fire like li ziyi in europe? i hate the days when there is no fire, but only cooking.",请问大家在欧洲如何才能弄到像李子柒用的那种可以烧火的小炉子啊，我恨透了没有火只有电做饭的日子。
49223,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qnDcZeNHSf,1,4 years ago,"hadess 
sounds like you had to distract yourself from whatever misery you are living in and piss at someone over some "" is a pencil a pencil.."" bullshit logic, just to feel ok about yourself...pity....pity.....","哈达斯
听起来您必须分散自己生活中的任何痛苦，而对某人的撒尿“是铅笔。 .."
14267,Ugw9KU9_5qXdYaUNr-14AaABAg.9AszEe3JgVV9AwTkg8oGsq,1,2 years ago,"so haters are always blind but speak louder, why don't you check her social account which almost sheard every moment about farming and making videos? oh sorry i forgot you are blind",因此，仇恨者总是盲目的，但大声说，为什么不检查她的社交帐户，几乎每时每刻都在耕种和制作视频呢？哦，对不起，我忘了你是盲人
13448,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9JeZyw-z4wL,1,2 years ago,@elandewatono842 kujawa is a japanese hater. they hate everything nice about china,@Elandewatono842 Kujawa是日本的仇恨者。他们讨厌中国的一切
46327,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r1kAyu-IQS,0,4 years ago (edited),"all chinese people love china. the opposition is generally opposed to the communist party. mainly the chinese ruling party treats ordinary people as slaves, and many people who go abroad obviously feel this. as a second -class citizen abroad, he is also a second -class citizen in china, so it is better to stay abroad. foreign abroad is the target of their citizens as the targets, and all the benefits are left to their citizens. china is the object of exploitation of the people as the target of the people. i don't understand. in china, how can a lot of charges be free to foreigners and charges the chinese. is china china, or chinese or chinese? if the chinese governments at all levels do not treat the chinese so much, the people will not be blame. that is, there is a problem with the chinese political system. the chinese government does not take the chinese people seriously, but the foreigners are favored by their ancestors. however, foreign governments spoiled their people to the sky and improperly incidents such as china. as a result, the chinese were not only bullied abroad, but also bullied in china. china's government, when to learn to respect their citizens, treat their citizens as their ancestors, let's talk about letting chinese love the party. i love china, but i absolutely hate the communist party. although the communist party has contributed a lot to china, the development of china's economy has great contributions. however, it is really unbearable to not see chinese citizens as a person. it is estimated that because it was not selected by citizens, they would not look at the people.",所有的华人都是爱中国的。反对的一般都是反对共产党。主要是中国执政党把老百姓当奴隶，很多出国的人明显这种感觉。在国外被当二等公民，在中国也被当二等公民，所以还不如留在国外呢。国外是把他们的公民当巴结的对象，什么好处都留给本国公民，中国是把百姓当剥削的对象，什么好处都给外国公民。我就不明白了，在中国，怎么很多收费的地方给外国人免费，对中国人收费，中国到底是外国人的中国，还是中国人的中国？如果中国各级政府再这么不把中国人当人看，百姓不反才怪。就是中国政治体制出问题了，中国政府不把中国老百姓当回事，却把外国人当祖宗宠上天。而国外的政府却把自己的百姓宠上天，把中国这种外来人不当回事。结果就是中国人不仅在国外受欺负，在中国也受欺负。中国这个政府，等什么时候学会尊重自己的公民，把自己的公民当祖宗来对待的时候，再来说让华人爱党不爱党吧。我爱中国，但是我绝对讨厌共产党，虽然共产党为中国也贡献了不少，中国经济的发展有他们很大的功劳。但是不把中国公民当人看，这点真让人忍无可忍，估计是因为不是公民选出来的，就不把百姓当人看。
33004,Ugxh8Mj3eotC4NEgh4h4AaABAg,0,4 years ago,"why would you not like this video? i mean, 8 thousands people hate this? she's amazing๐๐๐๐€. she cooks soo elegant, beautiful.",你为什么不喜欢这个视频？我的意思是，有八千人讨厌这个吗？她很棒。她煮优雅，美丽。
45759,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2zcEjnos8,0,4 years ago,"@razerblade9508 bro, calm down. name calling will make you a troll. and i am sure you have good intentions. there is nothing wrong with being aware and observant. casting blame and being curious are two different things. i was being curious. the signs were all there, i wanted more ideas, if there were any. at all. there is nothing wrong with that. as i said, i am not accusing anyone, i freely admitted that i really liked them, despite my curiosity. and obviously, i will watch them when i feel like it. abusing someone on virtual platform doesn't make you virtuous. i am courteous about her videos, they are spectacular and her fans. even you. you went up on arms about nothing. i wished you actually had read and understood what i wrote. but that's not in my control. i think i have said all i needed to say. but you will obviously think whatever you want to. your prerogative. and you have done it beautifully. now that's sarcasm. wish you would learn it properly. but brother, chill. i wish the best to you.",@razerblade9508兄弟，冷静下来。名称通话将使您成为巨魔。而且我确定您有良好的意愿。意识和观察没有错。归咎于责备和好奇是两件事。我很好奇。这些迹象都在那里，如果有的话，我想要更多的想法。根本。没有什么不妥。正如我所说的，我没有指责任何人，我自由地承认，尽管我好奇，我还是真的很喜欢它们。显然，当我喜欢的时候我会看他们。在虚拟平台上滥用某人并不会使您善于良好。我对她的视频很有礼貌，他们是壮观的，她的粉丝。甚至你。您一无所有。我希望您实际上已经阅读并了解了我写的内容。但这不是我控制的。我想我已经说了我需要说的。但是您显然会想到什么。您的特权。而且您做得很好。现在是讽刺。希望您能正确学习。但是兄弟，寒意。祝你一切顺利。
50532,Ugy8jGxtC7703x2LyYd4AaABAg,0,4 years ago,"look really like. everything has, whatever vegetables have ...",看起来真的很像。一切都有，无论蔬菜有什么...
45768,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9LsiHdSCf,0,4 years ago,"@designqq8905 hmm. okay, i see where my comment singed you. let me make it clear that you are reading a lot of things into it. no, i don't mean that if i see a joint project by china, i should jump to the conclusion that it is propaganda. that's your interpretation, i hope that you will admit your mistake when you see it. because that's not what i meant. 
when i said, 'knowing i shouldn't, if you are right....', i meant that i wouldn't disrespect or disregard or be ignorant of the hurt it might cause people who know the truth, whatever it may be, since i have no access to it, which is why, the former comment was followed by my desire of confirmation. don't conveniently choose to see one part and ignore the other. 
i can see your point that the subtitles are inconsistently strewn over videos, and had it been truly propaganda, it would have been differently so. wish you had said it sooner. 
as for me asking you to read the thread, i truly believed you didn't. since your comment about semantics was wrongly placed. i was talking about my language. however, i didn't mean to condescend to you, and if you felt bad about it, then i apologize. hope you will accept it. if you feel that, that was my intention, let me assure you it wasn't. and no, i don't mean that just because you belong from china, i see all chinese people that way. you have absolutely no grounds to base that upon. i merely enquired about it. and i am having a reasonably calm discussion with a stranger on a dangerous virtual platform, does that indicate that i am putting everyone in the same category? as for technology, i know for a fact that she has an imac, a professional editing machine. she edits her own videos. before you twist that as well, let me make it clear that she doesn't do it on her phone, is all i am saying. i can't help but feel like a lot of your feelings about my comments are culled from your perception of how the world sees china. and please stop seeing it from the angle that i am criticizing her videos. i can't press enough on the fact that i never did. i am very glad to know that she is a positive source of inspiration for the people of china. so please, i insist you stop dragging that cat through the mortar. i have been courteous to you, and apologized if your sentiments were hurt. i will have to request you stop misinterpreting my every word. and you did read things that you wanted to read. since i didn't mean them, i know i am speaking the truth. 
yes, every country does try to promote itself, and i will wager that a lot of it is actually propaganda. my country does it, so does the others. the difference is that the people have a right to prove them wrong on a public platform. we have the right to criticize them openly and call them on their misrepresentation. and here, the remark is about the government, not your culture or people. 
finally, i will reiterate that my intention was not to hurt your feelings. you think there was an ulterior motive. there wasn't. you think that i think the apples don't fall far from the tree. i don't. and my deduction was just that, presence of a crew. that could indicate a joint project of a political nature, but in this case, as you rightly suggested, it doesn't, since the subtitles are spare. 

now, i am tired of explaining things again and again. i hope you understand. and good day.","@DesignQQQ8905 hmm。好吧，我看到我的评论在哪里唱歌。让我清楚地表明您正在阅读很多东西。不，我并不是说，如果我看到中国的联合项目，我应该得出这样的结论：这是宣传。那是您的解释，希望您在看到错误时会承认自己的错误。因为那不是我的意思。
当我说：“知道我不应该，如果你对... ，由于我无法访问它，这就是为什么，前者的评论之后是我对确认的愿望。不要方便地选择看到一部分而忽略另一部分。
我可以看到您的观点是，字幕在视频上不一致，如果确实是宣传，那将是不同的。希望您早日说。
至于我要你阅读线程，我真的相信你没有。由于您对语义的评论被错误地放置了。我在谈论我的语言。但是，我并不是要屈服于您，如果您对此感到难过，那我深表歉意。希望你会接受。如果您觉得那是我的意图，让我向您保证不是。不，我并不是说仅仅因为您属于中国，我都会看到所有中国人。您绝对没有理由以此为基础。我只是询问它。而且我正在与一个危险的虚拟平台上的陌生人进行相当平静的讨论，这是否表明我将每个人都属于同一类别？至于技术，我知道她拥有一台专业编辑机器的iMac。她编辑自己的视频。我只说，在您扭转这一点之前，让我清楚地表明她不在手机上做到这一点。我忍不住想像您对世界如何看待中国的看法，您对我的评论的许多感觉都被淘汰了。并且请不要从我批评她的视频的角度看到它。我从未做过的事实不足。我很高兴知道她是中国人民的积极灵感。所以，我坚持要你停止将那只猫拖到砂浆上。我对你很有礼貌，如果你的情绪受伤，道歉。我将不得不要求您停止误解我的每个单词。您确实阅读了想阅读的东西。由于我不是他们的意思，所以我知道我在说实话。
是的，每个国家都试图提升自己，我会敢打赌，其中很多实际上都是宣传。我的国家也这样做，其他人也这样做。不同之处在于，人们有权在公共平台上证明他们是错误的。我们有权公开批评他们，并致电他们的虚假陈述。在这里，言论是关于政府的，而不是您的文化或人民。
最后，我将重申我的意图不是伤害您的感受。您认为存在别有用心。没有。您认为我认为苹果不会落在树上。我不。我的推论就是，船员的存在。这可能表明一个政治性质的联合项目，但是在这种情况下，正如您正确建议的那样，这不是，因为字幕是备用的。

现在，我厌倦了一次又一次的解释。我希望你明白。和美好的一天。"
49258,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8tvkM5-Dn6N,0,4 years ago,@allisgoodallisbad haters' gonna hate. and haters love to call other people miserable because they're too scared to be loner. haters are so pitiful!,@allisgoodallisbad仇恨者会讨厌。仇恨者喜欢称呼其他人痛苦，因为他们太害怕了，无法孤独。仇恨者是如此可怜！
32081,Ugy7aZeRz73Mm7s89pJ4AaABAg,0,4 years ago,"itโ€s fried sunflower seed 
no hate. just tryna clear up any 
confusion","这是炸向日葵种子
不讨厌。只需tryna清除任何
困惑"
46416,Ugyce_WKO4Zj_806WQR4AaABAg,0,4 years ago,though i love the rogramme i unsubscribed the chennel coz i hate the content of harming,尽管我喜欢Rogramme，但我取消订阅了Chennel的订阅，但我讨厌伤害的内容
48283,UgwBblU4QoNakBytV7p4AaABAg.8qnEvWoqSAp8qpmqIGz7eE,0,4 years ago,"i enjoy her vids as much as the next. but to say that she brings hope to peace on earth is just plain stupid. she is human. i don't know her as a person and i don't need to. she makes awesome vids and i respect her for that. whatever she does besides this, is her choice and her life. you want the world to be better? start with yourself.",我和下一个一样喜欢她的视频。但是要说她给地球上的和平带来了希望，这简直是愚蠢的。她是人类。我不认识她，我不需要。她做了很棒的视频，我为此尊重她。除此之外，她的选择是她的选择和生活。您希望世界变得更好吗？从自己开始。
31068,UgxOJsLJ4L4S2k0eS2V4AaABAg,0,3 years ago,this is honestly how everyone is supposed to be living..... but whatever........,老实说，这是每个人都应该生活的方式.....但是无论如何........
47936,UgyJnMBXJEgxvE1ZmfB4AaABAg,0,4 years ago,"because this channel changed the way of the village, so my inspiration was to go home from farming, i was in college when i finished returning home for plants or whatever it was not yet wide enough to the land of my ancestors because the original population, yeah it was easy this hoby hoby
,indonesia","因为这个频道改变了村庄的方式，所以我的灵感是从耕种回家，所以我在大学返回植物的家中，或者尚未足够宽的植物，因为原始人口，原始人口，是的，这很容易
，印度尼西亚"
31682,UgyA8C2ITYticE0pq954AaABAg,0,4 years ago,"i just broke up with my boyfriend last night and this is the first thing i watched in the morning..


damn, i need to go there liziqi! i need a time to move on and be productive rather than crying 
:(( hahaha i can help in whatever lol","昨晚我刚和男朋友分手，这是我早上看的第一件事。


该死的，我需要去那里liziqi！我需要一个时间继续前进并提高生产力而不是哭泣
：（（哈哈哈，我都可以帮助您大声笑"
47564,Ugw0WJqimk7gqAGNw4N4AaABAg,0,4 years ago,chinese new year celebrations prep. good work. i wish she lived in my neighbours and i would happily eat whatever she cooks.,农历新年庆典准备。做得好。我希望她住在我的邻居里，我会很高兴吃她做饭的东西。
45209,UgzTCXyKQeyX7chJclt4AaABAg.8r79rCByiEq8rBGEiB-UVW,0,4 years ago,"m c so? the fact is you who can't stand another indian praising china. so you spread hate, you even tried to convince this beautiful video isn't chinese!!",m c那么？事实是您不能忍受另一个印度赞美中国的人。因此，您传播了仇恨，您甚至试图说服这个美丽的视频不是中文！
47881,UgwyC6a_O9lU1s9Lj_14AaABAg,0,4 years ago (edited),"shoufu the girl, hi shlon shater",shoufu女孩，嗨，shlon shlon
45744,UgxUj0ejc9LePw1LaLR4AaABAg,0,4 years ago,i hate you fridge!,我恨你冰箱！
34362,Ugzy0E0FHCpS3XjuIGt4AaABAg,0,4 years ago,"i cannot actually fathom how this deserves like 8k dislikes. whatever grosses people out about just watching a simple story, it escapes me.",实际上，我无法理解这一值得8K不喜欢的人。无论人们看一个简单的故事，人们都逃脱了我。
