,cid,votes,time,含grandma,含grandma中文翻译
18217,Ugy2ok8NycQJZP-Yn3t4AaABAg,0,3 years ago,she loves her grandma,她爱她的祖母
13057,Ugxictra8ptEWLTWgE14AaABAg,0,2 years ago,she covered her grandma's ear but was more surprised xa,她遮住了奶奶的耳朵，但更惊讶XA
20363,UgyEQFj_kTkK1_yZeud4AaABAg,0,3 years ago,more grandma and the lamb that follows you around !,更多的奶奶和跟随您的羔羊！
21026,UgxTKPI3W9B6axNSXYF4AaABAg,0,3 years ago,i love her and her grandma โค๏ธโค๏ธ,我爱她和她的祖母❤️❤️
20926,UgzHNTjxQKMKZwwRVdl4AaABAg,0,3 years ago,"dear liz,

after seeing your vedios the bonding that you have with your grandma reminds me of my grandma and the precious time of my childhood that i spent with her .

your are lucky and i wish you and your grandma longlive and you remain the same as you are .","亲爱的丽兹，

在看到您的Vedios之后，您与祖母的联系使我想起了我的祖母以及我和她一起度过的宝贵时光。

您很幸运，我希望您和您的祖母longlive和您保持不变。"
20894,UgwBggIZFzkLlCpyjGd4AaABAg,0,3 years ago (edited),"i believe this is what it means to rich! not a mansion, maids, and a chauffeur. love how liziqi and her grandma chat and laugh all the time. love your videos very much! i have watched alot of them more than once. thank you. bless you and your grandma! happy 2020!",我相信这就是富人的意义！不是豪宅，女佣和司机。喜欢Liziqi和她的奶奶聊天并一直笑。非常喜欢您的视频！我已经不止一次地看着他们。谢谢。祝福你和你的祖母！ 2020年快乐！
20840,UgxNzwu2ejuMN8PCv494AaABAg,0,3 years ago,"you are so wonderful to your grandma , love your videos โฅ๏ธโฅ๏ธ",你对祖母真是太好了，爱你的视频♥谢♥♥
20778,UgxzZ7GWN9eXMYzE_kR4AaABAg.94COe8GfzpC94HWm2qdRot,0,3 years ago,"she used to do it herself , filming and editing. sometimes her grandma or uncle would help her hold camera. when she got popular lot ppl start to question her authenticity, wondering how could she produced such wonderful films herself. so some ppl even made up that she was a production of some pro entertainment company. these controversies have hit her hard. she stopped for a while, then restarted. this time she hired ppl to form her own team. she said since ppl always suspected there were other ppl filming for me, then i might as well do that, so i don't have to be so tired going back and forth many many times for 1 shot. she is truly a amazing lady, if you have time can probably read her story. :)",她曾经自己做，拍摄和编辑。有时她的祖母或叔叔会帮助她握住相机。当她受欢迎时，PPL开始质疑她的真实性，想知道她如何自己制作如此精彩的电影。因此，有些人甚至组成了她是一些职业娱乐公司的作品。这些争议使她震惊。她停了一会儿，然后重新开始。这次，她聘请了PPL组成自己的团队。她说，既然PPL一直怀疑我还有其他PPL拍摄给我，那么我也可以这样做，所以我不必那么累了很多次，而是一枪。她确实是一位了不起的女士，如果您有时间可以读她的故事。 :)
20738,Ugz7RoVKrbtCVq7KRXN4AaABAg,0,3 years ago,"all my best wishes for you and your grandma, liziqi.",我对您和您的祖母Liziqi的最愉快的祝愿。
20707,UgwXFnE3H-Cpnzi7W3p4AaABAg,0,3 years ago,๐’•๐ธ๐’•๐ธ๐’•everything you create is beautiful. so colorful and your house must smell delicious every day!! ๐ธ๐ฑ๐ธi wish my iphone screen were scratch n sniff so i could smell what youโ€re cooking!! you are so cute so beautiful!! and your grandma โ€”precious!! ๐’•๐ธ๐’•๐ธ๐’•๐ธ๐’•๐ฑ๐น๐,您创造的一切都很漂亮。如此丰富多彩，您的房子每天都必须闻起来美味！！我希望我的iPhone屏幕刮擦，所以我可以闻到您正在烹饪的东西！你真可爱！还有你的祖母 - 朴素！
20643,UgxlXcPSeAkR1150-i54AaABAg,0,3 years ago,i love u grandmaa from india,我爱你来自印度的奶奶
20635,UgwqEW_adTFr-ZQDQJl4AaABAg,0,3 years ago,this is the world's best taken care of grandma.,这是世界上最好的照顾奶奶。
20594,UgzwTCdbEmh3g3019154AaABAg,0,3 years ago,i love our videos...from a small village in india.....u r so active...ur grandma is so cute...,我喜欢我们的视频...来自印度的一个小村庄.....你是如此活跃...你的祖母真可爱...
20584,UgxJfs_yGpF5M5DMa0p4AaABAg,0,3 years ago,her grandma must adore her! this is true slow living at it's best !!!!! love it!,她的祖母必须崇拜她！这是真正的慢速生活！！！！爱它！
20141,UgzsiNrWADXq9kN_-RF4AaABAg,0,3 years ago,grandma has the best hats,奶奶有最好的帽子
18288,Ugya-earT300FcQi1PZ4AaABAg,0,3 years ago,girl and grandma love you,女孩和奶奶爱你
19692,UgyovT6KZ3C3oi0L86t4AaABAg,0,3 years ago,lol.....she is jumping ....but grandma is quite enough,大声笑.....她在跳...但是奶奶已经足够了
19656,UgyOkaUy0oILhW8ktkF4AaABAg,0,3 years ago,"does anyone else wanna pick her up and throw her into a disney movie when she pops around the corner at the end, then jumps out and shows what she has in her hands to her grandma? also anyone have the uncontrollable urge to jump through the screen and protect her at all costs? no? just me? ok",还有其他人想把她带到迪斯尼电影的拐角处，然后跳出来，向祖母展示她的手中的东西吗？另外，任何人都有无法控制的冲动跳过屏幕并不惜一切代价保护她吗？不？只有我？好的
19630,UgwwLUNz879EOhJOWkR4AaABAg,0,3 years ago,hi liziqi. i really love all you videos and i fall in love china because of what saw in your videos..i hope you will continue prosper. i really love to see u in real and visit your place but i dont know if that is possible. i wish you all the best and may the almighty god keep you safe and ur grandma always.. xxx,嗨，liziqi。我真的很喜欢你所有的视频，而且我爱上了中国，因为你的视频中看到了什么。我希望你能继续繁荣。我真的很喜欢见到你并参观您的住所，但我不知道这是否可能。祝你一切顺利，愿全能的上帝永远保持安全和祖母。
19276,UgybvxQIme0rs-iNcwR4AaABAg,0,3 years ago,i hope she and grandma are ok.,我希望她和奶奶还可以。她已经一段时间没有上传了。
18909,Ugw7Rl5ymaZ6CIt_bAR4AaABAg,0,3 years ago,i miss china so muchhh after seeing your video. it makes me miss all the good food my grandma would cook for me,看到您的视频后，我非常想念中国。这让我想念祖母为我做饭的所有美味佳肴
18704,UgxApyluJLS97sMSbKh4AaABAg,0,3 years ago,she's so sweet to her grandma i can't-,她对奶奶真是太可爱了 -
18683,UgxqwAu23B_5nJ-JLnN4AaABAg,0,3 years ago,i like grandma and granddaughter happily ^_ ^,喜欢 奶奶 跟 孙女 快乐的样子 ^_^
18393,UgzO6LR1GcYQNdeZDpt4AaABAg,0,3 years ago,grandma will have bran urine when eating this! grandma ve,老奶奶吃这个会得糠尿病的！ Grandma ve
18371,UgwcVzQMfzX0Aqc9lDJ4AaABAg,0,3 years ago (edited),"hay... i love to see you videos.. this video so special for me.. i wacth this so many times.. i hope i can practice someday,, so i pray that god bless you & your grandma.. ❤'t wait to see booth of you..❤",干草...我喜欢看你的视频..这个视频对我来说太特别了..我这么多次..我希望我有一天可以练习，所以我祈祷上帝保佑你和你的祖母。
18343,Ugziud3BiatXCUjuiyl4AaABAg,0,3 years ago,god bless your elders. is that you grandma? they taught you well. you are an expert at what you do...,上帝保佑你的长者。那是你奶奶吗？他们教你很好。您是您所做工作的专家...
18310,UgwrZnsVsJ6sL3Aps5p4AaABAg,0,3 years ago,red cute grandma's winter cap,红色可爱奶奶的冬季帽
13175,UgyJX7C2wku6VEW1SUF4AaABAg,0,2 years ago,"all very magnificent, kisses to the most beloved grandma in the world, she is beautiful, congratulations on v c being a genius",一切都很宏伟，亲吻了世界上最受欢迎的祖母，她很漂亮，恭喜V C是一个天才
12989,UgxEwKJ50uXCNIpvC654AaABAg,0,2 years ago,wow nice garden.and amazing recipe's. grandma really very lucky.sister god bless you abundantly. love you sister from india,哇，不错的花园和惊人的食谱。奶奶真的很幸运。上帝上帝祝福你。爱你来自印度的妹妹
21308,Ugy9x9vaQK4_0MayN4R4AaABAg,0,3 years ago,wish i could be her grandma:),希望我能成为她的祖母:)
2766,Ugx8JDn0Q7QI1GTJdaR4AaABAg,0,1 year ago,"very inspirational, as usual. but i wonder, how could you have everything planted in your farm land? your grandma has so vast farm land",像往常一样非常鼓舞人心。但是我想知道，您怎么能在农田中种植所有东西？您的祖母拥有如此庞大的农田
5306,Ugz5nN7QSgeZYGObeOx4AaABAg,0,1 year ago,wishing someday i could meet her and learn how cook her dishes and dessert. love her vlog. she’s good granddaughter and loves her grandma,希望有一天我能遇到她，并学习如何烹饪她的菜和甜点。爱她的视频博客。她是个好孙女，爱她的祖母
5108,UgzkCZMpLheEt6uY5nB4AaABAg,0,1 year ago,good morning how beautiful this love for your grandma,早上好，对你奶奶的爱有多美丽
4953,UgzmvNvpBtYa4gu0N5R4AaABAg,0,1 year ago (edited),"ahhh so cute 3 cutie pies are runnig behind you...in the first
allah will give you and your grandma and your cute dogs to live more than 2000 years
insha allah....","啊，如此可爱的3个可爱的馅饼在你身后奔跑...在第一个
真主会给你和你的祖母和你的可爱狗，以超过2000年的生活
英沙真主...."
4895,Ugxj7pNxI8QDRuMUei94AaABAg,0,1 year ago,please from where you are? i love to see your videos with your beauty grandmama,请你在哪里？我喜欢与您的美容祖母一起观看您的视频
4819,UgyHZ-YR4cvlEjOD6XZ4AaABAg,0,1 year ago,grandma must really enjoy this life style,奶奶必须真正享受这种生活方式
4721,UgxUK8Pvz_-Wy7D7Yw14AaABAg,0,1 year ago,hmmm yummy i like u the way you love your grandma god bless you.,嗯，美味，我喜欢你的爱你的奶奶上帝保佑你。
4206,UgygEDkUpFMAV-ZNPg14AaABAg,0,1 year ago,beautiful girl n beautiful grandma!,美丽的女孩n美丽的奶奶！
3731,UgziqjQqhIdru4BMBmF4AaABAg,0,1 year ago,"you are the greatest woman l have ever seen. you are devoted, kind, loving, dedicated, truthful, hard working, dedicated to your demands, inherited your ansters gift that you got great job on all you do to show this world the great gift you have l truly admire you , your foods, your talent, your contribution to this world. you are truly amazing and l can't find the perfect words to describe you but you are special my child god bless you with all your talent l watch all your videos and always amazed with your talent wish l could eat some if those delicious foods too with your grandma so loving bye my friend",你是我见过的最伟大的女人。您忠于，善良，充满爱心，敬业，诚实，努力工作，致力于您的要求，继承了您的Ansters礼物，您在向这个世界展示您拥有的伟大礼物上所做的一切都非常佩服您，您的食物，您的食物，您的食物，您的食物，您的才华，对这个世界的贡献。你真是太神奇了，我找不到描述你的完美词，但是你很特别，我的孩子上帝保佑你所有的才华l观看你的所有视频，并且总是对你的才华希望我能吃些美味的食物，如果那些美味的食物也可以吃些和你的奶奶如此爱见我的朋友
3647,Ugy8_HNyRXjLaEIjp4l4AaABAg,0,1 year ago,hi omg i love your vidoes i hope you and your grandma have an amazing time!!! love you,嗨，天哪，我爱你的视频，希望你和你的祖母度过了愉快的时光！！！爱你
3441,Ugx3XMl_BNZ2m15bgYt4AaABAg,0,1 year ago,"we see your grandma, but where is your mom?",我们看到你的祖母，但是你妈妈在哪里？
2836,UgyT-7zSw3QLks5_lKd4AaABAg,0,1 year ago,wow the whole setup was so fun..... fruit candies fire cute little puppies and sheep.... mountains greens grandma cute chef.... just so beautiful and nice,哇，整个设置真是太有趣了.....水果糖果射击可爱的小幼犬和绵羊....山脉绿色奶奶可爱的厨师....真漂亮又漂亮
2337,UgzLxSNrDCGQvpqgRoh4AaABAg,0,1 year ago,"i love that. so relaxing. but it takes away the magic that you can see, that this is not the grandma. this is a young person with too much clothing. eh? why?",我喜欢那个。如此放松。但是它消除了您可以看到的魔力，这不是奶奶。这是一个年轻人，穿着太多衣服。嗯？为什么？
6245,UgwH2I4_kAfb7o0XJZh4AaABAg,0,2 years ago,she treats are grandma like a baby ☺️,她的待遇是奶奶，就像一个婴儿☺️
2002,UgxF-uGueLBK6knjW8t4AaABAg,0,1 year ago,you love your grandma alot,你爱你的祖母
1956,Ugx7Yo18mRU9LRUXQ4R4AaABAg,0,1 year ago,i feel good to see grandma and xiaoyi get along,看到奶奶和小柒的相处感觉很好
1808,UgysVdsRjHRSJr6Fxst4AaABAg,0,1 year ago,her grandma didn't even flinch to the sound of the popcorn,她的祖母甚至都没有屈服于爆米花的声音
1763,UgyxKLu5aQ8JBucK8iR4AaABAg,0,1 year ago,hi lizigi and grandma i love popcorn,嗨，利兹吉和奶奶，我爱爆米花
1482,UgwUqhj4JEwWTfDSw6J4AaABAg,0,11 months ago,this is super video i like this video and my grandma like this video,这是超级视频，我喜欢这个视频，我的祖母喜欢这个视频
1203,UgxA86oxW0uM8F5jwSd4AaABAg,0,9 months ago,your video giving me inspiration and positivity hope my wishes and prayers reaches to you too and ur grandma,您的视频给了我灵感和积极性，希望我的愿望和祈祷也能传达给您，您的祖母
1077,UgxM1ZPTvG0M0HqpaP14AaABAg,0,8 months ago (edited),"love the attention to grandma,beautiful vid.where have u been,never got any notifications from u tube,had to search and by accidnet found you again,needed these vids so much for stress relief.",热爱对奶奶的关注，美丽的vid。您去过的地方，从未收到U Tube的任何通知，不得不搜索，被accidnet再次找到您，需要这些vids，以缓解压力。
829,UgyS8GmY3d8kM2WYwKl4AaABAg,0,6 months ago,good night very good to see you cook do these candy that delights you are excellent person your very beautiful work you are beautiful grandma ê beautiful looks with god,晚安非常高兴看到你做饭做这些让你很棒的糖果，你真是你非常漂亮的作品你是美丽的奶奶grand
699,UgxkaVk1eRzOnWFDso14AaABAg,0,5 months ago,not much chance of grandma's head being cold,奶奶的头很冷的机会很少
580,UgyLY6MnCmosJJ8uubt4AaABAg,0,4 months ago,i miss you and your grandma.,我想念你和你的祖母。
541,Ugzt1A86H7ZvMjnmzUZ4AaABAg,0,4 months ago,i miss you grandmather,我想念你祖母
5796,UgzY6KK_ewzt5VqV0OZ4AaABAg,0,2 years ago,u have a peaceful life and sweet u will having fun with grandma and grandpa,你有一个和平的生活，甜蜜的你会和奶奶和爷爷
6934,UgyapdsfYNhAYW9STIN4AaABAg,0,2 years ago,wow i think it's beautiful the affection she has for the grandma,哇，我认为她对奶奶的感情很美
12525,UgzcIywCFeeT7eK27cJ4AaABAg,0,2 years ago,"filial piety, cherish blessing, not losing the heart of the red, rare, but if you take grandma, mother -in -law, when your successful pedal, you will be retributed by cause and effect. careful, come on, come on, come on",孝心，惜福，不失赤子之心，难得，但是，如果，拿奶奶，婆婆，当妳成功的踏板，就要受因果报应，慎之，加油
10735,Ugz7uIzepq8Y_53BLbt4AaABAg,0,2 years ago,her dado( grandma) look so cute in a caot.,她的父亲（奶奶）看起来很可爱。
12466,Ugws3N66huVpHBtgi3p4AaABAg,0,2 years ago,congratulations li ziqui you're wonderful with your grandma... god see you and he's very happy with you!!!,恭喜李Ziqui，你和你的奶奶很棒...上帝见到你，他对你很高兴！！！
12231,UgxMhzXVDFH8nVylhzd4AaABAg,0,2 years ago,"the last dialect is really kind, my mother -in -law asked the dog with a smile, i thought my aunt and grandma qaq",最后的方言真的好亲切，婆婆那种带笑问狗那儿我就想到我姑婆和奶奶了qaq
12180,UgypySeM0AnOjFBmdIl4AaABAg,0,2 years ago,i love her grandma’ hat ; so cute,我爱她奶奶的帽子；太可爱了
11967,UgwvVLVUo_fyzjlhgwZ4AaABAg,0,2 years ago,"this was an amazing video!
it's an awe inspiring beautiful, & timeless representation of how families continue to use longstanding recipes to intice & inspire their children..and their children's children..to pass these traditions on to generations to come! 
the video is well produced & makes one long for simpler times when you & your family actively worked the land to provide for your family, & countless others in the neighborhood & in the community. 
many of their traditions are thousands of years old & just prove that instant gratification isn't always the most appreciated. 
now! i'm worried about your grandma! 
thank you both for sharing your world with other societies who are dumbstruck by your experience & attention to detail. simple... yet intricate.
.","这是一个了不起的视频！
这是一个令人敬畏的美丽而永恒的表现，表明家庭如何继续使用长期使用的食谱来掌握和启发他们的孩子。.将这些传统传给后代！
当您和您的家人积极地为您的家人提供土地，以及社区和社区中的其他其他人时，该视频的制作良好，并使您和您的家人积极地为您的家人提供土地时，使一个漫长的时间变得更加简单。
他们的许多传统已有数千年的历史，只是证明即时的满足并不总是最受赞赏的。
现在！我担心你的祖母！
感谢您俩与其他社会分享您的世界，这些社会因您的经验和对细节的关注而笨拙。简单...尚未复杂。
。"
11876,UgxZaZT429BVi8nE1eh4AaABAg,0,2 years ago,she care her grandma very good๐โบ๏ธ,她关心奶奶非常好
11494,Ugzjb0iN6xiLhRTv2H94AaABAg,0,2 years ago,you really really love your grandma,你真的很喜欢你的奶奶
11402,UgyLYxtwShAVokrYEAh4AaABAg.9EfGUqHKVVU9EiJUKCl0cp,0,2 years ago,uncle's ears? you are talking about her grandma lol lol,大爷的耳朵？你说的是她奶奶吧lol
11312,UgwAKSLs5WID4dyiwx54AaABAg,0,2 years ago,her grandma is her no. 1 fan. โค๐๐๐,她的祖母是她不。 1个粉丝。 ❤
11283,UgyeM9efLZWoEpdBUQ94AaABAg,0,2 years ago,"like grandma's hat, haha",像奶奶的帽子一样，哈哈
11130,Ugwc2E5Gt5k-XAvVSpR4AaABAg,0,2 years ago,iโ€m jealous of her grandma ๐๐๐,我嫉妒她的祖母
11107,UgyolF9iqwcfmWoBjlN4AaABAg,0,2 years ago,your grandma very smart,你的奶奶很聪明
10592,UgyuGZzyLWMyHAxojBJ4AaABAg.9Fnf4y_TLaN9H-zxh3oJ17,0,2 years ago,and grandma didn't even bat an eyelid ๐,而且奶奶甚至都没有击打眼皮
6963,UgwX430-rmD22LPsVBt4AaABAg,0,2 years ago,she is special yes i think she was a poor child and she had to survive ...so she must learn to do things alone she is lucky to live with her grandma people can understand only if they live the situation i was homeless so i know what it is some days no food so i know what is now i see people in the street so i know when they a hungry...,她很特别的是，我认为她是一个贫穷的孩子，她必须生存...所以她必须学会一个人做事，她很幸运能和奶奶生活在一起，只有当他们生活在我无家可归的情况下，我知道有时候没有食物，所以我知道现在有什么我在街上看到人们，所以我知道他们什么时候饿了...
10475,Ugz4AzN1v2hj84Gb87p4AaABAg,0,2 years ago,i want to be her grandma,我想成为她的祖母
10204,Ugw85YfvUm5EQQdFzAt4AaABAg,0,2 years ago,07:46 the grandma's hat is so cute,07:46奶奶的帽子是如此可爱
10022,Ugw5wJimfhgFUI_vOHx4AaABAg,0,2 years ago,her grandma ๐‘ต is very lucky โค,她的祖母很幸运❤
9542,UgzC5ApObwG5LCcDAYR4AaABAg,0,2 years ago,i want to be her grandma,我想成为她的祖母
9216,UgyPPUHUU4k1Qp7DpqJ4AaABAg,0,2 years ago,"grandma is in what elegant hat, too, the new year was going to celebrate! is it interesting for a granddaughter or daughter?",奶奶也戴着什么优雅的帽子，新的一年要庆祝！对于孙女还是女儿来说这很有趣？
9151,Ugwspho7XhnYR3FL0Jd4AaABAg,0,2 years ago,"i love your vídeos and your pets, your grandma",我爱你的vídeos和你的宠物，你的祖母
8565,UgyTVGVfcThAMtiDQOx4AaABAg,0,2 years ago,"liziqi and grandma only live alone, then he cooks that much for who",利兹奇和奶奶只独自生活，然后他为谁做了那么多
7752,Ugya5SDk3js61SQmQgh4AaABAg,0,2 years ago,"she's so beautiful inside and out...and make the world seems beautiful, too..even her little grandma so adorable",她的内在和外面都很漂亮……使世界看起来也很美。。
7679,UgwgpH8C8sHuB-lO3m94AaABAg,0,2 years ago,your grandma was so cute,你奶奶真可爱
7614,UgwBhT7NKdWXfPHcEX14AaABAg,0,2 years ago,where are you...i miss you and grandma so much...,你在哪里...我非常想念你和奶奶...
7190,UgyBDUwjkzvHoGca3Ed4AaABAg,0,2 years ago (edited),"it reminded me of my mum living in the village surrounded by mountains. obviously she made it looked effortless and more beautiful, but alot of the things she did i remember mum use to do. like get bamboo from the mountains, grandma used to pick berry from the mountain for me as a treat while gather wood for cooking. even the kitchen looks the same, and i remember our village was surrounded by rice fields. everything they need they can get from the land around them.",它让我想起了我住在山脉包围的村庄的妈妈。显然，她看起来很轻松，更美丽，但是我记得妈妈曾经做过的很多事情。就像从山上得到竹子一样，奶奶曾经从山上挑选浆果作为零食，同时收集木材做饭。甚至厨房看起来也一样，我记得我们的村庄被稻田包围。他们需要的一切都可以从周围的土地上得到。
21170,UgyLGbInsZWv2lZOksh4AaABAg,0,3 years ago,"hi ziqi, i am touched and so happy for you, this is my first comment in youtube. best wishes to you and your grandma. and i hope my daughter will be happy forever too.",嗨Ziqi，我很感动，为您感到高兴，这是我在YouTube中的第一个评论。祝您和您的祖母最大的祝愿。我希望我的女儿也会永远幸福。
21545,Ugyf9vx4rE4oqquo2IZ4AaABAg,0,3 years ago,her grandma is so cute!!,她的祖母真可爱！
35124,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-90k0zqefXEF,0,3 years ago,"therewasnochill that is not true.. gender inequality may exist everywhere in the world, women in china has fair opportunities to receive higher education. the life experiences and knowledge she has is not what we can learn in college anyways, itโ€s just a degree. she chose this life because she doesnโ€t enjoy the anxiety of living in the city (she used to work as a dj in a big city), and she wants to take care of her grandma. itโ€s not the only life she can have. she chose to live this way. and please do not misunderstand what life is like in china.",这是不正确的。性别不平等可能存在于世界各地，中国的妇女有公平的机会接受高等教育。无论如何，她所拥有的生活经验和知识并不是我们可以在大学中学到的东西，而只是一定程度。她之所以选择这一生，是因为她不喜欢生活在这座城市的焦虑（她曾经在大城市工作过DJ），而且她想照顾祖母。这不是她唯一能拥有的生活。她选择这样的生活。而且请不要误解中国的生活。
31703,Ugx4qAFT0koZnIZKIDZ4AaABAg,0,4 years ago,"she seems to know a lot of things around country life which makes he perfect wife material, but still it looks a lot of work for one woman. does she really manage it with just old grandma? she is truly amazing regardless the answer",她似乎对乡村生活的许多事物了解，这使他变得完美，但对于一个女人来说，这仍然是很多工作。她真的只用老奶奶管理吗？无论答案如何，她都真是太神奇了
32303,UgyJXYo2X2L5tkjUvfR4AaABAg.8vvno-XxxF99A9CnKf8c41,0,2 years ago,i prefer when the puppy try to steal grandma's meal ๐คฃ๐คฃ,我更喜欢小狗试图偷奶奶的饭
32207,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx96kHMRKFHQG,0,3 years ago,"@asiansalt8800 i believe currently, she live at that house. she did stay in city before, but she went back to her hometown to care for her grandma. its beautiful place ain it. 

5 years ago its the same as other villagers houses. you can check out her weibo/meipai account and scroll to her older posts. its the same house but more humble look. she slowly change things here and there. and it become like this. :)","@Asiansalt8800我相信她目前住在那所房子里。她以前确实呆在城市，但她回到家乡照顾祖母。它美丽的地方。

5年前，它与其他村民的房屋相同。您可以查看她的微博/Meipai帐户，然后滚动到她的较旧帖子。它是同一房子，但外观更谦虚。她慢慢地在这里和那里改变了事情。它变成了这样。 :)"
32079,Ugx6t9T8n5I3wRM4Tkl4AaABAg,0,4 years ago,is so emotional that you alway share everything you do in your video with your grandma.,如此激动，以至于您一直与祖母分享您在视频中所做的一切。
32071,UgykuUe-XHbXqGNAdmR4AaABAg,0,4 years ago,so funny .. u cover grandma ears and let go and grab your owns.. lol ๐ and grandma ๐‘ต seems fine,真有趣..你遮住了奶奶的耳朵，放开自己抓住自己的东西..大声笑
32069,Ugy2U0fgGZKTboGum_14AaABAg,0,4 years ago,iโ€m so speechless.shes so talented and calming and nice.i wish her the best and her grandma,我是如此无言以对。
31972,Ugxf3P7BgdHR2-vnYht4AaABAg,0,4 years ago,she takes such good care of her grandma ๐ฅบ๐ฅบโค๏ธ,她很好地照顾奶奶
31826,Ugy9OcqdYqzLSRXHyT94AaABAg,0,4 years ago,"i randomly clicked on the video and now i admire her.. the way she loves life is amazing.. so simple.. i'd be in heaven if i'm in a place like that.. being in an era where gadgets seem to have just taken away everyone, including myself, it's very helpful to see your videos.. it's inspiring.. also, wishing your family all the best.. i love my grandma so much as well but i can't be by her side.. you and your grandma are so cute.. ๐",我随机点击了视频，现在我欣赏她..她爱生活的方式很棒..太简单了..如果我在这样的地方，我会在天堂。要把包括我在内的每个人带走，看到您的视频非常有帮助。.它鼓舞人心。。也希望您的家人一切顺利..我也非常爱我的祖母，但我不能在她身边..你和你的祖母真可爱..
31825,Ugy3m-g1bj5UHERPPJR4AaABAg,0,4 years ago,how do asian grandmas out live grandpas and live so long,亚洲奶奶如何活了孙子和这么久
31811,UgzlFEC4oHN706pr3PZ4AaABAg,0,4 years ago,no wander you grandma is healthy,你奶奶没有徘徊很健康
31715,UgzJegWSagazbR8vnsh4AaABAg,0,4 years ago (edited),"bless her heart she covered her grandmothers ears and jumps like a fawn after a rifle shot. grandma is like a gangster, she did not even flinch.",祝福她的心遮住了祖母的耳朵，并在步枪射击后像小鹿一样跳跃。奶奶就像一个黑帮，她甚至没有退缩。
31713,UgxU27UCSqUpcz-B3QR4AaABAg,0,4 years ago,"this is so beautiful i couldn't help but cry for the way she cares so much for her grandma, it's so beautiful. this is the type of being we & our children should be, we need to respect and, care for our grandparents just as much as she does no matter how difficult they can be at times.",这真是太漂亮了，我不禁为她如此关心奶奶的方式而哭泣，真是太漂亮了。这是我们和我们的孩子应该是的类型，我们需要尊重和照顾我们的祖父母，无论她们有时会多么困难，都一样。
31603,Ugz09wjBqk0gQwL0AJF4AaABAg,0,4 years ago,so they bake n sell.grandma show her a lot,所以他们烘烤n卖。
32576,UgxIm4otG3J-SwPVmnV4AaABAg,0,4 years ago,"many years ago, my grandma and grand aunts did same things for chinese new year preparation",许多年前，我的祖母和大姨妈为农历新年准备做同样的事情
31437,UgxEFAXjOJZFUCOtz2p4AaABAg,0,4 years ago,i can on the most spiritual level fee how proud the grandma is to have a granddaughter like her,我可以以最精神上的水平收费奶奶让孙女像她一样感到骄傲
31387,UgwecXUBnQDhaQt5jQ94AaABAg,0,3 years ago,you made for your grandma how sweet,你为奶奶做了多么甜蜜
31359,UgwA6ZEV4KbGBFenK_d4AaABAg,0,3 years ago (edited),"i spend my time watching mostly gardening in youtibe but i this is the first time i watches this kind of life (with gardening & cooking).. it amazes me of all the things you do everyday... must be a wonderful life...may god bless you more and your grandma..


..and your little ones :)","我花时间观看YouTibe的主要观看园艺，但这是我第一次观看这种生活（带有园艺和烹饪）。这让我对您每天所做的所有事情感到惊讶...一定是美好的生活。愿上帝保佑你更多和你的祖母。


..和你的小孩子:)"
31345,UgwjHNuYqd95VYJokYd4AaABAg,0,3 years ago,grandma...wat a lucky person..๐,奶奶...一个幸运的人..
31119,UgyY3DeangJyAMz-pSt4AaABAg,0,3 years ago,5:55 she cover her grandma's ears... cute,5:55她遮住了祖母的耳朵...可爱
31058,UgzwAG8Sc5gYjdUOwOB4AaABAg,0,3 years ago,with me who wants to see grandma's face ?,和我想看奶奶的脸？
30792,UgzKVuCjDW2L_8M7AQB4AaABAg,0,3 years ago,"oh my god i feel like crying, this video is amazing and even tho i live in another country, it reminded me of my grandma and how we used to make traditional dishes on holidays.. this is so pure and precious i love u",哦，天哪，我觉得自己哭了，这个视频很棒，甚至我住在另一个国家，它使我想起了我的祖母，以及我们在假期中如何制作传统菜肴。
30643,UgyabONggiV7O40lxR94AaABAg,0,3 years ago,your grandma looks cute,你奶奶看起来很可爱
30585,Ugy1omt9rgmxq1RrDkp4AaABAg,0,3 years ago,when she covered her grandma's ears bc of the popcorn cooker but when it opened she's the one who got surprised and her grandma didn't even flinch ๐,当她遮住了奶奶炊具的奶奶的耳朵时
30258,UgzSZa-Nv6nM88-g0gt4AaABAg,0,3 years ago,great video!!! please bake the old lady (grandma) next!!,很棒的视频！！！请接下来烘烤老太太（奶奶）！
30230,UgxrmOliM_eEVg2_BR14AaABAg,0,3 years ago,it seems like she is getting ready for a war or famine. she's storing delicious food like crazy! i love her so much! and the puppies and lamb!!! at 5:56 though she was more scared than her grandma.,看来她正在为战争或饥荒做好准备。她像疯了一样存放美味的食物！我非常爱她！还有小狗和羊羔！！！在5:56，尽管她比奶奶更害怕。
32450,UgzPkGFUWkSCZV2-rM14AaABAg,0,4 years ago (edited),"i love her grandma, so cute. :')",我爱她的祖母，真可爱。 ：'）
32706,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF093AWGZa-4RD,0,3 years ago,20% grandma love,20％的奶奶爱
29975,UgzRxHSPrzwCB-WB-Od4AaABAg,0,3 years ago,ohh god...please make me liziqi grandma in my next birth.,哦，上帝...请在下一生中让我丽兹奇奶奶。
