,cid,votes,含grandma,含grandma中文翻译
26659,Ugyd-xHUcbYklWChnRd4AaABAg,0,"seeing grandma, i miss my grandma too. i hope grandma is healthy and healthy",看到奶奶，我也想念我的奶奶。希望奶奶健健康康快快乐乐
26574,Ugwvt9J-CcO3k0lfqrZ4AaABAg,0,i wish all the grandmas of the world ate as good as your grandma,我希望世界上所有的祖母都和你的祖母一样好
26506,Ugy6Wr7UfATh2iZtqe54AaABAg.8yobiiJQOV48yqh2H-rxTz,0,yes because it might be too spicy for grandma,是的，因为它可能对奶奶太辣
26490,UgxN8zuCFP2PD1bIAOV4AaABAg,0,"i love her grandma so mush she’s so cute, hehe",我爱她的奶奶，如此糊状，她是如此可爱，呵呵
26481,UgztWGtR-SnnoFDI3C14AaABAg,0,i want to live next door to her and grandma so bad...,我想住在她和奶奶的隔壁...
26426,Ugz1lQZNlzLWO-U8NpZ4AaABAg,0,you are so big! just give grandma a little 奶,你自己那么大一碗！就给奶奶那么一点
26219,UgzDW2gj-ycnHitJCV94AaABAg,0,grandma is so cute! can't help holding a chopstick hahahaha,奶奶太可爱了！忍不住夹一筷子哈哈哈哈
26153,Ugzm9YejRJBHNOHUHS94AaABAg,0,i like your grandma... and take care of her ... sister...,我喜欢你的奶奶...并照顾她...姐姐...
25838,UgwzXbFJnWRkvmoEOJB4AaABAg,0,"everything is fresh picked, beautiful presentation, lovely animals too! nice to see your grandma enjoying your cooking, wish her well and happy day ❤️",一切都是新鲜的，美丽的演讲，也是可爱的动物！很高兴看到您的奶奶喜欢做饭，祝她一切顺利，快乐的一天❤️
24771,UgwsxPofgzSZzV4xFO94AaABAg,0,plz tell me anyone she doesn't hv anyone except her grandma,请告诉我，除了祖母以外，她没有任何人
25639,UgwSBymdqBAGZGT5gTV4AaABAg,0,the grandma is lucky... she gets to try all the dishes that looks so delicious!! and the ingredient she used all organic!! lucky u!!,奶奶很幸运...她可以尝试所有看起来如此美味的菜肴！她使用了所有有机的成分！你很幸运！！
26983,UgyhC7uqHYTQ36z1cGt4AaABAg,0,your grandma wants you to marry a good man and be optimistic about marry a good man,你的奶奶希望你嫁个好人 看好了 嫁个好男人
25451,UgytcLUwUWgtJRMo3v14AaABAg,0,"grandma is so cute, i hope you can be healthy!",奶奶太可爱了，希望你们都能健健康康！
25347,UgwiNfRBy8L-PYFtmzp4AaABAg,0,"am curious about only one thing.. 
she make so much food.... i wanted to know do her grandma and herself can eat all those","对只有一件事感到好奇。
她做了很多食物。...我想知道做祖母，她自己可以吃所有这些"
27174,UgyaagjAtfkSXA-zGD54AaABAg,0,love you grandma,爱你奶奶
25181,UgyHV0-7DHbzwzudTth4AaABAg,0,grandma also eaten snail powder hahahahahahahahahaha,奶奶也馋螺蛳粉吃了 哈哈哈哈哈哈
27395,UgyaG2KI62Jt2I9jVKR4AaABAg,0,grandma eats lightly,老奶奶吃清淡一点
25095,UgxuD0ytS0Qk38Ic7wR4AaABAg,0,"this is really amazing& u wanna just let everything behind & go to live there with her & taking care of her mom or grandma i don't know.it makes me feel sorry about losing my life & time without spending more time with my mom 
god bless you girl","这真是太神奇了。这让您感到很开心，您想让一切都在后面，与她住在一起。这让我对失去生活和时间感到难过，而不必花更多的时间与妈妈在一起
上帝保佑你女孩"
24834,UgzyWZV7aDNnIVBviQd4AaABAg,0,i miss home and my grandma every time i watch your videos ❤️,每次观看您的视频时，我都想念家和祖母❤️
27678,UgyN7SurTdGuawsWIDp4AaABAg,0,serve for grandma ❤,为奶奶服务❤
27872,UgxIMw7vkBYoi7yJLtZ4AaABAg,0,her grandma is lucky to have her :) .. very responsible woman,她的奶奶很幸运得到她:) ..非常负责任的女人
27891,Ugz9N4dVJoMm_czV_Lh4AaABAg,0,send my hi to grandma <3,将我的HI发送给奶奶<3
27111,UgwAkc-5QtbnUdtFMV14AaABAg.8yi9U-P0knl8yjTT0OxghB,0,"bin zhu thank you! the way she held it up to her head hinted to it but i didn't figure that it was a saying there but now i know. and that's interesting, i bet her grandma has seen way larger in her life time.",Bin Zhu谢谢！她抬起头暗示的方式，但我并不认为这是一句话，但现在我知道。这很有趣，我敢打赌她的祖母在她的一生中看到了更大的时间。
118,UgxnLdjmnHDoLuAlJyJ4AaABAg,0,"112, 5, 19 11 11 you good morning! i work at the zhongshan construction site in pingtung city, taiwan! think back when you first met you 3 years ago! you come back in the mountains in person! grandma is very happy! laughing haha, watching you peeling, so happy!",112、5、19柒爱的妳好早安！我在台湾屏东市中山工地现场上班！回想3年前刚认识妳的时候！妳在山里亲自采山竹回来！奶奶很高兴！笑哈哈看着妳在剥壳好开心！
28300,Ugwi7LHReFU2eEOR1ul4AaABAg,0,my favorite part of these videos: seeing grandma enjoy the food!,这些视频中我最喜欢的部分：看到奶奶喜欢食物！
31868,Ugwly-HX6hCef7q6eep4AaABAg,0,this multi talented/ gifted woman. every thing that she do is such a masterpiece. resourceful and creative. i guess you've all learned that from your grandma. anyway your grand ma must have a very long life because everything that you cook and eat has no preservatives. all natural.,这个多才华横溢/有天赋的女人。她所做的每一件事都是如此杰作。足智多谋。我想你们都从祖母那里学到了这一点。无论如何，您的大妈妈一定要有很长的寿命，因为您烹饪和吃饭的所有东西都没有防腐剂。全天然。
32366,Ugw0LqRtsXHpWV5O7NJ4AaABAg,0,wow my fave viane u have a lots of menu u can make in this bamboo shoot.thank liziqi for sharing knowledge how to cook bamboo shoot..i luv u grandma mwah!,哇，我最喜欢的viane，你有很多菜单，你可以在这张竹脚射击中做很多菜单。
32355,UgyG4ZR_pjLEgkEyfs94AaABAg,0,her grandma is so lucky to have her ...she would taste all those happily,她的祖母很幸运能拥有她...她会快乐地品尝所有这些
32085,UgzgyqIlcxv42465t214AaABAg,0,i love her grandma. i wish to know their conversations.,我爱她的祖母。我想知道他们的对话。
32070,UgwrjqAR5ukJiW4FuCt4AaABAg,0,"it's great, it's awesome, i'm drooling, no wonder grandma wants to eat",太棒啦太棒啦太棒啦，我跟着流口水，难怪奶奶要吃的
32061,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWhxv3h1ql,0,@katelyn252 i'm glad you did! i hadn't seen the news that she got a crew (finally!) i remember she had a condition for a while and was forcing herself through it when her channel had just started. the hate comments were hurting her and her grandma was becoming worried too (poor grandma!) so she had to go on haitus to recruit someone. so so glad she's got a team to help her now!,@katelyn252我很高兴您做到了！我还没有看到她有一名船员的消息（终于！）我记得她有一段时间的状况，并且在频道刚刚开始时就强迫自己通过它。仇恨评论伤害了她，她的祖母也变得很担心（可怜的奶奶！），所以她不得不继续招募某人。非常高兴她有一个团队可以帮助她！
32037,UgygSlYXQ7QjF7c_ZSB4AaABAg,0,do not give grandma a snail powder,不给奶奶吃螺蛳粉
31987,UgxZlX3r9B1C-Y06mzN4AaABAg,0,"you see me is bigger than my brain
grandma: you are a sa. essence essence","你看我这个比我脑壳还大
外婆： 你这个算撒子哦 。。。"
31959,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e94AMaWutVK5,0,"@user-lw1cm7bf2b miss li's popularity is worldwide. ziyi is the highest value of all human beings: filial piety, intelligent, hard-working, good at learning, dedicated, good-neighborly, converged, benefit from the poor to repay the society .. .. who can't get used to her and step on her, i disdain counterattack. ms. li has the lftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, p. erseverant and donate money to help the underprivileged .... as they are not word any efforts.","@user-lw1cm7bf2b Miss Li's popularity is worldwide.子柒在全人类最高价值中，达到不能再高的绝顶：孝亲，聪慧，勤劳，好学，笃敬业，睦邻，有恒，施惠于穷苦报答社会....谁看不惯她而踩她，我不屑反击。 Ms. Li has the loftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, perseverant and donate money to help the underprivileged....I do not refute those attackers as they are not worth any efforts. My family praises her from north America."
31691,UgyN8tFYPQyfKoJgNjl4AaABAg,0,liziqi you are grandma are wonderful in your short videos very much,liziqi你是奶奶在短视频中很棒
32428,UgxzuZyZCiRzRS1O4Wx4AaABAg,0,lucky grandma....,幸运的奶奶....
31525,UgzA7XhtwNxtKgj79394AaABAg,0,when i was about 7 i used to live in the mountain where my grandma sister was a farmer and it was just like that fruitful of everything.,当我7岁左右的时候，我曾经住在祖母姐姐是农民的山上，就像一切富有成果一样。
31411,UgyWGukZU2jM-A2Wrqx4AaABAg,0,"liziqi didi, your grandma is so cute. she is lucky to have hardworking and caring granddaughter like you. bless you both! wish i had the opportunity to taste what you cook, your dishes look so delicious.",利兹奇·迪迪（Liziqi Didi），你的祖母真可爱。她很幸运能像您一样勤奋和关怀孙女。祝福你们俩！希望我有机会品尝您的烹饪，您的菜看起来很美味。
31261,Ugyjb5LTcAYXhVJW9zN4AaABAg,0,shes going to eat that big bowl while grandma gets the little one?,当奶奶得到小碗时，她要吃那个大碗吗？
31254,UgzRK6CmjyFtEi8B2CN4AaABAg,0,"food has no language, its universal but to absorb its taste its temptation flavour and aroma please provide english names of the ingredients you're using! of course we cannot make them here but can actively flavour them with you and grandma! 
crazily waiting for more uploads!!!","食物没有语言，它的普遍性，但要吸收其诱惑风味和香气，请提供您使用的成分的英文名称！当然，我们不能在这里制作它们，但可以与您和奶奶一起积极调味它们！
疯狂地等待更多上传！！！"
31165,Ugxw2oVeJUskGrjWksZ4AaABAg,0,"everything she's cooks always looks tasty. i know her grandma thinks in her her mind, wow i have a really talented granddaughter.",她厨师的一切总是看起来很美味。我知道她的祖母在她的脑海中思考，哇，我有一个很有才华的孙女。
30847,UgzCecJWTYf056wQMC54AaABAg,0,i love how she cooks for her grandma every day.,我喜欢她每天如何为祖母做饭。
30845,UgwwmLZN35BdkinPBOh4AaABAg,0,"grandma is so cute, i also want to eat snail powder! but i think purslane is the best. the action of your tweets is really chic, and my grandpa is surprised!",奶奶好可爱，也想吃螺蛳粉！不过我觉得马齿苋最好吃。你扯马齿苋的动作是真的潇洒，我一老爷们也大吃一惊！
30810,UgzHa-3NACYieb_2vpt4AaABAg,0,can grandma eat spicy?,奶奶能吃辣？
32419,Ugy6ugrgyB1oGMZmkTx4AaABAg,0,it is so comfortable to listen to grandma with laughter,听奶奶笑声好舒服
32509,UgyJlM0Vpj5cd8nwkfV4AaABAg,0,"you're so awesome in everything you do, specially in taking caring of your grandma. god bless you more...",您在所做的每一件事上都很出色，特别是在照顾奶奶。上帝保佑你更多...
30449,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39R8Or-dwniq,0,"that's her grandma, liziqi called her ""grandma"" in chinese",那是她的祖母，利兹奇用中文称她为“奶奶”
33728,Ugxe-vNV7OkIMt-Bhxh4AaABAg,0,your grandma is very lucky,你的奶奶很幸运
34682,Ugwz_tHmF-fjd6CFFNx4AaABAg,0,why don't you help your grandma and make a bowl,干嘛不帮奶奶也搞一碗
34378,Ugwtn36gliNYrW2qHT94AaABAg,0,ni hao ma liziqi and grandma,ni hao ma liziqi和奶奶
34316,UgxMs55iXh8aawI7rkZ4AaABAg,0,grandma says share your noodles lizqi!,奶奶说分享你的面条lizqi！
34293,UgxPEoeRq4ISAUIOACV4AaABAg,0,you cook very very delicious and a lot of dishes and cook so fast just only you your grandma lucky every day eat yummy from your cook i wishes she very long life live with you happy and healthy,您烹饪非常美味，很多菜肴，烹饪如此之快，只有您每天您的奶奶从厨师那里吃得好吃，我希望她能与您在一起很长一生，幸福快乐
34288,UgyD2hjP3aY7vJRl25B4AaABAg,0,"i'm glad that she doesn't have subtitles but i really want to know what the grandma replied with when when liziqi made a comment while holding up that big shoot, i bet it was something",我很高兴她没有字幕，但我真的很想知道奶奶在举起大拍摄时发表评论时回答了什么，我敢打赌这是
34178,UgwNs8vUyd2W1qT7FRV4AaABAg,0,everything you cook looks delicious and i'll bet taste good.. your grandma is very proud and happy to have you with her..love your graden,你烹饪的一切看起来都很好吃，我会敢打赌好..你的祖母很自豪和高兴地和她在一起。
34160,UgxmsOaTFd85eAREocR4AaABAg,0,i simply adore your grandma. =)❤️,我只是喜欢你的奶奶。 =）❤️
33983,UgyGGZLKKY6kpCbPbxh4AaABAg,0,that is one lazy ass grandma just sitting and eating,那是一个懒惰的屁股奶奶，只是坐着吃
33605,UgzT9QeUdzmnUUgPw-B4AaABAg,0,i wanna belive so bad that her grandma was just like her and that this will be passed down generations,我想相信她的祖母就像她一样，这将被传给世代相传
32613,UgzVY8BCXfZCmdS4NiJ4AaABAg,0,"grandma, you really have buds to eat it !!!",奶奶，你真的有芽可以吃！！！
33581,UgxJfTzJnQWJZ8ofzhV4AaABAg,0,i like her grandma very much she is so cute ....,我非常喜欢她的祖母，她真可爱。
33448,UgzuczOQ75Rzzrn5srl4AaABAg,0,grandma so cute wanna try her noodle lol,奶奶太可爱了，想尝试她的面条大声笑
33396,UgwyyTX_11oSpbqFpYl4AaABAg.8yUbiACQhhV8yUuW-JenOx,0,"nancy m this vlog team
just only herself and grandma","Nancy M这个Vlog团队
只有自己和奶奶"
33378,Ugzg2-wGHV3iLLCnuJN4AaABAg,0,"please stay healthy granny!
live a long long live!
grandma, i wish you a long life","Please stay healthy granny! 
Live a long long life!
奶奶，祝您长命百岁"
33232,UgyR0dL4lUk8mpmzt4p4AaABAg,0,liziqi...i dont know if you know this....you ve been doing great service to depressed people through your ever so calming videos...your life surrounded by nature..family bond...and so much hardwork adds beauty to everything you do...god bless u and grandma.,liziqi ...我不知道您是否知道这一点。...您所做的一切的美...上帝保佑你和奶奶。
33208,UgxB_u29noEsjMJj_Qt4AaABAg,0,"dear channel's owner. please tell to liziqi that her grandma is great woman. every time i see grandma - i'm happy she is in good health and mind. please, ask liziqi to keep adding her grandma to each video. thank you in advance!",亲爱的频道的所有者。请告诉Liziqi她的祖母是伟大的女人。每次我看到奶奶 - 我很高兴她身体健康和心灵。请让Liziqi继续将祖母添加到每个视频中。先感谢您！
33193,UgxV34L2nmQM7MldRrV4AaABAg,0,grandma has all the time royal food. i envy my grandmother.,奶奶一直都有皇家食物。我羡慕祖母。
32870,UgzU-tMfI9d99gJ7W0h4AaABAg,0,my grandma is always sour and fried meat is delicious.,泡酸笋这个我奶奶也总是弄 酸笋炒肉很好吃
30462,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Tld61seAYp,0,"@1292liam the girl lost her parents when she was 6 or 7 years old , the old lady is her grandma.",@1292liam女孩在6或7岁时失去了父母，老太太是她的祖母。
30439,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Pqz3MtaqmU,0,"she calls her""popo"",which means grandma in chinese.",她称她为“ popo”，这意味着奶奶中的中文。
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
29368,UgydfiTMa48i3LJ_hJZ4AaABAg,0,"sorry, you have so many subscribers, but you can’t buy new teeth for your lovely grandma?",抱歉，您有这么多订户，但是您无法为可爱的奶奶购买新牙齿吗？
29874,UgzSQrGj-ndNxPJOAst4AaABAg,0,"ohh how lucky your grandma/mother. she eats fresh foods from the garden. what a simple life. this is the prof that money can't buy all things in this world. no preservatives woahhhh! i hope i could go there at your channel hehehe.
from philippines mabuhay ka!","哦，你的奶奶/母亲多么幸运。她吃了花园里的新鲜食物。多么简单的生活。这是金钱无法购买这个世界上所有东西的教授。没有防腐剂woahhhh！我希望我可以在你的频道上去那里。
来自菲律宾Mabuhay ka！"
29802,UgxmkRNUkYHN6M25DI94AaABAg,0,love grandma's laugh.,爱奶奶的笑声。
29781,UgwERjqmsa4d-mRYa394AaABAg,0,hope she has a grand daughter who will take care of her just like she is taking care of grandma.,希望她有一个大女儿，她会像照顾奶奶一样照顾她。
29774,UgzyEgfDjmyq8j1TuXJ4AaABAg,0,liziqi i like your grandma. how old is she?,liziqi我喜欢你的祖母。她年纪多大？
29619,UgzdKmTEHTGKv6khhNx4AaABAg,0,grandma also wants to taste really cute!,奶奶也想尝尝的样子真的好可爱！
29461,UgxB9FCqEpRZLLfTEZd4AaABAg,0,how old your grandma?,你的祖母多大了？
29425,UgwvKSFyRFIgkY2tPTh4AaABAg,0,"i love all her videos, but am always happy to see grandma make an appearance.",我喜欢她的所有视频，但总是很高兴看到奶奶露面。
29369,UgxHj9DvDk2roC4Jcb54AaABAg,0,god bless her grandma i love her so much,上帝保佑她奶奶，我如此爱她
29355,UgwJU3AYtRj-VXK96dd4AaABAg,0,grandma is so proud of him,奶奶为他感到骄傲
29913,Ugzxmwc2NYIHfjGksjp4AaABAg,0,"did anyone notice she didn’t share rice noodles with grandma.
noticed grandma trying to take rice noodle but only managed one single piece","有人注意到她没有与奶奶共享米粉。
注意到奶奶试图取米面，但只管理了一块"
29301,UgwO-D0WEf5bL4zIbIx4AaABAg.8yXC7MLtX0Q8yXXdoYIXk7,0,"@zhou yang i guess it is that grandma can't stand the smell of snail powder, and grandma durian can't stand it.",@zhou yang 我估计是奶奶受不了螺蛳粉的臭味，榴莲奶奶就受不了了。
29291,UgwMfOYOyLkI_XWQRzx4AaABAg,0,definitely good...to be grandma!,绝对好...成为奶奶！
29284,UgzqZP0yamWQl49hrWN4AaABAg,0,grandma so precious,奶奶是如此珍贵
29226,UgzeUwISbeh8Ho6AMeV4AaABAg.8yXRNA2Kpjf8yXY7a3gD2c,0,"hawk du grandma can't eat too spicy, hurt the stomach",hawk du 奶奶不能吃太辣，伤胃
29208,UgzeUwISbeh8Ho6AMeV4AaABAg,0,"do you not eat snail powder? but also, since grandma can't stand the durian, it is estimated that the smell of snail powder will not like",奶奶不吃螺蛳粉吗？不过也是，奶奶既然受不了榴莲，估计也不会喜欢螺蛳粉的臭味
29124,Ugzfv31GJ5CCuhThJ3d4AaABAg,0,"has anyone found that when ziyi was eating snail powder, grandma did not eat or eat porridge, only eat food? eat it like this?",有没有人发现，子柒在吃螺蛳粉的时候，奶奶竟然没有吃饭、吃粥，只吃菜?这样吃得饱哦？
29059,UgyOsrjsA9jrby88Vct4AaABAg,0,see how happy your grandma laughed! your granddaughter is awesome! bleak,看老奶奶笑得多开心啊！您的孙女真棒！
28851,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g99ZMYzZ1_tK,0,"franz peters you have nothing to do but to criticize a girl who had a tough childhood, working as hard as she can to help her grandma, a girl despite her own difficulty, donated countless stuff to help combat covid19, who inspired so many people. what did you do to help other people? be a man, bro, don't do coward stuff like this anymore. i can speak more than three languages fluently. you don't see me mocking you for not being able to speak a language do you? you don't see me mocking you for being a coward do you? you don't see me mocking you because you are a racist do you? you don't see me mocking you because you sit on your ass all day just to insult people online do you? you don't see me telling you the truth that you are a oxygen waster and a disgrace do you? what kind of vile devil throw insults at nice people just so they could shoot their juice?",弗朗兹·彼得斯（Franz Peters）除了批评一个童年艰难的女孩，尽可能地帮助她的奶奶，一个女孩，尽管她自己的困难，但捐赠了无数的东西来帮助与启发这么多人的Covid19打击Covid19。您做了什么来帮助他人？做个男人，兄弟，不要再做这样的胆小鬼。我可以说流利的三种语言。您没有看到我嘲笑您无法说一种语言吗？你看不到我嘲笑你是胆小鬼吗？你看不到我嘲笑你，因为你是种族主义者吗？您看不到我嘲笑您，因为您整天坐在屁股上只是为了侮辱人们在线吗？您没有看到我告诉您您是浪费氧气，是耻辱吗？什么样的邪恶的魔鬼侮辱了好人，以便他们可以拍摄果汁？
29887,UgxTDmeCpKMnFNOmTJh4AaABAg,0,i love that the grandma is never without her fan :d,我爱奶奶永远没有她的粉丝：D
29914,Ugx-IpBgJdaM5DADGkB4AaABAg,0,hi. i'm from morocco and i really love your videos .. and i like how you deal with your grandma . love you,你好。我来自摩洛哥，我真的很喜欢您的视频。.我喜欢您如何与奶奶打交道。爱你
30432,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39OHmhjgT4oZ,0,my mother -in -law means grandma,婆婆 就是奶奶的意思
30289,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392HPuCiW93Y,0,"she takes care of her grandma so well, such a nice person. every time i think about li ziqi it’s all pleasant thoughts",她很好地照顾了奶奶，一个很好的人。每当我想到李Ziqi时，这都是令人愉快的想法
30403,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39EooZZjj6o9,0,"every time she uploads it, i am very happy that i can see my grandma recover.",每次她上传我都很高兴我能看到奶奶康复了。
30401,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39EbjymFdbY8,0,"grandma loves river snails, problem is they give her gas like mt. pinatubo.",奶奶爱蜗牛，问题是他们像Pinatubo山一样给她加油。
30373,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AMKtBS3o_1,0,her grandma is her only family in the world,她的祖母是她唯一的家庭
30353,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398zfVO5XYA_,0,in this house we stan her and her grandma!! ✊,在这所房子里，我们Stan她和她的祖母！ ✊
30350,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398XX4UEtOm3,0,"xao faye if grandma were to live 200 years due to good life habit, everyone should rejoice as you still have her to love and care for. yes? i should think so. i would be.",Xao Faye如果奶奶由于良好的生活习惯而活了200年，那么每个人都应该为她爱和关怀而欢欣鼓舞。是的？我应该这样认为。我会。
30322,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw3948k21NQQEP,0,1292liam she called the lady mother -in -law (grandma) not mother (mom),1292liam she called the lady 婆婆 （grandma）not 妈妈 （mom）
30307,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392kaltWKMJq,0,1292liam haha is her grandma,1292liam哈哈是她的祖母
30290,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392Ipje-wpd1,0,"@colinseet7710 po po 婆婆 means patetnal grandma in a lot of places in china, especially in the south. it can mean in other parts of china.",@colinseet7710 popo婆婆在中国许多地方，尤其是在南部的许多地方，意思是帕特纳尔奶奶。这可能意味着在中国其他地区。
30284,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw391pmyItbczR,0,her grandma is doing great having organic delicious meal everyday...,她的祖母每天都在有机美味佳肴...
29918,Ugzxmwc2NYIHfjGksjp4AaABAg.8yVxVy7d9MK8yVyolqXDOD,0,"she does not want her grandma eat spicy food, because grandma is too old.",她不想让奶奶吃辛辣的食物，因为奶奶太老了。
30273,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39-GKesPUBVX,0,@usedtobeacringename5349 my grandma died at the age of 27.,@Usedtobeacringename5349我的祖母去世，享年27岁。
30251,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zZBTRBrifp,0,"@vashthestampede007 is the same in the middle. we are also called mother -in -law in hubei, which is grandma",@VashtheStampede007 中部都一样，湖北我们也叫婆婆，就是奶奶
24139,UgwkLHvR63hpHtdYGOh4AaABAg,0,eating organic food and living in this peaceful place with clean air. i won’t be surprised if this lady and the grandma would live longer than an average human being.,用干净的空气在这个宁静的地方吃有机食物。如果这位女士和祖母的寿命比普通人更长，我不会感到惊讶。
30184,UgyYK-XGI9ZySKUpGXh4AaABAg,0,it's better to take care of grandma,不如我来照顾奶奶
30164,UgwxuiuwwdNAzaQgiT14AaABAg,0,i want to be her grandma,我想成为她的祖母
30097,UgyrnQXztXPUPDBDmjN4AaABAg,0,"eating a variety of natural and organic foods every day will definitely make you grow old. so many odors and vegetables are really good, and you drool when you see it. i wish you and grandma always healthy and happy!","每天吃着天然有机的各种食物一定会让你长生不老的，这么多野味和蔬菜真的是太好, 看到都流口水了.祝你和奶奶永远健康和快乐!"
30092,Ugwn4RnPMe-ZNOSEbzp4AaABAg,0,please translate what grandma says so that we all can hear her words of wisdom,请翻译奶奶说的话，以便我们都可以听到她的智慧话语
29919,Ugzxmwc2NYIHfjGksjp4AaABAg.8yVxVy7d9MK8yW-AiGsWj6,0,jie yao oh thankyou . she could have made non spicy rice noodles . grandma is just soooooo cute,Jie Yao哦，谢谢。她本可以做出非辣米粉。奶奶真是太可爱了
24158,UgzVj6bueuKzvaljWdN4AaABAg,0,wow your place is so beautiful and you're so kind to your grandma,哇，你的地方是如此美丽，你对奶奶很友善
19933,UgwbP3JbCkL5X4i7NU54AaABAg,0,i want to eat with grandma..,我想和奶奶一起吃。
24122,UgwwvmXREZPu7eaWH5N4AaABAg,0,"thank you for putting more subtitles, i love your videos and the knowledge i pick up from them is amazing. wishing you and grandma health and happiness",感谢您发布更多的字幕，我喜欢您的视频以及我从图标中拿出的知识真是太神奇了。祝你和奶奶健康和幸福
24089,UgwRjW3Oxhp8xblk2al4AaABAg,0,im just confused on why would she do soooo many dishes when its just her and her grandma. apart from that i admire her.,我只是因为她和祖母只会做很多菜而感到困惑。除此之外，我佩服她。
9877,Ugz3ov7ZzwHkfuhH5314AaABAg,0,so the chef jugde is grandma๐,所以厨师朱格是奶奶
9704,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AOx7E_8rtg,0,@fafa-rd4wx yes i can. that's why i said i feel like fooling me. because she tells everyone she is so truth and everything is for her grandma.,@fafa-rd4wx是的，我可以。这就是为什么我说我想骗我。因为她告诉所有人她是如此真实，而一切都适合她的祖母。
9562,Ugy2i0Pt75wB-fi1BB54AaABAg,0,grandma nalan,纳兰奶奶
9482,UgyTFfCH2GVKa5Qpt1V4AaABAg,0,a lucky grandma๐,幸运的奶奶
9085,UgxYd7u5eqo5tH-uaWZ4AaABAg,0,"grandma, be happy ๅฅฝ",奶奶你好幸福
8981,Ugwr7hDTbZsniuG2nBh4AaABAg.9A_Oyed6eKb9A_YjVwqFh_,0,her grandma,她的祖母
8876,UgwluLz8ZGCsYFi6j194AaABAg,0,"why grandma can't have noodles? :c i don't understand what they are saying, that looks mean.",为什么奶奶不能面条？ ：c我不明白他们在说什么，这看起来意味着。
8774,Ugy8L908wTm72iE9lJ54AaABAg,0,her grandmother is a little bit strong and young in this video unlike in her recent vids. grandma is aged so fast.๐”,她的祖母在这段视频中有点强壮，年轻，与她最近的视频不同。奶奶年龄如此之快。
8753,Ugx-1OKjKgscLpD1F4J4AaABAg,0,so much cooks and cooks ..... who!? grandma and himself?,这么多的厨师和厨师.....谁！？奶奶和他自己？
8742,UgwOPHoYWRVZiT-kCU54AaABAg,0,"i really like the view, what are you with grandma
sorry, i can not speak english","我真的很喜欢景色，你和奶奶是什么
抱歉，我不会说英语"
8637,UgyOFWD6iTJ1aknT8Ox4AaABAg,0,why didn't she give noodles to her grandma,她为什么不给祖母面条
8574,UgyMjvqG4N7CZbiLB454AaABAg,0,grandma is raised by your snail powder,奶奶被你的螺蛳粉馋到啦
8542,UgzbVQSgcQ1LNde3lN14AaABAg,0,i miss my grandma village,我想念我奶奶村
8425,UgxJUDblco-M5dOF0B94AaABAg.9BRzcz22-wD9Bm8TOVrxed,0,that's her grandma,那是她的祖母
