,cid,votes,含liziqi,含liziqi中文翻译
34622,UgzFO1tDXgf1NLaVTRd4AaABAg,0,love you liziqi from mizoram india❤️,爱你来自米佐拉姆印度的liziqi
34513,Ugwqi4rEiZWXiImlg1V4AaABAg,0,i love your videos and i love you so much liziqi,我爱你的视频，我非常爱你liziqi
34284,UgwDZ08ZEn9WN-ifN9V4AaABAg,0,i love liziqi,我爱liziqi
34511,Ugx2PnLSiImq4N83K-94AaABAg,0,why is this girl channel so similar to north east india culture...but just better???love you liziqi,为什么这个女孩频道与印度东北部的文化如此相似...但是更好？
34495,UgwZymVX_jbHvu-7rLJ4AaABAg,0,i love liziqi ❤️,我爱liziqi❤️
34472,UgwTnbDtbENt0856UQt4AaABAg.8yUU3i6haze8yUv5mZ5cBm,0,plus tutut (paddy fields) ala liziqi ..,加上Tutut（Paddy Fields）Ala Liziqi ..
34457,Ugz9sAYJrf57sju7s5Z4AaABAg,0,"very admiring a talented young girl who is very good at taking care of her grandmother well, loves liziqi!",非常欣赏一个才华横溢的年轻女孩，她非常擅长照顾祖母，喜欢Liziqi！
34411,UgxQOotfa_GjCRhA6yd4AaABAg,0,"i love your video 
your very beautiful.....❤ 
i like you... liziqi","我爱你的视频
你非常漂亮.....❤
我喜欢你... liziqi"
34406,Ugxxg7KbMyvbI6s6NEd4AaABAg,0,"my favorite one young bamboo , big dream to having beautiful garden like yours. i love you liziqi !!!",我最喜欢的一个年轻的竹子，拥有像您这样美丽花园的大梦想。我爱你liziqi！
34379,Ugw5G7QV-tjvgeqBWld4AaABAg,0,from northeast indian manipur state love you liziqi,来自印度曼尼普尔州东北部爱你liziqi
34378,Ugwtn36gliNYrW2qHT94AaABAg,0,ni hao ma liziqi and grandma,ni hao ma liziqi和奶奶
34369,UgxoKAkElZs9MAbIZ7p4AaABAg,0,"thanks to liziqi's video, it's always full of happiness in me ~ ♥
thanks to liziqi i'm always happy inside ~ ♥","多亏了Liziqi的视频，我总是充满幸福〜♥
感谢Liziqi，我总是很高兴〜♥"
34336,UgzQ7a00ZM8E83izoF94AaABAg,0,"hiii liziqi , i m ur big fan..",hiii liziqi，我是您的大粉丝。
34321,UgyI1I0oXTrqQEB4_-V4AaABAg,0,"when i get your notification 

marry me liziqi","当我收到您的通知

嫁给我liziqi"
34313,UgzbZ_6efSLnJ6VfaM14AaABAg,0,nice video liziqi. n,Nice video liziqi.
34288,UgyD2hjP3aY7vJRl25B4AaABAg,0,"i'm glad that she doesn't have subtitles but i really want to know what the grandma replied with when when liziqi made a comment while holding up that big shoot, i bet it was something",我很高兴她没有字幕，但我真的很想知道奶奶在举起大拍摄时发表评论时回答了什么，我敢打赌这是
34287,UgwN6yy8FfoA9m3BgOF4AaABAg,0,liziqi looks similar to mina (twice).....both elegant queens.,Liziqi看起来类似于Mina（两次）.....两个优雅的皇后。
33071,UgzMar61f4iQNDmhIKd4AaABAg,0,liziqi sensi is the best . who with me✋ ?,Liziqi Sensi是最好的。谁和我在一起？
33014,UgzZEqR1_-_kgUKt4Sx4AaABAg,0,miss u liziqi,Miss u liziqi
29396,UgzVTOcq1wW4WSYfOPB4AaABAg,0,i luff u so much #liziqi,我这么多你#liziqi
30152,UgyXR-GW7fmYFHTkdql4AaABAg,0,wow.. liziqi thank u so much for adding back to back video of your..❤❤❤,哇.. liziqi非常感谢您添加了您的背部视频..
31150,UgxuWciIG1oGWvCUmcF4AaABAg,0,you are the wonder woman liziqi,你是神奇女侠liziqi
30992,UgwcEhyRSZSt6opg_OR4AaABAg,0,liziqi ..,Liziqi..
30989,UgzV0CU7FnsjHVgZJCN4AaABAg,0,"i'm vietnamese and i really appreciate someone who translated this video to our language, so i could understand whole video of lý tử thất (liziqi) , love you guys!",我是越南人，我真的很感谢有人将此视频翻译成我们的语言，因此我可以理解Lýtthất（Liziqi）的整个视频，爱你们！
30869,Ugx7Pksg1KVZiJAQRKF4AaABAg,0,"liziqi's amazing , fascinating ❤❤",Liziqi令人惊叹，引人入胜的❤❤
30839,Ugxk1ut_fHnHOzWQ5D94AaABAg,0,"im not sure if i can find wife like liziqi in the modern city...
who still goes to mountain to pick bamboo shoot and plant her all own vegetables....","我不确定我是否可以在现代城市找到像利兹基这样的妻子...
他们仍然去山上捡竹芽并种植自己所有的蔬菜。"
30813,UgzwRwPK4JLEuaZIRSh4AaABAg,0,thank-you for the added instructions liziqi!,谢谢您的附加说明Liziqi！
30740,UgwICkKhefpxttbyLll4AaABAg,0,combine liziqi with the primitive technology guy and we can secure humanity's survival after the collapse.,将Liziqi与原始技术人员结合在一起，我们可以在崩溃后确保人类的生存。
30668,UgzTtCjf9sgdBjGrhXx4AaABAg,0,"me: makes instant noodles
liziqi: 9:36","我：立即面条
Liziqi：9：36"
30640,UgwQKSgZL64keu9-Jwd4AaABAg,0,yummy bamboo roots...we also have the same recipe here in the philippines. good job ms liziqi,美味的竹根...我们在菲律宾也有相同的食谱。好工作Liziqi女士
30605,UgwUqh3qPVUcy0MHtrt4AaABAg,0,"what a beautiful place liziqi !!! is it china?
i would like to know personally ... living in such a place is a privilege! hug!","Liziqi多么美丽的地方！！！是中国吗？
我想亲自知道...住在这样的地方是一种特权！拥抱！"
30535,Ugyj8_BU07MhMfhprU14AaABAg,0,4.7k in just 10 hours!!!amazing.mis s liziqi whole universe love and appreciate your hardworking.keep amazed us with your new video,4.7k在短短10个小时内！！令人惊叹。
30511,UgzsJPh6Uig6nlA127V4AaABAg,0,hee hii my love liziqi miss you everyday dear,hee hii我的爱liziqi每天想念你亲爱的
30505,UgwPVjudx3QEPXCGs6x4AaABAg,0,hey liziqi we are from india. we can't understand chinese language. so plz give us some english subtitles.,嘿，我们来自印度。我们无法理解中文。所以请给我们一些英文字幕。
30449,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39R8Or-dwniq,0,"that's her grandma, liziqi called her ""grandma"" in chinese",那是她的祖母，利兹奇用中文称她为“奶奶”
30142,UgyPRXFwtaFKUX2zovl4AaABAg,0,"i love liziqi's videos!!! but i have so many questions......like is the garden a communal one for a group of people or relatives? who plants, weeds and waters the garden? who owns the land where she gathers other foods from? looking forward to the next video!",我喜欢Liziqi的视频！！！但是我有很多问题……就像花园是一群人或亲戚的公共问题吗？谁的植物，杂草和水在花园里？谁拥有她从那里收集其他食物的土地？期待下一个视频！
31256,UgwNGGsIB_A-T_H4p2d4AaABAg,0,"we love you liziqi 
bless form sri lanka
village kids make delicious star gooseberry dessert | village food

https://www.youtube.com/watch?v=x56pzw-azgo","我们爱你liziqi
保佑斯里兰卡
乡村孩子们制作美味的星醋栗甜点|乡村食物

https://www.youtube.com/watch?v=x56pzw-azgo"
30122,Ugwl2pRW9lkWsNx9Bfl4AaABAg,0,i love you liziqi!!!! all the way from brazil!!!,我爱你liziqi !!!!一路从巴西到巴西！！！
30072,Ugyaqlvu9jcHytRLpHt4AaABAg,0,eid mubarak liziqi,Eid Mubarak Liziqi
29861,UgxtHXVy-s0D381MSzl4AaABAg,0,"15 hours ago over 2 million viewers ! what do you think about her, anytime i watching liziqi i'm so relax and enjoy her ! thank you liziqi ❤️",15小时前，超过200万观众！您如何看待她，每当我看Liziqi时，我都会很放松并享受她！谢谢你liziqi❤️
29857,UgwnTrpnGfMeuN1DOx14AaABAg,0,"i would love to just sit there and eat, such a peaceful place. take care, liziqi. ^^",我很想坐在那里吃饭，这是一个宁静的地方。保重，liziqi。 ^^
29848,UgwWOdDXPvdIunzP9KZ4AaABAg,0,"hello and greetings a big hug from veracruz, mexico, and even after you do everything and show us that if you can, you have a sense of humor:
06:57 thank you 李子柒 liziqi for the whole.","您好，问候墨西哥的Veracruz一个大大的拥抱，即使您做了所有事情，并向我们展示，如果可以的话，您有一种幽默感：
06:57谢谢liziqi的整体。"
29832,Ugz7ZsnwqpcnK-EJYHd4AaABAg,0,"like millions of others i really enjoy watching liziqi videos but i have a two part question that hopefully some of her other fans can answer. does she really live as depicted in the videos and is she popular in china? i get the impression from some of her videos that she is an international celebrity. regardless, i love the girl!",像数百万人一样，我真的很喜欢观看Liziqi视频，但是我有一个两部分问题，希望她的其他一些粉丝可以回答。她真的像视频中所描绘的那样生活吗？她在中国很受欢迎吗？我从她的一些视频中得到她的印象，说她是国际名人。无论如何，我爱那个女孩！
29786,Ugy5JsQyFEB8MNH1Agp4AaABAg,0,sounds like rattlesnakes. be safe liziqi,听起来像响尾蛇。安全的利兹奇
29774,UgzyEgfDjmyq8j1TuXJ4AaABAg,0,liziqi i like your grandma. how old is she?,liziqi我喜欢你的祖母。她年纪多大？
29756,UgxKChofSDvjVjdzBWp4AaABAg,0,"miss liziqi, please take a recipe for cough and cold",利兹奇小姐，请服用咳嗽和冷的食谱
29716,Ugwj4oKQmmFxLNrpRXR4AaABAg,0,"every time youtube notify me that there is a new video from liziqi, i stopped what ever the thing i am doing. i was supposed to be doing my laboratory homework but her video is my escape. it helps me to relax.",每当YouTube通知我有Liziqi的新视频时，我都停止了自己正在做的事情。我本来应该做我的实验室作业，但她的视频是我的逃生。它可以帮助我放松。
29710,UgxJdr8Tly6dKP0MA_F4AaABAg,0,"wow 2.3 m views in 18 hours, i think everyone very miss your video. thanks for upload liziqi!",哇2.3 m的景色在18小时内，我认为每个人都非常想念您的视频。感谢您上传Liziqi！
29674,Ugz7BhloBEgm1Zdj_3x4AaABAg,0,"i don’t trust snails, but if liziqi preps it then i’m good, :)",我不信任蜗牛，但是如果利兹奇准备好蜗牛，那我很好，:)
29534,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ydK435ei4e,0,"@shiminli3966 liziqi is from pingwu, sichuan, which is pretty far away from nepal....2000 km",@Shiminli3966 Liziqi来自Sichuan的Pingwu，距离尼泊尔很远。...2000 km
29478,UgyzvCx57fW5WDTk5FJ4AaABAg,0,"dear liziqi, when do you rest? you are amazing. take care of you, you are impressive for all for all us. mc",亲爱的利兹奇，你什么时候休息？你很棒。照顾好你，你们对我们所有人都有印象深刻。 MC
31203,UgzMuJ4-i_3bD1wXnXh4AaABAg,0,hi liziqi . iam from kerala(india). i love your all videos,嗨，liziqi。来自喀拉拉邦（印度）的IAM。我爱你的所有视频
31266,UgxNTa492iJzMxtDNel4AaABAg,0,"there are humans dislike this video. one question why dislike ? just wondering why human dislike this video because is not even contents violence or anything that we watch something bad.
to my opinion liziqi just share how to survive and what you can do with nature, what you can do to make your self better and how to appreciate your environment sorrounding you. all her videos showing really something beneficial to all races from all over the world. she was race by her granma that teached her how to live in this world without giving up. so i think we should appreciate this video. 
as human we always never have enough in our life but she have everything and she managed to do by herself.","有人类不喜欢这个视频。一个问题为什么不喜欢？只是想知道为什么人不喜欢这部影片，因为甚至不是目的暴力或我们观看过一些不好的事物。
我认为利兹奇只分享了如何生存以及您可以与大自然做些什么，可以做些什么来使自己变得更好以及如何欣赏您的环境使您痛苦。她的所有视频都显示出对世界各地的所有种族的有益的东西。她正在遭到颗粒竞赛，教她如何在这个世界上生活中生活。因此，我认为我们应该感谢这个视频。
作为人类，我们一生中永远都没有足够的人，但是她拥有一切，她设法自己做。"
32986,Ugx9PcPYf5yhZNe211p4AaABAg,0,"she eating all nature, meat and not getting fat, loving your work always my dear mentor liziqi",她吃了所有的大自然，肉，不发胖，爱你的工作总是我亲爱的导师liziqi
32253,UgyMjEnMi7ld8AK3Skh4AaABAg,0,liziqi this was a very praying full thing from india please give subtitles in english please dearrrrrr,liziqi这是印度的一件非常祈祷的事情
32953,UgzrtarIPkMtOlWsgoF4AaABAg,0,"i from vietnam
liziqi
hope you have vietnamese subtitles ...","我来自越南
liziqi
希望您有越南字幕..."
32907,Ugx7Pip1mgahxG5_JMp4AaABAg,0,"i wish liziqi or someone could start a programme that allows people to come to the area she lives, get land, build sustainable houses and hold workshops where she could come and will teach everyone what they need to know to survive. she basically knows everything is seems. then we could all slowly start going back to nature and living our lives like liziqi. this would be amazing.
the liziqi movement. i'd be over in a heartbeat.","我希望Liziqi或某人可以启动一项计划，让人们来她所居住的地区，获得土地，建造可持续的房屋并举办讲习班，并可以在这里教每个人，以教所有他们需要认识的东西以生存。她基本上知道一切似乎。然后，我们都可以慢慢开始回到大自然，像利兹奇一样过着我们的生活。这会很棒。
Liziqi运动。我会心跳加速。"
32676,UgygK32TEiPHd_m_AGR4AaABAg,0,koi cheez nhi jo yeh kha na ly liziqi madam,Koi Cheez nhi Jo yeh kha na ly liziqi女士
32611,UgwhjwX4soOlpbY0nbJ4AaABAg,0,liziqi truly is a chinese princess ❤,利兹奇确实是中国公主❤
32593,UgzSB40vcKQMxarAVRB4AaABAg,0,nice sir and liziqi iam pakistan iam big fane for you ... hasnain shah,尼斯先生和liziqi iam巴基斯坦IAM Big Fane ... Hasnain Shah
32572,UgxxlP8Sj4gUU4k2iSl4AaABAg,0,"thanks you liziqi for 3 new video this week
feel so amazed watching you","谢谢您Liziqi本周的3个新视频
感到很惊讶看着你"
32555,UgyMwZiIB8UT1U79_r94AaABAg,0,".aku suka ,, vidio nya bagus bagus banget,, liziqi cantik banget,, mantap,, dari indonesia,,",。
32422,UgzVqG2BMidNonH41j54AaABAg,0,"love in liziqi, multitalent",爱在liziqi，多重
32391,Ugyu_7CW5BRQSCfFkc54AaABAg,0,i hope kids these days keep their culture alive like liziqi,我希望这些天的孩子像利兹基一样能使他们的文化活着
32366,Ugw0LqRtsXHpWV5O7NJ4AaABAg,0,wow my fave viane u have a lots of menu u can make in this bamboo shoot.thank liziqi for sharing knowledge how to cook bamboo shoot..i luv u grandma mwah!,哇，我最喜欢的viane，你有很多菜单，你可以在这张竹脚射击中做很多菜单。
32365,Ugy9rXQuM2RvmxP6lL94AaABAg,0,"it is a pleasure to see your liziqi videos, and if it is twice it is a luxury for all who follow you. peace and love.",很高兴看到您的Liziqi视频，如果是两倍，那么对于所有跟随您的人来说，这是一种奢侈品。和平与爱。
32353,UgziWjkfe7GXCcgM1M54AaABAg,0,hi liziqi iam very big of u,嗨，liziqi iam你很大
32278,UgwFrvFyxNTrRFfXEQ94AaABAg,0,only liziqi's video that i love just watched,我喜欢观看的只有Liziqi的视频
32270,UgxDsqeMGIs3gzzbOFR4AaABAg,0,"my another name is 'lizu'.
take love from bangladesh liziqi ❤❤","我的另一个名字是“ lizu”。
从孟加拉国liziqi take"
32199,UgyJSSM-bQagOeFXDIF4AaABAg,0,keep going liziqi for making another video,继续进行Liziqi制作另一个视频
31398,UgylAYnQnGNj8IdNnvV4AaABAg,0,dear liziqi and brother... thank you so much for listen our hope and request to make and share your video more often,亲爱的liziqi和兄弟...非常感谢您倾听我们的希望，并要求更经常制作和分享您的视频。
32169,UgwaQTGNrKpowNPHVOJ4AaABAg,0,why aren’t you laughing liziqi?i mean you’re a bit serious. so i m sorry maybe i m wrong,您为什么不笑Liziqi？我的意思是您有点认真。所以我很抱歉，也许我错了
32034,UgzDB4U18PRhOpNoceR4AaABAg,0,nor do it ma liziqi from peru,也不是秘鲁的liziqi
32003,UgyzicNg6rP3dOkDRol4AaABAg,0,when ever i feel stressed i watch ur vedios.. the music made me calm nd cool nd the visual provides peace of mind.... love u lot liziqi... thank u for making such peacefull vedios,每当我感到压力时，我都会看着ur vedios ..音乐使我冷静下来，视觉效果让您放心。
31910,UgxlBEWVpD6srXBT-WB4AaABAg,0,"it turns out that liziqi eats water spinach, purslane & tutut",事实证明，利兹奇吃了菠菜，cust骨和图特
31840,Ugx_JuATjCNfv3MCZq14AaABAg,0,hi liziqi!!! loveeeee your videos.,嗨，liziqi！ Loveeeee您的视频。
31760,UgzZBEUlUmOjlPC7rDl4AaABAg,0,liziqiiiiiiiiii,liziqiiiiiiii
31748,UgxykgxFptJhjQ5l6zp4AaABAg,0,from indonesia which one likes liziqi ..,从印度尼西亚喜欢Liziqi ..
25625,UgwPjj6vnaxKH6BXapZ4AaABAg.8z0-YsL1sF18z04ofZbl3f,0,she is chinese！liziqi is from china,她是中国人！liziqi来自中国
31691,UgyN8tFYPQyfKoJgNjl4AaABAg,0,liziqi you are grandma are wonderful in your short videos very much,liziqi你是奶奶在短视频中很棒
31686,UgyB91c2HYpgU9y7uOt4AaABAg,0,omg these back to back videos! liziqi is working so hard for us. make sure to take time for yourself as well ❤️,这些背对背视频！ Liziqi为我们努力工作。确保还花时间为自己❤️
31681,UgwZy_alm-XYyUCmirl4AaABAg,0,she is blessed by god....liziqi always rocks,她得到了上帝的祝福。
31670,Ugx3lh8xzcxdMJm7BZp4AaABAg,0,"liziqi's been uploading quite a bit lately. all the same, i'm glad to see she's doing well. lots of love, liziqi!",Liziqi最近上传了很多。同样，我很高兴看到她的状况很好。很多爱，liziqi！
31444,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVcQvy8bf-,0,@richardwanghao8637 check out liziqi cuisine,@Richardwanghao8637查看Liziqi美食
31411,UgyWGukZU2jM-A2Wrqx4AaABAg,0,"liziqi didi, your grandma is so cute. she is lucky to have hardworking and caring granddaughter like you. bless you both! wish i had the opportunity to taste what you cook, your dishes look so delicious.",利兹奇·迪迪（Liziqi Didi），你的祖母真可爱。她很幸运能像您一样勤奋和关怀孙女。祝福你们俩！希望我有机会品尝您的烹饪，您的菜看起来很美味。
25719,UgxNC6ZYblCGz8vWWrF4AaABAg.8yzLftiLUBI8z0UoIUEpKL,0,"in fact, i think that liziqi cooks for the whole crew that currently helps her with shooting the videos (her assistant, a photographer ...), and of course for her beloved grandmother!",实际上，我认为Liziqi为整个工作人员提供厨师，目前帮助她拍摄视频（她的助手，摄影师...），当然还有她心爱的祖母！
19404,UgxSATmvPcam_DggqrN4AaABAg,0,"if it's the end of the world, one of my top priority will be searching for liziqi... i'm sure i'll survive...",如果这是世界末日，我的首要任务之一就是寻找利兹基...我敢肯定我会生存...
25614,UgxtbTec_32f-O-IEEx4AaABAg,0,first of all i would like to this liziqi channel to bring me and artful beautiful cooking i really wondered receipe from bamboo shoot and vegetables,首先，我想进入这个Liziqi频道，为我带来我和巧妙的美丽烹饪，我真的想知道从竹芽和蔬菜中收到的收到
3803,Ugypm5p_IS1G-fgYpwh4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of bags of liziqi snail powder. if you are interested in liziqi snail powder, please contact me",我是Liziqi蜗牛粉的分销商。有成千上万的利兹克蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系
3746,UgwkU9P3QjiThA7zbCp4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
3794,UgwdpO0Hb1Gbcxlqbud4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
3798,UgwJ2Pfbc43und20QyV4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of packages of liziqi snail powder. if you are interested in liziqi snail powder, please contact me.",我是Liziqi蜗牛粉的分销商。有成千上万包Liziqi蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系。
3799,Ugz6uMfCwK9zKvGYCCZ4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of packages of liziqi snail powder. if you are interested in liziqi snail powder, please contact me. my micro signal is 15870570776",我是Liziqi蜗牛粉的分销商。有成千上万包Liziqi蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系。我的微信号是15870570776
3800,UgwM1J1gZqFmHzEwfNZ4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of packages of liziqi snail powder. if you are interested in liziqi snail powder, please contact me. my micro signal is 15870570776",我是Liziqi蜗牛粉的分销商。有成千上万包Liziqi蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系。我的微信号是15870570776
3801,UgyRGGeGubhaBaG5mW14AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of packages of liziqi snail powder. if you are interested in liziqi snail powder, please contact me. my micro signal is 15870570776",我是Liziqi蜗牛粉的分销商。有成千上万包Liziqi蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系。我的微信号是15870570776
3802,UgxUUCVOOFbydbvhslt4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of bags of liziqi snail powder. if you are interested in liziqi snail powder, please contact me",我是Liziqi蜗牛粉的分销商。有成千上万的利兹克蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系
3804,UgzIAx2-pRpfjh6msEx4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of bags of liziqi snail powder. if you are interested in liziqi snail powder, please contact me",我是Liziqi蜗牛粉的分销商。有成千上万的利兹克蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系
4514,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9RnG0X4T6lH,0,@o o there was one time when liziqi made a chinese version of spicy fermented cabbage and some koreans said she was appropriating kim chi. i don't she called it kim chi.,@o o有一次利兹奇制作了中文版的辣卷心菜，一些韩国人说她正在拨出金奇。我不是她称它为金奇。
3805,UgyhSoiB9hKgX5pzJLp4AaABAg,0,"i am the distributor of liziqi snail powder. there are tens of thousands of bags of liziqi snail powder. if you are interested in liziqi snail powder, please contact me",我是Liziqi蜗牛粉的分销商。有成千上万的利兹克蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系
3931,UgwzPRQltmgLZAS_A0V4AaABAg.9LdNjWhv6p-9M_qkPa0Qf1,0,"because this isn’t a video about her dog, you dingus. the focus is liziqi’s cooking. dingus.",因为这不是关于她的狗的视频，所以你丁格斯。重点是Liziqi的烹饪。 Dingus。
3988,UgwGF-mfOEwIG9tT5714AaABAg.9LZpMIo1MzO9T7EWnOklWt,0,"it was said that liziqi was raised by her granny alone, so liziqi is luckier and grateful.",据说Liziqi仅由她的奶奶抚养长大，所以Liziqi幸运而感激。
4000,UgwR8TejxZR_nWehjnN4AaABAg,0,super women liziqi,Super women Liziqi
4033,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9Lc9UQ4GqMX,0,"because
korean: liziqi's grandma is korean!!!","因为
韩语：利兹奇的祖母是韩国人！！！"
4075,Ugy_b8i1zRPnwzYSJEd4AaABAg,0,indonesia indonesia ... liziqi amasing,印度尼西亚印度尼西亚... liziqi amasing
4283,UgzwvPLnMPUo_ESOIpN4AaABAg.9K5q4JLQZdo9MIc1JvEN8d,0,"i am the distributor of liziqi snail powder. there are tens of thousands of packages of liziqi snail powder. if you are interested in liziqi snail powder, please contact me. my micro signal is 15870570776",我是Liziqi蜗牛粉的分销商。有成千上万包Liziqi蜗牛粉。如果您对Liziqi蜗牛粉感兴趣，请与我联系。我的微信号是15870570776
3745,Ugwup4r99Vy0TTcqoBp4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
3593,UgysH3gH9NXyKiAQvJF4AaABAg,0,hi liziqi - you are showing orchards with fruits flowers and vegetables. are these all from your garden and in one place. i’m quite curious to know so many varieties of vegetables and fruits growing in one plot of land.,嗨，liziqi-您正在展示带有水果花朵和蔬菜的果园。这些都是从您的花园和一个地方。我很想知道在一块土地上生长的蔬菜和水果这么多种。
3499,Ugxv5MeaMr-BezMoR454AaABAg,0,"

how do you atone for god, and you are a dead, so i will revive you 
how do you dispyve in allah, who bestowed life up you when you were like, then he will cause you to die and will again bring you back to life so that you will be recurned to be.
(al-quran, surah baqarah, ayat-28)

every slimm viewer should sugges to liziqi about islam.this is true love.no one can go heven with islam.","伊斯兰只有真正的宗教。没有上帝，而是真主和先知穆阿玛德（ﷺ）是他关于伊斯兰教的Messenger.u Shulad研究。你会得到真正的道路和桃子。

你如何为上帝弥补，你已经死了，所以我会振兴你
当您喜欢的时候赋予您生活的真主，您将如何派遣生活，然后他会导致您死亡，并再次使您重新栩栩如生，以便您将被拒之门外。
（Al-Quran，Surah Baqarah，Ayat-28）

每个Slimm的观众都应该向Liziqi提出有关伊斯兰教的建议。这是真正的爱。没有人可以与伊斯兰教一起去。"
3440,Ugwi0gfD6GKQrxUYKmR4AaABAg,0,grandma took liziqi's noodle but liziqi not allow her .... it's so funny ... it's so spicy grandma,奶奶拿了利兹奇的面条，但利兹奇不允许她....这真是太有趣了...太辣奶奶了
2585,UgwfjPf_oYdHFcCeOZ54AaABAg,0,but liziqi i am vegetarian,但是liziqi我是素食主义者
2607,Ugw_MzpcPGCK7RwNFeV4AaABAg,0,what is the meaning of liziqi can any one tell me buy the way you are truly awesome i love your all videos keep going,Liziqi的含义是什么，有人告诉我以您的真正出色的方式购买我爱您所有视频的方式
2617,Ugw_MzpcPGCK7RwNFeV4AaABAg.9SES0QbNk9H9SFyUVqcNIc,0,历史老师 i know liziqi is her username but every name has a meaning if you know then tell me,历史老师我知道liziqi是她的用户名，但每个名称都有意义，如果您知道，请告诉我
2713,UgziSlbnJBz0citWlvl4AaABAg,0,"when god created humans he placed them in a garden 
like liziqi's","当上帝创造人时，他把它们放在花园里
像liziqi's"
2723,UgxvcODDjFdoZJSAJgV4AaABAg,0,liziqi… the only woman who can make food out garden weeds.,liziqi…唯一可以将食物制成花园杂草的女人。
2807,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9WARwIe9uMI,0,"never hurts to remind people the reality of things when it's portrayed in too unrealistic of a manner. just because you came from the country and knows what it's like doesn't mean every person who lived in the city their entire life knows.

farmers who own land in china often rent out their land instead. because really, few people want to farm when given the choice.

there is no denying that liziqi's videos are educational and of high quality.","当事物以一种不现实的方式描绘事物时，提醒人们事物的现实永远不会受到伤害。仅仅因为您来自该国并知道这是什么意思，并不意味着每个生活在城市中的人都知道。

在中国拥有土地的农民经常将其土地出租。因为真的，很少有人想在选择时耕种。

不可否认的是，利兹奇的视频具有教育性和高质量。"
2897,UgyXWxndYtHWWn-pWCt4AaABAg,0,awww liziqi,awwwliziqi
2918,UgyzwE51-v73m2LpgKB4AaABAg,0,nice baget kak liziqi,漂亮的小袋kak liziqi
2927,UgyzIkLcDZEi_Hw5d4B4AaABAg.9Qj7umTKX949RnGbAB2svJ,0,"liziqi carefully watches her grandma's diet, this soup maybe too spicy. look for the ice cream video when grandma tries to sneak more ice cream.",Liziqi仔细地看着她奶奶的饮食，这种汤可能太辣。当奶奶试图偷偷溜走更多冰淇淋时，请寻找冰淇淋视频。
3070,UgzkAgc6dO4FkVf_kil4AaABAg,0,i love liziqi❤️,我爱liziqi❤️
3283,Ugyb46UKg4smCVSxMEt4AaABAg,0,liziqi i love your video wow,liziqi我爱你的视频哇
3369,UgzbrkxvUEPRQeCTWyV4AaABAg,0,i like your grandma liziqi,我喜欢你奶奶liziqi
3374,UgxLz6tB0M4UkWQMCyB4AaABAg,0,hai liziqi how r u iam indian girl and dily iam watching u r every video,hai liziqi如何看着印度女孩和迪利·艾姆（Dily Iam）
3385,Ugw4Zs5NFpx5CbmM9LJ4AaABAg,0,liziqi's spirit,利兹奇的精神
3409,UgxeB_iyhDBOWbBpnVh4AaABAg,0,love you from nepal ❤❤❤liziqi i love your channel so much.,来自尼泊尔的爱你，我非常爱你的频道。
