,cid,votes,time,含liziqi,含liziqi中文翻译
897,UgwwjOMvQ0Tw-BN-iYZ4AaABAg,1,6 months ago,please come back liziqi,请回来Liziqi
5315,UgyqCLBBe4AJsLRtemR4AaABAg,1,1 year ago,liziqi you are very beautiful :),liziqi你很漂亮:)
2969,Ugy_xocr67ySLMktfLh4AaABAg,1,1 year ago,haiii liziqi,Haiii liziqi
2990,Ugz0RVgYruRtgvc4MVF4AaABAg.9VNHZNd8ALL9XSVQwiww3x,1,1 year ago,i am happy to see liziqi wkwk,我很高兴看到liziqi wkwk
5137,UgyWz1FIKBdWWYXlfm94AaABAg,1,1 year ago,liziqi i love you❤️❤️❤️❤️,liziqi我爱你❤️❤️❤️❤️
3193,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9Yj_W58ZB5V,1,1 year ago,hiiii liziqii..... i fans you from indonesian when you comeback on the youtube you make how to step by step cooking and i so sad not cant see you again ...i misss misss misss,hiiii liziqii .....我在YouTube上卷土重来时从印度尼西亚人迷给您，您会逐步烹饪，我很难过，再也看不到你了...我想念小姐小姐小姐
4848,UgzFK5jHBzSGnLD-FNl4AaABAg,1,1 year ago,"06：00 ,the 2 puppys and liziqi are all scared to jump up when the popcorn have a big bang!!!!lol",06:00，当爆米花有一个大爆炸时，两只小狗和利兹奇都害怕跳起来！
1001,UgwmAWKmpPahdtzE8GJ4AaABAg,1,7 months ago,"where is liziqi ...
why is there no new video anymore ... &t","liziqi在哪里...
为什么不再有新视频...＆t"
4730,UgxsZkzEX8s_3aoIHZ54AaABAg,1,1 year ago,so cute liziqi s,So cute liziqi
3324,UgzcDsjPGXc-Az61Iqd4AaABAg,1,1 year ago,liziqi upload new video i am waiting for your new video pls upload,liziqi上传新视频，我正在等待您的新视频上传
1627,UgylZmTE5L0LWbLDhHd4AaABAg,1,1 year ago,liziqi are you ok,liziqi你是ok
4311,Ugzy1hkEhODxYseM1VN4AaABAg,1,1 year ago,wow liziqi your handcraft and your cooking dishes are so beautiful.,哇，您的手工艺品和烹饪菜真漂亮。
1605,UgxKOOjVuKEt0V_qqn14AaABAg,1,1 year ago,where is liziqis new video,liziqis新视频在哪里
1088,Ugwe6cYdrbvFav5nP7p4AaABAg,1,8 months ago,i miss you liziqi๐ฅบ๐ฅบ๐ฅบ,我想念你liziqi
1595,Ugyl59E-8sGEhuijpox4AaABAg,1,1 year ago,liziqi plz come back,liziqi plz回来
1583,Ugw15C1oQw-vkctBFtx4AaABAg,1,1 year ago,i really miss your video's liziqi......,我真的很想念您的视频的liziqi ......
4067,UgxL3B8PnRUd0Ixjuvt4AaABAg,1,1 year ago,if offered a day where you want to go or so who wants to be able to meet the liziqi cuisine.,如果提供了您想去的一天，或者谁希望能够见到Liziqi美食。
3960,UgxxeDHtP7817E1sFot4AaABAg,1,1 year ago,"liziqi and her grandmother: tenderly wrapping every candy
me: tenderly designing every unique card
my class: reeee","Liziqi和她的祖母：温柔地包裹所有糖果
我：温柔地设计每张独特的卡片
我的课：reeee"
3943,UgxiSQ1ilDvL3C8IjcR4AaABAg,1,1 year ago,hi liziqi i am from bangladesh always love you i really like your all video you amazing gril,嗨，liziqi，我来自孟加拉国总是爱你，我真的很喜欢你的全部视频，你很棒的gril
1438,UgyU76LtZ1jJq4DsMt94AaABAg,1,11 months ago,we miss you liziqi. please come back ๐ญ,我们想念您Liziqi。请回来
1407,Ugx90jTYycwBk9zV-D14AaABAg,1,10 months ago,liziqi i miss you ๐’๐ญ,liziqi我想念你
438,UgweAek2bd3qh98zMM14AaABAg,1,3 months ago,i wish you back liziqi..,祝你回来liziqi ..
3697,Ugw9k22-OjDL5vJCunl4AaABAg,1,1 year ago,"i am from indonesia like watching this video, liziqi's fans in indonesia are also even inspired after watching this.",我来自印度尼西亚，喜欢观看此视频，Liziqi在印度尼西亚的粉丝在观看此视频后甚至还受到了启发。
284,UgwqIkWnpQNMaTfJqzp4AaABAg,1,2 months ago,"i miss u liziqi,, please came back",我想念你liziqi，请回来
2482,UgwXRCONq-D_hNGWmzR4AaABAg,1,1 year ago,really missed liziqi videos hope she uploads soon in her channel,真的错过了Liziqi视频，希望她能尽快上传到频道
82,Ugyvde4Mvs7InpxZCXp4AaABAg,1,2 weeks ago,mis you liziqi plz come back,误会你liziqi plz回来
239,UgzHQJgG9w5JF6D6RG94AaABAg,1,1 month ago,liziqi quickly returns,Liziqi很快返回
282,UgwnVJQaYk-dcU5P7kN4AaABAg,1,2 months ago,the power of liziqi,liziqi
253,UgywAqPG2ccOOS1Lual4AaABAg,1,1 month ago,liziqi is a my most favourite yotube chanel and this girls is beautiful girl,liziqi是我最喜欢的Yotube Chanel，这个女孩是美丽的女孩
100,UgwSbG_ex0RDRg7dxBN4AaABAg,1,2 weeks ago,miss you liziqi,miss you liziqi
20855,UgzswkrkZL4RPg_isYN4AaABAg,0,3 years ago,most funny thing is liziqi being scared by the popcorn,最有趣的是Liziqi被爆米花吓到了
25257,UgykQf8yBf5FMkCJn594AaABAg,0,3 years ago (edited),"liziqi ll this love
haha joke 
is that your name 
its so cute
your look like
twice :mina","liziqi ll这种爱
哈哈笑话
那是你的名字吗
它真可爱
你的外观
两次：Mina"
25133,Ugwg9nINOKcAKkAQMUp4AaABAg,0,3 years ago,liziqi you are a very great person n hardworking when i watched ur videos i feel relax and most important i like u n ur grandma she is so cute god bless you,liziqi你是一个非常伟大的人，当我看你的视频时，我感到放松，最重要的是我喜欢你，她是如此可爱的上帝保佑你
25049,Ugxu9ywTQVCrOjSPptZ4AaABAg,0,3 years ago,"liziqi is doing such a good work , this is worth watching.๐ and her videographer is doing a good work too, those panoramic views are great. if iโ€m not mistaken liziqi is doing her videos on her own before.๐๐",Liziqi做得很好，值得一看。如果我没记错的话，liziqi以前是自己做她的视频。
25030,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v891wPz5Zpa0F,0,3 years ago (edited),"hu k liziqiโ€s video was make out of personal intention. she was invited to for a interview earlier and she said she purely wanted to share her own life style with others. it has nothing to do with promoting countryside. but in your speech, you are trying to make things very political and complicated. only few cities in china had air pollution for about 1 months time and only during winter. if this could affect all neighborhoods asian countries, it is very much exaggeration. if some asian country can hardly see clean air, they should work on their own environment, instead of putting blame on china. your country should tell the truth to the public instead of twisted news.",Hu K Liziqi的视频是出于个人意图而制作的。她早些时候被邀请接受采访，她说她纯粹想与他人分享自己的生活方式。这与促进乡村无关。但是在您的演讲中，您试图使事情变得非常政治和复杂。中国只有很少的城市在大约1个月的时间内遭受空气污染。如果这可能会影响亚洲所有社区，那将是非常夸张的。如果某些亚洲国家几乎看不到清洁的空气，他们应该在自己的环境下工作，而不是责怪中国。贵国应该向公众说实话，而不是扭曲的新闻。
20894,UgwBggIZFzkLlCpyjGd4AaABAg,0,3 years ago (edited),"i believe this is what it means to rich! not a mansion, maids, and a chauffeur. love how liziqi and her grandma chat and laugh all the time. love your videos very much! i have watched alot of them more than once. thank you. bless you and your grandma! happy 2020!",我相信这就是富人的意义！不是豪宅，女佣和司机。喜欢Liziqi和她的奶奶聊天并一直笑。非常喜欢您的视频！我已经不止一次地看着他们。谢谢。祝福你和你的祖母！ 2020年快乐！
25008,UgzcvdUtq5TYWWGM1eN4AaABAg,0,3 years ago,"i just realized what if we lived like liziqi?
life and earth would have been better unlike what it is today.","我只是意识到，如果我们像利兹基一样生活怎么办？
生命和地球本来会更好，而不是今天的生活。"
2210,Ugw51zPIFGvuk52RrQp4AaABAg,0,1 year ago,"where are u liziqi, miss your new video's",你在哪里liziqi，想念您的新视频
2026,Ugx_iJ0M5XJ30TGEPQN4AaABAg,0,1 year ago,https://youtube.com/c/liziqimusic,https://youtube.com/c/liziqimusic
2242,UgxVC91ziqHrhoeOnCZ4AaABAg,0,1 year ago,i miss liziqi's videos... where is she?,我想念Liziqi的视频...她在哪里？
24912,UgzF1PG0cMx7jEefy1B4AaABAg,0,3 years ago (edited),the pets were lovely ! 'liziqi had a little lamb' ๐คช,宠物很可爱！ 'liziqi有一点羔羊'
1636,Ugyym0i4gjXTLXfBndV4AaABAg,0,1 year ago,liziqi we miss you,liziqi我们想念你
1639,Ugw3jUc8PiGZVj_Ut254AaABAg,0,1 year ago,please came back liziqi i miss you,请回来Liziqi我想念你
2153,UgyR5ZvfPeGq8-8LdpR4AaABAg,0,1 year ago,"liziqi come back yaar , i miss you so much dear.",liziqi回来Yaar，我非常想念您。
24785,Ugz3YQ4TA-jDZVneq4t4AaABAg,0,3 years ago,"dear liziqi, you have very beautiful and inspiring videos.",亲爱的liziqi，您的视频非常漂亮和鼓舞人心。
24691,UgxLAlrW741W90M5vjJ4AaABAg,0,3 years ago,"a liziqi cookbook, please!",请一本Liziqi食谱！
1665,UgwAy3dii5ZY8bhg-sx4AaABAg,0,1 year ago,very nice.. inspired liziqi..,非常好..启发Liziqi ..
21012,UgwpFl6zRCQ5MLOX6SB4AaABAg,0,3 years ago,"hello liziqi
i come from vietnam
i have watched your videos and i love it. watch the video, remember when i was a kid making candy!","你好liziqi
我来自越南
我看过你的视频，我喜欢它。观看视频，记住我小时候做糖果的时候！"
24623,Ugz0Q_dTjZKuiqMpFoJ4AaABAg,0,3 years ago,imagine how lucky liziqis daughter is going to be.,想象一下Liziqis女儿将会是多么幸运。
24565,Ugzp6oU11dJU9x7x5S14AaABAg,0,3 years ago,"i think, i watched all of your videos. i keep repeating them. i watch other peoples' videos sometimes, but yours is the best liziqi !",我想，我看了您所有的视频。我不断重复它们。我有时会观看其他人的视频，但您的视频是最好的Liziqi！
24950,Ugw1X0r7EuC4Oy6CGpV4AaABAg,0,3 years ago,sad that liziqi is not making no money off this video considering its copyrighted. it got so many views too. anyway i doubt she cares cause she still makes a ton of money,遗憾的是，考虑到其版权保护，Liziqi并没有从这个视频中赚钱。它也有很多观点。无论如何，我怀疑她在乎，因为她仍然赚了很多钱
20801,UgzcyVlQyTWm1sFzqYJ4AaABAg,0,3 years ago,hi liziqi what a lump is this i love to see these tastes you do,嗨，liziqi，我很喜欢看到这些品味
2122,UgzQwxMMJzqQsNflR9R4AaABAg,0,1 year ago,thank you very much liziqi,非常感谢Liziqi
1448,Ugw5TLHIOYSeYJAF5Bl4AaABAg,0,11 months ago,i missed you miss liziqiโค๏ธ,我想念你Liziqi❤️小姐
26712,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9XjGTvFw5zL,0,1 year ago,there is all about liziqihttps://m.youtube.com/watch?v=otorjoc0gym,关于liziqihttps：//m.youtube.com/watch？v = otorjoc0gym
26695,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9RNK4BxkTRs,0,1 year ago,liziqi,Liziqi
26647,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9MLjDBwYdw_,0,2 years ago,liziqi was depressed too when she worked at a dead end job in a big polluted noisy city then moved to the country and now she seems to be too be to busy being happy and working hard to be depressed,利兹奇（Liziqi）在一个大污染的嘈杂城市的死胡同工作中工作时也感到沮丧，然后搬到了乡下
1378,Ugxas-Y_r_4oosb6hgN4AaABAg,0,10 months ago,liziqi where are you? why you donโ€t upload your video? what happened? really i miss u and your video so much. please come back๐ฅบ,liziqi你在哪里？为什么不上传视频？发生了什么？真的，我非常想念您和您的视频。请回来
20577,Ugzk4lQibQYBPlNQAp94AaABAg,0,3 years ago,"i want to be a sister, ms. liziqi",我想成为姐姐利兹奇女士
1435,UgxuftJbjNERsx9CRIF4AaABAg,0,11 months ago,miss you liziqi โค hope life's been good for you โค,想念你liziqi❤希望生活对你有好处❤
26200,Ugxv13YAf5RdNJNXvLZ4AaABAg,0,3 years ago,i love it liziqi,我喜欢它
1436,Ugz4yG0q2khMqWJIwup4AaABAg,0,11 months ago,please someone who tells me if the tascoles roasted with sugar or was it salt? @liziqi,请有人告诉我塔斯科尔是否用糖烤还是是盐？ @liziqi
26060,UgwlO1S7yHrzFyBSYXR4AaABAg,0,3 years ago,liziqi you make an fantastic job,liziqi你做得很棒
26038,UgyYb7T4qvF5650c2eJ4AaABAg,0,3 years ago,i love you liziqi,我爱你liziqi
20670,UgwghjM03xlvknsmNN94AaABAg,0,3 years ago,i want to visit liziqi and want to taste atleast one fruit hehehe...anyway i really admire the way she works everything...congratulations!,我想访问liziqi，想品尝至少一个水果呵呵呵呵...无论如何，我真的很佩服她的工作方式……恭喜！
25866,UgzSTkTNo_Gjlja7iBN4AaABAg,0,3 years ago,beautiful as always! liziqi is doing the proper thing in chinese society/culture by taking care of her elderly grandmother: filial piety is the bedrock of chinese society!,一如既往的漂亮！利兹奇（Liziqi）通过照顾她的年长祖母来做适当的事情：纯粹的虔诚是中国社会的基石！
25466,Ugzf52mEzweUhYWcdPt4AaABAg,0,3 years ago,"liziqi, more tender, than a worker ๐hermoso place, who is the lady your grandmother ?? ๐, moira ๐ฆ๐ท๐ฆ๐ท๐",liziqi，比工人
25865,Ugw0sd-lalLqdKztamJ4AaABAg,0,3 years ago,i love u liziqi,我爱你liziqi
1457,UgzQ3dp_CwRBsZbKguV4AaABAg,0,11 months ago,miss you liziqi๐ฅ please comeback ๐ฅบ,想念你liziqi
25670,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL90-RgJcUdpM,0,3 years ago,world oา“ ส€ึ…สษplay so what? does it have anything to do with liziqi and people whoโ€s curious to visit china? tired of your old same things blah blah blah lol,世界上玩的世界呢？它与利兹奇和好奇地访问中国的人有什么关系吗？厌倦了你的旧事物等等等等
1463,Ugz8vyl6NQw_wZH2lj14AaABAg,0,11 months ago,where r u liziqi,r u u liziqi
20738,Ugz7RoVKrbtCVq7KRXN4AaABAg,0,3 years ago,"all my best wishes for you and your grandma, liziqi.",我对您和您的祖母Liziqi的最愉快的祝愿。
2268,UgyGKgG_carvqUzB8dl4AaABAg,0,1 year ago,where are you liziqi. please come back :(,你在哪里liziqi。请回来:(
25643,Ugw03NN1xMtoW55OOgh4AaABAg,0,3 years ago,"hi miss liziqi i like you, and i want to eat your cooking",嗨，利兹奇小姐，我喜欢你，我想吃你的烹饪
25623,UgyhefZvK29iF7FHqQN4AaABAg,0,3 years ago,thank you for sharing chinese food recipes. liziqi,感谢您分享中国食谱。 liziqi
1488,UgxE-Nly_CjHZGhomZp4AaABAg,0,11 months ago,wowww....amazing...113 milions more viewers.....liziqi the best chinese food vlogger,WOWWW ....令人惊讶... 1.13英里更多的观众..... Liziqi最好的中国食品vlogger
1508,UgxSXCxwsgYIc1FHGk54AaABAg,0,11 months ago,come back liziqi,回来Liziqi
20800,Ugy6N6ILb2WRpMORv3F4AaABAg.94B_8-zCSqo94De_A5MAR9,0,3 years ago (edited),"superdoglover haha ! i think it is a cat or totoro shape oven . but some people consider it is a dog shape oven because the ovenโ€s name โ€้่“โ€ is just the same name as one of liziqiโ€s doggies.

she even made the oven by herself . maybe you can find the answer by the following link:

https://youtu.be/cahnb7vr-am","Superdoglover哈哈！我认为这是猫或鸡翅烤箱。但是有些人认为这是狗形烤箱，因为烤箱的名称“锅盖”与Liziqi的狗狗的名字相同。

她甚至自己做烤箱。也许您可以通过以下链接找到答案：

https://youtu.be/cahnb7vr-am"
21021,Ugyw8-ApJFcUrtIaE_J4AaABAg,0,3 years ago,is satisfying see how liziqi cuts the mango,令人满意的是Liziqi如何剪芒果
21206,UgzfHYJAfbEkHq6onMZ4AaABAg.93uZHAiKGA094KYh094u4-,0,3 years ago,"nah, liziqi is where it's at ๐’ฏ",不，liziqi在
24470,UgysMA_HeKC7tN4Ir7Z4AaABAg,0,3 years ago,"liziqi, are you a hmong? newspapers in vietnam have many articles about you. you should learn more about buddhism, so that your father's second wife is someone you owe them from past lives, you should not hate this person.",liziqi，你是苗族吗？越南报纸上有很多有关您的文章。您应该了解更多有关佛教的信息，以便您父亲的第二任妻子是您从过去的生活中欠他们的人，您不应该讨厌这个人。
22371,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza93Am-NSIDau,0,3 years ago,they all think liziqi is their mom and they will grow up like her.,他们都认为利兹奇是他们的妈妈，他们会像她一样成长。
2028,UgyIDqLiC9g_gunJ_tR4AaABAg,0,1 year ago,miss you liziqi,Miss you liziqi
22720,UgxoQRSSkZA6OotoqXN4AaABAg,0,3 years ago,"after retiring, this is the life i want to be. i will divorce my wife and find another liziqi. but then again, liziqi
is one of a kind, maybe i will just keep eating the wifey's bearable food. hahahaha","退休后，这就是我想成为的生活。我将离婚我的妻子，找到另一个利兹奇。但是再说一次，liziqi
是一种，也许我会继续吃妻子的可忍受的食物。哈哈哈哈"
22688,UgydugZELwAcEfwrme14AaABAg,0,3 years ago,love these videos and liziqi.,喜欢这些视频和Liziqi。
22687,Ugwaa0oUWKe3QYUOJPp4AaABAg,0,3 years ago,liziqi i love u๐๐๐,liziqi我爱u
1904,UgxWtv9JRQEHFFy6bb14AaABAg,0,1 year ago,working who made liziqi ever made a video again,使Liziqi再次制作了视频的工作
1916,Ugy5VlwHYBg3RgwHRch4AaABAg,0,1 year ago,does anyone miss miss liziqi's works?,有人想念Liziqi的作品吗？
22635,UgzJqiSqvhyeSkLFsht4AaABAg,0,3 years ago,liziqi. have you made anything for this year? i hope so.,liziqi。您今年做了什么吗？但愿如此。
21810,Ugwd1Xyszk9mMbEJx6h4AaABAg,0,3 years ago,on top of all these other talents she is a singer and guitar player too! liziqi i am also an artist and singer guitar player and craftsman i would marry you in less than a second honestly no joke you are the girl of my dreams!,最重要的是，她也是歌手和吉他手！ liziqi我还是一名艺术家，歌手吉他手和工匠，我会在不到第二秒的时候嫁给你，这是我梦dream以求的女孩！
21824,Ugwj1cdJRSQ_L0K4j-54AaABAg,0,3 years ago,gordon ramsay is an amateur compared to liziqi.,与利兹奇相比，戈登·拉姆齐（Gordon Ramsay）是一个业余爱好者。
22559,Ugz-DOPxMP85OM1GFCp4AaABAg,0,3 years ago,take care liziqi,注意liziqi
1953,UgzTa5Y6_GSHl-TfxH54AaABAg,0,1 year ago,i love you liziqi,我爱你liziqi
22876,UgxkJEe9ECA67F2hbDN4AaABAg.92fJg3Sa4Kl92iNbCHGFQa,0,3 years ago,she has an online shop on taobao. https://liziqi.tmall.com,她在淘宝（Tamobao）有一家在线商店。 https://liziqi.tmall.com
1959,UgxF7Cc00_hKfJIP9Op4AaABAg,0,1 year ago,for you my dearest liziqi you are blessed sacred beings blessed you are blessed sacred beings blessed you are amazing wonderful adorable wonderful good afternoon to you that the light of god father illuminates you today and always congratulations on the beautiful videos and congratulations on the delicious recipes that the prosperities be multiplied many times in your life love and light kisses in the heart,我最亲爱的liziqi对你来说，你是有福的神圣生物，祝福你是有福的神圣生物。在您的生活中，繁荣在您的生活中多次倍增
22303,Ugzld2n5wbuyKV0zH7F4AaABAg,0,3 years ago (edited),"so guys, if you had a choice to be with either a kardashian or liziqi for the rest of your life which would it be ? i'm officially in love with liziqi..there i said it lol",所以，伙计们，如果您可以选择与Kardashian或Liziqi在一起，那将是什么？我正式爱上了liziqi ..我说了
22291,Ugy7JA5cfocix4rg5aF4AaABAg.93-Gi-hEu-l93sJfdn5KhZ,0,3 years ago (edited),@jevrathe you can get her items here https://liziqishop.com/,@jevrathe您可以在这里获取她的物品https://liziqishop.com/
22275,UgyBA0b1vzOpdn4TAap4AaABAg,0,3 years ago,"liziqi, get on to me, let's share life :): ***",liziqi，继续我，让我们分享生活：）：***
1975,Ugxo9Zeza7OSleORQIt4AaABAg,0,1 year ago,liziqi your my favorite youtuber i love your all vedios especially this vedio. your very hard working god bless you,liziqi我最喜欢的YouTuber我爱您所有的vedios，尤其是这个vedio。你非常努力的上帝保佑你
1976,UgyT9bDQOGE_YMsCd0V4AaABAg,0,1 year ago,"miss u liziqi 
when u upload again your videos","小姐liziqi
当您再次上传您的视频时"
22131,UgwOQmkp2Eofy39Y8N14AaABAg,0,3 years ago,"#liziqi preparing cough syrup... #mustwatch #unseen #liziqi #video
https://youtu.be/y1qbgc4fajo","#liziqi准备止咳糖浆... #mustwatch #unseen #liziqi #video
https://youtu.be/y1qbgc4fajo"
21996,UgzDnqRajTpTETRhoMh4AaABAg.937zIckeQ1493EGvT1Bkrz,0,3 years ago,amt dwt she has an online store on taobao. hereโ€s the link(everything is in chinese though): https://liziqi.m.tmall.com/?ajson=1&parentcatid=0&spm=a21wu.11154615-us.0.1&user_id=3965833216&item_id=598614273525,Amt DWT她在淘宝上有一家在线商店。这是链接（虽然所有内容都是中文）：https：//liziqi.m.tmall.com/?ajson=1&parentCatid = 0&spm = a21wu.11154615-us.0.1＆user_id = 396583216＆item_idem_id = 598614272525
21941,Ugy49eMfXmlpVAhbjMR4AaABAg,0,3 years ago,you rock liziqi,You rock liziqi
2006,UgzHhreSZQpxOBQkre14AaABAg,0,1 year ago,where is liziqi now?,Liziqi现在在哪里？
1886,UgygPO3LiXfmoMeBXKN4AaABAg,0,1 year ago,liziqi has some legal issues with her business partners. please let's all pray that she's back soon!! with love from india,Liziqi与她的业务合作伙伴有一些法律问题。请让我们祈祷她很快回来！！与印度的爱
23027,UgztXElowmV98Sh40Id4AaABAg.92a20StX2dg92cL-m-1Uyl,0,3 years ago,"if you call a channel with full of skills and high quality sponsored by ccp, i can only say that ccp is so dumb that they donโ€t let other channels in china with same quality enter youtube. liziqi is just one of many popular channels in china, so funny that just a channel that we get used to has made some foreigner so afraid hahaha. you better send your comments hundreds times everyday,otherwise it will be flooded and disappear in the comments of her 6 millionen fans",如果您打电话给CCP充满技能和高质量赞助的频道，我只能说CCP是如此愚蠢，以至于他们不允许中国其他频道具有相同的质量进入YouTube。 Liziqi只是中国许多受欢迎的频道之一，如此有趣，以至于我们习惯的渠道使一些外国人如此害怕哈哈哈。您最好每天发送数百次评论，否则将在她的600万粉丝的评论中被淹没并消失
24433,Ugz7Cptz8XWRJQzZBF14AaABAg,0,3 years ago,i like you liziqi.from east java๐…๐,我喜欢你liziqi.从东爪哇
1759,Ugxyqaw3Nv6vRDu44GZ4AaABAg,0,1 year ago,"liziqi is my favourite most girl my inspiration,. whenever i got tired i go to liziqi channel for meditation.... i also want to become like her want to grow a garden like her",liziqi是我最喜欢的女孩，我的灵感。每当我疲倦时，我都会去Liziqi频道进行冥想。...我也想成为她想像她一样的花园
2024,Ugxi8j23fx8RSdTqN754AaABAg,0,1 year ago,where are u liziqi !!?,你在哪里liziqi !!？
2093,UgxyBiunvRpAFiET2E54AaABAg,0,1 year ago,i love how the puppy and the baby sheep follow's liziqi,我喜欢小狗和婴儿绵羊跟随的Liziqi
2076,UgzgxoHWLlQq742F5dd4AaABAg,0,1 year ago,plz come back new videos liziqi,请回来新视频liziqi
24429,UgxEeeAH0monaBYah0R4AaABAg,0,3 years ago,i love liziqi,我爱liziqi
24393,UgwKJK95EgbY715gzRh4AaABAg,0,3 years ago,liziqi ๐‘ฐmy wife hug fan ur cooking ๐ฎ๐ณ,liziqi
2052,Ugw-00dGet-Qk-J1sLJ4AaABAg,0,1 year ago,miss you liziqi ❤️,Miss you liziqi ❤️
24365,Ugx4-fmBDT41bwuiwX54AaABAg,0,3 years ago,"liziqi u r a great women......! now days who else is there to take care of there grandma..? but you are a awesome guy...,!",liziqi u a a伟大的女人......！现在几天还有谁能照顾祖母。但是你是一个很棒的人...，！
24353,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92eIotlF55M,0,3 years ago,"this garden is in southwest china๏ผthere lives liziqi, bamboo and giant panda, welcome๐",这个花园在中国西南部，在那里生活，竹子和巨大的熊猫，欢迎
24325,UgxBYoO04YoP4ELOJkV4AaABAg,0,3 years ago,i love you liziqi ...plis reply liziq,我爱你liziqi ... plis回复liziq
1751,Ugwei3xg1t1ToAeQmB54AaABAg,0,1 year ago,liziqi i miss you so much ❤️❤️❤️,liziqi我非常想念你❤️❤️❤️
24167,Ugy4ykQRmnAoS7BRMBl4AaABAg,0,3 years ago,1:10 i'm afraid the lamb would be killed and cooked for dinner by liziqi by the end of the vid,1:10恐怕羔羊会在vid结束时被利兹奇杀死和煮饭
21611,UgyqNQ2Zf2lNEgBxmxR4AaABAg.93V8OKBgzoo93dYmT-m0fL,0,3 years ago (edited),"@ghostlike7947 i admire liziqi for all her skills and efforts and for looking after grandmother so very well๐‘๐‘ i know this is part of chinese culture but she let's the world into family life in the countryside, which is no doubt a hard life, but it has its rewards amongst the beautiful setting of the mountains,",@ghostlike7947我钦佩liziqi的所有技能和努力，并为祖母照顾祖母非常好。它在美丽的山区环境中具有奖励，
1843,Ugzgw3_7_jUd4SZ580R4AaABAg,0,1 year ago,"i watched this script around the 100th. well, i miss you so much. liziqi",我在第100章左右观看了这个脚本。好吧，我非常想念你。利兹奇
24054,UgwYwP0lowmLZpXMbBJ4AaABAg,0,3 years ago,after a long time i am waiting for your new video..plz upload as soon as possible. i am big fan of you liziqi..,很长一段时间后，我正在等待您的新视频..plz尽快上传。我是你的忠实粉丝liziqi ..
26757,Ugyhtufg0Xj9A90g1R54AaABAg,0,3 years ago,beautifully liziqi,精美的liziqi
23962,UgzHu2UHMO-unVKR8il4AaABAg,0,3 years ago,"liziqi mam i want to cm to your place,i ll work along with u and enjoy ur variety of recipes with beautiful nature..plz tell me hw can i cm? from india..",liziqi妈妈我想去你的地方，我会和你一起工作，并享受各种各样的美好自然食谱。来自印度..
23758,UgwhuoM3WsVAlS3sK9B4AaABAg,0,3 years ago,love liziqi forever,永远爱liziqi
23753,Ugz8xEMR7QD__yngqJl4AaABAg,0,3 years ago,i admire liziqi so much,我非常欣赏liziqi
21609,UgxsoRdoOuCTAzrcN1l4AaABAg,0,3 years ago,ni ho ma liziqi,Ni ho ma liZiqi
23166,UgxWooIz14GqzcrHWs94AaABAg,0,3 years ago,hi liziqi how are you. iam suganya from india iam your biggest fan i liked your videos continued watching. full of natural i love it,嗨，liziqi你好吗。来自印度的Iam Suganya IAM您最喜欢您的视频的最大粉丝继续观看。充满自然我喜欢它
23105,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ933gw9CuUhQ,0,3 years ago,"#liziqi preparing cough syrup... #mustwatch #unseen #liziqi #video
https://youtu.be/y1qbgc4fajo","#liziqi准备止咳糖浆... #mustwatch #unseen #liziqi #video
https://youtu.be/y1qbgc4fajo"
1878,UgwubblQRUIRTzOMa6x4AaABAg.9alLKkFliGr9apNlDmkCpc,0,1 year ago,"i agree, liziqi is a great, great woman ❤",我同意，利兹奇是一个伟大的伟大女人❤
6758,Ugy9GyXmunNle0r60UN4AaABAg,0,2 years ago,love u liziqi,爱你liziqi
1265,Ugy8bgokAuXXEgV-sO94AaABAg,0,9 months ago,hi liziqi.... what's up... why r u not upload ur video... so long time,嗨，liziqi ....怎么了...为什么您不上传您的视频...这么长时间
26765,Ugyme7_3HvA7kEbozXl4AaABAg.8zhN7enNy8x8ziDSc4k-Lh,0,3 years ago,"her parents passed away when shd was young. just google her nsme liziqi, you will get to know her more",她的父母年轻时就去世了。只要Google Google她的NSME Liziqi，您就会更多地了解她
448,UgzaPBZ-7KDXg2ElYRF4AaABAg.9mvqUj9jt1X9nLwheaPKfb,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
416,Ugxtt87HHqikxEYG2y54AaABAg.9nLjVxNhaxB9nLwaKZowAK,0,2 months ago,"where is liziqi's position???

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
