,cid,votes,time,含real,含real中文翻译
38848,UgwkrVa1Rn2LS6kdOdl4AaABAg,0,4 years ago,look at her hands and youโ€ll know sheโ€s not acting...she is really doing all the work..,看着她的手，你会知道她没有表演……她真的在做所有的工作。
38815,UgyTpLOWsAX-WFZT8rV4AaABAg,0,4 years ago,"dang, i shouldn't watch this video. i'm on diet and now i'm really hungry!",and，我不应该看这个视频。我正在节食，现在我真的很饿！
49924,UgzJzK-ys4Wv5Tf3Rpx4AaABAg,0,4 years ago,"speechless, it's really amazing...",无语，真是太神奇了...
38783,UgyYgeW6Z9rwiKg9jMp4AaABAg,0,4 years ago,really exquisite,真的精致
38779,UgyqetjNz15ozjfu-zt4AaABAg,0,4 years ago,"i really want to eat it, can i buy it? my saliva is going to flow. it is said that i can buy it. can you tell me the channel?",好想吃呀，我可以买吗？我口水都要流啦，据说可以买，可以告诉我渠道么？
49971,UgzAx4iGTb8RdKxt7154AaABAg,0,4 years ago,"love it ! you've never disappoint and always surprising me!
such a peaceful life...is it all for real or just for your channel?
please, don't reply if it's not true. let me dream that it's still possible to just be...","爱它 ！您永远不会失望，总是让我感到惊讶！
如此和平的生活...这一切都是真实的还是仅适用于您的频道？
请，如果不是真的，请不要回复。让我梦见，仍然有可能成为..."
38777,Ugw-EyMUznR601BQv-x4AaABAg,0,4 years ago,what a hardworking woman and what a great heart she has.. i really like your way of living and your video.,多么勤奋的女人，她拥有多么伟大的心..我真的很喜欢您的生活方式和视频。
38746,UgxZOuOWD-rOVRcO0mt4AaABAg,0,4 years ago,"what a wonderful girl you are !!! i really like to watch your videos! i have 61 years and i live in belarus, i wish you happiness and good luck !! health to your grandmother !!! ๐",你真是一个很棒的女孩！！！我真的很喜欢看您的视频！我有61年，我住在白俄罗斯，祝您幸福和好运！对祖母的健康！！！
50016,UgzjKpUaatgXTrAJS9R4AaABAg,0,4 years ago,really strong,力气真大
50030,UgycRIBTRDuiMb6IQwJ4AaABAg,0,4 years ago,"this video looks comfortable, it is really good and standardized",这影片看起来就是舒服，真的很好有水准
38687,UgxRffiiQ-eTkmDitQB4AaABAg,0,4 years ago,i really want to buy it,好想买来吃哦
50078,UgyC2XS4h5xEoqQNKG54AaABAg,0,4 years ago,i really want to eat rock sugar gourd 冰,好想吃冰糖葫芦
38686,UgyC0Vf39FchUCE1Iwh4AaABAg,0,4 years ago,"this kind of life is really refreshing, all of them are given by nature. although it is hard, the deliciousness is all relying on your own strength โค",这种生活真是心旷神怡，全是大自然的赋予。虽然辛苦，但活的好吃的好全是靠自己的力量❤
38651,Ugye-pyhxOfrY35SrWl4AaABAg.8tPPTvkHE128tcHjf3xoC1,0,4 years ago,"hi, i'm from russia ^ - ^ i would really like to talk with you. maybe you have vk or instagram?",嗨，我来自俄罗斯 ^ - ^我真的很想和您交谈。也许您有VK或Instagram？
38628,UgyNzIktQMpVJdzkydh4AaABAg,0,4 years ago,i really admire you โฅ๏ธ really admire to be someone like you,我真的很佩服你♥️真的很佩服像你这样的人
50107,Ugz08Y_ddr_KNA3SNbR4AaABAg,0,4 years ago,she really manages to show the beauty of rural chinese lifestyle. i know it is not 100% realistic but the essence is there. really nice work refining chinese culture in these high quality videos!,她确实设法展示了中国农村生活方式的美丽。我知道这不是100％现实的，但本质在那里。在这些高质量的视频中，非常出色的工作精炼中国文化！
38615,UgyWlk0L1OuVizQILlN4AaABAg,0,4 years ago,"very beautiful, but so unreal.",很唯美，却又那么不真实。
38501,UgwifHbA-FpuLTdwLZd4AaABAg,0,4 years ago,is this a real documentary life of family from that girl and her granny? or is it some kind of commercial video wanting to show how great is chinese village life even in small family,这是那个女孩和她的奶奶的真正纪录片生活吗？还是某种商业视频，想展示中国乡村生活的伟大，即使在小家庭中
50119,UgxSDFbEMgqwOdrktxV4AaABAg,0,4 years ago,you are so awesome .. really !,你真棒..真的！
38442,UgxFCp6DDW7MM-0BQc94AaABAg.8tYGA2jbEfl8tcHxT27DfO,0,4 years ago,"mamy jisoo hi, i'm from russia ^ - ^ i would really like to talk with you. maybe you have vk or instagram?",Mamy Jisoo嗨，我来自俄罗斯 ^ - ^我真的很想和您交谈。也许您有VK或Instagram？
38426,Ugx1dEXCFM1ioDBukKl4AaABAg,0,4 years ago,๐ญ๐ญ๐ญ๐ญ๐ญ๐ญ๐ญshe body is really,她的身体真的是
38400,UgxVIa6409zMhQeccUl4AaABAg.8tZ8BkCIs3s8tcI3aeeOZD,0,4 years ago,"manar stars hi, i'm from russia ^ - ^ i would really like to talk with you. maybe you have vk or instagram?",Manar明星嗨，我来自俄罗斯 ^ - ^我真的很想和您交谈。也许您有VK或Instagram？
48948,UgzGFI_CJSDDPuiJ2cJ4AaABAg,0,4 years ago,she is very talented girl really,她是非常有才华的女孩
48943,Ugy7wCyCJT8V8Su3a494AaABAg,0,4 years ago,very nice vid.......... but those 2 puppies really caught my attention.....,非常不错的vid ..........但是那两只幼犬真的引起了我的注意.....
48933,Ugy4y2SoYYfBrTBSi6t4AaABAg,0,4 years ago,i miss my childhood days... during this season i will go pick up the seeds without wearing chapel.. the thorn in the cover will pierce in foot.. that's a really painful things i ever had but the taste of the seeds can't stop me from even if i'm in pain... love your videos.. from india...,我想念我的童年时代...在这个季节，我会去捡起种子而不穿教堂。.封面上的荆棘会脚步刺穿..这是我曾经有过的痛苦的东西，但是种子的味道可以'即使我很痛苦，也阻止了我...爱你的视频..来自印度...
41197,Ugw4g0PFpipP_eYX6gR4AaABAg,0,4 years ago,"i want to live in the country. it looks really relaxing

but i love fast internet and being lazy","我想住在这个国家。看起来真的很轻松

但是我喜欢快速的互联网和懒惰"
41443,Ugw0hiL7B1S79TA_N0p4AaABAg,0,4 years ago (edited),"once a young peasant woman with her sheep and wolfhound rangers gathered snails and shaggy zholudi in a bamboo forest, to make a stew with cakes and zifir and chopped with pastille .. then praised the whores with butter, weld and i realized that she was cool finally ..",曾经是一个年轻的农民女人和她的绵羊和狼狗游骑兵在竹林里聚集了蜗牛和蓬松的Zholudi，用蛋糕和Zifir炖了炖肉，并用俗气切碎。最后 ..
41412,UgwoEatyprRCLIc6Eet4AaABAg,0,4 years ago,i would marry her if this is real,如果这是真的，我会嫁给她
48310,Ugxim39Hs9DQOiZm1WJ4AaABAg,0,4 years ago,happy new year! intersection i really want to eat it 想 想 想 想 想,新年快乐！！看得我好想吃
41369,Ugz1Hex1GbP--uLupXJ4AaABAg,0,4 years ago,she is really a kind hardworking beautiful woman.,她真的是一个善良的美丽女人。
41354,UgzyPXjrEcauJOWjUtx4AaABAg,0,4 years ago,the real harvest moon ❤️,真正的收获月亮❤️
41314,UgySm62ndkdgVRJYUlN4AaABAg,0,4 years ago,"when i see her video, i can't stop to think i have a fking helpless life, for real that's really sad...

love the video anyway, so chill, i just wish them full happiness","当我看到她的视频时，我不能停止以为我过着无助的生活，这真是可悲...

无论如何都喜欢这个视频，所以很冷静，我只希望他们充满幸福"
41306,Ugzo2ZXgu_llrTri2j94AaABAg,0,4 years ago,watching you make stuff is really relaxing,看着你做东西真的很轻松
48317,Ugy7YJlQHa1Qg9Eh6bl4AaABAg,0,4 years ago (edited),"she is so skillful and hard -working, i really like her lifestyle",她是如此熟练和努力，我真的很喜欢她的生活方式
41279,UgyNutchIw1ImAPwC014AaABAg,0,4 years ago,"those who can marry you ...
i really don't know the blessing for a few life!","能娶到妳的人...
真不知 是几辈子修来的福气 ！"
41241,UgwKa1KoYikvbKkC2AZ4AaABAg,0,4 years ago,"so cute ,i really like your way of working",太可爱了，我真的很喜欢你的工作方式
41198,UgxnabZOjkKIgdGmhYV4AaABAg,0,4 years ago,"a miracle girl, a beautiful life in work and nature - real",一个奇迹女孩，工作和自然的美好生活 - 真实
41161,UgwKBjiPhklEF4YziQt4AaABAg,0,4 years ago (edited),"really i feel shy , you did alooot of hard work ! hard house works by hard ways! without any tecknology! how that! and how you can live happy like that lifestyle! i cook the lunch and feel so tired and hate my life! i hope be like u and feel like you",我真的很害羞，你做了艰苦的工作！硬屋用艰难的方式工作！没有任何tecknology！那怎么了！以及如何像这种生活方式一样幸福！我煮午餐，感到非常疲倦，讨厌我的生活！我希望你像你一样，感觉就像你一样，让你很高兴
48405,UgwrpY68aPGwFgoloqN4AaABAg,0,4 years ago,"i remembered the small snacks i have eaten in these years when i was a kid. as sichuan people, i really miss it.",我想起我小时候吃的这些年货小零食了。作为四川人真的好怀念啊。
48393,UgxJohiYPDchpCTZY4B4AaABAg,0,4 years ago,"it is a real show to see the videos of this channel, they are very nice",这是一个真正的节目，可以看到此频道的视频，它们非常好
41125,UgxFHcCeISimtxQUDXN4AaABAg,0,4 years ago,i really want to eat your food,我真的很想吃你的食物
41088,UgyUmsKEcx0P1x0gKiF4AaABAg,0,4 years ago,i see it and do not believe it. i find it hard to believe that it exists but it is reality. wonderful ..,我看到了，不相信。我发现很难相信它存在，但这是现实。精彩的 ..
41086,Ugxvs5ewXtJr12nS-rd4AaABAg,0,4 years ago,this channel makes me feel really warm and happy. thanks!,这个频道使我感到非常温暖和快乐。谢谢！
41055,Ugz2ZZsiY505TmNOjz54AaABAg,0,4 years ago,i really like this lady. her skill levels are off the charts! i'd like to be her student.,我真的很喜欢这个女士。她的技能水平不在图表上！我想成为她的学生。
40990,UgwimTJuewwgbvKMkkt4AaABAg,0,4 years ago,really chinese was hard working people...,真的中国人是努力工作的人...
48404,Ugzhnq-bZBMgNYz6Sxx4AaABAg,0,4 years ago,i really like to see ... ^. ^,我真的很喜欢看到... ^。 ^
40968,Ugzi-t0rFYIoYTjLW_B4AaABAg,0,4 years ago (edited),"5: 53 - she's scared but she just ran over to her grandma and quickly covers her grandma's ears while her grandma is smiling really brightly xd
that's so cute ahaha xd","5：53-她很害怕，但她只是跑到奶奶上，迅速遮住了奶奶的耳朵，而她的奶奶微笑着非常明亮的XD
真可爱的ahaha XD"
40963,UgxHW5T26dNy16PxBIt4AaABAg,0,4 years ago,"you really can do it. if the world is gone, you will not marry others.",妳真的很能干到不得了。世界如果没了妳都不娶其他的。
40956,UgwarWYJw-CJ3pbuv6J4AaABAg,0,4 years ago,wow cj really good,哇CJ真的很好
40919,UgyUo90KFlbU_h4sZQ94AaABAg,0,4 years ago,"realy i love the vedio,she is pretty,wonderful girl......realy no words to say. it is wonderful place .",真是我爱吠陀，她是漂亮，很棒的女孩……真是没说。这是很棒的地方。
48209,Ugx0cTYSDdWsAuoxUvp4AaABAg,0,4 years ago,"this was such a surreal experience, thank you very much for sharing ♡",这是一次超现实的经历，非常感谢您分享♡
41458,Ugy8r5wkVXC-MDsmiKR4AaABAg,0,4 years ago,i really want to go to your house and eat a lot.,好想去你家，好多吃的。
41461,UgymXZrFUexuaRUIyht4AaABAg,0,4 years ago,i really want the recipe!!!,我真的想要食谱！！！
41464,UgypdfBRLw8cIS7ntYp4AaABAg,0,4 years ago,omg.. real angel,OMG ..真正的天使
41706,Ugw_NBIvE5Pi6GhYQKF4AaABAg,0,4 years ago,is this her real life?,这是她的现实生活吗？
41700,UgyVwYmeqXiNUMP7KA54AaABAg,0,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
41699,UgwujE15_P5klB6vXLF4AaABAg,0,4 years ago,this is really high quality!,这确实是高质量的！
47832,Ugz-qTDudSTk-llgq4B4AaABAg,0,4 years ago,why is she so ancient but at the same time has a really good hd camera?,她为什么这么古老，但同时又有一个非常好的高清摄像头？
47899,UgwxURXtVRLY2_ddG6N4AaABAg,0,4 years ago,wife is really capable,老婆真能干
41672,UgwgnHcs7oQ-fzmdsa14AaABAg,0,4 years ago,suddenly i felt that zi yan was really hard ...,突然觉得子柒真的好辛苦……
41671,Ugy5VzneSazN4_hjZ9R4AaABAg,0,4 years ago,"wonderful cooking art, i really like your channel",精彩的烹饪艺术，我真的很喜欢你的频道
41670,UgxiStCrGEoBZAxYwoN4AaABAg,0,4 years ago,"woooa i really enjoy watching this video ❤ so warm, love from paraguay!",woooa我真的很喜欢看这部视频❤如此温暖，来自巴拉圭的爱！
41663,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s9JRTa9hJ7,0,4 years ago,wow really. so she doesn’t really live out in the country?,哇塞！真的么。所以她并不是真的在乡下生活吗？
47906,Ugy93NHvzwbR3G3u2Qt4AaABAg,0,4 years ago,how cleanly you're doing things... it's really awesome to see you... multitalented girl... god bless you... with love from india...,你在做事多干净...见到你真是太棒了...多元化的女孩...上帝保佑你...来自印度的爱...
47920,UgzJpuu-XSJ1xIWX3mF4AaABAg.8qnjW_gYpv18qnsGnuBfbm,0,4 years ago,gaby alhaddad you have to comment gx has a relationship with the video i accept it really if you have to say that a dog to me is really too much for you to be able to hurt someone aminnnnn,Gaby Alhaddad您必须评论GX与我接受的视频有关系，您不可能说对我来说狗真的太多了，无法伤害某人Aminnnnnn
47953,Ugwb_JF5pSbPMDgGLNN4AaABAg,0,4 years ago,i really love this video,我真的很喜欢这个视频
48018,UgyC263iAKnMyCJCcNV4AaABAg,0,4 years ago,"i really like life like this, quiet and warm and happy, happy and happy at home with a cute dog",我真的很喜欢这样的生活，安静，温暖，快乐，快乐和快乐在家里和一只可爱的狗
41639,UgxvJzi0Z4mFVdsZc9l4AaABAg,0,4 years ago,it's like she's playing harvest moon or stardew valley in real life,就像她在现实生活中扮演Harvest Moon或Stardew Valley
48152,UgzgJxUIYQpWlqAiI9F4AaABAg,0,4 years ago,really awesome,非常棒
41596,Ugxa1cXTbOlXMLi_R6R4AaABAg,0,4 years ago,"are you serious you can do all that things buy yourself, really",你是认真的吗？
41544,Ugx2CvNRilBGrosQ2lR4AaABAg,0,4 years ago,i really love this life style.. pure ... simple & close to nature ... great job,我真的很喜欢这种生活方式..纯净...简单而靠近自然...出色的工作
48153,UgzbCxmEKlDDbaoIOnR4AaABAg,0,4 years ago,"hello , i am not good to much good in english but i want to tell you something : your video really pretty , but i want to tell you about my reagin and it’s the islam , i just want you read about it and maybe allah help you to find the way , its not like isis but its about the one god 

my allah help me and i feel , and when i read quran sometime i feel like it read my mind and i feel its good for my hart 

so if you want you can search about it and now the truth 

allah help you","您好，我的英语不好，但我想告诉您一些事情：您的视频真的很漂亮，但我想告诉您我的理由，这是伊斯兰要找到道路，它不像ISIS，而是关于一个神的

我的真主帮助我，我觉得，当我阅读古兰经时，我觉得它读了我的想法，我觉得它对我的hart有好处

因此，如果您愿意，您可以搜索它，现在是事实

真主帮助你"
48173,Ugxu1p_iOa57-XkGLu14AaABAg,0,4 years ago,i love love luuuv the song begins at 5:17... i'm sure it's one of the background songs from digimon! it really goes well with your relaxing video.,我爱Luuuv这首歌从5:17开始...我敢肯定这是Digimon的背景歌曲之一！您的轻松视频确实很好。
41506,UgwpFKTTYrXclka2dX54AaABAg,0,4 years ago,totality i really like the work he does and the amazing camera light. i support this channel to be a big channel. best quality,我真的很喜欢他所做的工作和惊人的相机灯。我支持这个频道是一个大频道。最好的质量
41474,UgwcURTuq6IWctc92pp4AaABAg,0,4 years ago,really fun videos,真的很有趣的视频
41471,Ugyil1FwoCwdAwGmkgR4AaABAg,0,4 years ago,"wow!!! i love you , you are very strong ,but are you beautiful !!you are really !!! you are wonder woman thank for you videos!!!!",哇！！！我爱你，你很坚强，但是你是美丽的！你真的是！！！你是神奇女侠，谢谢你的视频！
41465,UgyMd1RheE5V4KFFKdh4AaABAg,0,4 years ago,is it reality or i just saw a beautiful fairytale? amazing.. speechless. like that the way every single human should leave on the earth.,是现实还是我只是看到了一个美丽的童话？惊人的..无语。像这样，每个人都应该离开地球。
40887,Ugx0F7HbWIqgg84V9p94AaABAg,0,4 years ago,this is really what i want in life. i’d do anything to have a beautiful place like this where i can grow plants and cook things and work on my art,这确实是我人生中想要的。我会做任何事情来拥有一个像这样美丽的地方，我可以在这里种植植物，做饭并从事我的艺术
48462,UgweyaoXHFo3uTo7PPF4AaABAg,0,4 years ago,"i really admire you. she has a free life, doing what she likes. wish you always healthy",我真的很佩服你。她有自由的生活，做自己喜欢的事。希望你永远健康
39875,UgyO3Z2tzQA_VEFvmVN4AaABAg.8shk39nVVMk8t3W2dYCSha,0,4 years ago,"thank you, it is endearing to know something else. it is as if the eastern heidi was a reality.",谢谢，知道别的东西真是太可爱了。好像东海蒂是现实。
40141,UgwRNq8Tja0Ee_mrgcx4AaABAg,0,4 years ago,i fell in love with this channel i mean specially her. i always imagine life like this somewhere in china or japan but i am in southeast asia. always feel peaceful thinking and see how great old generation live without modernization still happy and comfortable and have everything they need. i hope someday when technology reach its peak we will be back in old generation again but this time more traditional modern way. balance between real life and tech. i will supprt this channel watch her videos and also the ads,我爱上了这个频道，我的意思是特别是她。我总是想像中国或日本某个地方这样的生活，但我在东南亚。始终感到和平思考，看看没有现代化的伟大的老一代仍然幸福而舒适，并拥有他们需要的一切。我希望有一天，当技术达到顶峰时，我们将再次回到老一代，但是这次更传统的现代方式。现实生活与技术之间的平衡。我会建议您观看她的视频和广告
48821,UgxpIxxSAbKvBGwJrd54AaABAg,0,4 years ago,i really like it ☺☺☺,我真的很喜欢☺☺☺
48862,UgzhlpHS1lycExqS3_h4AaABAg,0,4 years ago,awesome video. i really enjoyed watching it. keep up the good work ❤️,很棒的视频。我真的很喜欢看它。保持良好的工作❤️
48869,UgzPIalxspDGOIW5UxF4AaABAg,0,4 years ago,i wish there was a living space like this .. i really like it,我希望有这样的生活空间..我真的很喜欢
40451,UgwX8k116zGXCHGJMvt4AaABAg,0,4 years ago,i really like the cookware that you use ...,我真的很喜欢您使用的炊具...
40444,UgzMEEixkII-a6Knk354AaABAg,0,4 years ago,"fighting, i really love your film. and you so beautiful.",战斗，我真的很喜欢你的电影。你真漂亮。
40410,Ugz1cqU60G6Yp40M6Mx4AaABAg,0,4 years ago,"the food looks amazing , i've never correlated the raw ingredients with chinese food.. i don't like heavy food . when i see her cook with grace down to picking the foods from a tree or ground it really lights up my curiosity for more culture taste testing , eating sushi does not make the cut",食物看起来很棒，我从来没有将原料与中国食物相关联..我不喜欢重物。当我看到她的恩典烹饪以从树或地面捡起食物时，它确实点燃了我对更多文化口味测试的好奇心，吃寿司不会削减
40403,UgydeOYX1Xd5wejEntd4AaABAg.8sMEIDfoSkB8sQsQJY3Dpm,0,4 years ago,"@islandfolk2283 she said that the scene was filmed at her home in her village. as you pointed out, the program is about food. she used ingredients such as freeze dried strawberries and marshmallows in one of her dish. i don't think the chinese had even seen them until a couple decades ago, even her grandma might have never heard of them. i still believe it is just a show. if you have even been to the villages in china, you will know how do they really look like, and what kinds of food they are eating. i really hope all mankind on earth would live like in the place like in the video describes and have plenty of food to eat, but sadly, in reality, it is far from it.",@Islandfolk2283她说，现场是在她村庄的家中拍摄的。正如您指出的那样，该计划是关于食物的。她在其中一道菜中使用了冻结干草莓和棉花糖等成分。我认为直到几十年前，中国人甚至都没有见过他们，甚至她的祖母也可能从未听说过。我仍然相信这只是一场演出。如果您甚至去过中国的村庄，您将知道它们的真实是如何，以及他们正在吃什么食物。我真的希望地球上的所有人类都会像视频描述并有很多食物可以吃的地方一样生活，但可悲的是，实际上，它离它很远。
40399,UgydeOYX1Xd5wejEntd4AaABAg,0,4 years ago,"why was the elderly's face never shown? was it her wish not to show her face, or someone didn't want to show her face? by just giving her yummy food and beautiful garments, for me it was just a show, without really respecting her.",为什么老年人的脸从未表现出来？是她希望不展示她的脸，还是有人不想露面？通过给她美味的食物和漂亮的衣服，对我来说，这只是一个表演，而没有真正尊重她。
40367,UgzJNPHPpOCr8GeFU3F4AaABAg,0,4 years ago,omagash this is really refreshing to watch,Omagash这确实令人耳目一新
40353,Ugxt5pmY3YIESTq5kQF4AaABAg,0,4 years ago,this episode is really fierce!,这集真的很猛耶！
40264,Ugxb_Kt7zs3yGjPY38x4AaABAg,0,4 years ago,real heaven,真正的天堂
40112,Ugz_S6n00xxG8QOK9ad4AaABAg,0,4 years ago (edited),"she cannot be real, it’s impossible for one person to have so many high level skills. she appears too pampered looking to qualify as someone living in a rural area who would do the types of odd jobs she is shown doing. for example, she has no scars on her hands or any other visible malignancies that would arise from being outside, working with fire, knives, sharp objects etc. her skin condition doesn’t align with what is proposed in these videos. aside from the overtly professional shots, multi cuts, multiple camera angles and an obviously healthy editing process. i wonder if this is some sort of “mocumentary”...?",她不可能是真实的，一个人不可能拥有这么多高级技能。她看起来太宠爱了，希望有资格成为生活在农村地区的人，他们会从事她所表现出的奇怪工作类型。例如，她手上没有疤痕，也没有任何其他明显的恶性肿瘤，这些恶性肿瘤会因在外面，使用火，刀，锋利的物体等。她的皮肤状况与这些视频中提出的内容不符。除了公开的专业镜头，多切割，多个相机角度以及明显健康的编辑过程。我想知道这是否是某种“ mocumentary” ...？
48469,UgzIatkGzEo_C0JCdwR4AaABAg,0,4 years ago,"that's really so nice to watch your videos. everything looks perfect. i enjoy it to watch you. i think it smells so good in your house. it seems it is a nice place there. 
greetings from germany 
chris","观看视频真是太好了。一切看起来都很完美。我很喜欢看你。我认为您家闻起来很香。看来那里是一个不错的地方。
来自德国的问候
克里斯"
40086,Ugxqi5BtFsf4SQ4GZK54AaABAg,0,4 years ago,"my grandparents lived their whole life in the mountains. in my western educated adolescent eyes, they had nothing, the mountains had nothing. now i am older, and wiser, i realise that they had everything. the everything we as a people and a nation might never have the chance to return to. you videos and the millions who like them give me hope.",我的祖父母一生都在山上生活。在我西方受过教育的青少年眼中，他们一无所有，山脉一无所有。现在我年纪大了，更聪明，我意识到他们拥有一切。我们作为一个民族和一个国家的一切可能永远都没有机会回到。您的视频和数以百万计的人给我带来了希望。
40061,Ugz2xAYPqVeGN7wfEdF4AaABAg,0,4 years ago,this video was such a flex. like she really did all that,该视频真是一个灵活。就像她真的做到了
40058,Ugx99mfNHo3-0x1rrxx4AaABAg,0,4 years ago,"this is like watching a movie, her acting is really good, also the camera angles and setup. really nice production overall",这就像看电影一样，她的表演真的很好，也是相机角度和设置。总体而言真的很好
48920,Ugwanp60dsVZe7vJGgt4AaABAg,0,4 years ago,"it's really old, let me remember every new year of childhood ...
i wish you all a happy new year","真的好有年味，让我忆起儿时的每个新年⋯⋯⋯⋯⋯
祝大家新年快乐 万事如意"
40055,UgziSdTRmc3cfFXW1Pt4AaABAg.8sau7EnJV6H8sc72CJ59SX,0,4 years ago,"your intelligence sources are out of date. in the past two years, china has basically realized the village -to -village network, even in the mountains",你的情报来源过时了，中国这两年已经基本实现村村通网络了，哪怕是在大山里的
40052,UgziSdTRmc3cfFXW1Pt4AaABAg,0,4 years ago,it looks good. this is just the team operation that shows you the real situation of rural life. you don't even have a net in the mountains.,看起来美好罢了这个只是团队运作给你看得农村生活真实情况是在山里面你连网都没有
40046,UgzpsdkvNYWCT74bykt4AaABAg,0,4 years ago,my second video and i immediately subscribed :) great job on the videos. i really enjoy them.,我的第二个视频和我立即订阅了:)在视频上的出色工作。我真的很喜欢他们。
39989,Ugwhx2zUfQNm853QvPt4AaABAg,0,4 years ago,real woman here...the other they only how to post pictures,真正的女人在这里...另一个他们只是如何发布图片
39897,Ugwv_43zWMpQTVC0pfZ4AaABAg,0,4 years ago,"except for sichuan dialect is really. essence to be honest, it's a bit unreal. unreal ...",除了四川话是真的以外。。说实话有点不真实。unreal...
39881,UgwOCrJ4F5QnUel0Vv14AaABAg,0,4 years ago,i really really love this video. so much. i don't know how many times i watch it again,我真的很喜欢这个视频。非常。我不知道我又看几次
39879,UgySRP4v65vwwxjkHUt4AaABAg,0,4 years ago,i really like those two lambs,好喜欢那两只羊羔子
48726,Ugy2U8ary2__maB0fk94AaABAg,0,4 years ago,"real great .... very all i respect for you and funny is 2 puppy with 1 shelves baby that you don't always go with you because you are family everything is dear, u grandma really funny woman and dear grandma, gbu.",真是太好了。...我非常尊重你，有趣的是2个小狗，有1个货架宝贝，你并不总是和你一起去的，因为你是家人，你是亲爱的，你奶奶真的很有趣的女人和亲爱的奶奶，gbu。
48679,UgyAMwA7ACjndBtHEK14AaABAg,0,4 years ago,food looks really good!,食物看起来真的很好！
40562,UgyUVF-ukZhG5S_N7a54AaABAg.8sGqD5kSBQb8sqEWJunRTH,0,4 years ago,"@winnyliang1393 really, i didnt know that. thats much more amazing!",@winnyliang1393确实，我不知道。多数民众赞成在更加惊人！
40575,Ugx2cezCV2gYqlwe1T54AaABAg,0,4 years ago,youtube actually saw you too! really good lifestyle! longing,YouTube 居然也看见你了！真的特别好的生活方式！令人向往
48545,UgzmxbHDQQa3OV3bMrF4AaABAg,0,4 years ago,"can someone please tell me if she is real? or is an actress?? i can’t believe how peaceful and comforting her channel is. i just can’t believe someone like her even exists. her contents are just so organic, meditating and addicting!",有人可以告诉我她是否真实吗？还是女演员？我不敢相信她的频道有多安宁和安慰。我只是不敢相信像她这样的人甚至存在。她的内容是如此有机，冥想和上瘾！
40838,UgwzGrh0NUavG9WtWhx4AaABAg.8s6GsnCI1AM8sFjefjVMj7,0,4 years ago,"back hm i originally made a comment, and at most to warn some foreign viewers. but if you want to be with me, you might as well accompany me.
1. you say you can take care of yourself and copy it in china. did i copy it? there are people who copy it in china, but the original people like li ziyi have to have no qualifications to defend their rights because of their mistakes? intersection
2. self -abandoning self -defense? recruit your country black? you are afraid that you do n’t know that this oil pipe is not normal. so what? because you are afraid of others hacked you, you ca n’t even say a tough sentence, right? do you have to eat calcium tablets? is your bone okay?
3. also, i did not see that i was recruiting black. the upright viewer naturally knows that i am the root cause of the problem i am, and you may be kneeling for too long.
4. if you really can't see the context i say, i advise you to learn english for two years.","back hm 我本来发评论，也顶多为了告诫一些外国的观看者。不过你要和我杠，不妨奉陪。
1.你说管好自己，国内也抄。请问是我抄的吗？国内有抄的人，但类似李子柒这种原创者就要因为犯错的人连维权的资格都没有了？？
2.自我舍弃自我防御?给自己国家招黑？你怕是不知道这油管上，不黑中国才不正常吧。所以呢？因为害怕别人黑你，连强硬的一句话都说不出了是吧？你要吃点钙片吗，骨头还行吗？
3.还有，我是一点没看出我在招黑。正直的观看者，自然知道我在表达的问题根源，而你，可能跪太久。
4.如果你是真的看不出我说这话的语境，我劝你多学两年英语。"
40834,UgwNBmhRL-7DFfZsEjB4AaABAg,0,4 years ago,this is real life harvest moon yo!,这是现实生活收获的月亮哟！
48570,UgzmxbHDQQa3OV3bMrF4AaABAg.8qmmsyxMw468qmzIb47Xfo,0,4 years ago,"soo k she is real and not an actress. but at the same time, making such videos also is a way for her to make money and live .",她是真实的，不是女演员。但是与此同时，制作这样的视频也是她赚钱和生活的一种方式。
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,4 years ago,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
40823,UgyzPKDfYOTy8z_UyMd4AaABAg,0,4 years ago,ziyi is really too capable!,子柒真的太能干了！
40817,UgwzGrh0NUavG9WtWhx4AaABAg,0,4 years ago,"few words to "" reupload""we chinese fans have already told her this kind of actions on bilibili and weibo. we actually have access to youtube or facebook or something if we want...so never underestimate us, we wouldn't be able to let some greedy guy steal. fans that really love ziqi can come to weibo to see her updated videos, but stealing is not welcomed.",我们中国粉丝已经告诉她对比利比利和微博的这种行为，几乎没有什么话可以。实际上，如果需要的话，我们实际上可以访问YouTube或Facebook之类的东西……因此，永远不要低估我们，我们将无法让一些贪婪的家伙偷窃。真正喜欢Ziqi的粉丝可以来到微博来观看她的更新视频，但不受欢迎。
40784,Ugy8oSNJ8GKgrzmlXb14AaABAg,0,4 years ago,is it a real life??,这是现实生活吗？
40776,UgxKKI18V1jv2CR_IDJ4AaABAg,0,4 years ago,6:00 that's really funny,6:00真的很有趣
