,cid,votes,time,含real,含real中文翻译
29013,Ugwp7_NKX-GP7LTaWnJ4AaABAg.8yY1Kq5XYC78zRtjCZcMEF,0,3 years ago,吃茶猫 oh. that is really interesting. oops for false information.,吃吃哦。那真的很有趣。哎呀，以获取虚假信息。
1677,UgyxKLs7XwpWWFrOFAl4AaABAg,0,1 year ago,want to ask when there is a new film? really good! bleak,想问问几时再有新片？真的好好睇！
28686,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92oQ-xT5r7G,0,3 years ago,it's sooooo real...,真是太好了...
28902,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AvxeDOOPHm,0,2 years ago,@ realifhereo4s213 right,@ realifhereo4S213正确
28896,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AiayQ0BhSq,0,2 years ago,@yreinyvana6214 fuck u all this things r scripted she use to eat just bcz of youtube money rip for those who think it's real,@yreinyvana6214他妈的你所有这些都用脚本脚本而来，她用来吃youtube的youtube钱，那些认为这是真正的愚蠢的人
28844,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g99C--kgavvx,0,3 years ago,"@franzpeters3824 well, there are more chinese speakers than english speakers so what so proud of speaking english, do you know any more language? if you know that much show us something that we don't know. you really think that by knowing english you can go whatever you want and can communicate with all, sorry but in we're i live, madrid, there is not even a signal in english.",@franzpeters3824好吧，有说英语的说话者比说英语如此自豪，您还知道更多语言吗？如果您知道这么多向我们展示了我们不知道的东西。您真的认为，通过了解英语，您可以随心所欲，可以与所有人交流，对不起，但是在我们生活中，马德里，甚至没有英语信号。
28822,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g98PjrQTLu0w,0,3 years ago,@franzpeters3824 sounds like u know her in real life knowing she doesn't do anything else.,@franzpeters3824听起来像你在现实生活中认识她，知道她别无其他。
28809,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97xJ8Ks2K2P,0,3 years ago,"​ @franzpeters3824 then i would like to say that you can not even a chinese, is really demanding, which who can do everything, you are jealous",@franzpeters3824，然后我想说你甚至都不是中文，真的很要求，谁能做到一切，你嫉妒
28802,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97mxaBt3SBM,0,3 years ago,"@franzpeters3824 nothing to do???..are joking, here we just saw a hravesting and cooking in a beautiful way..but remember for her to have what to harvest and cook for making this video there's a lot of hardwork behind..you should know that..you know or you just ignoring it...going to jungle and taking even a bamboo shoot ain't that easy as what it looks from this video...but thing is those harvesting and eat what you work for is happiness....
i'm a horticulturist and i really admire her..she doesnt really need to learn english to show what she work and she's already successful enough..im proud of her","@franzpeters3824无事可做吗？您应该知道..您知道或只是忽略它...去丛林，甚至拍竹芽都不那么容易，就像从这个视频中看起来一样容易...但是，那些收获并吃掉了您工作的东西因为是幸福...
我是一个园艺家，我真的很佩服她..她真的不需要学习英语来展示她的工作，并且她已经足够成功了。"
28796,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97a4ECBsg46,0,3 years ago,"@franzpeters3824 i bet you are one of the trump's supporter, when can you idiots realize the world isn't about you, just stfu",@franzpeters3824我敢打赌，你是特朗普的支持者之一，你什么时候能意识到世界与你无关，只是stfu
29085,UgwtLIOR2xK67X18iGB4AaABAg,0,3 years ago,i really want to meet this beautiful kka and join the vegetable plans.,我真的很想见到这个美丽的KKA并加入蔬菜计划。
29102,UgzeYZQ0zL7fXg2VpFB4AaABAg,0,3 years ago,she is really amazing with all the things that she can do living in this naturally abundant surrounding of hers. it’s almost unreal.,她对她能够在她的自然丰富的周围生活中所做的所有事情真是太神奇了。这几乎是不真实的。
29126,UgwYhsaeeN9rqh8NEZh4AaABAg,0,3 years ago,i always watch your vidio with interest .. continue ... i really like you princess around such fabulous beauty ...,我总是很感兴趣地看你的vidio ..继续...我真的很喜欢你的公主如此神话般的美丽...
29141,Ugzfv31GJ5CCuhThJ3d4AaABAg.8yXi_avIzB_8yY4cgOZSEc,0,3 years ago,"you won't really think that they usually eat like this, right?",摆拍 你不会真的以为他们平时吃饭都是这么吃的吧
29554,Ugz4kMB3fCFgXKYVVi54AaABAg,0,3 years ago,i really like seeing this girl,我真的很喜欢见这个女孩
1671,Ugyse7mNT3TrvqzS9h94AaABAg,0,1 year ago,i can't really do anything,我真的什么都不做
1674,UgyVjeQUaPyCWMW0bgF4AaABAg,0,1 year ago,real village life is much harder. this is only a show.,真正的乡村生活要困难得多。这只是一个节目。
29480,UgwYpk0F9h0FcUSd--x4AaABAg.8yWlGKQcUn78yXkQ3bhZvz,0,3 years ago,really,真的
29477,UgwJ24INsqLos9vL8nx4AaABAg,0,3 years ago,"come here from weibo and see, qi brother is really great",从微博来这里瞧瞧，七哥真的很棒
29430,UgwdRbRJ_SMG9VJZSap4AaABAg,0,3 years ago,i'd really like to grow some of that giant bamboo here in the usa.,我真的很想在美国种植一些巨型竹子。
29426,Ugyhr7zmfaKrZz0MT1F4AaABAg,0,3 years ago,"sister, i really like you very much",姐姐，我真的很喜欢你
29380,UgylxXtq2oz7eIbpUox4AaABAg,0,3 years ago,quality of life! it should be like this. people in the forest ... yearning ... real ... self -sufficient ... don't pursue ............,生活品质！就应该像这样的。都市从林中的人们……向往……真正的……的……自给自足……别在追求…………需无……的……物品
29362,UgxWXp-WkoykOFADoUV4AaABAg,0,3 years ago,"i eat every week, the snail powder is really super delicious",我每周都吃，螺蛳粉真的超级好吃
29361,UgzGGG5E0yeW3QndvNV4AaABAg,0,3 years ago,she is really strong.,她真的很坚强。
29336,Ugx0e0tdG_SRD_1U5WR4AaABAg,0,3 years ago,i really want to eat,好想吃哦
29324,UgxZxTiycN3g8AajqJx4AaABAg,0,3 years ago,"liziqi, do u really have tonpay for ur groceries?",Liziqi，您真的有您的杂货店吗？
29259,UgzZ_AtGs8NkXPHxnZ54AaABAg,0,3 years ago,its really very nice,它真的很好
29161,UgwFM0BvxGkKIW1MUSt4AaABAg,0,3 years ago,"whether there is a girl like that, what j also knows how to do it really good to do 1 more of her must be very blessed.",是否有这样的女孩，J也知道该怎么做真正好1必须非常幸运。
29158,Ugw6rOdNw7Y8mBWTOw14AaABAg,0,3 years ago,"the strength of this little angel is amazing! the weight she carries around would be impossible for many western women. her beautiful spirit is really unique. calm, peace, love for her beloved family/granny and for nature around her. a blend of what we humans should all have. just another 1000 of her would make our world a better place. i am sure she touches deeply all that watch her videos. such a blessing to have this channel!",这个小天使的力量很棒！对于许多西方妇女来说，她所携带的体重是不可能的。她美丽的精神确实是独一无二的。平静，和平，对她心爱的家庭/奶奶的爱以及周围的大自然。融合了我们人类应该拥有的一切。她只有1000人将使我们的世界变得更美好。我相信她会深入观看她的视频。拥有这个频道真是太幸运了！
1776,UgwmaIDM1DJf1KiNGxJ4AaABAg,0,1 year ago,the scenery is really beautiful,风景真的秀丽
28653,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92Cqm2KcpQj,0,3 years ago,so real,如此真实
31463,UgwAdkj67i3SeGafIXt4AaABAg,0,3 years ago,my mother -in -law's leisurely real quilt 竉 竉 竉 頣 頣 ❤️❤️❤️,婆婆悠然自在真正的被子柒竉的頣养天年了
27964,UgyAP6ZITUMMC68KnNB4AaABAg,0,3 years ago,bamboo shoots really delicious with coconut milk. but i wanna try your recipe too,果汁牛奶真的很美味。但是我也想尝试你的食谱
28134,UgzHwuT38q9oh97rQGV4AaABAg,0,3 years ago,"i really like your videos, a peaceful and happy life",我真的很喜欢你的视频，一个和平与快乐的生活
28106,Ugz4AW84CXEsHXKGE8h4AaABAg,0,3 years ago,i'm so cute. china is really so many beautiful girls. the country produces the most beautiful women in the world.,我真可爱。中国确实是很多美丽的女孩。该国生产世界上最美丽的女性。
28091,UgxDr4avhqfFxU8hKIN4AaABAg,0,3 years ago,very beautiful and soothing as always! i really love your videos! ♥,一如既往的非常美丽和舒缓！我真的很喜欢你的视频！ ♥
28086,UgxyQ_xXHiYjZo9PiaN4AaABAg,0,3 years ago,once -inx of fantasy i really like you to cook cooking,曾经是幻想的读物，我真的很喜欢你做饭
28069,UgzxH92aO4ICrXfqmLp4AaABAg,0,3 years ago,9:16 omg ur dog really is the cutest,9:16 OMG您的狗真的是最可爱的
28021,UgyDlA4nCehXGF-0SgF4AaABAg,0,3 years ago,i need ths gal rith nw her cooking s really awesome made my mouth watering,我需要gal rith nw她的烹饪真的很棒
28003,Ugwzbp_SdTLJM8t17Ux4AaABAg,0,3 years ago,"you really make food.
what tastes like? it would be a healthy taste!","你真的做饭。
口味是什么？这将是一种健康的味道！"
27906,UgyslnQBuDWmaOemG_Z4AaABAg,0,3 years ago,beautiful is really .. it is possible because it is china,美丽的真的..可能是可能的，因为它是中国
1898,UgwjoEgqor8i4QOSUHp4AaABAg,0,1 year ago,you really like what i often watch your video. my country is india. you really like you. we can be a good friend. if you tell me how can i communicate with you,你真的很喜欢我经常看你的视频我的国家是印度你真的很喜欢你我们可以成为好朋友如果你告诉我一点我怎么能和你交流
27899,UgyexLnJNptasInQR6F4AaABAg,0,3 years ago,no reason for dislike because its only abt nature's beauty really beauty of nature,没有理由不喜欢的，因为它唯一的自然美是自然的美丽
27878,UgwD7NTuOtx9YzNuhuN4AaABAg,0,3 years ago,i really love liziqi..i find her videos soothing and calming.,我真的很喜欢Liziqi ..我发现她的视频舒缓和镇定。
27865,UgxDhZmtTybXCOLt0Q54AaABAg,0,3 years ago,people like it really,人们真的很喜欢它
27854,UgzpJrZs8Mj5fCxYeJF4AaABAg,0,3 years ago,"im from vietnam
i really like your videos that are so beautiful and peaceful in the end i wish you a happy and peaceful life","我来自越南
我真的很喜欢您的视频，最终是如此美丽与和平，我祝您生活快乐，和平"
27839,UgwRQYGTpeTtPPDut8F4AaABAg,0,3 years ago,i really want to eat it,好想吃啊啊啊啊
27793,UgzhrDf9hJvkL78C2P54AaABAg,0,3 years ago,it's really happy to marry you. essence essence,娶到你真的是太幸福了吧。。。
27784,Ugy2r2uP27A-x2RD0ft4AaABAg,0,3 years ago,"im come from vietnam ,i really like watching your channel",我来自越南，我真的很喜欢看你的频道
28169,UgwW0vqKxYt10joiu5t4AaABAg,0,3 years ago,there is really beautiful over there,那里真的很漂亮
22363,UgyjmPLufSZ_sbR3YEZ4AaABAg,0,3 years ago,"zi yan, i really like watching your videos, all like it!",子㭍，我超级喜欢看妳的视频，全部都喜欢！
28244,Ugzpak2xq2lg9YykXTh4AaABAg,0,3 years ago (edited),we used get those bamboo roots with my aunt and cousins and we cook it pair it up with sardines. it's kinda hard getting those stuff cause we need to cross over the river wherein the current is really strong but it's fun though i really don't like the taste of it,我们用我的姑姑和堂兄弟拿着那些竹根，然后将其与沙丁鱼搭配。有点困难的东西，因为我们需要越过河流，那里的电流真的很强，但是很有趣，尽管我真的不喜欢它的味道
28246,UgxNYhIa1VpG0L3nNqZ4AaABAg.8yZiX8CNTZr8ya2-WHu_WW,0,3 years ago,she does not have any real work to do. normal chinese rural people have to work much harder than her.,她没有任何真正的工作要做。普通的中国农村人必须比她努力工作。
1899,UgxsqJCOp93REL8ObyB4AaABAg,0,1 year ago,"we really love to see your videos,come back soon",我们真的很喜欢看您的视频，很快回来
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,1 year ago,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
28496,UgzoFMD8qkvs4xzHCYx4AaABAg,0,3 years ago,"

""word 

""? _who_is _ {= '' =="" ""=} _? why is it really sought by? _""

""? _ho what_human_ &? really? '' == """" =} _ _ _ & why '' == """" =}? _ a? then answered by ""","



''==“

& why"
28478,UgxLK-ZmEkqkkWU8an54AaABAg,0,3 years ago,"looking at your video, i really want to go back to the countryside of china. there are also fields in the house, there are trees, there are flowers and old houses. i do n’t know why i abandoned such a simple and beautiful life at that time and ran to mei village ...",看着你的视频，我也好想回中国的乡下。刚好家里也有田也有树也有花也有老屋，都不知道为什么当时抛弃了那么淳朴致美的生活跑到了美村…………
28460,UgwUDmbu_uH10VDuGrZ4AaABAg,0,3 years ago,i feel really bad watching this at 1.am while my stomach is growling,当我的肚子咆哮时，我在1.am上看这件事真的很难
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
