,cid,votes,time,含beautiful,含beautiful中文翻译
16050,UgzkPyRgZvhiEsrBHw54AaABAg,28,3 years ago,"it's very beautiful, it's not such a primitive life, but it's very nice to feel the original humanity, but the angle of the camera changes like a drama, so how far is it? i'm curious ...",它非常美丽，不是原始的生活，但是感觉到原始人类非常好，但是相机的角度像戏剧一样变化，所以它有多远？我很好奇...
34313,UgxSu3ZCTtwfP_xV_jx4AaABAg,28,4 years ago,welcome to our beautiful china!,欢迎来到我们美丽的中国！
31531,Ugw2kZestzRbqsKnXMF4AaABAg,28,4 years ago,"i want to be one day in villages like this, calming, peaceful, and beautiful",我想在这样的村庄里度过一天，平静，和平与美丽
10690,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FofMko6LRY,27,2 years ago,"land in the middle of nowhere china is actually pretty inexpensive. that being said, sheโ€s basically a celebrity online now and definitely has some money. she may show only the most beautiful 5% of the effort that goes into these videos, but that doesnโ€t make them any less beautiful. if anything, we appreciate them even more because we know how much work it took to get that one perfect shot. ๐",陆地中国中国的土地实际上很便宜。话虽如此，她基本上是一个在线名人，肯定有一些钱。她可能只显示这些视频中最美丽的5％的努力，但这并不能使它们变得不那么美丽。如果有的话，我们会更加感谢他们，因为我们知道要获得一个完美的镜头所需的工作量。
45660,UgxeAX9OobXUc9ScZ5B4AaABAg,27,4 years ago,beautiful vídeo,美丽的vídeo
9088,UgxA8_b7MyADM9PfLl54AaABAg,27,2 years ago (edited),"just amazing.the place is so beautiful, happy in knowing that still these types of places exists in this world",真是太神奇了。这个地方是如此美丽，很高兴知道世界上仍然存在这些类型的地方
52311,UgxzMNnK_Bl8Ecfhykt4AaABAg,25,4 years ago (edited),"when picking up at night, korean red coating ranch gloves
i would recommend it ~^* (all weather)
ah! gangjeong has been made pretty.
make a pretty and delicious food and pack it
it's done! there is no korean subtitle, so it is inferred ~*
brushing your teeth in the video is so cute, and it's cool to wear boots when you work.
when you feel, the main winter is very beautiful to alternate several colors of long mango. ~ ^^
i have the same name in my name! ~ ♥","晚上捡起时，韩国红色涂料牧场手套
我会推荐它〜^*（所有天气）
啊！ Gangjeong变得漂亮。
做一个漂亮可口的食物并打包
完成！没有韩国字幕，因此可以推断〜*
在视频中刷牙是如此可爱，上班时戴靴子很酷。
当您感觉到时，主要的冬天非常美丽，可以交替使用多种颜色的长芒果。 〜^^
我的名字中有相同的名字！〜♥"
23441,UgydynHddGVxHywYncZ4AaABAg,25,3 years ago,she is a beautiful strong woman.,她是一个美丽的坚强女人。
42430,Ugy4sv1Vyarvgaq9hnJ4AaABAg,25,4 years ago (edited),"singing, most beautiful and comfortable life, and a person follows this life.",唱歌，最美丽，最舒适的生活，一个人跟随这一生。
38283,UgyeBVCvEzh4hTJsNQh4AaABAg,25,4 years ago (edited),"hello from siberia)
great!
ma-sha 'allah, very beautiful!","西伯利亚你好）
伟大的！
Ma-Sha'Allah，非常美丽！"
40287,UgxxqoG5v31WuiGOSF94AaABAg,24,4 years ago,i wished i lived like her in a beautiful nature place just so peace ful,我希望我像她一样生活在一个美丽的自然之地
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
41589,Ugxj4SZRfBwppVdGkqh4AaABAg,24,4 years ago,"this girl is very beautifull, wonder, preety, cute and hard work",这个女孩非常美丽，奇迹，预处，可爱和辛勤工作
9037,Ugz2_YEwH8ojWbwh4ph4AaABAg,24,2 years ago,ziyi showed the real farmers of rural china and ordinary daily life so beautiful!,子柒把中国农村的真实农作及平凡的日常生活展示的如此美丽！
37159,UgyvCidxiaIGbS2xDJ54AaABAg,23,4 years ago,"just saying beautiful video๐, but, uhhh, where's the lamb at the end ?๐‘",只是说漂亮的视频
32420,UgylVgrLDVEGWq2lf7V4AaABAg,23,4 years ago,"so beautifull,peace & natural
your videos maka everything looks perfect& feel like in heaven","如此美丽，和平与自然
您的视频Maka一切看起来都完美，感觉在天堂"
40330,UgyVuhwPNeigCXUXGMZ4AaABAg,23,4 years ago,just found your channel. love it! great camera man and beautiful lady. loving your home and cooking. great work,刚找到您的频道。爱它！伟大的相机男人和美丽的女士。爱你的家和做饭。做得好
17056,UgzIBBJ_MOuQxONAzit4AaABAg,22,3 years ago,a beautiful and beautiful place ...,一个美丽而美好的地方...
36835,Ugyq23dN7RDpxiYNIV54AaABAg,22,4 years ago,you look beautiful i wish i have you to be my sister i m a girl i love you ๐,你看起来很漂亮，我希望我有你成为我的妹妹，我是一个女孩，我爱你
3361,Ugzyg-X9wZVpkqYJkwp4AaABAg,22,1 year ago,"how beautiful to live all that, and delicious to prove the confectionery",实践所有这些多么美好，可以很好地证明糖果
49720,UgwgGQZpgbqF9Yn1xzl4AaABAg,22,4 years ago,happy chinese new year beautiful lady 'm from indonesia .,春节快乐美丽的女士
37011,UgwE6az0IF1Y3ITxy3x4AaABAg,21,4 years ago,you really are a beautiful and very good girl. i often watch your videos very well and meaningfully.,你真的是一个美丽而非常好的女孩。我经常很好地观看您的视频。
4148,UgxL3GNJXi179ZSxcBx4AaABAg,21,1 year ago,"thanking you for the beautiful nature based content. just to say, in my newly released book, re-imagining mathematics, by ashna sen, i explore how the whole of mathematics can emerge from nature, the arts and even community...exactly what you do!",感谢您提供的基于自然的内容。只是说，在我新发行的书《重新想象数学》的书中，我探索了整个数学如何从自然，艺术甚至社区中浮现出来……正是您所做的！
12148,Ugzkz5SC2EcREeVLOeR4AaABAg,21,2 years ago,"make a russian translation or subtitles, please music behind the scenes is very beautiful! thank you",制作俄语翻译或字幕，请在幕后音乐很漂亮！谢谢
17548,UgyAwTFGRCIsFEBJazh4AaABAg,21,3 years ago,"you have a beautiful life with your grandmother. homely clean surroundings, serene atmospheres, picturesque gardens, well-managed fields of crops, handmade crafts, etc. you are in heaven and you are so lucky. 
others are stuck in towns or cities laden with daily problems like, pollutions, litter, crimes, slums, vandalism, etc.","您和祖母过着美好的生活。家常清洁的环境，宁静的气氛，风景如画的花园，管理良好的农作物，手工制作的工艺品等。您在天堂，很幸运。
其他人则被困在每日问题，例如污染，垃圾，犯罪，贫民窟，故意破坏等的城镇中。"
35550,UgxiUINVJgbHGlMZLHB4AaABAg,21,4 years ago (edited),"no electric gizmos, no plastic utensils 
just ceramics wood , bamboo and metal tools!
and oh my...she is so beautiful!!","没有电力小无，没有塑料器皿
只是陶瓷木材，竹子和金属工具！
哦，我的...她真漂亮！"
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
36927,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8u_oTg_Vtoc,20,4 years ago,now people know that how beautiful is china.,现在人们知道中国有多美丽。
31568,UgxG6rQbECUYkdtpilB4AaABAg,20,4 years ago,i would trade my current life to be in a house this beautiful and liqizi's skills.,我会把我当前的生活换成这个美丽而利奇西的技能。
