,cid,votes,含beautiful,含beautiful中文翻译
32189,UgxgvEsXBPQxGtidBg14AaABAg,0,both beautiful and good,美丽而良好
32045,UgxJVvu-Irj6ytheiJJ4AaABAg,0,beautiful and virtuous a kiss my respects for you,美丽而贤惠的亲吻我对你的尊重
32043,Ugz0CxDZDQSwjR3y8j94AaABAg,0,she’s a true wonder woman! she amazes me in every video and the scenery is just so beautiful! i wish i could go there.,她是一个真正的神奇女侠！她在每个视频中让我惊讶，风景真漂亮！我希望我能去那里。
32031,UgxiVUC-gkHZsAE65Gh4AaABAg,0,"soo young and beautiful, and soo skilled! your videos are a breeze of fresh hair in this hot summer! eng. sub would be very nice! thanks!",SOO年轻而美丽，Soo熟练！在这个炎热的夏天，您的视频轻而易举！工程。 sub会非常好！谢谢！
32002,UgyzjP7MB91ZPI12fF94AaABAg,0,"beautiful scenery, nguyen people are skillful, live peaceful rural life",美丽的风景，nguyen人很熟练，生活和平的乡村生活
31981,UgxkSad2MB82T4KsXAB4AaABAg,0,"beautiful cooking, beautiful lady",美丽的烹饪，美丽的女士
32415,Ugx8bvQmuqziV2W7RrZ4AaABAg,0,"this video assuage me, beautiful as usual 
hello from french","这段视频使我感到美丽，像往常一样美丽
你好法国"
32467,UgxOezm8_VndtrDM9eN4AaABAg,0,beautiful,美丽的
33559,UgzCPjf6ImlK7WZqGW14AaABAg,0,i can see how you and your family are so healthy the fresh food is beautiful and so much variety !! i wish americans had more variety unfortunately we eat very simple.,我可以看到您和您的家人如何健康，新鲜食物很美，种类繁多！！我希望不幸的是，美国人的饮食很简单。
32479,Ugw_UV4LK_bw_fwdFf14AaABAg,0,beautiful video! i love watching these.,美丽的视频！我喜欢看这些。
33462,Ugy6Xfc-1LShRG6edcB4AaABAg,0,"the way you cut bamboo shoots is so beautiful, i am both a knife and two cuts.",你砍竹笋的方式太秀气了，我都是一刀两断
33445,UgwpB4pidpakHViIqBt4AaABAg,0,"wow.. what a beautiful life, beautiful woman, hard working woman, full of dedication and determination. her husband will be so lucky. she deserves to get paradise where she lives. btw it's young bamboo. in indonesia language we call rebung. my greeting from indonesia. perfect life style.",哇..多么美好的生活，美丽的女人，勤奋的女人，充满奉献和决心。她的丈夫会很幸运。她应该得到天堂的住所。顺便说一句，这是年轻的竹子。在印度尼西亚语言中，我们称之为rebung。我来自印度尼西亚的问候。完美的生活方式。
33363,UgwY6Qz4lIHLA0zn8xB4AaABAg,0,"tieu tien is both beautiful and good !!!
你 是 个 个 仙女","Tieu Tien既美丽又好！！！
你是是个"
33235,Ugws8YsFW5oAQP2FHF54AaABAg,0,"thank you for showing the beautiful natural scenery.
shangri -la ~~~","感谢您展示美丽的自然风光。
香格里-la ~~~"
33204,UgxLu5CYxlunTbe9kLl4AaABAg,0,ayiiiooo wow beautiful,ayiiiooo哇美丽
33055,UgyRQqHiZ3SYELtQc5d4AaABAg,0,it's so beautiful. you are a fairy who lives in wonderland. envy you,太美了吧。你是生活在仙境的仙女哦。羡慕你
33016,UgzALEA2uMe702z4PiF4AaABAg,0,so beautiful,如此美丽
32979,UgxoEasHYaE6rUvXtT54AaABAg,0,how beautiful,多么美丽
32966,UgzdgkP7jnW_UgKm-Bl4AaABAg,0,beautiful life <3,美丽的生活<3
32906,Ugz7YtKUOib9uzxnfIZ4AaABAg,0,so peaceful and beautiful,如此和平与美丽
32896,Ugz7RFDGiKmFZCPmkSR4AaABAg,0,really wonderful my beautiful li ziqi,真是太好了，我美丽的李Ziqi
32873,UgxHUa6WwbWj_nRE9_x4AaABAg,0,"wow, the sky is very beautiful.",哇，天空非常美丽。
32858,UgzcKpN3Cqm_eUCXKTd4AaABAg,0,each picture is so beautiful 都,每个画面都那么唯美
32660,Ugzgmlx91aJ2M7dKaJN4AaABAg,0,"i saw your all videos i like your☺️ videos and you are so beautiful't know, whenever i see your video i feel very relaxed.",我看到了您的所有视频，我喜欢您的☺️视频，您是如此美丽
32630,UgxCS9yadwnDddcXTXJ4AaABAg,0,beautiful ❤ love every single video,美丽❤喜欢每个视频
32609,UgyVRlqLu0izr0H8b294AaABAg,0,"delicious. iron color, beautiful images",可口的。铁色，美丽的图像
32594,UgyAu8_c-sxjpGT9uK14AaABAg,0,her videos are so relaxing and beautiful. it is amazing. when i watch it i think she has the key of the happiness. hi from spain. keep healthy.,她的视频是如此放松和美丽。太神奇了。当我看它时，我认为她有幸福的钥匙。嗨，来自西班牙。保持健康。
32590,Ugwf0bMk3Gnt7TWOPJB4AaABAg,0,"how beautiful, i love your videos greetings from colombia ❤",多么美丽，我喜欢哥伦比亚的视频问候❤
32585,UgxLazxMucnZL789Wyp4AaABAg,0,beautiful girl 的,漂亮的女孩
29164,UgwvKG5UHbHwjO0-se14AaABAg,0,"you are not only beautiful but are one of the best cook as well, you will be a wonderful wife for one of the luckiest man in the world. all the best with your future young lady.",您不仅美丽，而且也是最好的厨师之一，您将成为世界上最幸运的男人之一的出色妻子。与您未来的年轻女士在一起的一切都很好。
29153,UgwAv7v8UrC5gM4wq1d4AaABAg,0,whoo beautiful girl ❤️ from bali indonesia,来自巴厘岛印度尼西亚的美丽女孩❤️
25124,Ugyiypo4xjtwpha_qcZ4AaABAg,0,"you are beautiful, cute, cooking. i like it.",你很漂亮，可爱，做饭。我喜欢。
26043,Ugx7FHeyMZRfKEtC9zl4AaABAg,0,"i found beautiful channel, thank you",我找到了美丽的频道，谢谢
26167,UgwT89V3q_LLnE8WvNx4AaABAg,0,so beautiful...,好漂亮...
26163,UgxrAqWJrdbH-IxgSNF4AaABAg,0,"beautiful girl, i will guard you.",美丽的女孩，我来守护你。
26155,Ugzph5zo-2W_KXaCN1d4AaABAg.8ytW8KqkuqN8yuE0HE01RE,0,"a beautiful video 
https://www.youtube.com/watch?v=nmcrmai1yrq&t=67s","一个美丽的视频
https://www.youtube.com/watch?v=nmcrmai1yrq&t=67S"
26128,UgzpqRWGx5WTTHSBqsx4AaABAg,0,i like your video. beautifull. from indonesia,我喜欢你的视频。美丽。来自印度尼西亚
26114,UgxJy5mtPDN36vq0LAZ4AaABAg.8yu30Aw4Q8w8yuDi86pKv4,0,"a beautiful video 
https://www.youtube.com/watch?v=nmcrmai1yrq&t=67s","一个美丽的视频
https://www.youtube.com/watch?v=nmcrmai1yrq&t=67S"
26085,UgzRfV_d8bhEyrkx0Jl4AaABAg,0,"i always watch with great pleasure your channel! you live in a very beautiful place, just a paradise! the nature is amazing. very colorful videos, i see a lot from your culture for the first time. the girl is just cinderella, a craftswoman on all hands! it is clear that a whole team is working on the channel that makes such a successful project. all videos look in one breath. thank you for getting to know your cuisine, nature, culture! successful to you and long life to the channel!",我总是很高兴您的频道！您住在一个非常美丽的地方，只是一个天堂！大自然很棒。非常丰富多彩的视频，我第一次从您的文化中看到了很多。这个女孩只是灰姑娘，一位手上的工匠！显然，整个团队都在研究这一成功项目的渠道。所有视频一口气看。感谢您了解您的美食，自然，文化！对您来说成功，频道长寿！
26073,UgxsMPXhudkW1-8pVT54AaABAg,0,you’ve videos are so mesmerizing as relaxing .... so beautiful to watch!! love everything you cook!!! cooking really is an art!! and your grandmother is the sweetest!! sending you warm thoughts and blessings from eastern coast of florida!! ☺️❤️,您的视频令人着迷，就像放松。爱你烹饪的一切！！！烹饪真的是一种艺术！而你的祖母是最甜蜜的！向您发送来自佛罗里达州东海岸的热情思想和祝福！！ ☺️❤️
26063,UgzY64VyRYjxIjfu-hB4AaABAg,0,"i really like your videos, i am a kitchen fan and i enjoy you prepare the dishes. that you also do with much love and with a wonderful cleaning and perfection. but regardless of food, their videos convey a lot of peace and positive energy. and you seem to me a very nice and beautiful girl. very good person. thanks for your videos.",我真的很喜欢您的视频，我是厨房迷，我很喜欢您准备菜肴。您也充满爱心，清洁和完美。但是，无论食物如何，他们的视频都传达了很多和平与积极的能量。在我看来，你似乎是一个非常漂亮和美丽的女孩。很好的人。感谢您的视频。
26045,UgyV9POsYD62zMpiWUl4AaABAg,0,this woman & her grandmother are as beautiful as their surroundings.,这个女人和她的祖母和周围的环境一样美丽。
26038,Ugz3YfdbH-18Y52bBKN4AaABAg,0,"it's so beautiful, when the bamboo shoots are beautiful, the girl is beautiful",真美啊 包笋子的时候被姑娘美到了
27009,UgyrO7NcJGCGvvYmXk14AaABAg.8yjMtPPGNnD8yvZmXJntrC,0,fairy is so beautiful,仙子真美
26033,UgxLIjRRXsLCIMSbikF4AaABAg,0,"my friend, make me beautiful",我的朋友，让我美丽
26030,Ugw4lO9QITlAesJkw8Z4AaABAg,0,beautiful also smart kitchen cooking,美丽的也聪明的厨房烹饪
26028,UgwZynRKZQvoD2gvH0d4AaABAg,0,"can you upload your hair beauty secrets
ur naturally so much beautiful
please upload some videos about hair and skin","你可以上传你的美女秘密吗
你自然如此美丽
请上传一些有关头发和皮肤的视频"
26020,UgwWe2aPlr4nhTTYAPZ4AaABAg,0,what a real girl is the most beautiful person.,好实在的姑娘 勤劳的人最美丽
26002,UgzLRJu-HM3pTOUukZx4AaABAg,0,"beautiful people, beautiful vegetables, and so many foreign friends to watch, good",人美，菜漂亮，还有这么多国外朋友观注，good
25999,Ugy2U_eY9rJKRZPccXl4AaABAg,0,the collarbone is beautiful ...,锁骨很美....
25989,Ugw28mmAyNz-mjLaeHZ4AaABAg,0,1 week and over 6 million views...a true youtube star....amazing. beautiful and talented!,1周和超过600万的观看次数...真正的YouTube明星。美丽而有才华！
25975,UgzriODyBHeHTGiIXJh4AaABAg,0,she is so beautiful❤️,她是如此美丽❤️
25887,UgwKbFoYkHbkS23Hp1t4AaABAg,0,"ziqi is so beautiful and peaceful girl, as beautiful as food she cooks",Ziqi是如此美丽和宁静的女孩，就像她烹饪的食物一样美丽
26169,UgxvrwIKRCEoLLsXKzN4AaABAg,0,so beautiful ~~~! intersection intersection,好美~~~！！！
26214,UgyFwMJdMDbbj3ntiw14AaABAg,0,the level of video shooting is so good and beautiful.,视频拍摄水平太好了，唯美。
26330,UgzJQPFkFJf1LD0GeLV4AaABAg,0,she is beautiful. very good.,她很漂亮。非常好。
26411,UgwAezc3cJpRe1dLvyl4AaABAg,0,"the shot is too beautiful, my eyes are moist",拍得太美，我眼眶已润
26919,UgxJbEDrObljAByFzEV4AaABAg,0,the little girl is very beautiful,小姑娘很漂亮
26918,UgwtncAchUZv3sY6_114AaABAg,0,the environment here is more beautiful,这里环境更漂亮
26901,UgwYl33-ESSwkl642uB4AaABAg.8yk7Q9L5sk98yl2bQ-TGtN,0,"q w immigration? intersection intersection where is the immigration? intersection intersection there are beautiful scenery every day, shooting the united states every day? intersection china is safe and beautiful. my sister is happy and happy, so you won't worry about it! intersection you still worry about yourself, in case you can really feel the liberty, the landscape of the shooting! intersection intersection",Q W 移民？？？移民去哪？？？每天都有美景线，枪击每一天的美国？？中国安全又美丽，姐姐生活幸福又开心，就不劳您操心了！！您还是担心自己吧，万一哪天真能感受自由美利坚，枪击的风景线呢！！！
26820,Ugx23kDxRz9dH9JeLmN4AaABAg,0,both beautiful and talented!,既美丽又有才华！
26756,UgzklHEr4DQlJJNqFJh4AaABAg,0,"you are so beautiful
unlike me
i am very fat that can't be reduced. my sister and sister cousin cousin are very thin. i fat. i really don't like my figure. essence essence","你真漂亮呀
跟我不一样
我很胖减不了的那种，我姐姐妹妹表妹表弟都很瘦就我胖我真不喜欢我这样的身材。 。 。"
26754,Ugw4Lqiu46Iei_1LFUp4AaABAg,0,you're beautiful,你非常美
26751,UgwSUdW7Vu44_PVH47J4AaABAg,0,beautiful and quiet.,唯美幽静。
26683,UgwdjFB1pYRb04fghMh4AaABAg,0,what a place but beautiful,多么美丽的地方
26680,UgwAB9qczKq785yHIGt4AaABAg,0,"cute, beautiful",可爱，美丽
26671,Ugz2b4294_lalxq0tZ54AaABAg,0,"ziyi is so beautiful and does not make softly, but let people have love in every place, hoping to bring us more videos",子柒好美，不娇柔做作，但是让人在每一处都产生怜爱之心，希望给我们带来更多的视频
26613,Ugx0LQzidmvNV0Gub0d4AaABAg,0,"anyone else notice that the interior of her house would be cause for condemned living conditions here in the west. and yet, here we sit, marveling at how nice and quaint this is. she washes her feet in a pond and yet we pay out thousands of dollars to have treated water pumped into our houses. 
her clothes appear to be less than thrift store cast offs and yet she can make a woman look beautiful and feminine in them. 
what a messed up world this is. 
her neighbors probably slave 17 hours a day to make our shoes of which we have several. 
my god, what has this world come too.","其他人注意到，她房屋的内部将导致西方遭到谴责的生活条件。然而，在这里，我们坐在这里，惊叹这是多么美好和古朴。她在一个池塘里洗脚，但我们付出了数千美元，以处理水中的水。
她的衣服似乎不比旧货店脱颖而出，但她可以使女人在其中看起来美丽而女性化。
这是一个混乱的世界。
她的邻居可能每天17个小时奴隶，让我们的鞋子有几个小时。
我的上帝，这个世界也发生了什么。"
26591,UgyoX1jw2rePyU-xu6R4AaABAg,0,"you have the most beautiful life, one which i would say most want including myself. i wish you be best and watching your channel gives me a sense of peace which i normally don't have. so thank you very much.",您拥有最美丽的生活，我会说最想包括我自己的生活。我希望您能保持良好，看着您的频道给我一种和平感，我通常没有。所以非常感谢。
26570,UgzUVKJHq0nptG0UPyd4AaABAg,0,the way she made dishes it's so beautiful,她做的菜肴的方式是如此美丽
26563,Ugyobx4XrcyIHF3SJzN4AaABAg,0,q beautiful place!,Q美丽的地方！
26473,Ugzu7GdS71QOMOQrRv14AaABAg,0,tu is very beautiful,tu很漂亮
26452,UgzeJKDwPWLKNDbBjsl4AaABAg,0,this clothes can't cover your beautiful little fairy,这衣服都遮不住你的美小仙女
26446,Ugy8thF6hz3EoQ6pVaV4AaABAg,0,god is our one great creator. god alone created all these beautiful things. always praise god and thank him. also it is not allowed by god to eat pork. god has blessed us with so many delicious foods. please abstain from eating pig products. i ask god humbly to bless you.,上帝是我们的一位伟大的创造者。仅上帝创造了所有这些美丽的事物。总是赞美上帝，感谢他。上帝也不允许吃猪肉。上帝为我们祝福了许多美味的食物。请放弃吃猪产品。我谦卑地要求上帝祝福你。
26442,UgySs8l9DmJQKWHNgll4AaABAg,0,love romantic beautiful girl,爱浪漫的美丽女孩
26419,Ugw30cT9y7xvkZrYxzp4AaABAg,0,i like him very much. so good. do everything. the strip is beautiful again.,我非常喜欢他。太好了。做所有的事情。条纹又很漂亮。
25851,UgxTn4sHkhBCwkW-SRR4AaABAg,0,simply beautiful !!,简直美丽！！
25838,UgwzXbFJnWRkvmoEOJB4AaABAg,0,"everything is fresh picked, beautiful presentation, lovely animals too! nice to see your grandma enjoying your cooking, wish her well and happy day ❤️",一切都是新鲜的，美丽的演讲，也是可爱的动物！很高兴看到您的奶奶喜欢做饭，祝她一切顺利，快乐的一天❤️
25836,UgzmyYxrl563MT1LEvN4AaABAg,0,lol i'm sure this has been said before but this is the first time i've seen one of her vids and i feel like i just watched a ghibli movie everything is so beautiful and full of life i just love it,大声笑我敢肯定这是之前已经说过的，但是这是我第一次见到她的一个视频，我觉得我刚看过吉卜力电影，一切都是如此美丽，充满了生活，我只是喜欢它
25434,UgxRnJlU843-U5Ovmm54AaABAg,0,beautiful is considered thoy :)),美丽被认为是thoy :)）
25330,UgywdiA_yA0AiMR4bv94AaABAg,0,can you do a house-garden tour? you are living in a very beautiful place.,你可以进行房屋之旅吗？你住在一个非常美丽的地方。
25290,Ugx1lndvCSKQRWIKZsl4AaABAg,0,from the time i saw that it was now a beautiful and beautiful cooking.,从之前看到现在就是子柒做菜感觉很漂亮很美。
25286,Ugxz6aq-BVlAUceVJ-J4AaABAg,0,"ziyi's poetic life is very beautiful, but at the same time, the cocoon on the hand, the injury on the body is also very distressing (: ∇ :) you are too difficult, duck, duck",子柒的山林诗意生活很美好，但同时干活手上的茧，身上的伤也很令人心疼( :∇:)你太难了鸭鸭鸭
25266,Ugxjsv3UU-5IGXUy6oN4AaABAg,0,beautiful but good too !!,美丽，但也很好！
25265,UgxS6mR6K9VAPDuJE514AaABAg,0,beautiful lady perfect !,美丽的女士完美！
25257,UgwtV4prM8vJvt4M-Ql4AaABAg,0,so beautiful. don't let me find it in the forest.,好漂亮。不要让我在森林里找到它。
25252,Ugz1JqMw86wknxIVLQt4AaABAg,0,mane nonton indonesia yg sneng nnton si ngin beautiful ... cungg ☝☝,Mane Nonton Indonesia YG Sneng Nnton Si ngin美丽... Cungg☝☝
25251,UgzcqMf-eF7mmfVYeWh4AaABAg,0,beautiful hybrid is good too,美丽的混合动力也很好
25221,UgwZGTkuOAg498rfk7l4AaABAg,0,i like you so beautiful,我喜欢你真漂亮
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
25199,UgzFdXJCBC2QSRT9Kfh4AaABAg,0,so beautiful . greetings from tunisia,如此美丽 。突尼斯的问候
25183,UgzRPhECQtaAI70UGot4AaABAg,0,beauty beauty and beautiful beauty,心美人美景美意美
25176,Ugxix-AJeD8iyjPvJvR4AaABAg,0,you are so beautiful and yummmy cooking,你是如此美丽和美味烹饪
25175,Ugz_ZvC8LWpt5L8j0BZ4AaABAg,0,what brand of camera is used? very beautiful color.,使用哪种品牌的相机？非常漂亮的颜色。
25167,UgzLSGGx4MwNa4_FqRF4AaABAg,0,"i’m so happy to see the english subtitles, i watched several videos the other day from your facebook that didn’t have the subtitles. it’s nice to read everything you are preparing!! you have a beautiful life and you are incredibly talented!! you should build a bed and breakfast so people can come and visit and learn to cook and sew with you!! you would stay booked up!! hello from florida!!",我很高兴看到英语字幕，前几天我从您的Facebook看过几个视频，而这些视频没有字幕。很高兴阅读您准备的所有内容！！您的生活很美，您的才华也非常有才华！！您应该建造一个床和早餐，以便人们可以来参观并学会与您一起做饭和缝制！！你会预订的！你好来自佛罗里达州！
25154,UgwOSkWdprDJehXzxcF4AaABAg,0,"beautiful girl , beautiful place , peaceful life。",美丽的女孩，美丽的地方，和平的生活。
25149,UgzOteFOeF5sQ4The554AaABAg,0,where are those places soooo beautiful !!!!!!,这些地方在哪里美丽！
25146,Ugz6y46uOdBBD2sX_554AaABAg,0,"beautiful cottage
also diligent","美丽的小屋
也很勤奋"
25125,Ugy-attR8ywpA_Dskpt4AaABAg,0,"oh i really loved what she made the best part is everything is so fresh, i would love to live with her , is this real where she's living everything too nice and beautiful to be real...",哦，我真的很喜欢她所做的最好的部分，一切都是如此新鲜，我很想和她一起生活，这是她的生活，她过着一切美好而美丽，无法真实的东西...
25353,UgxRH_3mswlKgmj2i6d4AaABAg,0,one word- beautiful,一个词 - 美丽
25444,Ugzr7naFWEe1c2-V4_R4AaABAg,0,"it's so comfortable, this woman is so beautiful!",看得好舒服，，这个女人真美！
25829,Ugy0z-zy7tB7Sg_2Jih4AaABAg.8yyDklFM7X58z-k9G2uS_0,0,555 i want to hear too ... follow from a million ... at that time there was no english subtitles ... but the look is beautiful and good.,555我也想听到...从一百万起跟随...当时没有英语字幕...但是外观美丽而美好。
25448,UgzrSJPj-k9Wmpko5d94AaABAg,0,"i appreciate this video, people are beautiful, jingliang.
director's skills are first -class 巧","我对这段视频好欣赏，人靓，景靓。
导演的技巧一流"
25794,UgxQcqHfXvK3O3lV6VF4AaABAg,0,"i like it very much. you are a woman, both talented and strong, beautiful. i like it very well.",我非常喜欢它。你是一个才华横溢，坚强，美丽的女人。我非常喜欢它。
25757,UgwaBGjkuAi_BJ9PmU94AaABAg,0,she’s so beautiful,她是如此美丽
25750,UgzFKAYXLsfVtt2mekl4AaABAg,0,absolutely beautiful. came from the game grumps. this is definitely a one of a kind channel.,简直美极了。来自游戏脾气暴躁。这绝对是一个渠道。
25669,Ugz6oAY8uuMamAZ6P1B4AaABAg,0,"beautiful, beautiful, beautiful",美丽，美丽，美丽
25653,Ugwl8m7ad51Jx0Tnjc94AaABAg,0,this is a beautiful life that humans yearn for!,这是人类向往的美好生活！
25614,UgxtbTec_32f-O-IEEx4AaABAg,0,first of all i would like to this liziqi channel to bring me and artful beautiful cooking i really wondered receipe from bamboo shoot and vegetables,首先，我想进入这个Liziqi频道，为我带来我和巧妙的美丽烹饪，我真的想知道从竹芽和蔬菜中收到的收到
25574,UgxaH7Lvboa6TOyaptB4AaABAg,0,"which one from indonesia is ...?
look at the bamboo garden in this video beautiful ...
but when i saw the bamboo garden near my house, how come it's horror ...","来自印度尼西亚的哪一个是...？
看这个视频中的竹制花园美丽...
但是当我看到房子附近的竹制花园时，怎么会恐怖..."
25565,UgzXFS-6zPT3S1z3brh4AaABAg,0,"liuzhou's snail powder is really authentic and delicious, and there are many beautiful girls. that is, the girl liuzhou is too fierce, more fierce than the one on my house ...",柳州的螺蛳粉是真的正宗好吃，靓妹也多。就是柳州妹仔太凶了，比我家那边的还凶......
25564,UgxhJ35THpnbFDk3u2J4AaABAg,0,"ziyi's pastoral video is so beautiful, thank you for sharing. do you want to see the pastoral life in france? i am a youtuber in france, and i will share some of france every week. @jssc i'm a chinese youtuber who is living in france, happy to share with you france countryside life","子柒的田园视频太唯美了，感谢分享。大家想不想看一下法国的田园生活呢？ 我是一个在法国的youtuber，每周给大家分享些法国的日常。​@jSsc I'm a chinese youtuber who is living in France, happy to share with you France countryside life"
25556,Ugzbg_HJvQiRoZ0WaiV4AaABAg,0,"so happy and practical
how beautiful it looks like","好充实 好踏实 
人 家 山 河 云 光 看上去多么的美"
25552,Ugw8I-KYkrgNIq5x2Gl4AaABAg,0,there is beautiful,有美丽
25543,Ugy_NqZF264-Xkd3nQB4AaABAg,0,beautiful life merges with nature,美丽的生活与自然融合
25533,UgyAljq64blXbdNBX7V4AaABAg,0,a beautiful place i will love to live.,我希望生活的美丽地方。
25529,UgyBTaMwF5ezqQhpzct4AaABAg,0,oh my god..this is my first watch.and i'm loving it.why are you so talented and beautiful.im sure im gana give this vedio a like and subscribe too.love it,哦，我的上帝..这是我的第一台手表。我爱它。为什么你是如此才华横溢和美丽。
25520,Ugw0VlWA-K8Y4LN451B4AaABAg,0,beautiful girl,美丽的女孩
25484,UgzvlnOnTYHy6_6V_VZ4AaABAg,0,"everything is so beautiful...the foods , the house...the land. is she real village girl ? i'm in lovee",一切都是如此美丽...食物，房子...土地。她是真正的乡村女孩吗？我在爱情
25478,Ugzsp_RsjpE3FoufmiB4AaABAg,0,"in fact, everyone likes beautiful women and food. people who really live in modern life wait for this kind of village without mobile phone computers who can have been able to pass three days.",其实大家喜欢的是美女和美食，真正过惯现代生活的人待这种乡村没手机电脑谁能挨过三天
25468,UgxtHfeuzvD88tZs9P94AaABAg,0,will be beautiful and beautiful,会做事又漂亮
25453,UgzPgVmZDJnjiC8ajdZ4AaABAg,0,nice video. the video is really beautiful.,不错的视频。视频真的很漂亮。
26933,Ugy_RCjgzIAR07LocJ54AaABAg,0,"i saw your video so beautiful and clear. i want to try the food you made. it seems to be really delicious. i watched the video well. naturally, subscription application is required. ^^",我看到您的视频是如此美丽而清晰。我想尝试你做的食物。似乎真的很美味。我很好地看了视频。自然，需要订阅申请。 ^^
27020,UgwonaKfG1HCFr6AKPZ4AaABAg,0,beautiful,美丽的
29113,Ugy4d412eMJlxWIdjpx4AaABAg,0,hii im from indonesia. its soo beautifull view. and i like it❤❤❤,来自印度尼西亚的hii im。它的美景。我喜欢它❤❤❤
28105,UgzIE9rnq_-a8lrdkKR4AaABAg,0,soooooo beautiful and soothing,太美丽而舒缓
28199,UgzB3XONKipmT8VkIIt4AaABAg,0,most lovely girl beautiful girl,最可爱的女孩美丽的女孩
28191,UgwwU8Du13MXRytVuQp4AaABAg,0,beautiful girl ..... marry me?,美丽的女孩.....嫁给我？
28179,UgxsD-LVdA0FG3p4uhV4AaABAg,0,you are so beautiful,你真漂亮
28172,UgwHyWKV19IJguXoV0t4AaABAg,0,very beautiful. watching from bangladesh.,很漂亮。从孟加拉国观看。
28169,UgwW0vqKxYt10joiu5t4AaABAg,0,there is really beautiful over there,那里真的很漂亮
28125,UgxqinQbJb3DoWqVvux4AaABAg.8y_LonPH7PL8yhELNVde0K,0,"celebrities can and fall. quality must be composed. don't forget themselves. as not, the value of the value is often floated. people are the beautiful colored pedestrians every time. every good thing is. good medicine is very good. learning kidney ash light, do not fade goodness, follow everywhere, quality of life, hahahaha",名人可以和跌倒。必须构成质量。不要忘记自己。由于不是，该值的值通常是浮动的。人们每次都是美丽的有色行人。每一件好事都是。好药很好。学习肾脏灰光线，不要淡入善良，在任何地方遵循，生活质量，哈哈哈哈哈
28123,Ugxs9Es2xkN-3sFPE5h4AaABAg,0,what a beautiful girl,多么美丽的女孩
28108,UgxqinQbJb3DoWqVvux4AaABAg,0,"beautiful, smart, strong! god bless you, liziqi!",美丽，聪明，坚强！上帝保佑你，利兹基！
28106,Ugz4AW84CXEsHXKGE8h4AaABAg,0,i'm so cute. china is really so many beautiful girls. the country produces the most beautiful women in the world.,我真可爱。中国确实是很多美丽的女孩。该国生产世界上最美丽的女性。
28092,UgzmFbAIAzJsmjoKz0x4AaABAg,0,just beautiful and basket,只是美丽而篮子
27063,UgyZBpuRAsiOjYqZYdN4AaABAg,0,read vietsub so fun. billions are so beautiful,阅读Vietsub如此有趣。数十亿是如此美丽
28091,UgxDr4avhqfFxU8hKIN4AaABAg,0,very beautiful and soothing as always! i really love your videos! ♥,一如既往的非常美丽和舒缓！我真的很喜欢你的视频！ ♥
28084,UgxfP2Tsn8f9VhTln0R4AaABAg,0,"green beans are beautiful
i swear, but i rarely praise that when i praise, i only have auto standard","绿豆很漂亮
我发誓，但我很少赞美我在赞美时，我只有自动标准"
28052,UgxYhVfQm-NrkwDkz0Z4AaABAg,0,she is in a fairy tail like a disney princess....sooo beautiful nature itz just give me peace....,她像迪斯尼公主一样躺在童话般的尾巴上。
28050,UgwWVjB8-qTikhTJ30t4AaABAg,0,russia is watching your video. i like it very much video you do! thanks to you! a dream of visiting your beautiful village.,俄国在看你的视频。 非常喜欢都视频你做！ 要感恩你！ 有一个梦想在你的美丽的村庄参观。
28046,Ugxr4YwRnpYQRMvlUUl4AaABAg,0,"0:55 bamboo shoots are super heavy. i came in in order to see the son -in -law.
at 4:45, the moss of tianluo is so much that it is impossible to clean it at all. fortunately, it's not the group of little guys in tianzhong.
7:58 a weeds can be eaten. this is the most surprising that the whole video .....

the video was taken very beautifully like li yingai in da changjin, let me smell the fragrance of vegetables through the screen.","0：55 的笋子超级重 我为了看子柒背笋子进来 却没有看到近的镜头拍摄
4：45 的田螺 那个青苔多到 根本不可能刷洗干净。还好 真的煮下锅的 不是田埂中的那一群小家伙
7：58 的杂草 居然能吃 这是整个视频最让我惊讶的.....

视频拍摄的很美 子柒像大长今中的李英爱作菜 让我透过画面都闻到菜香♥"
28044,UgyI1QU0Mh05R337hBF4AaABAg,0,"this women is very prety and good cooking, wow, if she my wife,, woow live is a beautiful day",这个女人是非常漂亮的烹饪，哇，如果她是我的妻子，Woow Live是美好的一天
28036,Ugwdd2X04znBmcpQI9N4AaABAg,0,so beautiful girls,如此美丽的女孩
28027,UgyjxQK-npZnNNEYXkt4AaABAg,0,"it looks very appetizing, beautiful and capable",看的很有胃口，漂亮能干
28025,Ugy_3AdTb4Qyys4YZF54AaABAg,0,she lives in nature yet still managed to look so so beautiful,她生活在大自然中，但仍然设法看起来如此美丽
