,cid,votes,含heaven,含heaven中文翻译
48025,Ugy07VPDRPWK1KD5o-F4AaABAg,0,"each of your videos represents the natural beauty and beautiful side of the rural life, depicts fresh food cooking in the village. but all the villagers have not been able to live like there. if all the rural life was beautiful like there then i did not need so called heaven. looking at your video, i'm in crush with you...",您的每个视频都代表着乡村生活的自然美景和美丽的一面，描绘了村里的新鲜食物烹饪。但是所有的村民都无法像那里一样生活。如果所有的农村生活都像那里一样美丽，那么我就不需要这样称为天堂。看你的视频，我和你迷恋...
49796,Ugy-LXe2b5CCTN0KfXJ4AaABAg,0,live in heaven..,住在天堂。
48864,UgyTUN3ZJqApK86mych4AaABAg,0,she's from heaven,她来自天堂。每当我看到她我感到和平时
48781,UgyJ22cxt0XVTaOq41Z4AaABAg,0,where do u reside? is that near to heaven??,你居住在哪里？那靠近天堂吗？
48780,UgzbM5RXJXqk54rtzKF4AaABAg,0,heaven on earth,天上人间
48733,UgwujUuH2kEGCL2PRK94AaABAg,0,dam i'm jealous to you because you live in heaven type village and also horrible kind of cheif and after all you are also gergous.you must be my wife because i'm also a horrible kind of cheif.alot of live from italy,大坝我嫉妒你，因为你住在天堂类型的村庄，也很可怕，毕竟你也很讨厌。你一定是我的妻子，因为我也是一种可怕的人。
48031,UgzSVMsDYskBr1zA9jR4AaABAg,0,that's heaven!!,那是天堂！
44954,UgxMcV2oRIdRspW6eg94AaABAg,0,the freshly made peanut brittle is more tasty than store bought. the taste and smell is heavenly.,新鲜制作的花生脆性比商店购买的更美味。味道和气味是天上的。
44717,Ugwlm_82B9dLycb9KDd4AaABAg,0,heaven,天堂
44534,Ugy_VIR8PrmTpekApw94AaABAg,0,do you live somewhere in heaven??,你住在天堂的地方吗？
41182,UgwTiuXHseYefCjeKtl4AaABAg,0,heaven,天堂
33379,UgxoZ0OqZM9vtmLpCPN4AaABAg,0,heaven,天堂
41591,Ugyncldjjillt-Xilgd4AaABAg,0,i bet she is making video from heaven,我敢打赌她正在从天上制作视频
41477,UgykWKy0DNbdecgrzrZ4AaABAg,0,asmr heaven,天堂
41469,UgyfxG52aACf06x45bJ4AaABAg,0,my little heaven,我的小天堂
41391,UgzmaiUl0DnnjDrqbIF4AaABAg,0,are u from heaven?,你来自天堂吗？
41269,Ugy3UwN5jAw5AIkfRfN4AaABAg,0,she lives in heaven.,她住在天堂。
41133,Ugy6svg8glxRnjxVIkN4AaABAg,0,is she an angel from heaven?,她是天堂的天使吗？
44428,Ugyj8hAjrB3ZB8OzmqR4AaABAg,0,by the way do u live in heaven ?!,顺便说一句，你住在天堂吗？
40957,Ugx6wqFlcubUbOxKRh14AaABAg,0,"i came out with a recommendation, but what is this?
is it a heaven for a beautiful nachan to make a large amount of sweets that seem to be playing with puppies and kids?
i want to know the details ...","我提出了一个建议，但是这是什么？
美丽的纳汉（Nachan）制作大量似乎与幼犬和孩子一起玩的甜食是天堂吗？
我想知道细节..."
40892,UgzFnVAQ7Eo5etHHg9V4AaABAg,0,did i just find heaven,我只是找到天堂吗
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
40714,Ugw3Ph2rNga7WOsv4s54AaABAg,0,it's just me or at 5:17 kinda remembered me digimon song? and the video itself makes me feel like i'm in heaven since it's so calm and lovely. but i know that since i've been raised in a city i'll never survive normally like her. you are awesome <3,只是我还是5:17记得我的Digimon歌曲？视频本身使我觉得自己在天堂，因为它是如此平静和可爱。但是我知道，自从我在一个城市长大以来，我将永远无法像她那样正常生存。你很棒<3
40590,Ugz2bzfcY2-_2Li6CXx4AaABAg,0,"i hate this girl vkl too
the grandparents often say which heaven's hate
so i hate this girl vl then god has given me this to me, guys","我也讨厌这个女孩vkl
祖父母经常说天堂的仇恨
所以我讨厌这个女孩VL，然后上帝给了我这个给我这个，伙计们"
40368,UgwwkhzxDcr41lcd6st4AaABAg,0,she life in heaven,她在天堂的生活
42144,UgyeipCneF36QCVN3Mp4AaABAg,0,is this second heaven where she lives.,是她住的第二天堂。
42472,UgyGpVEBaIbRbkShmTV4AaABAg,0,this is heaven....,这是天堂...
42547,UgzpCUssplGDnfpUlGZ4AaABAg,0,seriously it's ls a heaven l want to go,认真地说，这是我想去的天堂
42585,Ugwx8phVvmvB3BIRr5J4AaABAg,0,is this heaven? everything seems.. my heart,这是天堂吗？一切似乎..我的心
42794,UgxsQUxH_ArUyHndfiF4AaABAg,0,heaven is here.,天堂在这里。
42849,Ugw9neKs0wVZnKYItvd4AaABAg,0,two faces of eart . china = heaven .. europe = hell,eart的两个面。中国=天堂..欧洲=地狱
42866,UgzEYi1bF23SzeNa2lB4AaABAg,0,is this heaven ???,这是天堂吗？？？
42898,UgxJ9gIGgo2SnJ_f-qd4AaABAg,0,this is heaven on earth,这是地球上的天堂
42924,UgxXrATtp3huSY1b2vx4AaABAg,0,heaven.... where is that.,天堂....那在哪里。
42936,UgytRqz8NT5tpMBKWnt4AaABAg,0,where she lives is a heaven,她住的地方是天堂
43050,UgwOVquPTe43lnxXZ7B4AaABAg,0,omg. . everything is available in this place. .looks like heaven,我的天啊。 。一切都在这个地方可用。看起来像天堂
43153,UgxzoaWinsl6aD7x4_J4AaABAg,0,what a beautiful place.....it is heaven......,多么美丽的地方.....这是天堂……
43189,UgynSvro6RnfM0Iprh94AaABAg,0,do you live in heaven?,你住在天堂吗？
43860,Ugw49KCtVXb9x-evQ4d4AaABAg,0,god gifted human being beutiful life....v only making it worst and hell.... stop expecting more ....live with nature...life i'll b heaven....,上帝天赋的人是美丽的生命。
43907,UgyT7DgMIb-zqTfDvgF4AaABAg,0,is this heaven,这是天堂
44085,Ugy1pX8VONYJvSlJxFt4AaABAg,0,what this place is this place is delicious and nutritious food. it looks like heaven,这个地方是这个地方美味又营养丰富的食物。看起来像天堂
44364,UgwAuPoER_OoMuLohZh4AaABAg,0,i found heaven,我找到了天堂
33385,Ugywlw-9fIKgvlXHCAZ4AaABAg,0,great life ... all there are like in heaven,伟大的生活...一切都像天堂
28651,UgyFS4LJuaEEiccYo314AaABAg,0,heaven,天堂
33095,UgyU-gVOSlBiA5OX2xN4AaABAg,0,i think if heaven exist it will be just similar to that place,我认为，如果天堂存在将与那个地方相似
14143,UgyCQ0IsjlXBWnSi0Vd4AaABAg,0,i want to meet you. where u live. i want to see this heaven place and this beauty of nature in a single place.,我想见你。你住哪里。我想在一个地方看到这个天堂的地方和自然界的美丽。
15523,Ugw35MGZuu7-vCKBEk14AaABAg,0,heaven,天堂
15109,UgwLHP1-fpup2Tnsssh4AaABAg,0,is this heaven,这是天堂
15043,Ugx09YOocf__l1yo4Ot4AaABAg,0,"u are so lucky sis, u are living in a place equivalent to heaven!!",你真幸运，你住在一个等同于天堂的地方！
15041,UgyblvnWFWOwMvR3MkJ4AaABAg,0,is it heaven?,是天堂吗？
14931,UgzD0mRLC-8UMkIwwfR4AaABAg,0,we luv ur chanel lizqui from pakistan u live in a heaven❤️,我们爱巴基斯坦的Chanel Lizqui，您住在天堂❤️
14329,UgwlHZXc5kGjcSqvW1x4AaABAg,0,foreigners seem to see heaven after watching it,外国人看完仿佛看见了天堂
14038,UgxBWuohf4YFEZG_Vr94AaABAg,0,these vids are heavenly,这些视频是天堂
16074,UgwRFEXjdeZPvDVYdHt4AaABAg,0,be merciful to those on earth! he who is in heaven will have mercy on you,对地球上的人仁慈！在天堂的人会怜悯你
13971,Ugz5voo7RSUNXywJAT14AaABAg,0,heaven on earth,天上人间
13767,Ugyl-LLiL0nzczkx_pZ4AaABAg,0,snack heaven!,零食天堂！
13732,UgzxaQqms3aEmv_4TiZ4AaABAg,0,she is leaving in heaven god bless granny and her,她要留在天堂，上帝保佑奶奶和她的
13385,UgwpmLcD-v6MHvrWXTx4AaABAg,0,does she lives in heaven,她住在天堂吗
12993,UgyW-9tXfDRRfSYH7Fx4AaABAg,0,isn't this heaven ??,这不是天堂吗？
12798,UgwxybuC7FuXJRS6rA54AaABAg,0,"u r piece of heaven.
cant express.
u r w0orld idol.when i c u i hope run away from my city life.hide with u in magical world where peace","天堂。
无法表达。
当我c u时，我希望逃离我的城市生活。"
15713,UgwZvm2AuMRQ7FeontZ4AaABAg,0,heaven is here,天堂在这里
16083,UgzNfwTRIUAWe2VBZ7x4AaABAg,0,it's like heaven. it has everything,就像天堂。它有一切
12755,UgxWnADIrX8t1LvIfbp4AaABAg,0,wow you love in heaven,哇，你爱在天堂
18497,Ugz6mxvzET9WVJ3w2AR4AaABAg,0,is it heaven??,是天堂吗？
19544,UgzSL1ozKQM5w5BFStt4AaABAg,0,is this heaven?,这是天堂吗？
19011,UgwfTmYzlPhE5R6fR7p4AaABAg,0,"what kind of heavenly place where everything grows, blooms and fruitful in winter and in summer?! and :)",在冬天和夏天，一切都在什么样的天堂里生长，开花和富有成果？和 ：）
18876,Ugz26MK4OZ2Pnt0FXUh4AaABAg,0,she's live in heaven,她住在天堂
18743,Ugzviwnjt2_TJqh6YNR4AaABAg,0,that must be what heaven is like,那一定是天堂
18631,UgwW1j9uTw8eiQlX7c54AaABAg,0,"this is heaven, right?",这是天堂，对吗？
18573,Ugy8ZvQfHnUcdfaTkkd4AaABAg,0,maybe this is a glimpse of what heaven will be like :),也许这是对天堂的样子的一瞥:)
18493,Ugzqf1hVJkfJYdVy9SB4AaABAg,0,what's thé wonderful life. i''innocent. heaven,美好的生活是什么。我以上的。天堂
16251,UgyJOtiWvdhgiWkpC2h4AaABAg,0,"i think that heaven is like this ,very beautiful beautiful place",我认为天堂就是这样，非常美丽的地方
18222,Ugy7yk698EhZqMCeDVV4AaABAg,0,"liziqi beautiful kid ....
he loves his grandmother so much ...
they live in a place that is so beautiful ....
like in heaven ......","liziqi美丽的孩子。
他非常爱他的祖母...
他们住在一个如此美丽的地方。
就像天堂一样……"
18215,UgxsIQmK1xmRqrl7ccF4AaABAg,0,this is heaven,这是天堂
17033,UgwS3w1-gfGhw4Y4QtV4AaABAg,0,this is heaven,这是天堂
16902,UgyKe1uUBjUVMM7J_pV4AaABAg,0,heaven,天堂
16842,UgyAyeo2KFhwB6Puzul4AaABAg,0,you are living in heaven...i'm jealous,你住在天堂...我嫉妒
16761,UgxxKD_TZ9L_h2odZ6d4AaABAg,0,this is heaven,这是天堂
12756,UgwsU4K56X2sgPpYxuF4AaABAg,0,wow you love in heaven,哇，你爱在天堂
12745,UgxFw3NHB58BPWDhCPV4AaABAg,0,heavenly heaven is sure there is there.,天堂肯定那里有那里。
32863,UgzKqu24fyR0o6X5a_B4AaABAg,0,dis vdo is lik feeding mi soul .mind heart ..out of the world its heaven in tru means ..wata purety simplicity ..im actually speechless wchng ol ds but still hvtu put in wrds somhow a bit wat im feeling wchng ds vdo ..ds grloh mi shez amzing bestiful lik doll n immensely talented hard working ..the place .house .pots .fruits recipez ..vegis .grndma .lucious farms .trees ..wt tu nme wat tu leav ..huhh..im lucky i found ds vdo ..living in mad big cities wth such impure .. polluted.sly pple .ratrace ..is lika living in hell..n mann dis plce . people .. like a dream for me,dis vdo喜欢喂食mi灵魂。 。我发现ds vdo ..在疯狂的大城市中生活如此不纯..污染了。人们..对我的梦想
3215,UgwELFiTkU0IyT543A54AaABAg,0,she is living in heaven....,她住在天堂。
5694,Ugzw_Rp3huQ4cmCmFBF4AaABAg,0,i thought we can see heaven after death only possible... they said no...,我以为我们只能在死后看到天堂...他们说不...
4685,UgxKz8XS4h3pEPxHBu54AaABAg,0,oh she living in heaven,哦，她住在天堂
4492,UgyDTq0s2n2KAwLUaJZ4AaABAg,0,wow heavenly,哇天上
4488,Ugy2DlKnE2JUPkrDKMN4AaABAg.9R8E0O0bXks9RBluEVM_yH,0,heavenly yum-yum,天上的yum-yum
3912,UgziF8xN8M9W7Y-zxQd4AaABAg,0,"who these disliking creatures are, from hell who does not like heaven.",这些不喜欢的生物是谁，来自地狱谁不喜欢天堂。
3548,Ugx9aD6lHK8fng3az1x4AaABAg,0,"seeing the fruits, flowers, cutie animals, make me feel like this is what heaven should look like",看到水果，花朵，可爱的动物，让我觉得这就是天堂的样子
2585,UgyYUhjol3H7xxFi5nh4AaABAg,0,heaven...,天堂...
6649,UgzEDD3yVobxB4ffepJ4AaABAg,0,"a lot of food supplies, taste in heaven",很多食物供应，天堂的味道
2378,UgyzYc59uJaZG4j16mN4AaABAg,0,this was shot in heaven,这是在天堂拍摄的
2280,UgwBTKvpFpzy4V-EI3d4AaABAg,0,"i love this movie bgm and way of cooking style, atmosphere, circumstances all of them. if heaven exist on the earth, i will choose this town without hesitate.",我喜欢这部电影BGM和烹饪方式，氛围和环境的方式。如果天堂存在于地球上，我将毫不犹豫地选择这个城镇。
2157,UgxN0h2Q5KLLcfHGX3F4AaABAg,0,heavenely**,天堂**
2094,Ugw-Ue50cmSabJQfLqt4AaABAg,0,"do not from the sky. renewal (life of life, memory, time), objectized thinking (mirror opposite, ability to oppose, confrontation of mind, messenger and non -me), self -consciousness, is a trap. (no matter who sets the trap. no matter it is related to the second law of thermodynamics.) it is a robbery.
the diversity of life is complicated, so that ""the mirror is unchanged, and the phase variant is unchanged. so as a rosary."" i, i, i, ... "". is it inevitable? is it considered a progress or evolution, and there is no need for discussion. (even science is fans. fans from all walks of life can't offend)
with me, i lost my own (so -called me, my self -definition: i have it, there is no need to read me.)
freedom often, no need to find.
riding a donkey to find a donkey, looking for his head, anxiety, nervousness, and pain (to crazy). this should be a common sense and cannot be avoided. even if you do n’t go to the school to receive instilling (the ancient and modern chinese and foreign instills are paste, big witch and small witch, fifty steps and hundred steps, the same), and being named by the parents at the “niang gow”. essence
this may be the price that the so -called civilized progress (or the so -called prosperity development) must be paid.
the concept noun, according to ""a brief history of humanity"", is a powerful weapon for the wins of the homo sapiens.
it now appears that this is a double -edged sword.
human beings are about to (or have already) so crazy to destroy this world (this prison, this corner field, the fighter field)
anyway, each ownership (there are all kinds of promises. including nothingness, or even absurdity, each have their own fans.)
go to see marx, go to see the ancestors .......
the so -called conflict of civilization is not just the dispute between the conceptual dispute, the mixed geographical skin color and even the habit of dispute, etc.
there are unified thoughts, standardization, simplification, part -time, systematic, modern, and global blessings. these war machines cannot stop.
this may be a disaster that will usher in the evolution of life.
i got a hint from a great place many years ago. unexpectedly, it is so obvious now. (at least for me, it is obvious)
the effort to try to try with the mud has long failed, but now it has been verified that this is basically a car.
let's practice it. only practice.
xin zhai did not, the cliffs were scattered, and he fell into the darkness at all, admitting ignorance. (from a song from pu shu)
or can get new life. heaven and man are one, and the tao is not out of the foreigner. it is often sufficient. as a result, calmly, facing the ending of life and even the universe.
(but pay attention: unequal mind and easy to enter the magic.)

renewal: continuity. it was mainly inspired by the story of the knowledge of knowledge (good and evil differences) by the temptation of the snake.
some people say that adam's original sin originated from eve's lying. in fact, there is no snake, it is eve to seduce adam himself.
i wrote a short article to refute this absurd interpretation. (yi zhongtian believes that this snake is related to reproductive worship. it is more than this more than this.)
see ""adam's original sin (eve did not lie)"" 6park.com
""diamond sutra"": ""no one, no one, no one, no beings, no life.""
generally explained as equal treatment. not bad. but what is the ""life""?
some people say that it is a fake word of ""suffering"", and those who have no sufferings depends on the appearance of through the body. it is also easy to say, but it is not coherent with the context.
i think: the so -called life, regardless of longevity and shortevity, and those who have a life span. (not only beings, not life, but also life.)
the actual feiya is not moving, fang sheng fang died, fang dead fangsheng (zhuangzi) has a life span, which is the illusion or illusion that memory brings us (like visual retention) 6park.com
regarding memory phase and time, please see ""congenital first reason (background and source)"" 6park.com
regarding the trap of objectization thinking and self -consciousness, please see ""objective thinking (self -conscious trap)"" 6park.com
mirror opposite is a metaphor, which is more important. it can be said: everyone (even all perception sentient beings) is a bright mirror that is the same.
(the dimension is pushed. we are a two -dimensional plane in front of us. it is not three -dimensional. three -dimensional logic from our straight logic. what we see is illusion. we can't see the actual space. it's bent.)
including the body, it is just a mirror image.
where did this sensory mirror come from? no one knows.
at least i don't know, i can only guess. at present, my recommended conjecture is: energy conservation, energy first.
if you have energy, you must light up your consciousness, and even the so -called non -organism. it is definitely not self -conscious, or even if it is, it is extremely vague and extremely unstable. 6park.com
the metaphor of a rosary, like snakes, seduces selfish self -cultivation.
on one occasion, a netizen asked me: why did he feel that he had many previous lives and died in the same nanjing massacre.
i made an analogy. zhuangzi: fang sheng is dead, fang dead. for example, the mahjong card stacked together.
the difference is just stacked neatly. there is still the next life, and it still has to be empty and it is not worth pursuing. 6park.com
regarding the second law of thermodynamics, due to the lack of professional knowledge, it cannot be accurately judged. at present, it is considered that: uniform distribution is an orderly. the complexity and diverse life (each gene is different, including twins, including clones, there are somewhat places to copy wrong homework, and there is no mutation or evolution), which is disorderly.
therefore, there is no contradiction between the laws of thermodynamics and the evolution of species. it cannot be misleading because someone wrote this book or made a prophecy, thinking that the world should live like this, and it is better to destroy it. see the contradiction between the second law of thermodynamics and evolution? ""6park.com
if we face a disaster, we do not from heaven, the crazy from our own, and the cause is the self -loss that must be caused after self -awareness.
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于the so -called civilization conflict, at the expense of destroying this world, must also maintain your beliefs)
this may not be avoided. 6park.com
collective, it is mainly bad in the modernization of standardization industrialization.
the so -called civilization, the so -called cultural circle, has become a war machine that has become unified.
(western advocating personality is an illusion. actually, the family cannot standardize it into a screw, which is not conducive to industrialization. see ""another brick on the wall"")
this simple and orderly repeatting is a reactionaries that violate the heavens, not a variety of complicated life.
energy is conservative, life will not be cut off, and the big deal will change the form. the standardization of the systemic and the cold war machine will inevitably be destroyed.
i kept at the nuclear winter.
(genghis khan's war machine is also very ""modern"".
establish officers such as functions and so on. and the whole people can be equipped with a quota, without any troubles such as three crickets.
is the winner more advanced? ) 6park.com
(there is no determination to go to the end of the hundreds of millions of people, and there is no spirit of swallowing the ten directions in the lone peak, and talk about the real awakening.
even if it is a praying arm blocking the car, the wind is not shining anyway, try it again. .

personally, you can practice xinzhai's inaction and let the cliffs let it go.
dharma: foreign interest (let go of my persistence, like persistence), there is no breath in the heart (letting go of the law, the mirror persistence)
this is the mind, not in the external behavior, meditation or standing piles, running or sleeping, let alone practice unnecessary asceticism.
altar scriptures: there is no need for righteousness and evil. long extension lying on his feet.
one foot evil, that is, obsessed with foreign ministers, one foot is positive, that is, imagine the infinite perceptual body (it is too easy to enter the magic, because there is no difference between good and evil)
don't do the so -called good things, let alone do bad things (not chinese culture too much sauce cylinder, some people are dull by themselves)
the method of inaction is the principle of leverage, the alternative use of cathode and yang (see ""alternative application of leverage principles"")
be careful of all the so -called proofs, especially the sudden sensitivity, such as suffering from a sense of purity, sober, clear and clean ...
there is no need to do thousands of miles in life experience. this does not become a test, mainly depending on the inner and unequal (see ""equal equality and entering the magic"")","劫不从天外来。相续相（寿者相，记忆相，时间相）、对象化思维（镜像对立、能所对立、心物对立、我与非我的对立）、自我意识，是个陷阱。（无论是谁设的陷阱。无论与热力学第二定律有没有关系。）更是一个劫。
生命之多样复杂，以至于敏感到“像变镜不变，相变体不变。从而串起一条念珠。“我，我，我,.......”. 是不是演化的必然，算不算进步或进化，也没有讨论的必要。（连科学也是有粉丝的。各路粉丝都得罪不起）
有了个我，反而失去了本我（所谓本我，我的自我定义：本就有的，没必要念的我。）
自在常在，无须寻找。
骑驴找驴，迷头觅头，焦虑紧张烦恼痛苦（以至于疯狂），这应该是人之常情，也无法避免。即便不去学校接受灌输（古今中外灌输的都是浆糊，大巫小巫，五十步与百步，一样的），被父母指着“娘生褂”起个名字，就已经是迷失的开始了。
这也许是所谓文明进步（或所谓繁荣发展）必须付出的代价。
概念名词，据《人类简史》，是智人胜出的有力武器。
现在看来，这是柄双刃剑。
人类快要（或已经）疯到要不惜毁去这个世界（这个监狱，这个角斗场、斗兽场）
反正各有各的归属（各有各的应许之地。包括虚无，甚至荒诞，也各有各的粉丝。）
去见马克思，去见祖宗.......
所谓文明的冲突，不止于理念之争宗教之争，混杂了地域肤色甚至习惯之争等等等等
有统一思想、标准化、简单化、零件化、系统化、现代化、全球化的加持，这些战争机器是停不下来的。
这或许是生命演化出自我意识后，就必将迎来的一劫。
我很多年以前就从某位大能处得到暗示。没想到如今已如此明显。（至少对我来说已经很明显了）
试图和稀泥的努力早就失败，如今不过再次验证这基本上是螳臂当车。
还是实修吧。也只有实修了。
心斋无为，悬崖撒手，不惜坠入黑暗，承认无知。(出自朴树的一首歌）
或能获得新生。天人本一，道不外人，常在具足。从而自在从容，潇洒面对人生乃至宇宙的ending。
（但是要注意：心不平等易入魔。)

相续相：连续感。主要受夏娃被蛇诱惑吃了知识果（善恶分别果）的故事的启发。
有人说亚当的原罪源于夏娃的撒谎。其实没有蛇，是夏娃自己要诱惑亚当。
我曾写了篇短文反驳这种荒唐的解读。（易中天认为这蛇与生殖崇拜有关。也比这强了不止一点。）
参见《亚当的原罪（夏娃没有撒谎）》 6park.com
《金刚经》：“无我相，无人相，无众生相，无寿者相。”
一般解释为要平等对待。大抵不差。但何谓“寿者”？
有人说是“受”的通假字，无受者，就是说要看穿身体这个表相。也说得通，但与上下文不太连贯。
我认为：所谓寿者，不分长寿短寿，有寿命可计的都是寿者。（不仅是众生，非生命，也是寿者。）
而实际飞矢不动，方生方死，方死方生（庄子），有寿命可算，是记忆带给我们的错觉或幻象（好比视觉暂留） 6park.com
关于记忆相与时间相，请看《先天第一因（背景与源头）》 6park.com
关于对象化思维与自我意识陷阱，请看《对象化思维（自我意识陷阱）》 6park.com
镜像对立，是个比喻，比较重要。可以这么说：人人（乃至所有的知觉众生）都是一面同样圆满的明镜。
（维度是推想出来的。我们眼前是个二维的平面。不是立体的。三维来自我们笔直的逻辑。我们看到的是幻象。实际的空间我们看不到的。按物理学来说不是平直的是弯曲的。）
包括身体，都只是镜中像。
这个知觉镜到底从哪里来的，没人知道。
至少我不知道，只能猜。目前我比较推荐的猜想是：能量守恒，能量第一性。
有能量必然点亮知觉，连所谓的非生物也是一样。只是肯定没有自我意识，或即便有，也是极其模糊极其不稳定的。 6park.com
一串念珠这个比喻，和蛇一样，都是引诱人自私自利修来世的。
有一次，某位网友问我：为什么他觉得自己有很多前世，都是死于同一场南京大屠杀的。
我打了个比方。庄子：方生方死，方死方生。好比叠在一起的麻将牌。
区别只是叠得整齐不整齐。来世下面还有来世，还是要清空了重来，不值得追求。 6park.com
关于热力学第二定律，由于缺乏专业知识，无法准确判断。目前倾向于认为：均匀分布是一种有序。生命的复杂多样，（每个基因都不同，包括双胞胎，包括克隆，都多少有抄错作业的地方，没有变异就没有演化或进化），是一种无序。
因而，热力学定律与物种演化论并无矛盾。不能因为有人写了本书或做了个预言，就被误导，认为世人活该如此，毁灭了更好。参见《热力学第二定律与进化论矛盾吗？》 6park.com
如果我们面临一劫，不从天外来，来自我们自己的疯狂，究其因，就是自我意识产生后必然造成的自我迷失。
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于所谓文明的冲突，不惜毁了这个世界，也要维护自己的信念）
这未必不能避免。 6park.com
从集体来说，主要坏在标准化工业化现代化全球化，
所谓的文明，所谓的文化圈，已经各自成为统一了思想的战争机器。
（西方崇尚个性是个幻象，实际是家庭无法规范成一个个螺丝钉，不利于工业化。参见《墙上的另一块砖》）
这种简单有序的重复灌输才是违反天道的反动派，不是多样复杂的生命体。
能量守恒，生命不会断绝，大不了换个形态，标准化零件化体系化的热战或冷战机器必然覆灭。
自己不停就止于核冬天。
（成吉思汗的战争机器也很“现代化”，百夫长千夫长万夫长的连排制度，从各部落独立出人质建立近卫军，
以职能设立军官等等等等。而且全民皆兵，可以配给配额，没有三饷从哪里来之类的烦恼。
胜利者一定比较先进吗？） 6park.com
（没有虽亿万人吾往矣的决心，没有独居孤峰顶一口吞尽十方的气魄，奢谈真正的觉醒。
哪怕是螳臂挡车，反正风吹不动光，再试试吧。）

从个人来说，可以修习心斋无为，悬崖撒手。
达摩：外息诸缘（放开我执，像执），内心无喘（放下法执，镜执）
这是心法，不在于外在的行为，打坐还是站桩，跑步还是睡觉，更不要去修什么无谓的苦行。
坛经：正邪俱不用。长伸两脚卧。
一脚邪，即迷恋外相，一脚正，即想象无限大的觉性本体（过分了容易发狂入魔，因为本无大小善恶之分）
所谓好事都不要做，更不要说做坏事了（不是中国文化太酱缸，是有的人自己愚钝）
无为心法，是杠杆原理，阴极而阳的另类使用（参见《杠杆原理的另类应用》）
要小心一切所谓的证明，特别是突然过于敏感，例如突获清净感、清醒清晰干净......
人生历练不一定要行万里路。本不成为考验，主要看内心平等不平等（参见《心不平等易入魔》）"
1032,UgzgkNKm2H_76mIUiHt4AaABAg,0,"he repent, because the kingdom of heaven is close. matthew 4:17",他悔改，因为天国很近。马太福音4:17
899,Ugzi6BfO4CSV_toyygZ4AaABAg,0,she literally leaves in heaven wow...,她从字面上留在天堂哇...
6578,Ugz-L4A1q2HAhn_9Pqx4AaABAg,0,heaven! ❤️,天堂！ ❤️
6737,UgzIaXa1DjGb9HyWZM94AaABAg,0,does she live in heaven,她住在天堂吗？
12734,Ugz5d324rkoHkmAbToZ4AaABAg,0,shes living in heaven,她住在天堂
