,cid,votes,含food,含food中文翻译
23966,UgwwTI_hpCwC4oHbVFB4AaABAg,0,"i love them food , i love it ☺️",我爱他们的食物，我喜欢它☺️
5108,Ugwz9VvjRZ8p2_j9ZFl4AaABAg,0,nice foods,不错的食物
24006,Ugw_xhcSM5xW7LlTRpR4AaABAg,0,"cooking is tradition culture in china,when poor age since no more food it's just for full, but when the property age, fancy food become life style...so long old history of china without interrupted, vast land, great people make food cooking to be elegant culture..amazing",烹饪是中国的传统文化，当时不再食物的年龄较差，这只是为了充满食物，但是当财产年龄，精美的食物变成生活时尚时……中国的历史悠久，没有中断，广阔的土地，伟大的人使食物烹饪成为优雅的文化。
24044,UgxG58v9EZs0pXbGrS54AaABAg,0,is she living in heaven garden....?where she can find all her cooking needs..... i jst luv.... and jst dream of living in that garden.... with fresh...... air...... food....,她住在天堂花园....？她在哪里可以找到她所有的烹饪需求.....我jst luv ....而JST梦想着住在那个花园里....新鲜.....空气...食物...
24049,UgyZkDEPUjL9nIbRs2p4AaABAg,0,grandma your lucky with delicious foods lol,奶奶你的幸运美味的食物大声笑
24071,Ugw_2vIBHlS_dmP1rEF4AaABAg,0,"i like this food, and i think it's very very delicious, you can try .",我喜欢这种食物，我认为它非常美味，您可以尝试。
24100,UgwRjW3Oxhp8xblk2al4AaABAg.8zV0nQ78OsP8zVqazrAZI9,0,coz food is layf >_<,coz食物是layf> _ <
24139,UgwkLHvR63hpHtdYGOh4AaABAg,0,eating organic food and living in this peaceful place with clean air. i won’t be surprised if this lady and the grandma would live longer than an average human being.,用干净的空气在这个宁静的地方吃有机食物。如果这位女士和祖母的寿命比普通人更长，我不会感到惊讶。
24141,UgxTPaVsk8T9DAmQtel4AaABAg,0,this is so calming. and the food looks delicious,这太平静了。食物看起来很美味
23361,UgxzfenpfBgVzfQXTJ14AaABAg,0,grandma so lucky. the food is always so yummy.,奶奶很幸运。食物总是很美味。
23358,UgxMlc1ol9WXyEHPRSp4AaABAg,0,"this food always looks so wholesome. i wish my style of living could come close to this but where i live, we are so toxic with our life styles. love & light to you and yours.",这种食物总是看起来很健康。我希望我的生活方式可以接近这一点，但是在我居住的地方，我们的生活方式如此有毒。对您和您的爱与光。
5311,UgxsdT8FjnfRX2CrlwV4AaABAg,0,i wonna watch your video again and again.... good vew and good food,我会一次又一次地观看您的视频。...美味和美味的食物
23353,UgwHDfNpC3luWdAcLtB4AaABAg,0,now that's pure and clean food.,现在那是纯洁的食物。
22818,UgzM-0Riw0ggkVKL9_Z4AaABAg.8zvboIzueAn9--mio5hr_m,0,because we think all chinese people's eat only non-vegetarian food....but this video change thinking about you....,因为我们认为所有中国人都只吃非素食食品。
22824,UgyD9r-pmeIPjcjKjzx4AaABAg,0,it's wonderful to see that she has all the foods close to home and she pays nothing for it. this lifestyle is beautiful,很高兴看到她将所有食物都靠近家，而她却一无所获。这种生活方式很美
5529,UgzBrQXEeQXxrd1sou54AaABAg,0,wow thats so nice and pretty the place you live in so many food grown i like thats cool,哇，真是太好了，漂亮的地方，你住在很多食物中，我喜欢那很酷
22854,UgykTV3T-pA-mR_0QIt4AaABAg,0,she and chef ramsey need to have a competition on who makes the best food. this woman always looks like she's making enough food for an army but just her and grandma eat. o.o,她和厨师拉姆齐需要就谁做最好的食物进行竞争。这个女人看起来总是像她为军队做足够的食物，但她和奶奶吃了。 O.O
22857,UgypSCYcF8YGiJlqCqx4AaABAg,0,"with the most simple ingredients, the most beautiful scenery, and my grandmother's smile and discourse, i envy me. you know that so many foods you like and taste with your family. in the beautiful natural green scenery, you do n’t know if you in the future. will you persist?",用最淳朴的食材，最美的景色，加上外婆的笑容和话语让我好个羡慕，你知道做这么多大家喜欢的美食和家人一起品尝，在美好的自然绿色风光里面，不知道以后的你会坚持下去吗?
22864,UgwCew82UhCQ4RQaGnp4AaABAg,0,"no measuring cups, spoons, etc...ever...not one. true food artistry generation after generation, wow.",没有量子杯，汤匙等...没有一个。一代真正的粮食艺术，哇。
22911,UgzOLLMD6QgWJaHNL8p4AaABAg,0,"kitchen skills are better than ""wildfood brother"", i guess more to learn old grandma",厨艺比“野食小哥”好，估计学老奶奶的多
22957,UgzNqxkQZOBtEeicVMJ4AaABAg,0,"whoops .. beauty, food ... life like a fairy! bleak",哎呦..美人、美食...神仙一样的生活呀！
22988,UgygG2oDEhWd8ba5dWB4AaABAg.8zsuvKy1A-k9-8RtYYWrNg,0,"hahahaha, do you feel bad about bamboo? the meat that eats the mouth is obtained by killing animals, and people can live with spiritual food. lol",哈哈哈哈，心疼竹子吗？吃到嘴的肉都是杀动物得来的，人可以靠精神食粮活下去lol
23003,UgyMrGbbtyLUf0LyWAV4AaABAg,0,omg!!! im boutta die yall!!! from the dinner she cooked!!! i luv food so so much! & especially when its home cooked!!! im crying right now! bcuz i the meal is da bomb! and i cant have any!!!#drooling a huge pool! lol,我的天啊！！！我是boutta die yall ！！！她煮的晚餐！！！我这么爱食物！ ＆尤其是当房屋烹饪时！！！我现在在哭！ bcuz i这顿饭是炸弹！而且我不能！＃流口水！哈哈
23028,UgyGMm8UVOxBvWva-DJ4AaABAg,0,healthy food,健康食品
5509,Ugx15E9IpvRv3Mfu-NJ4AaABAg,0,how to save food without a refrigerator?,没有冰箱怎么保存食物 ?
23098,UgwREJ2GsEc7BDf2KNd4AaABAg,0,what a blessed life. her struggle is only for food. no other worries for anything but organic food :),多么幸福的生活。她的挣扎只是为了食物。除了有机食物之外，别无其他任何事情:)
23141,UgyL11AYW2n6NwF4L2F4AaABAg,0,"what a blessing to live in nature and grow your own food, i live in nyc- i'd trade you in a heartbeat!!",我住在大自然和种植自己的食物中多么幸运，我住在纽约市 - 我会心跳加速！
23152,Ugwu3haY21EqaCkpGNJ4AaABAg,0,some with indonesia food. . really,有些有印度尼西亚食物。 。真的
5341,UgzorTLYCSxun2P4tnF4AaABAg,0,"exotic food .........
never heard of it","异国情调的食物.........
从来没有听说过"
23219,UgzHbBZgd-8NkyTgi9B4AaABAg,0,amazing food,惊人的食物
23228,UgwOIQufr4nrU5-degZ4AaABAg,0,"you're reminding me of my childhood, i use to follow my grandma into the wood on the mountain, that's close to our house picked up bamboos, and fishing with my grandpa to make curry with it, it's called แกงกะทิปลาช่อน ใส่หน่อไม้ for those whos love thai food as well, it's hard to find in the restaurant, love you. from thailand",您让我想起了我的童年，我曾经跟随祖母进入山上的木头，靠近我们房子的竹子，和我的爷爷一起钓鱼，用它钓鱼，它被称为แกงแกงใส่ไม้ไม้对于那些也喜欢泰国美食的人来说，很难在餐厅里找到，爱你。来自泰国
23236,UgypJT20zy05QlU7knF4AaABAg,0,i want to marry you for food,我想嫁给你吃饭
23244,UgzlFEM0P6XTJEyVBdt4AaABAg,0,wow what a beauty of nature ........and almost its food items really yummy yummy .......,哇，多么美好的大自然........几乎它的食物真的很好吃。
5336,Ugypa7ezjTEDllCDK2F4AaABAg,0,"in indonesia we called the snails is tutut. if we go to the rice fields, we will look for tutut snails to cook. however, the snail must be cleaned until it is not gritty in its shell before it can be processed into delicious food ๐๐",在印度尼西亚，我们称蜗牛为Tutut。如果我们去稻田，我们将寻找Tutut Snails烹饪。但是，必须清洁蜗牛，直到将其加工成美味的食物
5320,UgyjCUaj0xNek1DWv_Z4AaABAg,0,surprised how can all food ingredient so easy in this paradise garden. i wish l can live there.,惊讶的是，在这个天堂花园中，如何所有食品成分都那么容易。我希望我能住在那里。
23329,Ugye2_3JmGV5TsIP2Bd4AaABAg,0,very good food !!! ... god gives fair and necessary i congratulate you !!! from argentina jujuy i send you greetings .. that macdonll or go to eat at the shoopiing.,很好的食物！！！ ...上帝给予公平而必要的我，我祝贺你！！！来自阿根廷Jujuy，我向您发送问候。
23331,Ugw6XDbdvcZclo2TpWh4AaABAg,0,"the channel where a chubby woman is food is eaten by the whole family
is this man mother? wow, i think you're living alone.
i also watched a video taken by thailand, but there were too many insects flies there.
but their dwellings seem to be really clean and healed because they can't see bugs
and that woman is pretty and pretty, but i think it's really in love to see that food and do it alone
and there are about 6 million subscribers
i think i've been doing it since ancient times and it has been upgraded.
whether you have a lot of income, it is why everyone is watching this video.
it's a filial piety
i can't believe it is really that i edit that video in that residence.
i want to go to experience there","全家人吃食物的胖女人的频道
这个男人妈妈吗？哇，我想你一个人住。
我还观看了泰国拍摄的视频，但是那里有太多的昆虫飞了。
但是他们的住宅似乎真的很干净和治愈，因为他们看不到虫子
那个女人漂亮又漂亮，但我认为看到那种食物并独自做到
大约有600万订户
我认为我从远古时代开始就这样做了，并且已经升级了。
无论您是否有很多收入，这就是每个人都在观看此视频的原因。
这是一个虔诚的虔诚
我不敢相信我真的在那个住所中编辑了该视频。
我想去那里体验"
23332,UgxFFbwgwyfMPcjqvBN4AaABAg,0,"i want to maried you. my food is boolshet, im soooo hungryyy",我想和你结婚。我的食物是布什的，我饿了
5087,Ugx-6BENQNMsS-ARfA14AaABAg,0,food is free for us,食物对我们免费
24163,UgxPqfgoHW-ZHTmPRHV4AaABAg,0,halal food artinya makanan halal,清真食品 artinya makanan halal
25791,Ugw3SlkTAfUUqpVdWLF4AaABAg,0,want to eat the food you cook!,想吃你煮的食物！
25421,UgxE2HHBq5HyjjTaY_t4AaABAg,0,their food style is similar to indian-assamese food...,他们的食物风格类似于印度群岛的食物...
24945,Ugxpg6k9vL6bDLSboJt4AaABAg,0,so same thai food ❤,如此泰国食品❤
4846,UgzTEFpdleh7t-2g3cp4AaABAg,0,it is a dirty people who say that korean culture and food are to be used!,这是一个肮脏的人，他们说要使用韩国文化和食物！
25022,UgyxvSVRnwEk_fUEJv94AaABAg,0,"i always get hungry when i see you cooking your food. maybe they are simple dishes of your tradition, i don't know, but if i were there i would look forward to tasting all those delights. then the surrounding environment, at least for me, is paradise. magnificent.",当我看到你在烹饪食物时，我总是饿。也许它们是您传统的简单菜肴，我不知道，但是如果我在那里，我会期待品尝所有这些美食。至少对我来说，周围环境就是天堂。华丽的。
25026,UgzkwKMBRu6zxSzo2194AaABAg,0,"i don’t understand, if you have such nice foods, why would you wanna have dog meat?",我不明白，如果您有这么好的食物，为什么要吃狗肉？
25068,UgyqUWfd3angkhJR8jt4AaABAg,0,the food is so beautiful and healthy,食物是如此美丽和健康
4793,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9OF2urcIFlv,0,"@user-bz5iy9oy2q do you agree if americans insist, ""pasta is our traditional food, not italian food!""? likewise, the chinese claim that kimchi is their own food. it's crazy. that sounds like 3*7=28 :^)",@user-bz5iy9oy2q您是否同意美国人坚持说：“面食是我们的传统食物，而不是意大利美食！”？同样，中国人声称泡菜是他们自己的食物。这很疯狂。这听起来像3*7 = 28：^）
25123,UgzyOIkfKIGdzeaW6n54AaABAg,0,"c'mon i need to eat that food, this is crazy i am sleeping and dreaming about food, i am going to kidnap her, she should share, this is not nice i am never coming to look her vedios again. her food is making me go crazy...",来吧，我需要吃那种食物，这太疯狂了，我正在睡觉和梦见食物，我要绑架她，她应该分享，这不是很好，我再也不会来看看她的vedios。她的食物让我发疯...
25165,UgzQfsx7ACZkp3hW6Ix4AaABAg,0,"the life i dream of, family, food and nature",我梦dream以求的家庭，食物和自然
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
25262,UgyXqFHu9Fqckgv23R54AaABAg,0,i love your video.. this bamboo and long bean recipe reminds me indian long bean with bamboo veggies recipes. all asian countries use bamboo in their food. i love bamboo pickle and bamboo sabji.,我喜欢你的视频。这个竹和长豆食谱使我想起了印度长豆配竹蔬菜食谱。所有亚洲国家都在食物中使用竹子。我喜欢竹腌菜和竹sabji。
25302,UgxmuWjL323GZmHeTDd4AaABAg,0,only people in the southwestern region of china like to eat this food. i wonder what reactions are there for foreigners?,这道美食只有中国西南地区的人喜欢吃，不知道外国人看了有什么反应？
25347,UgwiNfRBy8L-PYFtmzp4AaABAg,0,"am curious about only one thing.. 
she make so much food.... i wanted to know do her grandma and herself can eat all those","对只有一件事感到好奇。
她做了很多食物。...我想知道做祖母，她自己可以吃所有这些"
25443,UgyOEGgH2VGfZN3DV9l4AaABAg,0,the first food in indonesia is called bamboo shoots,印度尼西亚的第一种食物叫做竹笋
24182,Ugy2WIzrD214eOJekmZ4AaABAg,0,super yummy yummy food,超级美味美食
25478,Ugzsp_RsjpE3FoufmiB4AaABAg,0,"in fact, everyone likes beautiful women and food. people who really live in modern life wait for this kind of village without mobile phone computers who can have been able to pass three days.",其实大家喜欢的是美女和美食，真正过惯现代生活的人待这种乡村没手机电脑谁能挨过三天
25484,UgzvlnOnTYHy6_6V_VZ4AaABAg,0,"everything is so beautiful...the foods , the house...the land. is she real village girl ? i'm in lovee",一切都是如此美丽...食物，房子...土地。她是真正的乡村女孩吗？我在爱情
28079,UgynUmoM-i0kkjfq8hd4AaABAg,0,good traditional food chines,好的传统食品下巴
25519,Ugw-eVgT5BPZ_FNvGBh4AaABAg,0,"6:21 ""casually braising food from different corners of the kitchen""

weird flex but ok","6:21“随便从厨房的不同角落炖食物”

怪异的弹性，但是好了"
25531,Ugz5CMvHXQQpusDg5gx4AaABAg,0,i want to come to visit you and try the food you prepared,我想来拜访你，尝试你准备的食物
25649,UgylvMwBkuVLA7aY89h4AaABAg,0,i tell you what you should do is put you a country stile restaurant in that village people will pay good money to eat your meals your cooking eglant food and the setting of that property the scenery would be worth price of emission,我告诉你你应该做的是让你在那个乡村的乡村阶梯餐厅，人们会花钱吃饭你的烹饪食物，而餐厅的环境值得
4768,UgwtFP6dWhytrSyDp6l4AaABAg,0,this thing is mostly eaten in assam.. its one of the favourite food of assam. we call this gaaz,这件事主要是在阿萨姆邦吃的。它是阿萨姆邦最喜欢的食物之一。我们称这个Gaaz
25676,Ugwx0aIHMAYpNUt2bMd4AaABAg,0,i just want to know how they eat all that food,我只想知道他们如何吃所有的食物
25688,UgwnaF5RyWsmEp3KAiV4AaABAg,0,i do eat non veg but your video which shows fresh veggies from your farm making me think i should quit non veg food ... its slow process but i m sure i ll be pure vegetarian... love from me .. this is gentle way to show world how one can live in country side in cool calm way ... best way of life,我确实吃了非蔬菜，但是您的视频显示了您农场的新鲜蔬菜，使我认为我应该放弃非素食食品...这很慢，但我敢肯定我会纯粹是素食主义者...这是我的爱。展示世界如何以凉爽平静的方式生活在乡村方面...最佳生活方式
25712,UgyBckZfmvrZG-5wOjZ4AaABAg,0,"hello, your food looks so good.
one request.. 
please name the ingredients in english.","您好，您的食物看起来很好。
一个请求..
请用英语命名成分。"
25762,UgzS1MU49YHTD8bKO114AaABAg,0,im chennai you food very super i love so macha,我是钦奈，你的食物非常超级我爱，所以马赫
25772,UgwoWjulnHNehvmunNJ4AaABAg,0,mother who translates vietsud for this vid is not translating the clips of ms. ly tu that anymore. the names of the food she recorded did not say all three of them. her clip is underestimated that the parents who translate the meaning of the clip :),为此vid翻译越野的母亲不再翻译ly tu女士的剪辑。她录制的食物的名称并未说出所有三个。她的剪辑被低估了，那些翻译剪辑含义的父母:)
24939,UgyVQpBfByZnqVTFz6l4AaABAg.8zAredNcoy28zIZw1w-CQz,0,@user-xh5fj6vk5q thank you...i find it odd cuz i never knew its edible and also because we use it as pig food here.great to know its good for human too,@user-xh5fj6vk5q谢谢...我觉得它很奇怪，因为我从来不知道它的可食用，也因为我们在这里用作猪食品。
24803,UgxPv-Xq0y7KpC_enNV4AaABAg,0,"a lot of food, adding two pairs of chopsticks is enough to eat. bleak",好多食物喔，多添加两双筷子也够吃。
24785,Ugxh70_Q3Ofz5jMYVaR4AaABAg,0,what is the food,食物是什么
24781,UgxcnBBth62vg028lN54AaABAg,0,"without an exaggerated expression of internet celebrities, it presents the true feelings of chinese food culture. the old grandmother's calm smile is the true love of li ziyi filial piety! i like snail powder, more pink plums!",没有网红夸张的表情，呈现的是中华美食文化返璞归真的感情。老奶奶从容的笑意，是李子柒孝心大爱的真情流露！喜欢螺蛳粉，更粉李子柒！
5006,UgzBlM7lWMZAPlVg1GZ4AaABAg,0,"let the snails swim, that there is little food?",让蜗牛游泳，几乎没有食物？
24274,UgwuERUsyKC2t5GhBR94AaABAg,0,your food so unique,你的食物是如此独特
24290,UgykBS1EeoPoM93P2FV4AaABAg,0,the food is very good,食物很好
24298,UgybWaGgLs9XB8SN5kp4AaABAg,0,i love it nice food,我喜欢它不错的食物
4992,Ugzu6L_hwKVdfaqgOVt4AaABAg,0,it's so natural...very simple food ..,很自然...非常简单的食物..
24311,UgzL8bQYq22q4qbx2t14AaABAg,0,you really prepare very good and delicious food,你真的准备好美味的食物
4958,UgzG_FFIvOc100sIbu94AaABAg.9IA1si6dAeW9IC08OMfCuz,0,indian food is really delicious! i want to go to india after the pandemic,印度食物真的很美味！我想在大流行后去印度
24320,UgzL6xFO78iKgEblVI14AaABAg,0,i love these bamboo food,我喜欢这些竹子
24344,Ugy8YO91lrzisOoK2yB4AaABAg,0,ha why i never see your husband have food together,ha为什么我永远不会看到你丈夫在一起吃饭
24373,UgxHG7EkjVPS7FA43qV4AaABAg,0,"very nice 't eat poke it's not good for human being 
hope you don't mind and english language also use for us we not much new what you making food and what you added in the cooking 
please do easy for us thanks","非常好
希望您不介意和英语也用于我们，我们没有什么新鲜的东西，您在做饭和烹饪中添加的东西
请为我们做轻松，谢谢"
24414,UgxJtMcE4-sKHM_c_BR4AaABAg,0,good food good health,好食物健康
24437,Ugz0cZtdHAml-I4tCFx4AaABAg,0,my favorite food. sweet bamboo with coconut milk . so delicious,我最喜欢的食物。甜竹与椰奶。太好吃了
24454,UgwYDwVNDgCdeBcFzRV4AaABAg,0,human food,人间美食
24456,UgyeLMKD2plsxzbhEkJ4AaABAg,0,i find it very beautiful all this and the food must be very tasty,我发现这一切都很漂亮，食物一定很美味
24493,UgybRnEW-Hd3ft5Yi1Z4AaABAg,0,san b place n it and pmlya bka ubra mbsita and mktikim of pure srwa nlang food ...,san b放置n it和pmlya bka ubra mbsita和纯Srwa nlang食品的Mktikim ...
4873,UgyaQLYJGmKLe6GHeAV4AaABAg,0,"it's shameless.
how could 'kimchi' be chinese food?
there are no side dishes spiced with red sauce,such as red pepper paste, in china.
kimchi is korean food, not chinese traditional food.
please don't be fooled.","这是无耻的。
“泡菜”怎么可能是中国食品？
在中国，没有配音的配菜，例如红辣椒酱。
泡菜是韩国食品，而不是中国传统食品。
请不要上当。"
24597,Ugy_WA1MmEJEKQ8jIEl4AaABAg,0,ohhh i thought that food only van see in philippines but it can see in other country too,哦，我以为只有货车在菲律宾看到，但它也可以在其他国家看到
24616,UgzoKu7yIdHzVtpuSzt4AaABAg.8zHI6Dmg4jP8zbC9GOsmR1,0,m an indian ronnie...our food is very tasty ....love from india,m印度罗尼...我们的食物很美味。...来自印度的爱
24642,Ugxu6Vkjvi77UA5rqfN4AaABAg,0,"so relaxing to watch her videos about simple life in the country, cooking delightfully nutritious food and astonishing view of mother nature.",因此，放松身心观看她的视频，了解该国的简单生活，烹饪令人愉悦的营养食物以及对大自然母亲的惊人景色。
24671,UgyNWVR-SSahabKi5014AaABAg,0,why she is never put ingredients at his video. i love chinese food. but i don't know how to cooking.,为什么她永远不会在他的视频中放置成分。我喜欢中国菜。但是我不知道怎么做饭。
24687,UgzwbCgDKi7YS0IBp9x4AaABAg,0,this woman will live many years. as healthy things. how different food,这个女人会活很多年。作为健康的事物。食物有多不同
4869,Ugz0vNdIcLBXqySVhZV4AaABAg,0,she is a thief. kimchi is korean food.,她是个小偷。泡菜是韩国食品。
24753,UgywjeuRIp_tgmm9JFZ4AaABAg.8zELGJr7hDb904O7PQHwwJ,0,mcdonald is junk food. lol,麦当劳是垃圾食品。哈哈
24764,Ugz7A4W7eeDRnE8xah94AaABAg,0,i love bamboo food,我爱竹食
24778,UgymSLCIUacMNeqKY3Z4AaABAg,0,this skill of making foods are amazing...,这种制作食物的技能令人惊讶...
28028,UgzL9Bq6AeQ5o_pd26h4AaABAg,0,the food you do is great,你做的食物很棒
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
3745,Ugwup4r99Vy0TTcqoBp4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
32824,UgynMRR8Ly2m7_Y6boJ4AaABAg,0,the dog so funny when her bring food to ate,当她带食物吃饭时，那只狗真有趣
32396,UgwpIvf9Sp-iP5p0jMx4AaABAg,0,"goes to show animal products had always been an important and healthy part of our diets! don't believe that vegan, plant based crap... what is killing us are process foods and vegetable oils!",去展示动物产品一直是我们饮食中重要而健康的一部分！不要相信素食主义者，基于植物的废话...杀死我们的是过程食品和植物油！
32411,UgygrSbFLQVxhkYwpj94AaABAg,0,"my favorite content ... always inspires, that a lot of food around us ... even food from the environment that is still natural can be turned into delicious food ...",我最喜欢的内容...总是激发我们周围的很多食物...即使是仍然自然的环境的食物也可以变成美味的食物...
1454,UgwukgU8QoySkdcSI7t4AaABAg,0,you make delicious food is also beautiful,你做的美味也很漂亮
32499,UgypGoMIEGy-cqNFG994AaABAg,0,"i forget my cooking , i started to watch her whole day. nature sounds and food ! god bless you",我忘了做饭，我开始整天看着她。大自然的声音和食物！上帝祝福你
32615,UgyEpphKpv9aetgiecV4AaABAg,0,assalamu anykum. i'm from uzbekistan. wow eating food without walking.,Assalamu Anykum。我来自乌兹别克斯坦。哇，吃食物而不走路。
32649,UgwGF-KtngrmFFYF2AZ4AaABAg,0,"anyone else
feel like she always makes too much food for two people?","还有谁
觉得她总是为两个人做太多食物吗？"
32655,UgyecOY8Hpu70nJnM8t4AaABAg,0,what is that meaning food name?,这是什么意思？
1422,UgyAgJdaQylfsiKYrIV4AaABAg,0,"unfortunately, there is no vegetarian food?",可惜都没有煮素食？
32689,UgzW1Ii8eTEgVbkmXM94AaABAg,0,chinese people make attractive food.,中国人做有吸引力的食物。
1387,UgwN2k32K8MU7LWlNkd4AaABAg,0,"appreciate her eyes, fast, and like her food, food, housing, and transportation",欣赏她的眼明手快，喜欢她的衣食住行
32748,UgziL9Huh-faRSRdfdV4AaABAg,0,"once he wanted to eat, went to the garden everything and cooked. this is a class and food is useful, tasty.",一旦他想吃饭，就去了花园里一切并煮熟。这是一堂课，食物很有用，美味。
32790,UgxCPGndRHlH9hoVuT14AaABAg,0,hi i m from india one thing i m always notice in ur video that ur mother is very lucky that she teaches u how to cook a good food .,嗨，我是来自印度的一件事，我总是在您的视频中注意到您的母亲很幸运，她教您如何烹饪美食。
1221,UgzeA9cQsHQKzFYYbsN4AaABAg,0,share new ways of gourmet food in sichuan taoist township! a moment!,家乡四川道地美食新做法分享！一下贝！
28162,Ugzw5G28N6DJGVMNOgp4AaABAg,0,"tbh, foreigners cant fully understand how delicious her food must be",TBH，外国人无法完全了解她的食物必须多么美味
1199,UgyEkAKBU4GTq5t1u1B4AaABAg,0,wow so much delicious food,哇，这么多美味的食物
32924,UgwPzopFO1kO6ogBfXR4AaABAg,0,"in the philippines, we also use bamboo shoots to cook food. but we usually add coconut milk and some meat. we can make it spicy by adding some regular chili pepper chopped.",在菲律宾，我们还使用竹芽来烹饪食物。但是我们通常会添加椰奶和一些肉。我们可以通过加入一些常规的辣椒切碎来使它变得辣。
32947,UgzbURFxKcOLzjIgjr14AaABAg,0,"if i was to stay at this girls house for a week, i'd leave 20kg heavier from the food she is cooking.",如果我要在这个女孩的房子里呆一个星期，我会从她正在烹饪的食物中留下20公斤重20公斤。
32968,UgwXvEInHOllaF-NfUd4AaABAg,0,"i hate even the mildest spicy food. but if she cooks it, i'm eating it.",我甚至讨厌最温和的辛辣食物。但是，如果她做饭，我正在吃它。
32970,UgzLpRo7j0-CW7XZcsV4AaABAg,0,"ooo the food, that's why chinese people live longer",哦，食物，这就是中国人寿命更长的原因
1170,UgzBO6JQQjri605TMMB4AaABAg.9bDGmfK4EPD9bDGvpGFv6Y,0,the one who bought the new year's food is not to do,购买新年食物的人不做
33048,UgzeRDimzSZSM3QqA-d4AaABAg,0,very bad food.... i not like this food,非常糟糕的食物....我不喜欢这个食物
1101,UgzAv9ijLJmeGTJ8NbV4AaABAg,0,look craving for food,渴望食物
1083,UgyuphZysjAD5Xzh1PF4AaABAg,0,she's not like the energetic food gatherer and also in cooking. looks slower and sad. hope she's okay.,她不喜欢充满活力的食物收集者，也不喜欢做饭。看起来越来越慢。希望她还好。
