,cid,votes,time,含food,含food中文翻译
50566,UgztBoXFVPWRGk_MYZ54AaABAg,0,4 years ago,cinderella in the forest foraging for food with her friends.,灰姑娘在森林中与她的朋友们觅食。
50553,Ugwzdtsi6QxRUYlGIGh4AaABAg,0,4 years ago,i am sad to see the puppies watching what you eat and i see that at any time you give you food i like your videos your meals that you prepare,我很遗憾看到幼犬看着你吃的东西，我看到你在给你食物的任何时候都喜欢你准备的饭菜
50521,Ugyj0WaTCtrwhThP6Ad4AaABAg,0,4 years ago,so so industrious.. love the way you prepare food,如此勤奋..爱你准备食物的方式
50509,UgxulpjW7mzGDCFsNFd4AaABAg,0,4 years ago,i really love your videos. i wish i could taste your food. advance happy new year ❤️,我真的很喜欢你的视频。我希望我可以品尝您的食物。提前新年快乐❤️
50450,UgwXH8CcjUj1Di2B5_B4AaABAg,0,4 years ago,amizing food!!!,加入食物！！！
50201,UgwGm-85GedTgwhkBlB4AaABAg,0,4 years ago,the translation of chinese food is the hardest hahaha! waiting for a enthusiastic translation! also give you new year in advance!,中文食物的翻译是最难的了哈哈哈！等待有一个热心的翻译！另外提前给大家拜年！
49757,Ugx3vU1h9LEkUlN89Ut4AaABAg,0,4 years ago,wow. i m from bangladesh. i thought there is huge difference between bangladeshi food and chinese food. after watching her video i found there are lots similarities between this two food culture. this video are quite relaxing.,哇。我来自孟加拉国。我认为孟加拉国食品和中国食品之间存在巨大差异。观看了她的视频后，我发现这两种饮食文化之间有很多相似之处。该视频非常轻松。
50185,UgxIYvsj4exQBRH3kKp4AaABAg.8qlnxsUI7Ne8qmGpznEzWV,0,4 years ago,"go and go, i do n’t cut in front of you, you ask for support, i ask her to give me the opportunity to help make money, and eat food by the way. bleak",滚边去，我排在你前面别插队，你求包养，我求她给我帮忙赚钱的机会，顺便吃美食。
50153,UgyA4JKz4_Qv1hJ9G3t4AaABAg,0,4 years ago,i like u so much because nature food yummy,我非常喜欢你，因为大自然食物美味
50064,Ugx3VsgyTaK2vRFgjsB4AaABAg,0,4 years ago,why dnt you give food to your dogs,你为什么不给狗吃东西
49928,Ugx_0NARAZKVYagOcCB4AaABAg,0,4 years ago,"oh god, what a wonderful life for you curses abu al -tahdar, al -madinah and al -zabat. their life is a paradise and all the food is from nature, as i am my lord",哦，天哪，对你来说，真是美好的生活，诅咒阿布·阿尔·塔赫达尔，阿尔 - 马迪纳和al -zabat。他们的生活是天堂，所有的食物都来自自然，因为我是我的主
49849,UgwoGq_Lmh2UujLh4Ap4AaABAg,0,4 years ago,craving too delicious food,渴望太美味的食物
49763,UgwLd1C8ybas1fcIUnl4AaABAg,0,4 years ago,"what were the smaller red fruits on sticks that you candied with the large red apples?
these videos are inspiring me to become more self reliant when it comes to growing and storing my own foods.","您用大红色苹果蜜饯的棍棒上的较小的红色水果是什么？
这些视频激发了我在种植和存储自己的食物方面变得更加自我依赖。"
45102,UgwnmaQsS6F-OFv031l4AaABAg,0,4 years ago,is this food or art?,这是食物还是艺术？
44985,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rFuDVgxl7x,0,4 years ago,"faceache there is a difference between ""food"" and ""cuisine"", also in my country we have both and none of them are plastic. so sorry to read that there is plastic food at your country.",faceache“食物”和“美食”之间存在差异，在我的国家，我们都有兼具，而它们都不是塑料。很遗憾地读到您所在的国家有塑料食品。
38278,UgyOgfY51bMgYsQtNO94AaABAg,0,4 years ago,i want to try all of her food,我想尝试她所有的食物
40241,UgztKqJg-MjkbfoWeCJ4AaABAg,0,4 years ago,who gets to eat all this delicious food? i mean she cooks a lot ?,谁可以吃所有这些美味的食物？我的意思是她做饭很多？
40804,UgyNV-ntN4_g_jGFc614AaABAg,0,4 years ago,"you can warn you to the brazilian army, which can already be used, because the amount of food she made is for a battalion!
hehehehe","您可以警告您可以使用的巴西军队，因为她制作的食物数量是为营！
呵呵呵呵"
40746,UgwkHRD_s4sfIpUe78Z4AaABAg.8sA4943gTWp8sAEjY_Mygr,0,4 years ago,although you could not be since it is chinese food and the video is recorded in china haha,虽然您不可能是因为它是中国菜，并且视频记录在中国哈哈哈哈
40738,Ugyte3FREoppoJgqyXF4AaABAg,0,4 years ago,did she make all the food to sell in the market for the new year?,她是否制作了新年市场上出售的所有食物？
40715,UgyUsmt5CwfUGPauhXB4AaABAg,0,4 years ago,what food is pliss? want to try it,哪种食物是pliss？想尝试一下
40675,Ugyca7P3boJJUi_8LYB4AaABAg.8sC_0fSG-tn8sL6vB0_qP2,0,4 years ago,@taetm8868 who else doesn't like food especially from her,@taetm8868谁不喜欢食物，尤其是她的食物
40674,Ugyca7P3boJJUi_8LYB4AaABAg.8sC_0fSG-tn8sL-MFWvAvP,0,4 years ago,i like food,我喜欢食物
40647,Ugz3d0uwJR1vHbzoXll4AaABAg,0,4 years ago,i think i am the only one who want to marry her for making good food.,我认为我是唯一一个想嫁给她做好食物的人。
40596,UgywGbuZS4bPY5eCH5F4AaABAg,0,4 years ago,the last part of the bgm sounded like one from digimon. unlike other food videos this one doesn't make me hungry every time i watch it but just pure admirations. good job and like how bgm like this pair up with this video.,BGM的最后一部分听起来像Digimon的一部分。与其他食物视频不同，这并不能使我每次观看时都会饿，而只是纯粹的钦佩。好工作，喜欢BGM喜欢这部视频。
40592,Ugx6scOkIQCGxkwFCRx4AaABAg,0,4 years ago,all of this are chinese traditional food! i like,所有这些都是中国传统食品！我喜欢
40488,UgwNrCcDznxdkojFfG54AaABAg,0,4 years ago,i wish i waana marrie this girl only for eating this type of food....,我希望我玛丽（Marrie）这个女孩只吃这种食物。
40460,UgxeSonWjh8xD4Pljzt4AaABAg,0,4 years ago,"delighted with your work and dedication, totally different from our culture, surely the food is delicious, brazil, sobral ce.",对您的工作和奉献精神感到高兴，与我们的文化完全不同，食物肯定很美味，巴西，Sobral CE。
40417,UgzTg7teVTWlgHxnvt94AaABAg,0,4 years ago,"there are so luck , they have very delicious and over grown vegetables and fruits , what we need more then that living health life by eating fresh and delicious food",幸运的是，它们的蔬菜和水果非常美味，而且我们需要的是，您需要的是，您需要吃新鲜美味的食物来生活健康
40410,Ugz1cqU60G6Yp40M6Mx4AaABAg,0,4 years ago,"the food looks amazing , i've never correlated the raw ingredients with chinese food.. i don't like heavy food . when i see her cook with grace down to picking the foods from a tree or ground it really lights up my curiosity for more culture taste testing , eating sushi does not make the cut",食物看起来很棒，我从来没有将原料与中国食物相关联..我不喜欢重物。当我看到她的恩典烹饪以从树或地面捡起食物时，它确实点燃了我对更多文化口味测试的好奇心，吃寿司不会削减
40403,UgydeOYX1Xd5wejEntd4AaABAg.8sMEIDfoSkB8sQsQJY3Dpm,0,4 years ago,"@islandfolk2283 she said that the scene was filmed at her home in her village. as you pointed out, the program is about food. she used ingredients such as freeze dried strawberries and marshmallows in one of her dish. i don't think the chinese had even seen them until a couple decades ago, even her grandma might have never heard of them. i still believe it is just a show. if you have even been to the villages in china, you will know how do they really look like, and what kinds of food they are eating. i really hope all mankind on earth would live like in the place like in the video describes and have plenty of food to eat, but sadly, in reality, it is far from it.",@Islandfolk2283她说，现场是在她村庄的家中拍摄的。正如您指出的那样，该计划是关于食物的。她在其中一道菜中使用了冻结干草莓和棉花糖等成分。我认为直到几十年前，中国人甚至都没有见过他们，甚至她的祖母也可能从未听说过。我仍然相信这只是一场演出。如果您甚至去过中国的村庄，您将知道它们的真实是如何，以及他们正在吃什么食物。我真的希望地球上的所有人类都会像视频描述并有很多食物可以吃的地方一样生活，但可悲的是，实际上，它离它很远。
40399,UgydeOYX1Xd5wejEntd4AaABAg,0,4 years ago,"why was the elderly's face never shown? was it her wish not to show her face, or someone didn't want to show her face? by just giving her yummy food and beautiful garments, for me it was just a show, without really respecting her.",为什么老年人的脸从未表现出来？是她希望不展示她的脸，还是有人不想露面？通过给她美味的食物和漂亮的衣服，对我来说，这只是一个表演，而没有真正尊重她。
40866,UgyPFrer__zuGOJbegx4AaABAg.8s5tIkEfrSk8sNsgtj0xM9,0,4 years ago,food amplifier haha,food amplifier 哈哈
40900,Ugxpwk4_xQJPVlZpQZd4AaABAg,0,4 years ago,omg how beautiful to see all that food and the preparation! do you take interns? would love to help!,天哪，看到所有食物和准备工作真是太美了！你会带实习生吗？很想帮忙！
40922,UgwwWffcBPKH03QaUax4AaABAg,0,4 years ago,she kind of reminds me of migumi from food wars ............she was just as hard working and beautiful her,她有点让我想起了美食大战中的米古米.......................................................................................................................................................................
41257,Ugx7By375wfDZ5DuR-54AaABAg,0,4 years ago,absolutely beautifully natural food made from the heart x,绝对由心脏制成的天然食品x
41735,Ugz9eePxEEsUBXklojh4AaABAg,0,4 years ago,to me.. they are rich.. not own many stuff but they have all their needs that nature gives to them. they live in peaceful place and healthy food,对我来说..他们很富有..没有很多东西，但是他们有大自然给他们的所有需求。他们生活在宁静的地方和健康食品
41680,UgwgVqIvYNRwhJeV7VV4AaABAg,0,4 years ago,"hi miss..... i don't now chinese sorry. i am from greece and we all most have the same foods like you there dut this is in another level, everything is perfect and you are very beautiful....",嗨，小姐.....我现在不中国对不起。我来自希腊，我们大多数人都有与您一样的食物，这在另一个层面，一切都很完美，您非常漂亮。
41603,Ugy3eNQGJbjsSG0M-RN4AaABAg,0,4 years ago,"wow, food looks delicious!",哇，食物看起来很美味！
41425,Ugz76X0-1Oem1MjCbGR4AaABAg,0,4 years ago,i wish i could live in such an place where the food you eat are from one's own produce. simple and contented. and gosh she is the definition of an ideal woman!,我希望我可以住在这样的地方，您吃的食物是自己的农产品。简单而满足。天哪，她是理想女人的定义！
41396,Ugy_MM4t-IaacehpOrx4AaABAg.8ryoiy0J23T8s6Q7CQdtop,0,4 years ago,"i agree, but why do they need so much food?",我同意，但是为什么他们需要这么多食物？
41321,UgyztUQScLYeaDusWjZ4AaABAg,0,4 years ago,"thanks for the video, healthy food and an active lifestyle",感谢您的视频，健康的食物和积极的生活方式
41226,Ugy-25HTXMZh6Pvb9_V4AaABAg,0,4 years ago,there is so much fresh foods.. i want to live there,有太多新鲜食物..我想住在那里
40932,UgyS7CAxyKsDRGcS4214AaABAg.8s3nojrjAaN8s3wC6lbxGg,0,4 years ago,"https://liziqi.tmall.com/ this is her flagship store in a chinese top online retailer. however, you should know that the business is very very very big, she cannot cook or made all these products by herself. most of the products are from authorized outsourcings. and even if you buy, i am not sure if these foods will suffer problems from mail systems or customs since you are in the eu. the best way is to go to sichuan and you will definitely get a chance to have dishes and snacks as she made, and enjoy beautiful sceneries there.",https://liziqi.tmall.com/这是她在中国顶级在线零售商中的旗舰店。但是，您应该知道，业务非常非常大，她不能自己做饭或制造所有这些产品。大多数产品来自授权外包。即使您购买了，我不确定这些食物是否会遇到邮件系统或海关问题，因为您在欧盟中。最好的方法是去四川，您肯定会有机会在她制作的菜肴和零食，并在那里享受美丽的风景。
41209,UgxVN_QJH6VoryP_83R4AaABAg,0,4 years ago,most interesting food preservation! love it with apples. what was this hot stuff you used to put the apples on sticks into? thank you in advance for your answer.,最有趣的食物保存！喜欢苹果。您用来将苹果放在棍子上的热点是什么？预先感谢您的回答。
41125,UgxFHcCeISimtxQUDXN4AaABAg,0,4 years ago,i really want to eat your food,我真的很想吃你的食物
41048,Ugy1jP_Rmo-79fwvyLF4AaABAg,0,4 years ago,the cannon popcorn seems fun. great food short story. sooo cool n yummy.,加农炮爆米花似乎很有趣。很棒的食物短篇小说。太酷了。
41035,Ugzbx3Cd3fHYwa1oSvB4AaABAg,0,4 years ago,"i was watching miniature food videos; how did i get here x'd?
similarly, fantastic material","我正在看微型食品视频；我是怎么到达这里x的？
同样，奇妙的材料"
40993,UgwUJFZLoX5C9c-BJ_B4AaABAg,0,4 years ago,"i don't think i'll ever get bored watching your videos. the food you make just looks too good, and the music is very calming.",我认为我不会无聊地观看您的视频。您制作的食物看起来太好了，音乐也很平静。
40933,UgwSgZLARUVyHDiXDyV4AaABAg,0,4 years ago,chock ........... those fuminals did not seem to give food to the small pubs. bhvank and thin !!! people are eating after running away from a welfish of food.,chock .................................似乎没有给小型酒吧提供食物。 Bhvank和瘦！！！人们逃离食物的福利后正在进食。
40331,UgzoP9pNBJ3E9AhYd5B4AaABAg,0,4 years ago,the best food videos i've seen very delicious,我看过的最好的食物视频很美味
40161,UgzIF1qhLOP6fHjYNYt4AaABAg.8sXR_f_yana8sYF2VQFKVa,0,4 years ago,"where ms li lives is not as cold as russia or canada's winter (i chose them as they are more representative so you may can imagine ). it's very humid and not that windy in winter there (sichuan province - southern area of china - famous for its spicy food).even it snows sometimes, it usually above 0 °c,and mostly cloudy. that's why some fruit trees and green vegies still grow in winter, especially late autumn and early spring",李女士的生活不像俄罗斯或加拿大的冬天那样冷（我选择了它们，因为它们是代表性的，所以您可以想象）。它很潮湿，冬天不是那大风（四川省 - 中国南部地区 - 以辛辣食物而闻名。这就是为什么一些果树和绿色蔬菜在冬季仍然生长，尤其是秋天和早春
41779,UgwURqQp29lMsHsJli54AaABAg,0,4 years ago,it is so yummy food,真是美味的食物
40154,UgzKN-H6DvnUVKRJmrN4AaABAg,0,4 years ago,delicious food,美味的食物
39152,UgzOg8-tga9mvmnUfl94AaABAg,0,4 years ago,i like the documentary because the atmosphere of the village and food is directly from the surrounding plantations,我喜欢纪录片，因为村庄和食物的气氛直接来自周围的人工林
39071,UgzDFjfMjtJRT1JvkyR4AaABAg,0,4 years ago (edited),i love her videos of making food. love how she keeps everything so old fashioned from cooking tools and clothing,我喜欢她制作食物的视频。喜欢她如何使一切都从烹饪工具和衣服中造成的老式
39061,Ugwdb_Ke57MS_yzjuFZ4AaABAg,0,4 years ago,"very surprising vdeo..so beautiful...
all the foods looks delicious and tastful...i love this girl....and so much on ur place...","非常令人惊讶的vdeo ..如此美丽...
所有的食物看起来都很美味可口...我爱这个女孩。"
38972,UgwHKjfAAmGKO1MULZ94AaABAg,0,4 years ago (edited),"this is so peaceful to watch. and the food must be delicious.i would like to live a life like that, without all the anxiety, the streets full of trash, the danger and the suffer, the gas smell, the killing,the money awareness, i just want to live a life that i will enjoy and make my soul calm and happy.",这真是太平了。食物必须很美味。我想过这样的生活，而没有所有的焦虑，街道上充满垃圾，危险和受苦的街道，气味，杀人，杀人，金钱意识，我只想生活我会享受的生活，使我的灵魂平静而快乐。
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,4 years ago,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
38834,Ugwv7Gj6mTDMVcx9FtB4AaABAg,0,4 years ago,i love your animals and food and village,我爱你的动物，食物和乡村
38781,UgyqetjNz15ozjfu-zt4AaABAg.8tDsyxaZXV58tG9wOjP916,0,4 years ago,"go on taobao, search for li ziyi, but only su zhan sauce, beef sauce, ginseng honey, herbal tea, drunk crab or something, she should not be sold on taobao. this is when she made her spring festival. food.",上淘宝啊，搜索李子柒，不过只有苏造酱，牛肉酱，人参蜜，草本茶，醉蟹什么的，这个视频里的零食她应该没在淘宝上卖，这是她做了自己春节的时候吃的。
38769,UgztCHs315E_bAsckC14AaABAg,0,4 years ago,carnival food! oh sheโ€s good....,狂欢节！哦，她很好。
38707,Ugz3R6tUaaNgdw_N3yB4AaABAg,0,4 years ago,we live like that too but she has loads of food and cooking materials.๐,我们也这样生活，但她有大量的食物和烹饪材料。
38585,UgyOU9nsTJhYPAhbQUB4AaABAg,0,4 years ago,i wish all the other food was mine. hehe,我希望所有其他食物都是我的。呵呵
38545,Ugwrj_cyt3GIF6fwfh14AaABAg,0,4 years ago,first tym i saw chinaโ€s people eating healthy & looking good food :),我看到中国人在吃健康且看起来不错的食物:)
38456,UgzuIVWoEL5IaPsc7AZ4AaABAg,0,4 years ago (edited),"it'd be a waste if they won't finish that amount of food.. i'll help you, send me some here in thailand.",如果他们不完成这么多的食物，那将是浪费。
38432,Ugwr4VJm1WB1MUtqClZ4AaABAg,0,4 years ago,the food is so fresh and she's taking good care of all the blessed provisions.,食物是如此新鲜，她正在很好地照顾所有有福的食物。
38305,Ugx7LuHyoY7nMUCljXJ4AaABAg,0,4 years ago (edited),is there any natural thing that she can't do wow she is amazing i want my life to be like that in the beautiful natural and natural food๐๐,有什么自然的事情她不能做哇，她很棒，我希望我的生活像美丽的自然和天然食物中一样
38282,UgwINb0egf34Jrii8R94AaABAg,0,4 years ago,i love that she eats some of the food she makes while making them. proof that snacking while cooking transcends cultures ^^,我喜欢她在制作它们时吃一些食物。证明零食超越文化的零食^^
39252,UgxzGcOFySofbgs7uqN4AaABAg,0,4 years ago,"oh my god, chinese thousand years cuisine. pretty yummy foods.",哦，天哪，中国千年的美食。漂亮美味的食物。
39258,Ugx1uzGdUYtsv-Q86VN4AaABAg,0,4 years ago,very difaculty food,非常困难的食物
39286,UgynCLN8MvowCvj-kNl4AaABAg,0,4 years ago,"this absolutely beautiful. the love, the food, the dogs and the cutest of all the baby lamb. ๐บ๐ผ๐บ",这绝对美丽。爱，食物，狗和所有婴儿羔羊的最可爱。
39579,UgzyAMPtZQG5LtpIzvZ4AaABAg,0,4 years ago,everything's perfect. i hope your family would enjoy the food too. seeing then with you while you all enjoy it. :),一切都是完美的。我希望您的家人也会喜欢食物。当你们都喜欢它的同时，与您一起看。 :)
40039,UgxXbLZGRKisuFMSCtN4AaABAg,0,4 years ago,looking good and attractive food,看起来不错而有吸引力的食物
39927,UgwX8tNnxYtNeyYqzS94AaABAg.8sg_WW0zGKB8si-0xI43g9,0,4 years ago,"no, they're just curious. did you see her wool cloak video? they're still swarming her even though she wasn't holding food.",不，他们只是好奇。您看到她的羊毛斗篷视频吗？即使她不拿着食物，他们仍在蜂拥而至。
39899,UgzFelGcvzLUs6aShFN4AaABAg.8shEw-AA99G8sisSm7xzZM,0,4 years ago,schuyler woodard sheโ€s chinese and sheโ€s presenting homemade chinese traditional food or snacks.,舒勒·伍德德（Schuyler Woodard）她是中国人，她正在介绍自制的中国传统食物或小吃。
39815,UgymbiGOphJ-MW8zFJ94AaABAg,0,4 years ago,"this girl made so much food and i didn't see her give anything to the little cales.
girl feeds the dogs?","这个女孩做了很多食物，我没有看到她给小罐子做什么。
女孩喂狗？"
39747,Ugz6xM-7a4l6NmLdCX14AaABAg,0,4 years ago,"every time i see her make fresh food, i practically have smell-a-vision and my eyes make my stomach ravenously hungry! 
groan! 
this is heaven to live like this!","每当我看到她做新鲜食物时，我几乎都会闻起来，我的眼睛使我的肚子狂热地饿了！
呻吟！
这是这样的天堂！"
