,cid,votes,含fruit,含fruit中文翻译
13213,UgypMVZEA73aCXcMwdV4AaABAg,0,what is the fruit of the round,圆的那个水果是什么
21203,Ugyd9G9ksPV8_bSDnOt4AaABAg.909ERRD6hCD90gvlf_TbBY,0,"pretty much! they eat watermelon, salad greens, and most other fruit!!",几乎！他们吃西瓜，沙拉蔬菜和大多数其他水果！
20270,UgwG5HjPJaD0BjNOJyt4AaABAg,0,like the garden all sorts of fruits and vegetables,像花园各种水果和蔬菜
19683,UgzO_WGl1UvOTQle80d4AaABAg,0,"zhi chi, a young woman who is kind, cooks, telling recipes and methods. for the general public good luck and happiness. today, stir -fried bamboo shoots, long beans, donated with the remaining grandmother to eat the next day or sell to earn money. the future is hoping to be rich, the little girl this is a genuine chinese, fruit plant. dry, pickled, pickled, branches, weeds, as fuel, raising animals for self -use, self -use, sell, sell, make it to see as well. do only do not talk people in and abroad like therefore have ten million fans to follow really awesome, the little and pathetic little girl her history is very attractive. right now, the little girl beside the bridge that she used to be famous is her life. history is in the clip that she spoke alone, answering with the fan club who was with two grandmother. near the bridge there are village headmen to help parents and grandfather at a young age. looks very difficult. wish you good health and good luck, both grandchildren, talented people 写给 泰国 看 看",智奇（Zhi Chi）是一个善良的年轻女子，烹饪，讲食谱和方法。对于公众祝你好运和幸福。今天，搅拌竹芽，长豆，与剩下的祖母捐赠第二天或卖钱。未来希望有钱，小女孩这是一个真正的中国水果植物。干燥，腌制，腌制，树枝，杂草作为燃料，饲养动物以自我使用，自我使用，出售，出售，也可以看到。只能不说话国外的人喜欢因此有一千万的粉丝要跟随真的很棒，小而可悲的小女孩她的历史非常吸引人。现在，她曾经出名的桥旁边的小女孩是她的生活。她独自讲话的历史是在剪辑中，与两个祖母的粉丝俱乐部回答。在桥附近有村长在很小的时候帮助父母和祖父。看起来很困难。祝您身体健康，祝您好运，两个孙子，才华横溢的人写写看看
18493,Ugw7oTuP58jYV17rQot4AaABAg.92Tgg1Ir9We92dH9wltJ4p,0,"what do you mean, spring plowing and spring in the summer, remove the autumn harvest in summer, get up at the ground at 5 in the morning, go home at 8 o'clock, and then go down to the ground. you need to take care of some vegetables and fruits and flowers. do you think the work intensity of all day is like you knocking on your keyboard? or do you think the farm work in all areas depends on machines?",什么意思，春耕春种夏除草秋收，早晨5点天蒙蒙亮起床下地，8点回家吃饭，然后再下地，天黑才回家。再种些蔬菜瓜果花茶，都需要打理，养些猪羊，你以为农村生活什么样子？你以为一整天的劳动强度就跟你敲敲键盘一样？还是你以为所有地区农活都靠机器了？
596,UgwlfuHS1Lk2DPP9ZS14AaABAg.9gn2KTfVBwW9gn30UZIR0a,0,i am very afraid of going to ba thuc -so spicy. .. .. sweating. .the bitter fruit. ..- whoever dreams of ... the heel of the fairy.!,我非常害怕去thuc -so辣。 .. .. 出汗。 。 ..-谁梦到...仙女的脚跟。
13472,UgyF9tEuMsV68gW_9F14AaABAg.95O4S11kPAl95RR6Cr3yXR,0,"@folinkyfu145 carnivores have short teeth and short digestive systems. do you see you look like carnivores? kill the circular animals and eat it, don't be called killing? after fruit and fruits are mature, people will rot without eating them. which circle of raising animals will automatically go to the butcher knife and wait for the slaughter? human beings, often they are not as love as ordinary animals.",@folinkyfu145 食肉动物长着獠牙、消化系统短，你看看你长得像食肉动物吗？把圈养动物杀死吃掉，不叫杀生？水果、果实成熟之后，人不吃它们会烂掉。哪个圈养的动物长成之后自动跑到屠刀下等待宰割的？人类，很多时候还不如一般动物有爱心。
13033,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96to0jYk4Bs,0,curious pillai yes but if we all loved far away from civilisation and we end up getting really hurt or sick then tf are we gonna do. legit you could plant your own fruits and vegetables whenever you want,好奇的Pillai是的，但是如果我们所有人都喜欢远离文明，并且最终会受到真正的伤害或生病，那么我们会做的。合法您可以随时种植自己的水果和蔬菜
9644,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69BazZAvTLxR,0,@blizzardahm9745 liziqi lives in sichuan too? wow. so that is why there are varieties of vegetables and fruits she can gather. ๐,@Blizzardahm9745 Liziqi也住在四川吗？哇。因此，这就是为什么她可以收集的各种蔬菜和水果的原因。
12882,UgzvzXk3hE-YiE0e_0V4AaABAg,0,"hi liziqi, i really enjoy your videos.. they're very relaxing.. can we have a video about a tour in your garden? i'm planning to have a garden similar to yours after my baby's born, i'm want to plant some fruit trees as well as some veggies so that i can feed my family fresh and healthy food like you",嗨，利兹奇，我真的很喜欢你的视频..他们很放松..我们可以在您的花园里有一个有关游览的视频吗？我打算在宝宝出生后有一个与您的花园相似的花园，我想种一些果树以及一些蔬菜，以便我可以像您这样的家人新鲜健康的食物
12392,Ugzn14tkW0AHIP2UMyJ4AaABAg,0,please who plsnta all these vegetables and fruits in the locsl where you live? i'm brazil,请给谁住在您居住的LOCSL中的所有这些蔬菜和水果？我是巴西
11215,Ugz1MMade1hDGAESbc54AaABAg,0,"liziqi, at the end of the video, you have some hanging fruits. what are they please? btw, your video director/cameraman is awesome.",Liziqi，在视频的结尾，您有一些悬挂的水果。他们是什么？顺便说一句，您的视频导演/摄影师很棒。
11074,UgyQirZBPbW-spk0Ipt4AaABAg,0,"sister, a whole fruit garden she planted all hae",姐姐，一个整个水果花园，她种了所有
10312,UgySkwOpSUd2tLAH0M54AaABAg,0,seems like she has all vegetables and fruits,好像她有所有的蔬菜和水果
9870,UgwBftcw2UoLNgtdrEd4AaABAg,0,"what is this bulb?
what fruit are you picking?","这个灯泡是什么？
你要什么水果？"
35020,Ugx1CQiQ9AH5rlsnZxh4AaABAg,0,i want to go to your house. i followed her every clip. i like the atmosphere of your house. the edge of the fruits and vegetables that she planted at home and the forest wanted to go.,我想去你家。我每个剪辑都跟随她。我喜欢你家的气氛。她在家里种植的水果和蔬菜的边缘，森林想走。
