,cid,votes,time,含video,含video中文翻译
28168,Ugw1Z2k3A2zkh7Up8AF4AaABAg,0,3 years ago,how i would like to lead life like you guys is wonderful i get here dreaming of this way of living amoooooo d+ your videos,我想像你们一样过上生活，真是太好了，我在这里梦见这种生活方式amoooooo d+你的视频
28212,Ugzfgjlo3PsUk1A6F5Z4AaABAg,0,3 years ago,❤️ when using subtitles please can you leave them up for little bit longer? they go away too fast for me to be able to read the whole thing. love all your videos ❤️,❤️使用字幕时，您可以将它们放置更长的时间吗？他们走得太快了，无法阅读整个内容。爱你所有的视频❤️
28221,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yiO4hyh1CW,0,3 years ago,"@mendezmirango but ur earlier statement didnt prove that u admire this video ...although it was not my intention to make such small issue to an argument ... i jst said that to make ur view clear on promoting videos

so there is no need to inhance this argument.
i hope my words arent rough to make u upset ...","@mendezmirango，但您的早期声明并未证明您欣赏这段视频...尽管我不是打算向一个论点提出如此小的问题...我JST说，这使您的观点清楚地宣传了视频

因此，无需引入这个论点。
我希望我的话让你不高兴..."
28223,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yiScVHxT8a,0,3 years ago,@mendezmirango its good that u understand the beautification of the video ... great day to u too :),@mendezmirango很好，您了解视频的美化...对您来说也是美好的一天:)
28258,UgwAYcUpULE3bAAofZx4AaABAg,0,3 years ago,are the people who disliked her videos jealous about her views and subscribers? because i don't understand their reasons to press the dislike button.,那些不喜欢她的视频嫉妒她的观点和订户的人吗？因为我不明白他们按下不喜欢按钮的原因。
28262,Ugxt1acllmCdtP5HFd14AaABAg,0,3 years ago,"fellow 李子柒 liziqi viewers, there is 1 channel spamming in the comments of all the recent videos of 李子柒 liziqi, asking viewers to subscribe to its channel. this is unprofessional and unethical. you don't spam and snipe a fellow youtuber's viewers. how do you like it if someone else does that to your channel. fellow viewers, if you see that spam comment, please report the comment as spam to youtube. thank you.",liziqi的观众同胞，在所有最近的liziqi的评论中有1个频道垃圾邮件，要求观众订阅其频道。这是不专业和不道德的。您不会向YouTuber的观众发送垃圾邮件和狙击。如果其他人对您的频道这样做，您会如何看待它。其他观众，如果您看到垃圾邮件评论，请向YouTube报告该评论。谢谢。
28265,UgzhXg4Szag8ulsLw814AaABAg,0,3 years ago,whoever vietsub video my looks itch,谁vietsub视频我的外观痒
28266,Ugy7xUHtjCJq_k3hUgt4AaABAg,0,3 years ago,"i was inspired to make videos like liziqi, but my videos are not as beautiful as her, would you guys like to see my cooking videos too?",我的启发是制作像Liziqi这样的视频，但是我的视频不像她那么美丽，你们也想看我的烹饪视频吗？
28300,Ugwi7LHReFU2eEOR1ul4AaABAg,0,3 years ago,my favorite part of these videos: seeing grandma enjoy the food!,这些视频中我最喜欢的部分：看到奶奶喜欢食物！
28319,UgxxWI2eHrHebfbgCwZ4AaABAg,0,3 years ago,"i always wait more video 
and love much more","我总是等更多视频
爱更多"
28321,Ugyiah0i87QHiQEVzXx4AaABAg,0,3 years ago (edited),"isn't it easy to do this, but also to post videos?
oh, dare to ask where you are
the name is just code, the rivers and lakes are loved, and the number one is given-double feiyan (a famous keyboard brand) heroes","做这个不是很简单吗，也要发视频？
哦，敢问你是何方大佬
名字只是代号而已，江湖人抬爱，送一外号-----------双飞燕（某著名键盘品牌）大侠"
28334,Ugx5OUKqxzWkpA_NwDB4AaABAg,0,3 years ago,your video is amazing,您的视频很棒
28339,Ugx11eBBi0ixwdlqwIh4AaABAg,0,3 years ago,many people cannot eat bamboo shoots because of the strong smell. always support her videos faster,许多人由于气味而无法吃竹芽。总是更快地支持她的视频
28115,Ugy3yOYcuTud21c0kC94AaABAg,0,3 years ago,ziyi rarely commented on your video 嘞 ~,子柒很少华人评论你的视频嘞~
28107,Ugzs-ocz9kj7LOEF0xh4AaABAg,0,3 years ago,"i become fat if i keep watching her video, especially this one. river snails and bamboo shoot both are my favourite. my stomach make sound while i typing this comment.",如果我不断观看她的视频，尤其是这个视频，我会变得胖。我最喜欢的河流蜗牛和竹芽。我输入此评论时，我的胃发出声音。
28091,UgxDr4avhqfFxU8hKIN4AaABAg,0,3 years ago,very beautiful and soothing as always! i really love your videos! ♥,一如既往的非常美丽和舒缓！我真的很喜欢你的视频！ ♥
28005,UgzkD-WzZjVFPNdW-XV4AaABAg,0,3 years ago,"hi, ziqi, your videos are going to another level! mmm, wants some luosifen right now...",嗨，Ziqi，您的视频将达到另一个水平！嗯，现在想要一些luosifen ...
27887,UgyWH1I8Ky9UFUdt_xF4AaABAg,0,3 years ago,"how did this girl know that vietnamese people watch her videos, and to put her hashtag and name in vietnamese",这个女孩怎么知道越南人观看她的视频，并将她的标签和名字放在越南语
27904,UgzEMgqMl743_usNZbJ4AaABAg,0,3 years ago,wow another incredible video & all your recipes & ur sweet grandma,哇，另一个令人难以置信的视频
27947,UgzymO-K-BlYnhiWrz54AaABAg,0,3 years ago,i just love to see your videos,我只是喜欢看你的视频
27950,UgwaSx3W9FqPoU4GdwF4AaABAg,0,3 years ago,you do good videos. i learned alot of your techniques. love all your work. keep up the good work.,您做的视频很好。我学到了很多您的技术。爱你所有的工作。保持良好的工作。
27957,UgyPRi1AC-frVyjbO094AaABAg,0,3 years ago,i love your videos of there is a place to call paradise and there. is this that she takes from bamboo and palm?,我喜欢您的视频，那里有一个可以叫天堂和那里的地方。这是她从竹子和棕榈那里拿走的吗？
27992,Ugz89rXGoAMi18Rfyih4AaABAg,0,3 years ago,who film her videos??,谁拍摄她的视频？
28015,UgwjUTUT6RhHjeDe5EJ4AaABAg,0,3 years ago,this is the most beautiful video on youtube ever.,这是有史以来最美丽的视频。
28076,UgxGqBSWASb97V17JoB4AaABAg,0,3 years ago,"when you are tired, when you look at liziqi's video, it is purified ... not only healed but also motivated.",当您疲倦时，当您查看Liziqi的视频时，它就会被净化...不仅可以治愈，而且动机。
28019,UgxmkRORyCw-XZnLjnl4AaABAg,0,3 years ago,"i found a video of li ziqi being interviewed. if you are interested, you can see it, but it is chinese.https://www.youtube.com/watch?v=kvmgatmn9uq",我发现了一个接受采访的李齐（Li Ziqi）的视频。如果您有兴趣，可以看到它，但是它是中文。
28022,UgzNVV7CXFHHBjiKz6Z4AaABAg,0,3 years ago,nice home and nice videos your lucky,不错的家和漂亮的视频您的幸运
28038,UgxnpnXrTZIbR7-V1Xt4AaABAg,0,3 years ago,"vietsub cute
thank for the video","vietsub可爱
感谢视频"
28046,Ugxr4YwRnpYQRMvlUUl4AaABAg,0,3 years ago,"0:55 bamboo shoots are super heavy. i came in in order to see the son -in -law.
at 4:45, the moss of tianluo is so much that it is impossible to clean it at all. fortunately, it's not the group of little guys in tianzhong.
7:58 a weeds can be eaten. this is the most surprising that the whole video .....

the video was taken very beautifully like li yingai in da changjin, let me smell the fragrance of vegetables through the screen.","0：55 的笋子超级重 我为了看子柒背笋子进来 却没有看到近的镜头拍摄
4：45 的田螺 那个青苔多到 根本不可能刷洗干净。还好 真的煮下锅的 不是田埂中的那一群小家伙
7：58 的杂草 居然能吃 这是整个视频最让我惊讶的.....

视频拍摄的很美 子柒像大长今中的李英爱作菜 让我透过画面都闻到菜香♥"
28050,UgwWVjB8-qTikhTJ30t4AaABAg,0,3 years ago,russia is watching your video. i like it very much video you do! thanks to you! a dream of visiting your beautiful village.,俄国在看你的视频。 非常喜欢都视频你做！ 要感恩你！ 有一个梦想在你的美丽的村庄参观。
28060,UgwTtpZt6GQho1ICJy54AaABAg,0,3 years ago,i love this video,我喜欢这个视频
28347,UgztV0aNypCobTba6kZ4AaABAg,0,3 years ago,please use spanish subtitles. i like your videos very much. greetings from mexico 哥,请用西班牙语字幕。我非常喜欢你的视频。来自墨西哥的问候
28358,UgxsePMSzEGaet4r-Z14AaABAg.8yZ5Z4PNxMt8yfhj2awRbx,0,3 years ago,is this her own account? isn't it that kind of stolen video?,这个是她本人的账号吗？不是那种盗视频的吧？
29134,UgxtHg-Q27P8HXr7g2R4AaABAg,0,3 years ago,always waiting your video ❤,一直在等待视频❤
28359,UgxsePMSzEGaet4r-Z14AaABAg.8yZ5Z4PNxMt8yu_vHWoSLa,0,3 years ago,"penny jang is her own channel
there are video descriptions in the channel","Penny Jang 是她本人的频道
频道里有视频说明的"
28910,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9B9hDmaI1D9,0,2 years ago (edited),"@franzpeters3824 english important? how many subscribers follow you? by producing videos - she made money, did you? at least, i can say i do not have what she is capable, has capacity and ability ... 11.4 million subscribers and you have only 12.","@franzpeters3824英语很重要吗？有多少订户跟随您？通过制作视频 - 她赚钱了，是吗？至少，我可以说我没有她的能力，能力和能力... 1,140万订户，您只有12个。"
28911,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9BDSV0RNYaI,0,2 years ago,"love this video it's so beautiful. it shows that art of cooking, which she does very well.",喜欢这个视频，它是如此美丽。它表明了烹饪艺术，她做得很好。
28953,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9CXJR8f5LAw,0,2 years ago,nice video,不错的视频
28960,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9CfF7wby1Oq,0,2 years ago,franz peters nothing to do? did you watch her videos? is she doing nothing in her vids?,弗朗兹·彼得斯无事可做吗？你看过她的视频了吗？她在视频中什么都不做？
28973,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9DQmidyIYfM,0,2 years ago,"@franzpeters3824 what you got if you won an arguement with people here over liziqi speaking proper english or mandarin??? nothing. you got nothing but hates, depression, negative thoughts in your mind that create selfishness on how you see the world. maybe you can start to plant something like what liziqi's been doing, i think it helps you to understand the purpose of her videos.",@franzpeters3824如果您赢得了与Liziqi的人说话适当的英语或普通话的人的争论，您会得到什么？？？没有什么。除了讨厌，沮丧，负面思想，您什么都没有，这会使您对世界的看法产生自私。也许您可以开始种植Liziqi所做的事情，我认为这可以帮助您了解她的视频的目的。
28976,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9DllE6RkzVI,0,2 years ago,"@franzpeters3824 what a sneaky lil boy... lol... bad comment in every video.. attention seeker, i guess.. congratz..",@franzpeters3824多么偷偷摸摸的小男孩...大声笑...每个视频中的评论不好。
28989,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9EqpHcqoW7S,0,2 years ago,a video investment company we must cherish ...,一家视频投资公司，我们必须珍惜...
28995,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9F-ebVd5z0O,0,2 years ago,@franzpeters3824 sounds like you have nothing to do but comment on her video spreading negativity,@franzpeters3824听起来您除了评论她的视频传播否定性之外别无他法
29004,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9Jd9LuKCnlX,0,2 years ago,@franzpeters3824 excuse me!! who are you to judge someone....what is your talent?? she can't speak english properly right? can you speak chinese?? no one is perfect in this world... it's easy to judge someone but it's harder to understand....if you don't like her video than please don't watch but at least don't spread hate to her here....,@franzpeters3824对不起！你是谁评判某人。...你的才华是什么？她说英语不能正确吗？你能说中文吗？在这个世界上，没有人是完美的...判断某人很容易，但是很难理解。...如果您不喜欢她的视频，请不要看，但至少不要在这里向她传播仇恨。 ...
29031,Ugyn9HTcc7uFv4tyJzh4AaABAg,0,3 years ago,two thousand people did not like it! is it true? really good video to press not like?,两千人不喜欢它！是真的吗？真的很好的视频不喜欢吗？
29038,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yf0AXGMkPq,0,3 years ago,"@user-dw6rn9zh6c pay attention, there are always a lot of both may 2018 and there are still 3 videos there, and for the last month there are. one that the np is growing)? or she loves the pappis so that she constantly selects them, and how she grows up in forest))!? just their culture is like this. t.b.do, see on liz: it also squeezes calories, carbohydrates, vitamins and fats for all that is around and gives nature: vegetable and animal, it is simply apparently popular in european countries, in the usa, with us, and not just in asia. and apparently she realizes that it will be living for us, and this is so: it is full of varieties! but the puppy, for them, like borsuk- superproof, even capable of treating tuberculosis with its fat. turn to me: such a ""practical"" korean, japanese woman, legged, chinese)) whoever she is, will not miss this product !! (therefore, the little puppies are always disturbed in the video. i can’t judge: such as a culture, for muslims shock and fu, that we eat pigs, i just think not to show, not to tell about it. if she prepares and uses everything that is in her household! and this is not honest according to her relations towards us. haith, i would have respected her more for honesty. i didn’t hide it particularly. imea is a little knowledge about their culture, seeing her video and a little in my head. it’s hard to understand. calm. by the way) by the way) by the way) i have today d.r. !!) and they gave me a puppy !! dobermanchik)",@user-dw6rn9zh6c注意，2018年5月总是有很多两者，那里仍然有3个视频，在上个月。他们，以及她在森林中长大的方式）！！！！！！！！！！！！！！！！！！它显然在欧洲国家，在美国，与我们一起在亚洲而受欢迎。显然，她意识到它将为我们生活，这就是如此：它充满了品种！但是小狗，因为那只小狗，因为他们像Borsuk-Supphrove，甚至能够用脂肪治疗结核病。转向我：这样的“实用”韩国，日本女性，腿，中文））无论她是谁，都不会错过此产品！小幼犬总是在视频中被打扰。我无法判断：例如一种文化，对于穆斯林震惊和fu，我们吃猪，我只是认为不要表现出来，不要说出它。如果她准备并使用一切那是在她的家中！根据她与我们的关系，这是不诚实的。海斯，我会以诚实的态度更尊重她。我并没有特别掩饰。我的脑海里有点。很难理解。顺便说一句），顺便说一句），我今天拥有的），他们给了我一只小狗！dobermanchik） 。
29071,UgyCI7r-GmbBbxkl3GJ4AaABAg,0,3 years ago,i am the only time to sleep in your video ❓,我是你视频中唯一沉睡的和事佬❓
29088,UgzmPEgglMDwIhYDzZR4AaABAg,0,3 years ago,"these videos are so satisfactory, the desire to live like this",这些视频是如此令人满意，渴望这样的生活
29096,Ugy_rv69BA1VHfhSQsR4AaABAg.8yXqMcoFbCJ8z5dh6rrVOA,0,3 years ago,"@dangcao6075 maybe your grandfather sees the ""old -fashioned"" labor method he is familiar with in this video.",@dangcao6075 也许你的祖父在这个视频里看到他所熟悉的“老派”的劳动手法。
29108,UgzldnHbAlGvpYXiofl4AaABAg,0,3 years ago,"it turned out that the pack of things brought back last time was screw, and there was a correlation between the videos. it was amazing and great!",原来上次采藕回来带的那包东西是螺丝，视频之间都有关联，很神奇，好棒！
28802,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97mxaBt3SBM,0,3 years ago,"@franzpeters3824 nothing to do???..are joking, here we just saw a hravesting and cooking in a beautiful way..but remember for her to have what to harvest and cook for making this video there's a lot of hardwork behind..you should know that..you know or you just ignoring it...going to jungle and taking even a bamboo shoot ain't that easy as what it looks from this video...but thing is those harvesting and eat what you work for is happiness....
i'm a horticulturist and i really admire her..she doesnt really need to learn english to show what she work and she's already successful enough..im proud of her","@franzpeters3824无事可做吗？您应该知道..您知道或只是忽略它...去丛林，甚至拍竹芽都不那么容易，就像从这个视频中看起来一样容易...但是，那些收获并吃掉了您工作的东西因为是幸福...
我是一个园艺家，我真的很佩服她..她真的不需要学习英语来展示她的工作，并且她已经足够成功了。"
28779,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97EBTf8zgo4,0,3 years ago,i enjoyed her video much.,我非常喜欢她的视频。
28724,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94SkP9vlBZB,0,3 years ago,"@franzpeters3824 yeah we all know you don't speak chinese either to make videos, she worth more than you for not speaking english at all lol i bet.",@franzpeters3824是的，我们都知道你也不会说中文来制作视频，她比你说的完全不说英语，大声笑我敢打赌。
28459,UgyIxOebbO9A2KK3pBp4AaABAg,0,3 years ago,li ziqi i love your videos so much! how does she have time to plant and tend to so many plants? does all the village help out? i need to know! i would be amazed to think she plants and harvests so much all herself,Li Ziqi我非常喜欢您的视频！她如何有时间种植和倾向于这么多植物？所有村庄都有帮助吗？我需要知道！我会惊讶地认为她的植物和收获了很多
28381,UgzScDl6GybN8tx5NbR4AaABAg,0,3 years ago,i love video,我喜欢视频
28402,UgxMFAs7UAnngsj71Gh4AaABAg,0,3 years ago,so are these videos please make a special person on the side?,所以这些影片都是请专人在旁侧拍吗？
28412,Ugzm3ch-XXY--emYa9N4AaABAg,0,3 years ago,i like your videos thank you,我喜欢你的视频，谢谢
28415,UgykHOn9GG9afuylb9x4AaABAg,0,3 years ago,"accidentally found her introduction to her garden, but it is in chinese without any subtitles https://www.bilibili.com/video/av26785686?from=search&seid=5255710379688991713",意外地找到了她对花园的介绍，但它是中文没有任何字幕https://www.bilibili.com/video/av26785686?from = search＆seid = 52579966899991713
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
28455,Ugx2dBd3S_-CiASpJOJ4AaABAg,0,3 years ago,the video is so nice but the viet sub is so silly,视频很好，但是越来越愚蠢
28465,UgyhcQVWy_bjnNOa8Nh4AaABAg,0,3 years ago,whic camara do you use for your videos?,您使用的是卡马拉（Camara）的视频吗？
28692,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92xnC5wvptr,0,3 years ago,"liziqi singing video with guitar 
https://youtu.be/6hf5rgb9jjk","liziqi用吉他演唱视频
https://youtu.be/6hf5rgb9jjk"
28473,UgzP1I41BpzcFFt7EhJ4AaABAg,0,3 years ago,"it's too easy to be sprayed on weibo or say here. grandpa, the biggest weakness of your video now is the soundtrack of the soundtrack. especially this section is broken. perhaps the chinese creator is not too studying the background music part, either copied, and all copies. either the show is completely, i hope the grandfather can see it",微博上留言太容易被喷还是这里说吧，柒爷你现在视频最大的软肋不足就是配乐方面，尤其这个一段一断，或许中国创作者通病就是不太研究背景音乐这一部分，要么全抄，要么完全出戏，希望柒爷能看到
28478,UgxLK-ZmEkqkkWU8an54AaABAg,0,3 years ago,"looking at your video, i really want to go back to the countryside of china. there are also fields in the house, there are trees, there are flowers and old houses. i do n’t know why i abandoned such a simple and beautiful life at that time and ran to mei village ...",看着你的视频，我也好想回中国的乡下。刚好家里也有田也有树也有花也有老屋，都不知道为什么当时抛弃了那么淳朴致美的生活跑到了美村…………
28484,UgzP1I41BpzcFFt7EhJ4AaABAg.8yYBtUtbRu38yYXdcUaj5j,0,3 years ago,the music copyright on the oil pipe is very strict. several videos were uploaded before being deleted because of the music copyright issue. wool shawl and this episode,"油管上音乐版权限制得很严，之前好几个视频上传上来因为音乐版权问题就被删了，好像就重新配了BGM,微博上好几个视频的BGM就和油管上的不一样，比如：织羊毛披肩和这集"
28621,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g90WoNLAk5OO,0,3 years ago,"@jellychen4163 she has to give all her money to xi jing ping, because he pays the staff for her propaganda videos. she just gets a minimum wage.",@jellychen4163她必须将所有钱捐给Xi jing ping，因为他为她的宣传视频支付了工作。她只是得到最低工资。
28669,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92ghYHhACni,0,3 years ago,"she enjoys the heaven of nature everyday,one thing only she has to do is producing videos.and she is rich enough to buy anything.
you i and the others have to work hard everyday ,your boss blames you everyday.and when we go to the market for something ,the prices scare us and let us forget those.","她每天都喜欢大自然的天堂，只有她要做的一件事就是制作视频。
您和其他人每天都必须努力工作，您的老板每天都会责怪您。"
28682,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92nSwhVai6I,0,3 years ago,@franzpeters3824 why does she have to speak proper english? you're watching this video for english lesson?,@franzpeters3824她为什么要说适当的英语？您正在观看此视频以获取英语课吗？
29910,UgwMxNoOUYDKx-1LvCR4AaABAg,0,3 years ago,"i wish youtube would just stop with the multiple ads, and just ads in general. her videos are so relaxing and interesting and to be suddenly interrupted by a loud stupid obnoxious ad twice for dumb snapchat just ruins the flow.",我希望YouTube只能停止多个广告，而通常只是广告。她的视频是如此放松和有趣，突然被一个愚蠢的令人讨厌的广告打断了，因为愚蠢的Snapchat只是毁了流动。
29921,UgzKoVJTNcnnv1aicHt4AaABAg,0,3 years ago,you deserve the world. always enjoyed watching your videos,你应该得到世界。总是喜欢看视频
31884,UgxFEJfkeVN-xad2s614AaABAg,0,3 years ago,i love your videos!!!! ♡♡♡♡ (i'm from brazil),我爱你的视频！ ♡♡♡♡（我来自巴西）
31511,UgyzdMmPNpSbgOsg8T54AaABAg,0,3 years ago,make me hungry after see your video....like the food that have you cook....nyummy....,看到你的视频后，让我饿了。...就像你做饭的食物一样。。。
31382,UgxSxwUETInc94vryJB4AaABAg,0,3 years ago,hi sister i always waiting for your videos i love your videos much and it's awesome,嗨，姐姐，我一直在等您的视频，我非常喜欢您的视频，这很棒
31388,UgwrhOWoKTMzxxewMah4AaABAg,0,3 years ago,i really like when you add english subtitles to your videos. i can recognize most foods in your videos but am also so curious about the ones i don’t recognize. your videos are amazing and i feel motivated to craft things and learn more about traditional methods after watching.,当您在视频中添加英文字幕时，我真的很喜欢。我可以识别您的视频中的大多数食物，但对我不认识的食物也很好奇。您的视频很棒，我有动力制作事物并在观看后了解有关传统方法的更多信息。
31398,UgylAYnQnGNj8IdNnvV4AaABAg,0,3 years ago,dear liziqi and brother... thank you so much for listen our hope and request to make and share your video more often,亲爱的liziqi和兄弟...非常感谢您倾听我们的希望，并要求更经常制作和分享您的视频。
31404,UgxXhmyB9mtc8EY4DVl4AaABAg,0,3 years ago,vietsub has no charm. reading that frustrated! video chill chill this type sub for the right flower!,Vietsub没有魅力。读沮丧！视频寒意这种类型的适合合适的花朵！
31407,Ugy7WL4u54Gj1aOMBvF4AaABAg,0,3 years ago,another great video! thank you for sharing!,另一个很棒的视频！感谢你的分享！
31413,UgzwizYUEO_yRXQOOLR4AaABAg,0,3 years ago,2 or 3 videos this week? wow i am spoiled. can't complain,本周2或3个视频？哇，我被宠坏了。不能抱怨
31445,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVhKT62kmJ,0,3 years ago,"@fayrosa this video uploaded in chinese website bilibili few days ago, so that channel steal and upload. this channel is the only one official in youtube.",@fayrosa几天前在中国网站Bilibili上载了此视频，因此频道窃取和上传。该频道是YouTube中唯一的官员。
31449,UgwyYLI8uDlQwXUWwd94AaABAg,0,3 years ago,"admin, do not translate vietnamese, so that the original will keep the soul of the video more intact",管理员，不要翻译越南语，以使原始视频的灵魂更加完整
31458,Ugzc7-ZfCZXBLUOqbkl4AaABAg,0,3 years ago,"she is very intelligent and displane 
she creat new things also your videos was awesome keep it up","她非常聪明和流动
她创建了新事物，您的视频也很棒，请继续"
31491,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18ymIMne6swp,0,3 years ago,"franz peters https://b23.tv/av62513709 this is the link.compared to watching these in youtube,many chinese fans prefer watching in chinese video app,because chinese app is much better to use.",弗朗兹·彼得斯（Franz Peters）https://b23.tv/av62513709这是Link.com在YouTube中观看这些内容的链接，许多中国粉丝更喜欢在中文视频应用中观看，因为中文应用程序更好。
31494,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yw7ksFW7mt,0,3 years ago,@lasergames1798 its not available in china. chinese people watch her videos on weibo,@lasergames1798在中国不可用。中国人在微博上观看她的视频
31495,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yyq6o-cp0n,0,3 years ago,"@lauralong3072 vpn is easy to access in china. these days, most of the video providers in china have both domestic and foreign channels.",@Lauralong3072 VPN在中国很容易访问。如今，中国的大多数视频提供商都有国内和外国渠道。
31500,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19-Vl7FCi7rk,0,3 years ago,@user-jc2hb7lw4x i just asked this question on another video. i was actually thinking this. the filming is just too beautiful. where do you know this information. i am quite curious.,@user-jc2hb7lw4x我只是在另一个视频上问了这个问题。我实际上是在想这个。拍摄太漂亮了。您在哪里知道这些信息。我很好奇。
31503,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19EugD0t1XPY,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
31504,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19Y_rhKIow_p,0,1 year ago,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
31325,UgxoI2iJl9KqAXWNDPJ4AaABAg,0,3 years ago,"nature is beautiful . but, in this video nature is very verybeautiful",大自然是美丽的。但是，在这个视频中，本性非常非常美丽
31299,UgwJdRl67_2UW4JluE14AaABAg,0,3 years ago,watch video missed my hometown!,观看视频错过了我的家乡！
31276,UgxJac_59okxBqceQm54AaABAg,0,3 years ago,"you're videos make my day. i want to go back and try and make some of them also, they look so good.",您是视频让我的一天。我想回去尝试做一些，它们看起来很好。
31211,UgyA5GUiAMluKKoQpoh4AaABAg,0,3 years ago,her videos are amazing! i like them so much! in this particular one there were so many unknown ingredients for me - it felt like she was from a whole another planet!,她的视频很棒！我非常喜欢他们！在这个特别的东西中，我有很多未知的成分 - 感觉就像她来自另一个星球！
31167,Ugy1nADOy5ZnzbFb7rh4AaABAg,0,3 years ago,i seen a comment that youtube is banned in china and someone else uploads her videos.. i just wanna know is she the one that gets the money for these videos?,我看过一条评论，说YouTube在中国被禁止，其他人上传了她的视频。我只是想知道她是为这些视频而获得钱的人吗？
31184,UgwfQcEkLk8p1MABhBd4AaABAg,0,3 years ago,wish i was there to share the meal with them....another great video and my applauses,希望我在那里与他们分享一餐。...另一个很棒的视频和我的掌声
31195,Ugz5Dy8AoOxJv0CjHPd4AaABAg.8yVK4vKuqwJ8yVpuMJ3Yh1,0,3 years ago,i love your videos how to do the poorest that we are wonderful,我喜欢您的视频如何做我们很棒的最贫穷的
31198,UgwtOdtGU97OW3l-z9J4AaABAg,0,3 years ago,this video getting more view than pews vids.,该视频比Pews Vids获得更多的视图。
31203,UgzMuJ4-i_3bD1wXnXh4AaABAg,0,3 years ago,hi liziqi . iam from kerala(india). i love your all videos,嗨，liziqi。来自喀拉拉邦（印度）的IAM。我爱你的所有视频
31204,UgwOW9v5hGpHZna7Pqp4AaABAg,0,3 years ago,"what is the title of video backsound?
i like it..
may i have it?","视频背面的标题是什么？
我喜欢..
我可以吗？"
31222,UgwvsNdLwLw-i5w1JMh4AaABAg,0,3 years ago,i like this video :),我喜欢这个视频:)
31275,UgxMeyo5YIHf2XO_yO94AaABAg,0,3 years ago,she is so good .video is very beautiful ... ❤❤,她太好了。Video非常漂亮...❤❤
31225,UgyDc55gSvTNEowrp7B4AaABAg,0,3 years ago,sorry i meant watching her videos!,对不起，我的意思是看她的视频！
31227,Ugx9iYANxZprj9LPKIZ4AaABAg,0,3 years ago,i will never get tired of waiting her videos!,我永远不会厌倦等待她的视频！
31235,Ugy88lcuYbTdkGjTLQd4AaABAg,0,3 years ago,does she make the videos or someone else? they are beautiful,她会制作视频还是其他人？他们很漂亮
