,cid,votes,time,含family,含family中文翻译
33232,UgyR0dL4lUk8mpmzt4p4AaABAg,0,3 years ago,liziqi...i dont know if you know this....you ve been doing great service to depressed people through your ever so calming videos...your life surrounded by nature..family bond...and so much hardwork adds beauty to everything you do...god bless u and grandma.,liziqi ...我不知道您是否知道这一点。...您所做的一切的美...上帝保佑你和奶奶。
33250,UgzHtxsQQfbFpETlDFJ4AaABAg,0,3 years ago,"and what you've shown without realizing is when a woman takes care of her family properly it really is hard work that has to be done every day. good for you my dear, may you be blessed with someone that truely loves and takes care of you!!",您没有意识到的是，当女人正确照顾家人时，每天都必须完成的工作确实是艰苦的工作。亲爱的，对你有好处，愿你真是有一个真正爱并照顾你的人！
22558,UgxghmqHcYEfDegHNiZ4AaABAg,0,3 years ago,congratulations to the family for delicious food,美味的食物祝贺家庭
29533,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ydFqh398t_,0,3 years ago,"@shiminli3966 is she from sichuan? many of her foods i eat at home too, and my family is from sichuan as well, but i cant tell if the similarly in dishes is because theyre sichuanese or if they're just common dishes in china.",@shiminli3966她来自四川吗？我在家里也吃过的许多食物，我的家人也来自四川，但我不能说同样的菜是因为他们有四川人，还是他们只是在中国的普通菜肴。
27646,UgzUz_ftd2XHZ97N1OZ4AaABAg.8ycgdir5XmU8yckaWPyaJX,0,3 years ago,"no no, no, the environment is just bonus, there are so many skills, there are mine in the family, this is not ordinary, right?",不不不，环境只是加分项，技能这么多，家里还有矿，这不普通了吧
22467,UgxxArklBpR1tv1I5Y54AaABAg,0,3 years ago,my whole family watches all her videos on our tv haha. she can literally cook anything!,我的全家人在电视上观看了她的所有视频哈哈。她几乎可以做任何东西！
33545,UgyJJCXwaUxZV2HpB3l4AaABAg,0,3 years ago,this reminds me so much of my life with my grandpa. and how he always told me how life was before our family migrated from china to thailand.,这让我想起了我爷爷的一生。以及他总是告诉我我们的家人从中国移民到泰国之前的生活。
22232,UgzHRVFOUJ0HpVwCvOZ4AaABAg,0,3 years ago (edited),"my fav food! i alwys go to jungle to get some bamboo when i back to my vilage
or my family membr get it hehe","我最喜欢的食物！当我回到我的葡萄酒时，我会去丛林丛林
或我的家人膜得到它呵呵"
33559,UgzCPjf6ImlK7WZqGW14AaABAg,0,3 years ago,i can see how you and your family are so healthy the fresh food is beautiful and so much variety !! i wish americans had more variety unfortunately we eat very simple.,我可以看到您和您的家人如何健康，新鲜食物很美，种类繁多！！我希望不幸的是，美国人的饮食很简单。
22047,Ugyy03Im99ON2fZ8-5x4AaABAg.9-HMbrLcXvp9-YyFG3MkL7,0,3 years ago,krishna choksi she gave up her life in the big city and went back to the countryside just to get back to nature and take care of her family.,克里希纳·乔克西（Krishna Choksi）她放弃了在大城市的生活，回到乡下，只是为了回到大自然并照顾她的家人。
33594,UgxVCqZSaq6BPe4RfVJ4AaABAg,0,3 years ago,my family has that bamboo shoot,我的家人有那只竹
33991,Ugwp_evmT7ZD4BVFF3R4AaABAg,0,3 years ago,i tasted that food when im on japan for family banding,我在日本在家庭乐队上品尝了那种食物
34193,Ugz9AEoL5-4m44ATWSx4AaABAg,0,3 years ago,"why does this girl live only with her grandmother? does she have a groom? kazans and boilers in this house are of such sizes that you can cook for a large family, and she prepares her grandmother.",为什么这个女孩只与祖母一起生活？她有新郎吗？这所房子里的喀山和锅炉的大小如此之大，您可以为一个大家庭做饭，她为祖母做准备。
34559,UgyKZmhJjnH56Qv_--J4AaABAg.8yUThk2zkz78yUbtFKuqri,0,3 years ago,how can ya have a family? is it better to depend on each other.,Ya 哪有家族？就俩人相依为命好不。
29535,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yeAcz862kq,0,3 years ago,"@user-ke5rz1cw5d if you're humiliated to be a race that you lineage was born into you might as well end your family's line at yours because you are not grateful at all for being brought into this world. first of all, god allowed you to be birthed into this world. second of all, do you blame your parents to be chinese? if you do you are pitiful. the chinese is a noble and strong race worthy of every envy that comes their way just like how you envy those americans and europeans you so greatly wish to be. but let me tell you this. if you look down on your own race and yourself and belittle your own race, you are not making yourself look better because in the end you are still a chinese and you can never change that even in death. you are trampling yourself and belittling yourself in the end and the others will merely laugh at you pitiable state. you are the type of person whom everyone looks down on even more than how the 'whites' look down on the asians.",@user-ke5rz1cw5d如果您羞辱自己是一场您的血统诞生的种族，那么您也可能会结束家人的界限，因为您根本不感激被带入这个世界。首先，上帝允许您生育这个世界。其次，您责怪父母是中国人吗？如果你这样做，你很可怜。中国人是一个值得每一个嫉妒的贵族种族，就像您羡慕那些非常希望成为的美国人和欧洲人一样。但是让我告诉你。如果您看不起自己的比赛和自己贬低自己的种族，那么您并不会使自己看起来更好，因为最终您仍然是中国人，即使在死亡中，您也永远无法改变这种情况。您正在践踏自己，最终轻视自己，其他人只会嘲笑您可怜的状态。您是每个人都看不见的人，而不是“白人”看着亚洲人的方式。
22857,UgypSCYcF8YGiJlqCqx4AaABAg,0,3 years ago,"with the most simple ingredients, the most beautiful scenery, and my grandmother's smile and discourse, i envy me. you know that so many foods you like and taste with your family. in the beautiful natural green scenery, you do n’t know if you in the future. will you persist?",用最淳朴的食材，最美的景色，加上外婆的笑容和话语让我好个羡慕，你知道做这么多大家喜欢的美食和家人一起品尝，在美好的自然绿色风光里面，不知道以后的你会坚持下去吗?
27723,UgwvDJ9AOv1tt09KJkR4AaABAg,0,3 years ago,"ahhh..... yes its the season of bambooshoot, my family loves them",啊.....是的，这是Bambooshoot的季节，我的家人爱他们
23213,UgzqOBHzaH-F8OIsjJB4AaABAg,0,3 years ago,"as a child who grew up in the countryside, i really admire ziyi. i did anything when i was a kid. i knew the shell peeling the orange peel to sell it. cat ... when i grew up, i was afraid of it. i was too lazy, and the old family became less and less.",作为农村长大的孩子，真的很佩服子柒，我小时候什么都做过，栽秧打知了壳剥橘子皮去卖，涨大水还去溪边玩被冲到下游，在树上躲猫猫……长大后这也怕那也怕了，懒得不行，老家人也越来越少，以前的面孔都见不到了，很凄凉
32331,UgxkbKrdL0gqibLXe2R4AaABAg,0,3 years ago (edited),"good morning, beach from south carolina. i like your work and creativity very much. thank you for letting me integrate your culture. bless you and your family. i can ask what type of edible oil you use?",早上好，从南卡罗来纳州的海滩。我非常喜欢你的工作和创造力。谢谢你让我融入你的文化。祝福你和你的家人。我可以问你用什么类型的食用油？
31609,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVrvy-hbSL,0,3 years ago,@sabri3214 thank you for taking time to read my comments about this wonderful woman and her life chaning videos. may you and your fine family have a joyful day. your friend from canada!!!!!!!!!!!!!!!!!!! p.s i put from canada to show this woman has friends world wide!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,@sabri3214感谢您抽出宝贵的时间阅读我对这个出色的女人和她的生活视频的评论。愿您和您的好家庭度过快乐的一天。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!我从加拿大放置的P.S向这个女人展示了世界各地的朋友！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
27316,UgwiWPXZREbmOqJ7aoB4AaABAg.8ygCWxElEGo8yjq6D6WDPQ,0,3 years ago,"interesting. bamboo is from wild grass family. it grows everywhere in philippines, it is said 21 species are endemic and/or native philippine bamboos, but all in all 62 bamboo species are growing/cultivated here",有趣的。竹子来自野草家族。它在菲律宾到处都有生长，据说21种是地方性和/或本地菲律宾竹子
27809,UgxDFk-A99zrW8NpR2J4AaABAg,0,3 years ago (edited),"long beans (豇豆稀饭）porridge and spicy salard with long beans is very porpular in the sichuan province ,every family in the countryside of sichuan province like cooking at the summer day. wtach ziqis film, mmmm,let me recall those good memory of childhood time .",长豆（（（（port）和长豆的辣味和辛辣的沙拉酱在四川省，四川省的每个家庭都像夏日一样做饭。WtachZiqis电影，mmmm，让我回想起那些良好的童年记忆时间 。
28504,UgxIJTL82UluVv589Lp4AaABAg,0,3 years ago,love how she lives off the land and takes care of her family.,爱她如何生活在土地上并照顾家人。
27112,UgywKUPBsQ9LjkUCi414AaABAg,0,3 years ago,"sometimes i wonder if its really only her and her grandmother on that little farm, and if her grandmother passes what will happen to her. as in who owns the property (if any in the family do) and if she would be able to stay there in that event. its a depressing thought, but one i think of at least once during all her videos.",有时我想知道这是否真的只有她和她的祖母在那个小农场上，以及她的祖母是否经过她会发生的事情。就像拥有该财产的人一样（如果有家庭中的话），如果她能够在那个事件中呆在那里。这是一个令人沮丧的想法，但是我在所有视频中至少想到一次。
31636,UgwqI47hhZNA2n9kYV94AaABAg,0,3 years ago,long life and happy for your family. nice video,长寿，为您的家人感到高兴。不错的视频
31680,UgymLEJH83a7WvA8bTF4AaABAg,0,3 years ago,how much land does your family have! intersection intersection intersection intersection ~~~~~ why do everything! intersection intersection intersection intersection intersection intersection intersection,你家到底有多少土地啊！！！！！~~~~~怎么什么都有啊！！！！！！！！
29095,Ugy_rv69BA1VHfhSQsR4AaABAg.8yXqMcoFbCJ8ydyQRbHY1H,0,3 years ago,"my grandfather is the kinh, but my family is originally chinese",我的祖父是Kinh，但我的家人最初是中国人
31750,UgyOe6gQApEnbjl41D94AaABAg,0,3 years ago,my family eats a lot of chili,我的家人吃了很多辣椒
26716,Ugx6cy971MA3ppqHkK94AaABAg.8ym9CbYH7Gs8yr45eV3R9o,0,3 years ago,we r family,我们家族
26684,Ugzu0qBwxoIFQK-uR4F4AaABAg,0,3 years ago,see c seven bamboo shoots but homesick !!! my family also grows bamboo shoots but is manh tong,看到C七颗竹芽，但想家！！！我的家人还长大了，但是曼·汤
26679,Ugz_k0-Zgw2jv8zjz3x4AaABAg,0,3 years ago,"seeing your kitchenware must be a rich and noble person, not an ordinary family",看你厨具必是大富大贵之人，不是普通家庭
31795,UgykyIoc2izF5joj3DB4AaABAg,0,3 years ago,"the life i always dreamed for myself, congratulations to you beautiful family",我一直梦dream以求的生活，祝贺你美丽的家庭
31989,UgzyIcvOFsu-fdosiYN4AaABAg.8yV1i9VUv0r8yVMIkOmTRu,0,3 years ago,i like to see the yard of the ziqi family! bleak,我超喜欢看子柒家的院子！
25165,UgzQfsx7ACZkp3hW6Ix4AaABAg,0,3 years ago,"the life i dream of, family, food and nature",我梦dream以求的家庭，食物和自然
31431,UgyaJ6p0uqe6rUA9doR4AaABAg,0,3 years ago,"suddenly remembering that our family had bamboo shoots almost recently, bamboo porridge bamboo shoot soup fried xunzi ... anyway, all kinds of bamboo shoots",突然想起我们家最近几乎餐餐都有笋子，笋子粥 笋子汤 炒荀子...反正各式各样的笋子料理
23965,UgwXQSUvWezk026obVF4AaABAg,0,3 years ago,"i like your videos, they are liable, and i love field life, you have a beautiful family, you live free. many greetings.",我喜欢您的视频，他们承担责任，我喜欢实地人，您有一个美丽的家庭，您可以自由生活。许多问候。
30302,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392ZhKOZOUY9,0,3 years ago,@nurulfazlinabdullah9165 this only basic chinese traditititional family. chinese people pay more attention to family concepts.,@nurulfazlinaabdullah9165 This only basic Chinese traditional Family. 中国人都比较注重家庭观念。
31270,Ugzc_dcGc0ugeMpH2-54AaABAg,0,3 years ago,us tibetans eat bamboo shoot too! usually a bit too fibrous/chewy for my liking but my family loves it and has always eaten it ever since i can remember!,我们的藏人也吃竹芽！通常，对于我的喜好，我的家人很喜欢它，但是我的家人很喜欢它，而且自从我记得以来就一直吃了它！
23830,UgyQ7r1wD9Eb2jsnZ7N4AaABAg,0,3 years ago,"https://www.youtube.com/watch?v=nxk2tdyulcc&t=729s
a romdee family thailand
https://www.youtube.com/watch?v=-6vgu6vo59o&t=1s","https://www.youtube.com/watch?v=nxk2tdyulcc&t=729S
泰国一个romdee家族
https://www.youtube.com/watch?v=-6vgu6vo59o&t=1s"
23533,UgwKRe6jCDd8NsDOefN4AaABAg,0,3 years ago,you feel that warm family climate with a pleasant and pleasant comfort ... beautiful,您会感觉到温暖的家庭气氛，带有宜人的舒适感...美丽
23331,Ugw6XDbdvcZclo2TpWh4AaABAg,0,3 years ago,"the channel where a chubby woman is food is eaten by the whole family
is this man mother? wow, i think you're living alone.
i also watched a video taken by thailand, but there were too many insects flies there.
but their dwellings seem to be really clean and healed because they can't see bugs
and that woman is pretty and pretty, but i think it's really in love to see that food and do it alone
and there are about 6 million subscribers
i think i've been doing it since ancient times and it has been upgraded.
whether you have a lot of income, it is why everyone is watching this video.
it's a filial piety
i can't believe it is really that i edit that video in that residence.
i want to go to experience there","全家人吃食物的胖女人的频道
这个男人妈妈吗？哇，我想你一个人住。
我还观看了泰国拍摄的视频，但是那里有太多的昆虫飞了。
但是他们的住宅似乎真的很干净和治愈，因为他们看不到虫子
那个女人漂亮又漂亮，但我认为看到那种食物并独自做到
大约有600万订户
我认为我从远古时代开始就这样做了，并且已经升级了。
无论您是否有很多收入，这就是每个人都在观看此视频的原因。
这是一个虔诚的虔诚
我不敢相信我真的在那个住所中编辑了该视频。
我想去那里体验"
32223,UgwxnbxxOOO1rdZp83J4AaABAg,0,3 years ago,"always excellent is just 6 and i am already hungry that envies you live in a beautiful place of culture rich of respect for the elderly, animals, nature to life greetings from el salvador blessings to you and your whole family",总是很棒的只有6岁了，我已经饿了，让您生活在美丽的文化场所，对老年人，动物，自然对生活的问候，来自萨尔瓦多祝福给您和您的整个家庭
31018,UgygF_D1QJJyAEjWMVJ4AaABAg.8yVOaKjxbcW8yWf7U88rIz,0,3 years ago,"@johnhuy0614 real every time i eat rice, the whole family ate and watched her parents praised her to cook well :)))) now i'm still sitting and watching",@johnhuy0614每次我吃米饭时，整个家庭都会吃饭，看着她的父母称赞她做得很好:)））））现在我仍然坐着看着
17502,UgyLQc2IAj-fZxyw4JN4AaABAg,0,3 years ago,"chinese peasants are modern serfs without an inch of land. and farming completely lose money, not only the obligation of farming to support the government, and additional to go out to work to earn money to support the family! ! it can be said that chinese farmers are the most abject human history, no human rights to speak of. this documentary is nothing like the real life of a chinese farmer.",中国农民是没有一英寸土地的现代农奴。耕种完全损失了钱，不仅是耕种的义务支持政府，还有外出工作以赚钱以养家糊口！呢可以说，中国农民是最卑鄙的人类历史，没有人权。这部纪录片与中国农民的现实生活一样。
21851,Ugy75c8j1BUQrvsWJZB4AaABAg,0,3 years ago,"at 7:10, when you see no, you ask you not to see it. a large bucket of mustard, the ziyi family is too rich! ☺️☺️☺️☺️",7：10的时候，看见没有，就问你们看见没有，一大桶榨菜，子柒家太富有了吧！☺️☺️☺️
12534,UgzwbQkR9hJ5-lKuyAN4AaABAg,0,3 years ago,are there men in this family?,这个家庭有男人吗？
8535,UgzUkj9QLlDFG2D0slx4AaABAg,0,2 years ago,"i've lived in the country half my life, and as much as i'd rather stay in a city, i love watching these videos! i recently got into cooking, and because of covid, my family is growing peas, green onions, tomatoes, and a few other things in our yard so we don't have to constantly go to the store! this girl is amazing for everything she does",我住在一半的乡下，就像我宁愿呆在一个城市一样，我喜欢看这些视频！我最近开始做饭，由于Covid，我的家人正在种植豌豆，葱，西红柿以及我们院子里的其他一些东西，因此我们不必不断去商店！这个女孩为她所做的一切都很棒
8787,UgwRRBpv5eHdcC-tBy94AaABAg,0,2 years ago,oh something that does not know to be this girl that barbara ... i just met this channel and i will add them to all my family and friendships ... to see if we learn a little and stop being complaining and us we get to be something productive .... thank you liziqi channel excuse me if i'm wrong and it's not your name.,哦，不知道是芭芭拉（Barbara）的一个女孩...我刚遇到了这个频道，我会将它们添加到我所有的家庭和友谊中...看看我们是否学到一点，不要再抱怨，我们就可以去提出生产力。...谢谢Liziqi频道，请问我错了，这不是您的名字。
9170,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9B4swDwEktx,0,2 years ago,"birthday eight characters, referred to as eight characters, long -term culture, can be speculated by the fate of the fate through the eight characters, the family fortune, emotional and blessing. the marriage is the word eight characters. putting the eight characters of both men and women, to see if they are in harmony, or they are overwhelmed by each other as a reference for whether they can get married. i want to know that the five elements in the eight characters are missing emotional career and the fortunes are unattractive with the other half of the eight characters. i recommend a senior eight -character numerology.",生辰八字，简称八字，文化久远，可通过八字推测人命运的事业财运感情祸福等。合婚，即是合八字，把男女双方的八字放到一起来看，看是否相生相合，或相冲相克，以此来作为能否结婚的参考。想知道自己八字中的五行缺失感情事业运势自己与另一半八字合不合等，我推荐一位资深八字命理道长，他薇信：20882988
9365,UgyXINFFtQb_wIUno-t4AaABAg.9AE0SQlMR7S9BFQyv_xHEF,0,2 years ago,"what she showed was just a way of life.in rural china, many people don't need to buy a big house, they don't have the pressure to make a lot of money, they just enjoy life and family",她展示的只是一种生活方式。在中国农村，许多人不需要买大房子，他们没有赚很多钱的压力，他们只是享受生活和家庭
9398,UgxHbHQ-Z1tldqHnc154AaABAg.9AAAoO43ZcK9AWvtLSCZh0,0,2 years ago,"meet your family, like it",遇见家门儿，点赞
9450,Ugzg7B7HcNtQiRXEHa54AaABAg,0,2 years ago (edited),"greetings from indonesia success sugih wane healthy sehat tentrem happy without limits.
please attend another
many knowledge for self, family and community.
coming soon in gus i love you.","来自印度尼西亚的问候成功sugih衰减健康的tentrem毫无局限。
请参加另一个
自我，家庭和社区的许多知识。
在古斯（Gus）即将来临，我爱你。"
9512,UgyH32MbZfW61OKLwOt4AaABAg.9A-8t3ygOWh9AWCtzZvKJv,0,2 years ago,"nah , dumb 
she still buy most of their family need , 

fried oil , salt , milk , etc 
soap , shampoo , other personal need","不，愚蠢
她仍然购买大多数家庭需求，

油炸油，盐，牛奶等
肥皂，洗发水，其他个人需求"
10400,UgwDO9T4wfpsD7YGp0d4AaABAg,0,3 years ago,the best wife. smart and best chef for your family,最好的妻子。聪明，最好的厨师为您的家人
10555,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZdNdUK98,0,2 years ago,"i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","我恳求上帝，您的生活充满了满足感，您和您的家人一直保持开朗。

因此，我的恳求您是否可以请求我的帐户。"
10556,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZeSgBU3C,0,2 years ago,"i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","我恳求上帝，您的生活充满了满足感，您和您的家人一直保持开朗。

因此，我的恳求您是否可以请求我的帐户。"
10557,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZfTPHJJr,0,2 years ago,"@ralfhtagnong9862 i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","@ralfhtagnong9862我恳求上帝，一吨满足您的生活，您和您的家人仍然一贯开朗。

因此，我的恳求您是否可以请求我的帐户。"
10758,UgwrGByjAhwCZhKqKfV4AaABAg.98QuthBGf-Z98S1eVSQujw,0,3 years ago,"there is, even the family often cooks. btw is a bamboo shoot and his name is 'bong' if in my area",有，甚至家庭经常做饭。顺便说一句，如果我所在的地区
10781,UgyYslMMM30aI1syXXh4AaABAg,0,3 years ago,"i hope she, her crew and family did get the ccp virus",我希望她，她的船员和家人确实获得了CCP病毒
10808,Ugy57FvJKecWTKgNuj14AaABAg,0,3 years ago (edited),"greetings from russia of the little town of vologda !! i look at you and admire you how you are all this all with your golden handles and then cook delicious food and treat your grandmother or mom and your dog !!! you are a wizard and beauty, a hard worker and you have everything so delicious. i work the same on earth and i have the same thing my family is large and so i have a lot of everything. this is a great job !!! mira and good to you beautiful wizard !!!",来自小镇Vologda的俄罗斯的问候！我看着你，欣赏你的金色手柄，然后煮美味的食物，对待你的祖母，妈妈和你的狗！您是一个巫师和美丽，一个勤奋的人，一切都很美味。我在地球上的工作也一样，我的家人很大，所以我有很多一切。这是一项了不起的工作！！！ mira，对你美丽的巫师好！！！
11239,UgyXO-ADTfj8jTu3pW54AaABAg,0,3 years ago,"a few days ago i received the snail powder of li ziyi's family, which was very delicious! i like you very much,",前几日收到李子柒家的螺蛳粉了，非常好吃！很喜欢你，
11345,UgxFbKoVvID2PVnSJaJ4AaABAg,0,3 years ago,"all these beautiful family recipes handed down for generations i guess.. but lizqui is also creative and imaginative. isn't her grandma the sweetest thing? i wonder how long it takes her to scrub those soot covered pots and pans... this is backbreaking work,no two ways about it.god bless you dear and your family.",我猜所有这些美丽的家庭食谱都传下来了。她的祖母不是最甜蜜的东西吗？我想知道她要花多长时间才能擦洗那些烟灰和锅子……这是令人震惊的工作，没有两种方法。上帝祝福您和您的家人。
11669,Ugz4v3NDvFwbqZAlNrd4AaABAg.97MWmJxtxx_97QIEMCP6w9,0,3 years ago,"it seems to me that this is a feature film, the ideal world, so to speak, is ""man and woman"", ""big family"", ""mom and child"", etc., and this is ""grandmother and granddaughter"", but it is beautifully shown here "" culture "", china, an ideal culture. who would not say, all the same, they have a great one. in the first place, food. close, they use a huge number of herbs, plants that surround them.
unfortunately, the war, revolutions, destroyed a lot, memory. then i remember from childhood, as my grandmother said, my grandmother’s neighbors, that many herbs that surrounded them used to eat, used food and praised, but i don’t remember exactly. ..
but the film is very beautiful!","在我看来，这是一部故事片，是理想的世界，可以这么说，是“男人和女人”，“大家庭”，“妈妈和孩子”等，这是“祖母和孙女”，但是它在这里很好地展示了“文化”，中国，一种理想的文化。谁不会说，他们都有一个很棒的文化。首先，食物。近距离。他们。
不幸的是，战争，革命，摧毁了很多，记忆。 .. ..
但是这部电影很漂亮！"
7165,Ugw-o282MUl61tO4u6N4AaABAg.9DJF9tB10KN9DZTE2EFOYZ,0,2 years ago,"i think that in most cases the say ""desperate times call for desperate measures"" is very much true. keep in mind that most traditional food (not only the chinese one) is usually made by all those plates that the poors would eat. in the past, poor people had to try and survive with what they had, hence they would try and eat whatever edible.
so i wouldn't say that someday a random person decided that ""oh that frog looks delicius"", but rather ""i have a family to feed, and frogs are everywhere around here. let's see if i can do something with them.""","我认为，在大多数情况下，“绝望的时期要求采取绝望的措施”是非常真实的。请记住，大多数传统食物（不仅是中国食品）通常是由po肉吃的所有盘子制成的。过去，穷人不得不尝试以自己的身份生存，因此他们会尝试吃任何可食用的东西。
因此，我不会说有一天一个随机的人决定“哦，那只青蛙看起来很熟食”，而是“我有一个家庭要喂食，而青蛙到处都是。让我们看看我是否可以对它们做某事。”"
6976,Ugy4t_oGyZHo6xPDKhp4AaABAg,0,2 years ago,"o allah, bless and grant peace to muhammad and his family and companions",哦，真主，祝福并给予穆罕默德及其家人和同伴的和平
6712,UgyrO9m4XuHb8nt4B1l4AaABAg,0,2 years ago,our family loves watching your videos..#philippines โค,我们的家人喜欢观看您的视频..＃菲律宾❤
