,cid,votes,含family,含family中文翻译
39615,UgzDGYGyrRamIkYJ5Nt4AaABAg,0,"thanks, except for you, i still dare not find your family. sincerly serge and donna",谢天谢地，除了你之外，我还是不敢去找你的家人。 sINCERELY sERGE和DONNA
39565,Ugw2tazkkuR-OMPsJ2B4AaABAg,0,"everything in this video is like humanity should be: prospering, living on the land and from working their own land, thriving with their family. why aren't we that way?",视频中的一切都像人类应该是：繁荣，生活在土地上，从自己的土地上工作，与家人一起繁荣。我们为什么不那样？
39571,UgxTbQcqmTy2apnRFRh4AaABAg,0,"i want to visit you one day. just want to work with you and understand your life style. we have cut our relation with nature. when i watch you, i can clearly see that you still keep this relationship very closely and wisely which makes me adore you like almost everyone who watches you. god bless you, your family, your animals and your home ๐๐ผ",我想有一天拜访你。只想与您合作并了解自己的生活方式。我们已经削减了与自然的关系。当我看着您时，我可以清楚地看到您仍然非常紧密而明智地保持这种关系，这使我喜欢您几乎所有观看您的人。上帝保佑你，你的家人，你的动物和你的家
42051,UgwHTO5DqWvId_XYCSB4AaABAg,0,i love seeing him by cooking with firewood. how aka in my country el salvador in the my family thus cosina blessings for this girl,我喜欢用柴火来见他。又名我国家的萨尔瓦多在我的家人中如何为这个女孩祝福
6794,Ugw6851I7TzlQdyJ0ax4AaABAg,0,"i want to thank you miss li ziqui , for share your family life, i'm so happy and relax seeing your videos . thank you",我要感谢李Ziqui小姐，分享您的家庭生活，我很高兴看到您的视频。谢谢你
41948,UgxcszGFLMd_V-AB2eZ4AaABAg,0,she is a good mom and a good wife when she have a family.. a wife material...,当她有家人时，她是一个好妈妈，是一个好妻子。
41478,UgzP5y37vF0jlKEF9f54AaABAg,0,so refreshing and heartwarming. it just flood my memories of old days where we do most things together manually in the family.,如此令人耳目一新。它只是淹没了我对过去的大多数事情的回忆。
41404,UgyPQSWkzJoY0K-iQel4AaABAg,0,we want to c your whole family,我们想让您的整个家庭
41382,UgyJYaXXg-7Irw3TQ614AaABAg,0,i love watching your video you are beautiful strong and very smart may god continue to give you strength keep doing what you are doing my family and i love watching your show,我喜欢看你的视频，你很漂亮，很聪明，愿上帝继续给你力量继续做你的家人，我喜欢看你的节目
41147,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8sMS-tjHOrB,0,"wang qian i miss the days when i was a kid, i just missed my own life at that time, and when i was with my family at that time, i would never miss the backward living level at the time.",Wang Qian 我怀念小时候的日子也只是怀念那时我自己的人生、那时候和家人成天在一起 完全不会怀念当时落后的生活水平
41137,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8fVvusPWp,0,"brother, i responded wrong, i stunned the message below you: (joey huang
you do n’t want to go over the wall, you can go home to accompany your family), sorry, sorry, apologize for you!","兄弟，我按错回复了，我怼的是在你下面那个ID的留言：（joey huang
你现在开始不要翻墙上YouTube了 回家陪你家人吧），抱歉，不好意思了，给您道歉！"
40797,UgyHffJpQIFPn8xt2ZN4AaABAg,0,"dear ms. li ziqi, pay no attention to what others posts.. your work will pay off.. being there with your family is great the our just jealous.....don't let's that hurt you...word can hurt... being there with grandmother said a lot about you..my family help...stand by me... your truly, paul",亲爱的李齐齐女士，不关注别人的发表。.您的工作将获得回报..与家人在一起很棒，我们只是嫉妒.....不要让您伤害您... Word可以受伤...和祖母在那里说了很多关于你的事..我的家庭帮助...站在我身边...你的确，保罗
40751,Ugyte3FREoppoJgqyXF4AaABAg.8s9YcTD3nq78sA1TEcOwaa,0,"no. this is for the family. if she really sells, i guess ten million people are in the queue.",不，这是给家庭的。如果她真的卖出，我想一千万人在队列中。
7215,UgydTTn1eIhSGvyLudl4AaABAg,0,living family vlog from denmark -> https://www.youtube.com/watch?v=vkhoxi7nkfa&t=151s,来自丹麦的生活家庭视频博客 - > https：//www.youtube.com/watch?v=vkhoxi7nkfa&t=151Ss
7374,UgzCbMbkRCqAxvgmJPN4AaABAg,0,"how much energy,work sum ppl putting njoyng life with nature.. health wealth lost in running in corporate,govt., family life....",有多少能量，工作总和PPL使Njoyng的生活与自然的生命。健康财富在企业企业，政府，家庭生活中失去了。
39690,Ugyh_wB3Y-zZtMgNRWp4AaABAg,0,"ms li, our family would love to come and stay with you in your village. you should start a tourist business.",李女士，我们的家人很想和您一起住在您的村庄。您应该开展旅游业。
37525,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN9H5QrtFyn6v,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
39579,UgzyAMPtZQG5LtpIzvZ4AaABAg,0,everything's perfect. i hope your family would enjoy the food too. seeing then with you while you all enjoy it. :),一切都是完美的。我希望您的家人也会喜欢食物。当你们都喜欢它的同时，与您一起看。 :)
37626,UgwScm8sMBA-I5wNxdV4AaABAg.8twlsT6QIBn9H5R1s6FaAs,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37265,UgzlqjPcRyVJWMihDU14AaABAg.8uDRVv1qV9I8uJcvHxo4YE,0,4:12 is beef jerky. it seems like sliced dried beef.6:40 is sunflower seed.both of them are edible.every family will eat these during chinese new year.๐จ๐ณ (sorry for my poor english,4:12是牛肉干。似乎切成薄片的牛肉。6：40是向日葵种子。它们都是可食用的。每个家庭在农历新年期间都会吃这些。
7822,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JSylGoO1RM,0,"@shinkurosetta2157 half my family lives there too, moron",@shinkurosetta2157我的家人一半也住在那里，白痴
7823,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JSzMoZXIIG,0,"@shinkurosetta2157 so your family lives in a shit hole boo hoo; china has beautiful countryside, you just happen to be in a shitty one. cry me a river lol",@shinkurosetta2157，所以您的家人住在一个​​狗屎孔中；中国有美丽的乡村，您恰好是一个卑鄙的乡村。哭我一条河哈哈
35941,Ugyw4DsnAgTFk9wM5g54AaABAg,0,"her life must be very peaceful and quiet. she works hard for herself and her family. it must be tough living there but iโ€d also like to experience that. no noise, no claustrophobic buildings and last but not atleast no gadgets or wifi. although iโ€m not sure if thatโ€s entirely true since theyโ€re using a camera. even just for a day or a week, i hope i can experience a calm and peaceful time with her or just like her.",她的生活必须非常和平与安静。她为自己和家人努力工作。那里一定是艰难的生活，但我也想体验到这一点。没有噪音，没有幽闭恐怖的建筑物，最后但至少没有小工具或wifi。尽管我不确定这是否完全正确，因为它们正在使用相机。即使只是一天或一个星期，我也希望我能与她或像她一样经历平静而和平的时光。
35854,Ugzlh3XZbD5G826wD6R4AaABAg.8u_7DXN1aqe8u_ePJ1pRL2,0,"no, these treats are prepared for family in traditional festival, i think",不，这些零食是在传统节上为家庭做好准备的，我认为
35833,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT9H5Um33eFJa,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
35599,Ugyw-2x5IhEBiakt2uF4AaABAg,0,my ex wife is chinese american abc.. she has nothing on your hard work and beauty. you make me love china so much with these videos ...god-bless you and your family always.. hello from california ๐โ .. my daughter is half chinese half-mexican a true rice and beans..,我的前妻子是美国美国广播公司（ABC）。她的辛勤工作和美丽一无所有。您让我在这些视频中非常爱中国...上帝和您的家人永远。
35522,UgwKG65bYm4-NTxbp3x4AaABAg,0,i love your channel so much. you and your family are amazing and deserve all the best.,我非常爱你的频道。您和您的家人很棒，应该得到一切。
35421,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j9H5QXYa3Gpw,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
35381,UgxE46Ylfsg-ypS5LeR4AaABAg,0,"china. got talent . 
her husband must be the luckiest guy , to have a wonderful wife like her . this is what i call family .","中国。有才能 。
她的丈夫必须是最幸运的人，要有一个像她这样的好妻子。这就是我所说的家庭。"
35363,UgznDrjLXs_aZeSnVFR4AaABAg,0,the king asked me to foi again and know that the family is for the family,国王要求我再次foi，知道家庭是为家庭的
35220,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9Jdoz_vOJTt,0,"โ€ @therewasnochill8997 may be you have some misunderstand with china education and china women, yes 40-50 years ago maybe happened , our education resource wasn't cover everyone at that time, for example my mother give up the opportunity to high school even she has good grades, she give this opportunity to her younger brother, but almost everyone know knowledge can change one's life ,so our country and family try their best to give good education to young people , for me my parents always support my study, even i have been married.",@thenwasnochill8997可能是您对中国教育和中国妇女有误会，是的，是40-50年前发生的，我们的教育资源并不涵盖当时的所有人，例如，我的母亲也放弃了上高中的机会她的成绩很好，她给了她的弟弟这个机会，但是几乎每个人都知道知识可以改变自己的生活，因此我们的国家和家人都会尽力向年轻人提供良好的教育，对我来说，我的父母总是支持我的学习，甚至我已婚。
35216,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9H5QMwG1hq0,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
10364,Ugz-N7ah55YJv7npkWJ4AaABAg,0,nice family ๐ถ๐๐๐,好家庭
10593,UgyuGZzyLWMyHAxojBJ4AaABAg.9Fnf4y_TLaN9H5QGl4i0_t,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
10697,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9H5QISPFB2H,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
34976,UgyaaTOJ5WmFo5uwhm94AaABAg,0,"granny transferred all her talent to her, and she carried it very nicely. and her puppies and baby lamb they just make this family complete...",奶奶把所有才华转移给了她，她的携带非常好。还有她的小狗和小羊羔，他们只是使这个家庭变得完整...
34952,UgxWXwE4xU56ilEGKjd4AaABAg,0,these make me so sad i really wish i could live like this in the country side of japan a family as beautiful as this captures such a pure emotion,这些让我很难过
9780,UgybRez4_EWFkcYpAx94AaABAg,0,from france: my family told me to watch your video: this is the first. so cute! bleak,From France : 我的家人告诉我看你的视频们：这是第一个。太可爱了！
36010,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju79H5QoXYsptX,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36246,Ugw3qr-9--BZV3PyiBJ4AaABAg.8uWwTpNqXib9H5QuEg9XqS,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37095,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP9H5QaQEfuy7,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37379,Ugye0HSCSJlA0QTVFwd4AaABAg,0,this girl's family seems very sweet! that cute little laugh the grandmother made at 9:32 absolutely made my heart melt. the videos this girl makes is astounding and truly a beautiful craft! <3,这个女孩的家人似乎很甜蜜！祖母在9:32做出的那个可爱的小笑声绝对使我的心融化了。这个女孩制作的视频令人震惊，确实是一款美丽的手工艺品！ <3
37280,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa9H5Qiguvbfs,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
42140,UgwUgFUCjOtaA8JZPaR4AaABAg,0,wow..shes so lovely...i would love to live with her and her family and help out...this is how you truly live!!!,哇。
37244,UgzDyOGv9HFuNVAYXuh4AaABAg.8uD_6ZPhd7B8uNqKIfHPqS,0,"@johnchang 2984 56,000 years of wisdom and hard work, creating today's rich chinese civilized family",@johnchang2984 五六千年智慧勤劳的积淀，造就今天丰厚的中国文明家底
37130,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb9H5UdEFLzrn,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37128,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXyraUACmH,0,kenny โ€ข it was in south korea and our remaining family now lives in australia.,肯尼•现在在韩国，我们剩下的家庭现在住在澳大利亚。
36974,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn9H5QVhwXa_Q,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
9740,Ugxp8IwiX_yjUPV67hV4AaABAg,0,"i have a distraction, and i am pleased with a communication and correspondence, and his love increased more, but so far i have confessed to something. today, my family, they decided to go to the sermon, rawan, to mortada, and this is the biggest joy of the line. we take off my dog ​​every hour.
mother: i am a lofty with a wage, when i am tired and my fatigue today.
hoda: there is no rug with the possibility of his neighborhoods.
mother: fadwwah for the dawn of the house of the house
hoda: i do not want to want to keep me.
ahmed: what is a rising boss, with a righteous, hahaha
he ruined his day, forgive me from this
hoda: ha -ha -ha -ha, no darling,
ahmed: by god, you are the girls, they are darkened after you dream of a horse
hoda: my darling, complete your way and his dreams with his dreams
ahmed: i swear by god, i will repel you
i went to my mother, and i went to sleep.
yasser: the day of the time, god willing
hoda:......
yasser: hoda, i love and address to me
hoda: yasser
yasser: his eyes
hoda: i love you
yasser: here is my shape
hoda: hahahahahahahahaha
yasser: my form
hoda: i did not
yasser: attractive, and god heard
hoda: what i heard
yasser: hoda, to let my dog, eidi al -hajjiti, before shui, because he heard
hoda: if you hear what she walked, why do you ask hahaha
yasser: he destroyed it with his horses
hoda: hahaha
yasser: if it is not a horse on her feast
hoda: maaanah hahaha
yasser: haha, ok, with a need, is the well -being
hoda: aaaaaa. i love you and become good, hahahaha
yasser: lacofi. his closure was broken
hahahaha
yasser""
simple hadawi, my dog ​​will be stingy on him with this word, hahaha, ashamed of me, my love, i called her mother, my mother
mother: alo, hala yam, yousouri
yasser: all al hala big
mother: how are you, your brother, mohamed shalonah
yasser: thank god, you are fine, how are you?
mother: praise be to god, fine. its time
yasser: how many days and naji, god willing
mother: god willing
yasser: eat his mother
mother: hajji, hear you
yasser:
mother: oh, this is the blessed hour
yasser: hahaha
mother: but, where is her for her to know her, her people know you, how are you?
yasser: .......
mother: oh, hey, and yes, the choice is forgiven, and my hand is the girl of origin
yasser: god is generous, but he is the father of the father, and keshi is easy, god willing
mother: olide spoiled
yasser: let's take his mother
mother: god and you are safe
i forbade the contact, my mother, and i am more happy, but the tact of her argument with a reasonable head, what is it.
i went to abraham for his pill as a d'or who will be on the only one on the mobile and laughs.
ibrahim: draw baba, you are after you
yasser: hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
ibrahim: and god has the right that i am a young man and my head is sixty luck ... after him he performs hajj and raised his eyes on him
ibrahim: what is the daughter of muhammad. you all love you .... i shook my head
yasser: hi, the daughter of my dog
ibrahim: hahaha, may god grant you success, and you will be your share that i did not bear your luck and his bloc.
yasser: receive your eyes, dear, but you see that i am afraid, and they do not reject its people, and god is the one who turns the world on them if they do not want it
ibrahim: ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser: ha -ha -ha -ha -ha, i will go to it, i will cook it
ibrahim: get up your house from the growth of yesterday. listen to you, you will be slaughtered.
yasser: ha -ha -ha -ha
ibrahim: ambine and laughter
his chastity completes his correspondence and i slept. to complete the story, subscribe to my channel and continue the events","我分心，我对交流和信件感到满意，他的爱增加了，但是到目前为止，我已经承认了一些事情。今天，我的家人决定去讲道，罗丹（Rawan）去莫特达（Mortada），这是界限中最大的快乐。我们每小时都会脱下我的狗。
母亲：当我疲倦和今天的疲劳时，我很崇高。
霍达：他的邻居的可能性没有地毯。
母亲：fadwwah是房子房子的曙光
霍达：我不想留住我。
艾哈迈德（Ahmed：
他毁了自己的一天，从中原谅我
霍达：哈哈-ha -ha -ha，不亲爱的，
艾哈迈德：上帝，你是女孩，梦见一匹马后，她们变黑了
Hoda：亲爱的，通过梦想完成您的方式和他的梦想
艾哈迈德：我是上帝发誓，我会击退你
我去找妈妈，然后去睡觉。
Yasser：当时的那一天，上帝愿意
霍达：......
Yasser：Hoda，我爱我
霍达：Yasser
亚瑟：他的眼睛
霍达：我爱你
Yasser：这是我的形状
霍达：哈哈哈哈哈哈哈哈哈
Yasser：我的形式
霍达：我没有
Yasser：有吸引力，上帝听到了
霍达：我听到的
Yasser：Hoda，让我的狗，Eidi al -hajiti，在Shui之前，因为他听到了
霍达：如果您听到她走了什么，为什么要问哈哈哈
亚瑟：他用马摧毁了它
霍达：哈哈哈
Yasser：如果不是她的盛宴上的马
Hoda：Maaanah Hahaha
Yasser：哈哈，好的，有需要的是井
Hoda：Aaaaaa。我爱你，变得很好，哈哈哈哈
Yasser：Lacofi。他的关闭被打破了
哈哈哈哈
Yasser”
简单的哈达维，我的狗会用这个词对他来说，哈哈哈，我的爱感到羞耻，我叫她的母亲，我的母亲
母亲：Alo，Hala Yam，Yousouri
Yasser：All Al Hala Big
母亲：你好吗，你的兄弟，穆罕默德·沙洛那
亚瑟：谢谢上帝，你很好，你好吗？
母亲：赞美上帝，很好。是时候了
Yasser：几天和纳吉，上帝愿意
母亲：上帝愿意
Yasser：吃他的母亲
母亲：哈吉，听到你
Yasser：
母亲：哦，这是有福的时刻
Yasser：哈哈哈
母亲：但是，她在哪里认识她，她的人民认识你，你好吗？
Yasser：.......
母亲：哦，嘿，是的，选择是原谅的，我的手是原籍女孩
Yasser：上帝很慷慨，但他是父的父亲，Keshi很容易，上帝愿意
母亲：olide宠坏了
Yasser：让他的母亲
母亲：上帝，你很安全
我禁止接触，我的母亲，我更加高兴，但是她以合理的头脑争论的技巧是什么。
我去亚伯拉罕（Abraham）作为D'或将在手机上唯一的笑声并笑的人。
易卜拉欣：画巴巴，你在追随你
Yasser：Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah，Ah，
易卜拉欣：上帝有我是一个年轻人，我的头是六十个运气...在他之后，他表演了朝j，并向他抬起眼睛
易卜拉欣：穆罕默德的女儿是什么。你们都爱你...我摇了摇头
Yasser：嗨，我的狗的女儿
易卜拉欣：哈哈哈，愿上帝赐予你成功，您将是您的分享，我不承担您的运气和他的众多。
Yasser：亲爱的，您会收到您的眼睛，但您会看到我害怕，他们不拒绝其人民，而上帝是那个在他们不想要它的世界上转向世界的人
易卜拉欣：ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser：ha -ha -ha -ha -ha -ha，我会去，我会做饭
易卜拉欣：从昨天的成长中起床。听你说，你会被屠杀。
Yasser：ha -ha -ha -ha -ha
易卜拉欣：男生和笑声
他的贞操完成了他的信件，我睡了。要完成故事，请订阅我的频道并继续活动"
8072,Ugw-38m-b7Otdv42gJd4AaABAg,0,great video! i love to follow the everyday worries of a sweet family,很棒的视频！我喜欢跟随一个甜蜜家庭的日常忧虑
36798,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9H5QWSA9MBM,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36694,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ9H5QjZVXd1k,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36596,Ugz4ucYZI6N-r4WcsId4AaABAg,0,"why is all this food being prepared? it's beautifull, incredible to watch, makes you really wonder at all the work that went into feeding a family trhough winter before convenience stores and refrigerators, but still, is she prepararing all this food for her family, for video, for sale?",为什么准备所有这些食物？这是美丽的，令人难以置信的观看，让您真的很想知道在便利店和冰箱之前喂养一个家庭的所有工作，但是她是否还是为家人准备所有这些食物，以供视频出售？
9402,Ugwj_FlgQ1FYb04NFt14AaABAg,0,"you are a very honorable lady i expect fortune in your life, it is also very beautiful and knows how to cook <3 blessings' for your family",你是一个非常光荣的女士，我期望你一生中的财富，它也很漂亮，知道如何为家人做饭<3祝福'
36313,UgwdblEVDuJ8IY7Hpkl4AaABAg.8uWWAQqRoLM9H5UcSky7YU,0,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
42081,UgzHwH53ve_D6Tly_Nh4AaABAg,0,"just wondering..., there are definitely diff puppies each year in all the various videos since she's been posting these (see may 27th 2018, another one in the 2017 videos & now two more different puppies here in 2019 etc.. for example) and you never see affection shown for them in any of the videos that i have seen so far....
i know that most of the chinese people still eat dog meat at least once a week (some much more often) do you know if the diff puppies ever make it to being pets? during the timeframe that the videos have shown the puppies in the earlier videos they are never are shown growing older....very troubling for people in the west that love them like family members. anyone seen any videos of the puppies from may 2018 or the one in 2017 being older or currently alive with her?","只是想知道...自从她发布这些视频以来，所有各种视频中肯定有Diff幼犬（请参阅2018年5月27日，2017年视频中的另一个，现在在2019年在这里有两只不同的幼犬等。例如）而且，您从来没有看到我到目前为止看到的任何视频中对他们展示的感情。
我知道，大多数中国人仍然每周至少每周吃一次狗肉（有些人更频繁）您知道diff幼犬是否曾经成为宠物？在时间范围内，这些视频已经在早期的视频中展示了这些幼犬，它们从未显示出年龄的增长。...对于像家人一样爱他们的西方人非常困扰。有人看过任何关于2018年5月的幼犬的视频，还是2017年的幼犬视频，或者现在与她一起活着？"
42536,Ugxs6JkqV_V8aEHXpdN4AaABAg,0,the family of ly tu that is beautiful,美丽的家族
42285,UgyQoT4InHc0Z8rWo7J4AaABAg.8rhspoPdYK98rxthLOtwee,0,don't worry she is a city girl. she just goes there to make the videos with her family.,别担心她是一个城市女孩。她只是去那里与家人一起制作视频。
1585,Ugwzh5OpkMKZCL_lJaB4AaABAg,0,"hello, i present the general director of the humanoid family of native americans in all parts of the
world 
we are advanced ...
these religious laughed, mocked laughter of how the natives die for doing all of them happily ... we give our life and never respect us or listen to us 
it is the time of world -world native students and we will be paid to study 

to the natives we become more money than you use owes to china","您好，我介绍了美洲原住民的人类家族的总董事
世界
我们先进...
这些虔诚的笑声，嘲笑的笑声，对当地人为了幸福地做所有人而死……我们付出了生命，永远不要尊重我们或听我们的话
这是世界上的时代 - 世界本地学生，我们将获得付费学习

对于当地人来说，我们比您使用的欠中国更多的钱"
1912,UgxFbMuJmFZhp7IUCRJ4AaABAg,0,"god bless this family .
peaceful ... what a beautiful harmony... 
far from a city and technology .
real life is maturely simple.","上帝保佑这个家庭。
和平...多么美丽的和谐...
远离城市和技术。
现实生活很简单。"
