,cid,votes,time,含simple,含simple中文翻译
44137,Ugw4RMFgcLFcCbyj3lJ4AaABAg,0,4 years ago,in each detail shows the perfection of the process. like simple movie,在每个细节中都显示了过程的完美。就像简单的电影
40261,UgyD8qgeBxwys-qyj054AaABAg,0,4 years ago,this simple and peaceful life & this pretty girl doesn't know where ??,这种简单，和平的生活和这个漂亮的女孩不知道在哪里？
44426,UgznGU4ip9D4NAKQkdt4AaABAg,0,4 years ago,this so simple and so cute,这么简单可爱
40166,UgyBooPh1avLqcAkcRd4AaABAg,0,4 years ago,a very simple life we can have!,我们可以拥有的一个非常简单的生活！
38008,UgwymeBmPkTYeRw6Oid4AaABAg,0,4 years ago,"everything looks so good.i want to live a nice, quite village life you do.everyone in your village seems to be so humble and lead a simple life.it's a very peaceful environment.thanks for the video.",一切看起来都很好。我想过上一个美好的乡村生活。您村里的每个人似乎都很谦虚，过着简单的生活。这是一个非常宁静的环境。感谢视频。
38015,UgwFQfSqttywjJS0AOZ4AaABAg,0,4 years ago,im jealous of here simple and peaceful life..,我嫉妒这里简单而和平的生活..
45022,UgwlJw_JPerNq10MCN54AaABAg,0,4 years ago,"as if you are in the second procession of nature, the spirit of the soul..i have known what they are like 120. they live a simple and quiet life, everything is natural and far from the tension of the daily life of lingo in this era.",好像您处于自然的第二个游行一样，灵魂的精神..我知道他们的样子120。他们过着简单而安静的生活，一切都是自然的，远离这个时代术语日常生活的紧张感。
44996,Ugwkdi-0Uf8Y5vI-8e14AaABAg,0,4 years ago,a simple life but not everyone can do it,一个简单的生活，但不是每个人都能做到
38120,UgwwBjM55gggFW8ZetZ4AaABAg,0,4 years ago,"i'm simple person. when i hear digimon bgm, i hit like",我是简单的人。当我听到Digimon BGM时，我像
44883,UgzGNF2OZ7cWF_o6-jh4AaABAg,0,4 years ago,"just have a simple cs like that, hk is bothered
kb z: 01238605314","只有这样的简单CS，香港就会困扰
KB Z：01238605314"
48229,Ugxeeu1wdel9VPEGqF54AaABAg,0,4 years ago (edited),"peace is simple human make it complex
believe the creator, serve him, thankfull for what he given to us
sorry for deny your love allah","和平是简单的人使它变得复杂
相信创造者，为他服务，感谢他给我们的一切
抱歉否认你的爱阿拉"
38671,UgyMZL4TnbIosicCAx54AaABAg,0,4 years ago,"wes ayu, simple, smart, walah ....",wes ayu，简单，聪明，walah ....
38841,UgxxORyWRjAJZh9AFv94AaABAg,0,4 years ago,"i love hig, a simple and sweet life",我爱希格，一个简单而甜蜜的生活
38869,UgygWTW4sQl_LN60qAl4AaABAg,0,4 years ago,"natural, simple and perfect as i like the kitchen๐”๐”๐”",自然，简单而完美，就像我喜欢厨房
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,4 years ago,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
43724,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8revtqhh6VL,0,4 years ago,"don't want to sound mean, but this seems to good to be true. it gives me huge propaganda feels. perfect mix of cultural revolution, traditional lifestyle and modern world reduction. a huge big add for a more sustainable way of life? china 2050? 
the message itself is a beautiful one: work hard, live simple, honour your elders and don't copyy the west.","不想听起来卑鄙，但这似乎是真的。它给了我巨大的宣传感觉。文化革命，传统生活方式和现代世界的完美结合。为更可持续的生活方式增添了巨大的巨大添加吗？中国2050年？
信息本身是一个美丽的信息：努力工作，生活简单，尊重您的长者，不要在西方复制。"
39005,UgwR1FirvU9qUeKFT594AaABAg,0,4 years ago,"her videos is simple as her look
most beautiful video and traditional โค
just love the way she works and her works shows her patience.","她的视频很简单，因为她的外观
最美丽的视频和传统❤
只是喜欢她的工作方式，而她的作品表现出了耐心。"
44696,UgzIO6bQYCoEIKnMuJx4AaABAg,0,4 years ago,what you’ve been doing and the places your staying now is my longtime dream since childhood i never think it could happen but i see with my two eye... i really envy your simple lifestyle with all the nature beauty around you. i wish i could be at least your sister coz u have all my imagination dream,您一直在做的事情以及您现在住的地方是我的长期梦想，因为童年以来我从不认为会发生，但我两只眼睛看到了……我真的很羡慕您对周围所有自然美景的简单生活方式。我希望我至少可以成为你的姐姐，因为你有我所有的想象梦想
46654,UgwK4gegZAjpGLDTD8F4AaABAg,0,4 years ago,"sometimes i imagine myself if i can live the way you do, so simple and everything attached with the nature.",有时，我想象自己是否可以像您这样的方式生活，如此简单，并且一切都与大自然相关。
39253,Ugx_Va5A0zCv0jY9z3J4AaABAg,0,4 years ago,"when i saw your first video, i knew you were not a simple woman!",从看到你的第一个视频的时候，我就知道你不是一个简单的女子！
47755,UgwKJEoDpOFH06T2WXd4AaABAg,0,4 years ago,what a beautiful place to live.so relaxing and so simple.,多么美丽的居住地，如此轻松而简单。
39294,UgwpA6ZhIbOof6eq53d4AaABAg,0,4 years ago,omg like she is an angle and the place looks like heaven. sunflower seeds i love kuaci my all time favourite. and the way she cook was so simple and easy. i always wonder how they dry the mango now i know. thanks for sharing this wonderful video.,天哪，她是一个角度，这个地方看起来像天堂。葵花籽我爱kuaci我一直以来最喜欢的。她做饭的方式是如此简单和简单。我总是想知道他们现在知道它们如何干燥芒果。感谢您分享这个精彩的视频。
39367,UgzgRKVRmWBggRIBtr94AaABAg,0,4 years ago,beautiful simple and very christmas,美丽的简单和非常圣诞节
39684,UgzTK-aoEnRjaLByxyp4AaABAg,0,4 years ago,it's so calm and simple but beautiful ๐๐–ค๐–ค๐–ค,它是如此平静，简单，但美丽
39736,UgzpdJV1lpNcsAuHFgd4AaABAg,0,4 years ago,i wish that i can live life like this woow!!!! too simple,我希望我能像这样的生活生活！！！！太简单
46663,Ugz7_V73dIduPYnZdBB4AaABAg,0,4 years ago,"this vid made me a subscriber. miss my grandma, the aunts in the province, the home cooking & the simple life",这个vid使我成为了订户。想念我祖母，该省的阿姨，家庭烹饪和简单生活
44597,Ugzs8SYFZ8uCwd6Koa14AaABAg,0,4 years ago,simple living at its finest,最好的生活
44441,UgyuqjPnn8nIDk1YXc94AaABAg,0,4 years ago,love your clips and the culture that simple but it’s beautiful.,喜欢您的剪辑和简单的文化，但它很美。
46588,UgyztlwRUr36M8j1ELl4AaABAg,0,4 years ago,"the interpretation is good, very professional, but now these simple and traditional things in china are getting less and less.",演绎的不错，很专业，但现在中国这些淳朴传统的东西越来越少了。
40159,UgwFTt4gyNiYEGoiNFh4AaABAg,0,4 years ago,i love the way she is living.its simple and best...,我喜欢她的生活方式。它很简单，最好...
40163,UgzfPRywKjnyz98qeZx4AaABAg,0,4 years ago,they're life seems simple yet peaceful been watching their videos i love it,他们的生活似乎很简单，但是和平看着他们的视频，我喜欢它
44762,UgwxF0TFarciO6ZQvKh4AaABAg,0,4 years ago,"i miss this kind of simple life. it reminds me back home when i was a kid...now i live in a city where everybody rush everything and no time to take time and slow down all foods are either frozen or just ready to make throw them in the oven eat go to sleep wake up, have coffee in the morning and go to work!",我想念这种简单的生活。它让我想起了我小时候回到家...现在我住在一个每个人都匆匆忙忙的城市，没有时间花时间和放慢所有食物，要么冻结了所有食物，要么准备将它们扔到烤箱里吃睡觉醒来，早上喝咖啡，上班！
47,UgwuDEd9v3B0RZni7Od4AaABAg,0,10 days ago,"a beautiful, simple life full of vitality and life, thank you",美好，简单的生活充满活力和生活，谢谢
34786,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8w3WcJrZwxM,0,4 years ago,"@ninjaananas she got cameraman and assistant after her video became popular. she used to doing everything on her own which is pretty hard work (like all day until late night). even with helpers now, there is still a lot of work behind the scene. she grew up there, had worked in the city night club before went back for her eldly grandma and simple life style. as long as she can make living with her videos, it is perfect life for her, especially the precise time with her grandma.",@Ninjaananas她的视频流行后，她得到了摄影师和助手。她曾经自己做所有事情，这是非常艰苦的工作（就像整天直到深夜）一样。即使现在有了帮助者，现场仍然有很多工作。她在那里长大，曾在城市夜总会工作，然后回去为她的祖母奶奶和简单的生活方式。只要她能与自己的视频一起生活，这对她来说是完美的生活，尤其是与奶奶的精确时间。
12859,UgxsKuvNecArJeawo9t4AaABAg,0,2 years ago,li zipi i really love your lifestyle its so simple and perfect i wish my life is same as your i love ur vids by the way!!,李Zipi我真的很喜欢您的生活方式，它是如此简单和完美，我希望我的生活和您的我爱您的视频一样！
13373,UgxXJtepZ5u2bYiJYux4AaABAg,0,2 years ago,what a beautiful life simple but sweet life,多么美丽的生活简单但甜蜜的生活
15432,UgwqaBeNVb7XR71TsMd4AaABAg,0,3 years ago,"crazy, people nowadays are so interested living in a suburb or living simple life like liziqi. wonder what life looks like back in those era, men went hunting women do all the agriculture childrens learning from their elders. i really want to experience all that kind of life without thinking how to get money or rent a apartment etc. back in those days, we fckn build a house by using woods and without money. man i really wanted to live a simple life",疯狂，如今的人们非常感兴趣地生活在郊区或像Liziqi这样的简单生活中。想知道那个时代的生活是什么样的，男人去狩猎妇女，使所有农业儿童从长老那里学习。我真的很想体验所有这种生活，而无需考虑如何赚钱或租公寓等。在那时，我们通过使用树林和没有钱来建造房屋。男人，我真的很想过一个简单的生活
15437,UgxZ32pdb3YKF-KWdvt4AaABAg,0,3 years ago,"favorite video in this amazing channel, simple warm satisfied life..",在这个惊人的频道中最喜欢的视频，简单温暖满足的生活。
16170,UgyOHhwm2uOuge1jUzp4AaABAg,0,3 years ago,i really like your videos! congratulations on the simple way to live!,我真的很喜欢你的视频！祝贺生活的简单方式！
16184,UgwyYz8ey8onlhpNN7B4AaABAg,0,3 years ago (edited),"these videos relax me a lot. i miss you with life in the countryside.
in these quarantine times i have thought of how we need to turn to a simpler life.
may healing come soon.

hugs since brazil.","这些视频让我很放松。我想念你在乡村生活。
在这些隔离时期，我想到了我们如何转向更简单的生活。
愿康复很快来。

自巴西以来拥抱。"
16828,Ugy5Q2-7KEJer1yRZPF4AaABAg,0,3 years ago,"for many chinese people, such a simple life is also extravagant ~",对于很多中国人来说，如此淳朴的生活也是一钟奢侈啊~
17025,UgxpjNimAQ6Y1Yz1Ngl4AaABAg,0,3 years ago (edited),even you are reach person and famous..but you are still simple person in your small village...you inspired me ...,即使你是触手可及的人，也很有名..但是你仍然是小村庄里的简单人...你启发了我...
17174,Ugy0eelmI9pzks9Dkcd4AaABAg,0,3 years ago,"this is the one you call wonder woman. the woman who can cook n make delicious dish, food decoration, know about technology, simple and strong. i wan to to visit her, when i go to china",这是你称之为《神力女超人》的人。可以做饭的女人做美味的菜肴，食物装饰，了解技术，简单而强壮。当我去中国时，我想去拜访她
17233,UgxBh02T2Ne0I2RmQjB4AaABAg,0,3 years ago (edited),"it is peaceful and simple, very important",这是和平与简单，非常重要的
17253,UgzMFyxH4SH27d83_Kl4AaABAg,0,3 years ago,"can't go back anymore, how simple and beautiful this life is.",再也回不去了，这种生活多么朴实啊，多么美好啊。
17638,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98fAeu-LQxj,0,3 years ago,"@royaltyfreeonlineanimemusic the truth is, you wouldn't have an issue if someone like martha stewart could live a life of elegance, but can't accept the fact that an asian woman could beautify simple rural surroundings and create a lush oasis of beauty.",@RoyaltyFreeonlineAnimemusic的事实是，如果像玛莎·斯图尔特（Martha Stewart）这样的人可以过上优雅的生活，但不能接受亚洲女人可以美化简单的乡村环境并创造美丽的美感的事实。
18021,UgzVMlFBwVOvrsR7qvd4AaABAg,0,3 years ago,what a simple life,多么简单的生活
18073,Ugz8ilvTSzZ0BeehGAR4AaABAg,0,3 years ago,amazing! so simple and at the same time delighted with this atmosphere,惊人的！如此简单，同时对这种气氛感到高兴
18113,UgxcHyIBPM-BfmC4rzV4AaABAg.97JxvwtGvrB97T_9MXCNxc,0,3 years ago,"i have a simple recipe for tooth loss, and i was moved to death",我那有简单掉牙的菜谱，捧场感动死了
18144,Ugzq5Ar2lP4HuWB0oFJ4AaABAg,0,3 years ago (edited),"xanadu miji
the hostess diligent 达 foodist 
all foods are diligent and diligent in doing things in a simple life

in such a beautiful world of taoyuan life, i can still think of sharing life and food with people all over the world through shooting videos and editors that not only convey chinese culture and food, but also see how smart you are.

do you still have it?
but to be honest, people in the first -tier cities may not be so rich in your family.

it is indeed all right 有


i suddenly gave birth to a thought that mr. photographer (lady) found that the potential of the heroine was moved by some things to help her? did she live with grandma since she was a child?","世外桃源 美极了
女主 勤奋
所有的食物都是亲自做出来的 勤勤恳恳的做事 朴实的生活

在这么美的世外桃源生活依然能想到通过拍视频和编辑 把生活和美食分享给全世界的人看 不仅传达了中国文化和美食 还看到了你是多么聪明伶俐的一个人 像女主这样的人世间难求

你还有不会的吗？
不过说实话 一线城市的人也未必有你们家这么富有

确实是应有尽有啊 


我突然萌生了一个念头 是不是摄影师先生(女士)发现了女主的潜力 被某些事所感动 特地帮助她的呢？她是从小跟奶奶生活的吗？"
18200,UgwYeI7ZFYXQs3yP6s54AaABAg,0,3 years ago,"a beautiful family, a simple life and a courageous girl",一个美丽的家庭，一个简单的生活和一个勇敢的女孩
18415,UgxAu6wKdNdmUOdLutZ4AaABAg,0,3 years ago,tbh i want to have simple life like her,TBH我想像她一样过着简单的生活
18765,UgwSh_MT2e0CSEmfMRZ4AaABAg,0,3 years ago,great girl life is simple,伟大的女孩生活很简单
18948,Ugwkx1xK_Wkf8uj1xtt4AaABAg.96PicudqRt_96gu1JpCp7B,0,3 years ago,"shen le taobao has the kind of three -in -one installation, plus a cover -covered wok, you can explode by yourself, very simple and delicious, hahaha",沉乐 淘宝有三合一装的那种自己爆，再加一个有盖的炒锅就可以自己爆了，很简单还好吃，哈哈哈
19358,Ugz--tWUqV1NJDLowi94AaABAg,0,3 years ago,"very appetizing 
subscribe to my channel. i am a newcomer to youtube, i want to try myself in this matter. i will lay out simple and affordable recipes for you.","非常开胃
订阅我的频道。我是YouTube的新来者，我想在此问题上尝试自己。我将为您提供简单且负担得起的食谱。"
19812,UgyK0v5bMxAyUGUKMM94AaABAg,0,3 years ago,"子 漆 ahh i don't know what to do so much that i'm bored and i'm overwhelmed, most importantly, i'm tired, i don't want to think about it anymore, what a calm and simple life would be good.",子子啊，我不知道该怎么做，以至于我感到无聊，我不知所措，最重要的是，我很累，我不想再考虑一下，一种平静而简单的生活会做好。
19876,UgxcUY-1LaOuk2bXDxh4AaABAg,0,3 years ago,she has made her life simple and happy.,她使自己的生活变得简单而快乐。
19883,UgxRy3gsq7l2V6O4ISV4AaABAg,0,3 years ago,"there are too many things that up master will do. the lens is too beautiful. it seems to be a simple day for chinese farmers, but it is so bland and wonderful.","up主会做的东西也太多了. 镜头拍摄的也太唯美的, 看似中国农民简单的一天, 却又如此的平淡而精彩. 平平淡淡才是真,"
19912,Ugyft6OnnHP--zAWSuB4AaABAg,0,3 years ago,"this is best life. simple and rich in natural way. they have plenty of fruits and vegetable, have goats and maybe they have river to catch fish. they don't even need to buy gas for their stove. indeed they are blessed",这是最好的生活。简单而丰富的自然方式。他们有很多水果和蔬菜，有山羊，也许他们有河可以钓鱼。他们甚至不需要为炉子购买汽油。的确，他们很幸运
19972,UgyC7sxF6IJLN8vqlqF4AaABAg,0,3 years ago,"this simple, humble, good , full, and fantastic",这个简单，谦虚，良好，饱满，很棒
20070,UgwpxS9_fMOf7yltcol4AaABAg,0,3 years ago,amoooooo .... your channel. it inspires me to want to win a land to live just like you. simply simple ๐๐๐๐,Amoooooo ....您的频道。它激发了我想赢得像您一样生活的土地。简单的
20139,Ugy6rL-Ighdmd08ZT4N4AaABAg,0,3 years ago,beautiful ...... simple .... ....,美丽……简单................................
20456,UgxqI8-Rj1X35JtrBRR4AaABAg.94WG1rmiizB94chaAwP9CS,0,3 years ago,"@meowskylev4785 again very much. everyone prefers to show the beauty of the united states in life. this is nature, and she also has an artistic atmosphere, so the indoor decoration is simple and comfortable. even if she wore a dilapidated cloth shirt, i also felt that there was a taste of her own, which was beautiful!",@meowskylev4785 非常赞同
20945,UgzfkW8q5S9HWER_8iN4AaABAg,0,3 years ago,"okay. i'll be honest but i really like this kind of life where there's a simpleness and such a beautiful quite place with that little cutie patootie puppy. but guess what, people likes to have a huge house and live like a princess. i salute to this girl who literally lives like a normal life.",好的。老实说，但是我真的很喜欢这种简单性和如此美丽的地方，带着那种小小的可爱的patootie小狗。但是猜猜是什么，人们喜欢拥有一个巨大的房子，像公主一样生活。我向这个女孩致敬，她的生活就像正常的生活一样。
12985,UgxQPbiYEkE93d2Ap7N4AaABAg,0,2 years ago (edited),"hey liziki,
this is ahmed from egypt and i watched your videos and your simple life ...
i don't know if you receive a request like what i request you ...
to be honest, i want to share you that life ... yes i really want to do it ... i get? finish ... i get bored from work that i do when my set to live a live like your ... i really want to live a

maybe you find this message strange or you find me that am idiot but i really live this simplicity
wish you receive a positive reply from your side
ahmed from egypt

hey lizhi,
this is egypt's ahmed, i watched your video and your simple life ...
i don't know if you received the requirements similar to my requirements ...
honestly, i want to share my life with you ... yes, i really want to do it ... i am bored with egyptian life ... i am bored with a doctorate degree. i don't think this will be completed ... i feel bored with work, i can't see myself ... i really want to live a life like you ...

maybe you find that the news is strange, or you find that i am an idiot, but i really hope that life is so simple
i hope you can receive your positive reply
ahamede from egypt","Hey Liziki,
This is Ahmed from Egypt and I watched your videos and your simple life ...
I don't know if you received a request like what I request you ...
To be honest, I want to share you that life ... Yes I really want to do it ... I got bored from life here in Egypt ... I got bored from my Ph.D that I feel that it will not finish ... I got bored from work that I don't see myself in ... I really want to live a life like yours ... 

Maybe you find this message strange or you find me that am idiot BUT I really wish live this simplicity
Wish you receive a positive reply from your side
Ahmed from Egypt

嘿利齐基， 
这是埃及的艾哈迈德（Ahmed），我看了您的视频和您的简单生活... 
我不知道您是否收到类似我要求的要求... 
老实说，我想与您分享生活...是的，我真的很想做... ...我对埃及的生活感到无聊...我对博士学位感到无聊，我觉得这不会完成...我对工作感到无聊，我看不到自己...我真的很想过上像你这样的生活... 

也许您发现此消息很奇怪，或者您发现我是个白痴，但我真的希望生活如此简单 
希望您能收到您的肯定答复 
来自埃及的艾哈迈德"
12439,Ugyjz4Cf8pONvk5NV5t4AaABAg,0,2 years ago,its so simple i would like to have these life,它是如此简单，我想拥有这些生活
21319,Ugxsh-NZQ539cnrPE7t4AaABAg,0,3 years ago,"i love your videos very much, you return to nature and simple and happy life, i learned a lot of you, madam, thank you very much, please communicate",我非常喜欢你的视频，你回到大自然和简单快乐的生活，我学到了很多你，女士，非常感谢，请交流
12418,UgzBEtlNfPw0dgLSmHV4AaABAg,0,2 years ago,"you are really good, your life a lot of people dream. and i also wish to have life like you, simple and happy.",您真的很好，您的生活很多人都梦想着。我也希望像您一样过着简单而快乐的生活。
