,cid,votes,time,含cook,含cook中文翻译
47186,UgyZ1eTjdS7iMhN3s2h4AaABAg.8qpgYRhUNW18qrtrL0kOCs,0,4 years ago,"yes she indeed try to shoot the video beautifully. but there's nothing wrong with that. by the way, she really cooked all those but skipped some details which she think unnecessary. she wants to keep the video short and tight thus to lift the quality",是的，她确实试图精美拍摄视频。但这没什么错。顺便说一句，她确实煮了所有这些，但跳过了一些她认为不必要的细节。她想保持视频短而紧密，从而提高质量
47191,UgybcW1U4kNj5OMsBsl4AaABAg,0,4 years ago,"she is the woman with whom every man dreams, she is beautiful, hardworking, she knows how to cook, home, humble, dominates culinary arts, agriculture, gardening, it is asian, etc. etc .... let's marry. i love you",她是每个人都梦想着她美丽，勤奋的女人，她知道如何做饭，家，谦虚，统治烹饪艺术，农业，园艺，是亚洲人等。我爱你
47238,UgxY1fvdJniH-EVgrM94AaABAg,0,4 years ago,"thank you for the subtitles they help tremendously. is all that food for your grandma or is that a store you are preparing the food for? either way you are a great cook, keep up the good work.",感谢您的字幕，它们非常有帮助。这是您奶奶的所有食物，还是您正在准备食物的商店？无论哪种方式，您都是一个很棒的厨师，请继续努力。
48371,Ugw8IzAsp1aX3NM-UYR4AaABAg,0,4 years ago,i'd love to come for a week and learn your cooking techniques!!,我想来一个星期来学习您的烹饪技巧！！
47239,Ugz35s34DVy4Hib8fth4AaABAg,0,4 years ago,did they cook up the lamb?,他们煮了羔羊吗？
47458,UgwjBnxG2fKmR_GU9054AaABAg,0,4 years ago,i really love the videography. so pleasing to watch and the cooking is truly appetizing!,我真的很喜欢摄影。非常高兴观看，烹饪真是令人开胃！
47503,UgzHV8SOORbUwIn2kAZ4AaABAg,0,4 years ago,whats the white rock they always use in cooking..? sugar?,他们总是在烹饪中使用的白色岩石是什么？糖？
47564,Ugw0WJqimk7gqAGNw4N4AaABAg,0,4 years ago,chinese new year celebrations prep. good work. i wish she lived in my neighbours and i would happily eat whatever she cooks.,农历新年庆典准备。做得好。我希望她住在我的邻居里，我会很高兴吃她做饭的东西。
47681,Ugyfd0XJaOWOYyapfXd4AaABAg,0,4 years ago,"there is not why, but what cooks is women, i love it
so if i like a dog ..","没有原因，但是厨师是女人，我喜欢它
所以，如果我喜欢狗。"
48347,UgyPbQetUcVCtBzzkI94AaABAg,0,4 years ago,hello from new jersey! thank you so much for your beautiful cooking. i can't wait for the next video!,来自新泽西州的您好！非常感谢您的美丽烹饪。我等不及下一个视频了！
47702,UgzNPBXpVoaBRVjXfBF4AaABAg,0,4 years ago,do you chinese cook so much oil? it's hard to eat,你们中国人煮饭都用那么多食用油吗？很难吃阿
48025,Ugy07VPDRPWK1KD5o-F4AaABAg,0,4 years ago,"each of your videos represents the natural beauty and beautiful side of the rural life, depicts fresh food cooking in the village. but all the villagers have not been able to live like there. if all the rural life was beautiful like there then i did not need so called heaven. looking at your video, i'm in crush with you...",您的每个视频都代表着乡村生活的自然美景和美丽的一面，描绘了村里的新鲜食物烹饪。但是所有的村民都无法像那里一样生活。如果所有的农村生活都像那里一样美丽，那么我就不需要这样称为天堂。看你的视频，我和你迷恋...
48045,UgwfDQOcssupn-FqBfl4AaABAg,0,4 years ago,kung hei fat choi... how i wish i could taste all what you cooked love it so much,功夫fat choi ...我希望我能品尝到你煮的所有东西，非常喜欢它
48279,UgxH_JtbknvVqAbBwxx4AaABAg,0,4 years ago,i very love her cooking skill,我非常喜欢她的烹饪技巧
48060,Ugw6DEmXvgNBVcGHqZN4AaABAg,0,4 years ago,it’s so soothing to watch her cook etc before i go to bed.,在我上床睡觉之前，看着她的厨师等真是太舒缓了。
48087,UgzZtukgAu8Xv-b9e894AaABAg,0,4 years ago,god level cooking! let's see chefs critique historical foods when there is no comparison..,上帝水平的烹饪！当没有比较时，让我们看看厨师批评历史食品。
47046,UgxqBFpDCT3fnlqJNg54AaABAg,0,4 years ago (edited),"how did this cook? 3:34
(butter ـ marshmallow ـ flour ـ dried fruit )
is this true ???","这是怎么做饭的？ 3:34
（黄油ـ棉花糖ـ面粉ـ干果干果）
这是真的 ？？？"
46988,UgwKEZMXJry_JTnzpvF4AaABAg,0,4 years ago,u actually knew the art of cooking,你实际上知道烹饪的艺术
46964,UgwwlqlIu5Mu4dZi9sx4AaABAg.8qqaMf5Jd9a8qsMJoQ5C4F,0,4 years ago,"@user-fw8zo1rr6x i tell you, she's the best chinese cook i've ever seen......",@user-fw8zo1rr6x我告诉你，她是我见过的最好的中国厨师……
46482,UgznZcBxbXqbv3qqUCN4AaABAg,0,4 years ago,"love this ...was the cooking skills self taught or through school..omg shes amazing, she will get many blessings from grandma",爱这个...是自学或通过学校的烹饪技巧。
46058,UgwzD4zywuCoclVjox94AaABAg,0,4 years ago,hey how are you please you are ingredients translate english please my family members like you very much and your natural ingredients used by cooking thank you best of luck,嘿，你好吗，你是你的食材翻译英语，请我的家人像你一样，烹饪使用的天然成分谢谢你最好的好运
46064,UgxzFbUvuYTJ1iRLozZ4AaABAg,0,4 years ago,how come people cook first,人们为什么先做饭
46091,Ugz_DAarGlFTwG2OwAx4AaABAg,0,4 years ago,you are amazing. when you cook please instruct in english also. i don't know chinese language. it's so helpful all,你很棒。当您做饭时，请用英语指示。我不知道中文。一切都很有帮助
46182,UgyFxIZQKKcGE0Oj-bd4AaABAg,0,4 years ago,"plz make a vedio 
. prepare cooking oil","plz做一个吠陀
。准备食用油"
46232,UgxwPeb1sQn884gVGER4AaABAg,0,4 years ago,already beautiful smart cooking ♥,已经很漂亮的聪明烹饪♥
46358,UgyF5kREauo9nneuFXl4AaABAg,0,4 years ago,thank you for another beautiful video. i always feel so in touch with nature watching your videos. it would be a wonderful experience to be able to spend some time with you cooking and learning some of your traditions.,谢谢您的另一个美丽的视频。我总是与观看您的视频保持联系。能够花一些时间与您一起做饭和学习一些传统，这将是一次很棒的经历。
48817,Ugw2-Xp2ZfiQ9uX6m494AaABAg,0,4 years ago,am i the only one wondering y she cooked so much food,我是唯一想知道她煮了很多食物的人吗
46366,UgyOlCDotpyYm0qADiR4AaABAg,0,4 years ago,she cooks so many food,她煮了很多食物
48809,UgyBEwhFBa-MMyE9vM54AaABAg,0,4 years ago,your cooking skills are amazing,您的烹饪技巧很棒
46368,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qv4fspWIOI,0,4 years ago (edited),"萩邪 she's the one representing herself as someone living primitively in a rural area using primitive tools. if she wants to demonstrate to the world how one can live, cook, almost primitively while having their own tv crew and production budget which includes an interior/exterior renovation so that it's visually pleasing to a youtube audience, great, that's her prerogative and i hope she gets paid well to act the part in her flowing dresses and model poses. but, she or her production company should explain that in her channel so her audience are not questioning the reality of the “show” as entertaining and contrived and staged as it may look. okay? seriously, are we really expected to believe that she dragged half a dozen 60' long bamboo poles down a mountain, across a large field, and back up the mountain to her farmhouse? and, is that old lady even her grandmother?",她是代表自己是使用原始工具在农村地区原始生活的人。如果她想向世界展示一个人如何生活，做饭，几乎是原始的，同时拥有自己的电视工作人员和制作预算，其中包括室内/外部装修，以便对YouTube观众视觉上令人愉悦，这是她的特权，这就是她的特权和我希望她能获得良好的薪水来扮演自己的飘逸连衣裙和模特姿势。但是，她或她的制作公司应该解释说，在她的频道中，她的观众并没有质疑“表演”的现实，因为它看起来很有趣，人为地和上演。好的？认真地说，我们真的希望她相信她将六根60'长的竹竿拖到山上，越过大田，然后将山上拖回她的农舍吗？而且，那个老太太甚至是祖母吗？
46395,Ugxmk--XFL84KkYdjVx4AaABAg,0,4 years ago,"anyone else notice after she cooks the meat, the lamb is not seen again.",其他任何人都会注意到肉后，再也看不到羔羊。
46520,Ugzz268xbyk_Lsbmh7Z4AaABAg,0,4 years ago,"great video as always. that's a nice way of living.
food is a great journey and amazing to taste new things in live. my kids are the same, watching my channel and telling me daddy cook that tomorrow.","一如既往的精彩视频。那是一种很好的生活方式。
食物是一次很棒的旅程，可以在现场品尝新事物。我的孩子是一样的，看着我的频道，告诉我爸爸明天做饭。"
48554,UgxqhxjRj4cQb2wzPkF4AaABAg,0,4 years ago,love love love this video. i would love to see her have a cook book with all of these in them. i am sure there are a lot of people that watch this it would be more than happy to buy them from her.,爱爱爱这个视频。我希望看到她在其中有一本厨师书。我敢肯定，有很多人看着这一点，很乐意从她那里购买它们。
46569,UgwkxH7BcbjrvFTef4N4AaABAg,0,4 years ago,"she is pretty n cute.
cooking is cleanly done.
all are natural food.
mouth watering.
happy chinese new year.","她很可爱。
烹饪干净完成。
所有都是天然食品。
垂涎三尺。
农历新年快乐。"
48628,UgzE-ryJHwAB0RdYEUt4AaABAg,0,4 years ago,can you post recipes below the videos and also where can i find a small portable cook top in ceramic/clay as you seem to have on hand all the time. thank you. f. j,您可以在视频下方发布食谱吗？在哪里可以找到陶瓷/粘土中的小便携式厨师上衣，就像您一直在手上一样。谢谢。缩略词
46637,Ugxzf9SxE3N9qakYudx4AaABAg,0,4 years ago,city girls nowadays can't even cook rice. totally helpless in a rich land of china. this girl shows how china became rich.,如今，城市女孩甚至无法煮米饭。在中国的丰富土地上完全无助。这个女孩展示了中国如何变得富有。
46663,Ugz7_V73dIduPYnZdBB4AaABAg,0,4 years ago,"this vid made me a subscriber. miss my grandma, the aunts in the province, the home cooking & the simple life",这个vid使我成为了订户。想念我祖母，该省的阿姨，家庭烹饪和简单生活
46699,UgzaNtr1Dl0nG6v4Qxp4AaABAg,0,4 years ago,perfect to watch and the prepation of cooking is very clean and traditional. thanks a lot im from philippines.,非常适合观看，烹饪的准备非常干净和传统。非常感谢菲律宾的我。
46724,UgxsChLLaXCMin5Lja14AaABAg,0,4 years ago,this kind of food cooking is really even today in china's countryside.,这种食物烹饪确实在今天在中国的乡村。
48594,UgxhP3m9FE9itryeNGt4AaABAg,0,4 years ago,dang! all that cooking from scratch and her home is cleaned too???,dang！从头开始的所有烹饪，她的家也清洁了？？？
46735,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998r-JKlMom_2,0,4 years ago,the sheep disappeared after she cooked the meat... mmm... @bangiko19,绵羊在煮肉后消失了...嗯... @bangiko19
48588,UgxFKo6WA_V1Y81oG7B4AaABAg,0,4 years ago,"can you also send info on where to buy clay cooking utensils and woks too ! thanks, f. j",您还可以发送有关在哪里购买粘土炊具和锅的信息！谢谢，F。J
46859,Ugy3IdDhg3u4qJakMG94AaABAg,0,4 years ago,i like your videos and cooking skill but one thing i dont like that you necglect your pupies and you eating in front of that pls share your food with them.thanks,我喜欢您的视频和烹饪技巧，但我不喜欢您的一件事
46904,UgxcqCG0bYOflZLwPJF4AaABAg,0,4 years ago,will be cooked and beautiful,又会煮又漂亮
43849,UgzmaXWEhw1LnwORVLB4AaABAg,0,4 years ago,women who can cook are very attractive eyes,会做菜的女人就是很有吸引人的目光
43841,Ugwo-Mt7JcMLyvCtsqZ4AaABAg,0,4 years ago,i love how you made them also on what you are using to cook,我喜欢您如何制作他们用来做饭的东西
43837,Ugys83aD0ruCGcrac-V4AaABAg,0,4 years ago (edited),"almost all woman from east cooks food for husband and her family everyday.. sometime, it is very tired but.. happy when realizing our husband n children back to home and eat the foods together happily..",东部几乎所有女人每天都为丈夫和她的家人做饭。
43678,UgydE6ODcmBqAfCbwON4AaABAg,0,4 years ago,i'm from india i like cooking style grateful making videos,我来自印度，我喜欢烹饪风格的感激您的制作视频
40178,UgybythuYjIbVZRYzP14AaABAg,0,4 years ago,ps: she is a good cook ...,PS：她是一个好厨师...
40219,UgzHxOrBdFSa0j8yLCN4AaABAg,0,4 years ago,waaah she is so hardworking lady plus know how to cook,waaah她是如此勤奋的女士加上知道如何做饭
40236,Ugyq9zzUGp9rpgz4Gqp4AaABAg,0,4 years ago,shes a good cook,她是一个好厨师
40241,UgztKqJg-MjkbfoWeCJ4AaABAg,0,4 years ago,who gets to eat all this delicious food? i mean she cooks a lot ?,谁可以吃所有这些美味的食物？我的意思是她做饭很多？
50334,UgyasPZpGo2ncbi5y9N4AaABAg,0,4 years ago,i am new cooking so can you saw in english,我是新烹饪，你能用英语看到
50299,Ugz4NzxzuW7YsyZVU7N4AaABAg,0,4 years ago,mmm! that's lovely. what patience to cook.,嗯！这是可爱的。做饭的耐心。
40354,Ugz8x0dGa_8dSruFuuZ4AaABAg,0,4 years ago,beautiful beautiful smart cooking ...,美丽的美丽聪明烹饪...
40410,Ugz1cqU60G6Yp40M6Mx4AaABAg,0,4 years ago,"the food looks amazing , i've never correlated the raw ingredients with chinese food.. i don't like heavy food . when i see her cook with grace down to picking the foods from a tree or ground it really lights up my curiosity for more culture taste testing , eating sushi does not make the cut",食物看起来很棒，我从来没有将原料与中国食物相关联..我不喜欢重物。当我看到她的恩典烹饪以从树或地面捡起食物时，它确实点燃了我对更多文化口味测试的好奇心，吃寿司不会削减
40451,UgwX8k116zGXCHGJMvt4AaABAg,0,4 years ago,i really like the cookware that you use ...,我真的很喜欢您使用的炊具...
40517,UgzwjMhgj4jdT0dkNdV4AaABAg,0,4 years ago,"it's beautifully peaceful. the environment, cooking. dreamy...",它是美丽的和平。环境，烹饪。梦幻...
40679,UgzkPKohKUfQtBGLOTh4AaABAg,0,4 years ago,that little sheep doesn't know that one day it's going to be cooked and video taped to be published in this channel.,那小绵羊不知道有一天会煮熟，并录制录像带以在此频道上出版。
40763,Ugxc_iaUagRxfiv7Mtp4AaABAg,0,4 years ago,love from bangladesh..... i want to cook like you,来自孟加拉国的爱.....我想像你一样做饭
40790,UgzwvHPGhqNisQXNo9B4AaABAg,0,4 years ago,love your cooking style,爱你的烹饪风格
40833,UgyS_nh9I2c78VlRfAh4AaABAg,0,4 years ago (edited),"china's beauty is natural, surrounding spiral is awesome ... still uses antique cooking devices",中国的美丽是自然的，周围的螺旋形令人敬畏...仍然使用古董烹饪设备
40887,Ugx0F7HbWIqgg84V9p94AaABAg,0,4 years ago,this is really what i want in life. i’d do anything to have a beautiful place like this where i can grow plants and cook things and work on my art,这确实是我人生中想要的。我会做任何事情来拥有一个像这样美丽的地方，我可以在这里种植植物，做饭并从事我的艺术
50020,UgzX0HR0p5YA7HT8Qkd4AaABAg,0,4 years ago,did she cook the peanuts in dirt?!,她用泥土煮了花生吗？
40895,Ugy60VcdZlgDNFqiGKN4AaABAg,0,4 years ago,"yeah its good she know everything about cooking, but i wonder if she good at the bed too ?",是的，她知道做饭的一切，但是我想知道她是否也戴在床上吗？
40911,Ugxr58lUd1wyLVtnzwF4AaABAg,0,4 years ago,what's a naturally cooked by shef..,什么是自然煮熟的。
40932,UgyS7CAxyKsDRGcS4214AaABAg.8s3nojrjAaN8s3wC6lbxGg,0,4 years ago,"https://liziqi.tmall.com/ this is her flagship store in a chinese top online retailer. however, you should know that the business is very very very big, she cannot cook or made all these products by herself. most of the products are from authorized outsourcings. and even if you buy, i am not sure if these foods will suffer problems from mail systems or customs since you are in the eu. the best way is to go to sichuan and you will definitely get a chance to have dishes and snacks as she made, and enjoy beautiful sceneries there.",https://liziqi.tmall.com/这是她在中国顶级在线零售商中的旗舰店。但是，您应该知道，业务非常非常大，她不能自己做饭或制造所有这些产品。大多数产品来自授权外包。即使您购买了，我不确定这些食物是否会遇到邮件系统或海关问题，因为您在欧盟中。最好的方法是去四川，您肯定会有机会在她制作的菜肴和零食，并在那里享受美丽的风景。
41046,UgwnYPdKcYxW94-Ir2x4AaABAg,0,4 years ago,ur the best cook. btw the two dogs r so cute,你最好的厨师。顺便说一句，两只狗是如此可爱
41051,UgzmJs5sAEWDnjOcqp94AaABAg,0,4 years ago,amazing shes can cook everything,惊人的她可以煮一切
41144,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8sEHlpsT43s,0,4 years ago,"zhu wenbin just likes to live in the countryside, so cook himself. do n’t use a microwave oven in a microwave oven. do n’t have a refrigerator. see how they live! only those who have not done housework have always been taken care of and enjoyed, they want to return to the so -called childhood",朱文彬 就是 那么喜欢田园生活那就自己做饭好了 自己生火烧柴 不要用微波炉 烤箱 也不要有冰箱好了。看他们怎么活！只有没有做过家务 一直被照顾享受的人才会想回到所谓的小时候
41161,UgwKBjiPhklEF4YziQt4AaABAg,0,4 years ago (edited),"really i feel shy , you did alooot of hard work ! hard house works by hard ways! without any tecknology! how that! and how you can live happy like that lifestyle! i cook the lunch and feel so tired and hate my life! i hope be like u and feel like you",我真的很害羞，你做了艰苦的工作！硬屋用艰难的方式工作！没有任何tecknology！那怎么了！以及如何像这种生活方式一样幸福！我煮午餐，感到非常疲倦，讨厌我的生活！我希望你像你一样，感觉就像你一样，让你很高兴
41426,UgzlspzDYxRsIHPxKFt4AaABAg,0,4 years ago,love ur cooking.pls onw request do give english subtitles so we can understand the ingredients .n also would love to know the names of the different fruits n vegetables u grow n use.thanks for ur videos.,Love Ur烹饪。plsonw请求确实会提供英文字幕，以便我们可以理解成分。
41449,Ugyh525n66EBYuUMc1J4AaABAg,0,4 years ago,"it’s hard work, but i imagine this is as therapeutic to do as it is to watch. ^_^
(also, did she cook the lamb from the beginning? ;-;)","这是艰苦的工作，但我想这是像观看一样的治疗方法。 ^_^
（另外，她从一开始就煮过羔羊吗？; - ;）"
50358,Ugwq5JcP_iS2yWHMrV54AaABAg.8qlk_qbGlqs8qlrHHneDWD,0,4 years ago,yes no yeah her vids are awesome. and i wanted to know who she is. like she is an actress who demonstrates life in the village in china & makes it look like her life (but in reality she doesnt live there). but she seems to cook very well like its her own skills and not just acting. so i was confused and curious haha. thank u!!,是的，她的视频很棒。我想知道她是谁。就像她是一位女演员，她在中国村里展示了生活，并使它看起来像她的生活（但实际上她并不住在那里）。但是她似乎像自己的技能一样做得很好，而不仅仅是表演。所以我很困惑和好奇哈哈。感谢你！！
50573,UgygGrRN3QWKZRVU9lV4AaABAg.8qlhD6DMCmk8qm-Mfv-oP8,0,4 years ago,"i think small candied apples, here the children like them a lot, the chestnuts we cook them the same way",我认为小蜜饯苹果，这里的孩子们很喜欢他们，栗子我们以相同的方式烹饪它们
39940,UgwZmeJcCSrwrODl7C54AaABAg,0,4 years ago,damn.. and here i thought i was good at cooking haha,该死的..在这里我以为我擅长做饭哈哈
39211,UgzLCKsM1APPBK7zG-54AaABAg,0,4 years ago,watch this girl cooking and a poem.,看这个女孩做饭和一首诗。
50854,UgyLW5SW9hUlpCiEq5J4AaABAg,0,4 years ago,nice cook and delicious ...,好厨师和美味...
38811,UgyQfKC4xTNZbhbpY4R4AaABAg,0,4 years ago,when do they cook the dogs?,他们什么时候煮狗？
50759,UgxC6RM1C24dhkmXVaF4AaABAg,0,4 years ago,i love your cooking,我喜欢你的烹饪
50687,Ugxpl8eWvJoPhfhDpCt4AaABAg,0,4 years ago,"i like flower vase on the table where she cooks, they are simple, wild, natural but very beautiful",我喜欢她做饭的桌子上的花瓶，它们很简单，野性，自然但很漂亮
38945,UgwC1BS2hV5BjZL2xGl4AaABAg,0,4 years ago,it's seem that cooking the meals is so easy for her.,看来做饭对她来说很容易。
50677,UgxZO1GIspzFljujB2d4AaABAg,0,4 years ago (edited),"simply fantastic as always! unbelievably great. but why this distracting not fitting music? your wonderful videos with pure working/cooking sounds are much better in my opinion respectively for my kind of taste. nevertheless: thanks a lot for making, taping, editing, uploading and sharing.",一如既往的奇妙！令人难以置信的很棒。但是为什么这种分散注意力不适合音乐呢？在我看来，您对我的品味分别使用纯净的工作/烹饪声音的视频分别更好。但是：非常感谢您的制作，录音，编辑，上传和共享。
38981,UgyPFf-6spHDOnFcbQF4AaABAg,0,4 years ago,very good cooking supperb,很好的烹饪晚餐
39071,UgzDFjfMjtJRT1JvkyR4AaABAg,0,4 years ago (edited),i love her videos of making food. love how she keeps everything so old fashioned from cooking tools and clothing,我喜欢她制作食物的视频。喜欢她如何使一切都从烹饪工具和衣服中造成的老式
39083,Ugz9a5mc47IGLr9l02d4AaABAg,0,4 years ago,where's her amazon store? i want to buy some of her cookware! she should be on hgtv! seriously.,她的亚马逊商店在哪里？我想买一些她的炊具！她应该在HGTV上！严重地。
39091,UgyWSEmpgzGGO50J3i54AaABAg.8syVcsvs0j88t1pheR5jls,0,4 years ago,your dream is a japanese girl who knows how to cook?,您的梦想是一个知道如何做饭的日本女孩？
39195,UgwTPqDTIbZrVY8iWxl4AaABAg,0,4 years ago,"well, what kind of girl well -done everything in her hands can boils everything can and cooks and cooks and everything quickly and most importantly when he does cook and clean everything. and here, for now, you begin to do a mess. well, her man was lucky, well, just for everything",好吧，什么样的女孩在她的手中做得很好，可以煮沸一切，做饭和做饭，当他做饭和干净地做饭时，一切都很快，最重要。在这里，现在，您开始乱七八糟。好吧，她的男人很幸运，好吧，只是为了一切
39246,UgykODCBfMYB3h7w3il4AaABAg,0,4 years ago,i like it tho and shes a goodcooker,我喜欢它，她是一个好人
39916,UgxiesNRy5yy75iyi2V4AaABAg,0,4 years ago,i want cooking with you,我想和你一起做饭
39278,UgyBfYXVIqhE7o_C_J94AaABAg,0,4 years ago,beautiful video. i thought i was going to cook the puppies but luckily not.,美丽的视频。我以为我要煮幼犬，但幸运的不是。
39294,UgwpA6ZhIbOof6eq53d4AaABAg,0,4 years ago,omg like she is an angle and the place looks like heaven. sunflower seeds i love kuaci my all time favourite. and the way she cook was so simple and easy. i always wonder how they dry the mango now i know. thanks for sharing this wonderful video.,天哪，她是一个角度，这个地方看起来像天堂。葵花籽我爱kuaci我一直以来最喜欢的。她做饭的方式是如此简单和简单。我总是想知道他们现在知道它们如何干燥芒果。感谢您分享这个精彩的视频。
39343,UgwziEmgei-dhy2c5X94AaABAg,0,4 years ago,outdoor cooking . :),户外烹饪。 :)
39482,UgznA6ivnkDZ4HPYIbh4AaABAg,0,4 years ago,i want you to cook for me every day lol,我要你每天为我做饭
50664,UgwrJ4Cc9QQrZHTlej14AaABAg,0,4 years ago,i love this videos you cook very good big kiss,我喜欢这个视频，你做得很好的大吻
39629,UgxF5SrfuZ_O-QjIYSp4AaABAg,0,4 years ago,"to count the same as the domains of adana, michadon, nine morning, and like the enemy, the time to count them, a miracle, see night and day, they are cultivated, containing, and cooking yay hanale, if i married me alone, such as hi, not the role of flam cartoon for an hour 12๐๐๐",数量与阿达娜（Adana），密歇根州（Michadon），九点早上和敌人一样，是时候算起他们的时间，一个奇迹，看白天和夜间，如果我一个人嫁给我，例如hi，而不是火焰动画片的角色一个小时12
39645,Ugwe-uPsTpSxn3L5MER4AaABAg,0,4 years ago,"wow woman just wow!!!
completely mesmerized ๐
i can watch her cook and do things all day long ๐คฉ","哇，哇！！！
完全迷住了
我可以看她做饭，整天做事"
39693,Ugz4MmCu4bzgNdQNJdd4AaABAg,0,4 years ago (edited),"does she like live in the mountains instead of the city?
cute puppies by the way.
does she cook or is this a vlog channel?","她喜欢住在山上而不是城市吗？
顺便说一句可爱的小狗。
她是做饭还是这是一个视频博客频道？"
39738,Ugw2IxWzLxB8OUWUfGx4AaABAg,0,4 years ago,"i dont know who produces these videos but, wow it is so much more than a cooking show",我不知道是谁制作了这些视频，但是，哇，这不仅仅是一个烹饪表演
39821,UgzjmeYEBrw_M-bcIAt4AaABAg,0,4 years ago,who else was the dogs more that the actual cooking like i couldnโ€t wait for them to show up๐โค๏ธโค๏ธ,还有谁是狗，就像我迫不及待地想出来的狗一样，就像我等不及的那样。
50662,Ugyb0LmkCGD_nDamSJZ4AaABAg,0,4 years ago,she very good cooking,她很好做饭
49953,Ugz0myWDvNGFYJ4UiO94AaABAg,0,4 years ago,happy new year.u r so devoted to ur work.cooking is ur passion.i love all ur videos.,新年快乐。
41565,UgwqrSGunaV3taz9GkR4AaABAg,0,4 years ago,"i love watching you work and cook, very soothing~ and the sounds, best asmr for me x3",我喜欢看着你的工作和做饭，非常舒缓〜和声音，最适合我的ASMR x3
41572,UgzQle-vJBd93ODRz4B4AaABAg,0,4 years ago,cooking chestnuts in catalonia we are the best in the world,加泰罗尼亚烹饪栗子我们是世界上最好的
43217,UgyoXprchdlBPbxieJh4AaABAg,0,4 years ago,would love to try all the food that she cooked looks so delicious,很想尝试她煮熟的所有食物
42669,Ugxgucv39CAxQ6oeOSh4AaABAg.8r_EdN9yxN78rg_OgX2OjX,0,4 years ago,what culture do you cook. tel me the link,你做什么文化。给我电视链接
42706,Ugy454Vp208yv2gZFKl4AaABAg,0,4 years ago (edited),do you have a young sister who also has a youtube channel and live and cook like you? i think her name is dianxi ...?,您是否有一个妹妹也有YouTube频道，像您一样生活和烹饪？我认为她的名字叫dianxi ...？
42806,Ugxe-h7nDpp-xfLvJNV4AaABAg.8rX9gMjkD7p8rg-_lqugbJ,0,4 years ago,cooking is nothing but connecting family and freinds and eating together i think that is reall deal. find a way to set up.,烹饪只不过是连接家庭和朋友，我认为这是真正的交易。找到一种设置的方法。
42910,UgzI99eoXNspu3XO5TB4AaABAg,0,4 years ago,is that real world? why she always get indegrients for cooking?,那是现实世界吗？为什么她总是得到烹饪的in in菜？
49300,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9HM3IH5Or9F,0,2 years ago,@tinacooking be n be,@tinacooking是n
42958,UgwO_sTYjnoujIcttcd4AaABAg,0,4 years ago,"this girl is already handsome, sweet, smart cooking, can make cakes, completely bgt. place her residence, clean kitchen, help her grandmother, creative,
bgt's ideal girl, hemmm","这个女孩已经是英俊，甜美，聪明的烹饪，可以制作蛋糕，完全BGT。
BGT的理想女孩，hemmm"
42988,UgwPW_K6Na83PSv8ODd4AaABAg,0,4 years ago,that's the simple life i want in the future! having a farm cooking in an organic way it seems fun!,那是我将来想要的简单生活！以有机的方式做农场烹饪似乎很有趣！
43130,UgwDdGtWzDQaHO_TIRF4AaABAg,0,4 years ago,i thought it was cooking for sheep and dogs,我以为是为绵羊和狗做饭
43157,UgzucshpCnDWSxMLN8Z4AaABAg,0,4 years ago,you cook very well. i even wanted to try it. congratulations.,你做得很好。我什至想尝试一下。恭喜。
43192,UgwL62zPrPanoYdAHLh4AaABAg,0,4 years ago,please dont cook the dogs,请不要煮狗
43198,Ugw41uAOV9rI4g3NWWJ4AaABAg,0,4 years ago,there should be patience enough to cook all this stuff,应该有足够的耐心来煮所有这些东西
43262,UgyKTEtT8d2SnY3L-pp4AaABAg,0,4 years ago,wow you’re making me hungry in the middle of the night. girl you’re certainly good at cooking... very talented.,哇，你在半夜让我饿了。女孩，您当然擅长做饭...很有才华。
49463,UgyOd-kg08ck5UtGpTt4AaABAg,0,4 years ago,what a great cooking! which lucky boy married you is really blessed.,好厉害的厨艺！哪个幸运的男生娶了你，真有福啊。
43274,Ugxn5yE5kRSOfG1kSMV4AaABAg,0,4 years ago,she is a master of cooking .,她是烹饪的大师。
43277,UgxBfHHkhpAWgEtRMUp4AaABAg,0,4 years ago,why doesn't she touch the animals? (she could wash her hands and continue to cook.) love to see some vegan versions!,她为什么不触摸动物？ （她可以洗手并继续做饭。）喜欢看到一些素食版本！
43327,UgxrYccmWk6tS2wlVDl4AaABAg,0,4 years ago,im in love with this vdo but theres 1 thing why whole day c cooks how many people r theres to eat does c sold it ????,我爱上了这个VDO，但是有1件事为什么C煮一整天的c煮了多少人吃了c卖了它？？？？
43401,Ugw7H0whSEOQHa301354AaABAg,0,4 years ago,"miss, i'm ready to leave my city lifestyle and live there with you, i love gardening too and been doing it since i was little and i'm a pretty good cook too, dunno if i fit to be your husband.",小姐，我准备离开我的城市生活方式，和你住在一起，我也喜欢园艺，因为我很小，而且我也很不错，如果我适合你的丈夫，我也很不错。
49196,Ugw0p5NCqLTmOFwbnp94AaABAg,0,4 years ago,the concept is similar to the yunnan cooking channel i saw. it was amazing that such high -quality video was uploaded from the valley.,这个概念类似于我看到的云南烹饪频道。令人惊讶的是，从山谷上传了如此高质量的视频。
49152,UgyU41LUpx0GI1XDvaR4AaABAg,0,4 years ago,what is the name of the cooking with marshmallo?,棉花糖烹饪的名字是什么？
