,cid,votes,含cook,含cook中文翻译
34739,Ugzak8p2rONKOfvnHjZ4AaABAg.8yUTA8g_iRf8yU_PpeA2lZ,0,i haven't even cooked it quickly,连快煮的都没吃过
34761,UgyNyKgaNjyccfEks854AaABAg,0,"
i think you are from the morning until night and you are cooking hahaha","
我想你是从早上到晚上，你在烹饪哈哈哈"
34833,Ugw7FNBbHZuu-awLj0h4AaABAg,0,indonesia be bada enjoys cooking bung gans,印度尼西亚是Bada喜欢烹饪bung gans
171,UgwWjTNiUouljsVxBix4AaABAg,0,big times the time bamboo shoot y is delicious in cooking beautiful spicy coconut milk,大时光竹芽y烹饪美丽的辣椰子奶很美味
34887,UgwrDAWUzagkVgbmZdt4AaABAg,0,bamboo shoot is also dish of philippines i love to cook it with coconut milk,竹芽也是菲律宾的菜，我喜欢用椰奶烹饪
98,UgzMRik5cDfXK-OfC1R4AaABAg,0,nice view and nice cooking.,美景和美味的烹饪。
35031,Ugxtu5FIm99WNKGuODp4AaABAg,0,"if u say ur favourite cooking youtuber u will get pin
liziqi
liziqi
liziqi
liziqi
liziqi

uwu","If u say ur favourite cooking YouTuber u will get pin
Liziqi
Liziqi
Liziqi
Liziqi
Liziqi

UwU"
244,UgwyAp2tYP13mN4s8yx4AaABAg,0,"tu that, whenever i cook noodles, but i miss quynh for a bowl. it's been a long time since quynh has not enjoyed cooking noodles. no clutching. please remove it",每当我煮面条时，我都想念一个碗。自Quynh不喜欢烹饪面条以来已经很长时间了。没有抓紧。请删除它
246,UgyNJ69iVQRNYOdmnxJ4AaABAg,0,if indonesians cook bamboo shoots in the first with their skin and the results are fragrant and better,如果印度尼西亚人在第一张带有皮肤上煮竹芽，效果很香，更好
33997,Ugz6FGUTwiI_E4H8zjV4AaABAg,0,if we watch her video we don’t want watch any people cooking she amazing and she very working hard,如果我们观看她的视频，我们不想看任何人做饭，她很棒，她非常努力工作
33915,Ugw0WGr3h67LwY-i7xh4AaABAg,0,i love your cooking style i big fun of your,我爱你的烹饪风格，我很有趣
33191,UgwphfXy3l7YE_SK8VB4AaABAg,0,art cooking,艺术烹饪
33257,UgwPkI8pqFUGhyoa4lF4AaABAg,0,i dont know what food is that she cook but i start to hungry while watching this video,我不知道她做饭是什么食物，但我在观看这段视频时开始饿了
576,UgxWXIsHEMN-yTScW7d4AaABAg,0,i want to see my sister making another cooking clip to make us watch again.,我想看到姐姐做另一个烹饪剪辑，让我们再次观看。
551,UgzfodGNVpfhbyYEJil4AaABAg,0,tasty cooked coconut milk,美味的煮椰奶
33461,UgxPb1vq3Hk46uy3xh14AaABAg,0,dapnya is a cooked boil,Dapnya是煮熟的烹饪
33518,UgzWYHwMn3CdOUtxHHl4AaABAg.8yUae1nANSz8yUf-nlbU2t,0,"@alessiii58 after cooking with water, soak it with water for one night to remove the bitterness.
this kind of bamboo shoots are harvested a lot every year, and those who can't eat can be dried.
we often eat it when we were young, but we can't find it in the city now.","@alessiii58 用水煮熟后，再用清水浸一个晚上苦味就会去掉。
这种竹笋每年收获很多，吃不完的可以晒笋干。
我们小时候经常吃，现在在城里找不到。"
33540,UgyL5kpb4OEEgO2FgzR4AaABAg.8yUaO7ii_UU8yUjY8UlYHa,0,"she is okay. after all, she is mainly familiar with sichuan cuisine and sichuan cuisine.
another one who cooks yunnan cuisine is strange and strange","她的还好。毕竟她主要是做川菜而且川菜全中国都挺熟悉的。
另一个做云南菜的才是千奇百怪"
33552,UgytYJ7mD3AYCKKn-_p4AaABAg,0,princess your cooking is so yummy,公主你的烹饪好吃
33572,UgxwGfjsu44yqAPqzmJ4AaABAg,0,"hi.... how are you liziqi
what oil do you use for cooking","嗨....你好吗
你用什么油做饭"
33586,Ugz3kSOeVxTV7OlnLkJ4AaABAg,0,it's a good granddaughter. quq is separated and cooked for her mother -in -law to be afraid of her spicy,是个乖孙女了quq分开一份煮给婆婆怕她辣
33612,Ugyn24ZV1aY6u-9lHKp4AaABAg,0,beautiful kk .. pinter cook jugk,美丽的Kk .. Pinter Cook Jugk
418,UgypYEdZ2gCw1ibN1Ld4AaABAg,0,there's only 1 thing 李子奇 can't cook is american hamburger because it's too simple!,只有1件事李子奇不能做饭是美国汉堡包，因为它太简单了！
344,Ugy2Zx8cnjqqAdcBKFF4AaABAg,0,"lift me to your brother ziqi, want to taste your cooking too",把我抬到你的兄弟ziqi，也想品尝你的烹饪
33680,UgzmheuFC0zM9-AcWIV4AaABAg,0,"you cook professionally, very tasty and attractive",您专业烹饪，非常美味和吸引人
33690,UgwxtA-9Z038-Kt5hZZ4AaABAg,0,culinary demon cooking,烹饪恶魔烹饪
340,UgyDqhj3ZqUmVoNgtx14AaABAg,0,i don't know what the heck is she cooking but girl i am living,我不知道她在做什么，但是我住的女孩
33713,Ugyxn2av2ClrHcyExk54AaABAg,0,"she was just pretty and good at cooking, whoever gained a whole life was not afraid of starvation anymore",她只是漂亮又擅长烹饪，无论谁一生都不害怕饥饿
33722,UgzwErU8rdSrj6YuA454AaABAg,0,"she was just pretty and good at cooking, whoever gained a whole life was not afraid of starvation anymore",她只是漂亮又擅长烹饪，无论谁一生都不害怕饥饿
33729,Ugw5ZKbm2nwFvO4NfkF4AaABAg,0,i allws follow your cookinggg lovee your cooking,我allws跟随你的烹饪爱你的烹饪
33763,Ugz3MrwH1xhU1zFHqDV4AaABAg,0,so cooking pho alone. the whole pot,所以一个人做饭。整个锅
321,UgyziHwH1ua7c0wV2i54AaABAg,0,"your episode is really beautiful, lizique, i am a super fan from your philippines. i really like cooking ..",你的插曲真的很美，Lizique，我是你来自菲律宾的超级粉丝。我真的很喜欢做饭，..
33792,UgzqmLvH5n3xaVIqXCV4AaABAg,0,i just wanna know what kind of oils she use for cooking,我只想知道她用哪种油烹饪
33811,UgxApkQNIDqvkdsVnZF4AaABAg,0,"after so many videos i have seen on her gathering and cooking, i am still impressed each time of her garden that grows so many kinds of vegetable, fruits, herbs and gather nearby so many other fresh produce. simply amazing.",在她的聚会和烹饪上看到了这么多视频之后，每次在她的花园里，我仍然给我留下了深刻的印象，它们种植了许多种类的蔬菜，水果，草药，并在附近收集了许多其他新鲜农产品。简直太神奇了。
33828,Ugz0osWhc2ItqQentdp4AaABAg,0,i also love bamboo root so yummy for cooking,我也喜欢竹根，好吃烹饪
33865,Ugz_fLliFtv8ch0Y9st4AaABAg,0,waiting for subs so i can cook it for for my grandparents too when i go home,等待潜艇，所以我回家时也可以为我的祖父母做饭
33901,UgxcL-mkFiXxxFjCkHx4AaABAg,0,chinese eating habits is jus like northeast in india.. we eat all this same way of cooking.. love it.. i missed my home town after watching ur video,中国饮食习惯就像印度的东北一样。我们吃了所有同样的烹饪方式。
33907,UgwQtoFeOCr6i2WqQNt4AaABAg,0,i never understand what she is cooking... even if i understand i wont b able to cook due to unavailability of many of those ingredients... but still i rush to watch as soon as i get notification,我从来不明白她在做什么...即使我明白，由于许多成分的无法获得，我也无法烹饪...但是，一旦收到通知，我仍然急于观看
31655,UgzYZpSDB8bg1A7lIzl4AaABAg,0,"love your videos, as always!
couple questions, first, when you put the tiny snails in the wok, do they lose the shell as they cook? and then you shift out the shells?
next question, for anybody who knows, are bamboo shoots starchy, like potatoes?
thanks, and keep your beautiful shows coming!","一如既往地喜欢您的视频！
首先，当您将细小的蜗牛放入锅中时，他们会在烹饪时失去外壳吗？然后您移出外壳？
对于任何认识的人来说，下一个问题是像土豆一样淀粉类淀粉吗？
谢谢，让您的美丽表演来！"
31631,Ugw__1rVukZOW4BAK9p4AaABAg,0,"best chef cooking , watch this video at night , i can't sleep",最好的厨师烹饪，晚上看这个视频，我无法睡觉
2670,UgzwlKBVZtwbHEYT71x4AaABAg,0,cooking,烹饪
2287,Ugwj4gyHekvb16CP5zR4AaABAg,0,cook for nguyen huu nhan to eat with,为nguyen huu nhan烹饪与
29376,Ugx3qpMPQQb70Kr0PMF4AaABAg,0,i was waiting for your video. amazing cooking,我在等你的视频。惊人的烹饪
29431,UgwqtBl6eoHeXE61S0V4AaABAg,0,truly organic and nicely cooked food,真正有机的食物
29453,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yb8or7f8lY,0,pandas are afraid of her， because she cooks and eats every eadible stuff.,熊猫害怕她，因为她做饭并吃了所有可观的东西。
29621,UgxIm5P_wfu1_M7cqc14AaABAg,0,does anyone know where or what those ceramic pots that can hold fire are ? she uses to cook on like boil her soup,有谁知道那些可以举起火的陶瓷锅在哪里或什么？她用来像煮汤一样做饭
29662,Ugx5iwOXPMkDraS64Zx4AaABAg,0,"if they eat like that rich, i wonder how you cook it for the puppies",如果他们像那样富裕的东西，我想知道你如何为小狗烹饪
29731,Ugy_Lt7iwmMsKWKC9rh4AaABAg,0,people are young and beautiful and can cook,人年轻又漂亮 也很会做菜
2339,UgyojLRXXLB6iR4rGLF4AaABAg,0,i like chinese vegetables but i dont like way of chinese cooking method .. i love so much south indian cooking method..,我喜欢中国蔬菜，但我不喜欢中国烹饪方法。我喜欢南印度烹饪方法。
29803,UgxnQPSfYx18pmAtzIF4AaABAg,0,she never weeds her garden!!!!! she eats and cooks everything,她从不淘汰她的花园！她吃着一切
2333,UgxwGbtWpvrC6UWwfBR4AaABAg,0,good cooking from india's love .. ❤️❤️,不错的烹饪 来自印度的爱.. ❤️❤️
29828,UgyDVpVW3xaT62ctpXN4AaABAg,0,you are a very excelent cook and very worker girl♥️,你是一个非常杰出的厨师，非常有工具的女孩♥️
29854,UgxmemrFEtshVICnf3d4AaABAg,0,love her pottery n pots she cooks w want to buy for me waiting for a sale.,爱她的陶器n锅，她煮了我想为我买的，等待销售。
29856,UgySY-T8JtNahkQJGD54AaABAg,0,"the longer you make the video time
whenever i miss you never ends
as if i only saw him for a while
well done photography, cooking and work
you are full of life and permanent spring

good","您制作视频时间的时间越长
每当我想念你永远不会结束时
好像我只见他一段时间
做得好的摄影，烹饪和工作
你充满了生命和永久的春天

好"
2307,UgygZApgeLNpQzXoEHV4AaABAg,0,cook animals/snails alive! very bad! have fun with the kamar!,烹饪动物/蜗牛还活着！很坏！和Kamar玩得开心！
2227,Ugx19gCkTFDq47CK6cl4AaABAg,0,this is a new one ... it's cooked ... it's pretty ...,这是一个新的...煮熟了...很漂亮...
29297,Ugy588V7KSegXT__xL14AaABAg.8yXD2-WHYGw8yY1OrRcjIr,0,rhea valdez here in vietnam we eat fermented bamboo shoots in various ways. one way is to cook them with fish and shrimp which is kinda similar to yours (we dont use coconut milk),在越南的Rhea Valdez以各种方式吃了发酵竹芽。一种方法是用鱼类和虾烹饪，这与您相似（我们不使用椰奶）
29939,UgzFGes2-AYZsGPJ8kt4AaABAg,0,"i missed the bamboo shoots in my country... especially, when my tatay cook for me along with other vegetables and with dried fish! awesome food!",我错过了我国的竹芽……尤其是当我的Tatay和其他蔬菜和干鱼一起为我做饭时！很棒的食物！
29972,Ugwah7zJf1PmioFvkdV4AaABAg,0,"angelita, it was all as if they were there, heard the fire of the fire, the spoon by felling the water falling, beautiful, everything you need has planted as it is wonderful, see you cooking, and savoring the company desa lady so soft god bless you",安吉丽塔（Angelita），好像他们在那儿一样，听到了火的火，勺子倒下，美丽，您需要的一切都种植了，因为它很棒，见到您做饭，并品尝到公司Desa Lady如此柔软上帝祝福你
30018,UgyB_4eyFFOGxCwtFZ54AaABAg,0,"where i live we don't have the habit of cooking with snails, is this type edible? what do they do with their shells?",我住的地方我们没有用蜗牛做饭的习惯，这种可食用吗？他们用贝壳做什么？
30019,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yVygCDONHU,0,just cook something yourself in the microwave.,只需在微波炉中煮一些东西即可。
2124,UgzcUY5uhbucrGv9Ptd4AaABAg,0,cooking very well,做得很好
30043,Ugz6rpxMRABvdGbCEhN4AaABAg,0,"ziqi’s way of wild gathering and cooking are calm and patient. she really focuses on her work. that is such a great feeling, when the cooking work is fun and absorbing. i learn so much from her!",Ziqi的野外聚会和烹饪方式保持镇定和耐心。她真的专注于自己的工作。当烹饪工作很有趣和吸收时，这真是一种很棒的感觉。我从她那里学到了很多东西！
30100,Ugy5BmPOIsX2FY3HP-h4AaABAg,0,"what a beautiful and relaxing channel. 
i love to see her cooking for her grandmother. she is very respectful.
i also love seeing her little dog. i always look forward to seeing the dog or dogs in different vlogs. 
this is a wonderful channel. i always watch every vlog a few times.","多么美丽而轻松的频道。
我喜欢看到她为祖母做饭。她非常尊重。
我也喜欢看到她的小狗。我一直期待看到不同视频博客的狗或狗。
这是一个很棒的频道。我总是看几次视频博客。"
30116,UgwIpY5FJPQvmL4nZBZ4AaABAg,0,do the snail shells soften when cooked?,煮熟时蜗牛壳会变软吗？
30117,Ugzb2LnAvTefUXnNzf54AaABAg,0,"i love bamboo shoot and long beans.
edit: i love pork and snail cook together","我喜欢竹芽和长豆。
编辑：我喜欢猪肉和蜗牛厨师"
2060,UgxmL-mhoFNQmkN1W6x4AaABAg,0,"i love your beautiful videos,your talent cooking.thank your director and brillant camera mann. all amazing!!!",我喜欢您美丽的视频，您的才华烹饪。谢谢您的导演和光彩照人Mann。一切都很棒！！！
2037,UgxbdOY9be6StImO7_54AaABAg,0,"ten kinds of cooking methods, my favorite, i will use it to cook the meat",十种煮法 我的最爱拿来煮扣肉
30150,UgxUV4r4ByxTqXmeoh54AaABAg,0,"wait,she also cook? wow wife material.",等等，她还做饭吗？哇妻子的材料。
2036,UgxcIMLYiQ6VQZPhCrl4AaABAg,0,his cooking seems to be delicious 好,他煮饭好像好吃
29342,UgzeavX96sD--1HGDNh4AaABAg,0,i love your cooks liziqi,我爱你的厨师liziqi
2422,Ugy3TsojIzZU2CiaWTZ4AaABAg,0,"cook bamboo bamboo, something fun and healthy",煮竹子，有趣而健康的东西
1335,UgxnVYg_UGwFTD2kTpJ4AaABAg,0,i'm willing to eat anything she cooked,我愿意吃她煮的任何东西
2568,UgyNoI6vCYxc6DHIQUJ4AaABAg,0,"delicious cooking huh ???? , success, the video ,,",美味的烹饪吧？？？？ ，成功，视频，
28244,Ugzpak2xq2lg9YykXTh4AaABAg,0,we used get those bamboo roots with my aunt and cousins and we cook it pair it up with sardines. it's kinda hard getting those stuff cause we need to cross over the river wherein the current is really strong but it's fun though i really don't like the taste of it,我们用我的姑姑和堂兄弟拿着那些竹根，然后将其与沙丁鱼搭配。有点困难的东西，因为我们需要越过河流，那里的电流真的很强，但是很有趣，尽管我真的不喜欢它的味道
28245,Ugzmyb7J-jHverIhl5F4AaABAg,0,"she is a princess from wonderland. everything she did is amazing. i am desiring to make a cooking channel but honestly, every single thing is so hard for me. should i give up?:(",她是仙境的公主。她所做的一切都很棒。我希望制作一个烹饪渠道，但说实话，每件事对我来说都是如此困难。我应该放弃吗？：（
28266,Ugy7xUHtjCJq_k3hUgt4AaABAg,0,"i was inspired to make videos like liziqi, but my videos are not as beautiful as her, would you guys like to see my cooking videos too?",我的启发是制作像Liziqi这样的视频，但是我的视频不像她那么美丽，你们也想看我的烹饪视频吗？
28284,UgyYX5lFdfmS-o_6QoN4AaABAg,0,"this girl cooks well. cook many dishes. however, many greasy dishes are too greasy",这个女孩做得很好。煮许多菜。但是，许多油腻的菜太油腻了
28286,Ugy1vZbgI2nlVtJboHh4AaABAg,0,cook what,做什么
2609,UgwolO6FDhAEM2HgzZ14AaABAg,0,translate in spanish i see your program on my tv i like intelligence and it is very clean to cook like this i am translated,用西班牙语翻译，我在电视上看到您的程序，我喜欢智能，像这样的烹饪非常干净我被翻译
28333,UgxpJ_GQ8yshT50sQhd4AaABAg,0,something cooking and eating,烹饪和吃东西
5336,Ugypa7ezjTEDllCDK2F4AaABAg,0,"in indonesia we called the snails is tutut. if we go to the rice fields, we will look for tutut snails to cook. however, the snail must be cleaned until it is not gritty in its shell before it can be processed into delicious food ๐๐",在印度尼西亚，我们称蜗牛为Tutut。如果我们去稻田，我们将寻找Tutut Snails烹饪。但是，必须清洁蜗牛，直到将其加工成美味的食物
28337,UgxRXjwVIjMMqzOWVit4AaABAg,0,"cook, eat, cook, eat....want to see her relax and sleep too.",做饭，吃饭，做饭，吃饭。...也想看到她的放松和睡觉。
28380,UgxUJmHJujocNJjjuHN4AaABAg,0,we called it labong in philippines.. and i really love labong cook with coconut milk... i miss my home town ...,我们称它为菲律宾的labong ..我真的很喜欢椰子牛奶的拉隆厨师...我想念我的家乡...
28399,UgwaVhCpuU0bj11cmd14AaABAg,0,did the snails die when she put then in the water or did she cook them alive...? :(,蜗牛把然后放在水里时死了还是她活着煮了……？ :(
28427,UgwEOWLhUtUJrIA3mhp4AaABAg,0,"i love the fact that she just knows what is edible in her local environment, and then go for it, before cooking it delicously
""came here for bamboo shoots - oh hey, back fungus !""
""just gotta wash my feet - there are river snails ! okay, found what to do for dinner""","我喜欢她只是知道当地环境中可食用的东西，然后再烹饪之前就去做的事实
“来这里竹芽 - 哦，嘿，回来真菌！”
“只要洗我的脚 - 有河流蜗牛！好吧，找到晚餐时该怎么办”"
28437,Ugy9FZTNho70WiwstmJ4AaABAg.8yYTzaRcnLC8yYWY1C-3Di,0,"we're vietnamese eat all kind of snail and also cook that way, lol",我们越南人吃了各种蜗牛，也那样做饭，大声笑
2567,Ugx8cLMU6X92S1AuW1B4AaABAg,0,wonder where the food go. she cooks a very big portion. btw iwung/rebung is also my fav :d,想知道食物去了哪里。她做了很大的一部分。顺便说一句，iwung/rebung也是我的最爱：D
29225,UgyDshaNL4uPLcWXRqF4AaABAg,0,i'm ashamed of what i cook every time i come to your channel!,每次进入您的频道时，我都为自己的烹饪感到羞耻！
28698,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93GkW5KuWon,0,"it's indeed a lot of ingredients collected from the surrounding wild land for a single cooking session. hopefully they were able to store some of thd leftovers in a fridge? but nevertheless, cooking like that every other day would quickly strip the surrounding lands of viable natural ingredients and one would need to go to market yes : )",确实是从周围野生土地收集的许多成分进行一次烹饪。希望他们能够将一些TH剩菜存储在冰箱中吗？但是，尽管如此，每隔一天的烹饪就会迅速剥离可行的天然成分的周围土地，并且需要去市场上的是是:)
28802,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97mxaBt3SBM,0,"@franzpeters3824 nothing to do???..are joking, here we just saw a hravesting and cooking in a beautiful way..but remember for her to have what to harvest and cook for making this video there's a lot of hardwork behind..you should know that..you know or you just ignoring it...going to jungle and taking even a bamboo shoot ain't that easy as what it looks from this video...but thing is those harvesting and eat what you work for is happiness....
i'm a horticulturist and i really admire her..she doesnt really need to learn english to show what she work and she's already successful enough..im proud of her","@franzpeters3824无事可做吗？您应该知道..您知道或只是忽略它...去丛林，甚至拍竹芽都不那么容易，就像从这个视频中看起来一样容易...但是，那些收获并吃掉了您工作的东西因为是幸福...
我是一个园艺家，我真的很佩服她..她真的不需要学习英语来展示她的工作，并且她已经足够成功了。"
28911,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9BDSV0RNYaI,0,"love this video it's so beautiful. it shows that art of cooking, which she does very well.",喜欢这个视频，它是如此美丽。它表明了烹饪艺术，她做得很好。
28913,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9BKRt0SdjTd,0,only ladies case ....i went to big mall only to buy dozen egg then go room to cook it,只有女士案...。
29017,Ugxutmmf0ZixEz0xvWx4AaABAg,0,"sometimes it’s not very clear wether she is tutoring or just simply recording the process of her cooking bunch of delicious (and much spicy) meals, with hints. but nah, who cares. i still enjoy watching her doing what she does best, just as much as you do, dont you?",有时，她在辅导时不太清楚，或者只是简单地录制了她烹饪一堆美味（和辣的饭菜）的过程，并带有提示。但是不在乎的不。我仍然喜欢看着她做她最擅长的事情，就像你一样，不是吗？
29023,UgwArPbCyCpkDH09nbR4AaABAg,0,"ind loen pappu chesukovadanike enno thippalu padthunnaru, but she cooking very healthy food",ind loen loen pappu chesukovadanike enno thippalu padthunnaru，但她烹饪非常健康的食物
29041,UgxrxlDmInXxSqPwncJ4AaABAg.8yXxwnokw6P8yeTretSjpU,0,oksana l cook,oksana l厨师
29054,UgxYmpfhewFCcdnq7P54AaABAg,0,reminds me of minari on side view. what a cook,让我想起侧视图的Minari。真是个厨师
2480,Ugw8BayPyJlJumc0W7J4AaABAg,0,you are such so beautiful hot looking woman and high talent in culinary cooking chef.,您是如此美丽的热女人，在烹饪烹饪厨师中才华横溢。
29164,UgwvKG5UHbHwjO0-se14AaABAg,0,"you are not only beautiful but are one of the best cook as well, you will be a wonderful wife for one of the luckiest man in the world. all the best with your future young lady.",您不仅美丽，而且也是最好的厨师之一，您将成为世界上最幸运的男人之一的出色妻子。与您未来的年轻女士在一起的一切都很好。
29198,Ugxw8g3LpDbaotmraRd4AaABAg,0,all fresh. . i love to eat with one of your cooking how i wish,都是新鲜的。 。我喜欢和你的烹饪之一一起吃饭
29207,UgwKqlCYzANM5CdgRuV4AaABAg,0,.one of my favorite ingredients to cook. so versatile,。我最喜欢的成分之一。如此通用
29216,UgxmyjY5NAcxGytaWFB4AaABAg,0,"i like this (most seem to obvs), however i wonder how contrived/ set up this all is ..she is clearly going for the mysterious lady/ harry potter (in asia) 'school of cooking' vibe. i hope the dog isn't eaten - thats what they do in china (+ a few other parts of the world) - torture and kill dogs, to eat them (an insult to the intelligent reason why humans bred them in the first place, for companions, as hunting dogs and now as guide dogs for the blind and to sniff out drugs and bombs at airports).",我喜欢这个（大多数人似乎很明显），但是我想知道这一切的人为/设置是多么的。我希望那只狗不要吃掉 - 那就是它们在中国（+世界其他一些地方）所做的事情 - 酷刑和杀死狗（侮辱他们的聪明原因，为什么人类首先将它们繁殖了，对于同伴，作为狩猎狗，现在是盲人的导犬，在机场嗅出毒品和炸弹）。
2018,UgxjPWr6THNTHleIblR4AaABAg,0,"~* chinese vloggers similar to liziqi:
dianxi xiaoge little brother | anxiaolu an xiaolu | longmeimei longmei |
grandpa amu grandpa amu | laotai arui old tai arui | summer kitchen xia kitchen chen 20 |
ermichuiyan two -meter cooking smoke | ms miao office channel miaomei jiu yang official channel

~* liziqi's popular background music:
cloud blow | april sakura | sakura march | begonia sleep | august 23 | always with me |
lovesickness ocarina | accel world bye bye | lough leane | sudden
it's better not to read | cicada banxia | huai ancient legacy | hometown story | tao lin | new year's eve | in the past | mo yu","~* Chinese vloggers similar to Liziqi: 
Dianxi Xiaoge 滇西小哥 | AnXiaoLu 安小鹿 | LongMeiMei 龙梅梅 | 
Grandpa Amu 阿木爷爷 | Laotai Arui 老台阿瑞 | Summer Kitchen 夏厨陈二十 | 
ErmiChuiyan 二米炊烟 | Ms Miao Official Channel 苗妹九秧官方频道 

~* Liziqi's popular background music: 
云吹动 | 四月樱花 | 樱花三月 | 海棠未眠 | August 23 | Always with Me | 
Lovesickness Ocarina | Accel World Bye Bye | Lough Leane | 忽如一夜梨花开 | 
不如不念 | 蝉鸣半夏 | 淮古遗殇 | 故乡物语 | 桃林 | 除夕 | 昔年 | 墨雨"
1929,UgzbIFGIHkjrNf1xHFF4AaABAg,0,delicious cooked,美味的煮熟
30299,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392ZSTVwjSu9,0,@johsihuang6169 cooking with camelia oil?,@johsihuang6169用骆驼油做饭？
31176,UgySA1jCkhpzxTX5f3J4AaABAg,0,"8:00 is a wild, edible, sour earth, cooked soup with a cooling effect.",8:00是一种野生，可食用的酸味，煮熟的汤，具有冷却效果。
31077,UgwpOHJ-8P4N8pDv0X54AaABAg.8yVMg72mPzy8yV_1xgbwzU,0,"scientific name: purslane, cooked food can prevent dysentery, it really tastes good, i also want to eat it, and this dish can be seen everywhere in the countryside",学名:马齿苋，熟食可以防治痢疾，确实味道不错，我也很想吃，而且这个菜在乡下随处可见
1623,UgwVMIg3vcu0LIam5t94AaABAg,0,wau the cooking is very delicious,烹饪很美味
1597,UgyeBXZ2_Ea6N_HUBkB4AaABAg,0,"scribe, it is better to cook a pack of dumplings",抄写员，最好煮一包饺子
1569,UgwGKBZ-PrAeDDip0Kx4AaABAg,0,is it possible to name the tree that i cooked from it?,可以命名您烹饪的树吗？
1538,UgwmImfDH8aItVhIC4N4AaABAg,0,"considering the tay tay ca, after watching this friend, he realized that it was a bit unsanitary, the cooking stove looked dirty",考虑到Tay Tay CA，看完这个朋友后，他意识到这有点不卫生，烹饪炉看起来很脏
31116,UgxgSZnN5_LKYqd5D0d4AaABAg,0,"i wish i could once enjoy the dishes you cook. looks charming . if you have a restaurant in china, i will definitely be your patron. your fans from vietnam",我希望我曾经可以享受您烹饪的菜。看起来很迷人。如果您在中国有一家餐厅，我一定会成为您的赞助人。您来自越南的粉丝
1511,Ugx-zgW03jRCA5jLdvd4AaABAg,0,wanked .... wanked ... who would you like to eat? cooking sounds uncommon ...... want the neighborhood?,摇摆...摇摆...你想吃谁？烹饪听起来不常见……想要附近吗？
1497,UgwRLp7fXGEET2eRHfd4AaABAg,0,chi cooking is so good !!,chi烹饪真好！
1496,Ugw_XkcvvJow4bP5RxB4AaABAg,0,i love the way when she finish cooking,我喜欢她完成泰国烹饪时的方式
1495,UgyBGNWHU8HprQGDk9h4AaABAg,0,"i really like this lovely little girl, rustic cooking but very good h.",我真的很喜欢这个可爱的小女孩，质朴的烹饪，但是很好。
1436,UgymdSDz8APE0Q77W5x4AaABAg,0,love to see you cooking. you amaizz me. everything is natural. love grandma,喜欢见你做饭。你是我。一切都是自然的。爱奶奶
31145,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89Y_rce760im,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
31165,Ugxw2oVeJUskGrjWksZ4AaABAg,0,"everything she's cooks always looks tasty. i know her grandma thinks in her her mind, wow i have a really talented granddaughter.",她厨师的一切总是看起来很美味。我知道她的祖母在她的脑海中思考，哇，我有一个很有才华的孙女。
31192,UgzxAJjQ_IJ78L5OQ8d4AaABAg,0,we cook pork with snails too...!!,我们也用蜗牛煮猪肉...！
30448,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Qu7aCe7t4r,0,"i really like it when you cook, but i want to make it in thai. thank you.",当您做饭时，我真的很喜欢它，但我想在泰语中做到。谢谢。
31210,UgzkiYS4dgIOIx9ZxaV4AaABAg,0,your are so beautifull very good cooking.i love the you cooking.,你真漂亮。我喜欢你做饭。
31245,Ugx-8WtLsls3pQtI8Vt4AaABAg,0,wow. ...wonderful. ....very interesting & different cooking. ...amazing,哇。 ...精彩的。 ....非常有趣和不同的烹饪。 ...惊人的
31279,UgxSOF7jwBQIxtu8LeF4AaABAg,0,"we chinese are really studying arts, probably because they are too long. cooking is really dedicated and relaxed. li ziyi is a high -level practice.",我们中国人对食物真是当艺术在钻研，大概是历史太长的缘故。做菜真能让人专注又放松，李子柒这是种高级的修行。
