,cid,votes,time,含amazing,含amazing中文翻译
29754,UgxloZMckPPu5mSY2b94AaABAg,0,3 years ago,nice to that you can walk through a beautiful yard and pick out anything you see and eat it. amazing,很高兴，您可以穿过美丽的院子，挑选出您看到的任何东西。惊人的
29743,Ugy46EdgW3ThtGBdaVt4AaABAg,0,3 years ago,i watch all your video's very amazing and beautiful like you❤❤❤,我看着你所有的视频都非常神奇和美丽❤❤❤
32406,UgzNSnaqs8u0pvybK-t4AaABAg,0,3 years ago,u have amazing skills i have nothing to comments.,你有惊人的技能，我没有什么可评论的。
32478,UgyMJkiuGIcOmM4s0gB4AaABAg,0,3 years ago,"as usual, just amazing!",像往常一样，太神奇了！
24847,UgwJOeu-Xdmvps5RjsJ4AaABAg,0,3 years ago,wow amazing place..full of greenary..u are really lucky so close and living with nature...,哇惊人的地方..充满了Greenary .. U真的很幸运，如此亲密，与自然生活在一起...
32519,UgxdyLyVt8zX4Dc7PKt4AaABAg,0,3 years ago,nature girl ...amazing!,大自然女孩...惊人！
35119,Ugw92_WvR2TthK4pTpJ4AaABAg,0,3 years ago,amazing video!!!,惊人的视频！！！
35080,UgzSxYAkbMkmNeIhQ5t4AaABAg,0,3 years ago,amazing❤️,惊人的❤️
35002,Ugxexv7_8tNNON2Vq2N4AaABAg,0,3 years ago,amazing dishes ~ love it,令人惊叹的菜肴〜喜欢它
34973,Ugw6T7t24m9XydpR5FF4AaABAg,0,3 years ago,can you mention something that you can't do?? :( you are just too amazing!!!!,你能提到你不能做的事情吗？ :(你太神奇了！！！
34956,Ugy9NBg33i42qqXarSZ4AaABAg,0,3 years ago,so many skills. amazing and love you.,这么多技能。很棒，爱你。
34838,UgwwS-Twtjx18fxI3jh4AaABAg,0,3 years ago (edited),"in my vegetable garden, a lot of portulaca grows but we do not have the habit of consuming it. those long green beans are amazing cmq",在我的菜园里，很多港口都在生长，但我们没有食用它的习惯。那些长绿豆很棒的CMQ
34820,UgxA1-DqGaUx0hD7mPN4AaABAg,0,3 years ago,who clicks the like button without even watching the whole video because we are confident that its gonna be amazing? :d <3 from nepal,谁在没有观看整个视频的情况下单击“喜欢”按钮，因为我们有信心它会很棒？ ：d <3尼泊尔
34797,Ugy1VEAOpYXcFUT7Ced4AaABAg,0,3 years ago,"always very excited to see a new offering from this brilliant teacher. and then..right on the tail of excitement- the peacefulness that comes from these amazing 
film-lessons gently shifts the experience to near meditation. 

thank you greatly, 

for enriching our lives.","看到这位出色老师的新产品总是很高兴。然后..在兴奋的尾巴上 - 这些令人惊奇的宁静
电影人将体验轻轻地转移到近乎冥想中。

非常感谢

丰富我们的生活。"
34757,UgwaTdRYaEnD-_RJDBB4AaABAg,0,3 years ago,"another beautiful film but there seems to be far too much produce for just two people. what do you do with the excess. also, you are blessed with so many different ingredients. it’s impossible for those in the west to follow your beautiful recipes. you are an amazing person living an idyllic life. xx",另一部精美的电影，但似乎只有两个人的农产品太多了。您如何处理多余的。另外，您有很多不同的成分。西方人不可能遵循您美丽的食谱。你是一个过着田园诗般生活的了不起的人。 xx
34432,UgwXPVS4X1_VXqmTyO94AaABAg,0,3 years ago,"seeing that you eat powder, the amount of meal is amazing, why are you still not fat?",看你吃粉这饭量惊人，怎么还长不胖
34398,Ugzc1yed0LbG9kkgZvp4AaABAg,0,3 years ago (edited),"her food always looks so good, wow just wow she is amazing",她的食物总是很好，哇，哇，她真了不起
34342,Ugzp480ngxB5lnR9uxR4AaABAg.8yUUoJ1xwjn8yUcLJ0jCqp,0,3 years ago,labong is also amazing in bamboo shoots in rice paper with sweet garlic peanut sauce,拉邦在稻米纸上和甜大蒜花生酱中也很棒
34310,UgykGyMZPqB3ze-tchh4AaABAg,0,3 years ago,"when ever i am stressed i watched ur videos it’s amazing , pls add english subtitle , big fan frm india -kerala",每当我感到压力时
34272,UgzqVhOhYCkzIATG8xd4AaABAg,0,3 years ago,love your videos... you are amazing cooking thanks for being sharing your hard work by cooking...and to be showing how you love to cook...,喜欢您的视频...您真是太棒了，感谢您通过烹饪分享您的辛勤工作...并展示自己喜欢做饭...
34200,UgwU9m7pzEbiKvVMjhN4AaABAg,0,3 years ago,"wow, amazing",哇，很棒
34195,UgxiXNjXAUV3jcMDL-p4AaABAg,0,3 years ago,"hi liziqi! do you own a restaurant? you have a very good skill in cooking, btw another very amazing video<3",嗨，liziqi！你有餐厅吗？您的烹饪技巧非常好，顺便说一句，另一个非常了不起的视频<3
34082,UgxzcIKT5uruwpxh1yx4AaABAg,0,3 years ago,"this is the only channel that i see which has wholesome content, and the largest viewer dedication. you are amazing liziqi and we love you",这是我看到的唯一具有健康内容的渠道，也是最大的观众奉献精神。你很棒的liziqi，我们爱你
34025,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8ycTLFJcnZ8,0,3 years ago (edited),george costarica you're amazing,乔治·哥斯达黎加，你很棒
33997,Ugz6FGUTwiI_E4H8zjV4AaABAg,0,3 years ago,if we watch her video we don’t want watch any people cooking she amazing and she very working hard,如果我们观看她的视频，我们不想看任何人做饭，她很棒，她非常努力工作
33811,UgxApkQNIDqvkdsVnZF4AaABAg,0,3 years ago,"after so many videos i have seen on her gathering and cooking, i am still impressed each time of her garden that grows so many kinds of vegetable, fruits, herbs and gather nearby so many other fresh produce. simply amazing.",在她的聚会和烹饪上看到了这么多视频之后，每次在她的花园里，我仍然给我留下了深刻的印象，它们种植了许多种类的蔬菜，水果，草药，并在附近收集了许多其他新鲜农产品。简直太神奇了。
33785,Ugwfywx8uKrpSbV37bB4AaABAg,0,3 years ago,just amazing!,太棒了！
33725,UgwKboIPIH4hwXWrInN4AaABAg,0,3 years ago,amazing. respect from brasil.,惊人的。尊重巴西。
33587,Ugzt8FkTgWA9IwoYJ2l4AaABAg,0,3 years ago,you are one amazing lady,你是一位了不起的女士
33336,UgzyGYZ_J4uiU1zF2AF4AaABAg,0,3 years ago,"when you think you grew up in a healthy, much stronger, symbiosis with the natural habitat than other people... this is to good to be real?! just amazing",当您认为自己与自然栖息地更加健康，更强大，更强大，比其他人长大时……这是真的吗？太棒了
33095,UgzY52v-HyA9k0TYJ0R4AaABAg,0,3 years ago,i wish i could have a chance to meet li ziqi in this life time. because she's the most amazing person anyone can dream to meet in their life.,我希望我有机会在这一生中见到李齐。因为她是任何人都可以梦想见面的最神奇的人。
33088,Ugx20X748Zi50PGeawp4AaABAg,0,3 years ago,an amazing sister of china.. i really like your channel.. lot of love.,一个了不起的中国姐姐..我真的很喜欢你的频道..很多爱。
32907,Ugx7Pip1mgahxG5_JMp4AaABAg,0,3 years ago,"i wish liziqi or someone could start a programme that allows people to come to the area she lives, get land, build sustainable houses and hold workshops where she could come and will teach everyone what they need to know to survive. she basically knows everything is seems. then we could all slowly start going back to nature and living our lives like liziqi. this would be amazing.
the liziqi movement. i'd be over in a heartbeat.","我希望Liziqi或某人可以启动一项计划，让人们来她所居住的地区，获得土地，建造可持续的房屋并举办讲习班，并可以在这里教每个人，以教所有他们需要认识的东西以生存。她基本上知道一切似乎。然后，我们都可以慢慢开始回到大自然，像利兹奇一样过着我们的生活。这会很棒。
Liziqi运动。我会心跳加速。"
32594,UgyAu8_c-sxjpGT9uK14AaABAg,0,3 years ago,her videos are so relaxing and beautiful. it is amazing. when i watch it i think she has the key of the happiness. hi from spain. keep healthy.,她的视频是如此放松和美丽。太神奇了。当我看它时，我认为她有幸福的钥匙。嗨，来自西班牙。保持健康。
32592,Ugx6t--p7bACedWZPN94AaABAg,0,3 years ago,amazing!,惊人的！
29665,UgzYaXFlhFCYx0bwUlt4AaABAg,0,3 years ago,how you know that you can eat everything you see? that's amazing!!!,您如何知道可以吃所有看到的东西？太棒了！！！
29611,Ugwq1rEMquVTdZtUU2R4AaABAg,0,3 years ago,you are amazing n ur gorgeous !!!!!!!!,你真是太神奇了！
29549,UgzDjneMPfVMP1bWMXJ4AaABAg,0,3 years ago,wow amazing video,哇惊人的视频
29478,UgyzvCx57fW5WDTk5FJ4AaABAg,0,3 years ago,"dear liziqi, when do you rest? you are amazing. take care of you, you are impressive for all for all us. mc",亲爱的利兹奇，你什么时候休息？你很棒。照顾好你，你们对我们所有人都有印象深刻。 MC
26975,UgyMrX5Xa4Aa77faIut4AaABAg,0,3 years ago,ist time watched ur video .amazing mind blowing lady. also i want to know who shoot ur videos.u urself or some one else,IST时间观看了您的视频。令人惊讶的是吹牛女士。我也想知道谁拍摄了您的视频。
26972,Ugwz2nTPzrcxYXW9bYN4AaABAg,0,3 years ago,"amazing , from india",来自印度的惊人
26794,UgzzugrIxW35WRglpqh4AaABAg,0,3 years ago,every part of this is amazing!,每个部分都很棒！
26789,UgzOQfGEa-TZobP-dvx4AaABAg,0,3 years ago,"wooow. you are an amazing cook! i really loved what you're doing, i mean the ""lowkey-ness"" of it yet very interesting way of making & preparing the dishes. it's all fresh and healthy! this makes me wanna be your assistant, like, i can chop the veggies and all for you tbh.",哇。你是一个了不起的厨师！我真的很喜欢您在做的事情，我的意思是它的“低调”，但非常有趣的制作和准备菜肴的方式。一切都是新鲜和健康的！这让我想成为你的助手，就像，我可以切碎蔬菜，全都为你tbh。
26759,Ugw5kgMbFGNfasRo9Zh4AaABAg.8ylsUk6Xarj8yzBdRsnk8M,0,3 years ago,"she is really amazing, more than 10 million fans on weibo",她真的很厉害，微博一千多万粉丝
26304,Ugxx87yUqrXVzNuMeRt4AaABAg,0,3 years ago,you are amazing,你很棒
26229,UgzlNNIgClbXIhtHid54AaABAg,0,3 years ago,simply amazing beyond words!! suddenly while watching liziqi life seems much more calm and peaceful,简直令人惊奇的是超越言语！！突然看着Liziqi生活似乎更加平静与和平
26216,UgyWvd6rjo0mG3Kshi14AaABAg,0,3 years ago,"is there any nutritional value from bamboo shoots? i would research myself but i hate them, i cant be bothered lol. anyhow everything looks amazing.",竹芽中有营养价值吗？我会自己研究，但我讨厌他们，我不能打扰大声笑。无论如何，一切看起来都很棒。
26188,UgwZA_k1ENc694aZ4CZ4AaABAg,0,3 years ago,you really know how to do everything don't you? its amazing on how many things you know how to do. i can't even learn a new language.,您真的知道该怎么做，不是吗？您知道该怎么做的事情令人惊讶。我什至无法学习一种新语言。
26117,UgzPSdOJl10M0U_zFHN4AaABAg,0,3 years ago,"do everything, so amazing",啥都会做，真厉害
26085,UgzRfV_d8bhEyrkx0Jl4AaABAg,0,3 years ago,"i always watch with great pleasure your channel! you live in a very beautiful place, just a paradise! the nature is amazing. very colorful videos, i see a lot from your culture for the first time. the girl is just cinderella, a craftswoman on all hands! it is clear that a whole team is working on the channel that makes such a successful project. all videos look in one breath. thank you for getting to know your cuisine, nature, culture! successful to you and long life to the channel!",我总是很高兴您的频道！您住在一个非常美丽的地方，只是一个天堂！大自然很棒。非常丰富多彩的视频，我第一次从您的文化中看到了很多。这个女孩只是灰姑娘，一位手上的工匠！显然，整个团队都在研究这一成功项目的渠道。所有视频一口气看。感谢您了解您的美食，自然，文化！对您来说成功，频道长寿！
26068,Ugw99oqoFpLGDZ3DwsN4AaABAg,0,3 years ago (edited),there is another similar channel https://youtu.be/gxfovz8m9sk the old man is like liziqi，amazing,还有另一个类似的频道https://youtu.be/gxfovz8m9sk老人就像liziqi，很棒
26032,UgyVMuvDUCvzeUjjMMt4AaABAg,0,3 years ago,"i'm confused, is this from china or vietman? it looks like vietnam country.. all her videos are amazing and great... i love the way she lives, it's a very simple living, lot of food from her own farm, harvesting every time she needs food to eat, and she is a very good cook, and creative on how she makes her menu deliciously. the foods she cooked very healthy.",我很困惑，这是来自中国还是越野？看起来像越南国家。.她所有的视频都很棒，很棒...我爱她的生活方式，这是一个非常简单的生活，她自己的农场里有很多食物，每次她需要食物都需要吃东西，她是一个非常好的厨师，并且在她如何使菜单变得美味的情况下创意。她烹制的食物非常健康。
25989,Ugw28mmAyNz-mjLaeHZ4AaABAg,0,3 years ago,1 week and over 6 million views...a true youtube star....amazing. beautiful and talented!,1周和超过600万的观看次数...真正的YouTube明星。美丽而有才华！
25955,UgzehYHa3Uta8YLx8-d4AaABAg,0,3 years ago,it's really amazing younger sister,真的好厉害一小姐姐
25737,Ugz2aOtXKALSOAOvfwN4AaABAg,0,3 years ago,i love you .you have an amazing talent,我爱你。你有一个很棒的才华
25728,UgxI5LwcgWR07XXfPa54AaABAg,0,3 years ago,"woooow amazing video.
you are a extraordinary chefs
i love it .❤","Woooow惊人的视频。
你是一个非凡的厨师
我喜欢它。"
25664,Ugx23LmSv94u9glhJeB4AaABAg,0,3 years ago,"it’s so amazing to me how they are so naturally abundant. she works incredibly hard, yet watching her is so relaxing.",对我来说，它们是如此自然的丰富性真是太神奇了。她的工作非常努力，但是看着她是如此放松。
25446,Ugy5YgAVcmqT-pQu83t4AaABAg,0,3 years ago,how old is this girl? she is amazing.,这个女孩多大了？她很棒。
25350,UgyOevvLzs8v_KQI2Kl4AaABAg,0,3 years ago,sister. why are you so amazing?,妹妹.你怎么那么厉害
25318,UgybGRkCTfK5RmbQS3F4AaABAg,0,3 years ago,"hi, i really love your cat videosin your channel. i also havea channel and want to expose it more from people. it would be nice if you can check it out and leave a like and comment . my cats are very special and have their own amazing things they do.",嗨，我真的很喜欢您的猫视频您的频道。我也有频道，想向人们展示更多。如果您可以检查一下并发表评论，那就太好了。我的猫很特别，他们有自己的惊人事情。
25311,Ugzdmv4_RiicHgF4Az54AaABAg,0,3 years ago,hello from france you are truly amazing and so peacefull,来自法国的您好，您真是太神奇了，如此和平
25306,UgzJQapnr6-Px0c75_54AaABAg,0,3 years ago,"wow amazing, i like it",哇，太棒了，我喜欢
25161,UgwHXXpwh5TITRLYhRJ4AaABAg,0,3 years ago,wow amazing and simple life province,哇惊人而简单的生活省
25112,UgwGrjlepOwcc1ivpn54AaABAg,0,3 years ago,cultural output ~ li ziyi is really amazing,文化输出～李子柒可真了不起
25095,UgxuD0ytS0Qk38Ic7wR4AaABAg,0,3 years ago,"this is really amazing& u wanna just let everything behind & go to live there with her & taking care of her mom or grandma i don't know.it makes me feel sorry about losing my life & time without spending more time with my mom 
god bless you girl","这真是太神奇了。这让您感到很开心，您想让一切都在后面，与她住在一起。这让我对失去生活和时间感到难过，而不必花更多的时间与妈妈在一起
上帝保佑你女孩"
25050,UgxLQOqWokAciZTKqu54AaABAg,0,3 years ago,how come she's so skillful and experienced to everything while she looks quite young? just amazing !,她看起来很熟练和经验丰富，而她看起来很年轻？太棒了 ！
25025,UgyWRx1H9iYAvPBSXPV4AaABAg,0,3 years ago,they are absolutely rich. your chanel is really amazing..i wish i could live in your place for a while.,他们绝对有钱。您的香奈儿（Chanel）真的很棒。我希望我能在您的住所住一会儿。
24921,UgyarGLf9LpQx41g6Wt4AaABAg,0,3 years ago,she is amazing,她很棒
26990,Ugzc5Q3BJD9NG7LodlZ4AaABAg,0,3 years ago,sister is so amazing,姐姐好厉害
26998,UgzbN41WuQIGs-UWqVZ4AaABAg,0,3 years ago,wow that's amazing!!,哇，太神奇了！！
27000,UgywkMtEq5px_5QsqPt4AaABAg,0,3 years ago,so really amazing job i am really episode i was for nepal,我真的很棒的工作，我真的是尼泊尔的情节
28355,UgxkPgqkhizagFpy86t4AaABAg,0,3 years ago,"this is so amazing 
and also i love the music background too","这真是太神奇了
而且我也喜欢音乐背景"
29386,Ugx_g7DIHOQc5QKClCV4AaABAg,0,3 years ago,h h how does she keep that figure. amazing.,她如何保持这个数字。惊人的。
29376,Ugx3qpMPQQb70Kr0PMF4AaABAg,0,3 years ago,i was waiting for your video. amazing cooking,我在等你的视频。惊人的烹饪
29158,Ugw6rOdNw7Y8mBWTOw14AaABAg,0,3 years ago,"the strength of this little angel is amazing! the weight she carries around would be impossible for many western women. her beautiful spirit is really unique. calm, peace, love for her beloved family/granny and for nature around her. a blend of what we humans should all have. just another 1000 of her would make our world a better place. i am sure she touches deeply all that watch her videos. such a blessing to have this channel!",这个小天使的力量很棒！对于许多西方妇女来说，她所携带的体重是不可能的。她美丽的精神确实是独一无二的。平静，和平，对她心爱的家庭/奶奶的爱以及周围的大自然。融合了我们人类应该拥有的一切。她只有1000人将使我们的世界变得更美好。我相信她会深入观看她的视频。拥有这个频道真是太幸运了！
29138,Ugzb-om-Mb9s-sFbqhh4AaABAg,0,3 years ago,love your videos <3 you are amazing,爱你的视频<3你很棒
29108,UgzldnHbAlGvpYXiofl4AaABAg,0,3 years ago,"it turned out that the pack of things brought back last time was screw, and there was a correlation between the videos. it was amazing and great!",原来上次采藕回来带的那包东西是螺丝，视频之间都有关联，很神奇，好棒！
29102,UgzeYZQ0zL7fXg2VpFB4AaABAg,0,3 years ago,she is really amazing with all the things that she can do living in this naturally abundant surrounding of hers. it’s almost unreal.,她对她能够在她的自然丰富的周围生活中所做的所有事情真是太神奇了。这几乎是不真实的。
29082,Ugx10rfC1v2rjXXClJZ4AaABAg,0,3 years ago,"the snail powder is delicious! intersection intersection intersection intersection ziyi is so amazing, i can do it by myself",螺蛳粉可好吃了！！！！！子柒好厉害，还能自己做
28500,Ugw1tLEisrQg0QSUEQF4AaABAg,0,3 years ago,amazing food dear sis,令人惊叹的食物亲爱的sis
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
28429,UgwfgOIwlyv3TRYa-0V4AaABAg,0,3 years ago,please can we have an english translation along with these amazing films. it would teach us so much more. thank you and very well done.,请我们可以将英文翻译以及这些惊人的电影进行。它会教我们更多。谢谢你，做得很好。
28401,UgyCdQe763oMxvI-ENV4AaABAg,0,3 years ago,she like pocahontas to me thats how i see her amazing girl,她喜欢我的Pocahontas，这就是我如何看待她的惊人女孩
28400,UgxreSQLSqSgvhewAdh4AaABAg,0,3 years ago,china is amazing,中国很棒
28386,UgwVM8uHXNpUEZbZckx4AaABAg,0,3 years ago,"da bamboo shoots are ginormous, sooo much to eat. oh yes an everything is grown. truly amazing and beautiful, loved it great job.",da竹芽很巨大，可以吃很多东西。哦，是的，一切都长大了。真正的惊人和美丽，喜欢它的出色工作。
28334,Ugx5OUKqxzWkpA_NwDB4AaABAg,0,3 years ago,your video is amazing,您的视频很棒
27314,UgzGmA3_lmxsjcvowfR4AaABAg,0,3 years ago,always amazing.,总是很棒。
28245,Ugzmyb7J-jHverIhl5F4AaABAg,0,3 years ago,"she is a princess from wonderland. everything she did is amazing. i am desiring to make a cooking channel but honestly, every single thing is so hard for me. should i give up?:(",她是仙境的公主。她所做的一切都很棒。我希望制作一个烹饪渠道，但说实话，每件事对我来说都是如此困难。我应该放弃吗？：（
28178,Ugz7tjaBa4mb6ZZOl_h4AaABAg,0,3 years ago,see to happy how amazing these people taking natchure create thinks.,看到这些人进行natchure创造思想的奇妙之处。
28138,Ugy2MJ64JcWf0tw4Ms54AaABAg,0,3 years ago,amazing lady.,神奇的女士。
28117,UgySvPkiOFYe-36t1294AaABAg,0,3 years ago,she has amazing skills and incredible life style,她具有惊人的技能和令人难以置信的生活方式
27935,UgwdkOuMYJJFFB32TO54AaABAg.8yapMy87noC8zYd2ae648M,0,3 years ago,"guys liziqi is amazing she doing, everything she touching or making y a great work what do you think guys amazing right?",伙计们Liziqi很棒，她在做她的一切，她触摸的一切或使Y成为一项出色的工作，您认为男人很棒吗？
27914,UgxxcTQTboRwuq4dcWh4AaABAg,0,3 years ago,just amazing!,太棒了！
27870,UgwpUah82HF6m1WQkC54AaABAg,0,3 years ago,amazing wow❤❤❤❤,惊人的哇
27866,UgzuILcC2EjhxJGhsO94AaABAg,0,3 years ago,amazing video! love from vietnam,惊人的视频！来自越南的爱
21876,Ugx0s0ob1pWVxMz3gh94AaABAg.9-S1sOKIkJc9-a8w3f08xT,0,3 years ago,so amazing,如此惊人
27817,UgzU70C2zS5sALYMe6N4AaABAg,0,3 years ago,"this ekip is amazing! they make everything seems so natural. the life, the living standard, the food.,etc everything. but, the video was made so professionally. she acts every well and natural as well. the video angles are also nice. so we know there is an excellent ekip behind",这个Ekip很棒！他们使一切看起来如此自然。生活，生活水平，食物等。但是，该视频是如此专业制作。她也表现得很自然。视频角度也很好。所以我们知道背后有一个出色的ekip
27780,Ugxa-II4eBgJr_vgdWR4AaABAg,0,3 years ago,amazing women..,惊人的女人..
27773,UgypfwGJR1oex3MzvBB4AaABAg,0,3 years ago,"your cooking technique is really amazing, all ingredient are just from your backyard",您的烹饪技术真的很棒，所有成分都来自您的后院
27321,UgzQHaA2kg7fmt7X9id4AaABAg,0,3 years ago,how can somebody put a dislike on liziqi's perfectly amazing videos? like seriously?,有人如何不喜欢Liziqi的绝妙视频？喜欢认真吗？
21959,UgwubpDIAP0ERX2COUF4AaABAg,0,3 years ago,the view is so amazing in every video...the sound n everything is so relaxing..till now i have viewed all your videos.i don't like kitchen work but really after seeing you i feel an urge to go to the kitchen n cook something..i have come across many useless cooking videos on youtube but truly speaking yours the the best..your hardwork is clearly visible in these videos..n i admire you alot for the respect n love you have for your grandma,每个视频中的景色真是太神奇了...声音n一切都很放松。.现在我已经观看了您所有的视频。我不喜欢厨房的作品，但实际上见到您后，我感到渴望去厨房n煮东西..我在YouTube上遇到了许多无用的烹饪视频，但真正说出您的最佳。您在这些视频中清楚地看到了您的努力。您的位置，您的风格和生活..保持前进
17925,UgwYttktVCiLAkosPfV4AaABAg,0,3 years ago,we eat bamboo shoots as well. it’s absolutely amazing.,我们也吃竹芽。绝对很棒。
21867,UgwyqtwMuLKDQbKzAWh4AaABAg,0,3 years ago,she's amazing ❤,她很棒❤
10456,UgypD67aOZrbIiw6FPh4AaABAg,0,3 years ago (edited),i love the song the place the girl on this video shes so amazing,我喜欢这个视频中的女孩的歌，她真是太神奇了。
6540,UgwRQfIQRx-3YbVlQlp4AaABAg,0,2 years ago,wow you are a very talented amazing lady you van do everything by the way where are your parents and dont yo have a boyfriend i just browse your channel accidentally ang i love it so much wow what a gifted lady you are,哇，你是一个非常有才华的女士，你货车做了一切，然后你父母在哪里，你没有男朋友，我只是意外地浏览你的频道，我非常喜欢它
6583,UgxWOReMUdxSyLRCmu94AaABAg,0,2 years ago,omg!!!๐ฒ is there anything this amazing girl can't do?๐ฏ incredible!!!๐๐’•,天哪！！！
6657,UgxfL97iieABf7AnpT54AaABAg,0,2 years ago,wow amazing foods,哇，令人惊叹的食物
6735,UgzI_QIimOdS6Kr7RkV4AaABAg,0,2 years ago,amazing life style love,惊人的生活方式爱
6825,Ugx1aSS8A2lqVHtswY54AaABAg,0,2 years ago,she has amazing talent ๐‘๐‘,她的才华很棒
6842,UgxflY-051DMvZXCilx4AaABAg,0,2 years ago,every tging is amazing outstandingggg u areeee love uuuu. alll the best kppp going,每个ting都很出色，u uuu uuuu。最好的kppp
6894,UgxO57_0JSj9MaZb-UZ4AaABAg,0,2 years ago,really amazing,真的很棒
6908,UgwZfseRluH37dQNGvJ4AaABAg,0,2 years ago,wow amazing,哇，太棒了
7078,UgyLv42Ut59NHU2r6aV4AaABAg,0,2 years ago,you are amazing,你很棒
7146,UgzIn4RG0vKnEGs8HRp4AaABAg,0,2 years ago,the sounds are amazing,声音很棒
7226,UgxZ4B6Ve541seaeTdZ4AaABAg,0,2 years ago,she is amazing.,她很棒。
7240,UgwAK7rSBWwv0kNmOXV4AaABAg,0,2 years ago,"if u are reading my comment just smile, everything will gets better...its just matter of time...be patient...uโ€ll face a happiness tht uโ€ve never been expecting...smile u beautiful human u are amazing jst the way u are โค๏ธ",如果您正在阅读我的评论，只是微笑，一切都会变得更好...它只是时间问题...要耐心...您将面对幸福，您从未期待...微笑您美丽的人JST真是太棒了。
7278,UgyGSQ6-HlnQzS_RoEZ4AaABAg,0,2 years ago,amazing are these foods you could say through your stomach to your heart until your saliva is flowing. i wish you a nice day.,您可以通过您的肚子对您的心脏说这些食物，直到您的唾液流动为止。祝今天好运。
7311,UgzDZUPrNf_CbfEN3oh4AaABAg,0,2 years ago,she is amazing.,她很棒。
7319,UgxNnwe33ZLoSdKm-rt4AaABAg,0,2 years ago,amazing vidios,惊人的Vidios
6444,UgwTd93ZgKylZTuWy4J4AaABAg,0,2 years ago,this is why american men go to china and bring back their women! looks amazing,这就是为什么美国男人去中国带回女人的原因！看起来好赞
6421,Ugxj4PLdN9hV1gq6o9F4AaABAg,0,2 years ago,what an amazing lady....,多么了不起的女士...
6182,UgwyfdLstlZA1r71xGt4AaABAg,0,2 years ago,wow this is so nice and amazing to โค๏ธโค๏ธโค๏ธ๐’,哇，这真是太好了，很棒的❤️❤️❤️
5342,UgwYZFk4YRn2tAEZ3Xp4AaABAg,0,2 years ago,"this woman is amazing, gourmet meals out of almost anything..",这个女人很棒，几乎任何东西都可以用美食。
5135,UgyNd7kq7ljv0ZPBOIN4AaABAg,0,2 years ago,"liziqi ,you are an amazing person.love your place and your hard work. may you and your grandma be blessed always",liziqi，你是一个了不起的人。爱你的位置和辛勤工作。愿你和你的祖母永远得到祝福
5158,UgwKBep3hJRxQeY_C7p4AaABAg,0,2 years ago,you're soo amazing,你真是太神奇了
5164,UgxAZIIXlLM-CL3cF0Z4AaABAg,0,2 years ago,wow it amazing superb... love tripura ๐’–๐’–๐’–๐’–๐’–๐’–๐’–,哇，太棒了...爱tripura
5201,Ugwd_m7gM_F8wU8f9oR4AaABAg,0,2 years ago,wow ! amazing,哇 ！惊人的
5217,UgyYD74J5yelL8I1U7B4AaABAg,0,2 years ago,"amazing, greetings from indonesia",惊人，来自印度尼西亚的问候
5259,UgwF0fdUDgD_3zGX4sl4AaABAg,0,2 years ago,"you are really an amazing woman! i just hope someday i will get a chance to visit and tour your garden, itโ€s a paradise! canโ€t wait to watch your incoming videos..take care always!mmmwah!",你真的是一个了不起的女人！我只希望有一天我会有机会参观和参观您的花园，这是一个天堂！迫不及待地想看您的传入视频。永远照顾！嗯！
5380,Ugwk2fYpT62Qq6BedWx4AaABAg,0,2 years ago,amazing,惊人的
6120,UgwEl5tEuNab9Dqoprx4AaABAg,0,2 years ago,really amazing subscription points. essence essence,真是惊人的订阅点阅数。 。 。
5495,UgyvC0zdox_RcDJUAUh4AaABAg.9GOFskXFXco9KDsKrLAb0c,0,2 years ago,wooow it's so amazing,哇，真是太神奇了
5504,UgxppfjqETLJ72F_Avx4AaABAg,0,2 years ago,amazing !!!,惊人的 ！！！
5508,UgxXeuAIsz7d9iOpn1V4AaABAg,0,2 years ago,"god willing, amazing",上帝愿意，神奇
5980,Ugzg67ZnTEtled76ETN4AaABAg,0,2 years ago,wow u really are an amazing person,哇，你真的是一个了不起的人
6021,UgxmJhMD5g-VVvaZmld4AaABAg,0,2 years ago,wow amazing,哇，太棒了
6084,UgwedFJqd9874UGjeDJ4AaABAg,0,2 years ago,amazing๐คญ,惊人的
7370,Ugw-dfUn7SUT1-Q0hSF4AaABAg,0,2 years ago,i want to live near there the solidarity would be amazing,我想住在那里的团结会很棒
7383,UgyOxLilGlL3ZNAZ3Qh4AaABAg,0,2 years ago,amazing cooking,惊人的烹饪
7400,UgyzE0TD1qw7J56oiel4AaABAg,0,2 years ago,"hello, i think you amazing, congratulations.",您好，我认为您很棒，恭喜。
