,cid,votes,含like,含like中文翻译
36667,UgzG-1uspVAc8lhs92Z4AaABAg,0,"cuoi ลg ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ลฃ ... ... ลซ i like me is here, i cลซng s ฤ“ ลg like bฤ…n !!! ahoj",cuoi cţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţţ ţţţţţţţţţţţţţţţţţţţţţ... ... i我喜欢我在这里，icūngsēg像bąn一样！ ahoj
48907,UgzL_khYvhbltH7Orbh4AaABAg,0,how beautiful everything is like in a dream,梦中的一切都像美丽的一切
42231,UgyyySRbeSh_JGVB2TN4AaABAg,0,like a dog,像狗一样
36691,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ9AQzgrNx02s,0,"@bunnyai4067 so she is portraying a chinese convention? i thought she was an entrepreneur. just curious. i mean her content is very well curated, so degrees of authenticity can be brought in question. but i would like to hear more.",@bunnyai4067所以她在描绘中国大会吗？我以为她是一名企业家。只是好奇。我的意思是她的内容经过精心策划，因此可以提出疑问的真实程度。但是我想听听更多。
36701,UgxMNjc2yDGD_kL1jJ94AaABAg,0,i like it. thank you for sharing!,我喜欢。感谢你的分享！
36706,UgzM7KQBLI8jFA5jvaV4AaABAg,0,.....this song ....like digimon theme song ?,.....这首歌....像Digimon主题曲一样？
36812,UgxOUPArZuPlt51ESK14AaABAg,0,i would like you to say it in spanish,我想你用西班牙语说
36820,UgxIOY_SmYwF4vesqqd4AaABAg,0,your life is amazing i kinda wanna live like that,你的生活很棒，我有点想生活
36822,UgxQGvaUIzq1411Tj_V4AaABAg,0,this legit looks like some kinda fairyland,这个合法看起来像某种童话
36826,Ugx2ojhyCBDrBw1Gnyx4AaABAg,0,she make me felt like i am a lazy person :(,她让我觉得我是一个懒惰的人:(
48574,UgwH4c97CQlXbq6FEWZ4AaABAg,0,"910,000 views, 13 hours, can you believe it? intersection and it's all about crooked nuts, no problem, like ~~",91万浏览量，13个小时，你能信？？而且全是歪果仁的留言，没毛病，赞~~
48545,UgzmxbHDQQa3OV3bMrF4AaABAg,0,"can someone please tell me if she is real? or is an actress?? i can’t believe how peaceful and comforting her channel is. i just can’t believe someone like her even exists. her contents are just so organic, meditating and addicting!",有人可以告诉我她是否真实吗？还是女演员？我不敢相信她的频道有多安宁和安慰。我只是不敢相信像她这样的人甚至存在。她的内容是如此有机，冥想和上瘾！
48476,UgxMJZzqdxFhh5ANjEp4AaABAg,0,"i have liked sugar gourds and melon seeds since i was a child, but now i have returned to china to buy sugar gourds!","我从小到大最喜欢糖葫芦和嗑瓜子了,但是现在回国糖葫芦都好难买到啊！"
48464,UgwLuixiYDao6N1XZXB4AaABAg,0,"i like the nature of the girl, authenticity, and unwillingness. her works make people feel comfortable, heal, and awesome. remind me that the world is still beautiful and hopeful.","喜欢柒姑娘的自然, 真实,不矫情. 她的作品让人看了舒服, 疗愈, 给力. 提醒我这世界还是美好的有希望的."
48462,UgweyaoXHFo3uTo7PPF4AaABAg,0,"i really admire you. she has a free life, doing what she likes. wish you always healthy",我真的很佩服你。她有自由的生活，做自己喜欢的事。希望你永远健康
37074,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8zsy3V_qGLw,0,so what? you sound like you can do anything like her with another camera man? get a life!,所以呢？您听起来好像可以和另一个相机男人一样做任何事情？享受生活！
48445,Ugx9Nd2suC06JbJZhp94AaABAg,0,"i like your videos so much, many things familiar to childhood are like returning to my childhood dream",太喜欢你的视频了，很多儿时熟悉的事物，就像回到童年的梦境
37087,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP97sPSvxQiYh,0,"@collinabroadcast you absoletely right about this. this is isnt looking like typically countryside life in china. too perfect, too clean...",@collinabroadcast绝对正确地关注您。这看起来不像中国的乡村生活。太完美了，太干净了...
37094,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP9EkJrZ0GRda,0,"like and share plzzz 
https://youtu.be/mgrzk30qzdq","喜欢并分享plzzz
https://youtu.be/mgrzk30qzdq"
37098,Ugy1Zq1akzwHyN6AoZ94AaABAg,0,"so wonderful video why 7n dislike ,so sad",如此出色的视频为什么7n不喜欢，如此难过
42176,UgzkYz-mzeW8Rsyy1zh4AaABAg,0,i like you,我喜欢你
37114,UgywH6SG4dpR3uRrUX14AaABAg,0,video like dick,像迪克这样的视频
37126,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXugKhsoMg,0,kenny โ€ข my grandma had something like that. she sadly passed away and the house was sold. she didnโ€t have any animals but we always had fruit trees.,肯尼•我的祖母有这样的东西。她可悲地去世了，房子被卖掉了。她没有任何动物，但我们总是有果树。
37145,UgyfmvoaSOBkQZWTcz54AaABAg,0,i like the atmosphere ๐,我喜欢气氛
42156,UgxTat5FYX_LACKhBaZ4AaABAg,0,i felt like watching real harvest moon. so satisfying.,我感觉就像看真正的收获月亮。如此令人满意。
37163,UgxENLpx9ic2qxaOf4N4AaABAg,0,i like you bat l love you,我喜欢你蝙蝠l爱你
48404,Ugzhnq-bZBMgNYz6Sxx4AaABAg,0,i really like to see ... ^. ^,我真的很喜欢看到... ^。 ^
42150,UgyQWPRgD7bLGRgFCsN4AaABAg,0,"i think i'm the only one who speaks spanish like di, the puppies gave you tenderness",我认为我是唯一一个像di这样讲西班牙语的人，小狗给你温柔
37167,Ugx53ikOozuft6vEb5d4AaABAg,0,i don't know how i came here but i'm so happy watching this. it is the life i want to live. i would like to see the dogs eating too!!,我不知道我是怎么来这里的，但我很高兴看着这个。这是我想过的生活。我也希望看到狗在吃东西！
48578,UgwJRVRIu_dPdBjRt9R4AaABAg,0,"i love this girl. the channel make me feel like i'm in a different time. like when people didnt have phones
instead completed chores and felt accomplished. and actually did something proactive.","我爱这个女孩。频道使我觉得自己在不同的时期。就像人们没有电话
取而代之的是完成琐事并感到成就感。实际上做了一些积极主动的事情。"
37012,Ugz4GptXpJdkti8gwNF4AaABAg,0,wow i like this video..,哇，我喜欢这个视频。
48590,UgzQq1sYB-Ple89n9Bx4AaABAg,0,"i used to dream of giant fruit like those grapefruit looking things when i was a kid,didnt know they was real...and i have no idea why i dreamed of giant fruit.love the videos.",我曾经梦想着像那些小时候的葡萄柚一样的巨大果实，不知道它们是真实的……而且我不知道为什么我梦到了巨大的水果。
36915,UgxIjurTDerbv1Cz07l4AaABAg,0,i really like to see this girl .. she's very good .. the countryside is very peaceful,我真的很喜欢看到这个女孩..她很好..乡村很宁静
36829,UgxaZf5tYEBGdLqEBjl4AaABAg,0,3:18 her fireplace stove thingy is shaped liked a doggyyyyyy and the wooden thing that closes it is shaped like a bone ahhh adorable!,3:18她的壁炉炉的形状被形状喜欢狗狗，而木制的东西闭合它的形状像骨头Ahhh可爱！
36842,UgzQ0eEiQgVNPfpO1vt4AaABAg,0,ui ... admire too ... i like,UI ...也很欣赏...我喜欢
36854,UgzYuh5EH6M2HIrHEOB4AaABAg,0,"this legit looks like a live action version of a ghibli movie, every single shot is beautiful and magical.",这个合法看起来像是吉卜力电影的现场动作版本，每镜头都是美丽而神奇的。
42193,UgwFzXciGdyZQ08jEQd4AaABAg,0,i like dog and goat i love this,我喜欢狗和山羊，我喜欢这个
48767,UgzSpIuZy0MjC78DuGh4AaABAg,0,like,喜欢
42178,UgySY4N9o-QYSgZc7JR4AaABAg,0,i like it very much.,我非常喜欢它。
48755,UgzayGWegtBKnptWqyp4AaABAg,0,it looks like the beautiful countries described in fairy tales. is there such a place in the world,看起来像童话中描述的美丽国家。世界上有这样的地方
48736,UgwTAWzisQE2zQOq-dd4AaABAg,0,"i hope to live like you, my sister ..",我希望能像你一样生活，我的姐姐。
36918,Ugzzfi2Rtz0IvD6dD3R4AaABAg,0,if people disliked this video or all the video they're very ignorant about the truth of life this is beautiful two beautiful i love everything it brought me peace. i changed everything in my house i bought everything is natural made with clay in other dishes.โค๏ธ,如果人们不喜欢这个视频或所有视频，他们对生活的真相非常不知道这是美丽的两个美丽，我喜欢它带给我和平的一切。我更改了房子里的所有东西，我买的所有东西都是自然用其他菜肴制成的。
36997,UgzT7_5rOtbh8_8IkWZ4AaABAg,0,"tbh, i love being connected with my computer and everything, especially to see this type of content, but i feel like we should go way more outside and earth should look way more like in the video: original and beautiful nature! not pollution made by tons of cars and huge sky crappers hiding the horizon... the way this young lady showed us how creative you can be with so many things nature gives us legit got me in tears... we're here trying to fight for environmental changes while she's living what i'd call a true and simple life. that's what we all should try to reach, simple and pure happiness, made from little things of the daily life.",tbh，我喜欢与我的计算机和所有内容联系在一起，尤其是看到这种类型的内容，但是我觉得我们应该在外界更像，地球应该更像是视频中的：原创和美丽的自然！这不是大量的汽车和巨大的天空cr险污染，隐藏着地平线...这位年轻女士向我们展示了您对大自然的多种事物的创造力，使我们感到哭泣……我们在这里试图在这里试图为环境变化而战，而她过着我所说的真实和简单的生活。这就是我们所有人都应该尝试到的，简单而纯洁的幸福，这些幸福是由日常生活的小东西制成的。
48712,UgzhL5kdhe_874_fpqt4AaABAg,0,"you are a unique man who in the most poetic way can show what we all miss so much. in poland, our kitchen is not as complicated as yours, but if you would like to try it, i invite you to visit me in the polish countryside. i greet you cordially and thank you for this wonderful movie.",您是一个独特的人，以最诗意的方式可以展示我们都非常想念的东西。在波兰，我们的厨房不像您的厨房那么复杂，但是如果您想尝试一下，我邀请您在波兰乡村拜访我。我亲切地向您致意，感谢您的这部精彩电影。
48656,Ugyh-KobVRmJLW8THN54AaABAg,0,wow how i like to see this girl working conveys a peace i don't know the music harmony as she does me,哇，我喜欢看到这个工作的女孩传达了一个和平，我不知道音乐和谐
48655,UgwuUFAcTRjeynOQ3-t4AaABAg,0,i've never seen some of the fruits that you use and in my country dishes are very diferent than in your so enerything that you're doing is like magic for me,我从未见过您使用的一些水果，而在我的乡村菜肴中，与您所做的事情相比，您所做的像魔术对我来说就像魔术
48649,Ugx8rY9f4xp37_CSTpJ4AaABAg,0,"granmas little hat is ssssoooo cute, just like her",Granmas Little Hat很可爱，就像她一样
48648,UgxyEQzHA0ACV2K9T-J4AaABAg,0,"it feels like my grandparents and nurses of the new year. at that time, hou had no money and a lot of things. i rarely went out to buy it! simple",给我的感觉就像是爷爷奶妈那辈人过年的气氛，那时侯没钱好多东西都是自己弄很少出去买！简简单单的
48643,Ugx9RKZZ7x9HpuD_gP94AaABAg,0,"your videos relaxes a lot, i hope to live like this in my other life ...",您的视频很放松，我希望在我的其他生活中像这样生活...
48633,UgwKAe85O2fT5a6I3XV4AaABAg,0,how i wish i have skills like you. i really admire you a lot,我希望我有像你这样的技能。我真的很佩服你
48630,UgxHkLaNgZz9h-4yRCp4AaABAg,0,"older than usual, i like it 长 长 长",比平时更长，我喜欢它
49041,Ugzyla3NdrJ2npvjy3l4AaABAg,0,i like she to match,我喜欢她匹配
36574,Ugx0fEZU4afYve1xWAB4AaABAg,0,"what about those two little dogs? like they didn't exist, sad.",那两只小狗呢？就像他们不存在一样，悲伤。
36123,UgxvQ3XQQc1RWfhijud4AaABAg,0,how can anyone not like this???!!! it was so great!,谁能不喜欢这个？？？太好了！
36230,UgypiSReYbvXPFsziKx4AaABAg,0,you look like the best cook ever,你看起来像是有史以来最好的厨师
43689,UgwDUBhxXoHoYwdp8wV4AaABAg,0,"how come i make you feel at home. the house is comfortable, very traditional. as i want to make it happen if i can come in one place, yes i want it like this. kerennn ... ❤❤",我怎么会让你宾至如归。房子很舒服，非常传统。由于我想在一个地方来实现它，是的，我想要这样。 Kerennn ...❤❤
49430,Ugzu9abYlXYARcRd3Ol4AaABAg,0,i liked that sooo much ...but didn't got that ...y she is making that dishes ...,我非常喜欢那太...但是没有那么...是的...她正在做菜...
36279,UgzuB_1acOx7uQiirhh4AaABAg,0,i want to see the head of these crazy people who have dislike this video,我想看看这些不喜欢这部影片的疯狂人的头
42321,UgxPZ8d5EfrHV9O2_xp4AaABAg,0,"i like the landscape feeling
do you know?","我喜欢景观的感觉
你知道吗？"
43696,UgypqH-AvvuWBS4OTDd4AaABAg,0,"hi

i impressed your creative and i just created a youtube channel and i would like introduce to you.

channel address
deliciousbowl

https://goo.gl/aqttrw

kindly support 

my channel prefer indian style food and i would like to learn international food and like to introduce to our community.","你好

我给您的创意留下了深刻的印象，我刚刚创建了一个YouTube频道，我想向您介绍。

频道地址
美味碗

https://goo.gl/aqttrw

请支持

我的频道更喜欢印度风格的食物，我想学习国际食品，并希望向我们的社区介绍。"
43737,UgzIEcaIH5bWfd3x_UB4AaABAg,0,"objectively no reason for bad rating. those who rate poorly have iq (intelligence, think and understand what is good or bad) from donald toupet hamster. i like st upid bad reviews, people, because i can laugh and puke at the same time
there is no reason for the error rating. those who have poor evaluations include the iq of donald toupet hams (intelligence, thinking and understanding what are good or bad). i like stupid bad reviews, people, because i can laugh and vomit at the same time","Objectively no reason for bad rating. Those who rate poorly have IQ (intelligence, think and understand what is good or bad) from Donald Trump Toupet hamster. I like stupid bad reviews, people, because I can laugh and puke at the same time
客观上没有错误评级的原因。 那些评价不佳的人有唐纳德特朗普Toupet仓鼠的智商（智力，思考和理解什么是好或坏）。 我喜欢愚蠢的坏评，人，因为我可以同时笑和呕吐"
36291,Ugz2_dM2djuHk0Ue0o94AaABAg,0,she looks like heybin from momoland,她看起来像来自莫兰兰的海宾
36303,UgyrsoNcbn815eRbekV4AaABAg,0,who.. who disliked this??,谁..谁不喜欢这个？
49371,UgwA6TnDCRzhkO2dpzl4AaABAg,0,i wish my wife would be like this,我希望我的妻子会这样
36304,UgxHsc426WP5Mevjfw54AaABAg,0,"i imagine that you live in nature like you, and there is no pressure from thailand.
i want to live like you who are free in the midst of nature, without presure from thailand.","我想像你一样生活在大自然中自由，没有来自泰国的压力。
I want to live like you who are free in the midst of nature, without pressure from Thailand."
36322,UgwvRYso59Zz1tCONzx4AaABAg,0,"this is the real and normal life.....no many dollars,no very expensive cars ,no jewelry ,no big house!!!!!!!just simple and very nice people.along time ago in roumania people lived like in this video.i wish you this life in this moment.patryk from roumania",这是真实而正常的生活.....没有多少美元，没有非常昂贵的汽车，没有珠宝，没有大房子！这个视频。祝您这一生，这一刻。来自Roumania的Patryk
36323,Ugw7pCVFhrZURbkqbwx4AaABAg,0,imagine what life would be like if we all lived like this. life would be a lot better.,想象一下，如果我们都这样生活，生活会是什么样。生活会好得多。
36336,Ugxpd_lyrOfHsikXuhV4AaABAg,0,she lives like a ghibli film,她像吉卜力电影一样生活
36342,UgwJUn9V7VZLuvGFqiF4AaABAg,0,"god, give me a wife like her",上帝，给我一个像她这样的妻子
36353,Ugw0vh03FgxLem9D22F4AaABAg,0,"i want to live s life like her. no technology, simple peaceful life with nature โค๏ธ",我想像她一样过上的生活。没有技术，简单的和平生活与自然
36360,UgyZ7FBFv_bXjnFkgr54AaABAg,0,i wish to shake my wife like that :),我想那样摇动我的妻子:)
36361,Ugy6Ae2AWVdWF6YiO6N4AaABAg,0,i want to live like this wtf,我想像这个wtf一样生活
49349,UgwB5148PGj6J81cUTN4AaABAg,0,"i just wish i could have been able to learn things like this, like...they do practically everything by hand. it's such a traditional way of life, it's completely lost on the rest of the world.",我只是希望我能够学习这样的东西，就像……他们几乎手工做所有事情。这是一种传统的生活方式，它在世界其他地区完全迷失了。
36369,UgySnJhjQFWYJ7quCXZ4AaABAg,0,most of all i liked the shoe on the granny (red),最重要的是，我喜欢奶奶上的鞋子（红色）
36231,UgwDlIvgAS1I4m1Iqe54AaABAg,0,why do they store all the food ? is it like dehydrated for later ?,他们为什么要存储所有食物？像脱水一样以后吗？
43678,UgydE6ODcmBqAfCbwON4AaABAg,0,i'm from india i like cooking style grateful making videos,我来自印度，我喜欢烹饪风格的感激您的制作视频
36572,UgxSowBmbg290k4N71Z4AaABAg,0,i like it how her sheep and dog are with her all the time,我喜欢她的绵羊和狗一直与她在一起
36220,Ugwg36BaH4HzYn-3Ptd4AaABAg,0,how can i eat like this?,我怎么能这样吃？
42379,UgwlzQphpPSErPho8Jd4AaABAg,0,"i don't know how i get here and why am i watching this in the middle of the night, but i like it so much",我不知道我是怎么到达这里的，为什么我在深夜看它，但是我非常喜欢
49548,UgxFaSiDB7THh1a8rpZ4AaABAg,0,like for dogs ❣,喜欢狗❣
49541,UgxLelgIYigmawcqLYJ4AaABAg,0,"also loss, if you have a wife like this",也损失，如果您有这样的妻子
36165,UgysWZ_4EMjz3AmiQh14AaABAg,0,literally looks like a fairytale,字面上看起来像个童话
42363,UgwxHtrFPycJ4WbL3EZ4AaABAg,0,i like your cooks i like you very much,我喜欢你的厨师，我非常喜欢你
36166,Ugzfw-Yrfg-0NV0a5IB4AaABAg,0,is this a real life??? it looks like some kind of fantasy story.,这是现实生活吗？？？看起来像是某种幻想故事。
43674,Ugz_ASzCzKIhLM0ZpNd4AaABAg,0,i want to live like her life.,我想像她的生活一样生活。
42357,UgyVv_Eq9L041j4lkeN4AaABAg,0,"i seriously doubt if its made by her! 
more like chinese government or corporate funded,.. and probably shot in a studio


the video is really top notch, no complaints.. just curious!","我严重怀疑它是否由她制造！ 
更像是中国政府或公司资助的。


该视频确实是一流的，没有抱怨..只是好奇！"
34946,UgyIUCZbX55yJ93aARN4AaABAg,0,"i need the recipe to these like....asap lol she is so awesome, i watch her at work when i should be working, on break, on my way home and before i go to bed. she is what keeps my anxiety down but the treats look really good i wanna try some๐’๐’๐’๐’",我需要这些食谱。她是让我焦虑的原因，但是我想尝试一些痛苦，我想尝试一下
36167,UgwhyjBHrqY9Dy3Wxkh4AaABAg,0,i feel like these videos are straight out of a studio ghibli film.,我觉得这些视频直接来自吉卜力工作室电影。
36168,UgwhHAaFyXDFTncroVh4AaABAg,0,"best things in youtube
1. cat videos
2. bob ross ๐ญ
3. bill
4. that one show that we like but don't remember
5. this","YouTube中最好的事情
1.猫视频
2.鲍勃·罗斯
3.比尔
4.我们喜欢但不记得的那个节目
5.这"
36180,UgzHaqfWcRRIqAyFcgJ4AaABAg,0,"what a productive life this girl has, above all that predisposed attitude, it is very motivating even for someone like me.",最重要的是，这个女孩的富有成效的生活，即使对于像我这样的人来说，这也是如此。
36199,UgxlbtYhJ3x2hbimdc94AaABAg,0,my soul groans for a life like this...,我的灵魂在这样的生活中gro吟...
42349,UgyzRx37lxBepQ9F-6F4AaABAg,0,viet nam likes it for me,越南喜欢我
49518,UgyS_wCl83HnQY_dt0J4AaABAg,0,i would like to have a box full of chinese treats,我想给一个装满中国零食的盒子
43677,UgweTSApuzTTne-gQCl4AaABAg,0,"hi, you deserve one who gives him like, sharing, and i don't know, and the diamond shield is that i just see my purchases and cook, and i got out, and i don’t see the scarf",嗨，你应该得到一个给他的人，分享，我不知道，而钻石盾牌是我只是看到我的购买和烹饪，我出去了，我看不到围巾
49514,Ugyj5Yp88tA89GDrCaV4AaABAg,0,"i like your life and i like you.
happy new year.","我喜欢你的生活，我喜欢你。
新年快乐。"
36207,UgyL5hIYXiukswy0RHx4AaABAg,0,i like to marry her young lady๐๐๐๐,我喜欢嫁给她的年轻女士
49510,UgxHdfbzHAf7Tc7ck8h4AaABAg,0,i really like a video with this girl! but it seems to me or her gaze is a little frantic?! and the cult of food prevails with them?,我真的很喜欢这个女孩的视频！但在我或她的目光看来有点疯狂吗？而食物的崇拜也占了上风？
49321,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9HwZe1j82up,0,"encourage me for more nature videos like, share, subscribe to my channel friends .. new beginning https://youtu.be/wpn2cpro2py",鼓励我进行更多的自然视频，例如，分享，订阅我的频道朋友。。新开始https://youtu.be/wpn2cpro2py
36379,UgxgxDvZrs4Twuf5COx4AaABAg,0,"he plows like cinderella. crasson and fragility. from nowhere, so much knowledge and skills, i watched more than one video. diches to take where the men?",他像灰姑娘。克拉森和脆弱性一样耕种。从无处乱逛，这么多知识和技能，我看了一个以上的视频。迪克斯要把男人带到哪里？
36397,UgzUQQqtvOQVu8LBphp4AaABAg,0,her food looks like a cover of a better home and gardens magazine.,她的食物看起来像是一本更好的家庭和花园杂志的封面。
36400,UgxXNXa7XMuYvqU6OMp4AaABAg,0,"i think what i like about this is that she doesn't live like one of those people who try to travel back in time, only using technology from this time period or only wearing clothes of this fashion. she uses modern tools and methods all the time. but this isn't about traveling back in time, it's about keeping her culture a living culture, and i guess reminding me at least, that a simple life is not a bad life.",我认为我喜欢的是，她不像那些试图回到过去的人一样生活，只能使用这段时期的技术或仅穿这种时尚的衣服。她一直使用现代工具和方法。但这并不是要回到过去，而是要让她的文化成为一种活着的文化，我想至少提醒我，简单的生活并不是一生。
36515,Ugze_rXNJWEeET6-woB4AaABAg,0,if there's no technology i think i want to be like her,如果没有技术，我想我想像她一样
36519,Ugx0_4Bv93avrZcAFwt4AaABAg,0,where exactly is this place...really want to visit. seems like the most perfect place on earth,这个地方到底在哪里...真的想参观。似乎是地球上最完美的地方
42290,Ugy2sEF_sQ5jGVf08jt4AaABAg,0,"cool #, what a hardworking girl, not like city skins",酷＃，多么勤奋的女孩，不像城市皮肤
49182,UgyJxJSQVHvtL7XNoKB4AaABAg,0,your life is like a dream. my dream...,你的生活就像一个梦。我的梦想...
42260,Ugw-RP4y3y61tPyY6Xh4AaABAg,0,mn has 1 garden like that ckj wá,Mn有1个花园，例如CKJWá
43807,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rV58EuE6ij,0,"stop china threat theory! if u guys like talking politics, just get out of here!",停止中国威胁理论！如果你们喜欢谈论政治，那就离开这里！
36530,UgzdD3BJh4sJmwhWMP54AaABAg,0,"so much tranquility people!
sleep really live like this ..","这么宁静的人！
睡觉真的像这样。"
43809,Ugxy5Df0uKa0pAA0Ifl4AaABAg,0,"i like your puppies, they are nice",我喜欢你的小狗，它们很好
36538,UgwOdDjZkHb07gaFLHl4AaABAg,0,i want to live a life like this,我想过这样的生活
49112,Ugw4hollu9aghvzfMiB4AaABAg,0,"i just discovered this video, it ’s very good. i have already subscribed. what is your place? very beautiful, like a paradise taoyuan -",我刚刚发现这个视频，很好看吔，我已经Subscribed 了你，你这个地方叫什么？很漂亮，像个世外桃园－样
49072,UgyD_NuUQ-VYymY_TL94AaABAg,0,i like the presentation in the form of filming your video clips and i hope you will shoot at 4k level soon.thanks,我喜欢以拍摄您的视频剪辑的形式演示文稿，希望您能尽快在4K级别拍摄。
42248,UgxdU8eU-Lujnb9-igF4AaABAg,0,mmmmmmm yummy i like it so yummy i want to try it,嗯
49059,UgxqlJRc3CWol_-gcb14AaABAg,0,i´d like to know how does she organize her time to do all this things . i have to learn from her.,我想知道她如何组织时间做所有这些事情。我必须向她学习。
36554,UgyF0skV3Of1MM2-G1N4AaABAg,0,"as vietnam, please like it",作为越南，请喜欢
36556,UgwWz9gSCdwzMFWne794AaABAg,0,i'm yet to meet a woman like this one...,我还没有遇到这样的女人...
36560,UgxaCpCFylMyHyMQKQN4AaABAg,0,i liked,我喜欢
36564,UgzQ911Nuy3_jZkeiQp4AaABAg,0,"guys pls can someone tell me if she killed the little lamb cause like, it vanished from one point in the video and then meat appeared i'm scared help i can't handle it i already loved that lamb i'm too sensitive for this",伙计们可以告诉我她是否杀死了小羔羊的原因，它从视频中的某个点消失了，然后肉看起来很害怕，我无法应付我已经爱过的那个我已经爱的羔羊对此太敏感了
49045,UgzvKC47I1znBX8IybV4AaABAg,0,"what a talented, strong, determined girl. i am suspecting that it is marketing these wonderful foods. i saw a video from a boy receiving a box of treats (like the ones she prepared) and there were some photos of li zi qi. does anyone know something about it?",多么有才华，坚强，坚定的女孩。我怀疑它正在销售这些精美的食物。我看了一个男孩收到一盒零食的视频（就像她准备的零食一样），还有一些李齐的照片。有人知道吗？
36565,Ugx8ZavCiPqNx1Dip_94AaABAg,0,"well this surprised because everything is beautiful and wonderful, it's like a fairy tale! i just subscribed xd! it's all so beautiful that i'm even commenting in spanish and not in english!",这很惊讶，因为一切都美丽而美妙，就像一个童话！我刚刚订阅了XD！一切都很漂亮，我什至用西班牙语而不是用英语发表评论！
36513,Ugx5wFY5h3f7tN-Vigh4AaABAg,0,i've never seen a village house so clean and tidy. looks like a beautiful fairy-tale movie.,我从未见过乡村房子这么干净整洁。看起来像一部美丽的童话电影。
49202,Ugw0dOCOtwoNqeveAV54AaABAg,0,everyone likes it crazy.,大伙疯狂按赞.
43798,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rOmW9FZ7gw,0,@tinyhowie you know like germans or americans in the 50s and 60s.,@tinyhowie您知道像德国人或50年代的美国人一样。
49270,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9E7iAFh2vTj,0,i’d like to introduce this video to you https://youtu.be/7np6dgpfsc0,我想向您介绍此视频https://youtu.be/7np6dgpfsc0
36415,Ugys02Z73bTWTowhUgF4AaABAg,0,wholesome videos like this make my day! love your videos so much ๐’๐’,像这样的有益健康的视频使我一天！非常喜欢你的视频
49292,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9GeNkE-FL11,0,kindly subscribe and like my chenal,请订阅，喜欢我的柴纳尔
36429,Ugzas4JXYrcHj4mC_jp4AaABAg,0,i seriously want to live like this. it's so peaceful and nice.,我真的想这样生活。它是如此的和平与友善。
49291,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9GeNgEkyvNY,0,kindly subscribe and like my vhanel,请订阅并喜欢我的Vhanel
43760,UgxyIp136Vi6LcHLZct4AaABAg,0,she is so pretty i like the video,她真漂亮，我喜欢视频
49272,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9E_odfQf1fd,0,like your asmr videos too.,也喜欢您的ASMR视频。
36445,Ugy5CZudkAIDTrN0Q6N4AaABAg,0,this is what food looks like in movies!,这就是电影中的食物！
36449,UgxrtvAmM5E7eYFSQ9J4AaABAg,0,she's like my superhero now,她现在就像我的超级英雄
43764,UgyxxeLezor5RPPpUf54AaABAg,0,3k dislikes are from snowflakes who misread the title!,3K不喜欢的雪花来自误读标题的雪花！
36511,UgzkAYWIuw6zTALizVh4AaABAg,0,her videos looks so natural...like before we had gas stoves and such this is how things made and cooked traditionally its so soothing to watch๐’“,她的视频看起来很自然...就像我们有燃气炉之前一样，这就是事物传统上制作和烹饪的方式，它是如此舒缓的观看
36462,UgzD-j-kdAMSLQgr1Ep4AaABAg,0,don't get me wrong but hey if i would ever dream of a woman from heavens it would be like you <3,不要误会我的意思，但是嘿，如果我梦想着一个来自天堂的女人，那就像你<3
36476,UgzPylX7PmKYfJEArRV4AaABAg,0,"she gets a lot of stuff done in what seems like only a day! i love how productive she is, it's inspiring.",她在一天中只完成了很多工作！我喜欢她的富有成效，这是鼓舞人心的。
49244,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8rOXSTisVZq,0,welcom frinds in ma chaine youtube like me,像我
42311,UgymfVlyFh1GhIQ_sbF4AaABAg,0,"your life it is very simple and happy i want to a life like you 


love you","你的生活很简单和快乐，我想要像你这样的生活


爱你"
36489,UgygPNqAN_e6a9IzBup4AaABAg.8uUPVI9w96q8uWgw2jh0pT,0,"is of digimon!!, do you like digimon mosters?",是Digimon！，您喜欢Digimon Mosters吗？
