,cid,votes,time,含like,含like中文翻译
19240,UgzsgcDtZ9HfTD-m5EF4AaABAg,0,3 years ago,"very peaceful video, it feels like you want to live like this",非常和平的视频，感觉就像您想这样生活
19255,Ugy02CLwIoxNyY7o3Q14AaABAg,0,3 years ago,this stuff taste like boiled shit.,这些东西的味道像煮屎。
19270,UgxS2VZg5TEcH2H8R-d4AaABAg,0,3 years ago,"no way it's one person shooting it. must be a whole movie crew. i bet they have a producer, budget and all other stuff like in a movie. too pretty for a farm girl. deceiving people. that's why so many dislikes. it's hidden propaganda. only a blind person would believe how good of life in a village in china. there are a bunch of documentaries showing otherwise.",这是一个人射击它。一定是整个电影团队。我敢打赌，他们有制片人，预算以及电影中的所有其他内容。对于一个农场女孩来说太漂亮了。欺骗人们。这就是为什么这么多不喜欢的原因。这是隐藏的宣传。只有一个盲人会相信中国一个村庄的生活良好。有很多纪录片显示。
19276,Ugy91SG5l-BW3Hx762J4AaABAg,0,3 years ago,"for those who doesn't know luosifen actually smells pretty bad for a lot of people, basically because of the bamboo shoots. i like it tho, just bought a few from the chinese grocery store",对于那些不知道Luosifen的人实际上对很多人来说闻起来很难，基本上是因为竹芽。我喜欢它，刚从中国杂货店买了一些
19282,UgyNaTNtoUM-a7OU_fd4AaABAg,0,3 years ago,"wow!!!!
i like the area she living at she can pick almost everything for cooking","哇!!!!
我喜欢她住在她身边的地区"
19297,UgzYFSvblLBGQPUeBtx4AaABAg,0,3 years ago,i had no idea bamboo shoots were so big like that,我不知道竹芽是如此大
19307,Ugw33KwAOIPiFFC7Fap4AaABAg,0,3 years ago,"love love lovely women angel 
like a dreaming","爱爱可爱的女人天使
就像一个梦想"
19315,UgwxZBf3ZRayhCccwHB4AaABAg,0,3 years ago,it turns out that so many people abroad like this show,原来国外也那么多人喜欢这个节目
19322,Ugzj6G6HuxZp3PZUwxR4AaABAg.91y1u25V2oq9UzuAaDiYTl,0,1 year ago (edited),unfortunately she dont like u,不幸的是她不喜欢你
19333,UgzN99cDt32fzH5Gqnx4AaABAg,0,3 years ago,she is look like mina twice,她看起来像Mina两次
19339,UgwguINCYNJq4TLZSAZ4AaABAg,0,3 years ago,"it looks like paradise 
peaceful and pleasant","看起来像天堂
和平与愉快"
19364,Ugxt2cATmsF3EXPQiXh4AaABAg,0,3 years ago,i would like to be in a place where i can do everything like this,我想在一个可以做这样的事情的地方
19390,UgzQHUhWb49hGvDyo_d4AaABAg,0,3 years ago,"she collect foods, she cook foods.

i want a wife like her. i need a wife like her.","她收集食物，煮食物。

我想要一个像她这样的妻子。我需要一个像她这样的妻子。"
19403,UgxoHX-5Dl2t7Iu2djZ4AaABAg,0,3 years ago,the world would be a better place if we lived like this. we wouldn't be on the verge of extinction.,如果我们这样生活，世界将是一个更好的地方。我们不会濒临灭绝。
19422,UgxmsPxR520Q1OBUR1J4AaABAg,0,3 years ago,"no offense, but why would people eat something smells like shit?",没有犯罪，但是为什么人们会吃一些狗屎的东西呢？
19423,UgxgKPAbSisnUilz9eB4AaABAg,0,3 years ago,want to have a wife like this i love u,想要这样的妻子，我爱你
19748,UgyRNsbqkd7celERbal4AaABAg,0,3 years ago,"nice video, i like this",不错的视频，我喜欢这个
19774,Ugz7oO1gXod3JNgOQip4AaABAg,0,3 years ago,her dishes cooked are just like our tribals love her video,她煮熟的菜就像我们的部落喜欢她的视频
17940,UgzCZu8fsVvieRvYSHV4AaABAg,0,3 years ago,who likes to eat bamboo shoots? especially sour bamboo shoots,谁喜欢吃竹芽？特别是酸竹芽
20020,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9p02bvgATQe,0,1 month ago,it may be that korean people don't like it 可能,可能是韩国人点的不喜欢
20035,UgxMExVZaiR1RPF5bvt4AaABAg,0,3 years ago,i rely on! he exploded directly! the friends who like snail powder are our friends in guangxi!,我靠！ 直接把我炸出来了！ 喜欢螺蛳粉的就是我们广西人的朋友！
20038,UgxOQdVG1fIxzrAQ8C94AaABAg,0,3 years ago,who is vietnamese for like,谁是越南人
20049,Ugze63K1leNttAKAUSN4AaABAg,0,3 years ago,i like you,我喜欢你
20051,UgznfDCNUe_AUDe1oBJ4AaABAg,0,3 years ago,"haha, li ziyi is the type that foreigners like",哈哈，李子柒是老外喜欢的类型
20079,Ugxf4LG3yQPPT2itASx4AaABAg,0,3 years ago,so beautiful i like very of your videos congratulations i wastching everything.,如此美丽，我非常喜欢您的视频恭喜，我浪费了一切。
20090,Ugz2jByJe7rvjC06cf14AaABAg.91BATr3_WH391_Yb0-zUa_,0,3 years ago,then be like her,然后像她一样
20102,UgxLqtG9_hx_rHAzE7h4AaABAg,0,3 years ago,i like you too,我也喜欢你
20121,UgwsFfSjyJtwf7sGGeh4AaABAg.919gPRUhD4C91I--GQijyx,0,3 years ago,"wouldn't you like your hard work to pay off? she is sharing and introducing dishes to us we should we might never have access to. 
i believe that taking care of her grandma, especially, she wants us to enjoy as much as she can while healthy.","您不想辛勤工作吗？她正在向我们分享并介绍我们应该无法获得的菜肴。
我相信，尤其是照顾她的祖母，她希望我们在健康时尽可能多地享受。"
20125,UgwZDPzMs9Sf_IRRRsp4AaABAg,0,3 years ago,"you support my channel, too
i would like to thank everyone","您也支持我的频道
我要感谢大家"
20127,UgwTahTEjW3jOsAW9X94AaABAg,0,3 years ago,getting married like this is also happy,像这样结婚也很高兴
20134,UgzpP4ovdXoUPKpk4l94AaABAg,0,3 years ago,i like you,我喜欢你
20141,UgxIVaBbEfGDmAg_gst4AaABAg,0,3 years ago,"how cute bamboo, i love it, i would like to do so many things with el",多么可爱的竹子，我喜欢它，我想和el
20163,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ92GxdnUlwCh,0,3 years ago,it would be like konoha.,就像Konoha一样。
20191,UgwbaT4DSGVzFoMpRTd4AaABAg,0,3 years ago,"look, arabs, what the chinese eat, as we have become a lot of eating meat like lions, so we missed our doctors",看，阿拉伯人，中国人吃的东西，因为我们已经变得像狮子一样多吃肉，所以我们错过了医生
20201,UgzN0SvAbF_uKTx59Gx4AaABAg,0,3 years ago,i hope i have daughter like you,我希望我有女儿喜欢你
20205,UgyAhzLOQriFox1rsWt4AaABAg,0,3 years ago,what are you like?,你是什​​么？
20214,Ugw1lhjQVYZlWqZQvJN4AaABAg,0,3 years ago,ur soooo beautiful as like ur village,像你村一样美丽
20215,Ugy2GcEWlphfnfl7Dt14AaABAg,0,3 years ago,"living like this, so you like it",这样的生活，所以你喜欢它
20238,UgybSDwf8FkRNZfyZgV4AaABAg,0,3 years ago,"getting a wife like that could only be a monk for 3 previous lives. small, beautiful cassava, guaranteed.",得到这样的妻子只能是前三个生命的和尚。小型，美丽的木薯，保证。
20033,Ugzi5b2T5H40OWRQSpl4AaABAg,0,3 years ago,want to marry a girl like her. . .,想嫁给像她这样的女孩。 。 。
20007,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9_Jt5NDSlap,0,1 year ago,"i know this is an old comment, but i'm sure a certain amount of dislikes happens by accident. sometimes when i wanna scroll down to the comments i accidentally hit like or dislike as well, and i don't always notice",我知道这是一个古老的评论，但我敢肯定，偶然发生了一定数量的不喜欢。有时，当我想向下滚动到意外击中或不喜欢的评论时，我并不总是注意到
19776,UgxBZZ-JM4TgMLwDoKJ4AaABAg,0,3 years ago,that woman should be about 60 years and grandmother like 180,那个女人应该年满60岁，祖母像180岁
19999,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9VBmPZNIz-o,0,1 year ago,@fragatron i think like this,@fragatron我认为这样
19784,Ugxq4XZA2fgzrpdF4YN4AaABAg,0,3 years ago,"who watching from india,, hit like",从印度看的人，像
19791,UgwEN-E34yWGYdTXXa94AaABAg,0,3 years ago,everything looks very nice/pictire preaty i don't know if i would like it will take a while to get used it.,一切看起来都非常好/pictire preaty，我不知道我是否愿意将其使用一段时间才能使用它。
19793,Ugxuz3-WLeHJE5OortV4AaABAg,0,3 years ago,superb i like this types of life,我喜欢这种生活
19799,UgyYU6VRA70c4pjRFXt4AaABAg,0,3 years ago,natural skli .. i like it,天然Skli ..我喜欢它
19804,UgxzFqMpL23aLMFe7Dl4AaABAg,0,3 years ago,can i have a like from u plis,我可以从u plis那里
19819,Ugx3wUF_mP7sW2M575h4AaABAg,0,3 years ago,she does not have to go to school and got all day cooking and eating and no need to work. i am sure if anyone got all day nothing better to do like her... anyone can do it... it is not that hard...,她不必上学，整天做饭和饮食，不需要工作。我敢肯定，如果有人整天都没有什么比她这样做的事情了...任何人都可以做...这并不难...
19829,Ugw0-HgtZmfDFJj6aAJ4AaABAg,0,3 years ago,"i like your bgm, what the title is?",我喜欢您的BGM，标题是什么？
19833,UgyFPDIGd23lhhxip554AaABAg,0,3 years ago,i like it very much. the way is simple and happy with our home and nature.,我非常喜欢它。道路对我们的家庭和自然很简单。
19839,Ugx7yI6htaIQBlC8EVh4AaABAg,0,3 years ago,"i am vietnamese, really like your channel",我是越南人，真的很喜欢你的频道
19850,Ugyyf_6IJYDLPbIWAGt4AaABAg,0,3 years ago,my wife is most like y tube channel,我的妻子最喜欢Y管频道
19864,UgzwCpRyUpCfzciaVEl4AaABAg,0,3 years ago,i want like this wife,我想要这个妻子
19883,UgwD5BXX8-tHbPZ-dAp4AaABAg,0,3 years ago,who see indonesian people like,看到印尼人喜欢的人
19892,UgyZfpplGFGkEdV5FVh4AaABAg,0,3 years ago,i will marry you you are so cute and cooking so delicious food i like it love from nepal,我会嫁给你你真可爱，烹饪如此美味的食物，我喜欢尼泊尔的爱
19893,UgzigwOzS42X8Yz1o4p4AaABAg,0,3 years ago,i love you nd i like your videos,我爱你，我喜欢你的视频
19915,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx92E97OqG3pT,0,3 years ago,"david hutchins there are still many people living similar lifestyle like she does in china. one point i really like about ziqi is that she has a dedication and passion of sharing chinese culture to the world. it’s something that many people would like to do but somehow lack of ability or determination. we should all believe her because as audiences, we feel it. we should offer more encouragement and appreciation. what’s most important that she really delivers peace and calmness to audiences and we all receive positive influences or energy from her videos. and i reallyyyy like her temperament.",大卫·哈钦斯（David Hutchins）仍然有许多人过着与中国相似的生活方式。我真的很喜欢Ziqi的一点是，她对与世界分享中国文化的奉献精神和热情。这是许多人想做的事情，但某种程度上缺乏能力或决心。我们都应该相信她，因为作为观众，我们感受到了。我们应该提供更多的鼓励和赞赏。最重要的是，她真正为观众提供和平与平静，我们都从她的视频中获得了积极的影响或精力。我真的很喜欢她的气质。
19923,UgwOMxVzQ3fQTKRWanN4AaABAg,0,3 years ago,"i love her attitude so much, she is very simple and there's no silan silan to herself :) i want a lady like her :) and their place is very praceful, no need work hard for the money becuase they have everything in their surroundings -:)",我非常爱她的态度，她很简单​​，而且没有硅胶硅，:)我想要一个像她这样的女士:)而且他们的位置非常贴切，不需要为钱而努力工作，因为他们在周围的环境中拥有一切 - :)
19926,UgwBQHVJ4khKsWfiCNF4AaABAg,0,3 years ago,i do not understand your language but i like your videos and always see your videos,我不理解您的语言，但我喜欢您的视频，并且总是看到您的视频
19931,Ugy8FgeYp9itg__meqp4AaABAg,0,3 years ago,"seeing you like seeing your grandmother when he was young, he was also a clever person, so you can do anything so hard to do anything.",看到你就像看到了你阿婆年轻的时候 也是个心灵手巧的人 所以你耳濡目染 就什么也都干的那么利索
19991,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq96pitAGouk7,0,3 years ago,"that's because her videos are just like cnn or new york times reports ,fake fake fake",那是因为她的视频就像CNN或New York Times报告，假冒假货
19209,Ugx6oseT9WAe24bZYF14AaABAg,0,3 years ago,panda likes this video,熊猫喜欢这个视频
19201,UgzJSaGs55yqMqe3ACZ4AaABAg.921-MV-x5Yh926DkQy22sT,0,3 years ago,"i like to eat, sichuan people said that it is very good for my stomach",我喜欢吃，四川人表示很合我胃口
19175,UgwfY9Ejccwzd0ue_R94AaABAg,0,3 years ago,like indinesian food,喜欢印记的食物
18154,UgzQQDtIeIIraYbr-WB4AaABAg,0,3 years ago,i didn't like the last kkkk,我不喜欢最后一个kkkk
18160,UgyLxm7I3vPfuefiON54AaABAg,0,3 years ago,sisin like uvo 2013-2014 2013-2014 2013-2014 2013-2014 2013-2014 2013-2014 2013-2,Sisin喜欢UVO 2013-2014 2013-2014 2013-2014 2013-2014 2013-2014 2013-2014 2013-2014 2013-2-2-2
18182,Ugx5Xn5THg29DFjhdsV4AaABAg,0,3 years ago,it's a stun like sichuan accent murmur,咋个愣个像四川口音喃
18210,UgzCCyAHGrUwb4UH7Hp4AaABAg,0,3 years ago,"miyang bibianny mun is like it ,,,",Miyang Bibianny Mun就像它
18221,UgwR5QIQaHY_xV2hq1t4AaABAg,0,3 years ago,"enjoy watching this on a big tv. really like the country style simple cooking with fresh ingredients of morning dew bamboo shoots, wood ears, long string beans, ... nice!",喜欢在大型电视上观看。真的很像乡村风格的简单烹饪，新鲜的露水竹芽，木耳朵，长丁豆，...很好！
18230,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92h1m-Vkx0B,0,3 years ago,just eat food you like,只是吃你喜欢的食物
18231,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hhDK_7rPj,0,3 years ago,"lucy chan dimsum is guangdong or hk food, unlike the garbage food in the north china.",露西·陈·迪姆森（Lucy Chan Dimsum）是广东（Guangdong）或香港食品，与中国南部的垃圾食品不同。
18250,UgzvA8nKEoWRLZQlqaZ4AaABAg,0,3 years ago,11k dislikes... i am genuinely curious as to why? i mean... i guess it's not exactly a tutorial? lol,11k不喜欢...我真的很好奇为什么？我的意思是...我想这不是一个教程吗？哈哈
18263,UgzmA8bvo5FAcTCuzw14AaABAg,0,3 years ago,seeing her like seeing my childhood,看到她 就好像看到我的童年
18266,Ugy44O7Hhcs3XMOU-qh4AaABAg,0,3 years ago,bamboo is sooooo good and you just go pick it up like and here it's so expensive :( i don't even know how people could survive at these areas there's nothing else to eat besides some berries and mushrooms on fall. over there you have nature providing you everything.,竹子很好，你只是去捡起它，这里太贵了:(我什至不知道人们在这些地区如何生存，除了秋天，除了一些浆果和蘑菇外，别无其他。为您提供一切。
18267,UgwYi_h5vXUb3-4Fj-V4AaABAg,0,3 years ago,first time at her channel. i feel like she’s from the city and moved back home to accompany her grandma. and she might as well start making videos since she has time and can educate people of life in the countryside. no wonder netflix came out with “flavorful origins” this channel proves there’s a market for those types of shows.,第一次在她的频道。我觉得她来自城市，回到家陪伴祖母。而且她不妨开始制作视频，因为她有时间，可以教育乡村生活的人们。难怪Netflix以“美味起源”出现，该频道证明了这些类型的节目有一个市场。
18291,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_935LGDH2mv5,0,3 years ago,"@user-kv1js7gn6k you are wrong, i am patriotic, i just tell the facts. in addition, if you don’t have a wall, there will only be more and more brain disability like you",@user-kv1js7gn6k 你错了，我很爱国，我只不过把事实说出来罢了。另外，如果不设置墙的话像你这种脑残只会越来越多
18298,UgwNLQqQkxAVYgNmxqN4AaABAg,0,3 years ago,:o!! those bamboo shoots are big! i thought they were usually like... hand-sized!,：o !!那些竹芽很大！我以为他们通常就像...手工大小！
18307,UgzrGOay4-YALty2O8d4AaABAg,0,3 years ago,how do i think it is like a japanese movie little forest?,我怎么觉得那么像日本电影 小森林 呢？
18330,UgxnnWrVfPeaRXPYWud4AaABAg,0,3 years ago,where is that 11k dislike come from,11k不喜欢的地方在哪里
18348,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_X9wN5Jvx,0,3 years ago,"​ @valenciabbk lets talk facts and civilized: 
1. i am and will be a chinese whatever in looking or paper. and dissappointly not in any party . i am physically and psychologically intact not blind in anyway. i dont like the word 'blind' u used, which is very offensive and disgrace.
2. hongkong is a beautiful modern and democracy city as many other citys in china and hopefully will be so soon again. all chinese (included inland chinese) had/has the right to go to the street to speak out their different thoughts/demands. you never heard? pls do research or learn history from the books even youtube instead of the official westen medien. 
3. violence was/is/will not be tolerent in any country in this world. 
4. independence of taiwan? oh, big question and frankly i dont really care it happens or not because i have no idea what and how will everything change based on my poor knowledge about politics and financial aspects. you should better ask the people who live there. i hope oneday i could visit my taiwan-friends, only the reason of food is enough. 


suggestions for u to learn more about china and more if u are interested:
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


god bless more peace and happiness for this insane world. this talk is ended from my side. bye...","@valenciabbk让我们谈论事实并文明：
1.无论外观或纸张，我都是中国人。并且在任何政党中都不感到失望。无论如何，我在身体和心理上都不是盲目的。我不喜欢您使用的“盲人”一词，这非常令人反感和耻辱。
2.香港是一座美丽的现代和民主城市，就像中国的许多其他城市一样，希望再次如此。所有中国人（包括内陆中国人）都有/有权上街说出他们不同的想法/需求。你从未听说过吗？请在YouTube而不是官方Westen Medien中从书籍中进行研究或学习历史。
3.暴力是/is/is/ins/is in in in in in in in in ins in in is in is in is in is ins in is/is is in is in in th这个国家的任何国家都不会容忍。
4.台湾独立？哦，大问题，坦率地说，我真的不在乎它是否会发生，还是因为我不知道一切都会根据我对政治和财务方面的知识而发生什么变化。您应该最好问住在那里的人。我希望我可以拜访我的台湾朋友，只有食物的原因就足够了。


建议您了解有关中国的更多信息，如果您有兴趣，更多有关中国的信息：
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


上帝保佑这个疯狂的世界更多的和平与幸福。这场演讲是从我身边结束的。再见..."
18354,Ugyb6e2r4SBvqkBxLc54AaABAg,0,3 years ago,"i was like this when i was a kid, but i do n’t know why, the older i get older, the farther from this life",我小时候也是这样的生活，但是不知道为什么，年龄越大，离这样的生活越远
18409,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92pgDnqZlYA,0,3 years ago,"my point stands. it's a lifestyle that few people can afford because they don't live in an area like that and to do so would require a great expense in purchasing land and tools. if she wasn't raised there and she wanted to live that lifestyle, then she would not have a grandmother to allow her to simply live there.",我的观点是。这种生活方式很少有人能负担得起，因为他们不住在这样的地区，并且需要在购买土地和工具上付出巨大的费用。如果她没有在那里长大，并且想过这种生活方式，那么她就不会有祖母让她简单地住在那里。
18410,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92pv9L-XMRL,0,3 years ago,guy core you don't know enough about china. what you just said is the daily life of chinese farmers. almost all farmers live like this.,伙计，您对中国还不够了解。您刚才说的是中国农民的日常生活。几乎所有农民都这样生活。
18420,UgwKJUuSuSi08KA6nUt4AaABAg.92Ux_KRAWh192bD-bliXLv,0,3 years ago,"zhang zi exploded for the eighth year of work, and he has never left the job in the middle. ordinary is the end point, but like her, it can not be mediocre, and ordinary does not mean mediocre.",张自爆 我工作第八个年头，中间未离职过，平凡才是终点，但像她一样，可以不平庸，平凡不代表平庸。
18159,Ugz4JNhRyACpN8YGWup4AaABAg,0,3 years ago,"i know why there has 10k dislikes, because other youtubers wearing miniskirts can't attract everyone's attention.",我知道为什么有10k不喜欢的人，因为其他穿着迷你裙的YouTuber无法吸引所有人的注意力。
18141,UgwFFHbGBnpCqZxUaYx4AaABAg.92_4c6Udh6k930MS1ey2id,0,3 years ago,"@xiaolanglin9487 is sorry, i drank too much that night, hahaha, in fact, the snail powder is the same as stinky tofu, but i think it tastes good, just dislikes it, but my girlfriend loves it. i open the window every time he eats!",@xiaolanglin9487 不好意思，那天晚上喝多了，哈哈哈，其实螺蛳粉和臭豆腐一样，但是我觉得味道好大，就有点不喜欢，但是我女朋友特爱，他每次吃我都开窗户！
19169,Ugymc0vs_086451xTyF4AaABAg,0,3 years ago,"flowers? in the garden. chilli? in the garden. fish? also in the garden. she probably got the best garden in the world, like, whatever she needs, it’s right there outside",花朵？在花园里。辣椒？在花园里。鱼？也在花园里。她可能拥有世界上最好的花园，就像她需要的那样，它就在外面
18123,UgxbWBioxf9OmPQvssF4AaABAg,0,3 years ago,"i’m surprised that no one has commented about the giant wok she’s been using in all her videos? it is a typical fixed appliance for rural chinese households from the very south of hainan province to the north point at inner magnolia, i have seen giant woks like the one she is using.",令我惊讶的是，没有人对她在所有视频中使用的巨型锅发表评论？这是一种典型的固定设备，适用于从海南省南部到木兰的北点的中国家庭，我已经看到像她正在使用的巨型锅一样。
17951,Ugz_OPuT-kWYiGWKYL14AaABAg.92dsYt4Sdt292gKZ_OvVMQ,0,3 years ago,"see if you want to like this,",看你想不想这样过而已，
17968,Ugz4rwbTubYi-MQ1kjJ4AaABAg,0,3 years ago,why do chinese foods so greasy and so spicy! very heavy taste ~ will the kidneys be broken like this?,中国人的食物 怎么都这么油腻 又这么辣! 非常重口味 ~这样肾脏不会坏掉吗?
17972,Ugz-homa5BoNmXHhFI54AaABAg,0,3 years ago,i like to eat this kind of bamboo shoots the most,我最喜欢吃这种竹笋
17999,UgyZPYcFuNX-SsBAwat4AaABAg,0,3 years ago,"it's like the world under the slr lens, real and unfamiliar. essence essence essence essence",就像是单反镜头下的世界，真实而又陌生。。。。。
18000,UgwDiYJMkfh6Tb9pCY94AaABAg,0,3 years ago,i wish i had a wife like it,我希望我有一个喜欢它的妻子
18022,UgwQ3GJlBs24T5KortV4AaABAg,0,3 years ago,"that is young bamboo most asian like to eat that, i found this in traditional market in thailand and indonesia and abit stinky..",那是年轻的竹子最喜欢吃的竹子，我在泰国和印度尼西亚的传统市场上发现了这一点，并abit stinky ..
18025,UgxVA7DItLABA6OoAsN4AaABAg,0,3 years ago,"rural life like li ziyi is ideal, although i am also in the countryside",李子柒这种农村生活是理想的回不去的，虽然我也是农村的
18028,UgynkQtlIkaTNf_rSg54AaABAg,0,3 years ago,what a relaxing and peaceful music ..feel like a healings...,多么轻松而宁静的音乐。
18033,UgwznLm7iqZ-pbXxAyt4AaABAg,0,3 years ago,"oh, i'm korean, so it's a little bit like eating ingredients, so i think i'm going to know what it tastes like ... ㅜㅜㅠ
it looks so delicious ... ㅜㅜㅠ ㅠㅠㅠ","哦，我是韩国人，所以有点像吃食材，所以我想我会知道它的味道...ㅜㅜㅜㅜ
看起来很美味...ㅜㅜㅜㅜㅠㅠㅠ"
18036,UgxvF1pLOtyi-nUhX6N4AaABAg.92ciPfbJd_z92gJfj3ej4o,0,3 years ago,"it's abnormal for money and leisure, doing something that likes",有钱有闲，做点喜欢的事这不正常
18051,UgwqfpQAvqiLhWP_ijB4AaABAg,0,3 years ago,i am an indonesian who likes to see this you tube,我是一个喜欢看到这个You Tube的印尼语
18058,UgzKh7oPhMg0GaPGBdJ4AaABAg,0,3 years ago,"i am chinese, i like her video although i know that chinese of most dont life as her video.",我是中国人，我喜欢她的视频，尽管我知道大多数人都不像她的视频那样生活。
18060,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cqYQOK1Vq,0,3 years ago,"let me tell you why it’s fake, and totally a lie: 1. the pictures here were never a real life of rural life in china before, neither today. it’s an acting. she is a good actress. 2. it’s true she made her meal from scratch. looks like all natural and organic. however through these videos she sells products all made by industrial line. none of those are organic. 3. she has official youtube channel itself shows somehow she is privileged to break chinese law to show so called “chinese value” to the world. i am not saying the law is good. i am just curious who backs her to do this. 4. her videos are generating 84,000,000 chinese yuan (12,000,000 usd) a year partnering with a privileged government backed family to show you a fairy tale, a quiet and soothing life far from business and industry. if this is not lie, what the hell would a lie be like? ! 5. i didn’t say i hate ccp, you said that. i didn’t even mention these three letters. if you hate ccp, may god bless you.....","让我告诉你为什么这是假的，完全是谎言：1。今天，这里的照片从来都不是中国的乡村生活，今天都不是。这是一个表演。她是一个好女演员。 2.确实，她从头开始吃饭。看起来所有天然和有机。但是，通过这些视频，她出售了由工业系列生产的产品。这些都不是有机的。 3.她的YouTube官方频道本身表明她有幸违反中国法律，向世界展示了所谓的“中国价值”。我并不是说法律是好的。我只是好奇谁支持她这样做。 4.她的视频每年产生84,000,000个中国人民币（12,000,000美元），与一个有特权的政府支持的家庭合作，向您展示一个童话故事，远离商业和行业的安静而舒缓的生活。如果这不是谎言，那谎言会是什么样？呢5.我不是说我讨厌CCP，你这么说。我什至没有提到这三个字母。如果您讨厌CCP，愿上帝保佑您....."
18062,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92dl1NAC99R,0,3 years ago,"i came from rural life in china, so on and forth, let me tell you, liziqui was a dj .... don't say/presume the way she act aka ""not interact"" with her fans has anything to do with the government just like i said u hate ccp...",我来自中国的乡村生活，因此，让我告诉你，丽兹基是DJ ....不要说/假设她与粉丝们表演又称“不互动”的方式与政府就像我说你讨厌CCP ...
18072,UgxX9I43z-unu3NglOJ4AaABAg,0,3 years ago,i like the bgm,我喜欢BGM
18073,Ugzp4P03rxhHJScIjFR4AaABAg,0,3 years ago,i would like to be a little flower dog around you,愿做你身边的小花狗
18087,UgzIS78tc0vrWI8ezvd4AaABAg,0,3 years ago,"it turns out that the 2000w said in china is true .., i like she 's videos very much ~",原来国内说的2000w是真的..，I like she‘s videos very much~
18094,Ugwt9XI46424cslez3B4AaABAg,0,3 years ago,i want to eat .. it looks a bit like korean food ..,我想吃..它看起来有点像韩国食品。
18116,UgyLzxTSC1KDp2Ae9J14AaABAg,0,3 years ago,2:56 look like a vermeer scene...,2:56看起来像个现场...
18427,UgwmRSwVdTw7_R-XMWF4AaABAg,0,3 years ago,"i want to ask people familiar with the matter. although i do n’t know how to cut bamboo shoots myself, but the bamboo shoots should not be cut like this. it should be a shovel? intersection intersection",我想问一下知情人士，我自己虽然不会砍笋，可是笋不应该这么砍吧，应该是连根铲起吧？？？
18493,Ugw7oTuP58jYV17rQot4AaABAg.92Tgg1Ir9We92dH9wltJ4p,0,3 years ago,"what do you mean, spring plowing and spring in the summer, remove the autumn harvest in summer, get up at the ground at 5 in the morning, go home at 8 o'clock, and then go down to the ground. you need to take care of some vegetables and fruits and flowers. do you think the work intensity of all day is like you knocking on your keyboard? or do you think the farm work in all areas depends on machines?",什么意思，春耕春种夏除草秋收，早晨5点天蒙蒙亮起床下地，8点回家吃饭，然后再下地，天黑才回家。再种些蔬菜瓜果花茶，都需要打理，养些猪羊，你以为农村生活什么样子？你以为一整天的劳动强度就跟你敲敲键盘一样？还是你以为所有地区农活都靠机器了？
18517,UgwI13ufZjbDEFs610x4AaABAg.92T_hiH8mdT92Wsxa1mGtP,0,3 years ago,"are you in china? free charging vpns are very big. what are the oil pipes? of course, the purpose of making money for videos is to make money! live in sichuan. just life you see, do you think the life in the video is beautiful? of course, not most people are like that, but you need to look at things too pessimistic. ——plip from chongqing",你是国内的吗？免费的收费的VPN都大把的啊，上个油管算啥啊，拍视频当然赚钱为目的啊！住四川。就你看到的那样的生活，你觉得视频里的生活美好吗？当然不是大部分人都那样但你需要的是看待事物不要过于悲观。——来自重庆的回复
18528,UgwFsgKBe50sBFkQ9xF4AaABAg.92TZpu48m6092bYE_TmItz,0,3 years ago,"@user-sf8ep6ur3q i have lived in guangzhou for two and a half years. now i like urban life, tianhe, nansha",@user-sf8ep6ur3q 我在广州生活了两年半，现在我喜欢城市生活，喜欢天河，喜欢南沙
18904,Ugy4k9-RPVdKVPcD-Ax4AaABAg.92DCu3oV6ib92JTXFF9brO,0,3 years ago,"many lives that do not like big cities are boring and high -pressure life, work every day, off work. seeing this video makes people feel quiet.",很多不喜欢大城市枯燥高压的生活，每天上班，下班。看到这个视频，让人感觉安静。
