,cid,votes,time,含music ,含music 中文翻译
40468,UgxJE57aYchjxl-rLe54AaABAg.8sKQ-hMXxGd8sMmpskquNN,0,4 years ago,@rrz5903 is very sad when the digimon adventure remember the most clear thing is that dilu beast recalls the music he put when he was taken away by the vampire warcraft,@rrz5903 很伤感的时候 在数码宝贝大冒险里面 记得最清楚的就是迪路兽为了找到嘉儿 被吸血魔兽撸走的时候 回忆自己 放的音乐
40498,UgxDlM6-gcxkanRGPv54AaABAg,0,4 years ago,great.... why is it felt like that background music is similar to kenshi's lemon song!!???,太好了....为什么感觉背景音乐类似于Kenshi的柠檬歌！
40556,Ugyg7cPGJJE5c9YiYJt4AaABAg,0,4 years ago,isnt it music from digimon adventure?,是Digimon冒险的音乐吗？
33070,UgybhrUGx5Vs-Daadt14AaABAg,0,4 years ago,what is the name of the background music? i searched up what is listed above but it was different music than the one in the video.,背景音乐的名字是什么？我搜索了上面列出的内容，但音乐与视频中的音乐不同。
26910,UgxEbRy94eUKDFHhU6t4AaABAg,0,3 years ago (edited),"anyone realize ""shouri zen no theme"" digimon 1 ost music used in this video? ๐ญ #suddennostalgia",有人意识到“ shouri zen no tho主题” Digimon 1 OST音乐中使用的音乐？
32885,UgzVNqYDc_gjrlBSgph4AaABAg,0,4 years ago,all background music of liziqi can be found in https://www.youtube.com/user/eileen0307 please subscribe and enjoy it๏ผ,Liziqi的所有背景音乐都可以在https://www.youtube.com/user/eileen0307中找到，请订阅并享受！
18576,UgxcHWYvvpcNgV3I2b94AaABAg.96k0lf-RA7A96mJBJ6HeUJ,0,3 years ago,"thank you so much for your support hope you like chinese music too, here is the link, https://youtu.be/rhqecmtkgqu",非常感谢您的支持，希望您也喜欢中文音乐，这是链接，https://youtu.be/rhqecmtkgququ
12240,Ugw5LBWu7_TFLkMnQph4AaABAg,0,2 years ago,music looks like a blade,音乐看起来像刀片
12320,UgwhzckaDjacPP9DFGp4AaABAg,0,2 years ago (edited),"i think i fell in love :) now the background music is not known, but i haven't subscribed to anyone for so many years, i was likely to subscribe to it.",我想我坠入爱河:)现在背景音乐尚不清楚，但是我已经有很多年没有订阅任何人，我很可能会订阅它。
12506,UgyAR1dl9lIMua43Dlx4AaABAg,0,2 years ago,much more relaxing without music ♥️,没有音乐的更轻松♥️
13056,UgzglbdL6bB5GbP2Kad4AaABAg,0,2 years ago,who knows the name of the music paragraph 0:30?,谁知道音乐名称0:30？
13294,Ugw0EC25iqXDIDAp08B4AaABAg.9C0EqPKn0UX9C0SXT0Q1yP,0,2 years ago,@chunruiguo2855 well that sounds like fun in the philippines we don't have a spring festival but we do a festival in province pampanga which i forgot the name of but apperantly in the festival there are like a band walking and playing music and a few people sell baby chickens also im not that hood in spelling english kinda stuff since its not my native language i don't know the real spelling of pampanga i don't know why actually,@chunruiguo2855很好，这听起来像菲律宾很有趣，我们没有春节，但是我们在潘ampanga举行了一个节日，我忘记了这个节日出售婴儿鸡也不是拼写英语的东西，因为它不是我的母语
13936,Ugy1c1pDwuhfTJ2Y69d4AaABAg,0,2 years ago,"oh the music in 5:16, digimon everyone?",哦，5:16的音乐，大家Digimon？
14250,UgwEhKzX85MWN_IR4qJ4AaABAg,0,2 years ago,the music killing me,音乐杀了我
14251,UgyIIagoI4cadx1sABd4AaABAg,0,2 years ago,music is so sad,音乐很伤心
15261,UgzoO872gRGqdrVp1Ah4AaABAg,0,3 years ago,the music is calming too,音乐也很平静
15343,UgxT4BCmlrczGU7m2414AaABAg,0,3 years ago,music at 5:18am is one of the tracks from digimon adventure 1!! :d,凌晨5:18的音乐是Digimon Adventure 1的曲目之一！ ：d
15658,UgzhYzQXKWKvqLg0dkl4AaABAg,0,3 years ago,name music 0:23,名字音乐0:23
15806,UgxwKIV0De2oIseO9m54AaABAg.99Dv0OKEVgU99E73wkWBSK,0,3 years ago,title of the music - karma,音乐的标题 - 业力
15867,UgyJlGueEa57Xs_cGf94AaABAg,0,3 years ago,music copyright (digimon),音乐版权（Digimon）
15981,Ugz8b0pLMbg_OJ_70Yt4AaABAg,0,3 years ago,so no one noticed the music in the background at 5:30? its from digimon.,因此，没有人注意到背景中5:30的音乐？它来自Digimon。
16157,UgxWhcHgsK8d-hV5fRp4AaABAg,0,3 years ago,not tryna be sad but i really liked your videos without the music but its your choice and i love your videos so much,不是Tryna感到难过，但是我真的很喜欢您的视频，而没有音乐，但它是您的选择，我非常喜欢您的视频
16195,Ugxq9G5nAictI_jrjHd4AaABAg,0,3 years ago,as soon as this music comes out all the memories have been poured out ~ goosebumps are all up ~,这个音乐一出 所有回忆一直涌出来～鸡皮疙瘩都起来了～
17240,UgyQCfSHkZrhi_53ApR4AaABAg,0,3 years ago,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer. 

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content. 

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"". 

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life. 

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤ 

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis 

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
17241,UgxTttH8_DhF7EexGr14AaABAg,0,3 years ago,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer.

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content.

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"".

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life.

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
17638,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98fAeu-LQxj,0,3 years ago,"@royaltyfreeonlineanimemusic the truth is, you wouldn't have an issue if someone like martha stewart could live a life of elegance, but can't accept the fact that an asian woman could beautify simple rural surroundings and create a lush oasis of beauty.",@RoyaltyFreeonlineAnimemusic的事实是，如果像玛莎·斯图尔特（Martha Stewart）这样的人可以过上优雅的生活，但不能接受亚洲女人可以美化简单的乡村环境并创造美丽的美感的事实。
17754,UgxeebIRdTNXg_CsWRx4AaABAg,0,3 years ago,"wao! i was happy to listen to the old music , it was wonderful",哇！我很高兴听旧音乐，真是太好了
17821,Ugx5eTVkS6bcoMDcKyl4AaABAg,0,3 years ago,why’d you put music over it all? :(,你为什么把音乐放在上面？ :(
17822,UgxyeqL1REi02SIZRfV4AaABAg,0,3 years ago,"the current music of the video sounds annoying, what happened to the audio before?",视频的当前音乐听起来很烦人，以前的音频发生了什么？
17823,UgybdKCJzjpbB9lZjyl4AaABAg,0,3 years ago (edited),is it just me or does music play over everything else in this vedio i watched it before and i could hear what she was doing now it's just loud blaring music,是我还是在我以前看过的这个吠陀上的所有其他事物上播放音乐，我可以听到她在做什么，这只是大声的音乐
17830,Ugzll2fbpsnAibeI4ox4AaABAg,0,3 years ago,"you should keep the audio. it makes your videos more authentic. music is nice too, but your daily life is too precious and wholesome. keep up the good work & god bless!!",您应该保留音频。它使您的视频更加真实。音乐也很好，但是您的日常生活太珍贵和有益健康。保持良好的工作和上帝保佑！！
17880,UgwodEK5xg723EEpErt4AaABAg,0,3 years ago,this music is insanely awful.,这种音乐疯狂地糟糕。
18133,UgymoG7nueY_bKaP5r54AaABAg,0,3 years ago,music is redundant,音乐是多余的
18332,UgxnzO408LgS3p5aCMN4AaABAg,0,3 years ago,the music is sad,音乐很伤心
18360,UgzDqxVLU_1i9zoC6jV4AaABAg,0,3 years ago,why is the music so sad?,音乐为什么这么悲伤？
18487,Ugx2SZ4T614NTByQWvl4AaABAg,0,3 years ago,why are her videos so calm with the music and the sound ?:),为什么她的视频对音乐和声音如此镇定？:)
12109,UgzzfDVkgNy-rQuMQL14AaABAg,0,2 years ago,no music pls♥️,没有音乐请
11910,Ugwhi3-QDzOcIQEuotB4AaABAg,0,2 years ago,"everything is beautiful and should be tasty, but some ingredients are not clear๐ค”. and music and types are gorgeous !!!!",一切都很漂亮，应该很美味，但是有些成分尚不清楚。音乐和类型很漂亮！！！！
11746,UgyE177f7O3XLQATb7V4AaABAg,0,2 years ago,i want music plz ?,我想要音乐吗？
3461,Ugxg2oOTPb1i_Ct9XK54AaABAg,0,1 year ago,5:18 - music from digimon.,5:18- Digimon的音乐。
631,UgwuyyJTARe4XPNw3GV4AaABAg,0,5 months ago,"music too loud, but beautiful video",音乐太大了，但是美丽的视频
753,Ugzimx5aRFAIocj2k9B4AaABAg,0,5 months ago,any one know the music that start at 5:17,任何人都知道从5:17开始的音乐
939,UgyWyFidCLNLdq1RKvl4AaABAg,0,7 months ago,does anyone know the name of the music ????,有人知道音乐的名字吗？？？？
956,UgwO0Oi7WnoPXI2rQ0B4AaABAg,0,7 months ago,5:30 music in the digital heroes ๐ซ๐ญ โฅ ๏ธ โฅ ๏ธ โฅ ๏ธ โฅ ๏ธ,5:30数字英雄中的音乐
995,UgzovK_nmkckJ7hCp3V4AaABAg,0,7 months ago,"my brother, do not put a harmful music for the ear",我的兄弟，不要为耳朵放有害的音乐
1157,Ugw3i9RDbKFEmjFCrph4AaABAg,0,9 months ago,"as soon as the music of digimon came out, she made it directly",数码宝贝的music一出来 ，直接泪目
1305,UgzWNdekkIhqNY57KWB4AaABAg,0,10 months ago,the music from studio ghibli movies๐,吉卜力工作室电影的音乐
1312,Ugx6gcFuyjKKsAARtMJ4AaABAg,0,10 months ago,"why the background music sounds familiar?? 
is it from attack on titan?","为什么背景音乐听起来很熟悉？
是来自对泰坦的攻击吗？"
1329,Ugyg9QRalHB7IOOxiQN4AaABAg,0,10 months ago,"lizigi, lizigi, lizigi --- you are obsessed with your work, and,, and, and, and idol, idol, idol --- for the people of the planet !!! there are reasons for the creation of what nature gives --- i call your art --- music of nature and do not refuse to comment. when you lose your head to work, you are losing joy ..... inspiration from another in life .jakov ๐บ๐ฆ ๐‘จimes",Lizigi，Lizigi，Lizigi ---您迷上了自己的工作，以及，以及，以及，以及偶像，偶像，偶像 - 对于地球人民！！！创造了自然赋予的东西的原因 - 我称您的艺术 - - 自然音乐，不拒绝发表评论。当您失去工作时，您正在失去快乐.....灵感来自另一个在生活中。
1623,Ugwy-Nt883dhuKwPsYZ4AaABAg,0,1 year ago,what’s the background music name?,背景音乐名称是什么？
1695,UgwZskcPAuOJTRac_F14AaABAg,0,1 year ago,the music at 5:50…..thats from digimon the original…i swear i teared up remembering my childhood when the music played,5：50的音乐……。
2286,UgysvgpRRmfKHzNbEiF4AaABAg,0,1 year ago,superkino ... music is not needed,Superkino ...不需要音乐
2319,UgwWseIolx5CqE9yt7N4AaABAg,0,1 year ago,why the background music remind me of digimon season1,为什么背景音乐让我想起Digimon Season1
4693,UgxEJ8LcFPtFyitkoEx4AaABAg,0,1 year ago,your background music is so good to listen,您的背景音乐真是太好了
11379,UgzNK_gJSV8lho0kq294AaABAg,0,2 years ago,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
5871,UgyT7C_O1rO_CobCn794AaABAg,0,2 years ago,kimetsu music <3,Kimetsu音乐<3
6058,UgxXqdM2V83R_MDtFz14AaABAg,0,2 years ago,the background music and the video gives some christmas vibes.,背景音乐和视频带来了一些圣诞节的共鸣。
6585,UgwppvR4J3nseHczs1p4AaABAg,0,2 years ago,what music in beginning?,一开始什么音乐？
6768,UgzIsTJJWqhGgAnAel14AaABAg,0,2 years ago,nobody will mention that they used music from digimon?,没有人会提到他们使用了Digimon的音乐吗？
7144,UgyRXs24m3UyPEAvgKV4AaABAg,0,2 years ago,beautiful video for the most part! but why don't you show us how you source your meat? how you kill animals for your cooking? would that not fit the music anymore? just curious.,美丽的视频在大多数情况下！但是，为什么不向我们展示如何采购肉？您如何为烹饪杀死动物？那不再适合音乐吗？只是好奇。
8488,Ugy9ScNWaqkOK5-YoCB4AaABAg,0,2 years ago,what your name the music plzzz,你叫音乐的名字
8663,UgyJK7f3xfWoPIuCNS14AaABAg,0,2 years ago,i think it's a cartoon digimon adventure music ...,我认为这是卡通Digimon冒险音乐...
9016,UgzYMxtTz9OX7UFqEg14AaABAg,0,2 years ago,ghibli music ?,吉卜力音乐？
9083,Ugw7I1y57ymVRuO0LuF4AaABAg,0,2 years ago,5:22 isn't this music from digimon?,5:22这不是Digimon的音乐吗？
9866,UgxCTT1-Xu-sJClNV6d4AaABAg,0,2 years ago,the beginning of these vids is astm and perfect. the music messes it up...too bad,这些视频的开头是ASTM和完美的。音乐把它弄乱了...太糟糕了
9879,UgxTHK4Si6g6euV8MYJ4AaABAg,0,2 years ago,the music reminds me of pokemon and my childhood:) so calming to watch!,音乐让我想起了口袋妖怪和我的童年:)很平静地观看！
10232,Ugz1a656gzqHPwDBQw14AaABAg,0,2 years ago,music kimetsu no yaiba anime: 0,音乐kimetsu no yaiba动漫：0
10660,Ugyr03yThdEzy_iec054AaABAg,0,2 years ago,sexmovie thefatrat zeldamusic nateslife mathil wtf101 e32019,sexmovie thefatrat Zeldamusic Nateslife Mathil WTF101 E32019
18491,Ugzj3sFl5rlevWfBIv94AaABAg,0,3 years ago,watch the video without music i dare you ಠ︵ಠ,观看没有音乐的视频，我敢你ಠ︵ಠ
18578,UgzyT4FKT2MqdZq8HxR4AaABAg.96jWZpAu0s096mJE9sT_E0,0,3 years ago,"thank you so much for your support hope you like chinese music too, here is the link, https://youtu.be/rhqecmtkgqu",非常感谢您的支持，希望您也喜欢中文音乐，这是链接，https://youtu.be/rhqecmtkgququ
32835,UgyJrzMDsvowtpVzn9R4AaABAg,0,4 years ago,give me the background music .help mee,给我背景音乐.help mee
18599,UgwHCSOEaQbHUYfBq9J4AaABAg.96guUN3BWCr96mJINyvXLT,0,3 years ago,"thank you so much for your support hope you like chinese music too, here is the link, https://youtu.be/rhqecmtkgqu",非常感谢您的支持，希望您也喜欢中文音乐，这是链接，https://youtu.be/rhqecmtkgququ
25561,Ugw5OlEoaZxkxy_li1F4AaABAg,0,3 years ago (edited),can background music do not need it?,背景音乐可以不要吗？
25954,UgyoIFtd3hqs0vNfvz94AaABAg,0,3 years ago,"hmmm, she made foods looks so yum, the music so calm and she is so beautiful.",嗯，她使食物看起来好像，音乐如此平静，她是如此美丽。
26208,Ugy25fMyy6KqbKKBCVR4AaABAg,0,3 years ago,"i love this video!
very beautiful. this is like a utopia.
by the way, i heard the music used in this video. is that digimon music?
i like digimon. so if you know and like digimon, i'm so happy.","我喜欢这个视频！
很漂亮。这就像一个乌托邦。
顺便说一句，我听到了此视频中使用的音乐。那是Digimon音乐吗？
我喜欢Digimon。因此，如果您知道并且喜欢Digimon，我会很高兴。"
26211,UgwhzYxrXwN7SXO2soN4AaABAg,0,3 years ago,this makes me so excited for autumn ๐ and is the music reminding anyone else of a ghibli movie?,这使我对秋天感到非常兴奋，音乐是否在使其他人想起吉卜力电影？
26226,Ugxk9ihVUikWsSqOp8N4AaABAg,0,3 years ago,"these videos fill me with peace and joy, what a beautiful place and this background music so speechless, i am impressed to see care for food.",这些视频使我充满了和平与喜悦，这是一个如此美丽的地方和背景音乐如此无语，我印象深刻地看到照顾食物。
27026,Ugy-RZBQgWZQl7BuvMl4AaABAg,0,3 years ago,slow music ๐๐,慢音乐
27824,Ugx-lBmtoeF91X3OABV4AaABAg,0,3 years ago (edited),"hi, can you please give me the name of the background music - the first one? thanks.",嗨，您能给我起一个背景音乐的名字 - 第一个吗？谢谢。
27832,UgyiZWwohLUiWN0XpxN4AaABAg,0,3 years ago,"anjd shi is a fairy scene with music with her performance of the girl
you deserve to participate in her channel and give her from my time and see her videos because she is finding crazy and deservedly","Anjd Shi是一个童话般的场景，有音乐表演
您应该参与她的频道，并从我的时间里给她看她的视频，因为她发现疯狂而应有的"
28670,UgxPBYK5zFqiwS-8KEB4AaABAg,0,3 years ago,is that castle in the sky music i hear?,我听到的天空音乐中的那个城堡吗？
28947,Ugzu6Vbr-x9FcChXogJ4AaABAg.8yCZ71tLbQM8yHFkmjyFJ4,0,3 years ago,i'm glad i'm not the only one to notice the music lol,我很高兴我不是唯一一个注意到音乐的人
29137,UgyJ7plZxIV-3GjO3ZV4AaABAg,0,3 years ago,is it just me or does the opening music sound like theme song from eternal love,是我还是开场音乐听起来像是永恒之爱的主题曲
29200,Ugw4jBlx321KcjGkcIB4AaABAg,0,3 years ago,the music totally reminds me of final fantasy 9,音乐完全让我想起了《最终幻想》 9
29207,Ugy3VNyaj-YUnNN5P3t4AaABAg,0,3 years ago,this music is making me feel some typa way,这种音乐使我感觉到某种错别字
29542,Ugyc5Jhqnk69fnIfHtF4AaABAg,0,3 years ago,when the digimon music started.. goosebumps,当Digimon音乐开始时..鸡皮ump
29609,UgxJl3FOJDDr0-sCFcV4AaABAg,0,3 years ago,"i followed u a year. it's a real. a heaven ,i love the nature.the music is so unique,surrounding are so green. i miss my place, i miss philippines. thanks to ur video.",我跟随你一年。这是真实的。天堂，我爱大自然。音乐是如此独特，周围是如此绿色。我想念我的地方，我想念菲​​律宾。感谢您的视频。
29838,UgyyT7wLPqI-oXIGwZN4AaABAg,0,3 years ago,music from the anime castle lapo ๐บ,来自动漫城堡拉波的音乐
30152,Ugxl8Rnxm2ZT0uhvAQF4AaABAg,0,3 years ago,does the music remind anyone else of clannad's soundtrack?,音乐是否使其他人想起Clannad的配乐？
30413,UgyyoX45aEAePy11BR54AaABAg,0,3 years ago,what is the background music of this video?,请问这段视频的背景音乐是什么啊
30772,UgwBFD2r2W6RjPdRU9Z4AaABAg,0,3 years ago,"i just wanna make a comment about her choice of music since no one ever points it out...i love her for using the spirited away ost and now i'm just super pumped she's using the ost for digimon 02 in this video ^^


the music always makes the already amazing video even better! xd","我只想对她选择的音乐发表评论，因为没有人指出它……我爱她使用了精神逃亡的OST，现在我只是超级泵，她在此视频中使用了ost ost for digimon 02 ^^ ^^


音乐总是使已经很棒的视频变得更好！ XD"
30975,Ugy2whBwi9Y_nkC7_B14AaABAg,0,3 years ago,completely relaxed and the music of all,完全放松和所有人的音乐
31006,Ugxd-LGJNTRfODivjwN4AaABAg,0,3 years ago,i love the music .,我喜欢这个音乐 。
31365,Ugw9uIpaF8EoOl_mNAJ4AaABAg,0,3 years ago,the music is so sad๐”๐”,音乐真可悲
31419,UgysFrHLqa9Q3isMe5Z4AaABAg,0,4 years ago,the music in your videos is also really good.,视频中的音乐也非常好。
31721,Ugxkr2mv7IxPVBPk5HN4AaABAg,0,4 years ago,almost cried when the digimon music starts playing lol,当Digimon音乐开始播放大声笑时几乎哭了
32466,Ugw4LKpXv_eus3FTBVh4AaABAg,0,4 years ago (edited),"the music reminds me of those singing ghosts

6:00","音乐使我想起了那些唱歌的鬼魂

6:00"
32703,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092f7ID7DAhR,0,3 years ago,the music somehow has christmas vibe in it,音乐以某种方式有圣诞节的氛围
32712,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF09Hryf6etQta,0,2 years ago,music = ghibli music ( i think ๐—),音乐=吉卜力音乐（我认为
32739,UgzmWL_7udDkMpzIFKl4AaABAg,0,4 years ago,the music sounds so depressing to me๐”,音乐听起来让我很沮丧
32795,UgxaPqIN-ljoqYveqMB4AaABAg,0,4 years ago,is that theremin music from 5:17.....๐ค”๐๐,是5:17的Theremin Music .....
25325,Ugw8nSimiqSv7pt8HNd4AaABAg,0,3 years ago,the music reminds me of kimetsu no yaiba (demon slayer) hehe,音乐让我想起了kimetsu no yaiba（恶魔杀手）呵呵
24335,UgxPUVyt3KI7F4eC_H14AaABAg,0,3 years ago,"i love watching your videos, the music and sound helps me relax and just what youโ€re doing is awesome. iโ€m glad i found your channel last year",我喜欢观看您的视频，音乐和声音可以帮助我放松，而您的工作真是太棒了。我很高兴去年找到了您的频道
23930,UgzhkLpALRGYb75lHVd4AaABAg,0,3 years ago,it would be better if there is no music on background...,如果背景没有音乐，那会更好...
20701,UgyBjjm_wOgoxxPXECZ4AaABAg,0,3 years ago,the music gives me umineko vibes,音乐给了我Umineko的共鸣
18670,Ugx6gZNSfXwSBat5XuJ4AaABAg,0,3 years ago,this background music is the music of digimon,这首背景音乐是数码宝贝的音乐
19143,UgxcEd4tqAm7XAOUSo54AaABAg,0,3 years ago (edited),no one will pay attention to me ... but at the bottom of the music it reminds me of digimon,没有人会注意我...但是在音乐的底部，它使我想起了Digimon
19232,UgxB8e6UYYcTRYfzxI94AaABAg,0,3 years ago (edited),like for music from visual novel game =),就像视觉小说中的音乐=）
19292,Ugze_PdrThemKQXEJ4t4AaABAg,0,3 years ago,are you selling it in the market? the music is so good,您在市场上出售它吗？音乐太好了
19301,Ugze_PdrThemKQXEJ4t4AaABAg.95wzL9W4u9C95x9p78et-S,0,3 years ago,hope you like chinese music too https://youtu.be/p3hubltxl_o,希望您也喜欢中文音乐https://youtu.be/p3hubltxl_o
19303,Ugx7eur3KKP1CIU5VEt4AaABAg.95wYKQZy8jP95x9vHMvyNb,0,3 years ago,hope you like chinese music too https://youtu.be/p3hubltxl_o,希望您也喜欢中文音乐https://youtu.be/p3hubltxl_o
19326,UgyP8jWX4YDHCXSLegR4AaABAg.95vwylB3VJN95x9xYxSm9N,0,3 years ago,hope you like chinese music too https://youtu.be/p3hubltxl_o,希望您也喜欢中文音乐https://youtu.be/p3hubltxl_o
19349,Ugzes-yJAi5kT_dML4F4AaABAg.95tEMXjWAzp95xA6aY45w9,0,3 years ago,they'll be fine hope you like chinese music too https://youtu.be/p3hubltxl_o,他们会很好，希望你也喜欢中文音乐https://youtu.be/p3hubltxl_o
20057,UgzTdY38jSNE1rdl-Yp4AaABAg,0,3 years ago (edited),the music during the start was from the japanese movie โ€the castle in the skyโ€,一开始时的音乐来自日本电影“天空中的城堡”
20365,UgwyOmTFkyjYGwmaY0J4AaABAg,0,3 years ago,"the video have digimon music ans puppies
i'm crying right now","该视频有Digimon Music Ans Puppies
我现在在哭"
