,cid,votes,time,含strong,含strong中文翻译
1645,UgxwmUBRb5tn0vfvRHR4AaABAg,0,1 year ago,"don't be afraid of physical darkness, you must be afraid of spiritual darkness. you must prepare for the spiritual darkness right now.

- yeshua coming -

this world is a material world. it is a visible world. but there is an invisible world. it is the spiritual world.

god created the visible physical world and the invisible spiritual world.

the physical biological eye and the spiritual eye are different.

in this world there is light and darkness. even in the spiritual world, there is light and darkness.

physical darkness in this world simply requires turning on the light, but spiritual darkness must turn on the spiritual light. it is an invisible light, there is no way to know what this spiritual light is. yeshua is light and life.

god has shown me many visions for a long time. when communism progresses, christians are the first to get rid of. the first thing to be removed is yeshua god.

god has long given me the message that spiritual darkness is coming. a great persecution of christians is coming. global persecution is coming.

that is why the brides of yeshua who truly believe in yeshua must always keep the spirit of martyrdom very firmly.

believing in yeshua is not free. belief in yeshua includes suffering, persecution, and even martyrdom because of believing in yeshua.

from now on, you must prepare yourself for spiritual darkness.

now is not the time to depend on a large church and depend on the pastors, elders, deacons, priests, prophets, and missionaries. salvation is a one-on-one and consistent relationship with god, and by the grace of god, you can go to heaven, far out of the universe.

no matter what title you have in this world, that title is absolutely not a ticket to heaven. no one on this earth knows where they are going under god's judgment until they see each other with their eyes in heaven.

i recommend that you have a one-on-one private conversation with god. now is the time to have more one-on-one personal conversation with god.

our bodies are holy temples. your body is the holy temple, holy, clean, pure, with righteous acts, love, faith, and true repentance, daily to be covered, washed, anointed and covered with the blood of yeshua.

when the persecution of christians begins, the world will soon be arrested even if you say ""yeshua"" on the phone.

you must be very spiritually awake right now. this is a time when you must be very tense spiritually.

when christian persecution comes, no one in this world can depend on anyone, anywhere in the world. when spiritual darkness comes, the fear is all over the air. that is why you will not be able to read the word, worship, or pray in the name of yeshua any more.

you must prepare for the spiritual darkness now. you must become spiritually strong now and become a powerful rooster. you must now prepare and have the faith to keep your faith in yeshua in any situation and environment.

weak faith does not even count as faith. you need to be a strong rooster. you should read the bible now. from genesis to revelation, it is 85 hours long and you can read it all. if you don't understand the part, just skip it after reading it, and you don't have to understand 100% of the bible.

only when the word of god is filled with you, no body can be deceived you in this world.

those who deceive are attacked by quoting only a very small part of the bible very cleverly.

i recommend that you read the entire book of holy bible from genesis to revelation.

you must download all the necessary videos from yeshua coming channel if you need, and hide them together with the bible. above all else, it is most important to keep it hidden in your heart.

because if you hide it in your heart, no one in this world can dig it out.

prepare for spiritual darkness now. become a powerful rooster right now.

only yeshua!","不要害怕身体上的黑暗，您必须害怕精神上的黑暗。您现在必须为精神上的黑暗做准备。

-Yeshua来了 - 

这个世界是一个物质世界。这是一个可见的世界。但是有一个看不见的世界。这是精神世界。

上帝创造了可见的物理世界和无形的精神世界。

物理生物学和精神眼睛是不同的。

在这个世界上，有光明与黑暗。即使在精神世界中，也有光明与黑暗。

这个世界上的身体黑暗仅需要打开光线，但是精神上的黑暗必须打开精神光。这是一个看不见的光，无法知道这种精神光是什么。耶稣是光明和生命。

上帝已经向我展示了很多愿景。当共产主义进步时，基督徒是第一个摆脱的人。要删除的第一件事是耶稣神。

长期以来，上帝给了我这样一个信息，即精神上的黑暗即将到来。对基督徒的迫害即将到来。全球迫害即将到来。

这就是为什么真正相信Yeshua的Yeshua的新娘必须始终坚定地保持难度的精神。

相信Yeshua不是免费的。由于相信Yeshua，对Yeshua的信念包括痛苦，迫害甚至难。

从现在开始，您必须为精神上的黑暗做好准备。

现在不是时候依靠大型教会，依靠牧师，长老，执事，牧师，先知和传教士。救赎是与上帝的一对一关系，而是靠上帝的恩典，您可以去天堂，远离宇宙。

无论您在这个世界上拥有什么头衔，这个标题绝对不是天堂的门票。地球上没有人知道他们在上帝的审判下要去哪里，直到他们用眼睛在天堂看到对方。

我建议您与上帝进行一对一的私人对话。现在是时候与上帝进行更多一对一的个人对话了。

我们的身体是圣殿。您的身体是圣殿，圣殿，圣洁，清洁，纯洁，具有正义的行为，爱，信仰和真实的悔改，每天被覆盖，洗净，膏抹，并被耶稣的血覆盖。

当迫害基督徒开始时，即使您在电话上说“ Yeshua”，世界也很快就会被捕。

您现在必须在精神上很清醒。这是您在精神上必须非常紧张的时候。

当基督教迫害来临时，这个世界上没有人可以依靠世界上任何地方的任何人。当精神上的黑暗来临时，恐惧无处不在。这就是为什么您将无法再以Yeshua的名义阅读单词，崇拜或祈祷的原因。

您必须为现在的精神黑暗做准备。您现在必须在精神上变得强大并成为强大的公鸡。现在，您必须准备并有信心在任何情况和环境中保持对耶稣的信心。

虚弱的信仰甚至不算作信仰。您需要成为一个强大的公鸡。您现在应该阅读圣经。从创世纪到启示，它长85小时，您可以阅读全部。如果您不了解该部分，请在阅读后跳过它，而不必了解圣经的100％。

只有当上帝的圣言充满你时，在这个世界上，任何人都不会被你欺骗。

那些欺骗的人只能非常巧妙地引用圣经的一小部分来攻击。

我建议您阅读整本《圣经》从创世纪到启示的书。

如果需要，您必须从Yeshua Coman Channel下载所有必要的视频，并将它们与圣经一起隐藏。最重要的是，将其隐藏在您的心中是最重要的。

因为如果您将其隐藏在您的心中，那么这个世界上没有人可以将其挖掘出来。

现在为精神黑暗做准备。现在成为一个强大的公鸡。

只有Yeshua！"
1612,UgxcpjbnJrAHb-aeiGh4AaABAg,0,1 year ago,bamboo is such a strong tree. my sister has them growing in her backyard...in alabama,竹子是一棵坚固的树。我姐姐让他们在她的后院长大...在阿拉巴马州
10845,UgwppDjzwnLY_Gr0jJh4AaABAg.98FriA1LbDA99g8QcM-N6w,0,3 years ago,"strong umami, spicy, a little stinky but not disgusting.",强烈的鲜味，辛辣，有点臭但并不令人作呕。
10918,Ugw90wE1r41cKIENJYh4AaABAg,0,3 years ago,rewatching this again... even though i have a strong dislike for bamboo shoots,再次重新观看此事...即使我对竹芽非常不喜欢
11638,Ugz09LYacj0l5HNNhW54AaABAg,0,3 years ago,beautiful and strong girl,美丽而坚强的女孩
12572,UgwV96Se8C11bevKoN54AaABAg,0,3 years ago,strong woman,女强人
17810,UgxJvv2hdQX8r8322VN4AaABAg,0,3 years ago,"so many fans, too strong",这么多粉丝，太强了
17398,UgzKg8WKZTfBELDfwtR4AaABAg,0,3 years ago,"hope i can marry a strong woman like her... hardworking, very capable, woman of few words and beautiful...(quite rare these days)...",希望我能嫁给一个像她这样的坚强的女人...勤奋，能力很强，几乎没有言语和美丽的女人...（这些天很少见）...
17206,UgyyFimUPnsW-dijU-14AaABAg,0,3 years ago,after watching this video i had a strong urge to throw out my laptop and run to the mountains to live off the land...,观看了这段视频后，我强烈渴望扔掉我的笔记本电脑，跑到山上居住在土地上...
16890,UgyWnFR7cYrk0BIEw994AaABAg,0,3 years ago,recognize this girl is really strong,认识这个女孩真的很坚强
16531,UgxA3GL6OYDFAmfbi914AaABAg,0,3 years ago,cute strong girl.. i wish i can marry her,可爱的坚强女孩..我希望我能嫁给她
16241,UgxeNCxUyj34BnW1k8x4AaABAg.92xrxfxRbak93BVzs56E1S,0,3 years ago,"christine naysh suarez luosifen smells very strong. some guys can't hold it. i am glad that you like it. you can buy some convenient luosifens in chinese supermarkets in your city or you can order some online, like aliexpress.",Christine Naysh Suarez Luosifen闻起来很浓烈。有些人不能握住它。我很高兴您喜欢它。您可以在城市中的中国超市购买一些方便的Luosifens，也可以在线订购一些，例如Aliexpress。
16196,Ugy6j8PcKeClVWOJxDx4AaABAg,0,3 years ago,strong woman ever,坚强的女人
16156,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u95XgXZzxllM,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
15894,UgzBGDcftLfnMCMhxZN4AaABAg,0,3 years ago,"this is what ancient chinese do. they admire a free and natural life. but 200 years ago, western countries invade china, and force china to turn. still we admire this kind of life, but first we need to be strong enough to protest ourselves.",这就是古代中国人做的。他们欣赏自然自然的生活。但是200年前，西方国家入侵中国，迫使中国转向。我们仍然欣赏这种生活，但首先我们需要足够强大来抗议自己。
15805,Ugw_r7jLZfqLmIkMsfp4AaABAg,0,3 years ago,very good wifey material. i must admit she really strong girl,很好的妻子材料。我必须承认她真的很坚强的女孩
15714,UgxlLOZ9YgUCM9hxikF4AaABAg,0,3 years ago,that s like watching an amazing film. but she earns alot of money from youtube... ah chinesish chinesish you get stronger and stronger as the times goes by....,就像看一部令人惊叹的电影一样。但是她从YouTube赚了很多钱...啊，随着时间的流逝，您变得越来越强壮。
14640,UgyA0hSPVy7MTY3ApCl4AaABAg,0,3 years ago,i know she looks tiny but i bet she is strong as hell and could knock a bitch out,我知道她看起来很小，但我敢打赌她很坚强，可以敲一个bit子
14521,UgxC2vTO-spVQuygo7x4AaABAg,0,3 years ago,"praise god
a strong woman 
and he went to her parents","赞美神
一个坚强的女人
他去找她的父母"
14436,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR95XgJAWSC12,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14435,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR95XgBAcPIZV,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14270,Ugx9scXIVeGR00l-hFN4AaABAg.94KdLZ7CMpN95XgS7Psw-R,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14209,Ugwe1h6j-ntwern1V6p4AaABAg,0,3 years ago,strong,强的
14172,UgxhOUXbZAJ0PtM19IF4AaABAg.94REYyKeZb095XgO7kQJ_D,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14067,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895XgLZnm8Ov,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
13996,Ugz3O07cE06z1B0mzA14AaABAg,0,3 years ago,i think she’s stronger than me,我认为她比我强
13616,UgyAHWYXZDE7ESsCd9l4AaABAg,0,3 years ago,"the snail lion powder is delicious. essence ziyi is really too strong 真
i can't eat it in taiwan
want to know what oil is used (yellow)","
我在台湾都吃不到
想知道子柒用的都是什么油（黄色的）"
13506,UgyknacgJx5896irJ2R4AaABAg,0,3 years ago,"a little bit strong 
i want to see people helping","有点强大
我想看到人们在帮助"
13467,UgxNdg58HEeOzoK-U8R4AaABAg,0,3 years ago,"ibwanted to marry an asian girl once; ahe's the perfect example of thebone i had in mind:

strong, beautiful, intelligent, self sufficient and a great cook that also loyal","ibwant曾嫁给一个亚洲女孩；啊，是我想到的骨的完美例子：

坚强，美丽，聪明，自给自足和伟大的厨师也很忠诚"
13168,Ugz2tgBzcENwROqV0YV4AaABAg,0,3 years ago,you are a strong and beutifull woman. can you be my friend?,你是一个坚强而beutifull的女人。可以跟你作个朋友吗？
13120,Ugx2jSzdx1Zef9ionS54AaABAg,0,3 years ago,greating from indonesia. your girl strong.,来自印度尼西亚的伟大。你的女孩坚强。
13086,UgxXNZvk3CEZb2xlwrh4AaABAg,0,3 years ago,"beautiful woman, delicate but at the same time strong. i love your videos.",美丽的女人，精致，但同时又强壮。我爱你的视频。
12809,UgxO-CAZiSf23HCVpit4AaABAg.96JGzV-lc_I96KlAxnTqzC,0,3 years ago,very strong feeling,非常强烈的感觉
35365,Ugz1sIYY5K8sxHEOe7d4AaABAg.8yURijziNDU95XglQJLFWh,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
