,cid,votes,time,含calm,含calm中文翻译
45768,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9LsiHdSCf,0,4 years ago,"@designqq8905 hmm. okay, i see where my comment singed you. let me make it clear that you are reading a lot of things into it. no, i don't mean that if i see a joint project by china, i should jump to the conclusion that it is propaganda. that's your interpretation, i hope that you will admit your mistake when you see it. because that's not what i meant. 
when i said, 'knowing i shouldn't, if you are right....', i meant that i wouldn't disrespect or disregard or be ignorant of the hurt it might cause people who know the truth, whatever it may be, since i have no access to it, which is why, the former comment was followed by my desire of confirmation. don't conveniently choose to see one part and ignore the other. 
i can see your point that the subtitles are inconsistently strewn over videos, and had it been truly propaganda, it would have been differently so. wish you had said it sooner. 
as for me asking you to read the thread, i truly believed you didn't. since your comment about semantics was wrongly placed. i was talking about my language. however, i didn't mean to condescend to you, and if you felt bad about it, then i apologize. hope you will accept it. if you feel that, that was my intention, let me assure you it wasn't. and no, i don't mean that just because you belong from china, i see all chinese people that way. you have absolutely no grounds to base that upon. i merely enquired about it. and i am having a reasonably calm discussion with a stranger on a dangerous virtual platform, does that indicate that i am putting everyone in the same category? as for technology, i know for a fact that she has an imac, a professional editing machine. she edits her own videos. before you twist that as well, let me make it clear that she doesn't do it on her phone, is all i am saying. i can't help but feel like a lot of your feelings about my comments are culled from your perception of how the world sees china. and please stop seeing it from the angle that i am criticizing her videos. i can't press enough on the fact that i never did. i am very glad to know that she is a positive source of inspiration for the people of china. so please, i insist you stop dragging that cat through the mortar. i have been courteous to you, and apologized if your sentiments were hurt. i will have to request you stop misinterpreting my every word. and you did read things that you wanted to read. since i didn't mean them, i know i am speaking the truth. 
yes, every country does try to promote itself, and i will wager that a lot of it is actually propaganda. my country does it, so does the others. the difference is that the people have a right to prove them wrong on a public platform. we have the right to criticize them openly and call them on their misrepresentation. and here, the remark is about the government, not your culture or people. 
finally, i will reiterate that my intention was not to hurt your feelings. you think there was an ulterior motive. there wasn't. you think that i think the apples don't fall far from the tree. i don't. and my deduction was just that, presence of a crew. that could indicate a joint project of a political nature, but in this case, as you rightly suggested, it doesn't, since the subtitles are spare. 

now, i am tired of explaining things again and again. i hope you understand. and good day.","@DesignQQQ8905 hmm。好吧，我看到我的评论在哪里唱歌。让我清楚地表明您正在阅读很多东西。不，我并不是说，如果我看到中国的联合项目，我应该得出这样的结论：这是宣传。那是您的解释，希望您在看到错误时会承认自己的错误。因为那不是我的意思。
当我说：“知道我不应该，如果你对... ，由于我无法访问它，这就是为什么，前者的评论之后是我对确认的愿望。不要方便地选择看到一部分而忽略另一部分。
我可以看到您的观点是，字幕在视频上不一致，如果确实是宣传，那将是不同的。希望您早日说。
至于我要你阅读线程，我真的相信你没有。由于您对语义的评论被错误地放置了。我在谈论我的语言。但是，我并不是要屈服于您，如果您对此感到难过，那我深表歉意。希望你会接受。如果您觉得那是我的意图，让我向您保证不是。不，我并不是说仅仅因为您属于中国，我都会看到所有中国人。您绝对没有理由以此为基础。我只是询问它。而且我正在与一个危险的虚拟平台上的陌生人进行相当平静的讨论，这是否表明我将每个人都属于同一类别？至于技术，我知道她拥有一台专业编辑机器的iMac。她编辑自己的视频。我只说，在您扭转这一点之前，让我清楚地表明她不在手机上做到这一点。我忍不住想像您对世界如何看待中国的看法，您对我的评论的许多感觉都被淘汰了。并且请不要从我批评她的视频的角度看到它。我从未做过的事实不足。我很高兴知道她是中国人民的积极灵感。所以，我坚持要你停止将那只猫拖到砂浆上。我对你很有礼貌，如果你的情绪受伤，道歉。我将不得不要求您停止误解我的每个单词。您确实阅读了想阅读的东西。由于我不是他们的意思，所以我知道我在说实话。
是的，每个国家都试图提升自己，我会敢打赌，其中很多实际上都是宣传。我的国家也这样做，其他人也这样做。不同之处在于，人们有权在公共平台上证明他们是错误的。我们有权公开批评他们，并致电他们的虚假陈述。在这里，言论是关于政府的，而不是您的文化或人民。
最后，我将重申我的意图不是伤害您的感受。您认为存在别有用心。没有。您认为我认为苹果不会落在树上。我不。我的推论就是，船员的存在。这可能表明一个政治性质的联合项目，但是在这种情况下，正如您正确建议的那样，这不是，因为字幕是备用的。

现在，我厌倦了一次又一次的解释。我希望你明白。和美好的一天。"
46001,UgxCYFHj4gDEgF_eDTh4AaABAg,0,4 years ago,i always think your video is calm,我总觉得你的视频很平静
46133,UgxYncM32Yg9lTRZzMp4AaABAg,0,4 years ago,nyalk on is life and calm,尼克（Nyalk）是生活和平静
46172,UgwdOqV8XNRIrZFlnyt4AaABAg,0,4 years ago,"a calm life or everything natural foodstuffs, picturesque nature, calmness in the movements, yasalam",平静的生活或一切天然食品，风景如画的自然，动作中的平静，Yasalam
46412,UgwLgH79_7jMwfSBoth4AaABAg,0,4 years ago,i love your channel so much! it’s so relaxing and calms my anxiety.,我非常爱你的频道！太放松了，让我的焦虑平静。
46445,UgzMIPvg3LiufB-irVt4AaABAg,0,4 years ago,mother -in -law is more calm than miss 233333333,婆婆比小姐姐还淡定233333333
46468,Ugwoj2mz2njKuPqKuyZ4AaABAg,0,4 years ago,"really nice video and such a calming song, could somebody tell me the name or link it. thanks in advance and happy chinese new year :d",真的很不错的视频和如此平静的歌曲，有人可以告诉我这个名字或链接它。预先感谢和春节快乐：D
46469,UgxWJcsJndxnajsISq54AaABAg,0,4 years ago,calm. .,冷静的。 。
47261,Ugwfk3xdPivGshq8FhZ4AaABAg,0,4 years ago,"essence essence essence essence just finished the glory of the king, and the teammates like pigs were so angry that i was going to die. after watching your video, my heart calmed down",。。。。刚打完王者荣耀，被猪一样的队友气到要死，看了一下你的视频，心中冷静下来了
47410,Ugz0DjIcpLXWz747vtN4AaABAg,0,4 years ago,so many delicious treats from fresh naturally grown real foods by a very creative and able person. thank you for another interesting and calming vid. happy lunar new year to all involved in the creation of this vid and to those who watch it!,如此富有创造力和能力的人会从新鲜的天然食物中获得如此多的美味佳肴。谢谢您的另一个有趣而平静的视频。所有参与创建这个vid的人以及观看它的人！
48033,UgxoBbXIAfrGOXP0IWF4AaABAg,0,4 years ago,such a wonderful channel in youtube and the best.. u make me calm... thank u for this video,在YouTube和最好的频道中如此出色的频道..您让我冷静...谢谢您的视频
48295,UgyWO-K4v5ZxAtoK9uB4AaABAg,0,4 years ago,"ziyi helped grandma covering her ears, and she was frightened by herself. the grandmother was calm. so cute!",子柒帮奶奶捂住耳朵，自己被吓了一大跳，老奶奶镇定自若。太可爱了！
48945,UgxPo6kOuA3LFBXzzNN4AaABAg,0,4 years ago,best videos u make awesom grl !! but cannot download ur videos so that i can watch them whenever i find calm so sad about it !,最好的视频，你做得很好！但是无法下载您的视频，以便每当我发现这么镇定时都可以看它们！
50080,UgwkdwTTSjX8IzSOD0p4AaABAg,0,4 years ago (edited),"i honestly thought that at 3:37 she was going to start making fondant ! lol
who thought the same?

i love these videos. it brings me so much calmness.","老实说，我以为在3:37她将开始制作软糖！哈哈
谁也是如此？

我喜欢这些视频。它给我带来了很多镇定。"
50316,Ugz-3TCEVWgpBQCjHBJ4AaABAg,0,4 years ago (edited),"glad i found you. your videos make me calm, happy, hungry and amazed all at the same time. if you ever ran a 7 day tour to just hang out with you doing your daily activities i would sign up no doubt! ❤",很高兴我找到了你。您的视频使我同时冷静，快乐，饥饿和惊讶。如果您曾经进行为期7天的巡回演出，只是与您一起进行日常活动，我将毫无疑问！ ❤
50541,Ugxb0VOZGxt6LSzwYZl4AaABAg,0,4 years ago,your videos r truely amazing....soo calm n soothing..lots of love from india,您的视频真是太神奇了。
52601,UgyVK-hm92xqwMpJLIh4AaABAg,0,4 years ago,i always wonder why they don't touch the skin of that fruit. is it itchy or something? please tell me in a nice way. tsk. anyway. your video is great! thank you for uploading such a wonderful video. it calms me down. i love you. :),我总是想知道为什么他们不碰到那种水果的皮肤。是痒吗？请以一种很好的方式告诉我。 TSK。反正。您的视频很棒！感谢您上传如此精彩的视频。它使我平静下来。我爱你。 :)
45557,Ugyu-VE4pJfty3FzP1F4AaABAg,0,4 years ago,"i love watching your vedio,so calm and relaxing.",我喜欢看着你的吠陀，如此镇定和放松。
45464,UgyCs026JuFENoKnt3t4AaABAg,0,4 years ago,"i love to see your videos, they are so calm and relaxing and awaken my appetite hahaha i would like to know their country.",我喜欢看您的视频，他们是如此的镇定和放松，唤醒了我的食欲哈哈哈，我想知道他们的国家。
45369,UgxlhimWspu85X5_hcR4AaABAg,0,4 years ago,"those are sunflower seeds not melon seeds, right? i truly love the peacefulness to the cinematic video editing and soothing background music! esp when she picked that pomelo with the perfect shaped basket fruit picker lol it was so calming to watch",那些是葵花籽而不是瓜子，对吗？我真的很喜欢电影视频编辑和舒缓背景音乐的和平！特别是当她用完美形状的篮子拾取器大声笑挑选pomelo时，这真是太平静了
41769,UgwpkJwyBhQsW3C-Ye14AaABAg,0,4 years ago,i felt really calm watching this,看着这个我真的很镇定
41169,UgylE4uo0YEmGY2zhaZ4AaABAg,0,4 years ago,the sound in life calms down. this video told me,人生中的声音平静下来。这个视频告诉我
41206,Ugyok7yMokXDZn5pAOh4AaABAg,0,4 years ago,this was very calming <3,这很平静<3
41288,UgyNutchIw1ImAPwC014AaABAg.8s-Bf-O9ew08s0RdLJywQ0,0,4 years ago,there is a funny heart under the calm appearance!,平静的外表下有一颗逗比的心！
41336,UgzijMLvZxWVecjK9mR4AaABAg,0,4 years ago,"this video makes me feel peaceful, calm and relaxed because of the music and views that are served are extraordinary .. keep up to make more videos like this girl ...",这段视频使我感到和平，镇定和放松，因为音乐和景色是非凡的。。。。。。。。。。。。。。。。。。。。。。
41424,UgxsMCrQE50JSyvuTLJ4AaABAg,0,4 years ago,i dont know but i feel so calm,我不知道，但是我感到很镇定
41444,UgxHAlswM0ZoMxfKCJt4AaABAg,0,4 years ago,"your videos transmit a lot of peace and very calm before sleeping, it is incredible. <3",您的视频在睡觉前会传播很多和平与镇定，这是令人难以置信的。 <3
41675,UgxscKMPHaI_HYbeK7R4AaABAg,0,4 years ago,"i could spend my whole life looking at yours.
its so calm and chill, thank you for sharing.","我一生都可以看着你的。
它是如此的冷静和寒意，谢谢您的分享。"
41726,Ugw5L7WR7L14mxgorOx4AaABAg,0,4 years ago,your video í just so calm and peaceful,您的视频是如此镇定和和平
42960,UgxP73KmZcwB8sVj7SJ4AaABAg,0,4 years ago,"beautiful! ❤thank you for sharing this amazing atmosphere, it gives calmness and peaceful joy. but where all that incredible organic sweets are going, to local market?",美丽的！ ❤感谢您分享这种令人惊叹的气氛，它带来了平静和和平的喜悦。但是，所有这些令人难以置信的有机糖果都在哪里？
45267,UgwWan8YdXuOkbpnVQp4AaABAg,0,4 years ago,i like to look at his videos brings me very calm aoy from bolivia greetings arigato,我喜欢看他的视频给我带来了来自玻利维亚问候Arigato的非常冷静的Aoy
43131,UgwsAAmF32iciyrwI1F4AaABAg,0,4 years ago,what track did you use for this video? it was so calming,您在此视频中使用了什么曲目？太平静了
43336,UgxQMti6IDosL-DoE594AaABAg,0,4 years ago (edited),'allah she is as nice and very calm as allah gives me a pious woman!,她像真主给我一个虔诚的女人一样友善，非常镇定！
36260,UgwUgqvTdcVZ8splJ2B4AaABAg,0,4 years ago,these vids are so calming love themโฅ๏ธ,这些视频是如此平静，爱他们♥♥
43421,Ugw5ZfLsHf38fsjWIHB4AaABAg,0,4 years ago,"the delicacy and strength she puts ... the disposition, the calm in her eyes ... it's all so perfect!",她所说的精致和力量……倾向，在她眼中的平静……一切都很完美！
43596,UgypccLmAjvuUlcvp214AaABAg,0,4 years ago,this looks like little forest. it is so calming,这看起来像小森林。太平静了
43813,UgxQbq7s1v11SAuFXSZ4AaABAg,0,4 years ago,i find this series so beautiful :) so fascinating and calming,我发现这个系列是如此美丽:)如此有趣和平静
44385,UgwZtS0tNraZH_srgo14AaABAg,0,4 years ago,wow... this is fresh content. asmr-calming and just satisfying? how do i describe this. it's like a high quality movie production! this is better than a documentary! is this like a calming vlog-cumentary??? i love this but idk how to describe it,哇...这是新鲜的内容。 ASMR镇压和令人满意？我如何形容这个。就像一部高质量的电影制作！这比纪录片好！这就像一个平静的视频博物馆纪录片吗？？？我喜欢这个，但是idk如何形容它
44861,Ugyr-8GcwBZKbD64xoh4AaABAg,0,4 years ago,i love her videos so relaxing and calm and peaceful to watch. love the nature and animals.,我喜欢她的视频，非常放松，镇定和宁静。爱大自然和动物。
36363,Ugz4FNoGCGmGUhUMBMR4AaABAg,0,4 years ago,i'm mad for the past few days but now i'm calm after watching this๐๐’๐’๐’๐ธ๐€๐ท๐๐๐บ,过去几天我很生气，但是现在看这句话后我很冷静
30427,UgwKEQDVT2SyUsdXhOB4AaABAg,0,3 years ago,thank you for your video it makes me happy calm and work more harder to make healthy wood for my family,谢谢您的视频，这使我感到高兴，并更加努力地为我的家人制作健康的木材
36105,UgxHbkoz2Sd38HXTDRp4AaABAg,0,4 years ago,"there are no words, only admiration and positive emotions, all the same, they say correctly ""the east is subtle."" such a video is unusual. so much calm. interesting solutions. and most importantly, what a lovely dog โ€โ€and a kid. thanks a lot.",他们没有言语，只有钦佩和积极的情绪，都是一样的，他们正确地说：“东方是微妙的”。这样的视频很不寻常。如此平静。有趣的解决方案。最重要的是，多么可爱的狗和孩子。多谢。
13798,UgwzvHqpX7ez7NMlyUV4AaABAg,0,2 years ago,calms ....,平静....
9685,UgxOVkgsEa8PDGZqaBd4AaABAg,0,2 years ago,very nice calm i like this life thanks i'm from morocco,非常好平静，我喜欢这一生，谢谢，我来自摩洛哥
9860,UgyS-TRasIwP1HEUrGx4AaABAg,0,2 years ago,calming..,平静..
9879,UgxTHK4Si6g6euV8MYJ4AaABAg,0,2 years ago,the music reminds me of pokemon and my childhood:) so calming to watch!,音乐让我想起了口袋妖怪和我的童年:)很平静地观看！
10216,UgxFyybmA7zSf8wsOkN4AaABAg,0,2 years ago,"after reading it, i feel a lot calm in my heart",看完感觉心里平静许多
10428,Ugzd_cZLFAk7q78P_Sd4AaABAg,0,2 years ago,this is so calming to watch ๐,这真是太平静了
10520,Ugz6DyPfaxrhe5Xsr6h4AaABAg,0,2 years ago (edited),"chinese-this video is too calm. i hope our world is like this

english-this video is so people and beautiful i wish our world was like this","Chinese-这段视频太平静我希望我们的世界就像这样

English-This video is so peaceful and beautiful I wish our world was like this"
13140,UgyqNY4eCbTI0fRjf9t4AaABAg,0,2 years ago,idk why but liziqi's videos are so calming,idk为什么，但是利兹奇的视频很平静
13282,UgwfGs812EPtsJsG5O54AaABAg,0,2 years ago,i am sick and i watched your video...it was so calm and peaceful,我病了，看过你的视频...太镇定和宁静了
13764,UgwVL1TaJCnd6vHdUph4AaABAg,0,2 years ago,enough to live my life calmly like this,足以像这样平静地过着我的生活
15261,UgzoO872gRGqdrVp1Ah4AaABAg,0,3 years ago,the music is calming too,音乐也很平静
20641,UgyQwCV8nSWWwQ4NZ0F4AaABAg,0,3 years ago,something so calming about these video clips.....๐ค”๐ค”๐ค”๐ค”,这些视频片段如此平静的东西.....
15853,UgxKHaY1dUJ56tX8EA54AaABAg,0,3 years ago,i really want to there .. so calm and peace,我真的很想在那里..如此镇定与和平
17002,UgwlmmML2YEwF9iP4IJ4AaABAg,0,3 years ago,you have no idea how quickly i would pay to order your hand wrapped candy and or beef jerky. your videos are amazing and so calming i just wanted to say thank you.,您不知道我要付出多快来订购您的手包裹的糖果和 /或牛肉干。您的视频很棒，很平静，我只是想说谢谢。
17041,Ugxb7Ottx_VbYP3cnwZ4AaABAg,0,3 years ago,too calm,太平静了
17255,UgzJKDymEHAa1g-4V9p4AaABAg,0,3 years ago,i can't stop watching this videos. so calm and relaxing!!!,我不能停止观看此视频。如此镇定和放松！！！
18306,UgwqKaxK2rxe2EA2R8x4AaABAg,0,3 years ago,"just imagine living far away from crimes,loud noises and factories..so calming",试想一下，生活远离犯罪，大声的噪音和工厂。
18487,Ugx2SZ4T614NTByQWvl4AaABAg,0,3 years ago,why are her videos so calm with the music and the sound ?:),为什么她的视频对音乐和声音如此镇定？:)
19238,UgwbA1Ebq7gA1t_O9md4AaABAg,0,3 years ago (edited),"i'm really loved your vdo, made all calm down and learning how to survive with all stuff around you. and i do like to grow herb, vegetables and build all things byself around our house and in the garden too, love closed with the nature. #fc thai living in netherland.",我真的很喜欢您的VDO，使所有人平静下来，学习如何与周围的所有东西一起生存。而且我确实喜欢种植草药，蔬菜，并在我们的房子和花园里也用自己建造万物，爱与大自然结束了。 #FC泰国居住在荷兰。
19797,Ugy6DX0oIS-TO-hH54B4AaABAg,0,3 years ago,"i love her videos, they’re so peaceful and calm. the wholesome part of youtube.",我喜欢她的视频，他们是如此和平与平静。 YouTube有益健康的部分。
19812,UgyK0v5bMxAyUGUKMM94AaABAg,0,3 years ago,"子 漆 ahh i don't know what to do so much that i'm bored and i'm overwhelmed, most importantly, i'm tired, i don't want to think about it anymore, what a calm and simple life would be good.",子子啊，我不知道该怎么做，以至于我感到无聊，我不知所措，最重要的是，我很累，我不想再考虑一下，一种平静而简单的生活会做好。
9393,UgwZ7ufzX2G7H73HWHl4AaABAg,0,2 years ago,so calming,如此平静
9225,UgyO6xn3QShFWfqJ8Ql4AaABAg,0,2 years ago,puppies and a lamb follow her... is she heidi of the mountains .... she is so adorable and her videos calm me down.,幼犬和一只羊羔跟着她...她是山上的海蒂。。。
9220,Ugx0CSckEQzt2EQoY2x4AaABAg,0,2 years ago,"john 14:6 kjv, ""jesus saith, i am the way, the truth, and the life: no man cometh unto the father, but by me.""

1 peter 2:24 niv, ""he himself bore our sins in his body on the tree, so that we might die to sins and live for righteousness; by his wounds you have been healed.""

john 3:16 kjv, ""for god so loved the world, that he gave his only begotten son, that whosoever believeth in him should not perish, but have everlasting life"". 

romans 3:23-24 niv, ""...for all have sinned and fall short of the glory of god, and all are justified by his grace through the redemption that came by christ jesus"".

john 8:12 kjv, ""i am the light of the world: he that followeth me shall not walk in darkness, but shall have the light of life"". 

jesus is the only way to god, the truth of salvation, and the breath/bread of life. 

accept jesus christ as your lord and saviour. sins separate us from god because he's holy. all sins will be forgiven and erased through faith in christ jesus. god ♥ you, is alive, merciful, faithful, truthful, and is waiting with his arms wide open for you! for jesus did not come to establish a religion, but to become a mediator between god and men.

through the grace of god, jesus was given to us by paying the price at the cross at calvary. repent and confess from your sins to jesus and ask him to forgive you. a sinner cannot save a sinner, only a sinless person can. that sinless being is jesus christ himself.

through the faith in christ jesus, the sick was healed; everywhere he went, he healed the blind, the mute, the deaf, the demon-possessed, raised the dead, as well as performed many miracles; he also walked on water, turned water into wine, calmed the storm with his command, and was raised up from the dead. miracles are still being seen today! jesus is our helper, our healer, our refuge/protection, and our strength for when time gets tough.

god is standing and knocking at the door waiting for your answer right now because the kingdom of heaven is coming.","约翰福音14：6 KJV，“耶稣说，我是道路，真理和生命：没有人会给天父，而是我。”

1彼得2:24 NIV，“他本人在树上的身体中犯了我们的罪过，这样我们就可以死于罪恶并为公义而活；通过他的伤口，您已经得到了治愈。”

约翰福音3:16 KJV，“因为上帝如此爱世界，以至于他赐给了他唯一的儿子，以至于谁相信他的人不应该灭亡，而是永生的生活”。

罗马书3：23-24 NIV，“……因为所有人都犯了罪，并没有上帝的荣耀，所有人都通过基督耶稣的救赎而被他的恩典所辩护。”

约翰福音8:12 KJV，“我是世界之光：跟随​​我的人不会在黑暗中行走，而应具有生命之光”。

耶稣是通往上帝的唯一途径，救赎的真理以及生命的呼吸/面包。

接受耶稣基督为你的主和救主。罪与我们与上帝分开，因为他是圣洁的。通过对基督耶稣的信仰，将宽恕和抹去所有罪。上帝♥你，活着，仁慈，忠实，真实，他的手臂宽大地等待着你！因为耶稣不是来建立宗教，而是成为上帝与人之间的调解人。

通过上帝的恩典，耶稣是通过在Calvary的十字架上付出代价的。从你的罪向耶稣身上悔改并承认，请他原谅你。罪人不能拯救罪人，只有一个无罪的人才能。那无罪的是耶稣基督本人。

通过对基督耶稣的信仰，病了。他到处走了，他治愈了盲人，沉默寡言，聋人，恶魔，抚养了死者，并表现出了许多奇迹。他还在水上行走，将水变成葡萄酒，用他的命令使暴风雨平静下来，并从死里复活。今天仍在看到奇迹！耶稣是我们的助手，我们的治疗者，我们的避难/保护，以及时间变得艰难时的力量。

上帝正在站着并敲门，因为天国即将到来，所以现在等待您的回答。"
9070,UgwWcJfRjEK9GBzRtAF4AaABAg,0,2 years ago,"life is fine, a calm life is such
i like it .. if i would like such a life too","生活很好，平静的生活就是这样
我喜欢它..如果我也想要这样的生活"
669,UgxF1-2IEr5-hr8_1dl4AaABAg,0,5 months ago,a feeling of calmness and comfort,一种平静和舒适的感觉
1090,Ugz5BcTdSW3zNkjcV7Z4AaABAg,0,8 months ago,i hope you can comeback soon. your video is calming. โค๏ธโค๏ธ,希望您能尽快回来。您的视频很平静。 ❤️❤️
1137,UgyZuSlGw5J9rs3_Y3F4AaABAg,0,9 months ago,you make me calm just watching you ๐,你让我冷静，只是看着你
1192,UgznQVcMtnrpq0-2ByB4AaABAg,0,9 months ago,"thankyou liziqi, your content so beautiful, makes my heart calm and comfortable every time i see your video",谢谢您的liziqi，您的内容如此美丽，每当我看到您的视频时
1382,UgzAygWXi-7MJIP3m9J4AaABAg,0,10 months ago,"the scene looks calm, remind me of my childhood, thank you",场景看起来很平静，让我想起了我的童年，谢谢你
1401,UgyViic4uLs7YiCUga14AaABAg,0,10 months ago,"god willing, a wonderful and calm life",上帝愿意，美好而平静的生活
1493,UgwQYO0F_EFOc4CBzVB4AaABAg,0,11 months ago,i don't know why whenever i m back in your channel.. how much time went by.. but i just fell calm and content ๐…,我不知道为什么每当我回到您的频道中。
1644,UgzeyPTRlMes3247MsB4AaABAg,0,1 year ago,they have a lot of food.so inspiring 's my calmness,他们有很多食物。
