,cid,votes,含bamboo,含bamboo中文翻译
28143,Ugwy1PYnVvlignOc5EZ4AaABAg,0,ohhhh big bamboo shoot,哦，大竹芽
28107,Ugzs-ocz9kj7LOEF0xh4AaABAg,0,"i become fat if i keep watching her video, especially this one. river snails and bamboo shoot both are my favourite. my stomach make sound while i typing this comment.",如果我不断观看她的视频，尤其是这个视频，我会变得胖。我最喜欢的河流蜗牛和竹芽。我输入此评论时，我的胃发出声音。
28096,UgxU3Z6AyFBfr99osbt4AaABAg,0,i ate the fried bamboo shoots of the chilled meat of the chinese r. very delicious,我吃了中国人冰冷的肉的炸竹芽。非常美味
28046,Ugxr4YwRnpYQRMvlUUl4AaABAg,0,"0:55 bamboo shoots are super heavy. i came in in order to see the son -in -law.
at 4:45, the moss of tianluo is so much that it is impossible to clean it at all. fortunately, it's not the group of little guys in tianzhong.
7:58 a weeds can be eaten. this is the most surprising that the whole video .....

the video was taken very beautifully like li yingai in da changjin, let me smell the fragrance of vegetables through the screen.","0：55 的笋子超级重 我为了看子柒背笋子进来 却没有看到近的镜头拍摄
4：45 的田螺 那个青苔多到 根本不可能刷洗干净。还好 真的煮下锅的 不是田埂中的那一群小家伙
7：58 的杂草 居然能吃 这是整个视频最让我惊讶的.....

视频拍摄的很美 子柒像大长今中的李英爱作菜 让我透过画面都闻到菜香♥"
28037,Ugz52qCzSUP4ko6NOMZ4AaABAg,0,what kind of bamboo shoots are so big?,什么竹笋那么大？
27999,UgyqnUN-lwwP43wyEMV4AaABAg.8ya8jbMKo978yb56Is1poN,0,in vietnam we have bamboo too but where are the pandas?,在越南，我们也有竹子，但是熊猫在哪里？
27994,UgxDoZ2VEX9F9Wq9rOV4AaABAg,0,wished i lived next to a bamboo forest....,希望我住在竹林旁边。
27988,UgyqnUN-lwwP43wyEMV4AaABAg,0,"ziqi’s hometown is in sichuan （szechwan), china, which is also the habitat of pandas, that’s why there are so many bamboos.",Ziqi的家乡位于中国的四川（Szechwan），这也是熊猫的栖息地，这就是为什么有这么多竹子的原因。
27985,UgwfBRp3EJ1RWAG9Tlt4AaABAg,0,those are big ass bamboo shoots.,那些是大屁股的竹芽。
27964,UgyAP6ZITUMMC68KnNB4AaABAg,0,bamboo shoots really delicious with coconut milk. but i wanna try your recipe too,果汁牛奶真的很美味。但是我也想尝试你的食谱
29771,UgxAoJ03abjmpe2jaoh4AaABAg,0,what a beautiful bamboo forest!,好美的竹林啊！
22203,Ugx-8CkwXzmu72BROjl4AaABAg,0,those bamboo shoots must be smelling so bad,那些竹芽一定闻起来很糟糕
29859,UgwYSU5anfUhzG2W4px4AaABAg,0,nature at its finest. love the bamboos,自然最好。爱竹子。舒缓的声音
31389,Ugwk0LALMSHart5hLhR4AaABAg,0,"...
remember the village of women picking bamboo shoots alone
...","...
记住一个妇女村独自挑选竹芽的村庄
..."
31333,UgxOPq3c0xzwcsUQOAJ4AaABAg,0,"haha! bamboo shoots grow like they’re trying so hard to convince someone that this is how they grow, they look so out of place, and honestly really cute, with their pointy little tops, i kinda want to draw a goofy face on them and give them tiny kisses, they’re adorable. never tasted them, though, but it looks good!",哈哈！竹芽变得像他们很难说服某人那样生长，这就是他们的成长方式，他们看上去是如此不合适，老实说真的很可爱，用尖锐的小上衣，我有点想在他们身上画一张愚蠢的脸并给他们的小吻，他们很可爱。不过，从来没有品尝过它们，但是看起来不错！
31285,UgzKbjbciWq_U6Pq7yF4AaABAg.8yVH9NJyD1g8yVtChpqQBP,0,"there are snail powder sold in germany and asia supermarkets in germany and italy. if you do n’t have denmark asia supermarkets, if you live in denmark, you can buy it as close to germany. friends, i use the sour bamboo shoots in the snail powder and dry the old friend powder to cook the old friend powder. the snail powder is cooked for friends in germany and italy. don't feel stinky, you can eat the whole bag of spicy oil after finishing the spicy oil.",在德国和意大利的亚洲超市都有螺蛳粉卖的，丹麦亚洲超市没有的话，如果你住丹麦是距离德国近的话可以开车去买的，我对螺蛳粉一般，更爱生榨，其次桂林和老友，我每次都是用螺蛳粉里的酸笋料和温州粉干来煮老友粉，螺蛳粉煮给德国和意大利的朋友吃，就算我放酸笋德国和意大利的朋友也能接受并不觉得臭，把整包辣油放完还能吃完粉连汤也喝完
31282,Ugzc_dcGc0ugeMpH2-54AaABAg.8yVHQIwZzoB8yVMBFBRvWJ,0,i only like the very tip part of the bamboo shoots. very tender. the other parts are tougher.,我只喜欢竹芽的一部分。非常温柔。其他部分更艰难。
31270,Ugzc_dcGc0ugeMpH2-54AaABAg,0,us tibetans eat bamboo shoot too! usually a bit too fibrous/chewy for my liking but my family loves it and has always eaten it ever since i can remember!,我们的藏人也吃竹芽！通常，对于我的喜好，我的家人很喜欢它，但是我的家人很喜欢它，而且自从我记得以来就一直吃了它！
31262,Ugx1_Tf7uXzcz4yKwlN4AaABAg,0,i love bamboo shoots! yummy! :),我喜欢竹芽！好吃！ :)
31248,UgyuFh3RsODTPTgETqJ4AaABAg,0,"young bamboo is delicious, especially the old",年轻的竹子很美味，尤其是老竹
31223,UgzwtbGscqGJS3EASk54AaABAg,0,we call bamboo shoots. from malaysia,我们称竹芽。来自马来西亚
31215,UgwnR02FIBycUSDLkr94AaABAg,0,wow i like bamboo...... n i'm your big fan from,哇，我喜欢竹子......我是你的大粉丝。
31148,UgwNcTeKoiGnbPntR3h4AaABAg,0,wih make tutut with bamboo shoots,wih用竹芽制作图tut
31120,UgxmELQxJd4xqBK8rUp4AaABAg,0,bamboo vege its good,竹蔬菜很好
31091,Ugz22S3MP_1rHQU6aiB4AaABAg,0,"for those who haven't had this before. the pickeled bamboo shoots smell like shit. really. it's an aquired taste. absolutely essential for this type of rice noodles. there are two types of people, those who love this smell, and those who hate it.",对于那些以前从未有过的人。采摘的竹芽闻起来像狗屎。真的。这是一种味道。对于这种类型的米粉绝对必不可少。有两种类型的人，那些喜欢这种气味的人以及那些讨厌它的人。
31084,UgwLZLcFTtKphFSWIjx4AaABAg,0,just now i had my dinner with bamboo with and pork.wow it's amazing,刚才我用竹子和猪肉共进晚餐。哇，真是太神奇了
31065,Ugw5glfYhi9eKQOeuNV4AaABAg,0,bamboo shoots are not boiled first,竹芽不先煮
31032,Ugy0tzdAWMRKXPKdpKB4AaABAg,0,so big bamboo shoots,好大的笋
31000,UgwW1dKpEmICwdO4-Zp4AaABAg,0,you never feed the poor puppy who is watching you when you cook. i love your videos. i love bamboo,您永远不会喂那个可怜的小狗，他们在做饭时正在看着你。我爱你的视频。我爱竹子
31384,UgzLM3vTg7STWW-rq7J4AaABAg,0,i like so much bamboo shoot.. we called it bassury...,我非常喜欢竹芽。.我们称之为巴苏里（Bassury）...
31394,Ugy-8sWSeVO5_gCl_9p4AaABAg,0,bamboo shoots look big. true delicious.,竹芽看起来很大。真正美味
29863,UgznN6wSZZKQh2eTyFd4AaABAg,0,i love bamboo shoot,我爱竹芽
31429,Ugyq78Q3AW4QzWlOeNd4AaABAg,0,bamboo shoot is my fav food,竹拍是我最喜欢的食物
31682,UgxoZscyRD5FDO7R8bR4AaABAg,0,the bamboo shoots smells good while theyre cooking a bit bitter in a nice way. they also have a mushroomy taste and they're crispy and juicy.,竹芽以一种很好的方式烹饪时闻起来很香。他们也有蘑菇的味道，它们酥脆又多汁。
31667,UgwtDStVnxaSgXSX4S14AaABAg,0,super huge bamboo shoots,超大的竹芽
31655,UgzYZpSDB8bg1A7lIzl4AaABAg,0,"love your videos, as always!
couple questions, first, when you put the tiny snails in the wok, do they lose the shell as they cook? and then you shift out the shells?
next question, for anybody who knows, are bamboo shoots starchy, like potatoes?
thanks, and keep your beautiful shows coming!","一如既往地喜欢您的视频！
首先，当您将细小的蜗牛放入锅中时，他们会在烹饪时失去外壳吗？然后您移出外壳？
对于任何认识的人来说，下一个问题是像土豆一样淀粉类淀粉吗？
谢谢，让您的美丽表演来！"
31654,Ugy3dpnlgen33I8oHkR4AaABAg,0,"bamboo shoot is very popular in northeast india. and that black thing is a mushroom variety,it is very good when fry with potato",竹头在印度东北部非常受欢迎。那黑色的东西是蘑菇的品种，当用马铃薯炒时非常好
31632,UgzamFHSgd6pTxvko_B4AaABAg,0,"bamboo forest ... if in indo pazti, it becomes a poci or mbak kun nest",竹林...如果在印度帕兹蒂（Indo Pazti），它变成了Poci或Mbak Kun Nest
31630,UgwW4wnI3sVStxXyowV4AaABAg,0,beans and bamboo shoots are my favorite! so enjoyable! xd,豆子跟笋子都是我最爱吃的！好过瘾！ ＸＤ
31619,UgzpkekCkMRK6thI0HZ4AaABAg,0,in indonesian food the name of young bamboo is rebung,在印尼食品中，年轻竹子的名字是重生
31591,UgzlC3wCfdwo4MFK-DZ4AaABAg,0,bamboo shoot is delicious in many asian countries. we use it in a lot of lao dishes. this makes me want to go see the country side a lot.,在许多亚洲国家，竹枪很美味。我们在许多老菜中使用它。这使我想经常去看国家。
31583,Ugw7N3nxtx5DtQgo3WB4AaABAg.8yVBDJCd8_q8yVE26xgeHS,0,"luosifen actually not stinky at all...its the fermented bamboo shoots/suan sun
i ate luosifen a lot & loved it when i was in guangxi, yummy","luosifen实际上根本不臭...它的发酵竹芽/suansun
我非常喜欢Luosifen，当我在广西时，我很喜欢它"
31576,UgwIw-qUCSRqdM6w0cF4AaABAg,0,this bamboo shoot is too big 笋,这个竹笋也太大了
31571,Ugw2Ktj43FpRhYwIcZl4AaABAg,0,watching your videos is so relaxing . bambooshoot is my fav,观看您的视频是如此放松。 Bambooshoot是我的最爱
31459,UgzUl7tj5deTQ2hduQx4AaABAg,0,"bamboo shoot is a popular vegetable in my homeland sumatera indonesia, my mom is used to use it in mixing meals",竹头是我家园苏草印度尼西亚的一种受欢迎的蔬菜，我的妈妈被用来混合饭菜
31438,UgzGEWVRWbTrWYjpsgJ4AaABAg,0,bamboo shoots are as big as the head,竹芽与头部一样大
31435,Ugy6i4WhmHyRykXb2rh4AaABAg,0,"this bamboo shoots are bamboo shoots, right",这张竹芽是竹芽，对
31431,UgyaJ6p0uqe6rUA9doR4AaABAg,0,"suddenly remembering that our family had bamboo shoots almost recently, bamboo porridge bamboo shoot soup fried xunzi ... anyway, all kinds of bamboo shoots",突然想起我们家最近几乎餐餐都有笋子，笋子粥 笋子汤 炒荀子...反正各式各样的笋子料理
30987,UgwGX1sHl7MMpdVWlXx4AaABAg.8yVP9dkn4lF8yVqYYO7g4j,0,@suilongchan3557 scent produced by sour bamboo shoots,@suilongchan3557 酸笋发酵产生的气味
30885,UgxRHnO2RgwG9oUwQZ54AaABAg,0,she peel bamboo shoot with bare hands!,她用裸手剥竹射！
30876,UgxclzUxhe32skDIgN94AaABAg,0,"i love bamboo so much, wish i could buy rhizomes here but they are too expensive.",我非常喜欢竹子，希望我可以在这里购买根茎，但它们太贵了。
30870,UgxZcishzq9RBBS88Mp4AaABAg,0,i like that bamboo tree field she so lucky which can live near best view like this and so love her too,我喜欢那个竹树田，她是如此幸运，可以像这样的最佳景色，所以也爱她
30587,UgxoPb_uCNY-QwuvoTB4AaABAg,0,"in my country especially in my hometown, young bamboo is called ""bung"". and its cooked with coconut milk, garlic, onion, etc..",在我的国家，尤其是在我的家乡，年轻的竹子被称为“邦格”。并用椰奶，大蒜，洋葱等煮熟。
30571,UgwI9vVfAJxR_GRsk_t4AaABAg,0,deep in the bamboo forest,竹林深处人家
30564,UgwNE1zUwl1VfkXJlNB4AaABAg,0,"it's delicious in the world, no wonder pandas love bamboo so much!",人间美味，怪不得熊猫那么爱吃竹子！
30504,UgyrOUmVqwJn9ncb0t94AaABAg,0,yum bamboo shoot,百胜竹芽
30503,Ugxuxb6yVZ2k2ghM2cJ4AaABAg,0,"this video is remind me of my hometown, i used to eat a bamboo shoot soup when i was little, it's also taste good when you eat it raw.",这段视频让我想起了我的家乡，我很少有小吃的竹脚汤，当你吃生时，它的味道也不错。
30203,UgyJqCDjhT3PYjFDofJ4AaABAg.8yVf-Sm0HzW8yYFrzPyq90,0,"actually there are plenty of bamboo forest in the se us that are similar and you can harvest in them....its regulated, but you can harvest both the mature bamboo and shoots",实际上，美国有很多竹林相似，您可以在其中收获。
30168,Ugz3BTTw4jH0LPRy7Ep4AaABAg,0,idk why asians like bamboo shoots so much tbh they taste like nothing lmao,idk为什么亚洲人喜欢竹芽这么多tbh，他们的味道就像lmao一样
30155,UgzGZc6xEQsUQHzElbZ4AaABAg,0,those bamboo shoots are really wide and big,那些竹芽真的很宽大
30153,UgzQwKAgEEQjrSpj_W54AaABAg,0,"when taking out the sour bamboo shoots, zi yan frowned hahahahahahahaha",拿出酸笋的时候子柒皱了下眉哈哈哈哈哈哈
30117,Ugzb2LnAvTefUXnNzf54AaABAg,0,"i love bamboo shoot and long beans.
edit: i love pork and snail cook together","我喜欢竹芽和长豆。
编辑：我喜欢猪肉和蜗牛厨师"
30091,UgxL391XbWRTji7F2wd4AaABAg,0,"i am the comment in spanish that you were looking for ..ok no! 
that is bamboo","我是西班牙语的评论，您正在寻找..否！
那是竹子"
30078,UgxFXJKr-rrvuMuKX1h4AaABAg,0,lovely video! i just kept thinking of animal crossing for some reason when she was harvesting the bamboo shoots. >_<,可爱的视频！当她收获竹芽时，我只是出于某种原因一直在想着动物穿越。 > _ <
29984,Ugw6DhyoRXhEsHAWAdh4AaABAg,0,bamboo shoot is delicious or when you boil this with chicken its taste amazing ...and add some ingredient ...ah my mouth started watery,竹芽很美味，或者当您用鸡肉煮沸时，它的味道很棒...并加入一些成分...啊，我的嘴开始了
29939,UgzFGes2-AYZsGPJ8kt4AaABAg,0,"i missed the bamboo shoots in my country... especially, when my tatay cook for me along with other vegetables and with dried fish! awesome food!",我错过了我国的竹芽……尤其是当我的Tatay和其他蔬菜和干鱼一起为我做饭时！很棒的食物！
29932,Ugw_ZxqNqZZxLtfwIs54AaABAg,0,bamboo as he ate,竹子吃
30597,Ugy00QBa79kh26yvu6p4AaABAg,0,"am from nagaland it very similar our culture n dish n i love bamboo shoot, pork n snail",我来自那加兰邦，这非常相似，我们的文化n n n i我爱竹芽，猪肉n蜗牛
30613,UgxFJebCFuFdz8hEW1N4AaABAg,0,"when you cut the bamboo shoots, you see that your knife is blunt. let me grind it for you.",切竹笋的时候看到你们家的刀好像已经钝了，我来给你磨一下吧
30630,Ugyt8Nkyxhyq0FOnSZV4AaABAg,0,"this is so small, i also go to the forest to break the bamboo shoots, then go back to the stream to catch snails like zanh.",这太小了，我也去森林打破了竹芽，然后回到溪流去捕捉蜗牛。
30756,Ugznndv9pGsSbjj5nkB4AaABAg,0,bamboo shoots too delicious,竹芽太美味了
30844,Ugx8kx3O-19t4KWHuBV4AaABAg,0,bamboo shoots are too big.,竹芽太大了。
30839,Ugxk1ut_fHnHOzWQ5D94AaABAg,0,"im not sure if i can find wife like liziqi in the modern city...
who still goes to mountain to pick bamboo shoot and plant her all own vegetables....","我不确定我是否可以在现代城市找到像利兹基这样的妻子...
他们仍然去山上捡竹芽并种植自己所有的蔬菜。"
30832,UgzqEgJcid6Z_Gjozqh4AaABAg.8yVRepcljpl8yWpZbYANOV,0,bamboo shoots are delicious.....specially when pickled,竹芽很美味.....特别是腌制时
30827,UgyVessnaT5yjqavU-N4AaABAg.8yVS_JNkNCo8yVb4lLgmQM,0,spring bamboo shoots are such tender parts very tender,春笋就是这样的 嫩的部分很嫩
30807,UgyVessnaT5yjqavU-N4AaABAg,0,"these bamboo shoots are too old, and the fresh tender bamboo shoots buried below taste better",这些笋太老了，埋在底下的新鲜嫩笋味道更好
30789,Ugxbj6eruy4oUDIHs7t4AaABAg,0,"what a big bamboo shoot, i like to eat.",好大的竹笋，我喜欢吃。
30751,Ugy8oBRKxU9OlKIPXz54AaABAg,0,my new expression: sweet bamboo shoot!,我的新表达：甜竹芽！
30640,UgwQKSgZL64keu9-Jwd4AaABAg,0,yummy bamboo roots...we also have the same recipe here in the philippines. good job ms liziqi,美味的竹根...我们在菲律宾也有相同的食谱。好工作Liziqi女士
30742,UgzH81g04M-rKXnv7yR4AaABAg,0,and that she chopped bamboo?,她切碎的竹子？
30739,UgzL5nyy2lVkZjq6So14AaABAg.8yVUkjucOnr8yX-mivPIbf,0,bamboo shoots are really delicious,竹芽真的很美味
30718,UgyS_baBzJDlL4IOaN94AaABAg,0,i wish i could have this type of bamboo shoot,我希望我可以有这种竹芽
30688,UgyBk8BxD0Da3VAjtC94AaABAg.8yVX6WaEN0Y8yWQ9Gzbjed,0,@user-jy8kj4dy9l is the material of the sour bamboo shoots guangxi snail powder. the flavor of the bamboo shoots can be bought on taobao.,@user-jy8kj4dy9l 就是那个酸笋 广西螺蛳粉的料里面就那个笋味道极重 可以在淘宝买来尝一尝 偶尔吃吃比方便面要给劲多了
30647,UgwWupTXHJTTj8bl3FV4AaABAg,0,1:30 that's it unicorn horn? ahahhaha if i didn't know it was bamboo,1:30就是独角兽号角吗？啊，如果我不知道那是竹子
30643,Ugxwk4Xm7rZg2wXD-Zd4AaABAg,0,what is the bamboo shoot this season?,这个季节是什么笋？
22232,UgzHRVFOUJ0HpVwCvOZ4AaABAg,0,"my fav food! i alwys go to jungle to get some bamboo when i back to my vilage
or my family membr get it hehe","我最喜欢的食物！当我回到我的葡萄酒时，我会去丛林丛林
或我的家人膜得到它呵呵"
18555,UgxScn8iSxTuE8w2jvR4AaABAg,0,"my dad used to live in the same rural area in sichuan china, and he told me many ways to cook like several staffs in this video, and i am able to make sour beans and sour bamboo root myself, learned from my dad. there are still many chinese ppl living in that way, instead of nice, peace, organic, deliciousness shown in this video, that's really hard working and way too difficult in real life.",我父亲曾经住在中国四川的同一个农村地区，他告诉我多种方式像这段视频中的几个员工一样做饭，我能够自己制作酸豆和酸竹根，从我父亲那里学到。这种视频中仍然有许多中国人的生活，而不是善良，和平，有机，美味，这在现实生活中确实很难工作，而且非常困难。
22192,UgzKdbNOUd2qL2yzA414AaABAg,0,peeling low -shooting bamboo shoots vcl,剥离低射竹芽VCL
6947,UgxtHygQ84EG8U5tWCR4AaABAg,0,bamboo bamboo,竹子
7080,UgzmX3E2P88zWo5wAiB4AaABAg,0,tender bamboo shoots are delicious,嫩竹芽很美味
7075,UgzXA-RI1644_W8zrw14AaABAg,0,that's young bamboo ๐,那是年轻的竹子
7072,Ugw3-JNahcPZa5bYu7t4AaABAg,0,i like bamboo shoots so much,我非常喜欢竹芽
7068,Ugzbxqb-xwmSjGNeWiB4AaABAg,0,wow bigger bamboo,哇，更大的竹子
6998,UgyIIWCn8ZswsjCclH54AaABAg,0,mam what is name new form bamboo in ur local language. because we called heyei to this.,妈妈用当地语言中的新形式竹子。因为我们为此打电话给Heyei。
6972,UgxrM00lIOBpRfQMPI14AaABAg,0,"hello i'm indonesian. in indonesia, bamboo plants are called bamboo shoots",你好，我是印尼人。在印度尼西亚，竹植物被称为竹芽
6955,Ugx9KrDMPEeoDsf161Z4AaABAg,0,what does it taste like? i mean bamboo shoots,尝起来怎么样？我的意思是bamboo
6943,UgyZctosm0DGdYmfoQ94AaABAg,0,huh. thank you. for some reason i imagined bamboo shoots were like tiny little things... this makes much more sense!,嗯。谢谢。由于某种原因，我想象的竹芽就像很小的小东西……这更有意义！
7149,Ugz6gsAtJ5ICJ4rEJhN4AaABAg,0,"the day the baby kept liking boiled bamboo shoots, h built the wall to leave all r, remember it was so old",婴儿一直喜欢煮竹芽的那天，H盖了墙以离开所有R，请记住它是如此旧
6901,UgwlQSdGVIjqr1_9Hht4AaABAg,0,pork with bamboo shoot very tasty,用竹芽猪肉非常好吃
6883,UgxXEgAUhqV8K1HnPex4AaABAg,0,cutting bamboo shoots always reminds me of those soap cutting asmr vids,切竹芽总是让我想起那些肥皂切割的ASMR VID
6820,UgzyDnHZQ8ZdYETNc4h4AaABAg,0,is it the bamboo that we found on harvest moon ?,是我们在收获月亮上发现的竹子吗？
6814,UgwS61-Qp6r_WTUsp3J4AaABAg,0,"if in indonesia it is called bamboo shoots
it's really good if you make processed specialties","如果在印度尼西亚被称为竹芽
如果您制作经过处理的专业，那真的很好"
6785,UgwWRK8SVeR3K4xKI-R4AaABAg,0,the snail powder is really delicious. although the taste of sour bamboo shoots is a bit big.,螺蛳粉是真的好吃。虽然酸笋的味道有点大。
6759,UgyyLhzE7Ly6QD7kn2p4AaABAg,0,"the pork and bamboo shoots 
wow, that's similar to assam and the other northeastern states of india","猪肉和竹芽
哇，这类似于阿萨姆邦和印度东北部的其他州"
6737,UgwPHPGNtNIA15BqSTN4AaABAg,0,this bamboo shoots are beautiful neng,这个竹芽是美丽的Neng
7105,UgygUEvxAXBidj-P-rB4AaABAg,0,bamboo shoot .... wkwkkw,竹拍.... wkwkkw
7215,Ugz-CxWPxtObXV-qZnZ4AaABAg,0,what would we do without bamboo?,没有竹子，我们会怎么做？
7713,UgySBU2ThzAEI_-CpPd4AaABAg,0,"i like the young bamboo ,,
wear a cork+ glitter ,,,
it is a good idea for this life","我喜欢年轻的竹子，
穿软木+闪光，
这是一个好主意"
7442,Ugw6nDZwUM8jiii4s_B4AaABAg,0,malaysians call bamboo stew,马来西亚人叫竹子
7670,Ugx2k36Wyk5ABkC_diZ4AaABAg,0,watch out to be taken under wewe neng. playing in bamboo forests alone ...,当心要在Wewe Neng下采取行动。独自在竹林里玩...
7667,UgziMUqzWwIkJYBqgQB4AaABAg,0,to day iam cooking bamboo sut it is very very tasty food .,每天煮竹子，这是非常美味的食物。
7660,UgygFL_F0YtFe_jx4eZ4AaABAg,0,how come i miss the bamboo shoot vegetable,我怎么想念竹芽的蔬菜
7565,UgyUuJIhw7heycX2rEh4AaABAg,0,"guys,my hometown is known for eating bamboo shoots.personally,i dont like much.also the shells that she's picking i dont eat much.want some?come to my place.after corona๐",伙计们，我的家乡以吃竹的射击而闻名。个人不喜欢她，她选择的贝壳我不吃太多东西。
7515,Ugw5-339vrivIMd44Ah4AaABAg,0,bamboo shoots look so delicious,竹芽看起来很美味
7502,UgxLhGnH2I1mZjRbPmd4AaABAg,0,"just yesterday i went to collect bamboo shoots the different is that i have to climb mountains and got many love bite from leeches ๐… . fermentation process is same โค
good to see beautiful videos 
love from arunachal pradesh","就在昨天，我去收集竹芽的是，我必须爬山，并从水ches
很高兴看到美丽的视频
来自阿鲁纳恰尔邦的爱"
7461,Ugy2lEP5QDbyWQci12p4AaABAg,0,"if i said it is a moon, / bamboo young and.
above make saints.
continue fried tempe, fried salted males and warm rice.
pedo elom","如果我说那是月亮， /竹子年轻。
上面是圣徒。
继续油炸坦佩，油炸盐的雄性和温暖的米饭。
Pedo Elom"
7387,UgwPGq0QDyhuNfBVhQd4AaABAg,0,fuck the mother of the chinese race. cut the stir -fried bamboo shoots into bamboo shoots.,他妈的中国种族的母亲。将搅拌的竹芽切成竹芽。
7286,UgxGusmCb51S_rh0DPx4AaABAg,0,very tasty bamboo shoot if u cook it with dry fish,如果您用干鱼煮熟，非常美味的竹芽
7364,Ugzrpe5bcpsRkpLjGX94AaABAg,0,huge bamboo shoots!,巨大的竹芽！
7356,Ugzvdr6aRV_jtjhjiv94AaABAg,0,"when i saw video of dianxi, it's a bout bamboo shoots and now liziqi. it seems like this is the season of bamboo shoots in china. who like me??? :d",当我看到Dianxi的视频时，这是一张竹back芽，现在是Liziqi。看来这是中国竹芽的季节。谁喜欢我？？？ ：d
7334,UgyGxl2K_F1Qccyx0KV4AaABAg,0,tasty bamboo shoots on vegetables,蔬菜上美味的竹芽
7323,Ugz9Q5F7IWMHWZ1Z0gR4AaABAg.9D-dqTPvTi39iemQuPSnKr,0,bamboo,竹子
7321,Ugz9Q5F7IWMHWZ1Z0gR4AaABAg.9D-dqTPvTi39D2IhoQygHI,0,"it's bamboo shoots,i think you can find it in asian supermarket, there are some snacks make of it,like ็บขๆฒน็ซน็ฌ",它是竹芽，我认为您可以在亚洲超市中找到它，有一些小吃，例如红油竹笋
7312,Ugxi1g32MASlmn-0Ajd4AaABAg,0,wow..that bamboo shoot..๐๐โค๏ธโค๏ธ.. you know after i saw this i'm starting to get hungry again.๐๐,哇..竹芽....
7300,UgxJ8T5kusuRuTJFRAV4AaABAg,0,"wahhh we also eat those bamboo shoots here in the philippines, her garden looks like our garden here at my place๐ฅฐ",哇，我们还在菲律宾在这里吃那些竹芽，她的花园看起来像我们的花园在我所在的地方
6682,UgxfE-rrcGCRAqKAemF4AaABAg,0,my favourite dish. bamboo,我最喜欢的菜。竹子
6668,Ugz3dGj_EnGJyxSqR_B4AaABAg,0,"china, very big bamboo shoots but do not know the taste is as delicious as thailand ๐ค—๐ค—",中国，非常大的竹芽但是不知道味道和泰国一样美味
6591,Ugw07VeJyFcK8Z8ohR94AaABAg.9EezfQDieEG9EwDYUY8q3I,0,bamboo shoots,竹笋
5464,UgycozEVpGRUO_SQNnx4AaABAg,0,"i thought only in my homeland alone young bamboo was used as a processed cuisine by seeing this
my knowledge increased and she was an extraordinary girl with everything she could","我以为只有在我的家园中，年轻的竹子才被用作加工的美食
我的知识增加了，她是一个非凡的女孩"
5783,UgxGfQoW6TAAaWAh1nd4AaABAg,0,do you use anything in your hand? because i don't see you struggling with the black haired like thing in that sweet bamboo shoots,您手中使用任何东西吗？因为我看不到你在那个甜美的竹芽中挣扎着黑头发的东西
5749,UgzNZPf_eLRPugSxjtJ4AaABAg,0,are giant bamboo sprouts ??,是巨型竹芽吗？
5730,UgzvS6JIescty9BNBGt4AaABAg,0,"what kind of bamboo is this, how big bamboo shoots are so big?",这是啥竹子，怎么笋子这样大只啊？
5713,UgzPrft3w_6xQn-STDx4AaABAg,0,it looks satisfying to harvest one of those bamboo sprouts.,收获其中一个竹芽芽似乎令人满意。
5712,UgwoTrvvK26htlvJu814AaABAg,0,its rebung in indonesia(young bamboo)..i like this video๐,它在印度尼西亚（Young Bamboo）的重新居住。我喜欢这个视频
5605,UgxPmPwbdb5YIjhtJJ14AaABAg,0,we indonesian people also like to cook very good bamboo tubers,我们印尼人也喜欢烹饪非常好的竹块茎
5587,UgyLYQ_a9fUoX9L0OXR4AaABAg,0,how do you know once youโ€ve gotten down to the part of the bamboo you eat? the white parts all look the same to me...,一旦到达所吃的竹子的一部分，您怎么知道？白色部位对我来说都一样...
5313,Ugy3_JvynTAEJy_QOwZ4AaABAg,0,bayak o bamboo shoots,Bayak o竹芽
6572,Ugw07VeJyFcK8Z8ohR94AaABAg,0,i don't know they eat bamboo,我不知道他们吃竹子
5302,UgykgcmBGoEN_XIIYtZ4AaABAg,0,in indonesia the name is bamboo shoots ...,在印度尼西亚，名字叫竹芽...
5276,UgyRTZeBA43_yE-7lpB4AaABAg,0,"this video reminds me that anime that spoke of a phantom ""princess of bamboo sprout"" very nice, alternative and colorful with only watercolors the plot reminded a little the novel cime stormy โค๏ธ",这段视频提醒我，动漫谈到了一个幻影“竹子公主”，非常好，替代品，只有水彩画，情节使小说cime cime cime cime storky❤️
5269,Ugw2kfiu0zKZ5sUWjIh4AaABAg,0,really lovely video. i love those bamboo drying racks,真的很可爱的视频。我喜欢那些竹干架
5233,Ugw-ubzQqgUGieV50xl4AaABAg,0,established kui don't bong people nkq nk calling ๐๐utowo young bamboo,建立的kui不要bong People nkq nk呼叫
