,cid,votes,time,含pretty,含pretty中文翻译
15662,UgxW8vzZm1pmwa9WIc14AaABAg,0,3 years ago,"smile to see liziqi .. it's pretty .... rajin .... wise pulak tu ...
alahai .... whatever .. like life like this ... 
love from malaysia","微笑着看到liziqi ..很漂亮.... Rajin .... Wise pulak tu ...
Alahai ....无论如何..像这样的生活...
来自马来西亚的爱"
15704,UgzLgKHpQSC-inTjQkd4AaABAg,0,3 years ago,"ustd is very, very pretty.",USTD非常非常漂亮。
15874,UgzmnMvBqAkvUOLL54p4AaABAg.999QopWunIT99BGkyBuYzJ,0,3 years ago,vivo vvy93 im pretty sure its china,Vivo vvy93我很确定它的中国
16021,Ugw1bhelK3cCy-EULAd4AaABAg,0,3 years ago,her hand skin is kinda rough.. so i pretty sure she done all of these things not just because to film it.. but it just her lifestyle..,她的手皮有点粗糙。所以我很确定她做了所有这些事情，不仅是因为拍摄它。而且只是她的生活方式..
16784,UgyNLYCedZo_NnMzAn54AaABAg,0,3 years ago,the dogs look pretty hungry )):,狗看起来很饿）：
17161,Ugx8gYMSVaG5qAIOxqB4AaABAg,0,3 years ago,pretty vl,漂亮的VL
20759,Ugz5PfGPcPsGIz0DWyd4AaABAg,0,3 years ago (edited),she is so pretty โก and a little worker bee too โก,她是如此漂亮♡，一个小工人蜜蜂也是♡
17311,Ugzr8BcITcLeypqxYeZ4AaABAg,0,3 years ago,"6:48 that is sunflower seeds, we have them here alot, not fried melon seeds, correct me if i am wrong, but iam pretty sure about it.",6:48那是葵花籽，我们在这里有很多东西，不是炸瓜子，如果我错了，请纠正我，但我很确定。
17333,UgzOJngrOD8-DrQ4vVx4AaABAg,0,3 years ago,this girl is the ideal type of kyunsoo d.o. of exo..im pretty sure,这个女孩是Kyunsoo D.O.的理想类型exo..im肯定
17475,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa97wVgpnHzUQ,0,3 years ago,i wished you were a pretty chinese woman...!? what happened with our dreams nithin raj???,我希望你是一个漂亮的中国女人...！？我们的梦想Nithin Raj发生了什么？？？
17770,Ugx89IeoMnnY5zFvWrp4AaABAg,0,3 years ago,"she's so beautifil, accurate, efficient, smart. if she worked in the same office as me, i'm pretty sure she could do 2 people's work very fast. chinese discipline....! congrats gorgeous girl!",她是如此美丽，准确，高效，聪明。如果她和我在同一个办公室工作，我敢肯定她可以很快做2个人的工作。中国学科....！恭喜漂亮的女孩！
18089,Ugzm3fEO8_201UGqjzB4AaABAg.97LCGA2N6jc98ElGUGfwCB,0,3 years ago,"pretty sure that was a baby sheep, goats have horns don't they?",很确定那是婴儿绵羊，山羊有角，不是吗？
18123,UgyjSCZJOi59BFhEruZ4AaABAg,0,3 years ago,looks so pretty dat food,看起来很漂亮的食物
18154,UgzyrSOB5yFJuCCWrF94AaABAg,0,3 years ago,"angel, it's so pretty",天使，太漂亮了
18316,UgxjmA7l7H-RKWKlnFp4AaABAg,0,3 years ago,you are very pretty you seem like a disney princess who is difficult to believe what you do all that job a lot of respect looks delicious.,你很漂亮，你看起来像个迪斯尼公主，很难相信自己做的所有工作看起来很美味。
18628,UgzrKzeYZrQYnpf1cKt4AaABAg,0,3 years ago,liziqi is soooooooo pretty and so hard working,liziqi非常漂亮，很努力地工作啊，现在我迷上了她
19093,UgwDT18JlLnEx1nOV-F4AaABAg,0,3 years ago,sister pretty wa,姐姐漂亮瓦
19149,UgyRhW5fUYX6eJWK0Rp4AaABAg,0,3 years ago,mmm girl is pretty.))),嗯女孩很漂亮。））））
19443,UgwiuaUlQ3XfobUcwsR4AaABAg,0,3 years ago (edited),"can i ask her hand .... lol ....
she is so pretty.... i wanna contribute for this channel","我可以问她的手....大声笑....
她真漂亮....我想为这个频道做出贡献"
19920,Ugy0BJf2QC14ZTtYOY94AaABAg.958mkpRZZcW95Nm1hipJi-,0,3 years ago,it is not similar. pretty sure it is another chinese holiday you guys still keep. this holiday is at least 2000 years,它不相似。可以肯定的是，这是你们仍然保留的另一个中国假期。这个假期至少有2000年
13027,UgxSvtMH5UPqEoLeZC54AaABAg,0,2 years ago,what rich! and what a pretty woman and work,有什么富人！那是一个漂亮的女人和工作
12477,UgzFQXVwLaDru_lXZHd4AaABAg,0,2 years ago,she worked elaborately. so it is very pretty .... like,她精心工作。所以它非常漂亮。
11948,UgxNoJ7MboLHQG8hUnR4AaABAg,0,2 years ago (edited),"this woman does what the mediocre eggs want to see and they want her to a beginning i liked her grandmother for this, they only see the c. 150. it is pretty restrained but only what chafa. asses.",这个女人做了平庸的鸡蛋想要看到的事情，他们希望她成为我喜欢她的祖母的开始，他们只看到c。 150。这是相当限制的，但只有什么chafa。驴。
11841,UgxbRtoK1P2VK3HQ5wt4AaABAg,0,2 years ago,"hello, beautiful baby working my pretty girl you are incredible and very pretty and intelligent",你好，漂亮的宝贝，我的漂亮女孩，你很不可思议，非常漂亮，聪明
1826,UgxY9hfugwx9V_48lEN4AaABAg,0,1 year ago,i'm so good at this. good cooking is pretty,我很擅长。好烹饪很漂亮
2112,Ugz3j3AOhp33iUjy3lZ4AaABAg,0,1 year ago,hey sister what's your name you'r look pretty can you make my,嘿，姐姐，你的名字你看起来很漂亮，你能让我的
2623,Ugwf6oy7pAolMiF5J214AaABAg,0,1 year ago,thank you for the caption! i didn’t know what those pretty red fruits were!,谢谢您的标题！我不知道那些漂亮的红色水果是什么！
2664,Ugy-PdE8kVniq69skvd4AaABAg,0,1 year ago,the girls are both pretty and guaranteed.,女孩既漂亮又保证。
3064,UgwWPwZh2T4K7O8cQb54AaABAg,0,1 year ago,awww the pets are so cute and she is so pretty,宠物太可爱了，她是如此漂亮
3579,Ugy6RIa2KUfT8Gb5xSV4AaABAg,0,1 year ago,pretty,漂亮的
4113,UgyGDYFpvE0ENqSHh9F4AaABAg,0,1 year ago,you are pretty and hard - working,你很漂亮 - 工作
4712,UgwNLOETUNpQRVrJyKl4AaABAg,0,1 year ago,i'm from vietnam. your video is very good. you're pretty too !,我来自越南。您的视频非常好。你也很漂亮！
4713,UgzaRdhaQQqR0Jruwgh4AaABAg,0,1 year ago,i come from vietnam. your video is very good. you're pretty too !,我来自越南。您的视频非常好。你也很漂亮！
5060,UgwubTXHt9XZ3nYJI6R4AaABAg.9PcH2Ov1Gu99QJyJcRMDyr,0,1 year ago,ive been to china and its really pretty idk what you're smokin lol,香港专业教育学院去过中国，它的确很漂亮
5357,UgxCVtwybZgpacaZfJN4AaABAg,0,1 year ago,pretty,漂亮的
5381,UgyfDmht-pexEvxK5zx4AaABAg,0,1 year ago,how her hand is still so pretty after doing all of these hard work!!!,完成所有这些辛勤工作之后，她的手仍然如此漂亮！！！
5631,Ugzh0zAggCk9CqgK6Xl4AaABAg,0,2 years ago,creative and pretty asmr because it is asmr to me.,创造性且漂亮的ASMR，因为这对我来说是ASMR。
5641,UgwSE-jR--E5JM4kIER4AaABAg,0,2 years ago,you are so pretty <3,你真漂亮<3
6498,Ugx16kFLrgEgco14v554AaABAg,0,2 years ago,you are super cool i love your cooking and you are so pretty so intelligent so desi girl,你非常酷，我喜欢你的烹饪，你是如此聪明，所以desi girl
6620,Ugz7kADqvysBADhACA14AaABAg,0,2 years ago,why do the captions say melon seeds? im pretty sure those are sunflower.,为什么标题说瓜子？我很确定那些是向日葵。
6691,UgwFwszKkmph62emXAF4AaABAg,0,2 years ago,ooo pretty women.. ur the most hardworking women i ever seen,哦，漂亮的女人..您见过的最勤奋的女人
6879,Ugyz7Ln2GseHviePIJJ4AaABAg,0,2 years ago,she is so pretty,她真的好漂亮
7328,Ugxbf2_7_rr9S72PRON4AaABAg.9JwzlYQW9wa9Lipo5YNgio,0,2 years ago,what if she wasnt pretty...,如果她不漂亮...
7877,UgwKwbGlXZkJZjdzQ7d4AaABAg,0,2 years ago,you are pretty,你好漂亮
9144,UgwO_ysc6_9pbNNkW5l4AaABAg,0,2 years ago,sister your very pretty ❤️...from india,姐姐你非常漂亮❤️...来自印度
9696,UgyhwOLnLQzRXuvum5l4AaABAg,0,2 years ago,you very pretty,你很漂亮
10001,UgyMlmCBQ5noh4coJL54AaABAg.9GZ7o1Gq1Th9HH4f9a2p7O,0,2 years ago,um...iโ€m pretty sure sheโ€s not going anywhere,嗯...我很确定她不会去任何地方
10148,UgzhewAmsHLQ76wMBhp4AaABAg,0,2 years ago,pretty. yes ...,漂亮的。是的 ...
10940,Ugzt9S4KSqjbO-a-QSt4AaABAg,0,2 years ago,pretty,漂亮的
11010,UgzVXwN2Sk-mZ8X4ecJ4AaABAg.9FA6C_x_tzk9FFDuymxFec,0,2 years ago,"i appreciate that you made the effort to translate this history of liziqi, but please get someone who knows how to write in english to do your translations. it is a pretty terrible translation. thanks!",我感谢您努力翻译Liziqi的历史，但请找一个知道如何用英语写的人来进行翻译。这是一个非常可怕的翻译。谢谢！
11463,UgwsZcwV47xNu8i21dl4AaABAg,0,2 years ago,"hello, i'm new, greetings huh your videos are very pretty",你好，我是新来的，问候你的视频非常漂亮
20126,Ugxzw4CWPulvjkmzer14AaABAg,0,3 years ago,how pretty,多么可爱
21355,UgyMT0oRUzt1BcRJ06t4AaABAg.93iGxVsI80l93t6rdIbm4D,0,3 years ago,pretty cool,很酷
33213,UgxZz1pTb3rcCQJ7AA54AaABAg,0,4 years ago (edited),"she so pretty, and her life is completely amazing, the way she doing anything is just outstanding.. completely fall in love with this girl from india๐’“๐’“",她是如此漂亮，她的生活真是太神奇了，她做任何事情的方式都非常出色。.完全爱上了来自印度的这个女孩
30663,UgxhwQixETgh6WrYFfN4AaABAg,0,3 years ago,she's very handy and works so hard and she's so pretty!!!,她非常方便，努力工作，她真漂亮！！！
28111,UgzAGWtyNQ2ZVWvVk8d4AaABAg,0,3 years ago,"everything was so pretty, until i hit the! puppy! ๐  that was not pretty until that young woman's delicate arrived """,一切都很漂亮，直到我击中！
28734,UgywyxKYJfHRZU6FUat4AaABAg,0,3 years ago,her face is so pretty she looks like celebrity,她的脸太漂亮了，看起来像名人
28967,Ugw7QerMjRfV6y0BDPB4AaABAg,0,3 years ago,she's so pretty and cute,她是如此漂亮可爱
28976,UgzPxo1sVEB__8grXvd4AaABAg,0,3 years ago,pretty,漂亮的
29125,UgxcWBvX8pI80b864B14AaABAg,0,3 years ago,so pretty,好漂亮
29140,UgzwX6-y0JMYAlp-sQR4AaABAg,0,3 years ago,she is so knowledgeable and pretty.,她知识渊博，很漂亮。
29285,UgyAtw5zR6qeOdNsWH94AaABAg,0,3 years ago,3 dogs with sheep followed like that ๐๐ people are both good and pretty,3只养羊的狗跟着那样
29331,UgzRpwnMz8ZazK73zYR4AaABAg,0,3 years ago,why is nobody talking about how pretty she is?,为什么没有人谈论她有多漂亮？
29656,Ugxpy16ZP9NMeR__Xgx4AaABAg,0,3 years ago,her family is so lucky to have her...... even her husband in the future cuz she's so pretty yet so hard-working,她的家人很幸运能拥有她……甚至在以后的丈夫，因为她是如此漂亮又努力工作
29668,Ugyh3dmBVY-xkL8iDNB4AaABAg.8xaMni74UPO8xabBVXY8hk,0,3 years ago,im pretty sure there no ants and flies in winter.,我很确定冬天没有蚂蚁和苍蝇。
29835,Ugxn-xruzXnWQvH0sAF4AaABAg,0,3 years ago,pretty girl i love it ๐ค—๐ค—๐ค—๐๐๐,我喜欢的漂亮女孩
628,UgzghXaL_rgYsHjkq8R4AaABAg,0,5 months ago,u live my dream life ✨✨ it's so comfortable and the best place for relaxing u are so lucky pretty girl ☁️,你过着我梦dream以求的生活。
30422,Ugx-ZV28J8WffzLvPtZ4AaABAg,0,3 years ago,your house is so pretty,你的房子太漂亮了
30680,UgyqZAqN5ABUtAC9pgx4AaABAg,0,3 years ago,tears are so peaceful and pretty.,眼泪是如此和平与美丽。
21526,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA95jdbU6HdzZ,0,3 years ago (edited),@cyan2865 ahhh that sheep is pretty i m from india ppls here also eat sheep .... so in my village we tie a ribbon to mark them so no one steal them ...,@cyan2865啊，绵羊很漂亮，我来自印度ppls，这里也吃羊。...所以在我的村庄里，我们绑着丝带标记它们，所以没有人偷它们...
30686,UgwveN-4PhhRLnCn51Z4AaABAg,0,3 years ago,pretty girl,漂亮的女孩
30768,UgxziWe3uOdATC37DjZ4AaABAg,0,3 years ago,not only is she pretty but even her work is elegant and artistic to look at. โค๐ผ,她不仅很漂亮，而且即使她的作品也很优雅而艺术。 ❤
31261,UgxjSqc6CV8YXeESvfJ4AaABAg,0,3 years ago,"pretty, smart girl , i love her..",漂亮，聪明的女孩，我爱她。
31412,UgwNWf8j4ok0ZFXlnbN4AaABAg,0,4 years ago,i think sheโ€s an angel or something because sheโ€s so kind and hardworking! and she so prettyyyy!!!!,我认为她是天使之类的东西，因为她是如此友善和勤奋！她真漂亮！
31436,Ugw-oRE4tTr-nMH8m3d4AaABAg,0,4 years ago,"the dog and the sheep were so cute that i came in, but the video was so pretty that i just kept seeing it.",狗和绵羊是如此可爱，以至于我进来了，但是视频是如此漂亮，以至于我一直看到它。
31504,UgyBtL48oEX9T6WqxdF4AaABAg,0,4 years ago,the video is so pretty ~~,视频太漂亮了~~
32027,UgxxBPIVKdd9bUgvq7h4AaABAg.8w-lBXuPmHe8wbMcS-TiJC,0,3 years ago,"@alvarezmystogan2720 i'm pretty sure her parents passed, so she is living with her grandmother.",@alvarezmystogan2720我很确定她的父母过去了，所以她和祖母住在一起。
32032,UgxxeH8Siw90ZkOryrV4AaABAg.8w-QnfZHEcm8w2-E-vt7PY,0,4 years ago,"@justicefornicholealloway maybe you're right. they may have a whole team to produce these videos or they may have been doing everything by themselves. we cannot know that. moreover, it is actually doesn't matter if their lifestyle is real or not (which i think is real because i guess she is from china and i kinda know that they are pretty neat people). i think, what viewers care about is the authenticity of the environment and the modesty of the characters like granny and the skillful girl. ultimately it's all about storytelling and the visuals that is why we are here. :)",@JusticeFornicholealLoway也许您是对的。他们可能有一个整个团队来制作这些视频，或者他们可能自己做所有事情。我们不知道。此外，他们的生活方式是否真实并不重要（我认为这是真实的，因为我想她来自中国，我有点知道他们是非常整洁的人）。我认为，观众关心的是环境的真实性和诸如奶奶和熟练女孩之类的角色的谦虚。最终，这就是讲故事和视觉效果，这就是我们在这里的原因。 :)
32080,UgwFWVYa06jGvA2EvP14AaABAg,0,4 years ago,thatโ€s all so pretty and look tasty i wish you were my sister ส•โ€ขฬ€ฯโ€ขฬส”โง,真是太漂亮了，看起来很美味，我希望你是我的姐姐ʕ•̀ω•́ʔ✧
32087,UgyiC1SXKOojkbrgcbN4AaABAg,0,4 years ago,pretty girl is too,漂亮的女孩也是
32398,UgyBskQZn4Dl1oKsaxx4AaABAg,0,4 years ago,so pretty,好漂亮
32413,Ugym8oTtzuZGfcgjWPt4AaABAg,0,4 years ago,"very pretty the life of the field, i want to visit them.",我想拜访这些领域的生活。
32478,Ugz76nZ91VXkArQWm3R4AaABAg,0,4 years ago,"i'm pretty sure that they know what they're doing, and i love it so much",我很确定他们知道他们在做什么，我非常喜欢
28039,Ugzz6GR6JPIT_tJ0BnJ4AaABAg,0,3 years ago,you pretty girl married..:),你漂亮的女孩结婚了.. :)
27754,Ugwm9lXPSevFuFDBtCR4AaABAg,0,3 years ago,"beautiful, pretty lun",美丽，漂亮的lun
27657,UgxHIslSjkPIt1wrLTB4AaABAg,0,3 years ago,she so pretty ๐๐๐,她好漂亮
27578,UgzL46_7OQJc9Okq_3R4AaABAg,0,3 years ago (edited),"you were so cute when you ran off to cover grandma's ears from the explosion (5:55) and to avoid the corn kernels popping, pretty princess!๐

and when they popped, that was like a funny jumping jack that you did!!!๐

9:48 is so sweet. because of that act, you are so lovable here in this video.๐๐๐","当您逃跑以掩盖爆炸（5:55）的耳朵并避免玉米内核弹出时，您真可爱，漂亮的公主！

当他们弹出时，那就像一个有趣的跳跃插孔！

9:48太甜了。由于这种行为，您在此视频中真是太可爱了。"
21661,UgzJxjv81JF-Y0eIFN14AaABAg,0,3 years ago,pretty wife,漂亮的妻子
21719,UgyrFiyuwsznIYiW_kp4AaABAg,0,3 years ago,i really wana see a house/garden tour so bad everything is so pretty โค,我真的想看到房屋/花园之旅，所以一切都太漂亮了❤
22549,UgwYxed1knDEFKaCFCl4AaABAg,0,3 years ago,"i used to see those pretty girls on instagram are really pretty.
then i found this channel, now i know what is pretty actually means.

look at her enjoying her life, back to nature, back to basic.
wow.","我曾经在Instagram上看到那些漂亮的女孩真的很漂亮。
然后我找到了这个频道，现在我知道实际上意味着什么。

看看她享受着自己的生活，回到大自然，回到基础上。
哇。"
22650,UgxZZue68Ma_6dA_NPd4AaABAg,0,3 years ago,pretty .. people and the environment,漂亮..人与环境
23074,UgzMYMnXeYDQoDa9XcB4AaABAg.92ZQ6mjSaNo92mR0qbpskq,0,3 years ago,็ๅง”ไนฆ่ฎฐ่”ก่ฑๆ– i can tell you as a fact western people dosn't know how to eat sunflower seeds and i it's pretty difficult to found in western shops.,我可以告诉你，因为西方人不知道如何吃向日葵种子，我很难在西方商店里找到。
23546,UgwrTvJI7cj9ru8jEZ14AaABAg.92JzZdPSB8g92u_vjm8dRk,0,3 years ago,lol pretty much,大声笑
23729,Ugxtdr_pB2tRjsWJSt94AaABAg,0,3 years ago,"they call sunflower seeds, melon seeds? pretty cool difference.",他们称向日葵种子，瓜子种子？很酷的差异。
23935,Ugw0FmxxASG6VEp-BUx4AaABAg,0,3 years ago,this sister is pretty vc,这个姐姐很漂亮
24106,Ugx1OibTn6JtmPVYGH54AaABAg.91VYLuPSb4A91eYkGjXbK9,0,3 years ago,@alexwhite3961 but not as pretty as hers. american culture does not have that aesthetic.,@Alexwhite3961，但不如她那样漂亮。美国文化没有这种美学。
24199,UgxtITdQecatkazPOEl4AaABAg,0,3 years ago,beautiful it's really very pretty to see thank you,美丽，看到谢谢你真的很漂亮
24251,UgyMe6wtN4_yvWSg_Cd4AaABAg,0,3 years ago,woman you are pretty cooking awesome,女人，你很烹饪很棒
24452,Ugz92fZKmzoH0EZ9XcR4AaABAg,0,3 years ago,hello you are pretty,你好，你很漂亮
24925,UgzaRHzHeFkKzBqg9pR4AaABAg,0,3 years ago,"i am loving your videos girl!!
your so respectful and know how to do all these amazing things. you should model your so very pretty. how may we purchase some of your items if clothing?
thank you๐ป","我爱你的视频女孩！
您如此尊重，知道如何做所有这些令人惊奇的事情。您应该对自己的建模非常漂亮。如果服装，我们如何购买您的一些物品？
谢谢你"
24975,UgzAf7gB4LpTBTXYrpt4AaABAg,0,3 years ago,"pretty
it's pretty
want to have
everyday life, not play
too coveted woman
who is living with these women?
pour out","漂亮的
好漂亮啊
想要有
日常生活，不玩
太垂涎的女人
谁和这些女人一起生活？
倒出来"
25003,UgxLTxvcAbliytAn0pd4AaABAg,0,3 years ago,the camera quality tho... and the girl look so pretty,相机的质量……女孩看起来很漂亮
25059,Ugz2Ke56ZR4BIBQHCjx4AaABAg,0,3 years ago (edited),"she is chinese, chinese channels always ... why does the clip have the word vietsub and vietnamese title, who tells me? i have to admit that she's so pretty! the clip is very beautiful",她是中国人，总是中国的频道...为什么剪辑告诉我，剪辑词越南语和越南标题一词？我必须承认她太漂亮了！剪辑很漂亮
25449,Ugycak1rt_n4sjjmoah4AaABAg,0,3 years ago,"so pretty, the talent for cooking",太漂亮了，烹饪的才华
25721,Ugw4NGF8R2y5VOEvbil4AaABAg,0,3 years ago,"i'm so pretty ... i want to live like that too, ...
by the way, is that fruit tangfuru? it must be so delicious .. ใ… ","我真漂亮...我也想这样生活，...
顺便说一句，那是水果汤富鲁吗？它一定是如此美味。"
25772,Ugy6Zncy30I0Ox_1oRV4AaABAg,0,3 years ago,"both pretty and good, i am from vietnam",漂亮又好，我来自越南
25809,UgxBrhcKQBCCAIhd22R4AaABAg,0,3 years ago,"very nice videos, connected totally with nature.. ๐ถ me rashmi. u r very pretty. ๐ฆธโ€โ€๏ธ๐ฆธโ€โ€๏ธ",非常好的视频，与大自然完全相连。你很漂亮。
25893,UgzjUlaNZT7LSFRPkBB4AaABAg,0,3 years ago,"i have only watched a couple of this lady's videos, she appears to be non stop until well after dark. her skills are amazing seeing her plow the field grow the corn, collect and carry the sheaves then treat the kernels also the same with the peaches before cooking some lovely looking dishes was so fantastic to watch and she is such a small petite pretty lady i just don't know where she gets her energy from.",我只看了这位女士的几个视频，直到天黑后直到井井有条。她的技能令人惊讶地看到她的耕地种植玉米，收集和携带带束带，然后在桃子烹饪一些可爱的菜肴之前，也可以用桃子对待玉米，这真是太棒了，她真是个小小的漂亮女士，我只是不知道她从哪里获得精力。
26028,UgxX2zGf9aOvY-Y1IY94AaABAg,0,3 years ago,"who is this super girl? so pretty, so talented, surrounded by the bounty of nature, self-sufficient and strong girl creating exquisite dishes and stuff all by herself without much effort.",这个超级女孩是谁？如此漂亮，如此才华，周围是自然的赏金，自给自足的女孩，她自己创造精美的菜肴和东西，而无需付出太大的努力。
26604,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9JNIvCASkJx,0,2 years ago,so she fixed your five year depression? iโ€m no scientist but iโ€m pretty thatโ€s not mentally possible,所以她修复了您的五年抑郁症？我不是科学家，但我很漂亮在心理上不可能
27009,UgytoADga1YV3fmneu94AaABAg,0,3 years ago,"for a woman who did so much of tough works, her fingers are surprisingly soft and pretty. 
i am not saying the video itโ€s total fake, but it is definitely scripted, very well written each steps, and the camera shooting were above professional, i am not surprised if thereโ€s a professional team behind this video, and a much older experienced person to teach her how to do. and she probably had some experiences of her own and she learnt quick, she was pretty skillful in the video you can see. but the quality of the filming, the flow make it hard to believe that thereโ€s no golden production team behind its making","对于一个做很多艰苦工作的女人来说，她的手指令人惊讶地柔软而漂亮。
我并不是说视频是完全假的，但是它肯定是脚本的，每个步骤都写得很好，而且相机拍摄均高于专业，如果此视频背后有专业团队，我并不感到惊讶，还有一个老年经验丰富的人来教她怎么做。她可能有自己的经历，她学得很快，她在您可以看到的视频中非常熟练。但是拍摄的质量，流程使很难相信其制作背后没有黄金制作团队"
27115,UgycAjKgj1Y8Mvi5Z9Z4AaABAg,0,3 years ago,pretty and intersected more cooks,漂亮且相交的厨师
27128,UgwuppA5Gyf7pzmCDRx4AaABAg,0,3 years ago,so pretty omg๐,太漂亮了
27316,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB93-p5cARZbV,0,3 years ago,@jeieldavid6347 in china..50% youngers use vpn.. ๐’ฏ% chinese use wifi..so even though in deep mountains..our signals are still pretty good..,@jeieldavid6347在中国..50％的年轻人使用VPN ..
30255,Ugy4vle6k4dlGxQr0kl4AaABAg,0,3 years ago,"pretty, too, look craving :))",漂亮，看起来渴望:)）
