,cid,votes,含china,含china中文翻译
25302,UgxmuWjL323GZmHeTDd4AaABAg,0,only people in the southwestern region of china like to eat this food. i wonder what reactions are there for foreigners?,这道美食只有中国西南地区的人喜欢吃，不知道外国人看了有什么反应？
24965,Ugxa0HabcXufMNEqVWZ4AaABAg,0,"china! i won't get this kind of woman, i can't get it all my life.",China!不是我吹 这种女人我一辈子都得不到.
25715,UgyMPEWWfXiRIkx7EDF4AaABAg,0,"if not for the chinese government, china would be a wonderful place to see.",如果不是对于中国政府，中国将是一个很棒的地方。
24906,Ugwbi0FO8xb_TfGbF9p4AaABAg,0,is this china? really?,这是中国吗？真的吗？
25360,UgxRwOVBiiGbnliFodF4AaABAg,0,where? china? taiwan? hong kong?,在哪里？中国？台湾？香港？
24876,UgzVbGUEUfuK0r6M1_x4AaABAg,0,"showwwwww
brazil x china
-","Showwwwww
巴西x中国
-"
25370,Ugwjbp2pHbG70j9bXh94AaABAg,0,"i'm from vietnam 
i love you china","我来自越南
我爱你中国"
25409,Ugz9Q_J3HaGXBIOyRhR4AaABAg,0,china is so cute.,中国是如此可爱。
25714,Ugw_A0LlYO1qO4d6sph4AaABAg,0,she's no.1 village life blogger in china.,她是中国的第一乡村生活博客。
4294,UgyeVS_RTs7Cw5jb8eR4AaABAg,0,"i like her videos and i am from china, okah,i am a chinese boy and i am 24 years old ,i want to make friends with foreigners.
as you can see , many chinese persons are so friendly and welcome to china.
actually i still study english and i like this language very much. and i want to make some foreigner friends , if you don't mind my bad english
welcome to contact to me .","我喜欢她的视频，我来自中国，俄亥俄州，我是一个中国男孩，我今年24岁，我想和外国人交朋友。
如您所见，许多中国人是如此友好，欢迎来到中国。
实际上，我仍然学习英语，我非常喜欢这种语言。如果您不介意我的英语不好，我想结交一些外国人朋友。您可以回复我，我的电子邮件地址是2890185952@qq.com
欢迎与我联系。"
25526,UgyA2SezE8R-x7TjK594AaABAg,0,china is a paradise and everything is cheap,中国是一个天堂，一切都便宜
25671,UgwHvb-t8e5Sk4Bz4Kx4AaABAg,0,i think she’s from western china cause i’m from the east and it sure ain’t very jungle-y in the east,我认为她来自中国西部，因为我来自东方，这肯定在东方的丛林不是很
25547,Ugxiw1Oq4OGDh1jp38h4AaABAg,0,i would die in china from hunger,我会因饥饿而死
4333,UgyjJQ-aGzxD_MjIyB14AaABAg,0,china has nearly a billion internet users,中国拥有近十亿个互联网用户
25571,UgwwSSXzpmaDu9wR1wd4AaABAg.8z0Trh8_JHd8z0UuWbvUQc,0,china. sichuan.,China. Sichuan.
25632,UgzoZtewxWHFusHEi4R4AaABAg,0,it seems that china banned youtuber so how do these friends subscribe to the channel and post it,似乎中国禁止YouTuber，所以这些朋友如何订阅频道并发布
25074,Ugyzh27Kf8rzN_xkXh94AaABAg,0,in my culture and this china culture same thing,在我的文化和这种中国文化相同的事物中
4351,UgxhlqM47NGlMpPnVP14AaABAg.9JvigHcW3ZN9LlmIyUOjjR,0,"this is the ability to have the southern north korean people. when can i not pay the protection fee and drive the us military away and compare with the sovereign china, the colonies shut their mouths",你们南朝鲜人也就剩这点本事了，啥时候能不交保护费把美军赶走再跟有主权的中国比吧，殖民地闭嘴
25028,UgwlFZtp_xNC8s4_7iB4AaABAg,0,"i wonder, which part of china is this?",我想知道，这是中国的哪一部分？
13383,UgzPwWBOamIkAIJaPDV4AaABAg.95dHgvWtRTZ95h-svxaOTk,0,china sichuan,China SiChuan
25831,UgzWk4Ur1G52eFrllep4AaABAg.8yy5Sjd-7BZ8z-MQ0JE7XO,0,she is very popular in china.,她在中国很受欢迎。
27141,Ugz_nNCVDPshgq3UGa94AaABAg,0,that's china:) really peaceful.,那是中国:)真的很和平。
3763,Ugyx5DsNSKdHtOTiM6h4AaABAg.9MTpz3tOP9W9NwcutFf58H,0,"it does not count the lives of ordinary people in china, but this is her life, but the better part of the editing is presented for everyone to watch. she also said that rural life is more difficult than in the video. the actor is a bit over.",的确不算中国农村普通人的生活，但这是她的生活，只是剪辑出比较好的部分呈现出来给大家观看罢了，她自己也说过，农村生活比视频里的要难多了，说人家是演员就有点过了。
3746,UgwkU9P3QjiThA7zbCp4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
27033,UgwGlXbdzgnihHJfG094AaABAg.8yixt2ZyQb28ypgK0yyjZx,0,"tell me please. when you say ""there,"" do you mean to say there is a region in china this pretty, so clean, very natural, lacking congested roads and filled with fresh air? i don't see her using plastics or wearing disposable clothing. her skin is white and clear. her world is too nice. not even martha stewart could present like this and ms. 
stewart had a team of helpers off camera. tell me this is very real. i would love to go to china and live like that. i don't care about religion and could give up discussing politics for that lifestyle. of course, it would take me a few years to learn the basics of chinese language.","请告诉我。当您说“那里”时，您是说中国有一个美丽，如此干净，非常自然的，缺乏拥挤的道路并且充满新鲜空气的地区？我看不到她使用塑料或穿着一次性服装。她的皮肤是白色的。她的世界太好了。甚至玛莎·斯图尔特（Martha Stewart）也无法像这样呈现。
斯图尔特（Stewart）有一个助手团队。告诉我这是非常真实的。我很想去中国生活。我不在乎宗教，可以放弃讨论这种生活方式的政治。当然，我花了几年的时间才能学习中文的基础知识。"
3745,Ugwup4r99Vy0TTcqoBp4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
27062,Ugz0sNvRQgEkcJZa4NZ4AaABAg,0,how does she film from so many angles??? and how does she get her videos uploaded on yt if she's in china???,她如何从这么多角度拍摄？？？如果她在中国，她如何将视频上传到YT上？？？
27064,Ugx1OXHaLF6Gp5NMJ8J4AaABAg,0,"isn't china the country where youtube was blocked by xi jinping? if you use youtube in china, you'll be punished right away. it doesn't seem like an individual using youtube, it's produced by the communist party of china.",YouTube被XI Jinping阻止的国家不是中国吗？如果您在中国使用YouTube，您将立即受到惩罚。它似乎不是一个使用YouTube的人，它是由中国共产党制作的。
3733,Ugwlapd11JgrLpIsl6Z4AaABAg,0,"endccp.com
falundafa.org
we solemnly declare that all those who have participated in other organizations of the communist party and the communist party (the mark of the beast) of the communist party and the communist party, quickly exit and erase the evil mark. once who liquidates this magic religion, the record stored in the epoch times can testify the statement of withdrawn from other organizations from the communist party and the communist party. skynet is restored, and good and evil are distinguished; those who have been deceived by the most evil magic religion in history, those who have been beaten by evil beasts, please seize this fleeting opportunity! method 1: by the upper right corner of the epoch times website, the retiring party and retirement team. method 2: write the name of voluntarily withdraw from the communist party of china and post it in a legal area. please also tell you some friends in mainland china for use: short -wave radios can hear the 24 -hour chinese broadcast of hope in the 6-8mhz frequency band.
9199999777777766660","EndCCP.com
Falundafa.org
我们郑重声明：所有参加过共产党与共产党其它组织的 (被邪恶打上兽的印记的)人，赶快退出，抹去邪恶的印记。一旦谁对这个魔教清算时，大纪元储存的记录可以为声明退出共产党和共产党其它组织的人作证。天网恢恢，善恶分明；苦海有边，生死一念。曾被历史上最邪恶的魔教所欺骗的人，曾被邪恶打上兽的印记的人，请抓住这稍纵即逝的良机！方法一：到大纪元网站右上角的退党区退党团队。方法二：用化名写上自愿退出中共党团队组织并张贴在合法区域。也请告诉您在中国大陆的一些朋友用：短波收音机在6～8MHz这个频段就可以收听到希望之声24小时的华语广播。
9199999777777766660"
27085,UgzD-nw4k_w5vwYx0wR4AaABAg.8yieSOMb9DX8yonokZFUC4,0,"handi camper this is a boof cuisine in the southern region of china that was introduced on the channel of japanese gluttony star kinoshita. if you have a chance, please try it. it's very popular in the last two or three years.",Handi Camper这是中国南部地区的BOOF美食，它是在日本的暴食之星Kinoshita海峡引入的。如果您有机会，请尝试。在过去的两三年中，它非常受欢迎。
27144,UgzRzJ5a49orlhEdIz14AaABAg,0,"i am egyptian, living in egypt's largest city and the best place, but i think there is no comfort and good life, just like rural life, i think it can make a lot of money, because youtube can move from rural to the largest place in china, but the people living in these places are more pure and purified one of the most beautiful channels of so many best shots

wǒ shì āijí rén, shēnghuó zài āijí zuìdà de chéngshì hé zuì hǎo dìfāng, dàn wǒ rènwéi méiyǒu shūshì hé měihǎo de shēnghu, jiù xiàng nóngcūn de shēnghuó yīyàng, wǒ rènwéi tā kěyǐ zhuàn qǔnduō qián, yīnwèi youtube kěyǐ cóng nóngcūn bān dào zhōngguó zuìdà dì dìfāng, dàn shēnghuó zài zhèxiē dìfāng de rén gèngjiā ch centralized ngdào zhī yī","我是埃及人，生活在埃及最大的城市和最好的地方，但我认为没有舒适和美好的生活，就像农村的生活一样，我认为它可以赚取很多钱，因为YouTube可以从农村搬到中国最大的地方，但生活在这些地方的人更加纯净和净化了这么多最佳镜头之一最美的通道之一

Wǒ shì āijí rén, shēnghuó zài āijí zuìdà de chéngshì hé zuì hǎo dì dìfāng, dàn wǒ rènwéi méiyǒu shūshì hé měihǎo de shēnghuó, jiù xiàng nóngcūn de shēnghuó yīyàng, wǒ rènwéi tā kěyǐ zhuàn qǔ hěnduō qián, yīnwèi YouTube kěyǐ cóng nóngcūn bān dào zhōngguó zuìdà dì dìfāng, dàn shēnghuó zài zhèxiē dìfāng de rén gèngjiā chúnjìng hé jìnghuàle zhème duō zuì jiā jìngtóu zhī yī zuìměi de tōngdào zhī yī"
26910,UgxiBAQJqvgAo8ZYFgV4AaABAg,0,"when i see your video,i love china more than before!",当我看到您的视频时，我比以前更爱中国！
27152,UgxGnOJ62HVJLy4hvf14AaABAg,0,"i am an arab from iraq, and i love a videos that you wish to come to china, and i hope that i know that i know that you are understanding of it, but i wanted to give my opinion",我是来自伊拉克的阿拉伯人，我喜欢您想来中国的视频，我希望我知道我知道您对此有所了解，但我想发表意见
3692,Ugw1ZflOso2IwRtveWd4AaABAg.9MnI6YFtcBU9e3LwFOpnMQ,0,"@salvatorenostrade3331 in a medium-sized country like vietnam, one can also own as much land in the high mountain area. i'm vietnamese and i also often go to china, a neighboring country so i can be sure that this is her property.",@salvatorenostrade3331在像越南这样的中型国家，也可以在高山地区拥有尽可能多的土地。我是越南人，我也经常去中国，一个邻国，所以我可以确定这是她的财产。
27206,UgxJim-i-0AX02NZwT94AaABAg,0,you are the pride of china,你是中国的骄傲
27210,Ugz24c5rEfwsPTqm8d54AaABAg,0,i am from vietnam .. near china!,我来自越南..在中国附近！
3691,Ugw1ZflOso2IwRtveWd4AaABAg.9MnI6YFtcBU9TpsIYB9vNs,0,"@bikksh2650 exactly, china and india have very similar country-side mountainous regions, my guess is that she has a large plot of land but her neighbors and friends / family let her use their ponds and stuff or perhaps they're communal. a lot of the rivers and ponds are communal in china much like the us. as for rice fields it's most likely owned by her family or a friend.",@bikksh2650正是中国和印度的国家山区山区非常相似，我的猜测是她拥有大量的土地，但是她的邻居和朋友 /家人让她使用他们的池塘和东西，或者它们也许是公共的。与美国一样，许多河流和池塘都是公共的。至于稻田，最有可能由她的家人或朋友拥有。
27273,UgzxKOFW0Se8XZv9-XV4AaABAg,0,"oh my gosh, i'm india we have the same food culture maybe we are brother and sister a very long time ago. but now we had landed here far from china.",哦，天哪，我是印度，我们有相同的饮食文化，也许我们很久以前是兄弟姐妹。但是现在我们已经降落在远离中国的地方。
3460,Ugwgg31URBKsCZu8dRd4AaABAg,0,china is so beautiful lol,中国是如此美丽大声笑
27334,UgxdPxLZDRAvemvMo4Z4AaABAg,0,where is this place in china? it is so beautiful,这个地方在中国在哪里？它是如此美丽
3794,UgwdpO0Hb1Gbcxlqbud4AaABAg,0,"hello, i am a food distributor from china, mainly engaged in liziqi snail powder and three squirrel products. if you are interested, you can contact me. my micro signal is 15870570776",您好，我是来自中国的食品分销商，主要从事Liziqi蜗牛粉和三种松鼠产品。如果您有兴趣，可以与我联系。我的微信号是15870570776
26901,UgwYl33-ESSwkl642uB4AaABAg.8yk7Q9L5sk98yl2bQ-TGtN,0,"q w immigration? intersection intersection where is the immigration? intersection intersection there are beautiful scenery every day, shooting the united states every day? intersection china is safe and beautiful. my sister is happy and happy, so you won't worry about it! intersection you still worry about yourself, in case you can really feel the liberty, the landscape of the shooting! intersection intersection",Q W 移民？？？移民去哪？？？每天都有美景线，枪击每一天的美国？？中国安全又美丽，姐姐生活幸福又开心，就不劳您操心了！！您还是担心自己吧，万一哪天真能感受自由美利坚，枪击的风景线呢！！！
25875,Ugy6jBzeF2W5U0OobSl4AaABAg.8yxj-8Ax96X8z1h-4a21l5,0,"henry chinaski not really. yes, we get some of the what (but not all) but not the how, the why, or the how long.",亨利·坎斯基不是真的。是的，我们得到了一些（但不是全部），而不是如何，为什么或多长时间。
26491,UgwZhpyQMp-WZhU04DZ4AaABAg,0,i love liziqi princess of china from the philippine,我爱菲律宾的中国利兹奇公主
25876,Ugy6jBzeF2W5U0OobSl4AaABAg.8yxj-8Ax96X8z1h9gM0dgr,0,"henry chinaski maybe she should do a cookbook, have it translated into english, whereby we can follow along and understand what's going on.",亨利·坎斯基（Henry Chinaski）也许她应该做一本食谱，将其翻译成英文，我们可以跟随并了解发生了什么。
26032,UgyVMuvDUCvzeUjjMMt4AaABAg,0,"i'm confused, is this from china or vietman? it looks like vietnam country.. all her videos are amazing and great... i love the way she lives, it's a very simple living, lot of food from her own farm, harvesting every time she needs food to eat, and she is a very good cook, and creative on how she makes her menu deliciously. the foods she cooked very healthy.",我很困惑，这是来自中国还是越野？看起来像越南国家。.她所有的视频都很棒，很棒...我爱她的生活方式，这是一个非常简单的生活，她自己的农场里有很多食物，每次她需要食物都需要吃东西，她是一个非常好的厨师，并且在她如何使菜单变得美味的情况下创意。她烹制的食物非常健康。
26134,Ugz14refm7y9WBTID2t4AaABAg,0,so peaceful.. i like such simple ordinary scenes in china,如此和平..我喜欢中国如此简单的普通场景
26296,UgxQ3MNTPR5AKYkqHjJ4AaABAg,0,"from someone who has nothing to do w nature , or china and listens to rap. i like this",来自一个无能为力的人，或中国，听说说唱。我喜欢这个
26369,UgwD-6XzRMUMvjtY5h14AaABAg,0,"video beauty is really pretty, but what is the province of china? yunnan?",视频美景真的很漂亮，但是中国省是什么？云南？
24726,UgzL4G2gt_OCgASpFmt4AaABAg.8zFT7S6_qIB8zLQ9wnwdW_,0,china,中国
3984,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19Q9XfStKNTD,0,"@roh-moo-hyeon bruh wth just because someone or something started the virus doesn't mean every single soul that lives in china is bad. i'm half chinese, and i have no shame in what happened in 2020 because i know i've got nothing to do with it. your sick dude.",@roh-moo-hyeon bruh wth仅仅是因为某人或某事开始病毒并不意味着每个生活在中国的灵魂都是不好的。我是中国人的一半，在2020年发生的事情中我没有羞耻，因为我知道我与它无关。你生病的家伙。
26475,UgwqjLmSnl5wLfwq5wt4AaABAg,0,china use youtube ????,中国使用YouTube ？？？？
26658,UgwN7930HaQt886FIop4AaABAg,0,how you use youtube while is banned in china?,在中国被禁止时，您如何使用YouTube？
3852,Ugw3qaJivThbrJO9edt4AaABAg,0,"why, buying the same products in china is much more expensive than foreign countries?
the biggest reason is here. please take a look. compared with the chinese government ruled by the communist party, how much tax rate does it receive?
take a look at the following links, click [list], there is the national flag, and see the mahoga communist party's zhao family. the [corporate income tax] ""only"" ""only"" you can collect 68%tax.
it is right, that is, the goods you bought, before you see it, the communist party has already harvested you 68%of the cost. after seeing the product, plus about 13%of consumption tax. the personal income made by the chives hard, and they simply gave them the zhao family of the communist party. really, to call the communist party's zhao family's first place in the world. the item of ""corporate income tax"" of lights in big countries really has no country.
no wonder in the pseudo -mawei communist party ruled the western korean wall, chinese prices can be seen everywhere [super british catching the united states]. leeks are cut and cut at any time.

https://zh.m.wikipedia.org/wiki/%e4%b8%96%e7%95%9c%e5%9c%b0%e7%a8%8e7%8e%87

(welcome to transfer and share)","为什么,在中国买相同商品，都比国外买贵上许多？
最大原因在此。请看一下，对比了解一下共产党统治的中国政府，收企业的税，到底收了多少税率？
看一下以下连结，点一下【列表】，有国旗那一项，看看马劣共产党赵家人是收割西朝鲜墙国内所有公司的【企业所得税】""只""收你68%税金。
没看错，也就是你买的商品，还没看到之前，共产党已经先把你收割了百分之68%的费用。见到商品后，再加上13%左右的消费税。韭菜们辛苦挣来的个人所得，干脆全都给它们那帮共产党赵家人好了。真的，要叫共产党赵家人割韭菜世界第一名。光对比各国”企业所得税”那一项，还真无别国出其右。
难怪在伪大的马劣共产党统治西朝鲜墙国内，中国物价随处可见【超英赶美】，韭菜随时被一割再割，随时随地可割可弃。

https://zh.m.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E5%90%84%E5%9C%B0%E7%A8%8E%E7%8E%87 

（欢迎转传分享）"
3969,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19MxV6HhtHFv,0,"@negan6889 corona virus from china.
that's why i hate chn","@negan6889来自中国的电晕病毒。
这就是为什么我讨厌chn"
26690,UgxtHBgpI_cOqCjmupB4AaABAg.8ymHiXtZBZi8ysJmhAI_XC,0,pilgrimspen welcome to china,朝圣者欢迎来到中国
26828,Ugzvbm0e1Ojbfnwzq1p4AaABAg.8yl3JP4LZsc8yr4Wl0LSFd,0,sonia rawat china,索尼亚·拉瓦特中国
3961,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LrlN9d9eMl,0,"@coconutboy8198 agree, so this guy has the same/similar surename as d.k yoo, 柳
still a well-frog-nation next to china. taiwan & korea (and many other place) were traped by well that created by cla.","@coconutboy8198同意，所以这个家伙与d.k yoo具有相同/相似的Surename，柳
仍然是中国旁边的杂乱无章的国家。台湾和韩国（以及许多其他地方）是由CLA创造的Well Truct。"
3957,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9Lq6p1bHdnt,0,"@coconutboy8198 people with chinese name but anti-china are schizophrenia, they were usually come from the well-frog-island of china, or member of fxxklungong.",@coconutboy8198具有中文但反中国的人是精神分裂症，他们通常来自中国的福罗岛或fxxklungong的成员。
3955,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LpqzXA-0zS,0,"lmao, you have a chinese name and talking shit without even knowing anything. korea wasn't a thing until 2,000 years later china came along, japan, korea, singapore, malaysia, and many other countries are influenced by china. don't ditch your own country",lmao，您有一个中文的名字，甚至不知道任何东西。直到200，000年后，中国，日本，韩国，新加坡，马来西亚和许多其他国家都受到中国的影响，韩国并不是一件事情。不要抛弃你自己的国家
3873,Ugw3qaJivThbrJO9edt4AaABAg.9M-TjLsQbrR9PkHtWnXhVn,0,"i don't understand ... why do i buy any foreign imported goods in various foreign countries in mainland china is similar to foreign countries?
on the contrary, buying foreign goods in taiwan is obviously much more expensive than the original imported country!?. the same foreign products in both sides of the strait. the conversion is obviously more expensive than the mainland?","不解....为何我在中国大陆各省买任何外国进口商品价格都跟国外差不多?
反倒是在台湾买外国商品都明显的比原进口国贵很多!?.两岸都有进的同款外国商品.换算下来都明显的比大陆贵很多%?"
3860,UgyiVeuHNv_m_zYCmPp4AaABAg,0,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA

习近平和毛泽东在后市进行性交的破裂,肛门是不是
(It means xi jin ping and mao ze dong are sax together HAHA)"
26403,Ugz8N1mYfuoEeCCOfdJ4AaABAg,0,"there are many other different food styles in china. actually, li ziqi showed us most foods are spicy. i don't think that is suitable for some of the watchers. and most people think china is full of pollution because most media show on the screen about china always very ugly. so, if u have interest in china, just have a journey in china if u have free time. i think the journey will be an incredible memory in u life.",中国还有许多其他不同的食物风格。实际上，李齐（Li Ziqi）向我们展示了大多数食物都辣。我认为这不适合某些观察者。而且大多数人认为中国充满了污染，因为大多数媒体在屏幕上展示了有关中国的关于中国总是很丑陋的。因此，如果您对中国有兴趣，那么如果您有空闲时间，就可以在中国旅行。我认为旅程将是U生活中令人难以置信的回忆。
24104,Ugxo_oxaWCvcDQ2UM5B4AaABAg.8zUvI546PxY8zV5rKA9alS,0,@kmpoon2550 of course not.and thanks for praising china sometimes.,@kmpoon2550当然不是。有时感谢您赞美中国。
4513,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9PPIp1jQsVF,0,"@roh-moo-hyeon funny to see someone hating china with a full heart, but sorry to say, it means nothing to us and nobody cares hah",@roh-moo-hyeon很有趣，看到一个人全心全意地讨厌中国，但很遗憾地说，这对我们来说没什么意义，没有人在乎哈哈
4790,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9OEN2SerbuG,0,"if you don't know the history of korea and china, you shouldn't deal with it with humor. china attacked korea for nearly 5,000 years and attempted to take away korea's everything. however, korea has protected korea's land and culture for 5,000 years. south koreans have never claimed that the obvious chinese culture is ours. however, china is constantly insisting that the obvious korean culture is its own. china is simply trying to take ours easily, ignoring all the evidence in history.",如果您不知道韩国和中国的历史，那么您就不应该以幽默来处理它。中国袭击了韩国近5，000年，并试图带走韩国的一切。但是，韩国保护了韩国的土地和文化已有5，000年了。韩国人从来没有声称明显的中国文化是我们的文化。但是，中国一直坚持认为明显的韩国文化是它的。中国只是试图轻松地占领我们的，而忽略了历史上的所有证据。
22054,UgwgZQRxYYkF9EVxsyV4AaABAg,0,"the place where ziyi is located is her hometown. in sichuan, china, friends from all over the world are welcome to travel.",子柒所在的地方是她的家乡，在中国四川，欢迎世界各地的朋友来旅行。
22132,UgztJH4jRlUMubie-xx4AaABAg,0,now i want to travel to china and live in the countryside and make everything from scratch like you,现在我想去中国住在乡村，像你一样从头开始做一切
22138,UgzY6KWahdHPjgIbq4l4AaABAg.9-C5DqLUm5G9-D1kJymJ61,0,"most of the dishes are sichuan cuisine，the noodle in this video is a guangxi cuisine，sichuan and guangxi are provinces located in the southwest of china, and near guangdong province (where cantonese live)",大多数菜肴都是四川美食，该视频中的面条是广西美食，四川和广西是中国西南部和广东省附近（Cantonese Live）的省份
4795,UgxJ4wcWZYuPgYx9arJ4AaABAg.9IbKXAhWyW39IhLJ0PC8FZ,0,"@excel3543 hahaha (laughs) kami -san, china.",@excel3543 haha​​ha（笑）卡米 - 桑，中国。
22262,UgysTyDyaKt7NfosbqJ4AaABAg.9-8cRPhyfy79-Yyg894WDH,0,"she has her own food store and sells it online in china, but she rarely publicizes it. but her food is really delicious and popular. most of the time she just shares her daily life.",她拥有自己的食品商店，并在中国在线出售，但很少宣传它。但是她的食物真的很美味，而且很受欢迎。大多数时候，她只是分享自己的日常生活。
22374,UgyIV71_5V30VaBKPih4AaABAg,0,what can women really do that in ancient china?,中国古时候的女人真的都这样能干吗?
22379,Ugxb6r28-LYJmqRToWt4AaABAg,0,china,中国
22389,UgyTcBVWflqtC_TqdMt4AaABAg,0,"oh, will it make foreigners think that china is so primitive!",哦这样子会不会让老外觉得中国还这么原始啊！
4736,UgzlHXehtLugKsLQQpt4AaABAg.9IoiOIbHYA39JhK5KfmKyB,0,this universe made in s korea，china only made s korea,这个宇宙是韩国，中国只制造了韩国
24591,UgwXDKwVeUaER3laa2V4AaABAg,0,"honestly, as a chinese girl, i didn't even know what bamboo looked like in its original form. kudos to her and everyone who lives in a village back in china/asia. my mom tells me stories of village life before she came to the us and i didn't really understand it until watching these videos!",老实说，作为一个中国女孩，我什至不知道竹子的原始形式是什么样的。对她和住在中国/亚洲一个村庄的每个人都表示敬意。我妈妈在来美国之前告诉我乡村生活的故事，直到观看这些视频，我才真正理解它！
4726,UgwjJMJF4X27Sartz-94AaABAg,0,hey china~~ dont steal other countries’ culture... plz... korean soft power is much stronger than any other country in asia... and most western countries know that these days..,嘿，中国~~不要窃取其他国家的文化... plz ...韩国软实力比亚洲的任何其他国家都强得多……而且大多数西方国家都知道这几天。
22434,UgyTcBVWflqtC_TqdMt4AaABAg.9-3_fUUqou09-5pdaWPNtI,0,@lili-mx9kq is not the same. foreigners have not learned much about china. it has also gradually increased its national strength in recent years. it is said that many of their media only report negative news!,@lili-mx9kq 那不一样，老外本来就对中国了解不多，对外宣传也是近几年国力强了才渐渐多起来，据说他们媒体很多只是报负面新闻！
22436,UgwDqOw4DZ-Byic24G14AaABAg,0,my favorite place is china,我最喜欢的地方是中国
22473,Ugy6xGs_at7jjeyL7Q94AaABAg,0,why are the americans say that those who step on the video must be a city girl in china? is it obviously those net reds that rely on their faces? this can also be convinced by the black china ...,咋还有美国人说那些踩视频的人肯定是中国的城市女孩呢？ 明明是那些靠脸的网红好不好？这都能顺便黑中国一把我也是服了……
22526,Ugzj6tNRVjFU9zeDcrV4AaABAg,0,"sach batao yar ye kya bana rahi meko toh kuch nahi samajh aya
ghas phoos kuch bhi kha lete ye log
sabji ka paisa bachane ke liye tabhi toh china trakki per hai
kuch seekho indian bhaiya","sach batao ye ye kya bana rahi meko toh kuch nahi samajh aya
ghas phoos kuch bhi kha lete ye log
sabji ka paisa bachane ke le liye tabhi toh中国trakki per hai
kuch seekho印度bhaiya"
22595,UgyQ0N9LJx9fk_naMMx4AaABAg.8zzc_B99sX49--By9ue9Mn,0,china and vietnam friendship depend on lord qi,中越友谊靠柒爷
22599,UgwiBl7obqhqCc8eefR4AaABAg,0,this is the most simple aspect of china's rural areas. it is like this every day.,这是中国农村地区最简单的方面。每天都这样。
22642,UgyMkZCL-S-W2-HHXx14AaABAg,0,"although it is good to watch her video to relieve stress and relax, but this is not reality in china. there are 61 millions children in china currently living with their grandparent in the countryside while theirs parent works in big cities. that's why it is such a big rush at new year since for many, that is the only time they are able to reunited with their families and children.


for many chinese children, this is why their relationship with theirs grandparent are much greater than their parent.","尽管最好观看她的视频来缓解压力和放松，但这在中国不是现实。中国有6100万儿童目前与祖父母一起住在乡村，而他们的父母在大城市工作。这就是为什么在新年以来，这是许多人，这是许多人，这是他们唯一能够与家人和孩子团聚的唯一一次。


对于许多中国孩子来说，这就是为什么他们与祖父母的关系比父母大得多的原因。"
22000,Ugx1S3F_HcEVF0Xfeox4AaABAg.9-JqhM84H-m90RzBE5lkJl,0,hah，actually her income could reach millions of dollars a year in china,哈哈，实际上她的收入每年可能达到中国数百万美元
21987,UgxzY1tOjeJ68fXafbl4AaABAg,0,you're from china???,你来自中国？？？
21984,UgxEB2KePnN9dUBsMlR4AaABAg,0,"most vietnamese people don't hate china. vietnamese people only hate the chinese government. the chinese government is like a devil, so we hate it.",大多数越南人不讨厌中国，越南人只讨厌中国政府，中国政府就像魔鬼，所以我们讨厌它。
4817,UgziDyj0ln09IzW5wux4AaABAg.9I_78G5c4D_9Ih8aCrNrjy,0,"sichuan province, southwest china.

not sure what town/county or city in sichuan ziqi is.","中国西南部四川省。

不确定四川Ziqi的城镇/县或城市是什么。"
5329,Ugx5Wq-go-vkut4rQMZ4AaABAg.9GnKLfdroLl9Lch1MdWURl,0,where do you take a class in china?,请问你在中国还是哪里上课？
21372,UgyKwpsxPkiQEvrsMMt4AaABAg,0,china does not use youtube,中国不使用YouTube
21391,Ugw88PNok8j_br-PyPN4AaABAg,0,"some things go too fast in her videos. wouldn't it be great if the rest of china could be like this, if their leaders weren't working for the banking families, and letting the environment in the country get destroyed for manufacturing useless products of commerce? how many cheap clothes or goods made in china get thrown away? because they are low quality and don't work but few times?",她的视频中有些事情太快了。如果中国其他地区的领导人不为银行家庭工作，让该国的环境被破坏以制造无用的商业产品，那不是很棒吗？中国制造的多少便宜的衣服或商品被扔掉了？因为它们质量低，不工作几次？
5169,UgzsVxKd9bWGYEnddQ14AaABAg.9HMnRyp2H9c9HSBONyYE4u,0,she lives in sichuan province of china.,她住在中国四川省。
21472,Ugy9U0SQ8WONEZW3a1t4AaABAg,0,china or japan?? guyss,中国或日本？伙计们
