,cid,votes,time,含china,含china中文翻译
48126,UgyRhKSY9TDyHnJNhqZ4AaABAg,0,4 years ago,that is traditional food form china,那是中国的传统食物
48354,UgwG-kdF-dnBwh3ECOV4AaABAg.8qn6BhAapWX8qoloYuQ3zV,0,4 years ago,"don't worry about puppies. in rural china, dogs play guards rather than pets. so the chinese should not let them eat too much, lying on the ground and getting fat. instead, the state of fullness at seven o'clock can improve the dog's dependence and loyalty to humans. in cities, more and more pet cats stop catching mice because humans feed them too much. it only accelerates their instincts.",不要担心小狗。在中国农村，狗扮演守卫而不是宠物的角色。所以中国人不要让他们吃得太多，躺在地上变胖。相反，七点饱腹感的状态可以改善狗对人类的依赖和忠诚。在城市中，越来越多的宠物猫停止捕捉老鼠，因为人类过多喂养它们。它只会加速他们本能的退化。
48355,UgwG-kdF-dnBwh3ECOV4AaABAg.8qn6BhAapWX8qooDQQZ1tQ,0,4 years ago,very good. you are a kind girl. wish you a happy new year. love from china,很好。你是一个善良的女孩。祝你新年快乐。来自中国的爱
48361,UgwG-kdF-dnBwh3ECOV4AaABAg.8qn6BhAapWX8r4hMz8ah_t,0,4 years ago,"​ @reeee21_ my input english has been translated into chinese automatically, and i haven't noticed it myself. i mean don't worry about puppies. in rural china, dogs play the role of guards rather than pets. so the chinese don't let them eat too much and get fat lying on the ground and forget their duties. on the contrary, 70% satiety can improve dog's dependence and loyalty to humans. in cities, more and more pet cats stop catching mice because humans overfeed them. it only accelerates the degeneration of their instincts.",@reeeee21_我的输入英语已自动翻译成中文，我自己没有注意到它。我的意思是不要担心幼犬。在中国农村，狗扮演警卫而不是宠物的角色。因此，中国人不要让他们吃得太多，而是让脂肪躺在地上，忘记了职责。相反，70％的饱腹感可以改善狗对人类的依赖和忠诚。在城市中，越来越多的宠物猫停止抓住老鼠，因为人类过度喂养它们。它只会加速其本能的退化。
48366,UgwIlRKPLG0V6fLy2Wt4AaABAg,0,4 years ago,happy new year china's . i from,新年快乐中国。我来自
48476,UgxMJZzqdxFhh5ANjEp4AaABAg,0,4 years ago (edited),"i have liked sugar gourds and melon seeds since i was a child, but now i have returned to china to buy sugar gourds!","我从小到大最喜欢糖葫芦和嗑瓜子了,但是现在回国糖葫芦都好难买到啊！"
48566,UgyAclCvzUmN-Vha0hR4AaABAg.8qmnUsiHyZm8r1_n1YFaoG,0,4 years ago,@estefania.25 which beautiful combination. \ m/> _ <\ m/ i go to china on friday to see the festivals until feb 19. i would hinder me to go to japan.,@estefania.25哪个美丽的组合。 \ m/> _ <\ m/ i星期五去中国观看节日，直到2月19日。我会阻碍我去日本。
2259,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9bZgetRCaX7,0,1 year ago,that is what they want you to feel like 's a propoganda channel.. no one can upload stuff on youtube in china without ccp's approval.,这就是他们希望您的感觉
48749,Ugz9GqrwOQjkZKeZQF14AaABAg.8qmXB6Y9kKz97i6f3_nFGH,0,3 years ago,welcome arab friend visit china,欢迎阿拉伯朋友参观中国
47117,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qsARV8N9UX,0,4 years ago,"426firefly bilibili is one of the top video sharing sites in china. you saying that is kinda proving my point. plus, what does it matter? i'm not saying almazankitchen is super popular necessarily. it's already been shown that she started posting videos on weibo in 2016, while they started in 2015. it may also be that she and almazankitchen got their style from some other channel or she got her style from someone copying almazankitchen. it doesn't matter. i'm just saying that it looks really similar, so i wanted to ask her if she was inspired by almazankitchen. not as an insult, but simply as a way of sharing in the joy over the style. now, i'm sorry that you feel i offended the dignity of your goddess.",426firefly bilibili是中国顶级视频共享网站之一。你说这有点证明了我的观点。另外，这有什么关系？我并不是说Almazankitchen一定是超级受欢迎的。已经显示出她于2016年开始在微博上发布视频，而他们于2015年开始。这也可能是她和Almazankitchen从其他一些频道中获得了他们的风格，或者她从复制Almazankitchen的人那里获得了风格。没关系。我只是说它看起来真的很相似，所以我想问她是否受到Almazankitchen的启发。不是作为侮辱，而只是作为分享风格的喜悦的一种方式。现在，很抱歉您感到我冒犯了您女神的尊严。
47107,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qrJFDRWoYs,0,4 years ago,"@smartpants6 i didn't say they can't access youtube. i simply said youtube isn't big in china. and this isn't her official channel. this channel is being managed by her fans, authorized by her.",@smartpants6我没有说他们无法访问YouTube。我只是说YouTube在中国并不大。这不是她的官方频道。这个频道由她的粉丝管理，受她的授权。
47102,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qqVS42TPYg,0,4 years ago,"i don't think so. youtube isn't big in china, so i doubt they even know about almazan kitchen.",我不这么认为。 YouTube在中国并不大，所以我怀疑他们甚至知道Almazan厨房。
47002,UgyqwqRHwT_wb2cSgeF4AaABAg,0,4 years ago,"the atmosphere of tet is here !! although in china in vietnam, it is still bustling in vietnam. new year an khang, happiness!",Tet的气氛在这里！尽管在越南的中国，它仍在越南繁华。新年khang，幸福！
46338,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU4z3Fdc2U,0,4 years ago,"@lilysing766 chinese said that they were beaten when they were beaten. where is it? intersection intersection why haven't i seen it? don't tell some special cases as the status quo of china, okay, or slave to china? where did you observe? china has no dignity in its own country? there are also foreigners who come to china to eat haisai. it is their money. what is the matter in china?",@lilysing766 中国人说被打就被打，在哪？？？我怎么没见过？你不要把一些特例说成是全中国的现状，好吗，还对中国奴化？你是在哪观察到的？中国在自己国家没有尊严？还有外国人来中国胡吃海塞，那是他们有钱，关中国什么事？
46340,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU78Hbn1gi,0,4 years ago,"@lilysing766 has never been a low -class brother in china in china. really, some chinese people even discriminate against foreigners, feeling that they are barbaric. one of the few fourth -class fourth -class fourth -class fourth -class officials of the first -class foreigners is the han nationality that is ridiculous. it is not as serious as you said. now the national government has not raised foreigners, but the people are raised again. if people have been cut, it takes time for the people to accept that they are stronger than foreigners. you, such as the war wolf 2 red sea, and the recent stray earth, these films are supported by the chinese government to establish the self -confidence and patriotic of the chinese people. heart, you ca n’t always chongyang mei. compared with beijing, there will be a residence and home waiting for him. and foreign countries are homeless tramps. remember that it is the kind of homelessness, and if you are willing to work hard, you always have money to earn you.",@lilysing766 在中国中国从没有低人一等兄弟，真的，有一些中国人甚至歧视外国人，觉得他们蛮夷之类的。一等洋人二等官三等少数四等汉是汉族自己在调侃而已并没有你说的那么严重，现在国家政府并没有抬高洋人而是人民再抬高洋人，毕竟从世界巅峰沦为任人宰割过，要让人民接受自己比外国人强需要时间，你比如战狼2红海行动，和最近的流浪地球，这几部电影都是中国政府支持的就是要树立中国人的自信心和爱国心，不能老是崇洋媚外，相比中国北京，再怎么惨都会有个住处和家在等他。而外国全是无家可归的流浪汉，记住是无家可归的那种，而中国只要你肯努力360行总有钱给你挣。
46341,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU7p6f5b1m,0,4 years ago,"@lilysing766 don't talk about slavery, if the communist party really makes us try it, you can try it. who would have money to rebel? crazy? the blood nature of the chinese only awakened when it was forced to, but this is not a slavery. is the rebellion the last choice to understand? do you want to see china like france now? cangtian has the dead yellow scarf? is that farmers understand when they can't eat meals?",@lilysing766 别乱说什么奴性，，要是共产党真让我们吃不上饭你试试，中国人有钱谁去造反？疯了把？中国人的血性是在迫不得已的时候才会觉醒的，但这可不是什么奴性，造反是最后的选择懂吗？难道你希望看到中国像现在的法国一样？苍天已死黄巾当立？那是农民吃不上饭的时候懂吗？
46342,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU8858FsVy,0,4 years ago,@lilysing766 have you never returned to china for decades? intersection intersection,@lilysing766 你是不是几十年没回过中国了？？？
46343,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU9EJ_Qm2w,0,4 years ago,"@user-bh4ez5rt9n, you are afraid that it is not a brain disability, it has nothing to do with the party. so why is france a yellow vest? intersection isn't it necessary to raise welfare? those who do not lead the leaders are the people of wuhe, whether they are abroad or china. this is the right thing for the people to get money through labor, but please tell me that 30 years ago, my family income was about 1200 a month ago, and now the income is about 20,000. it is also labor. why is the income high now? okay, social development is fast. so if your brain is a good thing, it is a pity that you do n’t have your own opinions by brainwashing by foreign media all day?",@user-bh4ez5rt9n 你怕不是个脑残，跟党没关系，那法国为什么闹黄背心？？还不是要政府提高福利？没有领导的人就是乌合之众，这不管是国外还是中国都是一样。人民通过劳动获得金钱这没错，但请你告诉我，30年前，我家一个月收入大概是1200左右，而现在大概收入是20000左右同样都是劳动，为什么现在收入高，还不是政府领导的好，社会发展的快。所以说脑子是个好东西可惜你没有，整天被国外媒体洗脑，就不会有点自己的见解？
46344,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU9aBOI4I_,0,4 years ago,"@user-bh4ez5rt9n sweeping street has doubled the big brother, and china is easy to find a job in the united states. it is unemployed all day.",@user-bh4ez5rt9n 扫大街的工资都翻倍了大哥啊，而且中国找工作容易美国就不行了，整天失业，还有一堆流浪汉连个家都没有在中国再怎么不行最起码有个家啊
46347,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rUT6bSCpu-,0,4 years ago,"wang hahaha 30 years ago, you salad 1200 and bought a house 200,000 at that time. now your salary is 20,000 and buy a house 1.2 million. you stupid will calculate too much hahaha, the price has not changed? in addition, the united states is the worst. there are fake vaccines in the united states? do you have toxic milk powder? are there ground groove oil? how many fakes are china? how to deal with the red, yellow and blue kindergarten incident? your brain was washed well by the communist party. hahaha",王哈哈哈 30年前你工资1200，当时买房20万。现在你工资20000，买房120万。你个傻逼太会算账了哈哈哈，物价没变？另外美国最差，美国有假疫苗？有毒奶粉？有地沟油？假货有中国多？红黄蓝幼儿园事件怎么处理的？你的脑子被共产党洗得好干净哈哈哈
46396,Ugy1FHK_GhZf3Gyg-5h4AaABAg,0,4 years ago,"another year! bless the new year's progress in the world, china will unify soon!",又一年！祝福全球华人新年进步，中国早日统一！
2995,Ugz0RVgYruRtgvc4MVF4AaABAg.9VNHZNd8ALL9bZgicOmcSw,0,1 year ago,that is what they want you to feel like 's a propoganda channel.. no one can upload stuff on youtube in china without ccp's approval.,这就是他们希望您的感觉
46515,Ugxuip3ptgJ6OwAz1Md4AaABAg,0,4 years ago,"hmm, it's completely different from china i think",嗯，我认为这与中国完全不同
46559,UgzalSiVRDryBw3_SbJ4AaABAg,0,4 years ago,where is china? really pretty.,中国在哪里？真的很漂亮。
46588,UgyztlwRUr36M8j1ELl4AaABAg,0,4 years ago,"the interpretation is good, very professional, but now these simple and traditional things in china are getting less and less.",演绎的不错，很专业，但现在中国这些淳朴传统的东西越来越少了。
46598,UgwKGB-AW5pLT4nfPC54AaABAg,0,4 years ago,totally loved it. i am now big fan of the pretty lady. india china behen behen.,完全喜欢它。我现在是漂亮女士的忠实粉丝。印度中国贝恩。
46628,Ugx4Xt9MVHA-wak_bq14AaABAg,0,4 years ago,"it’s want tanghulu, i hadn’t had one for a long time and in china, i can’t find any",想要坦格鲁，我很长一段时间没有一个，在中国，我找不到任何
46637,Ugxzf9SxE3N9qakYudx4AaABAg,0,4 years ago,city girls nowadays can't even cook rice. totally helpless in a rich land of china. this girl shows how china became rich.,如今，城市女孩甚至无法煮米饭。在中国的丰富土地上完全无助。这个女孩展示了中国如何变得富有。
46638,Ugw9TQVFJ1LLmn8onm54AaABAg,0,4 years ago,"she got 1 person in 3,000 on our globe watching how chineses people develop foodstuffs and live since a long time ago.

bravo girl.

china national patriot.
and its a trade that people within china long wishes to experience their childhood with their traditional mothers capability.","她在我们的全球范围内让3,000人有1位成员，看着Chineses的人们如何发展食物并从很久以前的生活开始。

勇敢的女孩。

中国国家爱国者。
这是中国人们长期以来一直希望以传统母亲能力体验自己的童年的贸易。"
46662,Ugy5aAL4zMOcdDOt72p4AaABAg,0,4 years ago,"alright i accept her marriage proposal, when should i come to china",好吧，我接受她的求婚，我什么时候应该来中国
46724,UgxsChLLaXCMin5Lja14AaABAg,0,4 years ago,this kind of food cooking is really even today in china's countryside.,这种食物烹饪确实在今天在中国的乡村。
46779,UgwErpz6U15B7Kyli8R4AaABAg,0,4 years ago,"i love china
that's what came to my mind after watching this","我爱中国
这就是我看完这个之后想到的"
46792,UgwErpz6U15B7Kyli8R4AaABAg.8qrOqv3S57b8qrtG1RxGhh,0,4 years ago,china love you too. dear,中国也爱你。亲爱的
46843,Ugygf9Sbjtp0JTkIvnx4AaABAg,0,4 years ago,"splendid...m the biggest fan of this channal..i saw this channel since 2 week or somthing ..but only in 1 day i completed /means i had saw all the videos ...as these were so beutiful...nd natural.
it my wish from birth to come china .but now i want to meet uh .","出色的... M是这个频道的最大粉丝..我看到了自2周或些什么以来的频道。但是只有在1天完成 /意味着我已经看到了所有视频...因为这些是如此美丽...自然。
我从出生到中国的愿望。但是现在我想见UH。"
2701,UgzcUSQ0ZLq9yQ21Jmt4AaABAg,0,1 year ago,in this part of china it is very cold?,在中国的这一地区很冷吗？
2636,UgyZ3q6ap-2iPQZR5dV4AaABAg.9XG_cHHUo9u9bZgg_nmPaU,0,1 year ago,that is what they want you to feel like 's a propoganda channel.. no one can upload stuff on youtube in china without ccp's approval.,这就是他们希望您的感觉
46946,Ugw9WieYA7Uo9KWtn9J4AaABAg,0,4 years ago (edited),"aaaafter watching this video, im certain that almost of specialities of the world come from china . pommes d'amour of france or nouggat of italie or je sais pas quoi , spaghettis... all come from china.",Aaaafter观看了这段视频，我确定世界上几乎来自中国。法国或意大利的牛gat或意大利面的牛an牛肉，意大利面...全部来自中国。
46992,UgzpRa34F_sIPeo5gHx4AaABAg,0,4 years ago,"you must be living in china's type of climate which gives plenty of fruits, vegetables and animal as well.",您必须生活在中国的气候类型中，这也能赋予许多水果，蔬菜和动物。
48834,UgwIPs9H7PQ3J2ZfIhV4AaABAg.8qmQDmuPUNP8qmiKXQhB7J,0,4 years ago,"@fenderfanderwell2853 omg, even her back story sounds staged! youtube is banned in china, and her content would be full of very negative comments unless the chinese government were in on it. the chinese government pays people to scavenge youtube for chinese content that left their country, and while they cannot ban channels, they have accounts created specifically to troll unauthorized chinese youtube accounts. also, historically there is a lot of chinese propaganda about the ""perfection"" of chinese farming, and food related cultural practices, especially pertaining to women. it's been like that for decades, if not hundreds of years before digital media existed. this channel is still entertaining stuff though... one of my favorites for its perfectionist quality. highly staged, but nevertheless entertaining.",@Fenderfanderwell2853 OMG，甚至她的背景故事听起来都上演了！ YouTube在中国被禁止，除非中国政府加入其中，否则她的内容将充满负面评论。中国政府向人们付费，以清除YouTube，以获取离开国家的中国内容，尽管他们无法禁止渠道，但他们的帐户专门用于巨魔未经授权的中国YouTube帐户。同样，从历史上看，关于中国农业的“完美”以及与食品相关的文化习俗，尤其是与妇女有关的文化习俗，还有很多宣传。几十年来，即使不是数百年，在数字媒体存在之前就已经存在了数十年。不过，这个频道仍在有趣的东西……我最喜欢的完美主义者质量之一。高度上演，但是很有趣。
1966,UgxjrfA6ccVqfkuqR514AaABAg.9aDEN-i4Ylq9g2n0ZlUMah,0,8 months ago,@tv-tw7pg china 't you see chinese?,@TV-tw7pg 中国
49043,UgxPs-pS4pnW76Wssvd4AaABAg,0,4 years ago,china does not use youtube. why can you make videos posted on youtube? change ip,中国不使用YouTube。为什么可以在YouTube上发布视频？更改IP
50876,UgxBzvnWiVdqcp-KmIR4AaABAg.8qlc5x8ozq48qlfGa9RQH_,0,4 years ago,she is from china,她来自中国
866,Ugx_v8jDbkv8OjuwKXV4AaABAg,0,6 months ago,"china, which has no freedom of expression and press, and chinese people who live by accepting it without resistance have no right to use youtube.",中国没有言论自由和媒体自由，而没有抵抗的人就没有使用YouTube来接受它。
51016,Ugwsr9ON9AEm2kOguzF4AaABAg,0,4 years ago,"chinese people are very intelligent, even in cooking, can do a variety of ... and chinese people are the first lives in the world to know how to print books ... even the best buddhism is in china. ""wei lower""",中国人非常聪明，即使在烹饪方面也可以做各种……中国人是世界上最早知道如何印刷书籍的生活……甚至最好的佛教在中国也是如此。
841,UgzqqL_QSEznKbOUgC54AaABAg,0,6 months ago,you have to give china popcorn for the movie theater,您必须给电影院中国爆米花
51132,UgxughMrSe0OTZZ2kJh4AaABAg,0,4 years ago,which place is this in china?,这在中国是哪个地方？
655,UgyEFa3WZnfNm5jebOV4AaABAg.9kjuaXbieFT9koKbSm6yg7,0,5 months ago,"can you people in anti-china organizations be a little innovativedon't make yourself look like an idiot if you have a brain problem, go to the doctorif i can't cure it, i'll bury myself before it's too latedon't pollute the earth's air then. i'll be sick of looking at you",您在反中国组织中的人们可以有点创新的人，如果您有大脑问题，请让自己看起来像个白痴，请去看医生，如果我无法治愈，我会埋葬自己那时地球的空气。我厌倦看着你
51496,UgyIzzoK9Q3bQfEZ_n54AaABAg,0,4 years ago,happy lunar new year to china from viet nam,从越南到中国新年快乐
51507,UgzQ5FAqnSg0DW-UxnZ4AaABAg.8qlV3097wGf8qliFzvQ_zb,0,4 years ago,"it is hawthorn and apple ,cover by melton honey and sugar. we call this tanghulu in china and it is the traditional chinese candy .if you want to sell this on the street ,you must carry the big rice leave stick which shows in the background",它是山楂和苹果，由梅尔顿蜂蜜和糖覆盖。我们在中国称之为坦格鲁，它是中国传统的糖果。如果您想在街上出售它
519,UgwYGp8ZYkTquE5XYCJ4AaABAg.9m-PXcm7BFc9mQjF-o5n2C,0,3 months ago,"sichuan, china",中国四川
518,UgxKYKTWablcmH5KAQB4AaABAg.9m2BTBoters9mF7D2BKumy,0,3 months ago,li ziqi is from china!,李齐（Li Ziqi）来自中国！
505,UgxKYKTWablcmH5KAQB4AaABAg,0,4 months ago,li ziqi is actually from korean! not china!,李Ziqi实际上来自韩国人！不是中国！
51749,UgxBxXMSL5XmtiyyCaR4AaABAg,0,4 years ago,i hope one day to travel to china,我希望有一天去中国
51820,UgwtbjzymTb_taB381R4AaABAg,0,4 years ago,"marry, be a mother, be a grandma! china has hope!",嫁人，做娘，做奶奶吧！中国才有希望！
51979,UgyPOVQ2QyLheppz9254AaABAg,0,4 years ago (edited),you make it for china new year ?,您在中国新年吗？
497,UgwMFR_3iJUXOUrwGdt4AaABAg,0,4 months ago,china xiu genuine,中国Xiu真实
473,UgzP9tZe-qmIbKtuKEp4AaABAg.9mn404jc3xC9nLwj7HypYU,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
464,UgyRYXRMT11W0y-kLTF4AaABAg,0,3 months ago,"here’s a good question.
how does she access youtube in china?","这是一个很好的问题。
她如何在中国访问YouTube？"
448,UgzaPBZ-7KDXg2ElYRF4AaABAg.9mvqUj9jt1X9nLwheaPKfb,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
447,UgzpU_9jS2RPW1JJynd4AaABAg.9n2BeyASxW89nLwfeVOHjz,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
426,UgyrZlxFhNOItXcQssN4AaABAg.9n4tyXrLNN79nLwecxNODQ,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
417,Ugx-iNXYiDZkpcCfen94AaABAg.9nJxaud-ZBS9nLwbq64XGZ,0,2 months ago,"where is liziqi's position??? 

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
416,Ugxtt87HHqikxEYG2y54AaABAg.9nLjVxNhaxB9nLwaKZowAK,0,2 months ago,"where is liziqi's position???

top50 china youtuber in 2023: 
https://youtu.be/fdoj0crcc_w","利兹奇的位置在哪里？？？

2023年的Top50中国YouTuber：
https://youtu.be/fdoj0crcc_w"
415,UgyrZlxFhNOItXcQssN4AaABAg,0,3 months ago (edited),"crooked nuts hope that china will always be like this. do not develop. natural foods. two people will not deteriorate. the ancestors of 1.4 billion have been struggling for 5,000 years. no one is this kind of environmental life? who can cross, introduce it, i want evidence",歪果仁就希望中国永远像这样，不要发展，天然食品，两个人吃不完也不会变质，14亿的祖先奋斗了5000年，也没人是这种环境生活吧？谁能穿越，介绍一下，要证据的
52335,UgxfJDJvTpAxl-BK2jN4AaABAg.8qlNOcV5LDT8qtWQsBy5TQ,0,4 years ago,sichuan province in china,中国四川省
402,UgzKCcQUXpdkuo_t5Q14AaABAg,0,2 months ago,"top50 china youtuber 2023:
https://youtu.be/fdoj0crcc_w","Top50中国YouTuber 2023：
https://youtu.be/fdoj0crcc_w"
275,UgzKvFyW3N-iKuSsjJN4AaABAg,0,2 months ago,"song name @5:20 and where is this countryside? where in china, what city",歌曲名称 @5：20，这个乡村在哪里？在中国，哪个城市
1030,Ugzk2oFmDQO-IeflTEF4AaABAg,0,8 months ago,did li ziyi retreat because of the pressure of domestic public opinion in china? i bought her snail powder before,李子柒是不是因为中国国内舆论压力太大而退网了？我之前还买过她的螺蛳粉
50869,UgxBzvnWiVdqcp-KmIR4AaABAg,0,4 years ago,"excuse me, which country are you from? china? taiwan?",对不起，你来自哪个国家？中国？台湾？
49066,UgxDtMZrB7UkFSV2y4Z4AaABAg,0,4 years ago,i love her so much d: i wish i could come to china and learn from her all these traditional recipes and methods!,我非常爱她D：我希望我可以来中国，从她的所有这些传统食谱和方法中学习！
1087,UgymX35nFIuZccorN2B4AaABAg,0,8 months ago,how do i dream of living somewhere in the mountains of china,我如何梦想住在中国山区的某个地方
49078,UgyW9jd7WUAX4CsRUgB4AaABAg,0,4 years ago,are candy apples popular in china? who knew!,糖果苹果在中国很受欢迎吗？谁知道！
1656,UgyjrJBO3hzV8WRIcTh4AaABAg,0,1 year ago,"well, this place is in china that dad is growing there .... they are not everywhere ramyust, for example, in russia ..... in odessa they grow up and south in the crimea no longer grow",好吧，在中国的这个地方，父亲在那里长大。...他们并非到处都是拉米斯特（Ramyust）
1641,Ugwr7Oa-jE1_ZNOHfpB4AaABAg,0,1 year ago,and i love you and ypur grand mom you are awesome i love china and i hope some day i gp and visit this great country,我爱你和ypur大妈妈，你很棒，我爱中国，希望有一天我GP并参观这个伟大的国家
1585,Ugwzh5OpkMKZCL_lJaB4AaABAg,0,1 year ago,"hello, i present the general director of the humanoid family of native americans in all parts of the
world 
we are advanced ...
these religious laughed, mocked laughter of how the natives die for doing all of them happily ... we give our life and never respect us or listen to us 
it is the time of world -world native students and we will be paid to study 

to the natives we become more money than you use owes to china","您好，我介绍了美洲原住民的人类家族的总董事
世界
我们先进...
这些虔诚的笑声，嘲笑的笑声，对当地人为了幸福地做所有人而死……我们付出了生命，永远不要尊重我们或听我们的话
这是世界上的时代 - 世界本地学生，我们将获得付费学习

对于当地人来说，我们比您使用的欠中国更多的钱"
1584,UgxwscC10HT4BYh4tsl4AaABAg,0,1 year ago,"hello, i present the general director of the humanoid family of native americans in all parts of the
world 
we are advanced ...
these religious laughed, mocked laughter of how the natives die for doing all of them happily ... we give our life and never respect us or listen to us 
it is the time of world -world native students and we will be paid to study 

to the natives we become more money than you use owes to china","您好，我介绍了美洲原住民的人类家族的总董事
世界
我们先进...
这些虔诚的笑声，嘲笑的笑声，对当地人为了幸福地做所有人而死……我们付出了生命，永远不要尊重我们或听我们的话
这是世界上的时代 - 世界本地学生，我们将获得付费学习

对于当地人来说，我们比您使用的欠中国更多的钱"
49334,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9ImNs8PIXuu,0,2 years ago,"i’m sure she never made even one whole food in this channel’s movies. this channel is by chinese government with professional cuisiniers, culturists, especially pro-level audiovisual producer to advertise communism and china. we know even youtube is banned in china.(so they use bilibili) but they need a promotion channel to advertise nice images of china to the world.",我敢肯定，她在这个频道的电影中也从来没有做过全部食物。该渠道由中国政府与专业的美食，文化家，尤其是在广告中宣传共产主义和中国的支持级别的视听生产商。我们知道甚至在中国禁止YouTube。
49417,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8s9CLeDV7l_,0,4 years ago,china is the only one of the four ancient civilizations that continues,中国是持续的四个古代文明中的唯一一个
49446,Ugzu9abYlXYARcRd3Ol4AaABAg.8qm6ZkSKEFR8qn756g2cza,0,4 years ago,yueming wu heyyyy thank you sir ...thanks u from india ...are u from china ...,Yueming Wu Heyyy谢谢您先生...谢谢您来自印度...您来自中国...
49488,Ugy00t4sAC1h3ATXl594AaABAg,0,4 years ago,china . year ms vv,中国 。 MS MS VV
49515,UgwXFYRqMOsvKPuJPYN4AaABAg,0,4 years ago,happy new year 2019 china,新年快乐2019年中国
1522,UgyUkMXc-TCI7TYPbkB4AaABAg.9cbX4YuWZ0e9eZTqUo3CcA,0,10 months ago,"what are you thinking? not china, taiwan, is sichuan, china sichuan",在想什么呢？不是中国台湾是中国四川
1478,Ugy9OKFWiTQstUzscSV4AaABAg.9d0IB3u2Bdb9d9Z7fE022C,0,11 months ago,china,中国
49546,Ugw1U6RKW00kys1ccXB4AaABAg.8qm4-9HK7Wc8qmG_1hsrJ-,0,4 years ago,"@user-dk5qj7nk5l is good, now china is getting better and better. welcome to sichuan, there are many snacks",@user-dk5qj7nk5l 挺好的，现在中国越来越好了，欢迎光临四川，小吃超多
49568,UgyiFZ029RrZn7E5VS14AaABAg.8qm32sz6wAQ8qmLHJo3Klv,0,4 years ago,hello china,你好中国
1455,Ugz4yG0q2khMqWJIwup4AaABAg.9dMVcTZcL2_9dV8vUoYKQP,0,11 months ago,"in china, fried with salt or sugar, she should use salt, we also have green tea fried",在中国，用盐或糖炒都可以，她应该是用的盐，我们还有用绿茶炒的
49908,UgyTiyGOirZqe9iVy3J4AaABAg,0,4 years ago (edited),"i want to see the arms of fellow countrymen.
happy viet nam and chinanew year","我想看看同胞的武器。
越南快乐"
49921,Ugwl2DBCweJBy3KWbm54AaABAg.8qlu75CU-iT8qlub_P6RBD,0,4 years ago,she come from china,她来自中国
50085,UgwPb9avvFOYo9c7iSV4AaABAg,0,4 years ago,"thank you, let me remember when i was young! thank you especially! and we have always supported you! come on sister qi! you are the best! and i don't want you to be so tired alone! i want you to find someone who knows you and love you to share it together! follow you from the beginning! since i am in china, i am abroad, and i am still following you. come on",谢谢你，让我回忆起了小时候！特别感谢你！还有我们一直支持你！加油柒姐！你是最棒的！还有就是不想你一个人那么累了！想你找一个懂你，爱你的人一起分担！从你一开始都在关注你！从我在国内开始，到现在在国外了，还在关注你。加油
