,cid,votes,time,含best,含best中文翻译
39828,UgyaeEz7f2D22Hchqux4AaABAg,0,4 years ago,the best cinematic video ever!,有史以来最好的电影视频！
38116,Ugzof_VJfU9icZB42Bx4AaABAg,0,4 years ago,the best pop corn ever,有史以来最好的流行玉米
34379,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vHQ28Pj6ba,0,4 years ago (edited),"@infantannihilator1521 nobody can beat her for quality, although there's competition out of vietnam, one i'll mention is ve que len ray. i thought his was the best (and he's damn good!) until i stumbled on li ziqi!
but cooking shows out of vietnam are lots of fun!","@infantannihilator1521没人能以质量击败她，尽管越南有竞争，但我会提到的是ve que len ray。我以为他是最好的（他该死的好！），直到我偶然发现了李齐（Li Ziqi）！
但是，越南的烹饪表演很有趣！"
34303,UgzqvMumQC0r89hr2hx4AaABAg,0,4 years ago,"this is what school should teach us. why are we living so hard? trying to best each other. trying so hard, but for what? recognition ? appreciation? preservation ? if we all just stopped, if we all just listened, if we all were to breathe from the depths of our hearts, if we were to live.... the world wouldnโ€t be so bad. because there would be nothing we would be living for. no ideals, no trying to one up, no competition, no bloody suck ups. if money was not a thing and if we arenโ€t so selfish then we could get by. taking only the amount we need. sharing and not discriminating, not hating, not killing. then the world we live in wouldnโ€t be sinking? living as one, living peacefully, just like the animals all around us. taking only what they need and nothing more. theyโ€ve survived longer then us yet the amount of time we have existed is a chip of what they have and what have we done? killed this earth. schools should have taught us how to harvest wool, how to clean wool, how to make clothing. schools should of taught us how to cook with the life around us. schools should of taught us not to be selfish, not to want, not to become greedy like the people before us. instead we learn about multiplying aโ€s,bโ€s and cโ€s, learning about history, singing do re mi. but for what? to get a job, to earn money, to eat too much, to become corrupt, to listen to leaders who donโ€t give a fuck. this is what it means to live. like her. yet we live a life of such unhappiness. trying to buy too much trying to earn too much. when all we need is just a little. keep it simple. what have we done.",这是学校应该教我们的。我们为什么这么努力？试图互相最好的。尝试这么努力，但是什么呢？认出 ？欣赏？保存？如果我们都停下来，如果我们都倾听的话，如果我们都要从我们的内心深处呼吸，如果我们要活下去。...世界不会那么糟糕。因为我们将没有什么可以为之而来的。没有理想，没有尝试一个人，没有竞争，没有流血的吮吸。如果钱不是一件事情，如果我们不是那么自私，那么我们就可以通过。只拿我们需要的金额。分享，不歧视，不讨厌，不杀人。那么我们生活的世界不会沉没吗？像我们周围的动物一样生活，和平地生活。只采取他们需要的东西，仅此而已。他们的生存比我们更长，但是我们已经存在的时间是他们拥有的东西以及我们做了什么的筹码？杀死了这个地球。学校应该教我们如何收获羊毛，如何清洁羊毛，如何制作衣服。学校应该教我们如何与周围的生活一起做饭。学校应该教会我们不要自私，不要想要，不要像我们之前的人们那样变得贪婪。取而代之的是，我们了解了乘以A，B和C的繁殖，了解历史，唱歌Do Mi。但是什么？找工作，赚钱，吃得太多，变得腐败，倾听那些不他妈的的领导者。这就是生活的含义。像她这样的。然而，我们过着如此不幸的生活。试图购买太多尝试赚到太多的东西。当我们只需要一点时。把事情简单化。我们做了什么。
34679,UgyAioG4T94Ib3ToW8l4AaABAg.8uw8XZDSFR_8uxqw1Su6Cb,0,4 years ago,"it is not wasted. let it be known that it is a man-made education and it does serve it's purpose in a man-dictated world. true education is life itself and it is a lifelong process. it only end when we die. like it or not, this school is compulsory. the subject is random, you can't choose and there's no diploma to collect. pay it with due diligence and with skillful mean, it will serve you well. that whatever your status you may be or wherever you are, your peace will be unshakable.
best of regards from the heart.","它并没有浪费。众所周知，这是一种人为的教育，它确实在一个人文的世界中达到了目的。真正的教育是生活本身，这是一个终生的过程。它只有在我们死后结束。不管喜欢与否，这所学校是强制性的。该主题是随机的，您不能选择，也没有文凭可以收集。以尽职调查且熟练地付款，它将为您服务。无论您身份如何或无论您身在何处，您的和平都是无法动摇的。
发自内心的最好的问候。"
35463,Ugx8_hK0f6RUjtD2w_F4AaABAg,0,4 years ago,this video is the best thing ive seen on youtube in a while ๐’“๐,这段视频是我在YouTube上看到的最好的东西
37881,UgxlDuYlau9KOcp1HFB4AaABAg,0,4 years ago,"li ziqi, i send to you all my best wishes and thanks for this inspirational way to live! the love for your grandma is a way to be, correspond to the love was given to you!!",李齐（Li Ziqi），我向您发送了我所有的良好祝愿，并感谢这种启发性的生活方式！对奶奶的爱是一种方式，与您的爱相对应！
39154,Ugz68sZNz7cPxPfwY9Z4AaABAg,0,4 years ago,the best videos i have ever watched..,我看过的最好的视频。
36502,UgyhA4uGxlWcL6Fk91F4AaABAg,0,4 years ago,i don't understand chinese so i usually don't click on chinese videos but i clicked this video because the thumbnail seems interesting. best decision ever.,我不了解中文，所以我通常不单击中文视频，但是我单击了此视频，因为缩略图似乎很有趣。有史以来最好的决定。
38691,UgyHavpwH8Zd0tAajMl4AaABAg,0,4 years ago,u are the best in cooking,你是烹饪中最好的
36380,UgzHne0NNAr_MOz0w1Z4AaABAg,0,4 years ago,"she is my best... girl.
๐","她是我最好的...女孩。
"
36230,UgypiSReYbvXPFsziKx4AaABAg,0,4 years ago,you look like the best cook ever,你看起来像是有史以来最好的厨师
36168,UgwhHAaFyXDFTncroVh4AaABAg,0,4 years ago,"best things in youtube
1. cat videos
2. bob ross ๐ญ
3. bill
4. that one show that we like but don't remember
5. this","YouTube中最好的事情
1.猫视频
2.鲍勃·罗斯
3.比尔
4.我们喜欢但不记得的那个节目
5.这"
38358,UgxKM98NlKzQgC8BD514AaABAg,0,4 years ago,"the best women in the world other than women in egypt, they love sleep and distress",除埃及女性以外，世界上最好的女性，她们喜欢睡眠和痛苦
36102,UgwJz0K4kXIRdGkdrgt4AaABAg,0,4 years ago,can i be your best friend,我可以成为你最好的朋友吗
35679,UgwL-DzWsXRVgTpS7mR4AaABAg,0,4 years ago,your the best ๐๐๐ you make me happy ๐๐๐ค“๐ค—,你最好的
36803,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9QKr4qSL3GY,0,1 year ago,"1, ๐ฅ my private g to video here ๐‘
https://ok.me/qhil?nanoko official service
๐’ i am a naked baby (ยฐ _ ยฐ) ๐€

#thank you for pointing out everyone am!
thank you for the reorganization of the live distribution! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was also exciting that i forgot to cut the camera and did one! i have to be careful in the future ...

! ๐–ค โค โค#in the future, there will be a live distribution reorganization
it is! #live distribution on this day was#very ridiculous! #more than 10,000 people were watching (#laughs)#after all the ginseng is the best! #it was exciting to have forgotten to cut the camera,#in the history of the person,#strong,#strong, #shinjin japanese ingredients ๅ…ท ๅ…ท ๅ…ท ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆ— ๆฐmid -vulnerable, #less `'#morawa poverty. #shinsei, #survanity of human beings, a trivial refusal,#deprivation, a basic basic demand ๅ€‘ ๅ€‘ ็จฎ ็จฎ ็จฎ ็จฎ ็จฎ ็จฎ.#่ชช food, #stiflers, so refusal people. #contrary, #asshikai kai -kai, a quick -sighted meat, a nuakenhiro ๆพ ๆพ ๆพ ๆพ ๆพ ๆพ#other ๅ€‘ kokai ryo, #cuts,#seasoning wako -puy -like vegetable japanese meat, #sdatistic food market for home -based households ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ๆ ๆ ๆ ๆ ไธ” ไธ” ไธ” ไธ” ไธ”#malph peach powdering shiroki #shinical food stewed weather","1，
https://ok.me/qhil?nanoko正式服务


＃感谢您指出所有人！
感谢您对现场发行的重组！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并做一台相机也很令人兴奋！我将来必须小心...

！
这是！ ＃这一天的活力分布非常荒谬！ ＃超过10,000人正在观看（#laughs）＃在所有人之后，所有人参是最好的！ ＃在人的历史上忘记剪相机非常令人兴奋， #less`'#Morawa贫困。 #shinsei，#survanity of humans，一个琐碎的拒绝，＃剥夺，基本的基本需求们们种种种种。 #contrary，#asshikai kai -kai，快速壮观的肉，nuakenhiro找找找找找找＃其他们kokai ryo，＃剪切，＃调味wako -puy -puy -like菜日本肉，#Sdatistic Food Market for Home -Bate -Bate -Bate -Bate -Bate -Bate -Bate Highths蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬Shiroki #shinical Food炖天气"
37820,Ugx13FSSqzHtrg5-cpt4AaABAg,0,4 years ago,it's the best 10 minutes (*^โ–ฝ^*),这是最好的10分钟（*^▽^*）
35522,UgwKG65bYm4-NTxbp3x4AaABAg,0,4 years ago,i love your channel so much. you and your family are amazing and deserve all the best.,我非常爱你的频道。您和您的家人很棒，应该得到一切。
37877,UgxgggrAuUUDJ_iavPl4AaABAg,0,4 years ago,"the best of god's gift
it's a talent that can do well
the best among human talents
it seems to be the best who knows how to cook.
it was a long time since i felt a precious gift.","上帝最好的礼物
这是一个可以做得很好的才能
人才中最好的
这似乎是知道如何做饭的最好的人。
自从我感觉到宝贵的礼物以来已经很长时间了。"
39024,UgyoiKvhleCMOlZH6-V4AaABAg,0,4 years ago,best video ever,有史以来最好的视频
36713,UgyKWn_dWFxmdG2JG8l4AaABAg,0,4 years ago,"the best, this self -reliance concept really appreciated from the heart",最好的，这个自我依赖的概念真的很感激
39103,Ugz9piOGZmmRZcHLX0l4AaABAg,0,4 years ago (edited),"this is by far the best 10 minutes i have ever spent on youtube ,lovely , calmfull and peacefull music .i am amazed with the way most recepies are done here but regarding the way the popcorn is made ..waaw ,never seen anything like it ... what is the name of the baric chamber where you pour the corn pips in ? anyone ?",这是我在YouTube上度过的最好的10分钟，可爱，冷静和和平的音乐。我对大多数回收的方式感到惊讶，但是关于爆米花的制作方式。.Waaw，从未见过这样的东西...倒入玉米的Baric室的名字是什么？任何人 ？
35220,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9Jdoz_vOJTt,0,2 years ago (edited),"โ€ @therewasnochill8997 may be you have some misunderstand with china education and china women, yes 40-50 years ago maybe happened , our education resource wasn't cover everyone at that time, for example my mother give up the opportunity to high school even she has good grades, she give this opportunity to her younger brother, but almost everyone know knowledge can change one's life ,so our country and family try their best to give good education to young people , for me my parents always support my study, even i have been married.",@thenwasnochill8997可能是您对中国教育和中国妇女有误会，是的，是40-50年前发生的，我们的教育资源并不涵盖当时的所有人，例如，我的母亲也放弃了上高中的机会她的成绩很好，她给了她的弟弟这个机会，但是几乎每个人都知道知识可以改变自己的生活，因此我们的国家和家人都会尽力向年轻人提供良好的教育，对我来说，我的父母总是支持我的学习，甚至我已婚。
35131,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-91u4w4ohvnp,0,3 years ago (edited),"therewasnochill she was orphaned at a young age, hence living with her grandparents where she is now. they supported her all the time and taught her everything. she adores them, and them her. she didnโ€t have a good relationship with her parents. she also has a brother with equal talents. she used to work as a dj, waitress, and a businesswoman whilst living in the city. highly educated, intelligent, beautiful and hard working. she is now a successful, wealthy blogger, vlogger, businesswoman, cook, author, etc, etc...she creates the best content ever on youtube. all her talents, with consistent and brilliant content have earned her respect and legions of fans.",因此，她很小的时候就孤立了，因此与她现在所在的祖父母住在一起。他们一直在支持她，并教她一切。她崇拜他们，他们是她。她与父母没有良好的关系。她还有一个兄弟，才有平等的才能。她曾经是DJ，女服务员和女商人，而她居住在城市中。受过良好教育，聪明，美丽和努力的工作。她现在是一位成功的，富有的博客作者，vlogger，女商人，厨师，作家等...她在YouTube上创建了有史以来最好的内容。她所有的才华，一贯而出色的内容都赢得了她的尊重和粉丝。
38327,UgwcBWB7q14e_O9FV594AaABAg,0,4 years ago,"how can i not subscribe after being bound by a spell to watch your beautiful videos and the best part you do not tell anything about subscribing to channel 
almost feels like videos - out of world and gives out beauty of nature","在被咒语束缚之后，我如何看待您的美丽视频，而您没有告诉任何有关订阅频道的最佳部分
几乎感觉像视频 - 在世界之外，散发出大自然的美丽"
44415,Ugzz6CRTgH5_88ut5It4AaABAg,0,4 years ago,5:54 this part is the best,5:54这部分是最好的
40023,UgyIXpV-x9-51kzU1dh4AaABAg,0,4 years ago,the best,最好的
47972,UgwROlAy840q9oQZd-p4AaABAg,0,4 years ago,best one,最好的
50534,UgzGaNtXHBQdQNtQi5R4AaABAg,0,4 years ago,this video probably one of the best !,这段视频可能是最好的！
50505,Ugy8WnN0ieh2t-tsLMN4AaABAg,0,4 years ago,"happy holiday, best wishes to you all! new year's auspiciousness!",happy holiday， best wishes to you all! 新年吉祥万事如意！
50156,UgzwyU4Mnnj0nPfjFRZ4AaABAg,0,4 years ago,this is the best video i’ve seen from your channel. i like all your videos but this ones exceptional. it’s satisfying. love from philippines ❤️,这是我从您的频道中看到的最好的视频。我喜欢您的所有视频，但这是出色的。令人满意。来自菲律宾的爱❤️
50151,UgzLtrlmGdxgBXw6fWl4AaABAg,0,4 years ago,best,最好的
50142,UgyGSVnXkTQC5-yTArx4AaABAg.8qlobXVJWRp8qm9hCWm3MZ,0,4 years ago,"thank you, i wish you all the best.",谢谢，祝你一切顺利。
50085,UgwPb9avvFOYo9c7iSV4AaABAg,0,4 years ago,"thank you, let me remember when i was young! thank you especially! and we have always supported you! come on sister qi! you are the best! and i don't want you to be so tired alone! i want you to find someone who knows you and love you to share it together! follow you from the beginning! since i am in china, i am abroad, and i am still following you. come on",谢谢你，让我回忆起了小时候！特别感谢你！还有我们一直支持你！加油柒姐！你是最棒的！还有就是不想你一个人那么累了！想你找一个懂你，爱你的人一起分担！从你一开始都在关注你！从我在国内开始，到现在在国外了，还在关注你。加油
50057,UgxiWswoXI-3nmlTyTR4AaABAg,0,4 years ago,the best,最好的
50023,UgxXL2bePhlz6TlfMDZ4AaABAg,0,4 years ago,"best channel, didi(sister). i love that beautiful place. i wish i can be their. soooo beautiful",最佳频道，迪迪（姐妹）。我爱那个美丽的地方。我希望我能成为他们的。太漂亮了。我来自尼泊尔，也请用英语写。爱你很多
49726,UgyOwUxHNGmraYjNHxZ4AaABAg,0,4 years ago,best video,最佳视频
49703,UgwIpBznBvwdlvYsnHx4AaABAg,0,4 years ago,you best,你最好
49663,Ugw_uchT39EgOXEcrEZ4AaABAg,0,4 years ago,you are the best ❤️❤️❤️ love from iraq ❤️❤️❤️can’t sleep without watching you videos ❤️❤️❤️ so satisfying,您是伊拉克的爱最好的❤️❤️❤️❤️❤️❤️❤️❤️不看视频，无法入睡。
49647,UgyIopZ9CL7_jqYun-B4AaABAg,0,4 years ago,"wonderful with all the meaning of the word
you're the best","单词的所有含义很棒
你是最好的"
49473,Ugxi8iSlXuHN-NeJhFN4AaABAg,0,4 years ago,happy new year. thank you for these best video!,新年快乐。谢谢您的最佳视频！
49147,UgxhCPlddnTfTVaMath4AaABAg,0,4 years ago,best baking vedio ever,有史以来最好的烘焙vedio
49049,UgxY8zqiOhabM_BO6jJ4AaABAg,0,4 years ago,wonderfulness .. what is the best of her life ...,奇妙..她一生中最好的是什么...
49027,UgzFnGJFkoB1iYVoToJ4AaABAg,0,4 years ago,best wishes from russia!!!,俄罗斯的最良好祝愿！！！
49021,UgwOf4O-UtKg065HtSx4AaABAg,0,4 years ago,"u r the best,❤love u",你最好，爱你
48945,UgxPo6kOuA3LFBXzzNN4AaABAg,0,4 years ago,best videos u make awesom grl !! but cannot download ur videos so that i can watch them whenever i find calm so sad about it !,最好的视频，你做得很好！但是无法下载您的视频，以便每当我发现这么镇定时都可以看它们！
48899,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8rJFRbVJ9tm,0,4 years ago,"@magicalkid , best comment!",@MagicalKid，最佳评论！
48813,UgywLldOdjxhJPVhrH14AaABAg,0,4 years ago,delight of chestnut !! all the best!,栗子的喜悦！一切顺利！
48676,UgxR3W6XT4Oet2bJxKd4AaABAg,0,4 years ago,best channel in youtube!,YouTube中的最佳频道！
48603,UgzwEy74mkCuKgIMKJl4AaABAg,0,4 years ago,you are really the most talented and beautiful girl who i have seen i wish you the best of the years i know very happy and healthy and love you,您确实是我见过的最有才华和美丽的女孩
48600,Ugzx7dNBpXTNb7BRL-14AaABAg,0,4 years ago,i've just got some of those brown thingies! the best coincidence that ever happened! xd,我刚刚有一些棕色的东西！有史以来最好的巧合！ XD
48579,UgzNwWvYaFuJ1hhAe4N4AaABAg,0,4 years ago,happy new year ms li. you are a very industrious young lady. your treats look delicious. all the best to you and your grandma in the year of the boar. take care.,新年快乐李女士。你是一个非常勤奋的小姐。您的零食看起来很美味。在野猪的那一年，对您和您的奶奶都处于最佳状态。小心。
48458,UgxlNJdfwQHKwwj-iUJ4AaABAg,0,4 years ago,"loved it, it was the best of all. congratulations on the channel, i look forward to watching new videos.",喜欢它，这是最好的。恭喜频道，我期待观看新视频。
48402,Ugw6BVnVvY0I5utEJgB4AaABAg,0,4 years ago,"ahh your just adorable. our people celebrate new years same time as well, we have our celebration this year next two days. all the best to you in the year ahead",啊，你只是可爱。我们的人民也同时庆祝新年，我们今年将在接下来的两天举行庆祝活动。未来一年对您一切顺利
48074,Ugyd6kOxgtUmrIdtsXx4AaABAg,0,4 years ago,"ziyi is the rhythm of becoming the united nations ambassador, world peace! intersection
everyone, the new year is coming, the thought of thought, happy new year
everybody, best wishes, and happy chinese new year !!! peace and love","子柒，是成为联合国大使的节奏啊，世界和平！！
大家，新年将至，心想事成，新年快乐
Everybody，best wishes, and Happy Chinese New Year!!! Peace and Love"
50663,Ugyk53t4nlJNiFpgnil4AaABAg,0,4 years ago,"one of the best, survival skills cough i mean, video blush",我的意思是最好的生存技巧之一，视频腮红
50697,UgzZTSUhym41TtV8qZt4AaABAg,0,4 years ago (edited),5:55 is the best moment for me. kind and caring act plus your cute reaction. such an adorable girl...,5:55是我的最佳时刻。善良和关怀的行为加上您可爱的反应。如此可爱的女孩...
50798,UgzL2o4__dbstWrlFOR4AaABAg.8qldSLM3jXF8qluxMeMpFq,0,4 years ago,"happy new year this year, i wish you all the best of this year",新年快乐 今年本命年 祝大家本命年都一切顺利
51871,Ugxhz94ELX06mkfmDtF4AaABAg,0,4 years ago,"the splendor of the wonderful living, the best of the world is the world, i live",美好生活的辉煌，世界上最好的是世界，我活着
52682,UgzRuglkJX67nWRd3e54AaABAg,0,4 years ago,waiting is worthfull.. lots of love and best wishes.. keep uploading plz..,等待值得。
52589,UgzU8ddCUmUVirrHZxJ4AaABAg,0,4 years ago,one of your bests!!!!! love yah!,你最好的之一！爱是的！
52472,UgwCRAIqsnhHFQrswM94AaABAg,0,4 years ago,best video ever sis. always wait for the notification to watch your videos.,有史以来最好的视频。始终等待通知观看视频。
52456,UgzIkocUqDCf_GXCHER4AaABAg,0,4 years ago,"best video of the month i watchd
tooo gud ❤","我观看本月的最佳视频
tooo gud❤"
52251,Ugx-8GGMIb8UoYdgitR4AaABAg,0,4 years ago,this is the best video ever..,这是有史以来最好的视频。
52243,UgwkmVgjre2-mTJljO54AaABAg,0,4 years ago,"the best is, really like that one food,",最好的是，真的很喜欢那种食物
52175,Ugx8l4_UaKiix1TY2J54AaABAg,0,4 years ago,best ... from pakistan,最好...来自巴基斯坦
52094,UgxyqYUjv6YPMrTWC9Z4AaABAg,0,4 years ago,"your videos are amazing , it’s total treat to eyes. best wishes from india",您的视频很棒，这是完全享受的眼睛。来自印度的最良好祝愿
52050,Ugy4XgnWMvpV2Oj1jEB4AaABAg,0,4 years ago,best video by far,Far
52046,Ugxq_-6ygwu3V34w-Fd4AaABAg,0,4 years ago,"love ur video so much.
best luck for u","非常喜欢你的视频。
祝你好运"
52004,Ugw8cLASdOVupfuELCR4AaABAg,0,4 years ago,hand made candies are the best. hello from malaysia,手工制作的糖果是最好的。来自马来西亚的您好
51875,UgzJjzzm0AgirezWskN4AaABAg,0,4 years ago,"i love you chinese lady.
best regast from lima, perú in south america.","我爱你中国女士。
来自南美洲佩鲁的利马的最佳回归。"
51836,Ugzl1EfXutGXFcLY2Jp4AaABAg,0,4 years ago,all the best,一切顺利
50831,UgzqkQXUx32NGivo4c14AaABAg,0,4 years ago,all the best for coming year ahead dear❤,亲爱的，最好的即将到来的一年
51758,Ugzgi9BJHuqpNkjQl5d4AaABAg,0,4 years ago,"the best ever,vid",有史以来最好的vid
51612,Ugzq1ubeA4u_7uGRBZF4AaABAg,0,4 years ago,she is the best,她是最好的
51607,UgxcIBPRFBde4DspmW54AaABAg,0,4 years ago,i can't understand your language but i still love you bcz you respect and obey your parents allah bless you friend do yor best,我听不懂你的语言，但我仍然爱你bcz你尊重你，服从你的父母阿拉祝福你的朋友你最好
51576,Ugy24Sv84shXWrQznBN4AaABAg,0,4 years ago,best of my bin,我的垃圾箱最好的
51444,UgzcQaaSK9USBvfSB494AaABAg,0,4 years ago,tet is coming. lunar new is coming. we have a tet holiday in vietnam. best wishes for you all. good luck.,Tet即将到来。 Lunar New即将到来。我们在越南度假。祝大家祝福。祝你好运。
51336,Ugz9-3w4IckykAAH0rN4AaABAg,0,4 years ago,"happy chinese new year, ms li ! 
best of health to grandma!","春节快乐，李女士！
对奶奶最好的健康！"
51317,UgwKFBGX3nYCu82bd614AaABAg,0,4 years ago,"chestnuts are really given the best gifts to humans, fragrant, sweet and pink, so delicious",栗子真是自然赐给人类最好的礼物，又香又甜又粉，实在太美味了
51159,UgxdikmgGsEJ9m1BspN4AaABAg,0,4 years ago,one of your best episode's ever❤❤❤,您有史以来最好的一集之一
51054,UgykY_raJL7EjroMd7F4AaABAg,0,4 years ago,the best episode! ❤️,最好的情节！ ❤️
51016,Ugwsr9ON9AEm2kOguzF4AaABAg,0,4 years ago,"chinese people are very intelligent, even in cooking, can do a variety of ... and chinese people are the first lives in the world to know how to print books ... even the best buddhism is in china. ""wei lower""",中国人非常聪明，即使在烹饪方面也可以做各种……中国人是世界上最早知道如何印刷书籍的生活……甚至最好的佛教在中国也是如此。
50858,UgxfO0FZF1MPixTmZFx4AaABAg,0,4 years ago,happy chinese new year!!! ur really the best even for holidays!!,农历新年快乐！！！您真的是最好的假期！
50840,Ugzn4K5UI7aJ3wcZKNF4AaABAg,0,4 years ago,babushka has the best hats!,Babushka拥有最好的帽子！
48033,UgxoBbXIAfrGOXP0IWF4AaABAg,0,4 years ago,such a wonderful channel in youtube and the best.. u make me calm... thank u for this video,在YouTube和最好的频道中如此出色的频道..您让我冷静...谢谢您的视频
47842,Ugzu8X2ap-b80UPGRkt4AaABAg,0,4 years ago,become my best friend please! :) haha this is incredible!,请成为我最好的朋友！ :)哈哈这太不可思议了！
40159,UgwFTt4gyNiYEGoiNFh4AaABAg,0,4 years ago,i love the way she is living.its simple and best...,我喜欢她的生活方式。它很简单，最好...
47747,UgxnBI4cXmeT37esF314AaABAg,0,4 years ago,my bestfriend videos of all in you tube.. i watched it many many many times repeatedly coz i always save and download your videos.. i love it so much.. i hope i could watch you in person...,我在你管中的所有最好的朋友视频。我多次看了很多次，我总是保存和下载你的视频..我非常喜欢它..我希望我能亲自看你...
44135,Ugw3WinLzrfrHr1SEjR4AaABAg,0,4 years ago,best and best,最好，最好
43976,Ugw-iHEvVFeSaIkW0Jx4AaABAg,0,4 years ago,first time watching.. she's the best! subscribing.,第一次观看..她是最好的！订阅。
43942,UgzIuPHG_UYB1T8yg5J4AaABAg,0,4 years ago,"my new favorite channel. my best wishes for that hardworking girl, you deserve the best.",我最喜欢的频道。我对那个勤奋的女孩的最良好祝愿，你应该得到最好的。
43765,UgxSl5fr6VxIBxvoDeN4AaABAg,0,4 years ago,best recommended youtube !! how beautiful !! what a magician !!! aaaaaaaaaaaaaa this really exists ???,最好的推荐YouTube！多么美丽！真是个魔术师！！！ aaaaaaaaaaaaaaa这真的存在吗？？？
43738,Ugwh_M8Lsfk1gOGlDXl4AaABAg,0,4 years ago,"just love the simplicity of living together with such a beautiful surrounding, nature best, thanks. shalom",只是喜欢与如此美丽的周围环境，自然最好的生活的简单性，谢谢。 Shalom
43300,Ugw3uoTLXDHzAblpYAB4AaABAg,0,4 years ago,the best thing i saw today,我今天看到的最好的东西
43208,UgxaweTLeHqxsyXWrt14AaABAg,0,4 years ago,where to buy this kind of dessert? i want to eat. the best chinese people of processing.,在哪里可以买到这种甜点？我想吃。最好的中国加工人员。
43059,UgygyQ4pBz6fCmxzfuJ4AaABAg,0,4 years ago,xrythelp the very best youtube channel help there is totally free !!! subscribe !!!,Xrythelp最好的YouTube频道帮助完全免费！！！订阅 ！！！
42884,UgyvCtD4GDUaDdJug8t4AaABAg,0,4 years ago,"the best aisha is tired, but sweet",最好的Aisha很累，但是很甜
42533,Ugz45zpAKRCnnyaBXPx4AaABAg,0,4 years ago,"one of the best cooking video ever. smooth with beautiful scenery, soothing music, wonderful people n culture, just amazing♥♥♥",有史以来最好的烹饪视频之一。风景优美，舒缓的音乐，美妙的人文化，令人惊叹的♥♥♥
42412,UgxiKJmKGdmpXqR--694AaABAg,0,4 years ago,best wife,最好的妻子
42183,UgzTV9sQDQGGlTRKZZ54AaABAg,0,4 years ago,after almazan iv seen the other best thing..❤❤❤,在Almazan IV看到另一件事之后。
42060,Ugw9fWVFe23OtCBGPhF4AaABAg,0,4 years ago,"the best, beautiful and good.",最好的，美丽而良好的。
41861,UgytoZdDXuLmlS2UFPp4AaABAg,0,4 years ago,best of luck carry on your duty,祝您好运
41762,UgzbYCXRYQLjzFdQik14AaABAg,0,4 years ago,one of the best places to live.,最好的生活场所之一。
41572,UgzQle-vJBd93ODRz4B4AaABAg,0,4 years ago,cooking chestnuts in catalonia we are the best in the world,加泰罗尼亚烹饪栗子我们是世界上最好的
41565,UgwqrSGunaV3taz9GkR4AaABAg,0,4 years ago,"i love watching you work and cook, very soothing~ and the sounds, best asmr for me x3",我喜欢看着你的工作和做饭，非常舒缓〜和声音，最适合我的ASMR x3
41506,UgwpFKTTYrXclka2dX54AaABAg,0,4 years ago,totality i really like the work he does and the amazing camera light. i support this channel to be a big channel. best quality,我真的很喜欢他所做的工作和惊人的相机灯。我支持这个频道是一个大频道。最好的质量
41501,Ugx8oSe4NEmXrbbE6tx4AaABAg,0,4 years ago,wow. thank you youtube. this is the best recommendation,哇。谢谢YouTube。这是最好的建议
41447,Ugzxt1WUPNqz17zgxT94AaABAg,0,4 years ago,"tears in my eyes.. she is so active and best hard worker...the love between grandma and liziqi is boundary less.... have a blessed life... please help them.they need more care and help from their surroundings....if i were there,i would helped u allot ma",我眼中的泪水..她是如此活跃和最好的勤奋工作...奶奶和利兹基之间的爱是少量的。。。 ....如果我在那里，我会帮助你分配马
41046,UgwnYPdKcYxW94-Ir2x4AaABAg,0,4 years ago,ur the best cook. btw the two dogs r so cute,你最好的厨师。顺便说一句，两只狗是如此可爱
41012,UgwyrsnkqIVdmGswFxl4AaABAg,0,4 years ago,when ur dogs are best friends with a goat lol,当你的狗是最好的朋友与山羊大声笑
40945,UgydwRH8odar3lcrw714AaABAg,0,4 years ago,she's got a gr8 attitude of the best female that's i've ever seen before.,她有我以前见过的最好的女性的GR8态度。
40937,UgyUZxSGEifiLqmJvOR4AaABAg,0,4 years ago,"so sweet beautiful cute pretty ,,lovely very good job,,best off luck gd bless you,,,,",如此甜美美丽的可爱漂亮
