,cid,votes,含best,含best中文翻译
24288,UgwWPdrazAiT8I9ZfCh4AaABAg,0,hi queen liziqi . you still amazing me . how is your grandma ? l hope she is well and you too . i wish to have your address in china if it possible . please accept my best wishes .,嗨，liziqi女王。你仍然很棒。你的祖母怎么样？我希望她也很好，你也是。如果可能的话，我希望在中国有您的地址。请接受我的最良好的祝愿。
1427,Ugx-9ARtsd6s7EWqSUx4AaABAg,0,women are litterly the best thing in this world,女人是这个世界上最好的东西
1373,UgxTw0DnxbAcTrMvx7V4AaABAg,0,"the most disciplined army, i have seen their parade; they are the best soldiers!",最有纪律的军队，我看过他们的游行。他们是最好的士兵！
23692,UgxE9eVwQ6nscCpDO494AaABAg,0,"you wasted the best part of the bamboo shoot that is under the ground, lol",您浪费了地面下的竹芽中最好的部分，大声笑
29017,Ugxutmmf0ZixEz0xvWx4AaABAg,0,"sometimes it’s not very clear wether she is tutoring or just simply recording the process of her cooking bunch of delicious (and much spicy) meals, with hints. but nah, who cares. i still enjoy watching her doing what she does best, just as much as you do, dont you?",有时，她在辅导时不太清楚，或者只是简单地录制了她烹饪一堆美味（和辣的饭菜）的过程，并带有提示。但是不在乎的不。我仍然喜欢看着她做她最擅长的事情，就像你一样，不是吗？
26591,UgyoX1jw2rePyU-xu6R4AaABAg,0,"you have the most beautiful life, one which i would say most want including myself. i wish you be best and watching your channel gives me a sense of peace which i normally don't have. so thank you very much.",您拥有最美丽的生活，我会说最想包括我自己的生活。我希望您能保持良好，看着您的频道给我一种和平感，我通常没有。所以非常感谢。
27058,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yqZEYk9qj9,0,"@kianrobinson1476 i agree 
she showing the best of the true traditions, of daily life, that while lifes hard it has its joys","@kianrobinson1476我同意
她展示了真正的真正传统，日常生活的最好的传统，尽管生命艰难，但它带有快乐"
31740,UgxkHVu4WIiZpmwErfV4AaABAg,0,"seriously, this channel is the best !!! 
it's help you relaxing so much .. it really helps me to release my stress.. omg !","说真的，这个频道是最好的！！！ 
这可以帮助您放松很多。.确实可以帮助我释放压力..天哪！"
31799,Ugw73Y_8EUSPFZURpnd4AaABAg,0,im late but you always the best,我迟到了，但你总是最好的
31922,UgzyfyDV5HTm-4EzDo94AaABAg,0,you know she is enjoying her meal at her best when she lifted her leg up heheheheheh,你知道当她抬起腿时，她尽力而为
32167,UgweIG6paXaxMw0eP994AaABAg,0,in a time when a lot of bad things are happening in the world watching your peaceful videos are the best thing. i don't even eat any of those foods but the message you are sending us is what i'm hear for. thank you.,在世界上观看和平视频的许多坏事发生的时候，最好的事情是最好的事情。我什至不吃任何这些食物，但是您向我们发送的信息是我所听到的。谢谢。
32254,Ugy0g_Ffg5eGzRRJyxh4AaABAg,0,"how much peace do you convey in these videos. congratulations and best wishes. i'm here from brazil, it's very very very life. beautiful kisses.",您在这些视频中传达了多少和平。祝贺和良好的祝愿。我来自巴西，这是非常非常的生活。美丽的吻。
32379,UgxyAQrSp3ngxxJTi-J4AaABAg,0,lard and butter are the best! no vegetable ouls...,猪油和黄油是最好的！没有蔬菜粉...
32525,UgxgvEfDqYw4AiygYGp4AaABAg,0,i love u sister you are the bestest naturecooking in the world,我爱你姐姐，你是世界上最好的自然录制
454,Ugw52sTu_p-pFZ683Oh4AaABAg,0,happy with your channel ... i have a hard time coming to your channel ... i am always your video ... it's the best ...,对您的频道感到满意...我很难进入您的频道...我一直是您的视频...这是最好的...
32782,Ugxl8z58Wtj5YoK8PhV4AaABAg,0,yes!!! 2 videos in one week! best week evaaa!!,是的！！！一周内的2个视频！最好的一周evaaa！
32854,Ugzsj5VLKKS_iRtu31d4AaABAg,0,"no one is the best in the cover, and you can cut a plant casually",封面图没有人最好，随便截个植物都好
33071,UgzMar61f4iQNDmhIKd4AaABAg,0,liziqi sensi is the best . who with me✋ ?,Liziqi Sensi是最好的。谁和我在一起？
33134,UgzebPqoXjFW_picaKB4AaABAg,0,are you best and are you great,你是最好的吗，你很棒吗
33236,UgxHA7-WPr8zkvKn7YR4AaABAg,0,wow ur the best,哇，你最好的
401,UgwxFV2gSREkP5_qbyZ4AaABAg,0,the best,最好的
33350,Ugx8YfhPM9GvHqytJ4l4AaABAg,0,in northeast part of india we lothas are best known for bamboo shoot..,在印度的东北部，我们洛萨（Lothas）最著名的是竹芽。
33433,UgzJRbdwJvl0ifBfclJ4AaABAg,0,"good jump frogy, best like sure li",好的跳跃，最好像确定的li
33776,UgyR_UT4RvJAvpnPYqx4AaABAg,0,"best channel on utube, hands down",utube上的最佳频道，放下手
33826,Ugzpb3H9r397ilrv6jJ4AaABAg,0,the best working,最好的工作
34008,UgwT0ma26x_EMeIVYyl4AaABAg,0,"the idea, sealing food off from the air around using water at the edge of the pot, is scientifically the perfect solution.. chinese were always good at thinking ""best and fast way to solve a problem"" . combined with a beautyful women cooking the most delicious food.. awesome.. so . stay awesome !",这个想法是，在锅边缘的水上用水将食物从空中关闭，这是科学的解决方案。中国人总是擅长思考“解决问题的最佳和快速方法”。再加上一个美丽的女人烹饪最美味的食物..太棒了..所以。保持好状况 ！
34049,UgzMyL0UzaOjA7ejzkp4AaABAg,0,"so i am a huge fan of super-woman li ziqi, i've managed to get my parents addicted, also. this episode, again so beautiful, and i'm watching as i'm eating a slightly burned hotdog that started a small fire in my toaster oven tonight. so. that. every episode i am so fixated on the pummelo tree right by the house. where i live these are imported and was only get them in the winter, only a couple stores carry them, do it's just hard to find them, and often they are old, and dried out, or they were picked too soon and just don't ripen the way i like best. at best i might get 6 or so in a year. and they are no where near as big as the ones growing outside the front door. i hope no one is standing there if one falls, it looks like it would knock you out, cold. are there others that like this fruit and have a hard time finding them?",因此，我是超级女性Li Ziqi的忠实拥护者，我也设法使我的父母上瘾了。这一集又是如此美丽，我正在看着我吃了一个有点燃烧的热狗，今晚在我的烤箱里开始了小火。所以。那。我的每一集都被固定在房子的Pummelo树上。我住的地方是进口的，只有在冬天才能将它们拿到，只有几家商店携带它们，很难找到它们，而且常常是老的，又干了，或者被挑选得太早了，只是不穿' T以我最喜欢的方式成熟。充其量我可能会在一年内得到6个左右。而且，它们的大小不像前门外面的那样大。我希望没有人站在那儿，如果一个人跌倒，看起来它会把你撞倒，冷。还有其他喜欢这种水果并且很难找到它们吗？
34190,UgxPStDYKnw_rtwBCEp4AaABAg,0,best of best sister ♥️,最好的最好的姐姐♥谢
34439,UgxxENn_cvWyOWqdB3p4AaABAg.8yUU7_MLN0y8yUUY2XnYzm,0,"there is a difference, the winter bamboo shoots are small, the summer bamboo shoots are springing, this is summer bamboo shoots. essence but winter bamboo shoots are the best",有区别，冬笋小，夏笋跟春笋大，这是夏笋。。 但是冬笋最好吃
34498,UgwUYjijIU0AyriA8Pd4AaABAg,0,"she is the asia best village culture and organic food youtuber no one is like her, she show reality of hard work daily routine of village life no edit. she is soooooo real. luv u from india",她是亚洲最好的乡村文化和有机食品YouTuber没人像她一样，她展示了辛勤工作的乡村生活日常工作的现实，没有编辑。她是真实的。来自印度的爱情
34715,UgwOq5MbhS5srD_aaGJ4AaABAg,0,"come on, the best.",加油，最棒的。
34782,UgxGiQ48U9FBssC5gGR4AaABAg,0,"in indonesia ... to win, the ears in the ear, the softener, bean long ... best foods",在印度尼西亚...为了获胜，耳朵在耳朵中，软化剂，​​豆长...最好的食物
35156,UgxP1XWowIUT4cEr4PB4AaABAg,0,my favourite bamboo shoots with chicken and dry fried bamboo shoots are best.,我最喜欢用鸡肉和干炸竹芽的竹芽。
35188,Ugzl1r95yU6-idoSTKd4AaABAg,0,"i like the sour, hot and spicy taste best.","I like the sour, hot and spicy taste best.超爱螺蛳粉"
548,UgwS5IkJI2aC47FivKp4AaABAg,0,the best youtube channel of all time youtube history.,YouTube历史上有史以来最好的YouTube频道。
31697,UgyUa300Xg2J_8lGNMZ4AaABAg,0,you are the best,你是最好的
784,Ugzk8E070Tn8UUdi4Ch4AaABAg,0,best fast,最好的快
29698,UgzvuNZ8qm46n4CLjY14AaABAg,0,this is the best content in yt i love this channel and lizi <3,这是我喜欢这个频道和lizi <3的最佳内容
27144,UgzRzJ5a49orlhEdIz14AaABAg,0,"i am egyptian, living in egypt's largest city and the best place, but i think there is no comfort and good life, just like rural life, i think it can make a lot of money, because youtube can move from rural to the largest place in china, but the people living in these places are more pure and purified one of the most beautiful channels of so many best shots

wǒ shì āijí rén, shēnghuó zài āijí zuìdà de chéngshì hé zuì hǎo dìfāng, dàn wǒ rènwéi méiyǒu shūshì hé měihǎo de shēnghu, jiù xiàng nóngcūn de shēnghuó yīyàng, wǒ rènwéi tā kěyǐ zhuàn qǔnduō qián, yīnwèi youtube kěyǐ cóng nóngcūn bān dào zhōngguó zuìdà dì dìfāng, dàn shēnghuó zài zhèxiē dìfāng de rén gèngjiā ch centralized ngdào zhī yī","我是埃及人，生活在埃及最大的城市和最好的地方，但我认为没有舒适和美好的生活，就像农村的生活一样，我认为它可以赚取很多钱，因为YouTube可以从农村搬到中国最大的地方，但生活在这些地方的人更加纯净和净化了这么多最佳镜头之一最美的通道之一

Wǒ shì āijí rén, shēnghuó zài āijí zuìdà de chéngshì hé zuì hǎo dì dìfāng, dàn wǒ rènwéi méiyǒu shūshì hé měihǎo de shēnghuó, jiù xiàng nóngcūn de shēnghuó yīyàng, wǒ rènwéi tā kěyǐ zhuàn qǔ hěnduō qián, yīnwèi YouTube kěyǐ cóng nóngcūn bān dào zhōngguó zuìdà dì dìfāng, dàn shēnghuó zài zhèxiē dìfāng de rén gèngjiā chúnjìng hé jìnghuàle zhème duō zuì jiā jìngtóu zhī yī zuìměi de tōngdào zhī yī"
27475,UgyZ3AfyOCl5IgGc-cp4AaABAg.8yeOjhy9Yee8ym69cLmUVZ,0,"minsik ‘s haha, best comment ever!!!",Minsik的哈哈，有史以来最好的评论！！！
27835,Ugzb02cMMjH5o1n9bXJ4AaABAg,0,i swear here the best girl,我在这里发誓最好的女孩
27859,UgxlpUkHwaU8Wl9ybsZ4AaABAg,0,she is the best chinese girl,她是最好的中国女孩
27956,UgwcL7pl3k4GFsOKdSx4AaABAg.8yaXhsSK3yD8yic5ExmA1h,0,best explained. i agree with you.,最好的解释。我同意你的看法。
28149,UgyR-JRN1QhmOHpcSCt4AaABAg.8y_EJw7w6TO8ycHA5MSM9K,0,"im from indonesia, i love it too. sweet bamboo shoots with coconut milk & shrimps, the best!",我来自印度尼西亚，我也喜欢它。甜美的竹芽与椰奶和虾，最好！
1212,UgwFskIK1u5OsVJ3vtV4AaABAg,0,nature alwalys gives your best,大自然alwalys尽力而为
28968,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9DBdhE4i3eW,0,it your memory problem or maybe you are not best shafe,它是您的记忆问题，或者您不是最好的保障
21550,UgwC5k9bX53-d9QYNdN4AaABAg,0,best channel aver,最佳频道平均
29164,UgwvKG5UHbHwjO0-se14AaABAg,0,"you are not only beautiful but are one of the best cook as well, you will be a wonderful wife for one of the luckiest man in the world. all the best with your future young lady.",您不仅美丽，而且也是最好的厨师之一，您将成为世界上最幸运的男人之一的出色妻子。与您未来的年轻女士在一起的一切都很好。
986,UgwghOHfyCs9vuyh6PN4AaABAg,0,japanese vk ships are still the best,日本VK船仍然是最好的
29595,UgwIwMF2Uo7miRkBWWx4AaABAg,0,she's livin her best life,她过着最好的生活
29821,Ugw1Y_zDOZuB4iMPMwN4AaABAg,0,li ziqi is the best of the best,李齐（Li Ziqi）是最好的
31660,Ugy4huOJfS5CxT8Kdsp4AaABAg,0,"the best girl is the best in the world, is so slender",最好的女孩是世界上最好的，是如此苗条
29908,UgxNyaOlUGPtgm1Ns1V4AaABAg,0,"we love watching this youtube channel, so relaxing. the best of its breed.",我们喜欢看这个YouTube频道，所以放松了。最好的品种。
29993,UgwMTMg7p_Amn84ke6R4AaABAg,0,the best channel in youtube!,YouTube最好的频道！
30040,UgwYTgygFlamORI8Y-14AaABAg,0,relax while enjoy your appetizing and artful way you handle food and plants - the best way. thank you so much for each what you show to all of us viewers.,放松身心，享受您处理食物和植物的开胃和巧妙的方式 - 最好的方法。非常感谢您向我们所有人展示的内容。
30285,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw391rF6QaX5-S,0,we all do hope she is well...and i am sure li ziqi takes best care of her❤,我们都希望她一切都好...而且我相信李Ziqi会尽力照顾她。
30383,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39BAodi1mGfK,0,this dish is the best,这道菜是最好的
30617,Ugwr7t81zknF9TEQXat4AaABAg,0,you are very hardworking love your videos wanna live at your place best of luck dear,您非常努力地爱您的视频，想在您的位置最好的好运，亲爱的
30845,UgwwmLZN35BdkinPBOh4AaABAg,0,"grandma is so cute, i also want to eat snail powder! but i think purslane is the best. the action of your tweets is really chic, and my grandpa is surprised!",奶奶好可爱，也想吃螺蛳粉！不过我觉得马齿苋最好吃。你扯马齿苋的动作是真的潇洒，我一老爷们也大吃一惊！
30870,UgxZcishzq9RBBS88Mp4AaABAg,0,i like that bamboo tree field she so lucky which can live near best view like this and so love her too,我喜欢那个竹树田，她是如此幸运，可以像这样的最佳景色，所以也爱她
30963,UgxeyZq3FKUPeWIXvKN4AaABAg,0,"i have a good suggestion. you can buy a mavic 2 pro or zoom. this is the best aerial drone on the market. the video effect will be better and less time to clip.
www //. dji.com","我有一个很好的建议、 你可以买一个Mavic 2 Pro or zoom , 这是市面上最好的一种航拍无人机、 最重要的它有跟踪任何人或事物进行任何角度的跟拍、而视频效果会更好、剪贴的时间会更少。
www//.Dji.com"
30969,Ugy69QaQVO_MkO8zYnV4AaABAg,0,ziyi is the best!,子柒最棒！
31079,UgyXmNZaGP7wB7rJspR4AaABAg,0,the best interpretation of anju leye,安居乐业的最好诠释
31631,Ugw__1rVukZOW4BAK9p4AaABAg,0,"best chef cooking , watch this video at night , i can't sleep",最好的厨师烹饪，晚上看这个视频，我无法睡觉
2196,UgxF-ynJ-rgPsz3PmbZ4AaABAg,0,i wanna go live with her and be her best friend shoot this is.heaven on earth.,我想和她一起生活，成为她最好的朋友拍摄的。
5505,UgyBpycoKAaPYfLQJvp4AaABAg,0,you are the best,你是最棒的
21547,UgwDwwbA2IskhYt4kl54AaABAg.9-kZRsfI1139-m76MRMIwT,0,"best food video watch and share 
https://www.youtube.com/watch?v=h1kfdbomlie","最佳食品视频观看和分享
https://www.youtube.com/watch?v=h1kfdbomlie"
21451,UgyIMWXC88j4IMFkKdF4AaABAg,0,she is the best chef in the world for me ! love every of her vedio,对我来说，她是世界上最好的厨师！爱她的每一个vedio
10104,UgzjRP9MwE-YqPqKFZ54AaABAg,0,i am very happy to have found one of the best videos can be sure. it will not have a culinary chief of the seamstress. you and complete there is a singer i keep imagining ok you don't fans ... i love you a hug to your grandma admire them ..,我很高兴找到最好的视频之一可以肯定。它将没有裁缝师的烹饪负责人。你和完成的是我一直想像的歌手，好吧，你不粉丝...我爱你一个拥抱你的奶奶。
10277,Ugxl-XqsW6fKwAU9iMh4AaABAg,0,"how does she do it .
she can cook so much food .
everything she find in the woods she can cook .and it look so delicious to .i enjoy it so much watching her cooking all those things and making all those hand craft to .she the best .and she knows a lot about herbs and others stuff.its amazing","她怎么做。
她可以做很多食物。
她在树林里发现的一切都可以做饭。看起来很美味。我非常喜欢她，看着她烹饪所有这些东西，并使所有这些手工制作到最好的。她对草药和其他东西都了解很多。它很棒"
10395,Ugxo9ke_7YPUjApxuUt4AaABAg,0,she living the best life,她过着最好的生活
10400,UgwDO9T4wfpsD7YGp0d4AaABAg,0,the best wife. smart and best chef for your family,最好的妻子。聪明，最好的厨师为您的家人
5020,UgwB-1SNj56awa6RSSV4AaABAg,0,happy new year lizi. all the best for you and your grandmother long life.๐๐,新年快乐丽兹。对您和您的祖母长寿而言是最好的。
4800,Ugxqx4rvd1ENDU1yJot4AaABAg,0,i saw other ladiesctry to copy your but no one can like yours ..you are best,我看到其他女士要复制你的，但没人能喜欢你的..你是最好的
10908,UgyOunSdEVLr3mr6Xzt4AaABAg,0,"this is the best place for quarantine..
lots of fresh foods and ingredients are abundant in this place...mother nature...","这是隔离的最佳场所。
许多新鲜食物和成分在这个地方很丰富...大自然..."
10977,UgxLGVFt3tqKqcxr9h14AaABAg,0,"best, don't sub.",最好，不要
4699,UgyRinKyneWTx26XZF94AaABAg,0,"o allah, bless our prophet muhammad, upon him the best prayers and complete delivery",阿拉啊，祝福我们的先知穆罕默德，在他身上最好的祈祷和完整的交付
11531,UgwM52748-q_hylKMH14AaABAg,0,"these two eat better than restaurant's meals without spending money, the best parts they don't get fat!",这两个饮食比餐厅的饭菜更好，而无需花钱，这是他们不会胖的最好的零件！
4320,Ugx0vPJwN7jFkvI5KC54AaABAg,0,you are the best,你是最棒的
11534,Ugzsu4BQNrXo77IwWJt4AaABAg,0,u r the best liziqi,最好的liziqi
11616,UgzpAlV8WoKdu0Rkazp4AaABAg,0,you're the best.,你是最好的。
11655,UgxPuw-afYWBViMQVdp4AaABAg,0,"already beautiful, the work of the best pok me",已经很漂亮，最好的pok me
11744,Ugy3mdaz1AbJEdvOHQV4AaABAg,0,proof that the best things are in the simplest,证明最好的事情是最简单的
11816,Ugxnnk8-1g7DUVAdEdt4AaABAg,0,"assalamualikum,

dear friend,

this is dipu from dhaka bangladesh. currently doing work for humanity & try to help very poor people who are very shameful & unable to ask for help to manage their food, medicine etc for live. in this regard looking your cooperation & please share this massage to others as if they can participate like you.

best regards
dipukhorshed@gmail.com
01552495549(bkash number)
account number:114.101.0147800(dutch bangla bank)","Assalamualikum，

亲爱的朋友，

这是来自孟加拉国达卡的Dipu。目前为人类工作，并试图帮助非常可耻的人，无法寻求帮助以管理自己的食物，药物等。在这方面，看着您的合作，请与他人分享这种按摩，就像他们可以像您一样参与。

此致
dipukhorshed@gmail.com
01552495549（bkash编号）
帐号：114.101.0147800（荷兰孟加拉银行）"
11854,UgzABZn6fskJH8dfXoR4AaABAg,0,"too good, it is the best girl",太好了，这是最好的女孩
12155,Ugz2VmNYHkPLkYwoYOV4AaABAg,0,that is the best video i have seen ever! best camera man ever,那是我见过的最好的视频！有史以来最好的相机人
12273,UgxY6xz4Ys6KfINK00t4AaABAg,0,"life in country side is the best, it requires a lot of parience and hard work but less stress. i was once a farm girl moved to different country, if only i could turn back time, i’d like to live the life she is living. i like to pick fresh vegetables and cook them.",乡村生活是最好的，需要大量的偏好和辛勤工作，但压力减轻了。我曾经是一个农场女孩搬到不同的国家，如果我能回来的时间，我想过她的生活。我喜欢挑选新鲜蔬菜并烹饪。
12341,UgyzWsRVh-_JyvRzGSF4AaABAg,0,"excellent ang thong hom, pickled vegetables, bamboo shoots through the cold battle, rawi fah, new day, green root, green ji, beautiful sun screening beautiful sky, dragons. good, good life, but the best of the best, beautiful, the smell of grass roots",优秀的Ang Thong Hom，腌蔬菜，竹芽通过寒冷的战斗，Rawi Fah，New Day，Green Root，Green JI，美丽的阳光放映美丽的天空，龙。美好，美好的生活，但最好的，美丽，草根的气味
12617,UgwOyVwrL6IG3czGjoV4AaABAg,0,"wua ge does that too..have you all checked him out yet ??
best youtube ever!!","wua ge也这样做..你们所有人都检查了他吗？
有史以来最好的YouTube！"
12663,UgzpAaSBBltv35qF7d14AaABAg.96RqvjyNAfA96XlKeSUjlj,0,her name is liziqi. she can do anything and everything! best time to binge her videos now.,她的名字叫liziqi。她可以做任何事情！现在狂欢她的视频的最佳时间。
12900,UgymuEgaaS2-cEEYbU94AaABAg,0,the cheeky captions are the best! keep em coming!,厚脸皮的标题是最好的！继续来！
13031,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96tQnm_upY2,0,"the best of both worlds then the precmsent technological advances in comunication, health care is a must for human survivaval coupled with worryless life in habitats like this, 
well i hate life in the city,, and prefer places like this but cant relinquish some of the mordern stuff


stuff we can do is, denouncing plastic, trying to grow stuffs for own food, and planting more trees, more lakes","在两全其美的情况下，最好的卫生保健是人类的预先技术进步，以及在这样的栖息地中的无忧生活，这是一个必不可少的生活。
好吧，我讨厌这座城市的生活，更喜欢这样的地方，但不能放弃一些Mordern的东西


我们能做的就是谴责塑料，试图种植自己的食物，种植更多的树木，更多的湖泊"
13074,UgyulP9EaDQqUITZ-wB4AaABAg,0,best meal ever no need to spend a dime,最好的饭菜无需花一毛钱
13194,Ugyjvk4pU2ZNv16KbzJ4AaABAg,0,"good, the best food",好，最好的食物
13397,UgyXPhW5wqwWIoBe0Yt4AaABAg,0,li ziyi's snail powder is best delicious,李子柒家的螺蛳粉最好吃了
10054,UgyjN8jXgCIPHd7olA14AaABAg,0,ur the best cooking,你最好的烹饪
9804,Ugz7OVvOrPOAxzptEUh4AaABAg,0,"hello lisky, you make a very good video, congratulations on congratulations are still the best",你好利斯基你使非常好的视频，你祝贺仍然是最好的
5100,UgwJqq2pBVyV3i5VRHB4AaABAg,0,liziqi is the best,liziqi是最好的
6815,UgxbZFhxINnrBo0dejN4AaABAg,0,"all the best for you , , ๐ค—๐",最适合您，
5745,UgwRZ9cFWCBjOy-c0nh4AaABAg,0,best,最好的
5765,UgwxpT789p_NgBLw_6F4AaABAg,0,jiajia ... the beauty of more beautiful people is beautiful and beautiful. let you! eat hard and be the best ... truly make the beauty of chinese culture really made the same way!,佳佳...多美的名呀人美性情也美真是天性使然完全不做作，妳的孝顺、知足、惜福、感恩...一切一切都是良善的演示，温、良、恭、俭、让非妳莫属！吃得苦苦方为人上人...真正的把中华文化之美给实实在在地做出来好样的！
