,cid,votes,time,含chinese,含chinese中文翻译
31999,UgwJAMCJR1d95jDxBbR4AaABAg,0,3 years ago,after watching her videos i have realised that chinese people cant be die due to hunger because they eat everything they know how to use things as a food they can survive in every condition,观看了她的视频后，我意识到中国人不能因饥饿而死，因为他们吃了他们知道如何将事物用作食物可以在各种情况下生存的一切
30772,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yXD7nGbhao,0,3 years ago,then you speak chinese. essence well. essence the two people are here in english,那你们说中文啊。。唉。。两国人在这尬英文
21812,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL90dRdq3FHAR,0,3 years ago,"china welcome friends from all the world。
li ziqi's life is traditional chinese life。
this nature with people.","中国欢迎来自世界全世界的朋友。
李Ziqi的生活是中国传统生活。
这种天性与人。"
30725,Ugw1nI4bF2z_Bw3zrUF4AaABAg,0,3 years ago,the chinese will never die from hunger,中国人永远不会因饥饿而死
22174,Ugz6inusdqleH9TxHEd4AaABAg,0,3 years ago,"looking at the comments, they are all foreigners. as the chinese, i also come to the top. it is really beautiful and very chinese.",看评论，都是外国人，我作为中国人也来顶一下，拍得确实很有美感，很有中国风。
22235,UgxJAbjQSLDXShA0L8x4AaABAg,0,3 years ago,"you vietsub can vietsub the chinese characters appear on the video and the material c can do it. as for her actions, i still see it, i don't need to act, let me feel myself.",您的vietsub可以在视频中出现中文字符，材料C可以做到。至于她的行为，我仍然看到它，我不需要采取行动，让我感到自己。
22230,Ugy1uHPHsBWvkqLgFf14AaABAg,0,3 years ago,one of the daily life of traditional chinese people reminds me of taohuayuanji,传统中国人日常生活的一种，让我想起了桃花源记
31375,Ugz1I8IVDaSZ28ZBANJ4AaABAg.8yVFWEkdlqa8yWCGB_gG09,0,3 years ago,"the ""brick home"" in taiwan was wrong. chinese talents abroad can't afford tea eggs and mustard. a pack of mustard 6 yuan rmb, a pack of snail lion powder 50 yuan rmb, can’t afford it,",台湾“砖家”说错了，在国外的中国人才是穷的吃不起茶叶蛋和榨菜了，一包榨菜6元RMB，一包螺狮粉50元RMB，吃不起啊
22347,UgzS2zd1DF-bAqp_BZ94AaABAg,0,3 years ago (edited),people are always wandering why chinese people look so good and why they are so thin look at what they eat its soo healthy. we should take an example from this!,人们总是在徘徊，为什么中国人看起来如此出色，以及为什么他们如此稀薄地看着自己吃得健康的东西。我们应该以此为例！
31402,UgzLM3vTg7STWW-rq7J4AaABAg.8yVF9nBBg318yWTHfCFy_p,0,3 years ago,"sister, please write something in english so that everyone can understand.. because somebody we are can't read or write chinese.. so we can't be satisfied your reply that what you write to us...",姐姐，请用英语写点东西，以便每个人都能理解..因为我们无法阅读或写中文。
31241,Ugy88lcuYbTdkGjTLQd4AaABAg.8yVIYh-PYqP8yVO0aMdhTC,0,3 years ago,i think chinese goverment is making this chanel.,我认为中国政府正在制造这一香奈儿。
31445,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVhKT62kmJ,0,3 years ago,"@fayrosa this video uploaded in chinese website bilibili few days ago, so that channel steal and upload. this channel is the only one official in youtube.",@fayrosa几天前在中国网站Bilibili上载了此视频，因此频道窃取和上传。该频道是YouTube中唯一的官员。
22891,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-QaCshm9r3,0,3 years ago,chinese traditional farming life,中国传统农耕生活
22353,UgzS2zd1DF-bAqp_BZ94AaABAg.9-5TswH7kDl9-5sBgmac0h,0,3 years ago,chinese,中国人
32196,UgwKdnTDugqvPXCpp6V4AaABAg,0,3 years ago,chinese peiople can eat anything,中国皮可以吃任何东西
31329,UgxXu74l6BJ8vYAUhsV4AaABAg,0,3 years ago,the beauty of chinese civilization is conveyed to the world. i only saw 300w fans last time. now it is 500 w+. it ’s great! | • '-' •) و✧,向世界传递着中华文明之美，上次看才300w粉丝，现在居然500 w+了，好厉害呀！|•'-'•)و✧
31491,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18ymIMne6swp,0,3 years ago,"franz peters https://b23.tv/av62513709 this is the link.compared to watching these in youtube,many chinese fans prefer watching in chinese video app,because chinese app is much better to use.",弗朗兹·彼得斯（Franz Peters）https://b23.tv/av62513709这是Link.com在YouTube中观看这些内容的链接，许多中国粉丝更喜欢在中文视频应用中观看，因为中文应用程序更好。
31328,Ugxo31yoPchpr2igTqB4AaABAg,0,3 years ago,the beauty of chinese civilization is conveyed to the world. i only saw 300w fans last time. now it is 500 w+. it ’s great! | • '-' •) و✧,向世界传递着中华文明之美，上次看才300w粉丝，现在居然500 w+了，好厉害呀！|•'-'•)و✧
31494,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yw7ksFW7mt,0,3 years ago,@lasergames1798 its not available in china. chinese people watch her videos on weibo,@lasergames1798在中国不可用。中国人在微博上观看她的视频
22644,UgzMeGVKAo0wfcVL-JV4AaABAg,0,3 years ago,i can't tell if this is a chinese soap opera or just regular people uploading youtube videos. the resolution is insane.,我无法判断这是中国肥皂剧还是只是普通人上传YouTube视频。分辨率是疯狂的。
31310,UgzXQYzcTkKG0Of_cbp4AaABAg.8yVH1gVI3h98yWxYZNdGO5,0,3 years ago,i see chinese!,我看见的是中文呀！
22524,Ugy52jz_JMe6yJCuauh4AaABAg,0,3 years ago,"7.6k disliked her or her videos must be jealousy chinese city girls lol. these are fantastic videos you people must learn from her. she’s very famous in the worlds, especially in the us",7.6k不喜欢她或她的视频一定是嫉妒的中国城市女孩大声笑。这些是您必须向她学习的很棒的视频。她在世界上非常有名，尤其是在美国
31543,UgzOG38pD8WiFH58PRJ4AaABAg,0,3 years ago,"hey, there is no chinese comment!",哎，咋没华人评论呢！
31633,Ugxilzd7GsQtOj9UMQF4AaABAg,0,3 years ago,"please give english subtitles 
somebody doesn't know chinese","请给英文字幕
有人不认识中国人"
22286,UgzpJ3dSrdEE4eL7fIZ4AaABAg,0,3 years ago,"ziyi, you are really great, i don't think any chinese have so much attention in youtube. let everyone watch such a comfortable video. there must be a lot of hard work. distressed",子柒，你真的太棒了， 我想不到任何中国人在youtube有这么大的关注度。 让大家看的这么舒心的视频。其中也一定夹杂着很多辛勤。 心疼
22283,Ugyw1ajCfnkSqtb-Ko54AaABAg.9-7Xe_R7Thm9-BVvot2_da,0,3 years ago,"skinny but powerful, chinese cuisine offer nutritions not calories, sugar, fat.",瘦而有力的中国美食提供营养而不是卡路里，糖，脂肪。
22239,Ugy4-9f2Lv-hzGeRfzt4AaABAg,0,3 years ago,chinese?,中国人？
23133,UgwXg_EBzPrVn1F8i2R4AaABAg.8zqL3FI2gSj8zs13FJH4yl,0,3 years ago,"when you make up for yourself, let's control yourself, this chinese -style japanese. essence essence do you want to be a japanese?",论装逼先管管自己吧，这中式日语。。。想当日本人想疯了吧？
23145,UgzQS2Ho6_BVHSYVni54AaABAg,0,3 years ago,"very chinese style, praise 很",很有中国风的味道，赞
28268,Ugw-VJKFIU2ovtlkfL14AaABAg,0,3 years ago (edited),"man, here i thought i satisfied my latest cravings for snail noodles.... and i can only order instant pack ones t.t no authentic chinese ingridient shops or restaurants that would sell these around where i live gdi",伙计，在这里，我以为我满足了我对蜗牛面条的最新渴望。...我只能订购即时包装的，没有正宗的中国内政商店或餐馆，这些商店或餐馆会在我住的地方出售这些商店
32970,UgzLpRo7j0-CW7XZcsV4AaABAg,0,3 years ago,"ooo the food, that's why chinese people live longer",哦，食物，这就是中国人寿命更长的原因
32225,UgyJPwM80aY6Jwc628V4AaABAg,0,3 years ago,"who is vietsub miscellaneous? which paragraph has the word or the chinese speaker, the sub -translation is dc, stuffed the whole subtitles into the itchy eye.",谁是vietsub杂项？哪个段落具有单词或中文的说话者，子翻译为DC，将整个字幕塞入痒眼中。
34164,UgxaIV73ZD3cYWfr2lV4AaABAg,0,3 years ago,as always is a little chinese. and very well! arigator!,一如既往的中国人。很好！货币人！
20252,Ugx67u2dlK6rDomf7Yx4AaABAg,0,3 years ago,the traditional beauty of chinese women is reflected in you. the kitchen in the hall is not all vases. whoever can marry you is happiness.,中国女人的传统美在你身上得到了体现，上得厅堂下得厨房，长的漂亮也不都是花瓶，谁能娶到你才是幸福。
20273,UgyHf5Q40-z8893IWCV4AaABAg,0,3 years ago,wow chinese girls irajin and very creative enterprise,中国女孩伊拉金和非常有创造力的企业
20328,Ugyj-1nlsyGFTjdFlJR4AaABAg.90ysOTB4IMD91_X2-8mj52,0,3 years ago,"hi xue chen, guangzhou and hong kong called wind furnace, can be used after burning with clay sculpture kiln. the wall thickness is tied to the wire without the reinforcement of the wire. in 2017, i couldn't see it in the store in hong kong, and i might replace the steel. my hometown has decades old, cracked, and repaired with wire cement. chinese towns may be sold. i don't live in asia, i don't know.","Hi Xue Chen, 广州及香港叫风炉，泥塑窑烧后可用。壁厚，不用铁丝内嵌加固而外绑铁丝防塌。 2017我去香港见不到店里卖，可能给钢铁造的取代了。我老家有个几十年老的，裂了，用铁丝水泥修好。中国乡镇可能有卖。我不住在亚洲， 不清楚。"
34383,UgzQlwnkOfkRE0FNLGR4AaABAg,0,3 years ago,the first chinese comment?,第一个中文评论？
34374,Ugy-OipTRxPhF7unCcl4AaABAg,0,3 years ago,"i sometimes forget how genius some chinese inventions are. for example, the water around the pot rim is actually there for an airtight seal. it's ingenious!",我有时会忘记一些中国发明的天才。例如，锅轮辋周围的水实际上是在那里密封的。这很巧妙！
34285,UgwK0wtV0w6_pYqPJc94AaABAg,0,3 years ago (edited),i don't even understand their language. p.s. i am chinese,我什至不了解他们的语言。 P.S.我是中国人
34194,Ugz4ew0MHg_jas8BSDN4AaABAg,0,3 years ago (edited),"if you got a chinese grocery store nearby , you may find simplified version of this water snail soup rice noodle, which smells weird because of the fermented bamboo shoots, but taste really good. it is called luo si fen in chinese, and written as 螺蛳粉.",如果您附近有一家中国杂货店，您可能会发现此水蜗牛汤米面的简化版本，由于发酵的竹芽，它的味道很奇怪，但味道真的很好。它被称为中文的Luo si fen，并将其写成螺蛳粉。
34150,UgyHxHqA66okHaL_m5J4AaABAg,0,3 years ago (edited),"i think it's one of the fake chinese government channel to make you think china is great. 
free tibet","我认为这是中国政府频道之一，使您认为中国很棒。
免费西藏"
32371,UgxHrpF8FQeeEcny9RZ4AaABAg.8yUvWVoA0jA8ya0S6A2qGu,0,3 years ago,@erichin888 they are chinese students paid by chinese gouvernment who have to watch the videos. no chinese person really likes her boring long videos.,@erichin888他们是中国式薪酬的中国学生，必须观看视频。没有中国人真的喜欢她无聊的长期视频。
34008,UgwT0ma26x_EMeIVYyl4AaABAg,0,3 years ago,"the idea, sealing food off from the air around using water at the edge of the pot, is scientifically the perfect solution.. chinese were always good at thinking ""best and fast way to solve a problem"" . combined with a beautyful women cooking the most delicious food.. awesome.. so . stay awesome !",这个想法是，在锅边缘的水上用水将食物从空中关闭，这是科学的解决方案。中国人总是擅长思考“解决问题的最佳和快速方法”。再加上一个美丽的女人烹饪最美味的食物..太棒了..所以。保持好状况 ！
20490,Ugz36fYBYosTrTzauMR4AaABAg,0,3 years ago,this is why im love in chinese,这就是为什么我爱中文
20528,UgwWK04uJ-36wmoiQTF4AaABAg,0,3 years ago,why am i hooked to chinese culture?,我为什么要迷恋中国文化？
20603,UgxIxqOuCRYoNM1KCxR4AaABAg,0,3 years ago,"i have eaten snail powder, but not like this. it's not home making, my chinese friend it. and she said, i probably wouldn't like it because it's stinky, very ugly. but when eating, it's delicious","我吃过了螺蛳粉， but not like this. It's not home made, my Chinese friend bought it. And she said, i probably wouldn't like it because it's stinky,很丑。不过吃时，很好吃"
33925,UgwgUrQsTirRXboccZZ4AaABAg,0,3 years ago,where is the chinese comment,中国评论在哪里
33904,UgyfwoljusQhqe5m5RR4AaABAg,0,3 years ago,each frame of qiye's film is the most artistic chinese style,柒爷的影片每一帧都是艺术 中国风到极致
20649,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91Ti699v0ft,0,3 years ago,"jacky phantom when you refer to chinese people as a group and accusing everyone entitled to this identity with things done by a portion of this group, you are discriminating like no other. god bless you with your double standard towards yourself.",Jacky Phantom将中国人称为一群人，并指责每个人都有该小组中一部分人所做的事情有权获得这种身份时，您会像其他人一样歧视。上帝保佑您对自己的双重标准。
34412,UgxmUgPIUrAYXWmsvqB4AaABAg,0,3 years ago,"chinese princes love you,bravo. greece athens",中国王子爱你，布拉沃。希腊雅典
34496,UgxwllT_2BtvCOQumVF4AaABAg,0,3 years ago,scholarship on overseas chinese! intersection intersection stingy,对海外华人的精神攻击呀！！！馋死了
20191,UgwbaT4DSGVzFoMpRTd4AaABAg,0,3 years ago,"look, arabs, what the chinese eat, as we have become a lot of eating meat like lions, so we missed our doctors",看，阿拉伯人，中国人吃的东西，因为我们已经变得像狮子一样多吃肉，所以我们错过了医生
34530,UgyM5AvLiToTY5SrUx94AaABAg,0,3 years ago,"chinese comments are gathered here, and the comment area has been dominated by foreign languages. essence essence essence",中文评论在这里集合了，评论区都被外语霸屏了。。。。
35360,Ugz1sIYY5K8sxHEOe7d4AaABAg.8yURijziNDU8yUTfEsRFc5,0,3 years ago,@vikamao751 tq for 'ur information ☺️ sorry i really doesn't know chinese name ✌️,@vikamao751 tq for'ur信息☺️对不起，我真的不知道中文名字✌️
35285,Ugz1saQYG9C0SUUi5BZ4AaABAg.8yURoPrINdo90O8za0eHGU,0,3 years ago,"@franzpeters3824 emm, strongly recommend u to log onto bilibili. com which is a chinese 'youtube', it's one of the channel for people to well know about china nowadays. because chinese don't always use youtube, which make people outside of china can't really have a chance to know about chinese. u are welcome to take a trip here.",@franzpeters3824 emm，强烈建议您登录比利比利。 com是中国的“ YouTube”，这是人们当今人们对中国有充分了解的渠道之一。因为中国人并不总是使用YouTube，这使中国以外的人真的没有机会了解中国人。欢迎您在这里旅行。
35281,Ugz1saQYG9C0SUUi5BZ4AaABAg.8yURoPrINdo8ya1dY6g5sA,0,3 years ago,@syahrulra3303 she cannot film herself. chinese gouvernment provides a camera man and cutter.,@syahrulra3303她无法拍摄自己。中国壁炉提供了一个相机的人和切割机。
35139,Ugz6ZQJpVgsTq1Qxhct4AaABAg,0,3 years ago,the collection of the chinese circle,中文圈的集合啦
35137,UgzRAHQKdA4NqR9ZUNF4AaABAg.8yUS0PKQNDT8yUUgVqRVWA,0,3 years ago,"and they are all foreign languages, and there is no place for chinese messages!",而且都是外语，中文留言没有立锥之地了！
34846,UgzyJCRW5a43Bp3Ko7p4AaABAg,0,3 years ago,chinese goddessssss i love your videos. kisses from brazil,中国女神我喜欢你的视频。巴西的吻
34779,UgxBzv3DRPy1vQZjDQJ4AaABAg,0,3 years ago,i can't understand chinese words...plz post in english also...tq,我听不懂中文单词...也用英语帖子... TQ
20006,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9ZCDXZ_blwO,0,1 year ago,"some people think it’s too staged, too fake. however, she openly admits there is a production team behind the whole thing. watch it as a reality show or cooking show. it’s beautiful and relaxing. don’t assume it’s a documentary of any ordinary chinese country. it is not, and she never claimed it to be.",有些人认为它太伪造了。但是，她公开承认整个事情背后都有一个生产团队。将其视为真人秀或烹饪节目。美丽而轻松。不要以为这是任何普通的中国国家的纪录片。不是，她从来没有声称这是。
20081,Ugxx0-6ESqWs0z4jwm94AaABAg,0,3 years ago,"it will apologize more here in my cities there are chinese living where they have bars snack. moreover, you showed the menu everything passed more those snails god that free me. i won't make a point of approaching them because of the beautiful chinese i saw and smile at me, no! . never mind! let it eat snail even if the tussian cow. no!",它将在我的城市道歉，那里有中国居住，那里有酒吧小吃。此外，您向菜单展示了一切都通过了更多的蜗牛上帝，使我释放了我。由于我看到的美丽中国人并对我微笑，我不会与他们接触，不！ 。没关系！即使杜​​斯牛也要吃蜗牛。不！
34724,UgwBwDQUBrqv-ceuvMx4AaABAg,0,3 years ago,"liziqui, i became a hardcore fan, i kept watching your video until the end, because i learned some knowledge about chinese cuisine",liziqui我成了一个铁杆粉丝，我一直看着你的视频，直到最后，因为我学到了一些关于中国菜的知识
20094,Ugw2XbPAPcUuZTI7fvJ4AaABAg,0,3 years ago,chinese propaganda!,中国宣传！
20112,UgygE8hrn3kIVWrvBIB4AaABAg.91AK85UY2wG92LfekV8hcp,0,3 years ago,chinese?,中国人？
20117,UgzXoiSooFkBOHCU6ft4AaABAg.91AJmqniyI791TuzW8qx9g,0,3 years ago,welcome to learn chinese :),欢迎学中文 ：)
20170,UgxOjUIaIrhGH5wdg714AaABAg.9198YN3CB6i92CsSQBnlS0,0,3 years ago,"@wolfjr5219 it seems you reside in the western hemisphere. i think the 1 to 2 million students outside china in comparison to lao wais of 5.6 billion, these many chinese comments are over the average proportionate representation.",@wolfjr5219似乎您居住在西半球。我认为，与56亿的老挝人相比，中国以外的1至200万学生，这些中国的评论平均比例代表。
34616,Ugyt6byGBsMbKGaiKiV4AaABAg.8yUTWAnSN2D8zj5WArV729,0,3 years ago,lohrii pfoze that's incredible! we southern chinese also love some stir-fried snails in companion with our beer!,Lohrii Pfoze令人难以置信！我们南方中国人也喜欢啤酒中的一些炒蜗牛！
20655,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91p3aTk0EKF,0,3 years ago,"ooi yew sing thanks for science. in fact, including many countries including this brother, unless they are chinese, they seem to have rarely a natural favor for the chinese ... so i especially hope that more cultural output about china has more cultural output. ziyi happened to play this role by chance, but the world is big, this is not enough, alas.",Ooi Yew Sing 感谢科普。其实包括这位兄弟在内好多各国的网民，除非自己是华人，否则似乎很少有对中国人有天然的好感的……所以我特别希望关于中国的有感染力的文化输出更多一些。子柒偶然之中起到了这样的作用，但世界之大，这点还不够吧，唉。
20716,Ugwq2KyC2TKsQjm0INh4AaABAg,0,3 years ago,it turns out that the chinese also eat pickled beans. i used to love to buy cans in the supermarket in europe.,原来中国人也吃腌渍豆子 我以前在欧洲很爱在超市买腌渍系列的罐头
33901,UgxcL-mkFiXxxFjCkHx4AaABAg,0,3 years ago,chinese eating habits is jus like northeast in india.. we eat all this same way of cooking.. love it.. i missed my home town after watching ur video,中国饮食习惯就像印度的东北一样。我们吃了所有同样的烹饪方式。
33008,UgylbtAVEnnfasnHujB4AaABAg,0,3 years ago,add english subtitles! don't know chinese!,添加英文字幕！不知道中国人！
23382,UgzV-GNotIrfBoqDoVh4AaABAg,0,3 years ago,the fine tradition of chinese culture can only be deeply appreciated by the chinese people of the mainland. we must be more prosperous and strong.,中华文化的优良传统，只有大陆中国人民才可以深刻体会，加油中国人我们一定会更加繁荣富强。
32965,UgyEZ9WSwZA4UOJkU3N4AaABAg,0,3 years ago,i have to like because i am a chinese and i am talentless,我必须喜欢，因为我是中国人，而且我没有才华
32909,UgwulIHn0Isb_JCqvm94AaABAg,0,3 years ago,is this mandarin chinese?,这是普通话吗？
21514,Ugy5LQPMmdnWznGKp9h4AaABAg,0,3 years ago,"watching again , love it !! saw your interview with your chinese funs, you looked great",再次看，爱它！看到了您对中国乐趣的采访，您看起来很棒
32689,UgzW1Ii8eTEgVbkmXM94AaABAg,0,3 years ago,chinese people make attractive food.,中国人做有吸引力的食物。
21596,UgwqrY9otjWLiIVgExB4AaABAg,0,3 years ago,"nice production, as far as chinese-trying-to-channel-japanese goes, but this is simply not the ""rural china"" is like. no one - and i mean, no one - in china keeps their place their rural kitchen and places this clean.",就中国的渠道 - 日本人而言，这是不错的制作，但这根本不是“中国农村”。没有人 - 我的意思是，没有人 - 在中国将他们的乡村厨房保留下来，并将其整洁。
21623,UgxtKVOdufQVZ_cmMzB4AaABAg,0,3 years ago,these chinese are crazy,这些中国人疯了
21721,UgwTgK96K67wf6K8P9Z4AaABAg,0,3 years ago,thats why i admire chinese cuisine.. very natural when it comes to food but it so rich in flavor with instant spices.,这就是为什么我欣赏中国美食的原因..在食物方面非常自然，但瞬间香料的风味如此丰富。
21736,Ugz7omM8bTknqGLUQKd4AaABAg,0,3 years ago,such professional recording in a remote village showing simplicity of chinese village ... looks like a beautiful advertisement. people in marketing know what i am talking about!,这种在一个偏远村庄的专业录音显示了中国村庄的简单性...看起来像是一个美丽的广告。市场营销人员知道我在说什么！
32611,UgwhjwX4soOlpbY0nbJ4AaABAg,0,3 years ago,liziqi truly is a chinese princess ❤,利兹奇确实是中国公主❤
21783,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9WDjg4527va,0,1 year ago,"~* chinese vloggers similar to liziqi:
dianxi xiaoge little brother | anxiaolu an xiaolu | longmeimei longmei |
grandpa amu grandpa amu | laotai arui old tai arui | summer kitchen xia kitchen chen 20 |
ermichuiyan two -meter cooking smoke | ms miao office channel miaomei jiu yang official channel

~* liziqi's popular background music:
cloud blow | april sakura | sakura march | begonia sleep | august 23 | always with me |
lovesickness ocarina | accel world bye bye | lough leane | sudden
it's better not to read | cicada banxia | huai ancient legacy | hometown story | tao lin | new year's eve | in the past | mo yu","~* Chinese vloggers similar to Liziqi: 
Dianxi Xiaoge 滇西小哥 | AnXiaoLu 安小鹿 | LongMeiMei 龙梅梅 | 
Grandpa Amu 阿木爷爷 | Laotai Arui 老台阿瑞 | Summer Kitchen 夏厨陈二十 | 
ErmiChuiyan 二米炊烟 | Ms Miao Official Channel 苗妹九秧官方频道 

~* Liziqi's popular background music: 
云吹动 | 四月樱花 | 樱花三月 | 海棠未眠 | August 23 | Always with Me | 
Lovesickness Ocarina | Accel World Bye Bye | Lough Leane | 忽如一夜梨花开 | 
不如不念 | 蝉鸣半夏 | 淮古遗殇 | 故乡物语 | 桃林 | 除夕 | 昔年 | 墨雨"
32562,UgzmLmR1j-9pl7LLAeh4AaABAg,0,3 years ago,"who vietsub this video? vietsub is like pants. i know chinese, do it. knowing that i have helped but ignorant enthusiastically sabotage it",谁vietsub这个视频？ Vietsub就像裤子。我知道中国人，做。知道我有帮助，但热情地破坏了它
32400,Ugxn3R-hIjO52AMCQdF4AaABAg.8yUuqL11n1L8yVHLDE752r,0,3 years ago,amiesparkle00 she does not make a list but there’s chinese name of each ingredient also the name of the each dish when they appear.... this is the only video without translation i’ve seen maybe the english version will come out soon btw i do not like the smell of luosifen,AmiesParkle00她没有列出列表，但是每种成分的中文名称也是每道菜的名称。...这是我看过的唯一没有翻译的视频，也许英语版本可能很快就会出现不像luosifen的气味
32381,Ugx7Gz7gcvS5nrwGxLl4AaABAg,0,3 years ago,please make a chinese cakes .,请做一个中国蛋糕。
32373,UgxHrpF8FQeeEcny9RZ4AaABAg.8yUvWVoA0jA8yzCwDuWvA3,0,3 years ago,franz peters who said there was no chinese?her microblog fans subscribe to 17.7 million.this is achinese platform,弗朗兹·彼得斯（Franz Peters）说没有中文？她的微博客粉丝订阅1.77亿
33004,UgzAyR_anFS_axYPmQV4AaABAg,0,3 years ago,a li ziyi's external output of chinese culture and the shape of the positive image of the chinese people are better than a set of large foreign propaganda,一个李子柒 对中国文化的对外输出 和 国人正面形象的塑造，胜过一整套大外宣
21185,Ugy73jG4FKsBuKCodIZ4AaABAg,0,3 years ago,"this is ancient chinese life, hehehe",这是中国古代生活嘿嘿嘿
33829,Ugzni-ekbHhSZLUASaV4AaABAg,0,3 years ago,#1 waifu at it again. yamato nadeshiko but chinese. fuck the ccp,＃1 waifu再次。 Yamato Nadeshiko，但中国人。操CCP
21096,UgwI--vwhvAJQ4z5UsF4AaABAg.90GeoHnEWg790_couWMeCz,0,3 years ago,iam myowntrash it’s actually one type of music with some chinese instruments and also piano,iam myowntrash实际上是一种带有中文乐器和钢琴的音乐
20733,UgyZsqJ5NRVFvqSEiz14AaABAg,0,3 years ago,chinese people also eat noodles and eat them. feeling a little closer,中国人也吃面条并吃。感觉更近一点
33807,UgzQcL7SmF8sw_c4JQR4AaABAg,0,3 years ago,she still lovely chinese girl,她仍然可爱的中国女孩
33799,UgyS-83ZfCy53Emy6Vl4AaABAg,0,3 years ago (edited),"beautiful and terrible at the same time. everything that grows and moves is eaten .... if you think about how many people will walk like this in forests, fields, ponds and collect all this, break off .... this is what an intervention is in a wildlife .... fear of the chinese the expansion in the far east is justified. after them there remains a naked desert .....",美丽而可怕。一切都会成长和移动。...如果您想到有多少人会在森林，田野，池塘和收集所有这些中这样行走，从而破裂....这是对野生动物的干预。...害怕在中国人中，远东地区的扩张是合理的。在他们之后，还有一个裸露的沙漠.....
20736,UgyZsqJ5NRVFvqSEiz14AaABAg.90Zivl2rbUO90aOhP-mjTh,0,3 years ago,i don't know how your thoughts have come. chinese like eating noodles,我不知道你的想法是怎么来的。中国人喜欢吃面条
33700,UgygFYrcDn9AVlMyZ8t4AaABAg,0,3 years ago,all these food i see at the chinese buffet but grow on one property,我在中国自助餐中看到的所有这些食物，但在一个物业上生长
33623,UgwgJI_d3X2-fbuX-mt4AaABAg,0,3 years ago,not all chinese eat dogs.,并非所有中国吃狗。
20737,UgyZsqJ5NRVFvqSEiz14AaABAg.90Zivl2rbUO90btM_9Y-Q4,0,3 years ago,"@lphilip488 i know that chinese like noodles, but i was relieved that it was not so because some people avoid ""making a sound and siping noodles"" as bad manners.",@lphilip488我知道中国人喜欢面条，但是我感到欣慰的不是这样，因为有些人避免了“发出声音和s饮面条”，就像糟糕的举止一样。
20818,UgxsT1n1G9lBVDVfoEN4AaABAg,0,3 years ago,those chinese are strange. eat even weeds like volvora ...,那些中国人很奇怪。什至杂草等沃尔沃拉...
20854,UgwN-WuJg4BZRuVLiLt4AaABAg,0,3 years ago,"this amazing playback volume scared me, i feel that ziyi promotes chinese culture!",这惊人的播放量吓到我了，感觉子柒弘扬中国文化！
33231,UgwZp4UHtwXq8dpkIKR4AaABAg,0,3 years ago,chinese good daughter -in -law,中华好媳妇
20990,Ugwk7_OGW6VOhTdTRpl4AaABAg,0,3 years ago,very good chinese girl,很好的中国女孩
33171,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV38E96KLg,0,3 years ago,she isn’t vietnam....she’s chinese girl. we are look alike but not the same....,她不是越南。...她是中国女孩。我们看起来像一样，但不一样....
33116,UgwrPe0r1Z9NLkInBxZ4AaABAg,0,3 years ago,except chinese table legs eats everything. ancient japanese saying that still applies to!,除了中国桌子腿不吃东西。古老的日语说仍然适用于！
21038,UgwSjN9hENNOqXllYyR4AaABAg,0,3 years ago,the chinese people cook anything,中国人做饭
33103,UgwAnp_Eiz00Irzd9J54AaABAg,0,3 years ago,chinese fairy tale. princess in the palace.,中国童话。宫殿中的公主。
23310,UgzIaXkAAlmYHpDHZrV4AaABAg.8zmPtILpokq8zzWHXYHkDR,0,3 years ago,"@liuwei1877 thanks for the reply! i tried snail once, but it was from the ocean. next time i will try the chinese type from the river.",@liuwei1877感谢您的答复！我尝试过一次蜗牛，但它来自海洋。下次我将尝试从河中进行中国类型。
23711,UgwEcgEL5sAhPO_tnvN4AaABAg,0,3 years ago,"actually, you guys can buy this luosifen in chinese groceries. disclaimer: cook this alone at home or warn your roommates before. the picked baby bamboo has a special smell and they may think you can boiling sh*t. once you get used to it, you cannot stop it.",实际上，你们可以用中国杂货购买此Luosifen。免责声明：在家中单独烹饪或以前警告您的室友。采摘的婴儿竹子有特殊的气味，他们可能认为您可以煮沸。一旦习惯了它，就无法阻止它。
30698,UgwqaMwXggT2HbDU8AN4AaABAg,0,3 years ago,so i've been watching some of her videos now and i love them. but i can't help but ask if she is married or not. dont in chinese tradition do they have kids to pass on the culture?,所以我现在一直在看她的一些视频，我爱他们。但是我不禁问她是否结婚。他们不以中国的传统有孩子来传递这种文化吗？
28809,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97xJ8Ks2K2P,0,3 years ago,"​ @franzpeters3824 then i would like to say that you can not even a chinese, is really demanding, which who can do everything, you are jealous",@franzpeters3824，然后我想说你甚至都不是中文，真的很要求，谁能做到一切，你嫉妒
