,cid,votes,含chinese,含chinese中文翻译
44930,UgzjlEAx8o_GbVufKb54AaABAg,0,"wow, what a chinese))",哇，什么中国人））
52028,UgzjTdHz29ApFXY_EGd4AaABAg,0,this is the chinese comment you are looking for,这是你们要找的中文评论
52021,UgxPWoHkk2TdWjIAfiR4AaABAg,0,chinese new years... happy new year.. from indonesia...,农历新年...新年快乐..来自印度尼西亚...
45306,Ugz6CP37Hw4fUKfj43l4AaABAg,0,"your videos are divine! i love this!!
happy chinese new year","您的视频是神圣的！我喜欢这个！！
农历新年快乐"
48100,UgzQ0ZHjeB3O_R4NCvV4AaABAg.8qnTOIGXokZ8qqKYE7Tqr8,0,"@chihacthien-gs9lk is also asian ""happy lunar new year"" on weibo by the people who are cursed by the people because it must be ""chinese new year"", so i think vietnamese people should also show a little patriotic attitude, by using it. tet holiday for example.
ps, though serious, but the culture creates the country, from everyday words. small, as on the world map they write ""east sea"" is the sea ""south china"", and that is the issue of sovereignty, right? i am not very political, but even though i am very admiring chinese culture, like to listen to chinese music, watch chinese movies, read love language, watch happy camp, love luo and hoa than vu. but that is only a good aspect that we see. if you have seen some chinese films about the vietnamese border war, you will see the filmmaker misrepresented and made your country (no matter how bad he won) and china lost in the english position. how is hung. it is just a movie, not to mention education or economics. so hope you sympathize if you seem serious the problem. ♡ (∩o∩) ♡ i just want to be honored in china and vietnam.","@chihacthien-gs9lk也是亚洲人
PS虽然很严重，但文化是用日常言语创造的。小规模，就像世界地图上一样，他们写着“东海”是“中国南海”，这就是主权的问题，对吗？我不是很政治性，但是即使我非常欣赏中国文化，喜欢听中文音乐，看中文电影，阅读爱情语言，观看快乐的营地，爱情lu和hoa，而不是vu。但这只是我们看到的一个好方面。如果您看过一些有关越南边境战争的中国电影，您会看到电影制片人歪曲了陈述，并使您的国家（无论他赢得多么糟糕）和中国在英国职位上迷失方向。这只是一部电影，更不用说教育或经济学了。因此，如果您似乎很严重，希望您同情您。我只想在中国和越南获得荣誉。"
45308,UgxJJ8MvNjOigiZLfeB4AaABAg,0,happy chinese new year from malaysia,马来西亚的农历新年快乐
50933,UgzDrHrOZnBSre-jMNt4AaABAg,0,"oh, if we can understand chinese ☺ well, my fan is the labor you made",哦，如果我们能理解中文☺好吧，我的粉丝是你所做的劳动
47839,UgwQGRMmZfVij7firKt4AaABAg.8qnrFsrYv518qolURSLykx,0,"don't worry about puppies. in rural china, dogs play guards rather than pets. so the chinese should not let them eat too much, lying on the ground and getting fat. instead, the state of fullness at seven o'clock can improve the dog's dependence and loyalty to humans. in cities, more and more pet cats stop catching mice because humans feed them too much. it only accelerates their instincts.",不要担心小狗。在中国农村，狗扮演守卫而不是宠物的角色。所以中国人不要让他们吃得太多，躺在地上变胖。相反，七点饱腹感的状态可以改善狗对人类的依赖和忠诚。在城市中，越来越多的宠物猫停止捕捉老鼠，因为人类过多喂养它们。它只会加速他们本能的退化。
51138,UgxEEul9DgnNBfz3mEF4AaABAg,0,happy chinese new year,农历新年快乐
47820,UgzXdqHJLYtQEpEbdyx4AaABAg,0,"when i began seeing li ziqi latest video, it read 1,183,628 views and i saw it 2x and 20 minutes later it read 1,185,748 views, that says something about how we who have subscribe to her channel want to see her latest video so much, oh! and in less than 22 hours she has 1,185,748 views, that is amazing. \( >_<)/ happy chinese new year!!","当我开始观看Li Ziqi的最新视频时，它读了1,183,628次观看次数，我看到了2倍，20分钟后，它阅读了1,185,748次观看次数，这说明了我们如何订阅她的频道的我们如何看她的最新视频，哦！在不到22个小时的时间里，她有1,185,748次观看次数，这真是太神奇了。 \（> _ <）/农历新年快乐！"
51154,UgxTM9XRZryfQaVpJkh4AaABAg,0,i can't understand chinese but is this preparation for chinese new year? i really love your video!!!,我听不懂中文，但是这是为农历新年做准备吗？我真的很喜欢你的视频！！！
50108,UgyrIPA8dgIwj2nFvTR4AaABAg,0,"happy chinese new year to you. im so amazed with your videos, pls upload more",春节快乐给你。我对您的视频感到惊讶，请上传更多
45742,Ugx3zbLpFHV3QAAwszh4AaABAg,0,happy chinese new year !!! happy new year !!!,Happy Chinese New Year!!!新年快乐!!!
50107,Ugz08Y_ddr_KNA3SNbR4AaABAg,0,she really manages to show the beauty of rural chinese lifestyle. i know it is not 100% realistic but the essence is there. really nice work refining chinese culture in these high quality videos!,她确实设法展示了中国农村生活方式的美丽。我知道这不是100％现实的，但本质在那里。在这些高质量的视频中，非常出色的工作精炼中国文化！
47767,UgxHQAIS6Azjq6_uDph4AaABAg,0,happy chinese new year.. love from malaysia.. we also celebrated in our country,农历新年快乐..来自马来西亚的爱..我们也在我们的国家庆祝
45761,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r3PeQ1dMXI,0,"@supercat1969 okay, point taken. as i said earlier, i have no control over what another person thinks. that's their prerogative. in any case, if i wanted to do it, youtube probably wouldn't be that platform. all the videos that i have seen have a certain narrative robot, unlike a lot of other channels on youtube that are about similar concepts. maybe it's just her style. i don't have airs about myself that i would added people without being asked about things that i was trying to get more information on. i understand that my comment has sparked a certain loyal sentiment from the fans, but please look beyond that. i wanted information, and i tried to get it from this community because well, they do know a lot about it. and i was right. something, as a non chinese, a person who doesn't use weibo, wouldn't know. i wished there would be a more understanding response, but i was wrong i guess. anyway, my purpose is not to hurt the artist or the fans, as i said earlier. but people only take offense when their information is different from others, instead of just trying to inform. think about it.",@supercat1969好吧，点了。正如我之前说的那样，我无法控制别人的想法。那是他们的特权。无论如何，如果我想这样做，YouTube可能不是那个平台。我看到的所有视频都有某种叙事机器人，与YouTube上许多其他有关类似概念的频道不同。也许只是她的风格。我没有关于自己的播音，我会添加人们，而不会被问到我试图获取更多信息的事情。我知道我的评论引发了粉丝的某种忠诚情绪，但请超越。我想要信息，并且我试图从这个社区获得信息，因为他们确实对此一无所知。我是对的。作为非中国人，不使用微博的人，某些东西不知道。我希望会有更多的理解回答，但是我想我错了。无论如何，我的目的是不伤害艺术家或粉丝，正如我之前说的那样。但是，只有当人们的信息与他人不同时，人们只会冒犯，而不仅仅是试图告知。考虑一下。
47750,Ugwi22OY8j4CuHPJQOx4AaABAg,0,wow. thanks god youtube recommend your video on me.. i've watch your videos on facebook and i can't search you on you tube because its in chinese writing.. i really love your videos..its very amazing unique.... i'm from philippines...,哇。谢谢上帝youtube推荐您的视频。我在Facebook上观看了您的视频，我无法在您的管子上搜索您，因为它是中文写作的..我真的很喜欢您的视频..它非常了不起。我来自菲律宾...
51730,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8u0DGn10uV5,0,dexter morgan this is chinese new year，ok？,德克斯特·摩根（Dexter Morgan）这是农历新年，好的？
45768,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9LsiHdSCf,0,"@designqq8905 hmm. okay, i see where my comment singed you. let me make it clear that you are reading a lot of things into it. no, i don't mean that if i see a joint project by china, i should jump to the conclusion that it is propaganda. that's your interpretation, i hope that you will admit your mistake when you see it. because that's not what i meant. 
when i said, 'knowing i shouldn't, if you are right....', i meant that i wouldn't disrespect or disregard or be ignorant of the hurt it might cause people who know the truth, whatever it may be, since i have no access to it, which is why, the former comment was followed by my desire of confirmation. don't conveniently choose to see one part and ignore the other. 
i can see your point that the subtitles are inconsistently strewn over videos, and had it been truly propaganda, it would have been differently so. wish you had said it sooner. 
as for me asking you to read the thread, i truly believed you didn't. since your comment about semantics was wrongly placed. i was talking about my language. however, i didn't mean to condescend to you, and if you felt bad about it, then i apologize. hope you will accept it. if you feel that, that was my intention, let me assure you it wasn't. and no, i don't mean that just because you belong from china, i see all chinese people that way. you have absolutely no grounds to base that upon. i merely enquired about it. and i am having a reasonably calm discussion with a stranger on a dangerous virtual platform, does that indicate that i am putting everyone in the same category? as for technology, i know for a fact that she has an imac, a professional editing machine. she edits her own videos. before you twist that as well, let me make it clear that she doesn't do it on her phone, is all i am saying. i can't help but feel like a lot of your feelings about my comments are culled from your perception of how the world sees china. and please stop seeing it from the angle that i am criticizing her videos. i can't press enough on the fact that i never did. i am very glad to know that she is a positive source of inspiration for the people of china. so please, i insist you stop dragging that cat through the mortar. i have been courteous to you, and apologized if your sentiments were hurt. i will have to request you stop misinterpreting my every word. and you did read things that you wanted to read. since i didn't mean them, i know i am speaking the truth. 
yes, every country does try to promote itself, and i will wager that a lot of it is actually propaganda. my country does it, so does the others. the difference is that the people have a right to prove them wrong on a public platform. we have the right to criticize them openly and call them on their misrepresentation. and here, the remark is about the government, not your culture or people. 
finally, i will reiterate that my intention was not to hurt your feelings. you think there was an ulterior motive. there wasn't. you think that i think the apples don't fall far from the tree. i don't. and my deduction was just that, presence of a crew. that could indicate a joint project of a political nature, but in this case, as you rightly suggested, it doesn't, since the subtitles are spare. 

now, i am tired of explaining things again and again. i hope you understand. and good day.","@DesignQQQ8905 hmm。好吧，我看到我的评论在哪里唱歌。让我清楚地表明您正在阅读很多东西。不，我并不是说，如果我看到中国的联合项目，我应该得出这样的结论：这是宣传。那是您的解释，希望您在看到错误时会承认自己的错误。因为那不是我的意思。
当我说：“知道我不应该，如果你对... ，由于我无法访问它，这就是为什么，前者的评论之后是我对确认的愿望。不要方便地选择看到一部分而忽略另一部分。
我可以看到您的观点是，字幕在视频上不一致，如果确实是宣传，那将是不同的。希望您早日说。
至于我要你阅读线程，我真的相信你没有。由于您对语义的评论被错误地放置了。我在谈论我的语言。但是，我并不是要屈服于您，如果您对此感到难过，那我深表歉意。希望你会接受。如果您觉得那是我的意图，让我向您保证不是。不，我并不是说仅仅因为您属于中国，我都会看到所有中国人。您绝对没有理由以此为基础。我只是询问它。而且我正在与一个危险的虚拟平台上的陌生人进行相当平静的讨论，这是否表明我将每个人都属于同一类别？至于技术，我知道她拥有一台专业编辑机器的iMac。她编辑自己的视频。我只说，在您扭转这一点之前，让我清楚地表明她不在手机上做到这一点。我忍不住想像您对世界如何看待中国的看法，您对我的评论的许多感觉都被淘汰了。并且请不要从我批评她的视频的角度看到它。我从未做过的事实不足。我很高兴知道她是中国人民的积极灵感。所以，我坚持要你停止将那只猫拖到砂浆上。我对你很有礼貌，如果你的情绪受伤，道歉。我将不得不要求您停止误解我的每个单词。您确实阅读了想阅读的东西。由于我不是他们的意思，所以我知道我在说实话。
是的，每个国家都试图提升自己，我会敢打赌，其中很多实际上都是宣传。我的国家也这样做，其他人也这样做。不同之处在于，人们有权在公共平台上证明他们是错误的。我们有权公开批评他们，并致电他们的虚假陈述。在这里，言论是关于政府的，而不是您的文化或人民。
最后，我将重申我的意图不是伤害您的感受。您认为存在别有用心。没有。您认为我认为苹果不会落在树上。我不。我的推论就是，船员的存在。这可能表明一个政治性质的联合项目，但是在这种情况下，正如您正确建议的那样，这不是，因为字幕是备用的。

现在，我厌倦了一次又一次的解释。我希望你明白。和美好的一天。"
47702,UgzNPBXpVoaBRVjXfBF4AaABAg,0,do you chinese cook so much oil? it's hard to eat,你们中国人煮饭都用那么多食用油吗？很难吃阿
47686,Ugzl5fVEyQIJ0MUCOwF4AaABAg,0,"happy new year, happy chinese new year.",大家新年快乐，Happy chinese new year.
45798,UgxyF6EtxppIRP5tSul4AaABAg.8r-zcZtw6-O8r5Ej4ZapBi,0,"sreerag sr if you get a noble award someday, then you will have a chance to get chinese nationality.",Sreerag SR如果您有一天获得贵族奖，那么您将有机会获得中国国籍。
47683,UgwvAtqpJbW7SYC1ABN4AaABAg,0,memories of all chinese people,全体中国人的回忆
45851,UgzrtQDx9C_PCuqtJPp4AaABAg.8r-ToPzAgO28rD40uXz6wZ,0,"@ssomms2361 ""youtube was first blocked in china for several months from october 16, 2007[20] to march 22, 2008.[21] it was blocked again from march 24, 2009, although a foreign ministry spokesperson would neither confirm nor deny whether youtube had been blocked.[22] since then, youtube is not accessible from china.[23] however, youtube can still be accessed in hong kong, macau, and taiwan. it could also be accessed in the shanghai free trade zone, and specific hotels.[24] since 2018, if the term ""youtube"" was searched on baidu, a text ""according to local regulations and policies, some results cannot be shown"" will be displayed. even though youtube is blocked under the great firewall, many chinese media including cctv have their official youtube account. in spite of the ban, alexa ranks youtube as the 11th most visited website in china.""

i do research on wiki and then that's what i got.
you can check: https://en.wikipedia.org/wiki/censorship_of_youtube","@SSOMMS2361“ YouTube从2007年10月16日[20]到2008年3月22日在中国首次被阻塞了几个月。[21]它从2009年3月24日再次被阻止，尽管外交部发言人既不确认也不否认是否确认YouTube已被阻止。[22]从那以后，YouTube无法从中国访问。[23]但是，在香港，澳门和台湾仍然可以访问YouTube。它也可以在上海自由贸易区和特定的酒店。[24]自2018年以来，如果在Baidu上搜索了“ YouTube”一词，则根据当地法规和政策，将显示一些结果。包括CCTV在内的许多中国媒体都有其官方YouTube帐户。尽管禁令，Alexa仍将YouTube排名中国第11个网站。”

我对Wiki进行研究，然后我得到了。
您可以检查：https：//en.wikipedia.org/wiki/censorship_of_youtube"
45859,UgyRhIJo_GcguKpAMAp4AaABAg,0,happy chinese new year ！,农历新年快乐！
45867,UgyrQe08sLCo1GBfKSV4AaABAg,0,ziyi is good for chinese new year,子柒过年好
51728,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8rQPQp6-EX_,0,"@d3x5t4r i first heard that vietnam has a history of 5000 years... although all vietnamese history is recorded in chinese characters, hahaha, this video will tell you how long vietnamese history in internationally recognized.stop your boring nationalist history.
https://www.youtube.com/watch?v=ymi5uv5cgu4&t=3s","@d3x5t4r我首先听说越南有5000年的历史……尽管所有越南历史都记录在汉字，哈哈哈，但该视频将告诉您在国际上认可的越南历史多长时间。
https://www.youtube.com/watch?v=ymi5uv5cgu4&t=3s"
45957,UgwNhWMzGZ_qPsIpq9J4AaABAg,0,"happy new year
happy chinese new year","新年快乐呀
Happy Chinese new year"
45974,UgxubRkRIXHCLXER_xp4AaABAg,0,happy chinese new year. hope i can eat your food someday.,农历新年快乐。希望我有一天可以吃你的食物。
50058,Ugzth39ya6pGPbUbBNR4AaABAg,0,happy chinese new year to everything!,春节快乐，一切！
45716,UgzyEsbEYuvZJSSaHZt4AaABAg,0,"happy chinese new year... i from chile
nice video","农历新年快乐...我来自智利
不错的视频"
51126,UgzOiOIrDToCR_e6T2l4AaABAg,0,happy chinese new year ❤,农历新年快乐❤
50115,Ugz5a-RXlB2bkoZEx994AaABAg,0,happy chinese new year,春节快乐
45480,UgzD4OBf0mOwPAXeFIJ4AaABAg,0,"ziyi has a good chinese new year, and the sugar gourd has not been eaten for many years. i really miss it.",子柒过年好，糖葫芦好多年没吃了，真的好想念。
48074,Ugyd6kOxgtUmrIdtsXx4AaABAg,0,"ziyi is the rhythm of becoming the united nations ambassador, world peace! intersection
everyone, the new year is coming, the thought of thought, happy new year
everybody, best wishes, and happy chinese new year !!! peace and love","子柒，是成为联合国大使的节奏啊，世界和平！！
大家，新年将至，心想事成，新年快乐
Everybody，best wishes, and Happy Chinese New Year!!! Peace and Love"
48064,Ugyj7Ofce-ceB0HE0kt4AaABAg,0,preparation for chinese new year,为农历新年准备
49695,Ugw9xMIg9p_Zzw7V-9R4AaABAg,0,happy chinese new year!,农历新年快乐！
51857,Ugz-Ia2LLZIUKuONW7F4AaABAg,0,happy chinese new year,农历新年快乐
49704,UgyY_zC3w4Y7jjwimed4AaABAg,0,happy chinese new year！,农历新年快乐！
51854,UgwKD9UDfi6zrZFZQzt4AaABAg,0,"i don't know chinese, but i watch these videos always.
i want to try everything, and you still want to feed the puppies and stroke the lamb.","我不知道中文，但我总是看这些视频。
我想尝试一切，您仍然想喂养幼犬并抚摸羔羊。"
51843,Ugy3Q5R4YkP9rEMh77J4AaABAg.8qlRelMYbuQ8qlVRbyakK4,0,chinese new year is soon.,农历新年即将来临。
45330,UgxT2wfsgTZk8FiJIQV4AaABAg,0,it looks like an old chinese movie ... digimon song in the meantime,看起来像一部古老的中国电影...同时的Digimon歌曲
48013,UgywDxtmveObvyyf8uh4AaABAg,0,i love his video i'm always watching....happy new year chinese,我喜欢他的视频，我一直在看....新年快乐中文
50972,UgwAQcfHwi2U3RO32W14AaABAg,0,happy chinese new year dear!,春节快乐亲爱的！
45513,UgzDbOU7SXy0q7sD4Q54AaABAg,0,happy chinese new year,春节快乐
45636,Ugy_SOfTULz5QkNFIvZ4AaABAg,0,"are you chinese? 
china have youtube service? when?","你是中国人吗？
中国有YouTube服务吗？什么时候？"
51016,Ugwsr9ON9AEm2kOguzF4AaABAg,0,"chinese people are very intelligent, even in cooking, can do a variety of ... and chinese people are the first lives in the world to know how to print books ... even the best buddhism is in china. ""wei lower""",中国人非常聪明，即使在烹饪方面也可以做各种……中国人是世界上最早知道如何印刷书籍的生活……甚至最好的佛教在中国也是如此。
45533,UgwPzw17i8SUYNcIh-d4AaABAg,0,is this video from a chinese origin or a japanese ...,这是来自中国血统还是日语的视频...
45540,UgwPzw17i8SUYNcIh-d4AaABAg.8r2pZpZ5Vla8r3-9Pzuzmw,0,"chinese, from sichuan province in china.",来自中国四川省的中国人。
45548,UgwDF-JsHjaXVnxvZSt4AaABAg,0,the sounds of hard work taste delicious. happy chinese new year to granny and li zi qi from philippines with love.,努力工作的声音味道很好。与菲律宾的奶奶和李Zi齐的新年快乐。
51036,UgzSsthatB70rntfmdZ4AaABAg.8qla60GDS4n8qlpz6EOZCg,0,some chinese gets new year third a year ...,一些中国人每年获得第三个新年...
45608,Ugw_i9LW4F40IIFXHcV4AaABAg,0,happy chinese new year! lovely video.,农历新年快乐！可爱的视频。
45610,UgwZCyCgHcxkPzo-U_N4AaABAg,0,everything looks delicious! happy chinese new year!,一切看起来都很好吃！农历新年快乐！
47921,UgzvDNlGXpzY-I80oel4AaABAg.8qnijjduamK8qpqnVlmwas,0,"friends, how did you play the tone of your chinese pinyin? what input method do you use?",朋友，你这 汉语拼音的 声调 是怎么打出来的？用的什么输入法？
51109,Ugzvnng1sa8lrGZmYiB4AaABAg.8ql_HHRQQwH8qlblV9FbAK,0,"that is not japanese, it is chinese.",那不是日语，它是中国人。
45622,UgwadGDIuNalvzlSG7d4AaABAg.8r1vXQvUjj48r3k7UBeczv,0,"almost all chinese are now calling ‘sunflower seeds’ (葵花子）as ‘melon seeds’（瓜子）. people still say ‘sunflower seeds,’ but it’s kind of weird if people say ‘eat sunflower seeds ‘(嗑葵花子）. they always say ‘eat melon seeds’(嗑瓜子）instead. don’t know why. maybe melon seeds has only two chinese characters, while sunflower seeds has three characters. it’s simpler. how chinese distinguish sunflower seeds from real melon seeds? they will say xx melon seeds, like water melon seeds, if they want to make a distinguish",现在，几乎所有中国人都称为“葵花籽”（（（葵花子）为“瓜子”（（（人们），人们仍然说“葵花籽”，但是如果人们说“吃葵花籽”（他们总是），这很奇怪。他们总是说“吃瓜籽”（（嗑嗑）。 XX瓜种子，像水瓜种子一样，如果要区分
50635,Ugy1LPtR4xTYNmqyZn14AaABAg,0,happy chinese new year ..... thank you,农历新年快乐.....谢谢
119,Ugxl3Sx4gfcMmk_pQIh4AaABAg,0,"although it is different from the real rural life, everything is so quiet and peaceful. most of the chinese people who are in farming civilization have come from ancient times to the present. in front of the world!",虽然和真实的乡村生活有区别，但一切是那么地宁静与祥和，身处农耕文明的大部分中国人民从古至今都是这样过来的啊，真的很佩服她能把这样美好的画面呈现在世人面前！
38904,Ugzl5LeDf2The7x0AWl4AaABAg.8t6Ga8kvyJV8tIsmJaKxYp,0,hahaha chinese women are too great,哈哈哈 中国女人太厉害
15809,UgytZ9mCDasChR2kIJp4AaABAg.99DUgaM0Tri99Q88kk2Vs2,0,"@bhy4694 i watch dianxi xiaoge; more realistic, asks for help and feeds siblings, more people than lziqi, just more realistic. liziqi's the old antiquated male chauvinist's dream; quiet, work hard, beautiful, talented, don't ever ask for help just keep serving....sounds like the chinese communist propaganda....i'm still skeptical that she cooks all that for her skinny self and her skinny grandma. they should be gaining weight. seriously, still looks so much like an act.",@bhy4694我看dianxi xiaoge;更现实，寻求帮助并养活兄弟姐妹，比Lziqi更多的人，更现实。利兹奇的古老的陈旧男性沙文主义者的梦想；安静，努力工作，美丽，才华奶奶。他们应该增加体重。认真地说，看起来仍然像是一种行为。
15760,UgxHi0BQp4ecTutTVOh4AaABAg.99HGppfFYAr99HZmj_z1D_,0,chinese,中国人
15712,Ugw152RWqqdhR4VNQdF4AaABAg,0,i would love to see her in a chinese drama romance,我很想在中国戏剧中见到她
15698,Ugw6DdjwBFLgX9f5OV94AaABAg.99Ja7G-xRog9ASe0KGDzRB,0,@user-ij8rs9gp1l it's very hard to write chinese,@user-ij8rs9gp1l很难写汉语
15673,Ugys1bcXDf9Fz4RcQkh4AaABAg.99M7McB-2UL99Net9-MOIw,0,"yeah and she is a poor chinese girl. when she was little, her parents got a divorce. her mother in law didn't love her so she lived with her grandparents. her grandpa taught her all the skills. but her father and her grandpa died several years ago. now she lives only with her grandmother. she was very very poor and she didn't get enough education, so she had to do all the things on her own. now she gets some money by making the videos but she still lives in this way.",是的，她是一个可怜的中国女孩。当她小的时候，父母离婚了。她的婆婆不爱她，所以她和祖父母住在一起。她的爷爷教她所有的技能。但是她的父亲和她的爷爷几年前去世。现在她只与祖母住在一起。她非常非常贫穷，她没有得到足够的教育，因此她必须自己做所有事情。现在，她通过制作视频获得了一些钱，但她仍然以这种方式生活。
15672,UgxhU9Z2uLrJ2OVgzDd4AaABAg.99MRlhipO9799Ndtrzyrze,0,"she can use vpn(pay some dollars every month to access foreign websites) to upload videos, or maybe some chinese live in other countries upload them. her videos are updated first in chinese media.",她可以使用VPN（每月支付几美元来访问外国网站）上传视频，或者在其他国家 /地区生活的一些中国人上传。她的视频首先在中国媒体上更新。
15664,UgxhU9Z2uLrJ2OVgzDd4AaABAg,0,chinese does not have access to youtube then how is she allowed to upload videos...,中文无法访问YouTube，那么她如何允许上传视频...
15584,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9AJlA7lUBGB,0,minecraft！ i am chinese.i love play minecraft,Minecraft！我是中国人。我爱玩Minecraft
15582,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9ACIcxAs-G3,0,@lindseyrubenstein6028 its indeed acting but tbh its kinda like a nostalgic chinese inside joke bc most of us were scared of that black popcorn machine in our childhood. i am older than her but i wont even stand that close to the machine like her lol,@lindseyrubenstein6028的确表现得很重要，但它像一个怀旧的中国笑话，bc bc bc中的大多数人都害怕我们童年时期的那台黑色爆米花机。我比她大，但我甚至不会像她那样靠近机器
15522,UgyBkJAhfIwOLnKcp6B4AaABAg,0,the chinese cinderella imes,中国灰姑娘imes
15402,UgwoNLNhbI0zYXJSgWN4AaABAg.99b2bzoRMOP99bEZBZo7dD,0,"that is the preparation for chinese lunar new year, as the video performed.",这是视频表演的中国农历新年的准备。
15401,UgyzKcVps2jf_rwLmah4AaABAg.99bE4vqNKkd9ARURUjXfSY,0,this is a few chinese youtuber. there is no attack remark. people all over the world include taiwanese without those remarks. this is like a paradise.,这是为数不多的中国youtuber下面没什么攻击言论的了，全世界的人包括台湾人都没有那些言论。这里就像世外桃源。
15365,UgyIgmBx63g5V_qpUW94AaABAg,0,chinese nature is generous to humans =),中国天性对人类很大=）
15321,Ugwpabrat2txta1vDTJ4AaABAg,0,are you chinese. i am chinese,你是中国人吗。我是中国人
15293,UgwDSR136j_pksLukW94AaABAg,0,greetings kk 'i'm from indonesia. i really like all the videos. i want to go to the beautiful tmpt all the scenery. which one is the original person? chinese area. salute can be versatile kk.,问候KK'我来自印度尼西亚。我真的很喜欢所有视频。我想去美丽的TMPT所有风景。哪一个是原始人？中国地区。致敬可能是多才多艺的KK。
15288,UgyiDFnWNMc4rmEObul4AaABAg.99jZ2cYpvit9AU0ljTnWcz,0,it's rock sugar in chinese,it's 冰糖 in Chinese
15256,UgzcWR1EZCL1sRiompV4AaABAg,0,"in fact, after understanding how big this kind of film is filming and editing, it is necessary to know that people such as lee actually operate in fact, but this does not prevent me from like these films, at least it shows people's hearts in their hearts. i also made a lot of publicity for our country. of course, as a chinese, it must be unconditionally supported.",其实在明白这种片子拍摄剪辑之类的需要多大一个团队后就知道实际上生活成李这样的人基本都是运作出来的，但是这并不妨碍我喜欢这些影片，至少其表现了人们内心的向往，也为我们国家做了很大的宣传，作为中国人当然要无条件的支持。
14880,UgzeSK-dc6GBELQ_o894AaABAg,0,chinese chestnuts i meant so cute kittie oven,中国栗子我的意思是如此可爱的凯蒂烤箱
14694,Ugzw_P5alue3G5mPZBl4AaABAg,0,"after seeing li ziqi, i knew that aunt hua was not a chinese.",看了李子七，才知道华大妈不算中国人。
14554,UgzeNam1RF8covF8dzt4AaABAg.9A_7xJLtVpc9AefDEE1b5_,0,she will cook them one day. chinese eat everything,她有一天会煮它们。中国人吃一切
15808,UgytZ9mCDasChR2kIJp4AaABAg.99DUgaM0Tri99NflukVAnQ,0,"no she's not an actress, she is real. she is a poor chinese girl who lost her parents and her grandpa. she doesn't get enough education so she has to do all the things on her own. now she earns some money by making videos but she still lives this way.",不，她不是女演员，她是真实的。她是一个可怜的中国女孩，失去了父母和爷爷。她没有得到足够的教育，因此她必须自己做所有事情。现在，她通过制作视频来赚钱，但她仍然这样生活。
15814,Ugyh8ONs4KVkEScWIGh4AaABAg,0,"lizqi is a modern princess with a touch of simplicity, very smart on what she do. she can whipped up of things like it is her life. i would love to be her neighbor her place and sorroundings are spectacular... nature as its finest!! who is with me and make our lizqi a disney modern chinese princess",利兹奇（Lizqi）是一位现代公主，对她的工作非常聪明，非常聪明。她可以像她的生活那样鞭打。我很想成为她的邻居，她的住所和梦round奇非常壮观……自然是最好的！谁和我在一起，让我们的利兹成为迪斯尼现代中国公主
11813,UgwIKFHqsTfOvMrAAvp4AaABAg.9E2vTm5skGO9ECsulGH-C0,0,"@setranslated9427 why do chinese people take good -looking videos, you must criticize whether it is representative? intersection intersection so can the slum in california represent california? intersection",@chinesetranslated9427 为什么中国人拍个好看的视频你们这些人都要批判它有没有代表性？？？所以加州的贫民窟才能代表加州吗？？
15817,UgxeBtHuIf_Lmjy8AmR4AaABAg,0,"when i baked meat, i saw a lot of ingredients, and when i went to taiwan, the rice i ate was too spicy and was delicious, but i surely mix a lot of food i ate there. i guess it will be such an incredible taste, is chinese food delicious?",当我烤肉时，我看到了很多食材，当我去台湾时，我吃的米饭太辣，很美味，但是我肯定在那里吃了很多食物。我想这会真是令人难以置信味道，中国食品美味吗？
16419,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98qGnnFT3eJ,0,"@onur8848 ""if this is racism"". lol is that a question or you just really dumb. you're like north korean level of brainwashed against chinese people. you should go outside for once, for your own health.",@onur8848“如果这是种族主义”。大声笑是一个问题，或者您真的很愚蠢。您就像朝鲜对中国人民的洗脑水平。为了自己的健康，您应该一次去外面。
16418,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98pqH6ZpCrB,0,"r j no , it is not. stop lying. we locked up because of chinese people and we suffer because of virus, losing people etc. for what? because chinese people love to eat non-healthy meats/animals(rats, bats, dogs, cats and even human babies). if this is racism then u can call me a racist and whole world find china disgusting. ask why.",R J不，不是。停止说谎。我们因中国人而锁定，我们因病毒而遭受痛苦，失去了人等？因为中国人喜欢吃不健康的肉/动物（老鼠，蝙蝠，狗，猫甚至人类婴儿）。如果这是种族主义，那么您可以称我为种族主义者，整个世界都会感到恶心。问为什么。
16417,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98lQbcQprVE,0,@onur8848 white people actually eat more dogs than chinese. lots of them are in switzerland. don't be racist or you'll end up looking like a fool.,@onur8848白人实际上吃的狗比中国人多。他们中的许多人在瑞士。不要成为种族主义者，否则你最终会看起来像个傻瓜。
16416,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98igoVddW-5,0,dog are the treats for chinese people.,狗是中国人的零食。
