,cid,votes,time,含good,含good中文翻译
48533,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoS1pOFkN5,14,4 years ago (edited),"@user-iv6iv5co1v period, she was also at the beginning of the period as us, like us, as much as a white-collar worker like the crowds like most nine to five. later, her only relative grandmother was not in good health. the savings of hard work are not enough. later, she thought of the internet and started selling her hand made cosmetics, but you also knew that competition in the sea of ​​taobao was so fierce. her cosmetics had no reputation at all. the scenery of the scenery, unlike other anchors, do everything possible to win the eye -catching things, but the realistic daily life, that is, cooking, cooking, cleaning the courtyard, and taking some of their hometown of the beautiful scenery. essence when various information is explosive, all kinds of dazzling visuals cause aesthetic fatigue to return to the truth. and li ziyi's bland, beautiful, beautiful and simple rural local customs meets this demand, so she has become an internet celebrity.",@user-iv6iv5co1v 期初她也是和我们一样在大都会随着人潮像大多数朝九晚五的白领，后来她唯一的亲人奶奶身体不好，她不得不回到家乡照料奶奶，但是光靠那点打拼的积蓄是不够的啊。后来她就想到了网络，开始销售自己hand made化妆品，但你也知道在淘宝那个大海中竞争那么激烈，她那个化妆品根本没什么名气几乎没什么收入，后来她想到了想让大家分享她在家乡的美丽风光风土人情，不像别的主播千方百计想博得吸引眼球做奇葩的事情，而是很写实的她的日常生活，就是做菜，做饭，打扫庭院，拍些她们家乡那些美丽风光，结果火了。在繁杂各种信息爆棚，各种各样眼花缭乱的视觉造成审美疲劳时人们常常追求的就是返璞归真。而李子柒的平淡无奇唯美朴实的乡村风土恰恰满足了这种需求，所以她成为了网红。
48978,Ugwem3mB26e-fgGgcMx4AaABAg,14,4 years ago,the annual goods i made are more than i bought on the street ...,自己做的年货分量比我上街买的还多……
4253,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UMR55s_ngs,13,1 year ago (edited),"@diogomelo3705 i mean if she's purely a chinese farmer, there's no way she can afford such good food and ingredients. this is an ideal rural life style but definitely not the real lifestyle unless she's a very rich person who retired from work.",@diogomelo3705我的意思是，如果她纯粹是中国农民，她就无法负担得起这种美味的食物和食材。这是一种理想的乡村生活方式，但绝对不是真正的生活方式，除非她是一个非常有钱的人，他退休了。
26257,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zvDqLCQta4,13,3 years ago,"cleaning may seem like a hussle, i know, but it helps your mindset a lot! li's videos are great and i'm happy they help people๐ and good job on making a change in your life, keep them coming, don't give up!!",我知道，清洁似乎像是一头恐怖的，但这对您的心态有很大帮助！李的视频很棒，我很高兴他们能帮助人们
5545,UgxtsHt7oFimDzVx_j14AaABAg,13,2 years ago (edited),"favorite channel. i am a good liziki. the girl is glorious. darling. beautiful and very talented. your channel, my girl, is a pleasure to watch. god forbid you a paw and your grandmother of health and many years of life",最喜欢的频道。我是一个很好的利兹基。这个女孩很光荣。亲爱的。美丽而很有才华。我的频道，我的女孩，很高兴观看。上帝禁止你是爪子和你的祖母健康和多年的生活
16302,Ugyl6BAyt6f-kggeWyh4AaABAg.98llsjx6THb98mtrfJkzzj,13,3 years ago,"when i was a kid, i was looking forward to the new year every day. there are delicious foods, there are new year's money, you can put firecrackers, wear new shoes and new clothes, and you don't need to learn to play every day. what's more important is that until the fifteenth day of the first month, the parents' mood was particularly good. they did not teach the person casually, and the smile was warm. essence essence",小时候天天盼着过年，有好吃的，有压岁钱，可以放鞭炮，穿新鞋新衣服，还能不用学习天天玩。更重要的是一直到正月十五，父母俩的心情都特别好，不随便发牢骚教训人，笑容很温暖。 。 。
26248,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zt68I96qh0,13,3 years ago,miti bug good job!!! god bless you ๐,Miti Bug好工作！！！上帝保佑你
747,Ugxz0T4Ca0BXm7vbv3B4AaABAg,13,5 months ago,"how to identify a video is a good video? that is, each frame can be selected as a cover.",如何鉴定一个视频是不是好视频？那就是它的每一帧画面都可以选来当封面。
26998,Ugw91qCHqH9O7yiFqPd4AaABAg,12,3 years ago,"peaceful land vs. overstimulated city. this kind of things makes value those litle moments, sunrises, good food and company. bring my grandma back to life and share this kind of journey with her, would be the most priceless experience. if you read this comment, wish you the most beautiful trip to the happiness.",和平土地与过度刺激的城市。这种事情使那些散布的时刻，日出，美食和公司都珍视。将我的祖母重新栩栩如生，与她分享这种旅程，这将是最无价的经历。如果您阅读此评论，请祝您幸福的最美丽之旅。
23459,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W7XVTfPXL,12,3 years ago,"@pitsonsfather84, are you so good, is it strong? what happened to i come out to study? are you proud? what about lz is more rich than you? china is rare to make foreigners impressed by foreigners? niu jie niu",@pitsonsfather84 你好厉害熬，翻出来很强？我出来读书怎么了？你很骄傲？lz比你有钱怎么样了，中国难得一个youtuber让外国人好印象不好？牛逼牛逼
22862,UgxM-6YpwtAM3Hm2aIJ4AaABAg,12,3 years ago,"thanks to ziyi to present damei china to the world, be a good herself, come on, come on",感谢子柒把大美中国呈现给世界，做好自己，加油
49490,UgyULNaSzdojjYQ_z7p4AaABAg,12,4 years ago,"ziyi is good for the new year, thank you for the tranquility and joy of bringing us a family this year. my 5 -year -old daughter also likes you very much!",子柒过年好，谢谢你这一年给我们一家带来的宁静愉悦，我5岁的女儿也非常喜欢你！
34654,UgwIubx7mqS6SYaXx_x4AaABAg,11,4 years ago,"i wish could live like her...
she beautiful,clever and do everthing alone...love you girl...the village so nice and eating fresh fruit and vege...so good...","我希望能像她一样生活...
她美丽，聪明，独自一人做事...爱你的女孩...村庄真好，吃新鲜的水果和蔬菜...太好了..."
48206,UgzNw6Y1wzNfmmWZ16R4AaABAg,11,4 years ago,"preparing for so many years of goods snacks, it seems that i want to send a big red envelope to my wife ,,,,,",准备这么多年货零食，看来我要送一个大红包给我老婆了，，，，
30449,UgxzISqVj-0HjLQuHzd4AaABAg,11,3 years ago,"your passion for cooking and love for your grandmother warms my heart big time. 

also, the dogs and other animals around you brings the whole scenario into a beautiful level. 

keep up the good work. โค๐น๐๐","您对烹饪和对祖母的热爱使我的心温暖。

另外，您周围的狗和其他动物将整个场景带入了一个美丽的水平。

保持良好的工作。 ❤"
10869,UgyCQHl4D-54jCDW4BR4AaABAg,10,2 years ago,"it seems that few chinese people leave a message here in li ziyi, but it's really great, good !!","好像很少华人在李子柒这里留言,但真的很棒,好样!!"
36149,Ugz6alLhk9cLOHtAy194AaABAg,10,4 years ago,i wonder how good this scene would like in anime style ๐ค”,我想知道动漫风格的这个场景如何好
23324,UgyV0F3W-0TIobj8FJd4AaABAg,10,3 years ago,watching your video feels good! thank you for promoting traditional chinese culture!,看了您的视频感觉很好！谢谢推广中国传统文化！
27195,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8z_ff7Y2LfI,10,3 years ago,"i donโ€t know that, but i know you are a good man, my mum is died like ... so like you. chua phu ho ban ( vietnamme, sorry).",我不知道，但我知道你是个好人，我的妈妈就像……一样。 Chua Phu Ho Ban（vietnamme，对不起）。
41487,UgxECOdJicp4FScGJCp4AaABAg,10,4 years ago,just love watching her do her things. such a young girl and so talented...so inspiring and a good example for today's young generation.,只是喜欢看着她做她的事情。如此年轻的女孩和才华横溢……如此鼓舞人心，这是当今年轻一代的一个很好的榜样。
6860,Ugw_mnPTNkmaNmEThQR4AaABAg,10,2 years ago,this girl so good in everything she does,这个女孩在她所做的一切中都很好
33057,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8w1bVBa2bJP,10,4 years ago,"@greyfoxidk1840 even if she was cooking lamb, isnt it better to eat animals raised in such an environment? i am a vegetarian, but i have absolutely nothing against eating animals that lived such a good life. it is much more humane than trying to ignore the fact that meat is an animal and to just buy something packed in plastic from the supermarket....",@greyfoxidk1840即使她在烹饪羔羊，在这样的环境中吃饲养的动物也不会吗？我是素食主义者，但我绝对没有什么可以反对吃着如此美好生活的动物。这比试图忽略肉是动物而只是从超市里装满塑料的东西的事实要多得多。
20333,UgzoT_jYod66fewon-h4AaABAg,10,3 years ago,"i believed that you're really really such an angel & truth, goodness and beauty in this world. from canada ๏ผi support you ziqi ใ€",我相信您真的在这个世界上确实是一个天使与真理，善良和美丽。来自加拿大，我支持你ziqi。
38733,UgxImz6WxLUjC7Kimdp4AaABAg,10,4 years ago,"it's really amazing, these years goods are much better than buying outside, and more clean and hygienic",真的太厉害了，这些年货比在外面买的好吃多了，也干净卫生得多
12921,UgyGJWyP88skkkwx0tJ4AaABAg,10,2 years ago,"how does she look so good doing everything that involves dirty messes or taking a long time to do. i love the effort u put into ur videos. ur videos r pleasing, relaxing, and satisfying to watch. it can also help many ppl who r lazy right now to get their butt up and be productive. thank for giving us dis content. the videos u make won’t go to waste but in turn of appreciation. again, thank u for all ur good quality life videos that you’ve been working hard to make.",她看起来如何做所有涉及肮脏混乱或花很长时间做的事情的事情。我喜欢您为您的视频投入的努力。您的视频令人愉悦，放松和令人满意。它还可以帮助许多现在懒惰的人，以抬起屁股并提高生产力。感谢您给予我们的满足。您制作的视频不会浪费，而是在赞赏之中。同样，感谢您为您努力制作的所有优质生活视频。
21546,Ugxo4UhvHEznAFCfYqZ4AaABAg,10,3 years ago,"it's a little civilization, or something new comes out w marshmallow, good frying pan or w ... but healed (heard). i want to see it.",这是一些文明，或者是新的东西，棉花糖，好的煎锅或w ...但已得到治愈（听到）。我想看一看。
45258,Ugw-lyqmijLB1EqqA4d4AaABAg,10,4 years ago,good interest girls! smart and beautiful movements will do so many delicious things!,好利害的女孩子！聪明 美丽 动作快 会做这么多好吃的东西！
23842,Ugx0c1L9CyDS9_gJJYl4AaABAg.922WzcJG9aj92Ln7M81WlU,10,3 years ago,"mife11 hang this is tao yuanming's poem, of course it is a good poem",Mife11 Hang 这是陶渊明的诗，当然是好诗
51058,UgyfPqnYgMIqy0AdlnF4AaABAg,10,4 years ago,"the younger brother wishes a happy chinese new year in shenzhen! good health, everything is good!",小弟在深圳祝全球华人新年快乐！身体健康，万事胜意！
28213,UgyvQdSABPAR4uU3nnt4AaABAg,9,3 years ago,i love how she takes good care of her grandmother she's such a sweet girl!:๐’—,我喜欢她如何照顾她的祖母，她是一个如此可爱的女孩！
26266,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zyR844C4M3,9,3 years ago,"hey!!! ... you just inspired me!! ๐‘๐ฟ

i definitely know where you're coming from. good for you, and take it one day at a time. โบ","嘿！！！ ...你只是启发了我！ 

我绝对知道你来自哪里。对您有好处，一次有一天。 ☺"
30803,Ugy2YQmfvhHlalTJzJ54AaABAg,9,3 years ago,i don't know how many times i watch it. ...... it is too good .....๐๐๐,我不知道我看几次。 ......太好了.....
