,cid,votes,含good,含good中文翻译
27310,UgwcWF_jbcp0iZ0jbrd4AaABAg,0,that is so good ♥ ️ ♥ ️ ♥ ️ ♥ ️,真是太好了♥谢♥♥♥♥♥激♥佐
27303,UgxNomecg73i71Gdmrt4AaABAg,0,it sounds good enough. essence,挺好听滨海也能。。
27301,UgzmpVnu9k5Buyyg1qN4AaABAg,0,"my mood hasn't been really good because i've been under stress but watching your videos puts my heart at ease and soul at rest, much love to you and granny and i hope the both of you stay happy and healthy ❤",我的心情并不好，因为我承受着压力，但是观看您的视频使我的心放心，对您和奶奶的爱心，我希望你们俩都保持快乐和健康❤❤
27285,UgybMJnTE4hUMduMRLN4AaABAg,0,"where is it, it is really a good place",在哪里，真是个好地方
27282,Ugw6URyZ3A-wBbR5dDF4AaABAg,0,rural beauty temperament is really good. diligence and frugality 持,农村美女 气质真好。勤俭持家
27265,Ugxjhn0T8opWJMNlVFp4AaABAg,0,"she is beautiful but also good
watch the video of my use of saliva","她很漂亮但也很好
观看我用完唾液的视频"
27256,UgyT1tpccv9xHSa3fel4AaABAg,0,"this is cooking! 

you take good care of your grandmother

and sweet cats running about

may you all live long and prosperous, with all of nature beautiful and rich and pure","这是烹饪！ 

你好好照顾你的祖母

和甜猫四处奔跑

愿你们所​​有人都活着漫长而繁荣，拥有美丽，丰富和纯洁的自然"
27254,Ugx559REYrsuK76HWnR4AaABAg,0,"it deserves the name of the kingdom of tianfu, sichuan is really a good place (li ziyi is really a good girl)",真不愧天府之国的名号，四川真是个好地方（李子柒真是个好姑娘）
1729,UgyxLNmVFTrEIyIf79R4AaABAg,0,good job,好工作
1706,UgzoGNt-Y8XUL7uPQJR4AaABAg,0,"chinese food is nothing attractive, that is good, but eating well or bad",中国菜没有吸引力，这很好，但是吃得好或不好
1131,UgwF3O6d4kR2mgP0ty54AaABAg,0,this chinese is very smart congratulations good success,这个中国人非常聪明地祝贺
30239,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z06fZLOEBa,0,good,好
30510,Ugxtv497vf3Q6dBlYAx4AaABAg,0,thanks for very good videos i love,感谢我喜欢的很好的视频
30503,Ugxuxb6yVZ2k2ghM2cJ4AaABAg,0,"this video is remind me of my hometown, i used to eat a bamboo shoot soup when i was little, it's also taste good when you eat it raw.",这段视频让我想起了我的家乡，我很少有小吃的竹脚汤，当你吃生时，它的味道也不错。
30350,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398XX4UEtOm3,0,"xao faye if grandma were to live 200 years due to good life habit, everyone should rejoice as you still have her to love and care for. yes? i should think so. i would be.",Xao Faye如果奶奶由于良好的生活习惯而活了200年，那么每个人都应该为她爱和关怀而欢欣鼓舞。是的？我应该这样认为。我会。
30349,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398R-pBB5oed,0,"thank you so much my friend verygood watching video, hahaha watching video wonderful",非常感谢我的朋友非常好看的视频，哈哈哈观看视频很棒
1354,UgzzqgWrVTVxWZ_Ry4l4AaABAg,0,not as good as vietnamese snail vermicelli,不如越南蜗牛Vermicelli好
30281,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw3911jM7YiQ0l,0,kastelan good hello,卡斯特兰好你好
1358,UgyCkRSMVM_2Zh1_aP94AaABAg,0,i miss you ms lizqi. i hope you can return soon and with your grandmother in good health.,我想念你Lizqi女士。希望您能尽快与您的祖母一起返回。
1393,UgyqnAiu4cUU6FbWnkF4AaABAg,0,"miss sister, look good",小姐姐你好好看
30238,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z06_Pmdv6X,0,good,好的
1495,UgyBGNWHU8HprQGDk9h4AaABAg,0,"i really like this lovely little girl, rustic cooking but very good h.",我真的很喜欢这个可爱的小女孩，质朴的烹饪，但是很好。
30176,UgyToSWYefFOXSzsjgh4AaABAg,0,that soup looks so good,汤看起来很好
30161,Ugxaylm75HUHKTjLNbJ4AaABAg,0,must be good be the camera man as well :),也必须是摄影师的人:)
1435,UgzR5n7tABo3L1pXkK94AaABAg,0,"bamboo forest abroad looks good, yeah, but if in indo why is it so scary",是的，国外的竹林看起来不错，但是如果在印度，为什么这么恐怖
30097,UgyrnQXztXPUPDBDmjN4AaABAg,0,"eating a variety of natural and organic foods every day will definitely make you grow old. so many odors and vegetables are really good, and you drool when you see it. i wish you and grandma always healthy and happy!","每天吃着天然有机的各种食物一定会让你长生不老的，这么多野味和蔬菜真的是太好, 看到都流口水了.祝你和奶奶永远健康和快乐!"
30087,Ugxx-OM2-Qhv4mTE70V4AaABAg,0,so good,太好了
30068,UgxqxMMnHUg81k2huxR4AaABAg,0,vire good am in iraq love you,Vire好是伊拉克爱你
1490,Ugya956swJaW7YEhPZB4AaABAg,0,it's good.,很好。
29971,UgwdcCDep-UrosHvp-B4AaABAg,0,looks good! thank you,看起来不错！谢谢
1347,UgwnSwRhRiExt-Svp-B4AaABAg,0,12/3/2022 review her clip still feel good ♥ ️,12/3/2022评论她的剪辑仍然感觉不错♥️
30527,Ugw2sRcFS5H2t767d3x4AaABAg,0,so good,超好的
1318,Ugwrq3ISen50ZZWxeOR4AaABAg,0,the girl is so good,女孩真好
1248,UgzssrFdlzV9rra0gD94AaABAg,0,good night,晚安
30963,UgxeyZq3FKUPeWIXvKN4AaABAg,0,"i have a good suggestion. you can buy a mavic 2 pro or zoom. this is the best aerial drone on the market. the video effect will be better and less time to clip.
www //. dji.com","我有一个很好的建议、 你可以买一个Mavic 2 Pro or zoom , 这是市面上最好的一种航拍无人机、 最重要的它有跟踪任何人或事物进行任何角度的跟拍、而视频效果会更好、剪贴的时间会更少。
www//.Dji.com"
30949,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9GztxCdyhSp,0,lol nigella has long reigned supreme. she's good too tho.,大声笑Nigella长期以来一直在统治最高。她太好了。
30945,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9F0RCRx2jpA,0,"bramha's astra yes. she has a brand of processed food. a it’s not as good, not even decent compared to other food brands promoting similar food, quality wise and taste wise. some of the food she sells are rotten. it’s upsetting a lot of locals who supported her.",Bramha的Astra是的。她有一个加工食品品牌。 A与其他促进类似食物，优质和品味的食物品牌相比，它不那么好，甚至不错。她出售的一些食物烂了。这让许多支持她的当地人感到沮丧。
30932,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ981AH_8gLIx,0,"五叶 wow, and now i’m wondering how good would the ranking no.1 author’s videos looks like",wow wow，现在我想知道排名第一的作者的视频将有多好
30916,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ90a_gPqFpZ1,0,rocket backhander good,火箭手架很好
1136,UgxhOgYIONLDaAyubT94AaABAg,0,https://www.youtube.com/channel/uceahfqp9h5ms0fdbosee-hw good,https://www.youtube.com/channel/uceahfqp9h5ms0fdbosee-hw很好
1200,Ugyio-lOJvi4Sbp-8uN4AaABAg,0,"this kind of life is also good, so i want to do this",这种生活也不错 好想要这样
1209,UgxjbJSCrnv4emV0tEd4AaABAg,0,"the second coming christ, who has regained the new covenant of the passover, and the mother of the sky jerusalem, i give infinite gratitude and eternal glory. good 
","第二个来临的基督恢复了逾越节的新约，我给了耶路撒冷的母亲，我给予了无限的感激和永恒的荣耀。好
"
30796,Ugy1UfUl69c9wmoj9Vt4AaABAg,0,very good,非常好
30780,UgwT9KUsvm_OoXtChqd4AaABAg,0,those are really good you can just boil em and dip it with hot sauces and eat it,这些真的很好，您可以煮沸并用热调味料浸入并吃掉它
30727,UgxSATdxfd76MW2Orpp4AaABAg,0,"paa enjoy a good video, it is not necessary to speak the same language, because the images, the people, their gestures, emotions, gestures, speak for themselves.


beautiful video!
♥ ♥ ♥","PAA享受一个好的视频，不必说相同的语言，因为图像，人，他们的手势，情感，手势，为自己说话。


美丽的视频！
♥♥♥"
1210,UgyPiQnl7sODgMqGeDt4AaABAg,0,"the second coming christ, who has regained the new covenant of the passover, and the mother of the sky jerusalem, i give infinite gratitude and eternal glory. good 
","第二个来临的基督恢复了逾越节的新约，我给了耶路撒冷的母亲，我给予了无限的感激和永恒的荣耀。好
"
1236,UgwXR5hFu_Vd8KGFEMR4AaABAg,0,together good: namo amitabha,在一起很好：Namo Amitabha
30666,UgxchYdsCV9p_SScBi94AaABAg,0,"it's good to do ben powerful

the stomach in ngia","做本强大的好是很好

Ngia的胃"
1240,UgwX020afiowx2iyITx4AaABAg,0,"eid al-fitr
ནྱཾ ༩ ྀ ༄ from the admitted winners ༄ ༄ ྀ ྀ ྀ
saya dan keluarga mengucapkan seamat hari raya idul fitri 1443h dan tak lupa kami meminta maaf sebesar-besarnya atas segala kesalahan daam perkataan tingkah laku dan sebagainya baik yang disen gaja maupun tidak..dan semoga segala amal ibrahim diaampuni oleh allah

may allah accept from me and from you the beneficences. and god accepts us and from you and may god be pleased with us and you, and god has returned to us and ramadan for many years and long years in goodness, good deeds, comfort, delights, and asking the lord to make all your days holidays, acceptance, turnout, goodness, every case, and the structure of the clinic in increasing and that god accepts our prayers, fasting, our resurrection, and all the good deeds we have done and whoever does good and makes us and you from the returnees and the winners of the satisfaction of the lord of the worlds, and will return it to us and our years after years and years after years for what he loves our lord and is satisfied with grand and honor in goodness, kindness and wellness

and happy new year

khalil ibrahim bin arifin","开斋节
来自公认的获胜者༄ ༄ ༄ ༄ ༄ ༄ ༄ྀྀྀྀ
Saya Dan Keluarga Mengucapkan Seamat Hari Raya Idul Fitri 1443H Dan Tak Lupa Kami Meminta Maaf Sebesar-besarnya atas segala kesalahan kesalahan daam perkataan daam perkataan tingkah tingkah laku laku laku laku laku lakaik yang yang yang yang yang yang yangaim imam imam imam imam imahim imahim imah imak imak imak imak imak imak imak imak imoga tiidaak啊

愿真主接受我和您的利益。上帝接受我们和你，愿上帝对我们和你感到高兴，上帝已经回到了我们和斋月多年，善良，善行，安慰，喜悦，并要求耶和华使你们所有的日子假期，接受，投票率，善良，每种情况以及诊所的结构在增加，上帝接受我们的祈祷，禁食，我们的复活以及我们所做的所有善行，无论谁做得好返回者和世界之王满意的获胜者，并将其归还给我们以及我们几年后的几年和几年后，他爱我们的主，并对善良，善良和健康感到满意

新年快乐

哈利尔·易卜拉欣·本·阿里芬"
30650,Ugxc4vk4fXjVdnDR7_B4AaABAg,0,"discovering a rule, generally a lens rarely stays for more than three seconds. this may be one of the secrets of shooting a good video. haha",发现一个规律，一般一个镜头很少停留超过三秒钟，这或许是拍好视频的秘诀之一，haha
30640,UgwQKSgZL64keu9-Jwd4AaABAg,0,yummy bamboo roots...we also have the same recipe here in the philippines. good job ms liziqi,美味的竹根...我们在菲律宾也有相同的食谱。好工作Liziqi女士
29956,Ugzbg4_xYptC9h68YH54AaABAg,0,not sure why many poeple be hating this beautiful lady... she is like the gooddess of fresh air.. 't mind her teaching me all this i would love learning something new in my life,不知道为什么有很多人讨厌这个美丽的女士...她就像新鲜空气的好人。
1497,UgwRLp7fXGEET2eRHfd4AaABAg,0,chi cooking is so good !!,chi烹饪真好！
28726,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94UNZcl1Ldz,0,"franz peters she taking good care of her grandmother,and you??",弗朗兹·彼得斯（Franz Peters）她很好地照顾祖母，而你？
29061,UgzZAAAklZ407PRW4G94AaABAg,0,"whoever makes vietsub v is so salty. ""care karma"" then the words ""delicious stick"" ́ ""too dazzling"" then ""drying e on the tree to commemorate the ground"" ""zai, zai"" ""detain in the jar"" is so disgusting. sit neatly for me to bow, sub god. 
the clip is so good, but for a long time i read the sub, i don't see my salty v","谁制作vietsub V是如此咸。 “ Care Karma”然后单词“美味” ́“太耀眼”，然后“在树上干燥e以纪念地面”“ Zai，Zai”，“拘留在罐子里”是新的。坐着整齐地让我鞠躬，sub sup上帝。 
剪辑是如此的好，但是很长一段时间，我读了潜艇，我看不到我的咸味v"
29277,Ugw_pIkMBA1E9dRNk0l4AaABAg,0,very good,非常好
29271,UgzUqoJiaf5gGjnFQH14AaABAg,0,happy eid mubarak and every year you are a thousand good.,快乐的穆巴拉克，每年你都会好一千。
1622,Ugx4aI37lZ-H2S7wtQt4AaABAg,0,a lover of khartoum collection and eating it is a good appetite,喀土穆收藏和吃它的爱好者是一个很好的食欲
29194,Ugz2W3eCqSupFcgKMFJ4AaABAg,0,as good as always :),和往常一样好:)
29161,UgwFM0BvxGkKIW1MUSt4AaABAg,0,"whether there is a girl like that, what j also knows how to do it really good to do 1 more of her must be very blessed.",是否有这样的女孩，J也知道该怎么做真正好1必须非常幸运。
29155,Ugxnvm76MU7rcStk_z94AaABAg,0,good,好的
29131,UgzOUk-N7OO0dnNskOR4AaABAg,0,"snail powder, good",螺蛳粉，不错
29112,UgyXit7Z0UTFBYYXrWt4AaABAg,0,this food is not good to smell a street,这个食物不好 能 臭一条街
1677,UgyxKLs7XwpWWFrOFAl4AaABAg,0,want to ask when there is a new film? really good! bleak,想问问几时再有新片？真的好好睇！
29867,UgwwOUdFSjieTBEzNEZ4AaABAg.8yW3QPbsfW08yW4XEdG2ER,0,"you are right ,but some people can use vpn or shadowsocks bypassing the firewall, although our domestic internet has enough content, some well-educated people with good english proficiency hope to communicate with the outside world. so you will see many people from china",您是对的，但是有些人可以使用绕过防火墙的VPN或Shadowsocks，尽管我们的国内互联网有足够的内容，但有一些受过良好教育的英语水平的人希望与外界进行交流。因此，您会看到许多来自中国的人
1684,UgwUQNbstj3FpOtURrN4AaABAg,0,very good bamboo that still shoots,非常好的竹子仍然射击
29031,Ugyn9HTcc7uFv4tyJzh4AaABAg,0,two thousand people did not like it! is it true? really good video to press not like?,两千人不喜欢它！是真的吗？真的很好的视频不喜欢吗？
1686,Ugw6O0Oqy6ius25idxV4AaABAg,0,"add wedding dresses, nothing to look good",为人添嫁衣，没什么好看的
28994,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9F-eQeLlegP,0,@cathyliu8694 he's a racist with low self esteem who finds the need to put others down to make himself feel good,@cathyliu8694他是一个种族主义者，自尊心低下，发现有必要让别人放下来使自己感觉良好
28905,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9B0ZztYgBBo,0,good..,好的..
28870,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AGROAQUNXC,0,@dessadessa433 ok i got it and i agree with you to not lie to people it's not good :),@dessadessa433好吧，我明白了，我同意你不撒谎，这不好:)
28794,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97_xIChVeeG,0,@ mimacacy-amuc4568 good,@ mimacacy-amuc4568好
28727,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94UO15XoFYQ,0,franz peters her parents were dead when she was young so she could not afford to go to school and take a good education. before you leave your comment please do more thinking and be thoughtful and kind.,弗朗兹·彼得斯（Franz Peters）年轻的父母死了，所以她负担不起上学并接受良好的教育。在发表评论之前，请进行更多思考，并保持周到和友善。
29281,Ugyir9O1BGVpBEjzstR4AaABAg,0,"the video is too good and meaningful!
thank you very much !!","该视频太好和有意义！
非常感谢 ！！"
29291,UgwMfOYOyLkI_XWQRzx4AaABAg,0,definitely good...to be grandma!,绝对好...成为奶奶！
29371,UgzT6dV4FiGagp_mdDV4AaABAg,0,very good sister,非常好姐姐
29401,UgwxufTsOMDsF15iEt14AaABAg,0,"wowwwwww 
very good
i like video","wowwwwww
非常好
我喜欢视频"
29856,UgySY-T8JtNahkQJGD54AaABAg,0,"the longer you make the video time
whenever i miss you never ends
as if i only saw him for a while
well done photography, cooking and work
you are full of life and permanent spring

good","您制作视频时间的时间越长
每当我想念你永远不会结束时
好像我只见他一段时间
做得好的摄影，烹饪和工作
你充满了生命和永久的春天

好"
1503,UgzK3n8rbcTXkQRfrmV4AaABAg,0,"'t speak chinese but
i like to live in a natural dependency. because it is a very comfortable life & happy
..... ** now = i eat vegetarian.
((personal thoughts ::: to eat fishy is to encroach on other lives which the good person should do))
⭐ darkdear ⭐","
我喜欢生活在自然的依赖中。因为这是一种非常舒适的生活和快乐
..... **现在=我吃素食。
（（个人想法:::吃腥是要侵占其他生命好人应该做的））
⭐深色⭐"
1537,Ugx3rbsqLirLNCuKVJR4AaABAg,0,very good,非常好
29795,UgysPWT3hN5T_0Kt81N4AaABAg.8yWFMyjqEiR8yhMxQoduwB,0,"chinese people say that every trade must have a direct name of trust. intelligence is not always the way if the mind is not directly. good people live a long time. bad habits are bad according to the days. life is only shaking. overflowing the boundary of chemicals and biological substances the bite, eat and destroy, do not have the word friendly, good overall images. there are many examples. bad habits, difficult, conscious, smooth, wrong way the person who created the good blessing of the rotten, threw it to a friend. the sheet of popularity flying far away from the game. bad, bad found, what will happen at the end of the end of the disaster?",中国人说，每个交易都必须直接名称信任。如果思想不是直接的话，智力并不总是这样。好人生活很长时间。根据日子，不良习惯是不好的。生活只是在发抖。溢出化学物质和生物物质的边界咬人，吃饭和破坏，没有友好词，整体上的良好图像。有很多例子。不良习惯，困难，有意识，平稳，错误的方式创造腐烂的好祝福的人将其扔给了一个朋友。受欢迎程度远离游戏。不好，发现，灾难结束时会发生什么？
29775,Ugyfyh_quhgco5HPc7V4AaABAg,0,the food smells really good,食物的气味真的很好
29674,Ugz7BhloBEgm1Zdj_3x4AaABAg,0,"i don’t trust snails, but if liziqi preps it then i’m good, :)",我不信任蜗牛，但是如果利兹奇准备好蜗牛，那我很好，:)
29669,UgxGH3LVqmpnTd_Id594AaABAg,0,i loved u good gril,我爱你很好
1550,UgzsHWD0oMX0rZBoT-54AaABAg,0,"liziqi is very good not to feel rare oil,",Liziqi非常好，不要感到稀有油，
29626,UgwtpinUTNMQB8PH43J4AaABAg,0,"she makes me hungry.i'm never tired to give you""like"".she looks good with shirt too.thks.",她让我饿了。我永远不会累，让你“像”。她的衬衫也看起来不错。
29623,Ugy2pkRDWlTotzotT9l4AaABAg,0,i'm so good,我很好
29582,UgyIWxNAkcQQNefLcfJ4AaABAg,0,vietsub's channel is not the right content and is annoying for viewers. vietnamese subtitle content is very silly and not good at all. we look forward to reviewing the vietnamese subtitles. i love you and your youtube channel ❤️,Vietsub的频道不是正确的内容，也不对观众感到烦恼。越南字幕内容非常愚蠢，一点也不好。我们期待审查越南字幕。我爱你和你的YouTube频道❤️
29551,UgwG-2CGBZA1PeKBk3F4AaABAg,0,good video,好视频
29503,UgxPNdGo4vxyANwSEjB4AaABAg,0,good video but vietsub is so bad.,好的视频，但Vietsub太糟糕了。
29457,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8ycaINKW87X,0,haha that’s a good one,哈哈，这是一个好人
1607,UgzAI3QHictC5vXhKBF4AaABAg,0,wuoooow 70 million good,Wuoooow 7000万好
29420,UgweCEKj_gFqKb2FgP14AaABAg,0,sub is not very good.,sub不是很好。
29406,UgxeFnrTq6f-2BCwVWB4AaABAg,0,bamboo's achar is good for leg pain... especial y joints pain,竹子的achar适合腿部疼痛...尤其是关节疼痛
20916,Ugx-d7yF1ufKXDUu3mB4AaABAg,0,good women.. so strong,好女人..如此坚强
20721,UgzZpF8MBTsphThGuoB4AaABAg,0,good..i like,好..我喜欢
4056,Ugy9YS0w94i4Xgmhv7V4AaABAg,0,the acting skills are very good!,演技很好！
12259,Ugw0AckF9-IEeyMSsgx4AaABAg,0,"wow，so good,i like it",哇，好，我喜欢
12445,UgzGM1JrQNi-NYIMaGh4AaABAg,0,good ☺,好☺
12401,UgzlRYZBbgZkWGD6r254AaABAg,0,"i envy her for not getting fat with all those good food,but i know itz normal coz even if she eats a lot,keeping the gardeb needs a lot of work thuz burning calories",我羡慕她没有用所有这些美味的食物脂肪脂肪
6314,UgzuZB5ZIjb0WCCC5dp4AaABAg,0,"so good, sister, i just diligently just like a microwave for too much but i can't do it",很好，姐姐，我只是像一个微波炉一样勤奋，但是我做不到
12341,UgyzWsRVh-_JyvRzGSF4AaABAg,0,"excellent ang thong hom, pickled vegetables, bamboo shoots through the cold battle, rawi fah, new day, green root, green ji, beautiful sun screening beautiful sky, dragons. good, good life, but the best of the best, beautiful, the smell of grass roots",优秀的Ang Thong Hom，腌蔬菜，竹芽通过寒冷的战斗，Rawi Fah，New Day，Green Root，Green JI，美丽的阳光放映美丽的天空，龙。美好，美好的生活，但最好的，美丽，草根的气味
12300,UgxEf2W6qCKyesITYDZ4AaABAg,0,i love this lifestyle. i love this young lady. lucky is the one she marries. healthy good food everyday!!,我喜欢这种生活方式。我爱这个小姐。幸运的是她结婚的人。每天健康的美食！！
12283,UgxEXZiLKt-AlwXm7fp4AaABAg,0,very good and good,很好很好
12280,UgxFmOUTe3OQY-y31JJ4AaABAg,0,he is so good,他真好
12268,UgxfMBlhc7KnGZpaIo14AaABAg,0,pink floyd and to be a little more of an old friend who is the most of the chance that is not the most of the most of the chance to be a good time for me and i am going to be able to the most important for us and we can get a chance that is the chance that is the most important thing is that it will not the chance that the chance that is the chance that is the most of the most of the chance that the chance to get a 766666666666 year olds and to be able too many years of the most important for you and the other hand to the chance that is not the most of the most important for you and the other hand to the chance that the most of the chance that is not the most of the chance to be able too many years of the most important for you and the other hand to the chance that is not the most of the chance that is not the most of the chance to get a chance that is not the most of the chance that the chance that the most important for you and the other hand to the,平克·弗洛伊德（Pink Floyd），要成为一个老朋友，这是最大的机会，这对我来说是一个好时机的最多机会，我将能够为我们最重要的我们可以有机会有机会最重要的事情是，它不会有机会获得最大机会获得766666666666666岁的孩子的机会。对于您和另一方的最重要的人来说，这对您和另一方面最重要的机会都不是最重要的，而不是最重要的机会。对于您和另一方的机会，有机会有机会有机会超过最重要的机会，而这并不是大部分机会并不是有机会获得机会的机会，而这并不是最大的机会对您和另一方面最重要的机会对
12220,UgzGrOEPB66cX8f-pbN4AaABAg,0,very good food,很好的食物
12050,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9JwrHfuh1D9,0,oh yes oh good oh my youtube channel estu mda greetings from jogja yogyakarta indonesia watching. #estumda,哦，是的，好哦，我的YouTube频道Estu MDA问候，来自印度尼西亚的Jogja Yogyakarta。 #estumda
12191,Ugx3G2tiLuZLK6VkQi14AaABAg,0,i love the combined of nature & the scenes that happened in the video. good job liziqi.,我喜欢自然的结合以及视频中发生的场景。好工作liziqi。
12190,Ugz6o0f-Lw2CbB5aIPp4AaABAg,0,very good. fc from thailand!,非常好。来自泰国的FC！
6319,UgxUpxk62HI5JKoDExZ4AaABAg,0,good movie .... dam dang girl,好电影....大坝dang女孩
6369,Ugy82nJHwxum38cSff54AaABAg,0,what a great scene nice view nice food good quality of shots nice angle i wish we all live happy life and simple life like this,多么美好的场景，美好的食物质量好，镜头好，我希望我们所有人都过上幸福的生活和简单的生活
6373,UgwUDq3S_a9RFkPbH4R4AaABAg,0,very good,非常好
12148,UgzghvWfX6wcuGqhlyB4AaABAg,0,your grandma must have good karma!,您的奶奶一定有很好的业障！
12128,Ugx_DftRBa7P4N_NriB4AaABAg,0,wow chinese girl is good at cooking vegetables,哇，中国女孩擅长烹饪蔬菜
12097,UgyF_WsPmryZ1r93Fyp4AaABAg,0,friends kevilsanjaya gais sikan watching ocean love tonight so i open youtebu live broadcasts okay good for all of us ade2 dear 8.30 tonight tmbh exciting gais,朋友Kevilsanjaya Gais Sikan今晚看海洋爱，所以我打开Youtebu Live广播，对我们所有人都很好，亲爱的8.30今晚TMBH令人兴奋的Gais
6303,UgyQk-erjFMCDsagGoF4AaABAg,0,ah...all that food looks so good tho...like i can almost smell it through the screen!,啊...所有的食物看起来都很好...就像我几乎可以通过屏幕闻到它的味道！
12497,UgwQ-tTnMmynfgB5vH94AaABAg,0,both beautiful and good,美丽而良好的
12498,UgzwRayF8FWOAaW31eV4AaABAg,0,dianxi xiaoge good,Dianxi xiaoge good
12508,Ugz3loFmhpoQwJDQPq54AaABAg,0,good well,不错嘛
12898,Ugz3iu_9X-N9qtxRZNZ4AaABAg,0,good wife,好妻子
12883,UgwExjRES5t4ArOYJRx4AaABAg,0,good,好的
12870,UgziVK1mg5v2NwdNiex4AaABAg,0,"good life. this is a person's death. i think about china and ethnic minorities, but people live in china. i'm watching well.",美好生活。这是一个人的死亡。我想到中国和少数民族，但人们生活在中国。我看着很好。
12850,UgyfZRYVSYr36YvUf_94AaABAg,0,"beautiful, and certainly very good",美丽，当然非常好
12779,UgxuKpn6MeGJB2VchL14AaABAg.96M6U9v0MLP96prBOhXII8,0,@user-qr1zk1kn5z 1000years means millenium also. you are too sensitive. good wishes.,@user-qr1zk1kn5z 1000年也意味着千年。你太敏感了。美好的愿望。
6260,UgzzKkYIjoJegfg6rhF4AaABAg,0,this sister is so good and skillful,这个姐姐是如此善良
12719,Ugyjc5xBUnMEyLUVfVV4AaABAg,0,"not sure i have ever seen anything so yummy before..my mouth is literally watering...
ps.. her food looks pretty good also.","不确定我以前曾经见过如此美味。.我的嘴实际上是在浇水...
PS ..她的食物看起来也不错。"
12704,UgzxhpSkScJEnHjJyst4AaABAg,0,good.,好。
12698,Ugxq4dEg07ad-yp_WYl4AaABAg,0,hummm looks good,康姆看起来不错
12696,UgwK6U0LgFD7HVk2kGZ4AaABAg,0,"she is small, fragile, but very good at work.",她很小，脆弱，但擅长工作。
12654,UgwphSWz-w1GZq6bmNB4AaABAg,0,every frame is a good photo,每一帧，都是一张好照片
12651,UgxiMtojtmmntJb-4tR4AaABAg,0,"this food is very popular in china, some people really love it,but some hate it, because it smells disgusting,but it tastes really good,when you start,you cannot stop（when i cook at home, my parents think i am cooking shit",这种食物在中国很受欢迎，有些人真的很喜欢它，但是有些人讨厌它，因为它闻起来很恶心，但是味道真的很好，当您开始时，您不能停止（当我在家做饭时，我的父母认为我在做饭（屎
12637,UgwBX38MPWu_2Xxf9AV4AaABAg.96UAJPSd-jN96_K6LUaimE,0,li yuanwang actor? intersection intersection intersection intersection so good?,李元旺 演员？？？？？演这么好？
12605,Ugwz22adGRqAJAQnUdN4AaABAg,0,"good soil, good mountain, good water, and natural gifts, appreciation, and letting each dish for each dish",好土好山好水也要大自然馈赠、欣赏子柒做每道菜
12599,UgxS2BiFJbbDjwmFiyJ4AaABAg,0,"oh, why can she plant so beautiful vegetable gardens, the video is so good, no criticism at any point, just want to see her",哦，为什么她可以种如此美丽的菜园，视频是如此的好，在任何时候都没有批评，只是想见她
12593,UgwTcUlvMuRRmYcG1Ol4AaABAg,0,"li ziyi's income is over 100 million yuan, it is really amazing! and they all rely on this small fresh video, not those vulgar and interesting videos, it is really good.",李子柒年收入过亿人民币，真是厉害！而且都是靠这种小清新视频，不是那些低俗恶趣味的视频，真的很好。
12564,Ugy2n5w6_wQqVez89iN4AaABAg,0,i hope my soul mate is a thai korean tamvan tajir good loyal children,我希望我的灵魂伴侣是泰国韩国Tamvan Tajir好忠实的孩子
12076,UgzbiXIKiYSPgNW1klN4AaABAg,0,"seeing that li ziyi eats good taste, it feels like the taste of my mother burned when i was a kid. it was delicious, oh, i died me.",看见李子柒吃什么都好味道，感觉都是小时候妈妈烧的味道，特好吃，哎呀馋死我了
6396,Ugxf_L60cS9j-G2nfjV4AaABAg,0,"i wonder who would give her videos thumbs down?
were they upset her simplicity is so refreshing and her food is too good?","我想知道谁会给她的视频竖起大拇指？
他们是否使她的简单性感到不安，她的食物太好了？"
11356,Ugyw93gftfskXfLJnJ54AaABAg,0,everything looks so good! but i don’t know why half of the ingredients are! i only know there’s noodles spicy things and snails,一切看起来都很好！但是我不知道为什么一半的成分是！我只知道有辣的东西和蜗牛
11526,UgytyrJA5Mxfm2PvLp94AaABAg,0,good product,佳品
11646,Ugx7H5PE15ss_n6ZinN4AaABAg.97O4c4Tr6M_97di7bWiJPk,0,tase very good whit pork and,Tase非常好的白色猪肉和
6465,UgzWa6G4RTn4vt1Iy-B4AaABAg,0,good,好的
