,cid,votes,含dream,含dream中文翻译
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
3202,UgxVrHpEj23-qLCv9fd4AaABAg,0,you are girls in my dreams,你是我梦中的女孩
3312,UgxhYKjCOsJXSf8r3lJ4AaABAg,0,my dreams were not fulfilled,我的梦想没有实现
3325,Ugxaslf2ADZ9PF0WHvl4AaABAg,0,"the channel is successful, please support me chanel, my channel is like this, my dream hehegehe",频道成功了，请支持我的香奈儿我的频道就是这样我的梦想 hehegehe
3602,UgwLaHitXdDOOo2Kn4x4AaABAg,0,"what a pretty hardworking girl. she is also very good at cooking. a dream woman, right?",多么勤奋的女孩。她也很擅长烹饪。一个梦dream以求的女人，对吗？
3937,Ugwbmod8ItAVXsGyq9N4AaABAg,0,"this video would suit a movie like 'the last woman on earth' as you never see anyone but her mum - no men, just wonderful and easy work and tonnes of food everywhere...its a nice dream yet not quite the reality we live in. she knows whats she is doing at least and works hard even still so i give her that. nice entertainment.",这部视频将适合电影《地球上的最后一个女人》，因为您除了妈妈以外再也没有见过任何人 - 没有男人，只有精彩而轻松的工作和无数的食物……这是一个美好的梦想，但不是我们生活的现实在。她知道自己在做什么，至少正在努力工作，甚至还在努力，所以我给了她。不错的娱乐。
5554,UgxmKFAnyxUzuNn7_854AaABAg,0,i really like this video my dream i have a dreams the future,我真的很喜欢这个视频我的梦想，我的梦想是未来的
5843,UgwfIN1LE3K19c08bpx4AaABAg,0,dream life,梦想生活
5895,UgxOEanzYVUJA5ZGK4F4AaABAg.9FO-KUDgyWn9FtA03Uh4NM,0,"dream wife, where is peaceful",梦想的妻子，在哪里和平
5942,UgzVwyRxwwnS8hSQ9Ql4AaABAg,0,how beautiful everything is. stop a dream. here from california,一切都多么美丽。停止梦想。来自加利福尼亚的这里
12975,UgyWrH1RP_-PRhhIBO14AaABAg,0,now that there is every man's dream of a wife.,现在每个男人都梦想着一个妻子。
13037,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk976VfHeSM61,0,"then you wouldn't see things like this video... you would see exactly what's around you... this video is good to see because it's not a real life, but just a dream...",然后，您将看不到此视频类似的东西...您会确切地看到周围的内容...这段视频很高兴看到，因为它不是现实生活，而只是一个梦想...
20970,UgxPHrIG-uwpNjK8L5Z4AaABAg,0,dream wife,梦想的妻子
19048,UgyNWpNaUYMM6vIDitF4AaABAg,0,"my whole life still dreams of a life like this, where money is not all",我的一生仍然梦想着这样的生活，那里的钱不是全部
16558,UgyxV3oHMrTvon6e8uR4AaABAg,0,it is time to return to reality at the end of the video. it is because the world of dreams does not exist that so many people are unwilling to face reality,视频结束就该回归现实了，正因为梦境的世界不存在，才会有那么多人不愿面对现实
16708,UgxtflAGnHujn5Vj9aN4AaABAg.92sKPhVRpQv92tMA-7RVU1,0,everyone will envy the life in the dreamland,谁都会羡慕梦境里的生活的
16752,Ugyvxbt-trccShpJTr94AaABAg,0,"she is my dream wife just plain and simple woman no drama just only about family. i feel so at peace watching these videos
my god i wish i lived their","她是我梦dream以求的妻子，只是简单而简单的女人，没有关于家庭的戏剧。我感到和平观看这些视频
我的上帝，我希望我活着"
16835,Ugxu3Fc7AjE0RfWF2wx4AaABAg,0,omg...i waht to live ur life...wonderfull...my dreams is,天哪...我过着你的生活...奇妙的...我的梦想是
16886,Ugy0hmgfOw0naBaVwCV4AaABAg,0,dream wife,梦想的妻子
17205,UgwQtCTANVHaum3r28J4AaABAg,0,she is my dream wife … perfect and multi talented,她是我梦dream以求的妻子……完美而多才华
17255,Ugzd1X1DBjGYdtFkhQp4AaABAg.92mFScJvOzw92tlr3wdZNw,0,fangzhou yu dream,Fangzhou Yu 梦里
18709,Ugz2ldmnocILzk0dtHJ4AaABAg,0,it is my dream,这是我的梦想
18796,Ugyr0ZHB1XTN7FeekRF4AaABAg,0,life like this is a dream...god gave everything to survive easily but we make everything so difficult..such a peaceful life..so refreshing.,像这样的生活是一个梦想...上帝付出了一切容易生存，但我们使一切变得如此困难。
19210,UgxPYagaQ98L-RiatNd4AaABAg,0,my dream is to meet you in person and prove these tasty recipes ... congratulations,我的梦想是亲自见到您并证明这些美味的食谱...恭喜
16124,UgwG96r8niukUsL3wKN4AaABAg,0,"ziqi is a husband's dream ...most city girls today don't even know how to boil an egg !
there is also miriam in china's channel on youtube too.","Ziqi是丈夫的梦想...今天大多数城市女孩甚至都不知道如何煮鸡蛋！
YouTube上的中国频道也有Miriam。"
19233,Ugxjn_unx_bRM5ELZ4J4AaABAg,0,she is a woman of my dreams. she is good. and live a simple life with nature this is my dream life.,她是我梦dream以求的女人。她是很好的。并与自然过着简单的生活这是我的梦想生活。
19307,Ugw33KwAOIPiFFC7Fap4AaABAg,0,"love love lovely women angel 
like a dreaming","爱爱可爱的女人天使
就像一个梦想"
19647,UgxUDgHDXa2kgNIx2HN4AaABAg,0,"i wonder how to love her - then you need! hmm, - women -dreams!",我想知道如何爱她 - 然后您需要！嗯， - 女人 - 梦！
19865,UgwdlIjifZ-jCl0RKRR4AaABAg,0,"hello from what i know, life propagated by this charming woman does not look so cute in the chinese countryside. the expansion of cities makes beautiful and peaceful villages turn into stinking and complained gutters, with highly processed food, and people eat it. and about such food that this beautiful lady presents, they can only dream about ... and this is sad. fate has prepared",您好，据我所知，这个迷人的女人在中国乡村看起来并不那么可爱。城市的扩张使美丽且宁静的村庄变成了臭味，并抱怨沟槽，用高度加工的食物和人们食用。关于这位美丽的女士展示的这种食物，他们只能梦想……这很可悲。命运已经准备好了
20162,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ92ALdC7vogO,0,"@ayumuchorizo4486 well ayumu it is soon to become a reality. all of the ancient prophetic writings point to beautiful bright naturally low stress love based world system after the catastrophic end of the current system.
a lot of people consider it a pipe dream but all the prophecies regarding times gone by have been dead on. so no reason to doubt the rest will turn out also","@Ayumuchorizo​​4486 Ayumu很快就会成为现实。所有古老的预言著作都表明，当前系统的灾难性末端之后，美丽的明亮自然低压力的基于压力的世界系统。
许多人认为这是一个白日梦，但是关于过去时代的所有预言都已经死了。因此，没有理由怀疑其余的也会发现"
20511,Ugy6M7kQ560Pi4XnuFp4AaABAg,0,is this in rural china? dream,中国农村是这样？做梦吧
20659,UgwQpbCpp1FlsWP3C0J4AaABAg,0,how many men dream,有多少人梦
20753,Ugx9pzVoF9PvGarvKWJ4AaABAg,0,"a life, along with a girl how many people dream ... !!!",生活，还有一个女孩，有多少人做梦... ！！！
20959,UgwUJPH9Gkk_cevRgod4AaABAg,0,which part of china are you from? you are living my dream ! i will be doing this in a few years time !,您来自中国的哪一部分？你正在实现我的梦想！我将在几年后这样做！
16367,UgzmztNKTIKnLWpIivx4AaABAg,0,"beautiful, good at cooking, love parents, diligent, all done alone, dream wife ..",美丽，擅长烹饪，爱父母，勤奋，都独自完成，梦dream以求的妻子。
15726,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L9qCdutF4Vrd,0,"@user-qr8by7dj3y i still have dreams of my grandmother from time to time. seeing the grandmother is an emotional moment for me since my grandmother died right after i flew to the uk to see her in her final days. people of that generation had a very humble life. the japanese killed her husband in wwii therefore, i cannot forgive what they did to her.",@user-qr8by7dj3y我仍然不时地梦见我的祖母。自从我的祖母飞往英国，在她的最后几天见到她之后，见到祖母对我来说是一个激动人心的时刻。那一代人的生活非常谦虚。日本在第二次世界大战中杀死了她的丈夫，因此我不能原谅他们对她的所作所为。
13043,Ugx1okKIJ3LO4u5-Dyd4AaABAg.962dK36NxJk96ElHClVpDR,0,my dream girl,我的梦中情人
14174,Ugwwje7UxEZydDJKwVB4AaABAg,0,"i like your garden very much,that is my dream in my life and also many food that fine there.",我非常喜欢您的花园，这是我一生中的梦想，那里也可以很好地使用。
13060,UgyWiCYhxXx-1c1B2xF4AaABAg,0,"the whole world dreams of this magnificent life
you are so lucky","整个世界都梦想着这种宏伟的生活
你太幸运了"
13218,Ugx-xKJ5s-bUI36oT1d4AaABAg,0,"the girl works in a restaurant in a cook, and came to stay with her grandmother?
such a wife, the dream of any man.","这个女孩在厨师的一家餐厅里工作，然后和她的祖母住在一起吗？
这样的妻子，任何男人的梦想。"
13404,Ugyq3qsYm6I08EhCpXh4AaABAg,0,place of dreams to live,梦dream以求的地方
13543,UgwBc0QF1bNkqvZFC614AaABAg,0,life so many people dream,生活这么多人梦
13548,UgxCBpQRIx3FtW8Q9qZ4AaABAg,0,this is my dream to live like this. idk if here in the states it's even possible. also idk most of what you cook but it looks delicious!,这是我这样生活的梦想。 IDK如果在美国，甚至可能。同样，idk煮的大部分东西，但看起来很美味！
13652,UgxKjqiSJpU7t_RvYKJ4AaABAg,0,"have any americans tired gardening for at least two months...before dreaming about life like that...you work all day long...so many naive female comments...you can't even eat a garlic...not adding you would smell all day long from sweating and smoke...etc...plus..to all naive...it is impossible to take care of, or to have a garden like that by one person...every gardener knows this..who has a first job.etc.. not to mention the smell of the poo of the animals that are there..but the manure is not recorded..
but the other girl who records this fake life is a very good editor..
not to mention flying insects and flys..but the fermenting idea is wonderful..ps..there is no a/c there...but cooking still alive snails...i wouldn't do even i am a man...","有任何美国人疲倦的园艺至少两个月...在梦想着这样的生活之前……你整天都在工作...这么多天真的女性评论...你甚至不能吃大蒜...补充说，您会整天从出汗和烟雾中闻起来...等...知道这一点..谁有第一份工作。
但是，记录这种虚假生活的另一个女孩是一位非常好的编辑。
更不用说飞行的昆虫和飞蝇了..但是发酵的想法很棒。 。"
13787,Ugx5EmMvIMAbB1DCnpF4AaABAg,0,"fool foreigners, her life is still your dream. you should continue to dream. this woman is an actor. there is a team in the latter screenwriter. you fools, your ancestor eight generations can not earn her one year's money. it must be your fool's dream life. do you understand the movie, do you understand the tv series?",傻子外国人，她的生活还是你的梦想呢，你还是继续做梦吧，这个女的就是一个演员，有一个团队在后面编剧，你们这些傻子，你家祖宗八代也挣不了她一年的钱，肯定是你们这些傻逼的梦想生活了。都是电影明白吗，电视连续剧，肥皂剧懂吗。
13836,UgwDQDC6Od_F4U6QGjF4AaABAg,0,so dreamy.,如此梦幻。
14049,UgzHNczVbVIUdGhWwT54AaABAg,0,this is the lifestyle that i've dreamed of...i hate city life in korea so much. i want happy and rural life with nature.,这是我梦dream以求的生活方式...我非常讨厌韩国的城市生活。我想要大自然的幸福和乡村生活。
14581,UgwhB6e2uKsASxyUb7F4AaABAg,0,prospective wife's dream,准妻子的梦想
15559,UgzcS2LeufcU8wXwCux4AaABAg,0,her life is my dream life,她的生活是我的梦想生活
14621,UgzkdrtR5amNaAK7W0x4AaABAg,0,your so very beautiful your my dream girl,你真漂亮，我的梦dream以求的女孩
14696,UgxGNieCBrFKcOkgZ6J4AaABAg,0,it’s like dream,就像梦一样，但是我们有现实生活
14740,UgwnEdPUxi2QPKteVjd4AaABAg,0,still my dream girl,还是我梦dream以求的女孩
14808,UgyAYD8p2flGorIuWqV4AaABAg,0,"this kind of life is too fake, in the chinese dream, isn't guizhou just died of college students, 2020 ah",太假了这种生活，是在中国梦里的，贵州不是刚刚去世了大学生吗，2020啊
14861,UgyIbxlEGvaVCwkufDN4AaABAg,0,"beauty
healthy
great body
active
nice person

that's my dream woman","美丽
健康
好身材
积极的
好人

那是我梦dream以求的女人"
15088,UgyJ8D83Xev3tM-QZuJ4AaABAg,0,"ziyi will bring my thoughts into the ""peach blossom source"" in my dream ...",子柒会把我的思绪带进梦想中的“桃花源”……
15132,UgyDd785tYvpzokfbIt4AaABAg,0,"8.16 million subscribers. i wonder how much she makes from youtube alone each month. she probable could hire a team of more than a dozen farmers to help. based on the amount of veggies growing in her garden/farm, she would need more than ten farmers. add to that other labor intensive work (based on the other videos), such as raising lamb for wool, harvesting the wool and cleaning/dyeing/spinning the wool which she used to knit a huge winter coat. i know i won't be able to do all those without help. while i enjoyed the videos and admire her capabilities, i enjoy my simple life without having to toil like her. another note: unless she is selling them, why does she cook so much food? harvest so much veggies put into jars to ferment - that would last her ten years of fermented veggies, etc., etc. overall, one needs more than the knowledge of ten phd's to do all what she is doing in these videos. congratulations to her, super woman/girl. for city girls, don't dream of living like her, just not practical or possible. enjoy your city life.",816万用户。我想知道她每个月独自从YouTube中赚多少钱。她可能会雇用一个由十几个农民组成的团队来提供帮助。根据在她的花园/农场种植的蔬菜数量，她需要十多名农民。再加上其他劳动密集型工作（基于其他视频），例如抬起羊毛的羔羊，收获羊毛，清洁/染色/旋转羊毛，她用来编织一件巨大的冬衣。我知道我将无需帮助。当我喜欢这些视频并欣赏她的能力时，我享受了简单的生活，而不必像她一样辛苦工作。另一个注意：除非她要出售它们，否则她为什么要煮这么多食物？收获太多的蔬菜将罐子放入发酵中 - 这将持续她十年的发酵蔬菜等。总的来说，一个人比十个博士学位的知识更需要做她在这些视频中所做的一切。恭喜她，超级女人/女孩。对于城市女孩来说，不要梦想像她一样生活，只是不切实际或可能。享受你的城市生活。
15534,Ugx4VVLS3OjaOuj--Z54AaABAg,0,i am feeling every thing is like dream in this video,我觉得这段视频中的每件事都像梦
15552,UgzkRkffLCKjdCVyYYN4AaABAg,0,my dream girl! you are all i wish for!,我的梦中情人！你就是我想要的！
35228,UgyZw95PNvuU5AxaV2R4AaABAg.8yURqFgr55j8yUTiUqhvWE,0,@ozdreamtimewizard1329 i dont mind,@ozdreamtimewizard1329我不介意
