,cid,votes,time,含feel,含feel中文翻译
2775,Ugyw-qYliyJFopApZ8N4AaABAg,0,1 year ago,i feel so hungry hahahahahah,感觉好饿喔Hahahahahah
23533,UgwKRe6jCDd8NsDOefN4AaABAg,0,3 years ago,you feel that warm family climate with a pleasant and pleasant comfort ... beautiful,您会感觉到温暖的家庭气氛，带有宜人的舒适感...美丽
23659,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX9-n8xalUfig,0,3 years ago,"i'm the 777th like, it feels satisfying",我是第777号，感觉很满意
30660,UgxijT8IHceNyueu-NN4AaABAg.8yVXr5-uCJb8yVvTzIeAA3,0,3 years ago,"i also feel uncomfortable :)) the way i think i am funny but is actually ungainly. there is also a nonsense translation, the place to translate is not translated, this type does not know the sound that the crap is sure :))",我也感到不舒服:)）我认为我很有趣，但实际上是不好的。还有一个胡说八道的翻译，不翻译的地方，这种类型不知道废话确定的声音:)）
34268,Ugz_buqLSJLtiJuaLAx4AaABAg,0,3 years ago,you make me feeling love cook again,你让我再次爱厨师
2673,Ugxqu6W_6QZTSWMzhWh4AaABAg,0,1 year ago,a paste in head when you feel something high temperatures. colgate. ayrbed with neem leaf.,当您感觉到高温时，头部糊状。高露洁。 ayrbed用印em叶。
23942,UgwQI3-0rWDuVUxLjM54AaABAg,0,3 years ago,the feeling of digging bamboo shoots is too beautiful,挖竹笋的感觉太美好的事情了
29927,Ugx4j4dS-F-0yz3QfCl4AaABAg,0,3 years ago,this is so beautiful and soulful . i just feel like my soul has been touched with you.,这是如此美丽和深情。我只是觉得我的灵魂已经与你感动了。
30776,UgwaZcDiURZx63mg6wx4AaABAg.8yVT_oXY0tT8yVcikM04Z-,0,3 years ago,i feel like you want to help,感觉你有想帮忙的意思
29116,Ugxqnvaz49m7k_hSN9d4AaABAg,0,3 years ago,"yearning for antiquity is because of the complement of nature and the busyness of life for life to make people feel satisfied.
in the city, watching the culture of fast food, and after over and over, there are only empty emptiness.
in the forest, the grass fragrance earthencaries have a kind of unspeakable comfort.","向往古色，就是因为那种与自然相辅相成，为生活而忙碌的充实让人感觉满足。
城市里，看快餐文化度日，一遍又一遍过后，只余下呆坐的空虚。
山林里，嗅着草香土芳，却有种说不出的惬意。"
2340,Ugyn3Yu-68E-OB86Q8l4AaABAg,0,1 year ago,"i always feel that it is for my own products, and i am cheating everyone's money.",总感觉是为了自己的产品，在骗大家的钱。
25836,UgzmyYxrl563MT1LEvN4AaABAg,0,3 years ago,lol i'm sure this has been said before but this is the first time i've seen one of her vids and i feel like i just watched a ghibli movie everything is so beautiful and full of life i just love it,大声笑我敢肯定这是之前已经说过的，但是这是我第一次见到她的一个视频，我觉得我刚看过吉卜力电影，一切都是如此美丽，充满了生活，我只是喜欢它
28063,UgwIzIofDA2am32_pPp4AaABAg,0,3 years ago,please adjust to 0.5 and feel !!!!!,请调整为0.5，感觉!!!!!
32094,UgyUnJZ0IDQgDStbWwt4AaABAg.8yV-q8eXOYt8yVIujzJNzj,0,3 years ago,"@ngochong7481 well i am vietnamese and i don't think it is funny at all, just my opinion tho if you feel that way then enjoy it, i think i'll pass :)",@ngochong7481好吧，我是越南人，我认为这一点都不有趣，只要我觉得那样享受我的意见，我想我会通过:)
32062,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B96ppDPkTAYr,0,3 years ago,@claire6904 i feel sorry for you as your fellow that you actually believe the so called all on her own bullshit,@claire6904我为您作为您的家伙感到抱歉
31285,UgzKbjbciWq_U6Pq7yF4AaABAg.8yVH9NJyD1g8yVtChpqQBP,0,3 years ago,"there are snail powder sold in germany and asia supermarkets in germany and italy. if you do n’t have denmark asia supermarkets, if you live in denmark, you can buy it as close to germany. friends, i use the sour bamboo shoots in the snail powder and dry the old friend powder to cook the old friend powder. the snail powder is cooked for friends in germany and italy. don't feel stinky, you can eat the whole bag of spicy oil after finishing the spicy oil.",在德国和意大利的亚洲超市都有螺蛳粉卖的，丹麦亚洲超市没有的话，如果你住丹麦是距离德国近的话可以开车去买的，我对螺蛳粉一般，更爱生榨，其次桂林和老友，我每次都是用螺蛳粉里的酸笋料和温州粉干来煮老友粉，螺蛳粉煮给德国和意大利的朋友吃，就算我放酸笋德国和意大利的朋友也能接受并不觉得臭，把整包辣油放完还能吃完粉连汤也喝完
32003,UgyzicNg6rP3dOkDRol4AaABAg,0,3 years ago,when ever i feel stressed i watch ur vedios.. the music made me calm nd cool nd the visual provides peace of mind.... love u lot liziqi... thank u for making such peacefull vedios,每当我感到压力时，我都会看着ur vedios ..音乐使我冷静下来，视觉效果让您放心。
27626,UgwV4VTdtvhQJ0BEqBR4AaABAg,0,3 years ago,liziqi makes me feel that i've waisted my life.,Liziqi让我感到自己腰间疲惫。
31977,UgyZtmIOt22zkTbOM8p4AaABAg,0,3 years ago,"i don't know, the feeling of time has been aired but how come again?",我不知道，时间的感觉已经播出，但是怎么又来了呢？
27775,UgxrPwCYecT_3Fv1Net4AaABAg,0,3 years ago,does anyone not feel too lost,有人不觉得失去吗
31962,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e96Nhu5CKjYg,0,3 years ago,"haha, rare, people do n’t like watching this content and feel too script (because i live in this environment, it is actually much worse than the screen). but it is undeniable that it is very good to show some of our country's tradition, at least in the eyes of crooked nuts, china is not only dictatorship and persecution in their eyes.",哈哈对的，很少见，个人虽然不喜欢看这种内容，感觉太过剧本（因为自己就生活在这种环境里，实际比视屏差太多了）。但是不可否认，其非常好展现了我们国家部分传统，至少在歪果仁眼中中国不是只有他们眼中的专政和迫害了
27776,Ugw5J1vSnwC70CCDwD54AaABAg,0,3 years ago,"the place near your house, the garden, vegetable plants, fruits all are awesome .... feel like to visit the place....",您家附近的地方，花园，蔬菜植物，水果都很棒。
28708,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93w-O8pOS0H,0,3 years ago,"@franzpeters3824 a small white supremacist feeling entitled, you don't know that era of this mythical white supremacy is coming to an end! i pity you for what's coming!",@franzpeters3824一种白人至上主义者的感觉，有名，你不知道这个神话般的白人至上的时代即将结束！我可怜你的即将到来！
31886,UgyrK8RBtLg9tXJMt3h4AaABAg,0,3 years ago,how do you feel that the video is shot a bit,怎么感觉影片拍得有点赶
31376,Ugz1I8IVDaSZ28ZBANJ4AaABAg.8yVFWEkdlqa8yWMUeRsDdg,0,3 years ago,"can you give me a mustard, let me feel the feeling of the nobles",能给我一条榨菜吗，让我感受一下贵族的感觉
27889,UgxXCOYqeb2xWRIwdyN4AaABAg,0,3 years ago,bamboo is big and young bamboo feels very delicious.,竹子很大，年轻的竹子感觉很美味。
27910,UgzjuUkgKJSE4kma9LJ4AaABAg,0,3 years ago,"i want to hug you in my heart, see you working alone, i feel very sorry, please always try vietnam",我想在心里拥抱你，看你独自工作，我感到非常抱歉，请一直尝试 vietnam
28074,UgwjIdkiKATkEpbpH0t4AaABAg,0,3 years ago (edited),"why do i feel very distressed every time i see zi qian's rough work? do n’t worry about ziyi ’s hands who want to do the rough work for her, and slowly watch her cook the kitchen mother slowly.",为什么每次看到子柒干粗活我都特别心疼呢 贴别担心子柒的手 好想替她把粗活都做好 然后慢慢地看着她 不紧不慢的做厨娘
25881,Ugxqh82xktopY5il5RN4AaABAg,0,3 years ago,these videos make me feel so calm and focused. watching her work with such trained elegance is so mesmerizing!,这些视频使我感到如此镇定和专注。用这种训练有素的优雅观看她的作品真是令人着迷！
31782,UgwU4pkcLEeX9EK9uyN4AaABAg,0,3 years ago (edited),very nice... i love the vegetables... i love to watch ur videos very relaxing easy cooking... easy picking veg. and fruits.. i love it i love u... i feel hungry always u watching u❤️❤️❤️❤️,非常好...我爱蔬菜...我喜欢看您的视频非常轻松的烹饪...轻松挑选蔬菜。和水果..我爱它，我爱你...我总是饿了，你总是看着u❤️❤️❤️❤️
28078,UgwJwKAsuPfKJPh6t214AaABAg,0,3 years ago,"this is life ...
everything is growing
i just clicked in because of the snail lion powder
i didn't expect it to be such a natural cooking method, admire awww
it feels so comfortable to live here","这才是生活呀...
什么都是自己种的
我是因为螺狮粉才点进来的
没想到是这么自然的煮法，佩服阿www
感觉住在这里好惬意"
31749,UgxRMn_cLUJNyVHEwZl4AaABAg,0,3 years ago,c is genius ...she can do evrything ....some time i feel same on me....i have no talent,c是天才...她可以做任何事情。...有时候我对我有同样的感觉。。。我没有才华
28180,UgyhWngjgRV6qrajOPp4AaABAg,0,3 years ago,i feel like ennimation ~,我觉得自己陷入困境〜
31713,UgwKbMBHAkV57usinTR4AaABAg,0,3 years ago,feeling hungry,感到饥饿
31658,UgzA2SkY8YIAY-r3K414AaABAg,0,3 years ago (edited),"her feelings for her are so good. i love you. look at me, i miss mrs. wa",她对她的感受真好。我爱你。看着我，我想念Wa
31580,UgwEW_Sb1M2mO6XCMRl4AaABAg,0,3 years ago,watching your video feels good for healing,看着你的视频 感觉好疗愈
28324,UgxRqca8Bte3o0BWBbV4AaABAg,0,3 years ago,i feel your on another planet,我觉得你在另一个星球上
1314,Ugwxi4zjuaCUinzeb6J4AaABAg,0,1 year ago,other singers give themselves a feeling of relaxation when listening! and the dp always let me be caught up in the spirit of the song.,其他歌手在聆听时给自己放松的感觉！ DP总是让我以歌曲的精神陷入困境。
1347,UgwnSwRhRiExt-Svp-B4AaABAg,0,1 year ago,12/3/2022 review her clip still feel good ♥ ️,12/3/2022评论她的剪辑仍然感觉不错♥️
1398,UgxQ4d90WbYMFiWe56B4AaABAg,0,1 year ago,"wow, something, nostalgia.
looking at jackie, it feels like it came out!","哇，有些怀旧。
看着杰基，感觉好像出来了！"
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
1544,UgxetG7O96iJFXSUsKF4AaABAg,0,1 year ago,bamboo shoot is very yummy! looking at your videos i can feel the taste,竹头很美味！看你的视频，我可以感觉到味道
28460,UgwUDmbu_uH10VDuGrZ4AaABAg,0,3 years ago,i feel really bad watching this at 1.am while my stomach is growling,当我的肚子咆哮时，我在1.am上看这件事真的很难
27368,UgzgEkPpp-10QgCxoDl4AaABAg,0,3 years ago,"feel so hungry, and miss my home",感到如此饿，想念我的家
27284,Ugx6SmMwZxk8tRS-f_J4AaABAg,0,3 years ago,the feeling of peace is strange,和平的感觉很奇怪
27114,UgzJ34n9J_PA52YzBdp4AaABAg,0,3 years ago,"when watching your videos, rest and feel safe",观看视频时，休息并感到安全
26958,Ugz61hoDgcKa9E49hXh4AaABAg,0,3 years ago,feeling on you translated into vietnamese,感觉到你翻译成越南人
843,UgxXr7nltBS78iLKJGl4AaABAg,0,11 months ago (edited),back to nature and cook with feel will maked everythings nice. god bless you dear,回到大自然，用感觉烹饪会使所有人都很好。上帝保佑你亲爱的
29062,Ugz1_bxXduHUeufKBwh4AaABAg,0,3 years ago,"every time i see her, i feel very peaceful",每次见到她，我都感到很平和
26036,UgzwEasHsxtoL-AW8554AaABAg,0,3 years ago,watch this video i feel very peaceful,观看此视频，我感到很宁静
26053,Ugwta6-RL7xSja-Z6jJ4AaABAg,0,3 years ago,the first time i watched this video today made me feel that men do n’t need it anymore. it ’s really a hero among women.,今天 第一次 看这视频 让我感觉到 男人不需要了 ，真的是 女人中的 豪杰啊
26062,Ugz0WFU6mvN-BVEHsoV4AaABAg,0,3 years ago,"because of this video, i went out and bought luosifen the next day. had it twice this week already. eating it while watching the video while blasting ac. feels so good.",由于这段视频，我第二天出去买了Luosifen。本周已经两次了。在爆炸交流时观看视频时吃它。感觉真好。
26081,UgyPnmZOMnWMGa0oeEB4AaABAg,0,3 years ago,"miss liziqi, how do you keep everything clean? especially when you chop raw meat on that log cutting board you use in some videos, do you wash it afterwards with soap or sand, just get another log slab? how do you clean all of your instruments? i'm interested in every part of your process, growing, harvesting, cooking, cleaning, and all the other projects you do besides farming. i love your videos, i learn so much from them, and they help me feel happy.",Liziqi小姐，您如何保持一切清洁？尤其是当您在某些视频中使用的原木切菜板上切碎生肉时，您是否用肥皂或沙子将其清洗，只需获得另一个原木板吗？您如何清洁所有乐器？我对您的过程的每个部分都感兴趣，除了耕种以外，您还进行了生长，收获，烹饪，清洁以及所有其他项目。我爱你的视频，我从他们那里学到了很多东西，它们帮助我感到高兴。
32785,UgxwStrYB6Jg1KG8vwl4AaABAg,0,3 years ago,i always feel hungry after watching her videos!!!!,观看她的视频后，我总是感到饥饿！！！
32660,Ugzgmlx91aJ2M7dKaJN4AaABAg,0,3 years ago,"i saw your all videos i like your☺️ videos and you are so beautiful't know, whenever i see your video i feel very relaxed.",我看到了您的所有视频，我喜欢您的☺️视频，您是如此美丽
31255,Ugxa8sU25b3AZKPrRfh4AaABAg,0,3 years ago,i feel so peaceful,我感到很宁静
32649,UgwGF-KtngrmFFYF2AZ4AaABAg,0,3 years ago,"anyone else
feel like she always makes too much food for two people?","还有谁
觉得她总是为两个人做太多食物吗？"
1652,UgxIdJU8QMiHBDD_xAd4AaABAg,0,1 year ago,"i feel chill, when watching this video, the kind of feeling when encounter some great art or great moment in life.",在观看此视频时，我会感到很寒意，当遇到一些伟大的艺术或人生中的美好时刻时，这种感觉。
28994,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9F-eQeLlegP,0,2 years ago,@cathyliu8694 he's a racist with low self esteem who finds the need to put others down to make himself feel good,@cathyliu8694他是一个种族主义者，自尊心低下，发现有必要让别人放下来使自己感觉良好
26171,UgwqnT2xBdcLCn6xpyF4AaABAg,0,3 years ago,feels like paradise!,感觉像天堂！
1089,Ugzl4rYjPHgbBj8vkcp4AaABAg,0,1 year ago,"faced with this person's heart more and more corrupted. the world where natural disasters and people are constantly, people have more and more conflicts, and more and more illegal things are. it is mentioned: you will hear the sound of fighting and fighting, don't panic. these things must be available, but the last period has not yet arrived. the people want to attack the people, the country must attack the country; there must be earthquakes and famines in many places. this is the beginning of disaster ...

in the distant past, the world of noah's life was like such corruption today. at that time, god regretted making people (all people thought at that time were all evil), so god wiped out with the floods (only stayed in staying (only stayed in staying because of his ""fear of god""), human ancestor adam, adam, chose to accept the temptation and did not follow god. from then on, he entered the world. today, our world, enjoy the convenience brought by technology, the emergence of the internet , make the world a global village, but people's relationships have become more complicated, violent porn information, etc., constantly seduce the world to sin, we live in a world of deceit happy, no longer respect others. this lifestyle makes us more and more farther away from god. it is also unpleasant to god. many people do not know the god who creates the universe or does not want to know god, does not want to know the gospel. it is superstitious, but the bible tells us that god was the versatile god that was in the past and eternal in the past, and god hated ""sin"". no longer the same, we have lost eternal life, life is limited, and god has set a day to judge the world according to the people (jesus) set up by his (jesus). god loves the world. the only sons jesus became a flesh, nailed to ten, and the life of our sinful life with his innocent life was resurrected three days after his death. sitting on the right of god jehovah, so that we could pardon through jesus, repentance and was baptized. the holy spirit believes that jesus becomes a savior, so that we have a new style, and then live according to the inspiration of the bible. jesus said: you have a lot of love for people, and you have more forgiveness. ; what amount do you use to give you, and what amount to use will be used to give you .. similar teaching bibles are inspired. if we are willing to obey, we will have the opportunity to save.

we live in the scientific era, and people no longer believe in god, but we can't see that it does not mean nothing. the busy life makes us have no time to think. what will we face after death? since the outbreak of the new crown virus, we are becoming more and more feeling the impermanence and fragility of life, jesus told us in lujia gospel: a sinner repent, and he must also happy for him in the sky, and he is more happy than ninety -nine righteous people who do not have to repent. god loves us to be close to him. we are all created in the style of god. we must never be punished because of sin, so the last days have been extended for a long time. they are looking for those who belong to him.
the gospel of john mentioned: jesus said, ""i am the road, truth, and life, and no one can get to the father if she doesn't use me.
dear friend, jesus christ is the grace of god. god's mercy on the world allows us to receive this grace in vain without paying any cost. the choice, please study the bible (with app) to understand god's grace and jesus' teaching of sin, or go to the church to understand the gospel, (there is a fake blessing to confuse the world, we need to distinguish it) family, i wish you peace.","面对这个人心愈来愈败坏ˋ天灾人祸不断的世界,人们冲突愈来愈多,不法的事情也愈来愈多,许多人的爱心渐渐冷淡,这些世界的景况,耶稣在马太福音里就有提到:你们将听见打仗和打仗的风声，不要惊慌。这些事是必须有的，只是末期还没有到。民要攻打民，国要攻打国；多处必有地震、饥荒。这都是灾难的起头..

在遥远的过去,挪亚生活的年代世界就犹如今天这样的败坏,当时神后悔造人(那时的人所思所想尽都是恶),于是神就用大洪水灭绝所有人(只有留下挪亚因为他""敬畏神""),人类祖先亚当ˋ夏娃选择接受诱惑而不顺从上帝,从此罪就入了世界,时至今日我们的世界,享受科技带来的便利性,网路的出现,让世界成为一个地球村,但是人们的关系也变的复杂,暴力ˋ色情资讯等等,不断的在诱惑世人犯罪,我们就生活一个诡诈ˋ谎言ˋ贪婪ˋ欲望无止境的世界里,人们追求自我快乐,不再尊重其他人,这样的生活方式让我们离上帝愈来愈遥远,也是上帝不喜悦的,很多人不清楚创造宇宙的上帝或者不想了解上帝,不想知道福音,认为时代那么进步这都是迷信,但是圣经告诉我们上帝是昔在ˋ今在ˋ以后永在的全能神,并且上帝恨恶""罪"",在亚当ˋ夏娃选择不顺从神的结果,让我们因为罪和圣洁的神属性不再一样,我们也失去永生,生命受到限制,而神已经定了日子，要借着祂所设立的人(耶稣)按公义审判天下,神爱世人.上帝在二千年前差了祂的独生子耶稣道成肉身,钉上十架,以祂无罪的生命代替我们有罪的生命赎罪,死后三天复活,坐在上帝耶和华神的右边,让我们可以借着耶稣罪得赦免,悔改ˋ受洗ˋ领受圣灵ˋ相信耶稣成为救主,让我们有新生的样式,之后按照圣经的启示来生活,耶稣说:您对人付出的爱多,您的赦免就多,你们怎样论断人，也必怎样被论断；你们用什么量器量给人，也必用什么量器量给你们..类似的教导圣经都有启示,如果我们愿意顺服,都有机会得救.

我们活在科学时代,人不再相信有神,,不过看不到不代表没有,忙碌的生活让我们没有时间思考,人死后接下要面对什么?自从新冠病毒爆发以来,我们愈来愈感到生命的无常以及脆弱,耶稣在路加福音告诉我们:一个罪人悔改，在天上也要这样为他欢喜，较比为九十九个不用悔改的义人欢喜更大。神是喜爱我们亲近祂的,我们都是按着神的样式造的,绝对不要我们因为罪而受罚,所以末后的日子延长了很久,(耶稣离开2千年了)神要世人悔改归向祂,天天都在寻找归向祂的人.
约翰福音提到:耶稣说“我就是道路、真理、生命若不借着我，没有人能到父那里。
亲爱的朋友,耶稣基督就是神的恩典,神怜悯世人让我们不用付出什么代价就可以白白的领受这个恩典,末世的征兆愈来愈显明,在有限的生命里尽快的接受福音绝对是您最好的选择,恳请您研读圣经(有app)来了解神的恩典以及耶稣对罪的教导,或是到教会了解福音,(有假福音在迷惑世人,需要明辨)让我们一同进入神国的大家庭,祝平安ˋ喜乐."
26250,UgyYxcg0YE0VDoQ5SCF4AaABAg,0,3 years ago,"honestly, how do the boys in her village not feel the slightest bit intimidated it's no wonder we don't see any around cause they probably would be standing around hoping there was a hole in the ground so they could crawl into it and cry with their ego's deflated to the point of unrecognisable shame
i know i would find it very hard keeping up with her , cause this lass she certainly does everything diy, cooking, cleaning, making her own clothes... etc
the true definition of what girl power should be.","老实说，她村里的男孩们如何觉得丝毫受到恐吓自我的屈曲到无法识别的耻辱点
我知道我会很难跟上她，因为她肯定会做所有DIY，烹饪，清洁，做自己的衣服的一切……等等
女孩力量应该是什么的真实定义。"
26325,UgxfKshjd0o3-sLIeKN4AaABAg,0,3 years ago,any dish she makes me feel good,她让我感觉很好的任何菜
32572,UgxxlP8Sj4gUU4k2iSl4AaABAg,0,3 years ago,"thanks you liziqi for 3 new video this week
feel so amazed watching you","谢谢您Liziqi本周的3个新视频
感到很惊讶看着你"
32565,UgyUGuxE9XEOTahUSIJ4AaABAg,0,3 years ago,"in my country we usually eat that too, becauss i live at the country side too. it taste good, when i first taste it, i think i will got itchy on my tongue, but it doesn't feel like that. you must taste it if had a chance",在我的国家，我们通常也会吃它，因为我也住在乡下。它的味道很好，当我第一次品尝它时，我想我的舌头会发痒，但感觉并非如此。如果有机会，您必须品尝它
28805,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97rywhCB1yP,0,3 years ago,"me: (before shelter in place) circling grocery store for 3rd time trying to find thing i need

i feel you.","我：（到位之前）绕杂货店盘旋了第三次，试图找到我需要的东西

我感觉到你了。"
1206,UgzbGiaB3u6xW7qtLV14AaABAg,0,1 year ago,i got the feeling that it was an elderly grandmother who taught this woman how to live and cook in a village or in a country private house!,我觉得是一个老祖母教这个女人如何在村庄或乡村私人住宅中生活和做饭！
26595,UgxPtll7RdYK_rJkgw94AaABAg,0,3 years ago,"looking at me, i feel distressed and want to protect you",看着让我心疼 好想保护你啊
28744,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9679DgIuiHa,0,3 years ago,hahahaha... i know the feeling,哈哈哈哈...我知道这种感觉
32187,UgwkxdxfjBXkgnS-2JF4AaABAg,0,3 years ago,"today's video, i feel that i can eat it. essence it seems to be a big bowl (⊙o⊙). essence essence but i want to eat. essence essence",今天的视频，感觉柒柒还蛮能吃的啊。。好像很大碗啊(⊙o⊙)。。。但是我想吃。。。
32157,UgzGMhBQF-PRCwACaGx4AaABAg.8yV-Y-Jm5ql8yVAgXja1br,0,3 years ago,"actually, if not too strict, the sub read sometimes is very happy. as for the formula to do, many people will feel uncomfortable. if you say it, you still know better :))",实际上，如果不是太严格，则有时会很高兴。至于要做的公式，许多人会感到不舒服。如果您说的话，您仍然知道更好:)）
1550,UgzsHWD0oMX0rZBoT-54AaABAg,0,1 year ago,"liziqi is very good not to feel rare oil,",Liziqi非常好，不要感到稀有油，
26787,UgwpSWM_4Tk7301Ypsl4AaABAg,0,3 years ago,like if you feel the food is muddy,就像你觉得食物泥泞
26809,Ugxy6c6jeij6MxgZyGB4AaABAg,0,3 years ago,it is reminiscent of the feeling of childhood,让人有想起小时候的感觉
26901,UgwYl33-ESSwkl642uB4AaABAg.8yk7Q9L5sk98yl2bQ-TGtN,0,3 years ago,"q w immigration? intersection intersection where is the immigration? intersection intersection there are beautiful scenery every day, shooting the united states every day? intersection china is safe and beautiful. my sister is happy and happy, so you won't worry about it! intersection you still worry about yourself, in case you can really feel the liberty, the landscape of the shooting! intersection intersection",Q W 移民？？？移民去哪？？？每天都有美景线，枪击每一天的美国？？中国安全又美丽，姐姐生活幸福又开心，就不劳您操心了！！您还是担心自己吧，万一哪天真能感受自由美利坚，枪击的风景线呢！！！
26916,UgzAJyj0p_iM7QlOL6t4AaABAg,0,3 years ago,why do i get a feeling that this i some kind of marriage advert for miss liziqi. shes really fishing for some big fish . hmmmm,为什么我会觉得这是我为利兹奇小姐的某种婚姻广告。她真的为一些大鱼钓鱼。嗯
26125,Ugw54kNveV0ovjtvyRN4AaABAg,0,3 years ago,"life trick : play her videos as background music while doing dishes , then it feels effortless and i can imagine myself being in the mountains",生活窍门：在做碗碟时播放她的视频作为背景音乐，然后感觉毫不费力，我可以想象自己在山上
20333,UgzsxMC1APwPgiVayOZ4AaABAg,0,3 years ago (edited),it feels like living in yunnan. deep mountain,感觉是住云南的。深山
22235,UgxJAbjQSLDXShA0L8x4AaABAg,0,3 years ago,"you vietsub can vietsub the chinese characters appear on the video and the material c can do it. as for her actions, i still see it, i don't need to act, let me feel myself.",您的vietsub可以在视频中出现中文字符，材料C可以做到。至于她的行为，我仍然看到它，我不需要采取行动，让我感到自己。
13308,UgwetZZgi4OZ0jQzoQh4AaABAg,0,3 years ago,"foreigners are strange, and when they are young, they live like this, and they feel nothing to see. state development must still be industrialized",老外奇怪的点，好小的时候差不多也是这样生活，自己人感觉没啥可看的。国家发展还是必须工业化
14154,UgwONMQtQAjBuc0cfDl4AaABAg,0,3 years ago,if in indo the name is bamboo shoots ... it feels really good,如果在印第安
14140,UgwTj8fTUzbT7CAmIxF4AaABAg,0,3 years ago,these videos made me 're think about our present lives. life should be like this. i feel this girl is the real 'olang' who was the farmer's wife in the nobel prize winning story 'the good earth'.,这些视频使我想到了我们现在的生活。生活应该是这样的。我觉得这个女孩是真正的“奥朗”，他是诺贝尔奖获奖故事“好地球”中农民的妻子。
13920,UgxCUX_t5T_MGgTxZyd4AaABAg,0,3 years ago,it feels so comfortable to look at ...,看着就觉得好舒服呀....
13780,UgxOKP0JKWXKrDJOxkV4AaABAg,0,3 years ago,"i cook the star and z here, i will make me feel sorry for me",我在这里煮明星和Z，我会让我为我感到难过
13593,UgzDkn0MiJDI2j-MPnx4AaABAg,0,3 years ago,"where to find in the country of vietnam, a girl like that to get married to work. look at it, i feel sorry immediately",在越南的国家，一个像这样的女孩要结婚。看看它，我很抱歉立即
13571,Ugxdp9MqX0HaLI3BRlF4AaABAg,0,3 years ago,eat so much but why don't you feel fat and spicy with lots of greases,吃得这么多
13517,UgyP5x2Fp0uIyP13QlV4AaABAg,0,3 years ago,i feel harmony. i am fascinating. bliss! nature. i see myself there.,我感到和谐。我很着迷。幸福！自然。我在那里看到自己。
13488,Ugwe4wEssZwSIyPn_jl4AaABAg,0,3 years ago,i feel spicy every time,感觉每次都加好辣
13448,UgzO1H0Sgm_n8L00Vq54AaABAg,0,3 years ago,watching a clip like this is comfortable. feel let go,观看这样的剪辑很舒服。感到放手
