,cid,votes,time,含life,含life中文翻译
7050,Ugy6uUPMD1i_9wjQEV54AaABAg,0,2 years ago,i always like the way you cook and lifestyle,我总是喜欢你做饭和生活方式的方式
8188,Ugwv_jFmEQww5cmYCjB4AaABAg,0,2 years ago,life is so simple,生活是如此简单
7562,UgxRGO4eQOyFCO0p2Cl4AaABAg,0,2 years ago,that she is wonderful life ... it's great to see that .... she's lucky ...,她是美好的生活...很高兴看到....她很幸运...
8183,Ugz1Sph-spatL60qjrh4AaABAg,0,2 years ago,beautiful life....she is real billionaire.,美丽的生活....她是真正的亿万富翁。
8063,Ugy5WuFUb-pZcGEK1dx4AaABAg,0,2 years ago,"the milky fish soup and messy noodles are impressive. you took photos of your work in a relaxed and poetic way, but i know itโ€s very hard work. i donโ€t know how long you can continue to make videos like this, but i hope to have these in my life. video.",乳白色的鱼汤和凌乱的面条令人印象深刻。您以轻松而诗意的方式拍摄了工作的照片，但我知道这是非常艰苦的工作。我不知道您可以继续制作这样的视频多长时间，但我希望能在我的生活中拥有这些视频。视频。
7992,UgxF3s4kzF5YnjtghWR4AaABAg,0,2 years ago,i want a life like this,我想要这样的生活
7823,UgzzjjVzQ__o7z_URJJ4AaABAg,0,2 years ago,with all the hardwork she has put in in all of her videos i really do wish her best in life. she deserves it.,她在所有视频中都付出了所有的努力，我确实希望她在生活中表现最好。她应得的。
7762,UgzuVVEVSYmhGnBhECF4AaABAg,0,2 years ago,her mother must be very happy to live a life like that with beloved daughter like liziqi ๐ฅฐ๐ฅฐ๐ฅฐ,她的母亲一定很高兴与像Liziqi这样的心爱的女儿过上这样的生活
7713,UgySBU2ThzAEI_-CpPd4AaABAg,0,2 years ago,"i like the young bamboo ,,
wear a cork+ glitter ,,,
it is a good idea for this life","我喜欢年轻的竹子，
穿软木+闪光，
这是一个好主意"
7673,Ugy30tovFcV0eoaZ_nd4AaABAg,0,2 years ago,"this type of life is fading, but then becoming a dream to the rich and modern world..",这种生活正在褪色，但随后成为富裕和现代世界的梦想。
7627,UgxfDjlHOZU1bCCRzjZ4AaABAg,0,2 years ago,want to have a peaceful life like this,想拥有这样的和平的生活
7550,Ugzy0mqKyFkfpvAGK2Z4AaABAg,0,2 years ago,this is how the life of all human beings was and so it would return,这就是所有人类的生活，所以它会回来
7126,Ugyc2tsDIOVTQxKounR4AaABAg,0,2 years ago,"really wants to live her life. i grew up in city and have tons of pressure going to top schools. now iโ€m studying a major i donโ€t like and donโ€t even know why i should exist. sometimes, i just wish i can ditch my life and live in the forest like her.",真的很想过自己的生活。我在城市长大，在顶尖学校上施加了巨大的压力。现在，我正在学习我不喜欢的专业，甚至不知道为什么我应该存在。有时，我只是希望我能像她一样抛弃自己的生活，生活在森林中。
7480,Ugy3zvABFE-7tpTlxER4AaABAg,0,2 years ago,she is playing hayday in real life ๐’โค,她正在现实生活中玩干
7423,UgyRr9y97tYizk_ycY94AaABAg,0,2 years ago,during her videos sometimes ads come up showing the benefits of meditation... i feel like laughing... for people like this girl whole life is meditation... she seems so engrossed and so blissful while doing the everyday chores...,在她的视频中，有时会出现广告显示冥想的好处...我觉得自己笑了……对于像这样的女孩一生的人都是冥想...她在每天做家务时看起来如此全神贯注和幸福...
7410,UgxrjVmYxp1Hwo2aU854AaABAg,0,2 years ago,i love your life,我爱你的生活
7349,UgzGNLuJdaGbO-TCdyx4AaABAg,0,2 years ago,i don't know and don't understand language.. don't know what's she cooking and eating .. but only reason i came to this channel for the green ness and the beauty of nature . i aslo love her lifestyle โค๏ธโค๏ธ,我不知道和不了解语言。.不知道她在做饭和吃什么。但是，我来到这个频道的绿色和自然之美的唯一原因。我爱她的生活方式❤️❤️
7345,UgxYa5xoRPYhG-W8wTV4AaABAg,0,2 years ago,i want this kinda way of life but how huhhh,我想要这种生活方式，但是如何
7330,UgxArSMoUd-f9x39rSV4AaABAg,0,2 years ago,"ziyi tells us what life is, what is human life, what people are pursuing, what they are thinking, what they are seeking!",子柒告诉我们什么是生活，什么是人的生，人们在追求什么，在思考什么，在求得什么！
7292,UgxCgAnpoiV_IrXGOUp4AaABAg,0,2 years ago,"#yummylife
try this , you will love it","#yyummylife
尝试一下，你会喜欢的"
7268,Ugxhh3U4mjeuC7tNJAN4AaABAg,0,2 years ago,her life is very wonderful,她的生活非常美好
9664,Ugy7E93RUUdPOzZ9pB54AaABAg,0,3 years ago,fake life movieใ€,假生活电影。
9712,Ugyqzm-fiFx5le9y-4t4AaABAg,0,3 years ago,i wanna life like her life๐ ,我想像她的生活一样生活
18904,Ugy4k9-RPVdKVPcD-Ax4AaABAg.92DCu3oV6ib92JTXFF9brO,0,3 years ago,"many lives that do not like big cities are boring and high -pressure life, work every day, off work. seeing this video makes people feel quiet.",很多不喜欢大城市枯燥高压的生活，每天上班，下班。看到这个视频，让人感觉安静。
11199,UgwkFpU02BFNU95oPTR4AaABAg,0,3 years ago,"if the daughter -in -law who gets the sauce, i should really love it for a lifetime, then more than not to be metaphorized by blessings.",谁家如果取到酱的媳妇，真该好好疼爱一辈子，那何止是福气所能比喻的
11419,UgxY2lCLJk3p1BQvSEh4AaABAg,0,3 years ago,"forget about lambo, the billionaire life.. this is the life that i wanna live.. the natural beauty, the blue mountain, the serenity... simplicity..",忘了兰博，亿万富翁的生活。
11372,Ugwt7aTLE9sd0bA9ejd4AaABAg.97bgUoLndTh97cgRMLmIzV,0,3 years ago,"meng domineering knows that she has a team, but she is very tight and skilled in doing things. it can be seen that she is really working hard to do farm work. this is true. what about a team? how many of the influence of self -media has no team? why is it confusing to convey a aesthetic and life attitude? not her powder, but now how many foreigners are not attacked by foreigners who are not attacked by foreigners? only her channel is full of foreigners' comments and still keeps peace and still sucking powder. i think it is difficult to support it.",梦霸道 凭常识都知道有团队，可是她做事情很麻利很熟练，可以看出她确实做熟了农活也很勤劳，这个是真的。就算有团队又如何？做自媒体这个影响力的几个没有团队？为何传达一种审美和生活态度就成了矫情呢？不是她的粉，但是现在油管中国生活美食po主有几个不被评论区外国人攻击新冠的？唯有她的频道满满外国人评论依然保有安宁还在吸粉，我觉得很难得很需要支持。
11371,UgwfOieIR4lznrW9yIF4AaABAg,0,3 years ago,"at the end of you is my wife, but this life, my brother did not come to me that i was worried that i did not have no chance to be strangely vietnamese and i was chinese or my distance we are too far away, i love my wife so much",你最后是我的妻子，但是今生，我的兄弟没有来我担心我没有机会奇怪地越南，我是中国人，或者我的距离太远了，我爱我的妻子这么多
11365,UgxwLFwVlI5Hln-99Rh4AaABAg,0,3 years ago,take mw there ... life ao ugly here .,将兆瓦带到那里...这里的生活丑陋。
11282,UgwOyyLS41gEj9xnAw14AaABAg.97hfGdjuPPV97pvQZjnqS7,0,3 years ago,may be just like a kind of vlog，she had lived this life for a loog time and she is become popular gradually about these year.,也许就像一种视频博客一样，她过了这一生的生活，并且在今年逐渐受到欢迎。
11281,Ugww7Pfl9pZPUSgFswZ4AaABAg,0,3 years ago,beautiful life. coocking for mom,美丽的生活。为妈妈求婚
11259,Ugy15aq5hYMJE8CoL9N4AaABAg,0,3 years ago,china's country side is so beautiful.i really appreciate her hard work. farm life is simple but hard.i am a farm girl n will always be.cities dont attract me at awl,中国的乡村方面是如此美丽。我非常感谢她的辛勤工作。农场生活很简单，但是很难。我是一个农场女孩，永远不会吸引我
11214,UgwrKiRZ5PRTwiD3YpB4AaABAg,0,3 years ago,am envious of this kind of lifestyle❤️❤️❤️,我羡慕这种生活方式❤️❤️❤️
11179,UgycRqxdonhII-hBWCR4AaABAg,0,3 years ago,"beautiful and wise, sister. sister. there are rare in the world that she will be happy in her life!",美丽贤淑能干姐姐.世间少有 愿她一生幸福快乐 ！
11453,Ugwr15KIQ8xKKsjQyNt4AaABAg,0,3 years ago,i like how everything she needs is available fresh. this is like a fairy tale life but a real one.,我喜欢她需要的一切新鲜的东西。这就像童话的生活，但真实的生活。
11172,Ugx2ecOjOYh5ShKvRRp4AaABAg.97vlcy88vR298epL3GEY6y,0,3 years ago,self -sufficient life is difficult,自给自足的生活，很困难
11149,UgyOTIKrw-1vR769BfF4AaABAg,0,3 years ago,"very great, free life",非常棒，随心所欲的生活
11148,UgzhK9dQwfh-llDrNlN4AaABAg,0,3 years ago,"this is an artistic form of artistic life in china. although the real situation lacks the aesthetics of performance in many videos, it is also beautiful. i am fortunate that i was born in new china.",这是对中国农村生活一种艺术化的表现形式，真实情况虽然缺少了许多视频里表现的美感，但是也很美好。我很庆幸我出生在新中国。
11121,UgxD-YarxG4DOxixQ4x4AaABAg,0,3 years ago,super. is it prepared for the whole village? the whole life of the stove is stove),极好的。它为整个村庄做好了准备吗？炉子的整个生命都是炉子）
11036,UgxId9g1L5p1yxJDkbJ4AaABAg,0,3 years ago,i would honestly love to go to a retreat where i would stay at a host home and live a simple life for a month helping maintain the garden and go out gathering ingredients learning how to cook authentic traditional food,老实说，我会喜欢去静修处，在那里我会住在房屋中，过一个月的生活一个月，帮助维持花园，然后收集食材，学习如何烹饪真实的传统食物
11012,Ugxd5Tf5zIs-qLHt7BZ4AaABAg,0,3 years ago,like her life the most,喜欢她的生活最多
11011,Ugx0ZoNO0_Js2R446nF4AaABAg,0,3 years ago,her life would not have to be in trouble except cooking vegetables,她的生活不必遇到麻烦烹饪蔬菜
10988,Ugx487dtJ8z-_yLQkMl4AaABAg,0,3 years ago,this is the life that i want to live,这是我想过的生活
11444,UgyKmklanpIeau8sP5p4AaABAg,0,3 years ago,"super love, life cannot be without snail powder",超爱，人生不能没有螺蛳粉
11454,UgwYBnPiPF97e5njuVN4AaABAg,0,3 years ago,very beautiful life in the village ... peace and beautiful .... so miss the hometown ....,村里非常美丽的生活...和平与美丽....所以想念家乡...。
10901,Ugx73LE_CE4ZPKonTOl4AaABAg.98CJ31Wgm1E98F8NoUkiMq,0,3 years ago,"she shows only one side of rural life，in fact, china is very modern. you can search chinese cities on youtube",她只展示了农村生活的一面，实际上，中国非常现代。您可以在YouTube上搜索中国城市
11852,UgxDvz18c0EQ7jCDtB54AaABAg,0,3 years ago,very similar i was living this life before me coming to usa .free tibet,我非常相似，我在来美国之前过着这一生活。
12001,Ugz_M7u0UOcXqEToEhh4AaABAg,0,3 years ago (edited),i want to go to your village. i like nature. i like cooking for life that has never been seen.,我想去你的村庄。我喜欢大自然。我喜欢从未见过的一生做饭。
11969,UgyIfTUyMs1Y676JV9p4AaABAg,0,3 years ago,how am i suppose to live a normal life,我想如何过正常生活
11957,UgxRBVY3F7P4gBmvKh94AaABAg,0,3 years ago,"hi liziqi, can you adopt me please? would take this life over any billion dollar lifestyle!",嗨，利兹奇，你能收养我吗？将夺走任何十亿美元的生活方式！
11942,UgxwDHPBM4vw2MBHlWF4AaABAg,0,3 years ago,"whenever i watch her videos, i will scroll down the comment just to read positive comments and it pains me when all i see is hates and ""china propaganda"" like bitch who cares if it's propaganda or not, is liziqi promoting her stuffs here? no? she's just showing us her fantasy life. get off the fucking internet yall close minded shits",每当我观看她的视频时，我都会向下滚动评论只是为了阅读积极的评论，当我看到的只是讨厌和“中国宣传”时，我会像bit子一样，让我感到痛苦，他是否在乎，如果是在乎宣传，liziqi是否在这里宣传她的东西？不？她只是向我们展示了她的幻想生活。脱离他妈的互联网
11930,UgxOPdfkgxROJLP3RcJ4AaABAg.976j6BZrFRh989OZZ7O6rp,0,3 years ago,"first, this belongs to ancient chinese ideological and culture. it has no relationship with modern semi -dime. the reason why foreigners like. first, chinese food is world civilization. foreigners like chinese food! second, rural life, this is the ultimate dream of every human beings! third, filial piety, the most touching thing in the world is that the old people who are nearly old can eat children's food and live together!",第一，这属于中国古代的思想文化，跟现代半毛钱关系没有，外国人喜欢的原因三点。第一，中国美食是世界文明的，外国人喜欢中国美食！第二，田园生活，这是每个人类的终极梦想!第三，孝道，世界上最让人触动的就是，年近古稀的老人可以吃子女的饭菜，一起生活!
11905,UgwPq2ZKXKNmURtjFcd4AaABAg,0,3 years ago,"exactly what's not to be depressed about in modern life where one basically becomes a production unit? take away the solace of having a mate and it's a fairly barren, and, unavoidably depressing existence. most of the comments about travel to '3rd world' countries are true. you'll discover non- robotic people who have time to do nothing but pass some time enjoyably. but its changing fast and might not remain so for long.",在现代生活中基本上成为生产单位的现代生活中，这到底是什么？取出伴侣的安慰，这是一个相当贫瘠的，并且不可避免地令人沮丧。关于前往“第三世界”国家旅行的大多数评论都是真实的。您会发现非机器人的人，他们有时间无所事事，只能花一些时间愉快。但是它的变化很快，可能不会持续很长时间。
11878,UgwWgxUWYpBLz2QTmSl4AaABAg,0,3 years ago,i love her life,我爱她的生活
11877,Ugz3wdV36Xh0lTdz2CF4AaABAg,0,3 years ago,so beatiful life. love for that,如此美丽的生活。爱那个
11711,UgwdSFp24rEZQBXKAWF4AaABAg,0,3 years ago,i know how to live and enjoy life 很,很会懂得生活 享受生活
11489,Ugxk6BQiCsSz0sIC8xx4AaABAg,0,3 years ago,life is good.,生活很好。
11709,Ugx95UcdITpCxKEplW14AaABAg,0,3 years ago,i like that life.,我喜欢那个生活。
11690,UgzdrcDDpptGjltU5Wt4AaABAg,0,3 years ago (edited),"liziqi give me one day in u r life i live there and learn more like u because i am also going to plan this life in my future it's only my dream also u r giving life to my dream i always think my farm going to be like this like this but u r the person give life to my dream ok i am doing my farm more than u 
i thought like this today tq u it's possible only because of u tq u very much re","liziqi在我生活中有一天我住在那里，学到更多像你一样，因为我也将在未来计划这一生，这是我的梦想，也只有你为我的梦想献出生命，我总是认为我的农场会像这样这个人，这个人赋予我的梦想，好吧，我在做我的农场比你多
我今天以为这样的tq u，这可能只是因为U TQ U非常多"
11686,UgxCG4urklxCHjqaNKh4AaABAg,0,3 years ago,to admire her life!,欣赏她的生活！
11600,UgwOKQPeQRSyL4vwCZ54AaABAg,0,3 years ago,beautiful ant in the land of life,美丽的蚂蚁在生活之地
11598,UgxqTx0RKMi9Dm3DwLh4AaABAg,0,3 years ago,"seeing ziqian living, i really enjoy this place. there is really hard life in this place, but there is a good place for everything from another angle.",看子柒干活真享受 还有这地方好美 生活确实辛苦但是换一个角度一切都有美好的地方
11597,Ugw8olGK4Lz8b43bqDZ4AaABAg,0,3 years ago,real independent and philosophy life also the lighting near her house is so stunning! cheers from thailand,真正的独立和哲学生活也是她房子附近的照明如此令人惊叹！来自泰国的欢呼
11573,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw9CAbfl8DjVP,0,2 years ago,primitive life in village channel to leave a comment next night,乡村频道的原始生活，第二天晚上发表评论
11515,UgxJqkDsnWBfHTRSYCx4AaABAg,0,3 years ago,"make jealousy, and i like life in a village like that a lot of green vegetables",嫉妒，我喜欢像很多绿色蔬菜这样的村庄里的生活
10951,Ugy1k62RIPtJGwpQD1x4AaABAg,0,3 years ago,this life is not ture in china ，im chinese,在中国，这一生活不是中国的
10871,Ugzou7LDqxQLGM5z9tF4AaABAg,0,3 years ago,is she going to video her entire life time until she is 100?,她一生都在录像直到100岁时？
9722,UgyXvkGOvuiMuGWw3T54AaABAg,0,3 years ago,"liziqi you do a great job in each video, thank you very much for making my life more interesting.",Liziqi您在每个视频中都做得很好，非常感谢您使我的生活更有趣。
9888,UgzIE88I8fhnZeFZM2l4AaABAg,0,3 years ago,"congratulations to you to take the lead in the village name, and the tourists who come to teach you to teach the lost agricultural life of the mother -in -law and mother's heart and grandparentsโ€s craftsmanship",恭喜妳带头村庄的地方名，来的游客也赐教妳教的失传农业生活中的点点滴滴的婆婆妈妈心和爷爷爸爸的工艺心
10154,UgxtxycEneBQIr5Lvrd4AaABAg,0,3 years ago,"very impressed with her way of living life, loved it.",她的生活方式印象深刻，喜欢它。
10031,Ugz18eXSwJGgwpTW3Bd4AaABAg,0,3 years ago,perfectly #zerowaste life,完美的#zerowasteLife
10012,UgxgwoPFc4kGC9jAXLN4AaABAg,0,3 years ago,life energy,生命能量
10011,Ugxq0DWKlY8YExipFZh4AaABAg,0,3 years ago,what 李子柒shows is something opposite to today's life.no concrete no buildings. rest people minds and soul when we living in a fast racing world. 加油。,李子柒显示与当今生活相反。没有具体的没有建筑物。当我们生活在一个快速的赛车世界中时，人们的心灵和灵魂。加油。
10005,UgwEdNCIdSYUUA7y3Up4AaABAg,0,3 years ago,real life animal crossing!,现实生活中的动物交叉！
9942,Ugw0nQ6wz3c8hY33mhV4AaABAg,0,3 years ago,i dunno buf i feel like i live there with her enjoy the foods love this life its like paradise,我不知道我觉得我和她一起生活在那里，喜欢这种生活，就像天堂一样
9918,Ugx1Kca9FoIf0kS6z1N4AaABAg,0,3 years ago,this is like a real life fairy tale ๐คฉ,这就像一个现实生活中的童话
9912,UgwERrTf5LgD6JMcqJ54AaABAg,0,3 years ago,life is peaceful life,生活是和平的生活
9873,Ugy_Efdq-ky_zgN0-6F4AaABAg,0,3 years ago,"iolence, drugs, sex... she is like a light in a dark forest, a breath of fresh air amidst all the pollution of modern life.",伊隆，毒品，性爱……她就像一片黑暗的森林中的光，在现代生活的所有污染中呼吸新鲜空气。
10171,UgxpLUOVADKoy2ImPml4AaABAg,0,3 years ago,well she is living life to its full meanwhile we lay on couches all day and watch yt,好吧，她整日躺在沙发上并观看yt
9838,UgxLOeKuR0Xvmw4S9i14AaABAg,0,3 years ago,"if there is this wife, what should i ask for this life? intersection intersection",若有此妻，今生何求？？？
9835,UgybieeGokXh9fZlLQF4AaABAg,0,3 years ago,you are an example of life i admire you with all my heart,你是生活的一个例子，我全心全意地欣赏你
9823,UgxXJcMgHY1HRwKhdDp4AaABAg,0,3 years ago,"this the life that i really want to happen, you have all you want and needs to live.",这是我真正想实现的生活，您拥有想要的一切，需要生活。
9776,UgzRPWo81V3zkSCM0ed4AaABAg,0,3 years ago,you are a very wise sage. thank you for sharing your life script.๐ฆ,你是一个非常明智的圣人。感谢您分享您的生活脚本。
9748,UgzqXRecZoocT4sa8cV4AaABAg,0,3 years ago,i wanna life like hers.,我想像她一样的生活。
9738,Ugxhm7XcgjfHjHwUHEV4AaABAg,0,3 years ago,"like rural life, carefree. essence essence",喜欢乡下生活，无忧无虑。。。
9726,Ugy7NxJqs5E2S0GFxnx4AaABAg,0,3 years ago,this video shows how nice the life in provinces.,该视频显示了各省生活的美好。
9725,UgyyfPfq6DYAlo_SJJd4AaABAg,0,3 years ago,this video shows how nice the life in provinces.,该视频显示了各省生活的美好。
10157,Ugxhp0sw1TSndCyPBrl4AaABAg,0,3 years ago (edited),"i am beautiful and talented, cleverly and very filial.
in this life, i don't need anyone but you
seeing you i only have one thought: if you are a lover, i will love you throughout this life","我美丽，才华横溢，巧妙而非常纯净。
在这一生中，我不需要任何人
见到你，我只有一个想法：如果你是情人，我一生都会爱你"
10307,UgyjZz6SM3Yh8Z0dsg54AaABAg.98s2lpToZZq98sgpmz3aNs,0,3 years ago,"i think of her youtube as a job, sort of. i mean, she doesn't make these videos for money. this is just her daily life, and she wanted to make a safe spot for people to go to.",我认为她的YouTube是一项工作。我的意思是，她不会为了钱制作这些视频。这只是她的日常生活，她想为人们提供一个安全的地方。
10830,UgzALVrgN6GJZ_wAQ1Z4AaABAg,0,3 years ago,i find life in peace when watching her work,看着她的作品时，我发现生活处于和平
10556,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZeSgBU3C,0,2 years ago,"i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","我恳求上帝，您的生活充满了满足感，您和您的家人一直保持开朗。

因此，我的恳求您是否可以请求我的帐户。"
10827,UgyJ2EfbQyK73pVdLjJ4AaABAg,0,3 years ago,awesome life,很棒的生活
10779,UgwyROK2t_buYWXphXJ4AaABAg,0,3 years ago,poetic life,诗意十足的生活
10757,Ugybr_0eU7JnVfkGKQl4AaABAg.98R9BghC9WS99XplkJ2JRu,0,3 years ago,we.all.miss our old.life to,我们all。我们的旧生命
10709,UgyOZUDn4Mh2I72ZsX94AaABAg,0,3 years ago,"all my life i dreamed of having my little house in him and felling my food from the field as my mother did. .. she sowed her ecuaros with corn, pumpkin, beans, quelite, infinity of tubers, nopales, and field animals with a strange flavor fragrances and flavors to the field ... but he development and globalization of the world we have taken from that wonder of the forests and fields where one fed. ..",我一生都梦想着在他里面放着我的小房子，并像母亲一样从田野里摔下我的食物。 。一个喂食的森林和田野的奇迹。 ..
10611,UgyWc93lj4B85DLnJ9B4AaABAg,0,3 years ago,"apart from the money she earned from youtube, is a peaceful and bountiful life she already have.",除了她从YouTube赚到的钱外，她已经过了宁静而享受的生活。
10603,Ugy27DOSuppZhD6Xm9R4AaABAg,0,3 years ago,i really see and admire the little girl ly tu that life is interesting,我真的看到并欣赏小女孩ly tu，生活很有趣
10600,Ugwc8EF4Y0vEjMYuh5d4AaABAg,0,3 years ago,i think to live this life is satisfying but difficult.it's good for the soul.,我认为过这种生活是令人满意的，但很难。这对灵魂有益。
10557,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZfTPHJJr,0,2 years ago,"@ralfhtagnong9862 i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","@ralfhtagnong9862我恳求上帝，一吨满足您的生活，您和您的家人仍然一贯开朗。

因此，我的恳求您是否可以请求我的帐户。"
10555,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EwZdNdUK98,0,2 years ago,"i supplicate god that a ton of satisfaction went to your life and you and your family remain consistently cheerful. 

consequently of my supplicate would you be able to please subcribe my account.thanks ahead of time for following","我恳求上帝，您的生活充满了满足感，您和您的家人一直保持开朗。

因此，我的恳求您是否可以请求我的帐户。"
10365,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rxCryxw3i,0,3 years ago,there is vast difference between her working all day and eating whole pot and not getting fat whereas us our unhealthy lifestyle,她整天的工作与吃整盆，不胖，而我们的生活方式不健康，这是巨大的差异
10522,Ugy2evfB1S4Zqrg2xiN4AaABAg,0,3 years ago,"i found that her channel is about two weeks. i seemed that she had just watched her video at the beginning. she couldn't believe it. a beautiful and young girl would be amazed. one night, the video was very tired (not smooth) and slowly felt a bit unreal when watching too much. it was just like an actor who needed to experience life for a certain shot. before she shooting practice it yourself, and then make a video, otherwise it will not be explained! there is definitely a team behind it. a young girl must learn so many skills in such a short time and it is impossible to be self -sufficient. it is impossible to learn so many skills by living at the age of 60, although i have i have any with such an analysis and conclusion, even if she is an actor, she is a diligent, clever and capable actor.",我发现她的频道也就二星期左右，实事求是说刚开始看了几期她的视频真的不敢相信，一个貌美、年轻女孩子会那么多各种“技艺”惊叹不已，断断续续看了几个晚上，视频看得很累（不顺畅）看多了也慢慢感觉有点不太真实，是乎是一个演员为了某一镜头需要去体验生活一样，在她拍摄前可以请人帮教，再经过自己练习，然后再拍成视频，否则无法解释！背后绝对有团队在操作，一个如此年轻的女孩子在这么短时间内要自学那么多技能又要自给自足根本不可能，按一般常理就算活到60岁也不可能自学那么多技能，尽管我有有这样的分析与结论，就算她是个演员也是个勤奋、聪明、能干的优秀的演员。
10466,UgyWdVnZa1MpPLFfSht4AaABAg,0,3 years ago,their life is just so simple i want that life unlike life in los angeles it's crazy here,他们的生活是如此简单，我想要与洛杉矶生活不同的生活，这里很疯狂
10431,UgwFRtAEvMN1AST3KiN4AaABAg,0,3 years ago,imagine what the world will be like if we all live our lifes like that???? i grow up to quite the same set up but back then i was 8 and i dint had much control over it. now im 34 and hope some day to go back to this life style.,想象一下，如果我们所有人都这样生活，世界将会是什么样的？？？？我长大了到完全相同的设置，但是那时我是8岁，我多么控制它。现在我34岁，希望有一天能回到这种生活方式。
10420,Ugzwtoxd4zFrOrov89Z4AaABAg,0,3 years ago,"this girl's dish, probably eat all lifetime",这个女孩的菜，可能会吃一生
10417,Ugy603Me-MKx9ZLao6R4AaABAg,0,3 years ago,"how can u cook many thing, i will glad if i can work with u in life one time",你怎么能煮很多东西，如果我可以在生活中与你一起工作，我会很高兴
10408,UgztcpiWAzZOYF52PvR4AaABAg,0,3 years ago,her daily life looks so peacefull...,她的日常生活看起来很平静...
10406,UgzLLfF5xcDMgsoG2tN4AaABAg,0,3 years ago,beautiful life style,美丽的生活方式
10395,Ugxo9ke_7YPUjApxuUt4AaABAg,0,3 years ago,she living the best life,她过着最好的生活
6201,UgzI7f2FWOqZt9rkzCp4AaABAg,0,2 years ago,sweet life ๐ฅ๐ฅ๐ฅ๐ฅ,甜蜜的生活
6177,UgywJ4_utME2fp3MAWN4AaABAg,0,2 years ago,this kind life is better than modern life...,这种生活胜过现代生活...
6158,UgxcgA7gjQQZFcZ6BMR4AaABAg,0,2 years ago,life its all about eating ๐,生活就是吃
2118,UgxhRpi4XvfF_L0EXJd4AaABAg,0,1 year ago,i wish i could have this kind of life. i once lived in a place like this growing up and miss it.,我希望我能拥有这种生活。我曾经住在这样的地方长大并错过了它。
2286,UgwachdYR_IOncSC1N54AaABAg,0,1 year ago,such a great and wonderful life in the middle of beautiful forest,在美丽的森林中间，如此美好而美好的生活
2255,UgyLSlqPMyPq_Pfdd2p4AaABAg,0,1 year ago,i live with this life ... love you ❤️,我生活在这一生...爱你❤️
2181,UgzrZeuZOlyVwujEYhJ4AaABAg,0,1 year ago,you make life seem beautiful thank you for your inspiration,你使生活看起来很美，谢谢你的灵感
2174,Ugx3lidKnrevwmjJ4Zt4AaABAg,0,1 year ago,so cute all background real life i like so much ziqi...,如此可爱的所有背景现实生活，我非常喜欢ziqi ...
2157,UgwvTnVECPWUPzi66tN4AaABAg,0,1 year ago,i shouldn’t have watched too much of discovery channel whole life.. first thing in my mind when i watched her in forest “ what if there is a green viper camouflaged ”,当我在森林里看着她时，我不应该看很多发现通道。
2143,Ugy9XXS0VR0jfjoa2GN4AaABAg,0,1 year ago,"the being that will reu store you to life at resurrection is such that the whole cosmos is like an obedient soldier of his. it ubows its head submissively whenever it hearsı the command, “be!”, and it is.to create a spring is easier for him than the creation of a flower. risale-i nur collection",将使您在复活中栩栩如生的存在使整个宇宙就像他的听话士兵。每当听到命令“ be！”时，它会顺从地ub缩，这对他来说比创造一朵花更容易。 risale-i nur系列
2138,UgyBoYgfNdxXz8meh3V4AaABAg,0,1 year ago,envy life ... i want to live together,嫉妒的生活...我想一起生活
2132,Ugynpqj_qRsKtAHLTgx4AaABAg,0,1 year ago,life goes on,生活仍在继续
2099,Ugx0No5wbZPjudMokWJ4AaABAg,0,1 year ago,a more satisfying and meaningful life than sitting in traffic two hours a day to go to a boring job,比每天两个小时坐在交通中更令人满意和有意义的生活
2300,UgwkokJL_XnIeLrP-Wd4AaABAg.9UdU840_FyM9Udzjb3orsR,0,1 year ago (edited),"you're like the equivalent of explaining to people why disney princesses and happy endings aren't real. like, dude, everyone knows. but life in the countryside can also be very relaxing for some people. i've lived in the countryside and my people do as much work as liziqi shows in her videos. sure life in the countryside isn't as pretty as she makes it look, but it's achievable and a dream for some people. some of yall are so bitter and for what.",您就像向人们解释为什么迪士尼公主和幸福的结局不是真实的。就像，伙计，每个人都知道。但是，对于某些人来说，乡村生活也很放松。我住在乡村，我的人民做的工作与Liziqi在她的视频中所显示的一样多。当然，乡村的生活并不像她看起来那样漂亮，但是对于某些人来说，这是可以实现的和梦想。你们的一些人是如此的痛苦，并且是什么。
2084,UgzDgvx9pybW6oFtqrV4AaABAg,0,1 year ago,"“god loved the world like this and gave a beggar -only son, so it is not to be destroyed by anyone who believes in eternal life. those who believe in me are not judged, and those who do not believe are already judged because they do not believe in the name of god's begotten son. ”john 3: 16-18",“上帝爱着这样的世界，并给了一个只有乞g的儿子，所以不要被任何相信永生的人摧毁。那些相信我的人不受审判，而那些不相信的人已经被审判了不要以上帝生的儿子的名来相信。”约翰福音3：16-18
