,cid,votes,含life,含life中文翻译
40166,UgyBooPh1avLqcAkcRd4AaABAg,0,a very simple life we can have!,我们可以拥有的一个非常简单的生活！
40164,UgwjdLx6L9TZPirTYdN4AaABAg,0,ordinary without losing elegant life,平凡而又不失优雅的生活
40163,UgzfPRywKjnyz98qeZx4AaABAg,0,they're life seems simple yet peaceful been watching their videos i love it,他们的生活似乎很简单，但是和平看着他们的视频，我喜欢它
40147,UgyB7S2HSEXwBEu-o194AaABAg,0,woooow ♥ what amazing life,woooow♥多么神奇的生活
40141,UgwRNq8Tja0Ee_mrgcx4AaABAg,0,i fell in love with this channel i mean specially her. i always imagine life like this somewhere in china or japan but i am in southeast asia. always feel peaceful thinking and see how great old generation live without modernization still happy and comfortable and have everything they need. i hope someday when technology reach its peak we will be back in old generation again but this time more traditional modern way. balance between real life and tech. i will supprt this channel watch her videos and also the ads,我爱上了这个频道，我的意思是特别是她。我总是想像中国或日本某个地方这样的生活，但我在东南亚。始终感到和平思考，看看没有现代化的伟大的老一代仍然幸福而舒适，并拥有他们需要的一切。我希望有一天，当技术达到顶峰时，我们将再次回到老一代，但是这次更传统的现代方式。现实生活与技术之间的平衡。我会建议您观看她的视频和广告
48510,Ugw2mVv59f42vmZxZpB4AaABAg,0,recognize and miss this ancient life! thanks to ziyi for letting us open.,认同而且怀念这古早味的生活！感谢子柒让我们大开眼界。
40133,UgwGIwg0PLYgonMCtqV4AaABAg,0,"fairy who does not eat the fireworks in the world, her life experience is fun. both shooting, sound effects, and editing are beyond my imagination, and it is worth recommending.",不食人间烟火的仙女，她的生活体验，令人乐在其中。无论拍摄、音效、剪辑都超乎我想像，值得推荐。
40087,UgwiiMTksmxNG9vrdNR4AaABAg,0,very super life,非常超级的生活
40086,Ugxqi5BtFsf4SQ4GZK54AaABAg,0,"my grandparents lived their whole life in the mountains. in my western educated adolescent eyes, they had nothing, the mountains had nothing. now i am older, and wiser, i realise that they had everything. the everything we as a people and a nation might never have the chance to return to. you videos and the millions who like them give me hope.",我的祖父母一生都在山上生活。在我西方受过教育的青少年眼中，他们一无所有，山脉一无所有。现在我年纪大了，更聪明，我意识到他们拥有一切。我们作为一个民族和一个国家的一切可能永远都没有机会回到。您的视频和数以百万计的人给我带来了希望。
39314,Ugz4VNxro270WqCBDz54AaABAg.8ssfrNd3LGF8stqlmzeGT1,0,"@yms159 the cities, development and technology tired us, and life has become loud, meaningless, cabian markets and surfaces that are imprisoned for us, phones, and the internet, stealing time from us to the point that everything in our lives has become similar to the degree",@yms159城市，发展和技术疲倦了我们，生活变得响亮，毫无意义，出现的购自市场和表面，这些市场和互联网被囚禁在我们，电话和互联网上，从我们那里窃取了时间，以至于我们生活中的一切都变得相似在程度上
33137,UgxYcru6MDhH5SAI_HN4AaABAg,0,i have always wished a life like this . pure close to nature,我一直希望这样的生活。纯粹接近自然
49172,Ugw_zhQvf3oMZ6r_fph4AaABAg,0,happy chinese new year! thank you so much for sharing your life with us. i just adore your videos. lots of love from alaska!,农历新年快乐！非常感谢您与我们分享生活。我只是喜欢你的视频。来自阿拉斯加的很多爱！
38272,UgxCSiFYpUE0FAy0FgN4AaABAg,0,"shi is a superstitious and a life full of recreation and simplicity, very far from noise and psychological pressure",什叶是一种迷信，充满娱乐和简单的生活，远离噪音和心理压力很远
38479,Ugx5v8sRL4gPWGuzs6l4AaABAg,0,most ofd channels they are showing talents but here she is showing traditional chinese lifestyle... i love it from tamil nadu,他们表现出才华的大多数频道，但在这里她展示了中国传统的生活方式...我喜欢泰米尔纳德邦
38437,UgyrBeoJgyHLxQn0M9p4AaABAg,0,"if you need anything you need a wife like this, this life does not regret ๐๐๐๐",如果您需要任何这样的妻子，那么这一生就不会后悔
38433,UgxIoKQWE5jXT2fHZfl4AaABAg,0,beautiful life style! i love your sweet relationship with your grandma!,美丽的生活方式！我喜欢您与奶奶的甜蜜关系！
38416,UgwACqQJOE335wYkDQJ4AaABAg,0,"chinese, slow life?
i was scared because there were no japanese in the rice","中国人的生活缓慢？
我很害怕，因为米饭里没有日本人"
38386,Ugzyvv4syoHucFpiOkp4AaABAg,0,my life is so boring,我的生活很无聊
38378,UgxIinbE6LMEloM6uG14AaABAg.8tZlU0n7y0m8tZusEhHJgC,0,"if you are false, you can live this life like this, because she has the ability to live like this and be happy in it",你若这样是虚假，人家这样过生活再真实不过了，因为她有能力这样活着，而且乐在其中
38349,UgzFyfGeKXRAQ7NQV294AaABAg,0,this is what u get when u take all the b.s put of the world and keep the beauty and natural primitive parts of the world in. u get happy people who do nkt need all the cell phone and technology in life like here in america. if the world was to collapse today this women would still be the same never change and smile every day doing it while here in amwrica 95% of the country would die in panick or kill each other over each others material things in less thwn a week,当您占领世界上所有的B.S抛弃并保留世界的美丽和自然原始部分时，这就是您得到的。如果今天要崩溃，这个女人仍然会一样，每天都不会改变，每天都在这里微笑，而在这里，该国有95％的国家将死于恐慌或彼此相互杀死，彼此杀死彼此一周的事物
38334,Ugyd0VNcB1qj6TaRod14AaABAg.8t_cVLvNFSH8tb2OT1ku8t,0,pls show your regret to the vegetable too. it also has life.,请同时对蔬菜表示遗憾。它也有生命。
38307,UgxQiu-E5E4J_ZP8KA94AaABAg,0,healthy life,健康生活
38305,Ugx7LuHyoY7nMUCljXJ4AaABAg,0,is there any natural thing that she can't do wow she is amazing i want my life to be like that in the beautiful natural and natural food๐๐,有什么自然的事情她不能做哇，她很棒，我希望我的生活像美丽的自然和天然食物中一样
38280,UgyvIMuA5rtGYeWKW6h4AaABAg,0,"wow this woman is on another level, well done youtube for finally recommending something decent, cant stop watching the rest now lol what a life โคโคโคcan you imagine if this was a retreat dont think id ever want to come home ๐ค”๐๐‘๐ป",哇，这个女人在另一个层面上，YouTube做得很好，终于推荐了一些体面的东西，现在不能停止观看其余的人，大声笑了，您可以想像这是一个静修会，如果不认为ID想回家
38275,UgyUgoJvlxoP9MfUPSh4AaABAg,0,does she really live there? what a wonderful and admirable life,她真的住在那儿吗？多么美好而令人钦佩的生活
38273,UgztOGWeENZMaJj-jYV4AaABAg,0,beautiful life โค,美丽的生活❤
38253,UgyMiCvNNxMj2WFkqld4AaABAg,0,amazing lifestyle..โค๏ธ,惊人的生活方式..❤️
38504,UgzpGIYC1TZSQ8G1nah4AaABAg,0,all i want is such a life very happy.,我想要的就是如此幸福。
38237,Ugz-4sn1MITlET93W0N4AaABAg,0,its like i'm watching a real life ghibli movie...,就像我正在看现实生活中的吉卜力电影...
38233,Ugx9aUIxMyqo3-ArQw14AaABAg,0,"may god bless me, and i will come, as well as your count, work, but i take me
professional marry and comfort me from my life๐ข๐ญ๐’”","愿上帝保佑我，我和你的伯爵会来工作，但我带我去
专业结婚并安慰我一生"
48919,UgxFNvPsbj8yUcmiOB94AaABAg,0,"does anyone know what is going on? like, why are these videos so well produced? who produces them? where on earth are they filmed? these videos baffle me so much i wish i could read chinese so i could understand. it's like a cooking show/lifestyle vlog/also making furniture and stuff, but it's also obviously scripted and produced? i'm so confused. anyway the videos are lovely they're like live action studio ghibli",有人知道发生了什么吗？就像，为什么这些视频如此精心制作？谁生产它们？他们在哪里拍摄？这些视频使我感到困惑，我希望我能阅读中文，以便我能理解。这就像烹饪表演/生活方式视频博客/也制作家具和东西，但显然也是脚本和生产的？我很困惑。无论如何，这些视频很可爱
38202,UgwGB7aNnSInJ3NiIzx4AaABAg,0,for me this woman is a true treasure so lovely and joyful with legendary knowledge of healthy foods and life style just love what she does,对我来说，这个女人是一个真正的宝藏，如此可爱而快乐，对健康食品和生活方式的传奇知识只喜欢她的所作所为
48940,UgwTe60ltmb8qr2MnXp4AaABAg,0,village life is great!,乡村生活很棒！
38200,Ugy3nsOXph-ls_QJzF54AaABAg,0,i would give everything to live a peaceful life like her,我会付出一切，像她一样过上和平的生活
49049,UgxY8zqiOhabM_BO6jJ4AaABAg,0,wonderfulness .. what is the best of her life ...,奇妙..她一生中最好的是什么...
49084,UgzKDubI2RCayXdzZYx4AaABAg,0,your lifestyle is amazing. those who thumbs down need to get a life.,您的生活方式很棒。那些颤抖的人需要谋生。
38149,UgwTjSzzY3tPFYcKN5N4AaABAg,0,a brazilian? this life is very good!,巴西人？今生非常好！
38139,Ugz62fc7P6ezOZLwgOh4AaABAg,0,"how i wish to have such kind of a peaceful and quite life away from the hustle and bustle of city life. to hear the rooster crows, the rain that patters the breeze that gently blows...",我希望拥有如此和平而相当的生活，远离城市生活的喧嚣。为了听到公鸡乌鸦，雨水轻而易举地吹来...
38124,UgzoP6uIfoFptxFxVc94AaABAg,0,"this young and beautiful woman with her big heart, who can do everything and does everything for her grandmother so that she is doing well and she can smile, is a very big role model. it shows us that there is more in life than social media, selfishness and self -portrayal. more people should take an example from her, especially from the west. i find her incredibly inspiring and wish her and her grandma a long healthy and happy life !!!",这个年轻而美丽的女人充满了她的心，她可以做所有事情，并为祖母做所有事情，以便她做得很好并且可以微笑，这是一个非常重要的榜样。它向我们展示了生活中的比社交媒体，自私和自我por虫更多。越来越多的人应该从她那里举一个榜样，尤其是从西方。我发现她令人振奋，并祝她和她的祖母漫长健康快乐的生活！！！
38113,Ugzte9gaWf7bDfooOE94AaABAg,0,i want to have a life like the girl. it seems fun ๐,我想像女孩一样过着生活。似乎很有趣
49113,Ugxmu6dK7Rv-5I08YrV4AaABAg,0,doggoos. sheepoo!!! ❤❤❤. life is complete.,狗狗。 Sheepoo ！！！ ❤❤❤。生活是完整的。
38501,UgwifHbA-FpuLTdwLZd4AaABAg,0,is this a real documentary life of family from that girl and her granny? or is it some kind of commercial video wanting to show how great is chinese village life even in small family,这是那个女孩和她的奶奶的真正纪录片生活吗？还是某种商业视频，想展示中国乡村生活的伟大，即使在小家庭中
38507,UgzoIGpCt9uxuABdaiJ4AaABAg,0,hummm ..... what a beautiful life .... i love it.,嗯.....多么美好的生活....我喜欢它。
39302,Ugz4VNxro270WqCBDz54AaABAg,0,"god bless you, the true meaning of a happy life",上帝保佑你，幸福生活的真正含义
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
39298,UgwEI12sfxI7TSF3dpV4AaABAg,0,never in my life would i find my ideal woman...,我一生中从来没有找到理想的女人...
39287,UgwAjv2zhra-SkeTbed4AaABAg,0,"beautiful postproduction art, and life style remind me a jacky chan old movies",美丽的后期制作艺术和生活方式使我想起了杰基陈的旧电影
48810,UgwHDzR9d3obIYlIbxd4AaABAg,0,the old woman with how well eats .... reaches 200 years of life xd,那个老妇人的饮食习惯。
39245,Ugzl9xiIUGhI-v9Qlat4AaABAg,0,i was born in the wrong continent .... i hope when i reincarnated to be able to lead a quiet life like her ...,我出生于错误的大陆。...我希望当我转世时能够像她一样过着安静的生活...
39226,UgzW1n-U2U2FOlW58lx4AaABAg,0,i wish i have her in my life,我希望我一生有她
39164,UgzSZRYPpyGdRks698l4AaABAg.8swEwD7lEa78swLTe2W53-,0,"it is truly rural life in some regions of china. and she just filmed it with a camera. her villiage might be poor in terms of economic life compare to your city. but the life there doesn't need to be so rich like nyc, la or shanghai. she is satisfied and happy with this self -sufficient lifestyle.",在中国某些地区，这确实是乡村生活。她只是用相机拍摄了它。与您的城市相比，她的村庄在经济生活方面可能很差。但是，那里的生活不必像纽约市，洛杉矶或上海那样富裕。她对这种充实的生活方式感到满意和满意。
39146,UgzSZRYPpyGdRks698l4AaABAg,0,"i don't know ๐• this is too magical to be her real life i think this is chinese campaign in order to make us believe this is life in there, they do stuff like this too denied poverty, i have seen a lot of videos that show a very different scenarios, but it's beautiful as a idyllic life",我不知道
39102,UgzxSAMz_XsmHZjl5_B4AaABAg,0,"u recommend youtube ""li ziyi"" ๐’ please remember to subscribe and share
really records your life and feel ""strong vitality"" with you ~ come on! bleak","
真实记录下自己人生"
39100,UgzgTojuz9IQLCqbTvF4AaABAg,0,heidi in real life ๐๐,现实生活中的海蒂
38988,UgxmuXFj_D_lYFMOq5V4AaABAg,0,"damn that's one very resourceful woman
damn that professional editing
you ain't fooling me with this is a typical life of chinese village girl.
but gimme more","该死的是一个非常机智的女人
该死的专业编辑
你不会因为这是中国乡村女孩的典型生活。
但是gimme更多"
38982,Ugx4NK0M0SFFgL5Ezj94AaABAg,0,the beauty of life in the countryside. .,乡村生活之美。 。
38972,UgwHKjfAAmGKO1MULZ94AaABAg,0,"this is so peaceful to watch. and the food must be delicious.i would like to live a life like that, without all the anxiety, the streets full of trash, the danger and the suffer, the gas smell, the killing,the money awareness, i just want to live a life that i will enjoy and make my soul calm and happy.",这真是太平了。食物必须很美味。我想过这样的生活，而没有所有的焦虑，街道上充满垃圾，危险和受苦的街道，气味，杀人，杀人，金钱意识，我只想生活我会享受的生活，使我的灵魂平静而快乐。
38921,Ugy2JWwoFMS7Mu8Od0V4AaABAg,0,"god, my dream is my life, i cannot descend ... ๐๐",上帝，我的梦想是我的生活，我无法下降...
38899,UgwMGunL_zVmrxgLlPB4AaABAg,0,i wanna live with u can u take me ๐๐๐๐๐๐i love this life style,我想和你住在一起，你能带我吗？我爱这种生活方式
38543,UgyqUHq-OMb28d51h-t4AaABAg,0,you are living the life i want,你过着我想要的生活
38891,Ugx_R61aDFue2YljMdl4AaABAg,0,"hello, i dont know your name or your channels as it is written in chinese.
you seem living a beautiful life, how old are you?
you are pretty btwโบ","您好，我不知道您的名字或用中文写的频道。
您似乎过着美好的生活，你几岁？
你很漂亮"
38871,Ugx2HFrkn90_2nxs9Nt4AaABAg,0,this is life,这就是生活
38841,UgxxORyWRjAJZh9AFv94AaABAg,0,"i love hig, a simple and sweet life",我爱希格，一个简单而甜蜜的生活
38837,UgzGOxtCTRf3v7vCqjF4AaABAg,0,"touching yet sad video because she represents the thousands many girls in asia who will never find a family life of her own but stay behind to look after hard dying grandma who will not share a bread crumb with the cute starving pups! mind you given a chance, she will eat those puppies ๐•๐‘๐๐‘",令人感动而又悲伤的视频是因为她代表了亚洲的成千上万个女孩，她们永远找不到自己的家庭生活，而是留下来照顾垂死的奶奶，她不会与可爱的饥饿幼犬共享面包屑！介意你有机会，她会吃那些小狗
38782,Ugz2jsAwYEfQWQDvXDl4AaABAg,0,"zi yan, who would marry you! it's just saving the galaxy in the last life",子柒，谁要是娶了你！简直就是上辈子拯救了银河系
38763,UgzpX-xVvvtNh6Xmf814AaABAg,0,such a peaceful life.,如此和平的生活。
38753,UgxR526ML0VY4YI8sop4AaABAg,0,"li ziyi
thank you very much for your sincere sharing. for the first time, i was deeply attracted by this carefree life. i wish your channels better and better.","李子柒 
真的很感谢你的真诚分享，第一次看，就被这种无忧无虑的生活所深深吸引，祝愿你的频道越做越好，赞。"
38686,UgyC0Vf39FchUCE1Iwh4AaABAg,0,"this kind of life is really refreshing, all of them are given by nature. although it is hard, the deliciousness is all relying on your own strength โค",这种生活真是心旷神怡，全是大自然的赋予。虽然辛苦，但活的好吃的好全是靠自己的力量❤
38644,Ugzk6fjNM5R3wfh1l0t4AaABAg,0,this is full life .. not live and eat that industry puts,这是充实的生活。
38593,UgwkKi5K3Hz518uBP114AaABAg,0,"fried sun flower seeds not melon !
thats the good life,,they have !!!","炸太阳花种子不是瓜！
那是美好的生活，他们有！！！"
38572,UgxlIPgGZTpgOOn1wJd4AaABAg,0,it's a natural life,这是自然的生活
38562,Ugw4JwWq_h9lt3XCMY54AaABAg,0,what a busy life ~,好忙碌的生活喔～
38552,UgyWyXU2BDQdNfZX6fx4AaABAg,0,i feel like im eating crap my whole life.,我觉得我一生都在吃废话。
37580,UgwPfmveh0GEJCPltbd4AaABAg,0,"feels like, life like that is truly enough โค๏ธ",感觉就像那样的生活真的足够❤️
47,UgwuDEd9v3B0RZni7Od4AaABAg,0,"a beautiful, simple life full of vitality and life, thank you",美好，简单的生活充满活力和生活，谢谢
33133,Ugw6OhS_Ud50GQdq3J54AaABAg,0,it feels like (harvestmoon real life),感觉就像（Harvestmoon现实生活）
14800,UgwOoIWDkEOOIgJ96mh4AaABAg,0,this is life evry1 wants should b,这是evry1想要的生活
15315,Ugz6z1Q4sAsHr7HHXeF4AaABAg,0,i want to be the next life ... i want to live in more villages with trees and plants .. i think this is better than a city with a building haha,我想成为下一个生命...我想住在一个树木和植物更多的村庄..我认为这比一个拥有建筑物的城市更好哈哈
15278,Ugyk6NTk-BU2L5kYqIN4AaABAg,0,the wonderful content has expanded to this day. religious beliefs of various martial arts. the performance of product insurance resources that have been seriously affected has greatly reduced proliferation. the suspension of the financial marketing will be suspended is the influence of the premeditated crime method of the incidence of crimes in the incident of many disaster -oriented casualties.,真是精彩内容扩大到至今。各门派的宗教信仰人物。遭受严重影响的产物保险资源业绩大幅减少增殖。金融市场营销会遭遇停工是您们群组成员不伦不类所造就不少祸端伤亡事件发生率的预谋犯案手法相当大的影响力。
15273,Ugw4xc_VmGJ1yPTtcuZ4AaABAg,0,"seems so easy life, not .. not at all so easy life for world's 99.999999 % people",似乎是如此轻松的生活，不是..对于世界99.99999％的人来说，这根本不是那么容易的生活
15223,UgyHTBxfbnOo063npyt4AaABAg.99n1nHDQ78n9AZ8l22Vsub,0,i hope she has rival in japan name mononoke. my life will perfecr,我希望她在日本有竞争对手的名字莫诺克。我的生活会完美
15140,UgwJ1TjuMNoMDZPD-FJ4AaABAg,0,blessing of low life.,低生活的祝福。
15115,UgznD4SO88k3luWTsH14AaABAg,0,"i liked that place where you live, village life nature people i would like visit this place",我喜欢你居住的地方，乡村生活大自然，我想参观这个地方
15052,UgwP1I4RE1drYh3ZJ-h4AaABAg,0,i could get used to that life,我可以习惯那个生活
15016,UgwmP_NKRdZSznkAVRZ4AaABAg,0,i love your lifestyle,我爱你的生活方式
14905,UgzcJcigAfV296RddwF4AaABAg,0,you inspired me even if life is hard you still make me confident and proud for myself and looking up i realized i'm not a nobody,即使生活艰难，您也会启发我
14873,Ugwa8SGXBU7WGEloOCp4AaABAg,0,life is like a show,人生如戏啊
14869,Ugyu2yRFX0FLR00LvTB4AaABAg,0,can i come and leave with you? tied of the modern life,我可以和你一起去吗？与现代生活有关
14861,UgwG5QJ1PIkD82HJfuV4AaABAg,0,"i also like this idyllic life, full of energy, sunshine, love, magnetic, attractive, i hope my life is as happy as li ziqi, so i like cute animals, do you like small animals? ?",我也喜欢这种充满活力，阳光，爱，磁性，吸引力的田园诗般的生活，我希望我的生活和李Ziqi一样幸福，所以我喜欢可爱的动物，你喜欢小动物吗？ ？
14838,UgyWSpv-PVCxFiPTVn54AaABAg,0,my hoby is best life,我的爱好是最好的生活
14811,Ugz557AuETIpHcOv8Hx4AaABAg,0,beautiful life,美丽的生活
