,cid,votes,含watch,含watch中文翻译
34310,UgykGyMZPqB3ze-tchh4AaABAg,0,"when ever i am stressed i watched ur videos it’s amazing , pls add english subtitle , big fan frm india -kerala",每当我感到压力时
34067,Ugy2zoAGT2Ad9sqV-154AaABAg,0,nice! new video again! she’s the only one i don’t ignore. as soon as i see a new video watch it right away.,好的！再次新视频！她是我唯一不忽视的人。我一看到新视频立即观看。
34076,UgxwjfUrx_YUMvrIZQ54AaABAg,0,yoo why am i watching this at 1 am bruh i need a bowl of that asap,是的
34106,UgwVp-GyblfYdYzyERB4AaABAg,0,eventhough i don't eat nonveg food... still i like watching her making non-veg food... and such a hardworking women she is... true inspiration,尽管我不吃不吃蔬菜的食物...但我仍然喜欢看着她做非蔬菜食物……而且她是一个勤奋的女人，她是...真正的灵感
34108,Ugxy1nSwkcWaI6qngIB4AaABAg,0,"now in the troubled times of hong kong, watching her video can find the calmness of the soul. bleak",现在香港乱世，看会儿她的视频才能找回点心灵上的平静。
34137,UgxoIkgJT6W1IWsvsMh4AaABAg,0,here i am again watching li ziqi instead of doing my assignments.,在这里，我再次看着Li Ziqi而不是进行作业。
34170,UgwCRgvCCW4MEzKtS2Z4AaABAg,0,"everytime i watch your videos, i was like ""ugh! heaven!""",每当我观看您的视频时，我都会像“嗯！天堂！”
34182,Ugy_9kusW6RXdEJyN2F4AaABAg,0,who is watching from bangladesh ??,谁在孟加拉国观看？
34202,UgyINYTqvbtS4b3GbGp4AaABAg,0,hit like if anyone is watching from tamilnadu...,如果有人从泰米尔纳德邦看...
34235,Ugx7h3ZRzZyMtl2iznN4AaABAg,0,i really miss the translation. but i learn so much just watching.,我真的很想念翻译。但是我学到了很多东西。
34237,UgyPjnILqmDD6C-BuFp4AaABAg,0,"very good, watch every clip, like and follow",很好，观看每个剪辑，喜欢并关注
34265,Ugxs4YKLZVZOwktUi5F4AaABAg,0,"liziqi i respect you and your country and your delicious food technique how to make/cook food. but i m vegetarian but i do like your food recepie and ingredients which we can put or mix in our food, thank you very much. i watch your video all.",Liziqi我尊重您和您的国家以及您美味的食物技术如何制作/烹饪食物。但是我是素食主义者，但我确实喜欢您可以在食物中放入或混合的食物和食材，非常感谢。我全部观看了您的视频。
781,UgyxGkXSVkMpNlyDiKp4AaABAg,0,everyday life is almost the same as in indonesia watching this video makes me feel like i'm back in my childhood,日常生活几乎与印度尼西亚观看这段视频一样，让我觉得自己回到了童年时代
34307,UgzSzr-gGxRrc4gtQ_x4AaABAg,0,that's is yummy with coconut milk watching from manila philippines,那真是美味，从菲律宾马尼拉观看椰奶
732,Ugy6_GaMsRXR63sluFB4AaABAg,0,"i was looking for this person, accidentally met his channel after watching japanese bamboo cultivation videos. before i made friends on fb, almost all the videos on fb i watched. now i found on youtube.thank.",我一直在寻找这个人，看了日本竹制耕作视频后不小心遇到了他的频道。在我在FB上结交朋友之前，几乎所有我看过的FB上的视频。现在我在YouTube.thank上找到了。
34786,UgyuqbMpyQBpKEgkU694AaABAg,0,"i always watch your video asap every time you upload it. your video is like an art that shouldn't be missed unless i'll regret it, greeting from indonesia ^ ^",每次您上传时，我总是尽快观看您的视频。您的视频就像是一部不容错过的艺术，除非我会后悔的，否则来自印度尼西亚的问候 ^ ^ ^
34389,Ugye2ubCGoD-5OdjfX54AaABAg,0,i watch you vvligs by your name...plz english subtitles so i can know what you are cooking...,我以您的名字看着您VVLIGS ... PLZ英语字幕，以便我知道您在做什么...
34434,UgxN2vtOv4sdHzULsuh4AaABAg,0,"every video and the more i watch her i fall in love with her, shes such woman goals and especially what this generation needs too see, this is real beauty not the fake plastic beauty thats huge these days.... real beauty over fake beauty any day, 100% real talk",每一个视频，我看着她越爱她，她是她的目标，尤其是这一代人也需要看到的，这是真正的美丽，而不是假塑料美，这是这些天的巨大每天，100％真实的谈话
725,UgxPO4d2VNpU3ypszbp4AaABAg,0,"watch more

https://youtube.com/channel/uc7dlphg5goendx1lwntwxea","观看更多

https://youtube.com/channel/uc7dlphg5goendx1lwntwxea"
34473,UgxTwSDatDw8Gu2fD1R4AaABAg,0,"finally, i ate it well enough, and i am hungry after watching it","最后吃得够豪迈,看了都饿了"
686,UgxGVD_VU1C9YZUK53F4AaABAg,0,i loved to watch people working hard and then deserve to enjoy themselves. people working hard under the sun.,我喜欢看人们努力工作，然后应该享受自己。人们在阳光下努力工作。
34518,UgzXTXMx3XVtRGsaeBl4AaABAg,0,i like her very much. watch every episode.,我非常喜欢她。看每一集。
34627,UgwKvelYFScHTqZqwgl4AaABAg,0,always peaceful watching your videos,总是和平观看您的视频
644,UgwgMkp2upcdB0hyxGl4AaABAg,0,i feel motivated after watching her...,看着她后，我感到有动力...
616,Ugz_Q5obMXTRIi1K-eV4AaABAg,0,"we ought to completely change the way we grow our food; cook...and relate to the seasons. observing nature and food also reveals its mathematical structure; the fibonacci-virahanka numbers are dotted in each flower (sunflowers, daisies ...). we are naturally wired for mathematics - a discussion follows - that tries to set right our relationship to mathematics and learning. https://www.youtube.com/watch?v=qr1kaj3t8mc",我们应该完全改变食物种植的方式；做饭...并与季节有关。观察性质和食物也揭示了其数学结构。每朵花（向日葵，雏菊...）点缀着斐波那酸维拉汉卡的数字。我们自然要进行数学的联系 - 进行了讨论 - 试图将我们与数学和学习之间的关系设定正确。 https://www.youtube.com/watch?v=qr1kaj3t8mc
582,UgzYmB4Ov61iMud61MR4AaABAg,0,https://www.youtube.com/watch?v=bx-tr7_v4dw&t=2s,https://www.youtube.com/watch?v=bx-tr7_v4dw&t=2s
576,UgxWXIsHEMN-yTScW7d4AaABAg,0,i want to see my sister making another cooking clip to make us watch again.,我想看到姐姐做另一个烹饪剪辑，让我们再次观看。
34724,UgwBwDQUBrqv-ceuvMx4AaABAg,0,"liziqui, i became a hardcore fan, i kept watching your video until the end, because i learned some knowledge about chinese cuisine",liziqui我成了一个铁杆粉丝，我一直看着你的视频，直到最后，因为我学到了一些关于中国菜的知识
34729,UgxdNNdHb6ossFKLb7V4AaABAg,0,"i knew there would be a reward for staying up until 3am here in the eastern usa, liziqi released a new vid!!! i've been watching her from her first few weeks on youtube, when a month old video would have less than 10,000 views and now ten minutes after posting this video has 35,000 views and by tomorrow it will be close to two million! you just can't deny her magic...","我知道熬夜在美国东部的凌晨3点会带来回报，利兹基发布了一个新的vid ！！！我一直在YouTube上观看她的前几周，当时一个月的视频将少于10,000次观看，现在发布此视频后十分钟有35,000次观看次数，明天将接近200万次！你只是不能否认她的魔力..."
32596,UgxHOG5gzxhiJ9kxF294AaABAg,0,"i've never been so connected in my life watching a video even if it's not dubbed and subbed in english. never stop making videos, love from the philippines ❤",即使视频不被英语配音和替补，我一生中从未如此联系过。永远不要停止制作视频，菲律宾的爱
32594,UgyAu8_c-sxjpGT9uK14AaABAg,0,her videos are so relaxing and beautiful. it is amazing. when i watch it i think she has the key of the happiness. hi from spain. keep healthy.,她的视频是如此放松和美丽。太神奇了。当我看它时，我认为她有幸福的钥匙。嗨，来自西班牙。保持健康。
1709,Ugyq-cL3_dn18kcxURR4AaABAg,0,"i used to be 5 years old, i like to watch the channel until now i have been 12 years old, i still like watching",我曾经5岁，我喜欢看频道，直到现在我已经12岁了，我仍然喜欢看
2603,UgwRzJLGbSZVV2D_JMN4AaABAg,0,https://www.youtube.com/watch?v=yiy7tuv3m3w,https://www.youtube.com/watch?v=yiy7tuv3m3w
30948,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9GLLLAN3x56,0,"please, i believe everyone here would love to watch chef ramsey with friends than a boring story about a woman looking after her grandmother",拜托，我相信这里的每个人都希望与朋友一起看厨师拉姆齐，而不是一个关于一个女人照顾祖母的无聊的故事
30958,UgwYXBXBdUeyaDHD-uh4AaABAg,0,its 12 midnight now and i cant swallow my mc donald chezburger while watching this awesome food..,现在是12个午夜，我不能吞下我的MC Donald Chezburger，同时看着这种很棒的食物。
30960,Ugyk-c9P-g-0WwgY6Bl4AaABAg,0,"hhhhh, these videos are so relaxing to watch. i wish i could learn how to do all the stuff she's doing",hhhhh，这些视频非常放松。我希望我能学习如何做她正在做的所有事情
30999,UgwoCUUDE8UZuUL8aAZ4AaABAg,0,"watching ziyi picking cowpea, i suddenly remembered my mother -in -law",看着子柒摘豇豆，突然想起了我婆婆
31000,UgwW1dKpEmICwdO4-Zp4AaABAg,0,you never feed the poor puppy who is watching you when you cook. i love your videos. i love bamboo,您永远不会喂那个可怜的小狗，他们在做饭时正在看着你。我爱你的视频。我爱竹子
31016,UgygF_D1QJJyAEjWMVJ4AaABAg.8yVOaKjxbcW8yWe28tROE_,0,my parents often watch,我的父母经常看
31018,UgygF_D1QJJyAEjWMVJ4AaABAg.8yVOaKjxbcW8yWf7U88rIz,0,"@johnhuy0614 real every time i eat rice, the whole family ate and watched her parents praised her to cook well :)))) now i'm still sitting and watching",@johnhuy0614每次我吃米饭时，整个家庭都会吃饭，看着她的父母称赞她做得很好:)））））现在我仍然坐着看着
31063,UgxEJR9pP1uYNHXQ5H14AaABAg,0,https://m.youtube.com/watch?v=5yedlaxfzxy&list=rdmmryucyz9yy9i&index=3,https://m.youtube.com/watch?v=5yedlaxfzxy&list=rdmmryucyz9yy9i&index=3
31105,UgzFgKN2Cm8s_rUHAbd4AaABAg,0,it's 10 pm here and watching this make me hungry.....,现在是晚上10点，看着这个让我饿了.....
31145,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89Y_rce760im,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
31149,UgzRzLZXGOdM8XVOxzZ4AaABAg,0,"in the older video https://www.youtube.com/watch?v=o33prjr_yvi 
there was a [suspense], we don't know what that package is 5:09, now we got the answer","在较旧的视频中
有一个[悬念]，我们不知道该软件包是5:09，现在我们得到了答案"
31153,UgzpZI0x-tLdawNZa-h4AaABAg,0,i watch your videos everyday.. love from malaysia,我每天都在看你的视频..来自马来西亚的爱
2646,Ugw3g9-Amv7dG_jC2ZF4AaABAg,0,"watch ""spend evening leisurely - dry zone sri lanka/ranawara herbal tea/ evening at lake side/ versatile us"" on youtube
https://youtu.be/yuafuxzyjey","在YouTube上观看“悠闲地度过夜间 - 干燥区Sri Lanka/ Ranawara Herbal Tea/晚上/晚上在YouTube上
https://youtu.be/yuafuxzyjey"
31225,UgyDc55gSvTNEowrp7B4AaABAg,0,sorry i meant watching her videos!,对不起，我的意思是看她的视频！
30912,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8z3wAz4_rVL,0,"rocket backhander 
facts rather watch this!","火箭手牌
事实宁愿观看这个！"
31256,UgwNGGsIB_A-T_H4p2d4AaABAg,0,"we love you liziqi 
bless form sri lanka
village kids make delicious star gooseberry dessert | village food

https://www.youtube.com/watch?v=x56pzw-azgo","我们爱你liziqi
保佑斯里兰卡
乡村孩子们制作美味的星醋栗甜点|乡村食物

https://www.youtube.com/watch?v=x56pzw-azgo"
31266,UgxNTa492iJzMxtDNel4AaABAg,0,"there are humans dislike this video. one question why dislike ? just wondering why human dislike this video because is not even contents violence or anything that we watch something bad.
to my opinion liziqi just share how to survive and what you can do with nature, what you can do to make your self better and how to appreciate your environment sorrounding you. all her videos showing really something beneficial to all races from all over the world. she was race by her granma that teached her how to live in this world without giving up. so i think we should appreciate this video. 
as human we always never have enough in our life but she have everything and she managed to do by herself.","有人类不喜欢这个视频。一个问题为什么不喜欢？只是想知道为什么人不喜欢这部影片，因为甚至不是目的暴力或我们观看过一些不好的事物。
我认为利兹奇只分享了如何生存以及您可以与大自然做些什么，可以做些什么来使自己变得更好以及如何欣赏您的环境使您痛苦。她的所有视频都显示出对世界各地的所有种族的有益的东西。她正在遭到颗粒竞赛，教她如何在这个世界上生活中生活。因此，我认为我们应该感谢这个视频。
作为人类，我们一生中永远都没有足够的人，但是她拥有一切，她设法自己做。"
2593,UgyplS6KL_UlhU8bMmt4AaABAg,0,https://www.youtube.com/watch?v=tiurmeglyna&list=uuvf_xskkm5uan0adkx8glug&index=2,https://www.youtube.com/watch?v=Tiurmeglyna&list=UUVF_XSKM5UAN0ADKX8GLUG&index=2 = 2
31299,UgwJdRl67_2UW4JluE14AaABAg,0,watch video missed my hometown!,观看视频错过了我的家乡！
31388,UgwrhOWoKTMzxxewMah4AaABAg,0,i really like when you add english subtitles to your videos. i can recognize most foods in your videos but am also so curious about the ones i don’t recognize. your videos are amazing and i feel motivated to craft things and learn more about traditional methods after watching.,当您在视频中添加英文字幕时，我真的很喜欢。我可以识别您的视频中的大多数食物，但对我不认识的食物也很好奇。您的视频很棒，我有动力制作事物并在观看后了解有关传统方法的更多信息。
2451,UgzbXFcWed10-Hpz-KR4AaABAg,0,888 you will be saved i enjoy watching you,888你会保存我喜欢看你
2443,Ugy1g60xTp-8socwmZx4AaABAg,0,"nice food
https://www.youtube.com/watch?v=tcghkrh8j8i","好吃的食物
https://www.youtube.com/watch?v=tcghkrh8j8i"
31488,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yWBTq8Gkp5,0,@amyding5282 actually i was kind of confused about how she manages to post on youtube. i'm thankful that she can because this is one of the rare youtube channels that i can watch without regretting it.,@amyding5282实际上，我对她如何在YouTube上发布的方式感到困惑。我很感激她可以，因为这是我可以观看的罕见YouTube频道之一，而不会后悔。
2437,UgyV_C3Cg3tppRih1qN4AaABAg,0,i like to watch a lot. it's the best clip.,我喜欢看很多。这是最好的剪辑。
31491,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18ymIMne6swp,0,"franz peters https://b23.tv/av62513709 this is the link.compared to watching these in youtube,many chinese fans prefer watching in chinese video app,because chinese app is much better to use.",弗朗兹·彼得斯（Franz Peters）https://b23.tv/av62513709这是Link.com在YouTube中观看这些内容的链接，许多中国粉丝更喜欢在中文视频应用中观看，因为中文应用程序更好。
31494,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yw7ksFW7mt,0,@lasergames1798 its not available in china. chinese people watch her videos on weibo,@lasergames1798在中国不可用。中国人在微博上观看她的视频
31504,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19Y_rhKIow_p,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
31505,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19Y_rjpYfVfQ,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
30941,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9Cn1rEYFWQC,0,https://www.youtube.com/watch?v=coeyukh_ma4,https://www.youtube.com/watch?v=coeyukh_ma4
30911,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8z-jLFHQyAe,0,love to watching,喜欢看
32572,UgxxlP8Sj4gUU4k2iSl4AaABAg,0,"thanks you liziqi for 3 new video this week
feel so amazed watching you","谢谢您Liziqi本周的3个新视频
感到很惊讶看着你"
3037,UgzOMu6pgqrzzqp3fn54AaABAg,0,tired times with the pressures of life just want to watch videos like these feel extremely peaceful,疲倦的生活压力只想观看这样的视频，感觉非常宁静
30270,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39-69t8tfQKh,0,"nurul fazlina abdullah hey friends .. watch this cutie also 
https://youtu.be/gpwjfcywagg","Nurul Fazlina Abdullah Hey Friends ..也观看此美女
https://youtu.be/gpwjfcywagg"
3213,UgxNIVDuxhdjjFCsOQd4AaABAg,0,i watch from thailand i want to have a house like you i like nature,我从泰国看我想拥有像你一样的房子，我喜欢大自然
30326,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw394CO4MQ1Kga,0,i really like watching videos,我真的很喜欢看视频
30335,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw395XgMp1Pk-X,0,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
30349,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398R-pBB5oed,0,"thank you so much my friend verygood watching video, hahaha watching video wonderful",非常感谢我的朋友非常好看的视频，哈哈哈观看视频很棒
30372,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AJzWwc7UQL,0,i am watching merba from turkey dearer,我正在看土耳其的梅尔巴，亲爱的
30456,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39SGF11umgd6,0,@ bijoysteward5968 https://www.youtube.com/watch?v=yiyukuv3w3w3w3w,@ bijoysteward5968 https://www.youtube.com/watch?v=yiyukuv3w3w3w3w
30472,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Y_q_m3DX5p,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
30486,UgyTuFu8Rv75Jk0ekht4AaABAg.8yVeSPcr8_Y8yWo8lW4PBD,0,watch in line,要排队吧
3109,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9bOAWSVPhHv,0,"you are so right, i try to work my little backyard but is so hard!! you just answered my question, her patio and place wasnt really built by her,there are generations and generations of people who took care of that place before her, new generations are totally ignorant of this knowledge. is nice to watch what she does",你是如此，我试图努力工作，但很难！您只是回答了我的问题，她的露台和地方并不是她真正建造的，几代人和几代人都在照顾她面前的那个地方，新一代完全不了解这种知识。很高兴看她的所作所为
30524,UgzMKEuVJC8es9D956t4AaABAg,0,i could watch her cook all day,我可以整天看她做饭
3101,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9Y_qaRBDvQ-,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
3067,UgwiycbqpB6YcrpvNWV4AaABAg,0,"this life is we all need ...
fake people stress of work pollution air in city ...after watched this video i’m just dream to lived in her home","这一生我们都需要...
假人在城市的工作压力污染空气...在观看此视频后，我梦dream以求的是住在她家里"
2986,UgxbYqzXHJ-O-Bb-b4t4AaABAg,0,"i like watching this, please explain the spy to understand making n anything, so we can try",我喜欢看这件事，请解释一下间谍，以了解任何东西，以便我们可以尝试
2810,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9Y_rf22eo1M,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
30616,UgwlVof6cf2M_uk3-_14AaABAg,0,"i want to say that you are awesome, the tone of listening to you should be sichuan or yunnan, i watched your video this day.",我想说你好棒、听你说话的语气你应该是四川人或者云南人哦、我今天一天都在看你的视频。
30626,UgxUyrQVDEOUSneiEXR4AaABAg,0,"every night before bed, i often watch your video !! i feel very relaxed in my soul.",每天晚上睡前，我经常看你的视频！我的灵魂感到非常放松。
6695,UgwkA22Hwh4EqhUjQ4t4AaABAg,0,i love watching her videos again and again and again...not getting bored...,我喜欢一次又一次地观看她的视频...不感到无聊...
30642,UgyPDmkU-wWRPVKNQ2R4AaABAg,0,"did anyone realize she once upload the video but then dellete it, i remember watch some part of the video. and yeahhhh thanks for uploading again, i bet someone upload the wrong video",有人意识到她曾经上传视频，但随后删除了视频，我记得看了视频的某些部分。是的，谢谢您再次上传，我敢打赌有人上传了错误的视频
30657,UgyDexFiUhRvinsfqCl4AaABAg,0,i absolutely adore this style of video..it's such a pleasure to watch.,我绝对喜欢这种视频。.很高兴观看。
2927,UgyzIkLcDZEi_Hw5d4B4AaABAg.9Qj7umTKX949RnGbAB2svJ,0,"liziqi carefully watches her grandma's diet, this soup maybe too spicy. look for the ice cream video when grandma tries to sneak more ice cream.",Liziqi仔细地看着她奶奶的饮食，这种汤可能太辣。当奶奶试图偷偷溜走更多冰淇淋时，请寻找冰淇淋视频。
30698,UgwqaMwXggT2HbDU8AN4AaABAg,0,so i've been watching some of her videos now and i love them. but i can't help but ask if she is married or not. dont in chinese tradition do they have kids to pass on the culture?,所以我现在一直在看她的一些视频，我爱他们。但是我不禁问她是否结婚。他们不以中国的传统有孩子来传递这种文化吗？
30783,UgwSgRiSNN1ytx1UMed4AaABAg,0,thanks! it is impossible for a beautiful shot to watch in mind.,谢谢！ 美丽的镜头不可能无动于衷地观看。
2900,UgycdmelLKkN8IlJjlt4AaABAg,0,"live for the land 
survive for the land 
that’s why there so healthy and relax...
i rather watch this than some idiots on trending !
wow they really eat that stuff up i kicked my new million dollar car 
trending #1
this to me is a beautiful silent movie!
this is emotions it make me relaxed !!","居住在土地上
为土地生存
这就是为什么如此健康和放松的原因...
我宁愿看这个而不是一些白痴在趋势上！
哇，他们真的吃了我踢了我的新百万美元的汽车
趋势＃1
对我来说，这是一部美丽的无声电影！
这是情绪，让我放松！"
2876,UgyrEeq-_4t-BEt2HIF4AaABAg,0,https://www.youtube.com/watch?v=zell8iphs1s&t=3s,https://www.youtube.com/watch?v=zell8iphs1s&t=3s
2858,UgxrD_ykhBe2kyg1csB4AaABAg,0,it looks delicious !! i'm always watching!,看起来很美味！我总是在看！
30873,UgwRMstfc5x539vXXp14AaABAg,0,"supporting my channel with my sister, i really like to watch your video",与姐姐一起支持我的频道，我真的很喜欢看你的视频
30884,UgwA3UafGqavkXUlUUp4AaABAg,0,"for some reason, it is so easy to watch your video.",由于某种原因，观看视频非常容易。
2372,UgwzL1O_fkLMqqB7WRl4AaABAg,0,i want to watch the game with me 一起,我想和我一起看比赛
2349,UgyFD1hOWtRecNjNrft4AaABAg,0,am i watching from indonesia,我是从印度尼西亚看的
31571,Ugw2Ktj43FpRhYwIcZl4AaABAg,0,watching your videos is so relaxing . bambooshoot is my fav,观看您的视频是如此放松。 Bambooshoot是我的最爱
1807,UgxJN9ObOkeLLHbBB4R4AaABAg,0,i wish if my grandmother would alive ...i would watch it with her.....,我希望如果我的祖母活着...我会和她一起看.....
32164,Ugx-P1YfnlSJlboR6gl4AaABAg,0,"aw!! when i saw my notif! some thing strikes up my body hahaha, im just happy watching my baby ziqi",噢!!当我看到我的通知！我的身体袭击了我的身体，我很高兴看着我的宝贝ziqi
32167,UgweIG6paXaxMw0eP994AaABAg,0,in a time when a lot of bad things are happening in the world watching your peaceful videos are the best thing. i don't even eat any of those foods but the message you are sending us is what i'm hear for. thank you.,在世界上观看和平视频的许多坏事发生的时候，最好的事情是最好的事情。我什至不吃任何这些食物，但是您向我们发送的信息是我所听到的。谢谢。
32200,Ugy9bgTwSL_ZKAHpENV4AaABAg,0,"any one who watched""put your head on my shoulder"" and be curious about the snail noodle,you will find out how it is made in this video.",任何观看“把头放在我的肩膀上”并对蜗牛面对面的人，您都会在此视频中找到它的制作方式。
32204,UgwVa8yilo2HYUHRTmR4AaABAg,0,watch every clip. i like ❤️,观看每个剪辑。我喜欢❤️
1847,UgzCs6k2fmRNFXrE5AN4AaABAg,0,i watched it! intersection intersection,看的我馋死了！！！
32219,UgwVa8yilo2HYUHRTmR4AaABAg.8yUyzpzKcQL8yV1RPN2Ql1,0,"tan, i watched it. why did he do this? there are so many viewers.",谭，我看了。他为什么要这样做？有这么多观众。
32235,Ugyl9hnNcy_d0V_NfgZ4AaABAg,0,very nice and interesting to watch! thank you ! joy and happiness to you!,非常好看，很有趣！谢谢 ！欢乐和幸福给你！
1831,UgzB1sCplmcnGY2UdDV4AaABAg,0,"i miss her sooo much, going to rewatch her old video",我非常想念她，要重新观看她的旧视频
32256,Ugw8B9LmfahRAIBsyFF4AaABAg,0,"is this repost? 
i think i watch it yesterday but not in her official channel so i thought it just old vid but how? or maybe i wrong","这是重新发布吗？
我想我昨天看过它，但不在她的官方频道中，所以我认为它只是旧的vid，但是如何呢？也许我错了"
1811,UgysNT_hH16myZIp9hR4AaABAg,0,"https://www.youtube.com/watch?v=cusyl5ljl8o&t=3s this is a rare german chinese old man, doctor of philosophy, writer, and film and television director. i hope more friends will support lao luo xiaozheng. i wish my friends a happy chinese new year! thanks!",https://www.youtube.com/watch?v=CUsyL5lJL8o&t=3s 这是一个已经古稀的德籍华人老头、哲学博士、作家、影视编导特为老罗小曾而作。希望更多的朋友支持老罗小曾。预祝朋友们春节快乐！谢谢！
32278,UgwFrvFyxNTrRFfXEQ94AaABAg,0,only liziqi's video that i love just watched,我喜欢观看的只有Liziqi的视频
32281,Ugyj24DguNLdUSLInUh4AaABAg,0,"the snail powder is really delicious, i like the most!
however, i am strange ... what are the reasons for these foreigners to watch the video? i do not understand.","螺蛳粉真的很好吃呢，我最喜欢了！
不过，我很奇怪……这些外国人 ，是出于什么原因来看视频？我不太懂。"
32292,UgyOvFh998404U1amwB4AaABAg,0,if arabs are watching like you,如果阿拉伯人像你一样看着
32315,UgxM2R29Zhz9Uh1Ism14AaABAg,0,"this often, like this, i like to watch very much. enjoy. i don't want it to end.",这通常是这样，我喜欢看很多。享受。我不希望它结束​​。
31580,UgwEW_Sb1M2mO6XCMRl4AaABAg,0,watching your video feels good for healing,看着你的视频 感觉好疗愈
32342,UgyT5YqHs_v8ffhNx6F4AaABAg.8yUveqa7FtE8yVPYcGZ_Uh,0,erika d oh rewatch it then,Erika d oh重新观看，然后与英语潜艇一起享受
32350,Ugzy3z61gCI4EfFiwSJ4AaABAg,0,always watching your new video.. from indonesia,总是看你的新视频..来自印度尼西亚
1786,UgwnOLHxaWllwiieEKZ4AaABAg,0,"this is the first time i watch your video. you are very pretty and also cook very well, peaceful villages, fresh air",这是我第一次观看您的视频。您非常漂亮，也很好做饭，宁静的村庄，新鲜空气
32371,UgxHrpF8FQeeEcny9RZ4AaABAg.8yUvWVoA0jA8ya0S6A2qGu,0,@erichin888 they are chinese students paid by chinese gouvernment who have to watch the videos. no chinese person really likes her boring long videos.,@erichin888他们是中国式薪酬的中国学生，必须观看视频。没有中国人真的喜欢她无聊的长期视频。
32372,UgxHrpF8FQeeEcny9RZ4AaABAg.8yUvWVoA0jA8yvNBWuT5iq,0,franz peters bullshit who told you that . in china there is no way to watch youtube directly,弗朗兹·彼得斯（Franz Peters）的胡说八道告诉你。在中国，没有办法直接观看YouTube
