,cid,votes,time,含skill,含skill中文翻译
45087,UgyL8jGwFOCZQhdALpl4AaABAg,0,4 years ago,who says girls need to wear nice clothes to look pretty? shes already pretty with that cooking skills and kind heart.,谁说女孩需要穿漂亮的衣服看起来漂亮？她的烹饪技巧和善良的心已经很漂亮。
45006,UgzQYU_Rx8F5M5HJXNR4AaABAg,0,4 years ago,how hardworking she is i am fan of her we can not imagine this type of skills,我对她的粉丝有多努力，我们无法想象这种技能
44199,Ugx2teqkJzvBW07ky-h4AaABAg,0,4 years ago,"it is healed by the clean scenery and the colorful of the ingredients, and the skill is good.
it's a wonderful video","它通过干净的风景和色彩丰富的成分来治愈，技能很好。
这是一个很棒的视频"
34886,UgySHhFOR8hEYNM7DM94AaABAg,0,4 years ago,she is very good in cooking and skills full,她非常擅长烹饪和技能
41055,Ugz2ZZsiY505TmNOjz54AaABAg,0,4 years ago,i really like this lady. her skill levels are off the charts! i'd like to be her student.,我真的很喜欢这个女士。她的技能水平不在图表上！我想成为她的学生。
41146,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8sMRXIhLyN7,0,4 years ago,"@supercat1969 old iron, i don't agree with this. my parents were poor at home when they were young, but they still missed the past life. this is not a matter of material, but the feelings and atmosphere of the past rural life. how many people in the city are now in the city's skills and kung fu. can people have no electric refrigerator microwave in the past? it is just that technology products make our lives very convenient. so you can't say that like you ~ :)",@supercat1969 老铁，这话我可不认同哦，我父母小时候家里贼穷，但是还是想念过往的生活。这说的不是物质上的东西，而是过往乡村生活的情怀，氛围，那种悠然自得，自给自足。光人家做事的那些技艺、功夫，现在城里的人又有多少会。以前的人没有电冰箱微波炉不也能过的很好吗？只是科技产物让我们的生活很方便了而已。所以也不能像你这么说哦～:)
41304,Ugxpb226PdyTg6YDGfh4AaABAg,0,4 years ago,she can do so much! is she married? i would be surprised if she was not. so pretty and skilled at many things,她可以做很多！她结婚了吗？如果她不是，我会感到惊讶。在很多事情上都很漂亮
41342,Ugz6poB2qgiJvxqWMg54AaABAg,0,4 years ago,she's got skills,她有技能
41511,UgyapUe_7IhBEpVH7Xp4AaABAg,0,4 years ago,she definitely has some skills. awesome,她肯定有一些技能。惊人的
41554,UgyL1HKK2YVyXtd_OJd4AaABAg,0,4 years ago,<3 lovely! such a skillful lady. i wish i'll have a wonder woman like her in my life!! ^0^,<3可爱！如此熟练的女士。我希望我一生中有一个像她这样的神奇女侠！！ ^0^
42246,UgyWbcFR4PGygh6r98J4AaABAg,0,4 years ago,"you are so beautiful.
and so alone.
i can see how tired and lonely you are in your eyes.
i am glad the puppies and the lamb are now your friends.
i wish i could go there and help you.
i wish you could teach these skills to someone new to pass them on and keep the skills alive.

i would burn quite a lot of things in that wok. that you do not burn anything is a miracle.

may the snow that falls today bring you flowers in the trees in spring to bear fruit in summer to harvest in fall to eat in winter.","你真美。
如此独自一人。
我可以看到你在眼中有多疲倦和孤独。
我很高兴幼犬和羔羊现在是您的朋友。
我希望我可以去那里帮助你。
希望您可以向新手传授这些技能，以传递它们并保持技能的活力。

我会在那只锅中燃烧很多东西。你什么都不燃烧是一个奇迹。

愿今天降雪在春天带您在春季的树木中带您的花朵，在夏天秋天收获果实，冬季吃。"
42324,Ugy7g67eiqmyzdyX2kV4AaABAg,0,4 years ago,how perfection on the dishes i am even collecting some tips to perfect my culinary skills !!! congratulations ;),我什至在菜肴上的完美之选，甚至收集一些技巧，以完善我的烹饪技能！！！恭喜;）
42946,Ugwj0h8m-eQSnsXMocB4AaABAg,0,4 years ago,unbelievable labor and hard works for a small girl! amazingly skillful!,对于一个小女孩来说，令人难以置信的劳动和艰苦的工作！惊人的熟练！
44118,Ugx06Rldh4S7MYRtmGp4AaABAg,0,4 years ago,it is skillful,这是熟练的
43346,Ugy2BOOMHPzSmjJ5X0J4AaABAg,0,4 years ago,your family is so lucky to have amazing skilled person like you,您的家人很幸运能拥有像您这样的熟练人士
43397,UgxqH5M42oh5fTUn-6Z4AaABAg,0,4 years ago,"congratulations, you are a very skilled housewife!",恭喜，您是一个非常熟练的家庭主妇！
43788,Ugwp7RGnXijlvjR0o_l4AaABAg,0,4 years ago,how beautiful and very skillfully!)))))),多么美丽，非常巧妙！））））））））
43953,UgzgbLccZC41D8YO6y94AaABAg,0,4 years ago,i really like the colorful artistry behind her cooking and the skill of making it look easy.,我真的很喜欢她烹饪背后的丰富多彩的艺术性以及使其看起来容易的技巧。
43977,UgyKCPsmOGKpR0DZpuR4AaABAg,0,4 years ago,i can only wish to be that skilled,我只希望成为那个熟练的
44007,Ugy-BGPj9YmGLV9Okf54AaABAg,0,4 years ago (edited),"hello, i wanted to post to your page but i can’t find anything so i’ll just go back to the first video i ever viewed of your channel. i must say, i’m sorry i didn’t know of you sooner. you’re great! & thank you so much for everything you do. you truly are skilled & the hard work shines through. thank you for piece of mind & tranquility. it’s a simple act, but it makes the rest of us feel as humble as you (i hope i can speak for everyone). but no doubt you are blessed & make the rest of us feel that too. thank you.",您好，我想发布到您的页面，但找不到任何东西，所以我只能回到我频道有史以来的第一个视频。我必须说，对不起，我早点不认识你。你太棒了！ ＆非常感谢您所做的一切。您确实是熟练的，辛勤的工作席卷了。谢谢您的思想和宁静。这是一个简单的举动，但它使我们其余的人都和您一样谦虚（我希望我能为所有人说话）。但是毫无疑问，您很幸运，并使我们其他人也感到。谢谢。
44010,Ugx6Wzah_zyXEA_H3Ut4AaABAg,0,4 years ago,"very skilled woman, i wish her all her life is doing well",非常熟练的女人，我希望她一生都过得很好
44098,UgxAgPg2L9aJE42QA2B4AaABAg,0,4 years ago,"wow i'm in love with your skill i wish i had girlfriend like you
who would become a perfect woman","哇，我爱上了你的技能，我希望我有像你这样的女朋友
谁会成为一个完美的女人"
42902,UgzgSNo0gozqvMjrHG14AaABAg,0,4 years ago,she is hardworking full of skill and she deserved to release of recipe book.i love the place of surounding.,她的技巧充满了努力，她应该释放食谱书。我喜欢尖锐的地方。
29097,UgxSwvdVlueih9BiIkt4AaABAg,0,3 years ago,"the puppies and the lambs have their own busy, ziyi is even more busy, the way of doing work is skilled, and the small body plate is very capable. these lives make me dry. come.",小狗和小羊们都各有各忙的，子柒就更是忙啦，干活儿的手法娴熟，小身板大能耐，这些活儿让我干就是一身土，一手脏，累得缓不过来。
34696,UgxDPmSWd1W7zufU7kV4AaABAg,0,4 years ago,"she's skillfull, strong, looks intelligent and looks good. how isn't she married ? t_t",她很熟练，坚强，看起来很聪明并且看起来不错。她不结婚？ T_T
21187,Ugwsvv9XiUAipqaDm2B4AaABAg,0,3 years ago,i really skillful ~ !!,我真的很熟练〜!!
12380,UgwcUYE-vEBqyBSmAnZ4AaABAg,0,2 years ago,"i just started following these videos and i am so much impressed by her, she is so pure, skillful and full of humanity and culture , may god bless her",我刚刚开始关注这些视频，她给她留下了深刻的印象，她是如此纯洁，熟练和充满人类和文化，愿上帝保佑她
13064,UgzPSFaGGUgGnu4HZOZ4AaABAg,0,2 years ago,"i love her working skills 
her life i so touching.","我爱她的工作技能
她的生活真是太感动了。"
13142,UgybBUX-OZiEl7z2DMd4AaABAg,0,2 years ago,"where she is from, she is rich but by western standards, she is not. i'd rather be rich in skill, fresh produce, and care, then have a chef cook for me, it looks like her and her family help the village a lot, lovely video.",她来自哪里，她很富有，但按照西方标准，她不是。我宁愿富有技巧，新鲜的农产品和关怀，然后为我提供厨师厨师，看起来她和她的家人对村庄有很多帮助，可爱的视频。
15673,Ugys1bcXDf9Fz4RcQkh4AaABAg.99M7McB-2UL99Net9-MOIw,0,3 years ago,"yeah and she is a poor chinese girl. when she was little, her parents got a divorce. her mother in law didn't love her so she lived with her grandparents. her grandpa taught her all the skills. but her father and her grandpa died several years ago. now she lives only with her grandmother. she was very very poor and she didn't get enough education, so she had to do all the things on her own. now she gets some money by making the videos but she still lives in this way.",是的，她是一个可怜的中国女孩。当她小的时候，父母离婚了。她的婆婆不爱她，所以她和祖父母住在一起。她的爷爷教她所有的技能。但是她的父亲和她的爷爷几年前去世。现在她只与祖母住在一起。她非常非常贫穷，她没有得到足够的教育，因此她必须自己做所有事情。现在，她通过制作视频获得了一些钱，但她仍然以这种方式生活。
15969,UgwY0KJXUiDboMojQrN4AaABAg,0,3 years ago,itne sare skill and cooking ideas kaaha se aate hai aapko aap har chinz me new krte ho ..,Itne Sare技巧和烹饪创意Kaaha Se Aate Hai Aapko Aap Aap Har Chinz Me New Krte Ho ..
16110,UgzqlZZBw5RwEaZXY3d4AaABAg.98uD5G8DJS699NilQDT6ru,0,3 years ago,"her parents got a divorce but her stepmother didn't love her, so she lived with her grandparents. her grandpa taught her all the skills. several years ago grandpa past away, she didn't get enough education and couldn't get a good job, so she did all the things on her own.",她的父母离婚，但继母不爱她，所以她与祖父母住在一起。她的爷爷教她所有的技能。几年前，爷爷过去了，她没有得到足够的教育，也无法得到一份好工作，所以她自己做了所有的事情。
16602,UgzKBzZupZ1odKD4hKF4AaABAg,0,3 years ago,it amazes me how liziqi can do all these things.. a small girl like her and her skills and abilities are extraordinary..,Liziqi可以做所有这些事情，这让我感到惊讶。一个像她这样的小女孩，她的技能和能力是非凡的。
16616,UgzQ2Ek-yNw_TW7mM354AaABAg,0,3 years ago,"the first time i see her was in south morning china post(i forget the name of the channel) 
i was amazed at how much she can done.. she's from the city so it must be the skills and how smart she is
damn i don't know her youtube channel is at 10m","我第一次看到她是在中国南晨邮报（我忘记了频道的名字）
我对她能做的事情感到惊讶。她来自城市，所以这一定是她的技能和她的聪明程度
该死的我不知道她的YouTube频道在10m"
16732,UgxKTlCAdOs4VwXmy414AaABAg.98ULgDRBjBw98bBf21s99E,0,3 years ago,@fourscoresevenyearsago tell him to spare me sum cash im trynna buy clothe from dollskill,@fourscoresevenyearsago告诉他省去我的总和，im trynna从洋娃娃凯尔买衣服
17749,UgyP80_KJU0zj6WLNdt4AaABAg.97bZzeNENkg97b_18rqZ8T,0,3 years ago,she also has a lot of skill tho,她也有很多技能
18526,Ugz5nuTFvX9oIxD7miR4AaABAg,0,3 years ago,"she is so skillful, really like it",她是如此熟练，真的很喜欢
19065,UgzpobsONcQAMle-Y554AaABAg,0,3 years ago,"what a smart man, a needlewoman, looking at her skill is simply nice.",看着她的技巧真是太好了。
19478,Ugx8HufPAjt4o8sYDGx4AaABAg,0,3 years ago,too skillful,太熟练了
19720,Ugyk28WMSP9EcAs1rNl4AaABAg,0,3 years ago,"although staged shooting, life is shown well. the chinese woman definitely has knowledge and skills.",尽管上演射击，但生活表现良好。中国妇女绝对具有知识和技能。
19848,UgyKyG4zq7K0oSTnJCx4AaABAg,0,3 years ago,i want to know if she practice gung fu and if you can show some of your skills please thank you darling.,我想知道她是否练习Gung Fu，如果您可以展示您的一些技能，请感谢亲爱的。
19946,UgwaTmP3115vto2i_uV4AaABAg,0,3 years ago (edited),"i wish she paid some attention to those poor hungry puppies. not ignoring them. her skill of cooking is gr8, but not her compasion",我希望她注意那些可怜的饥饿的小狗。不忽略他们。她的烹饪技巧是GR8，但不是她的组合
19993,Ugz9Y9AsFE3TDfknFIB4AaABAg,0,3 years ago,"she is amazing, hardworking girl she has to come to usa and own a shop she has a lot and unique skills",她是很棒，勤奋的女孩，她必须来美国并拥有一家她拥有很多独特技能的商店
11872,UgwIr-hY1lkpAUSn5kV4AaABAg,0,2 years ago,"i watch the video and never cease to be surprised, as if i got into a fairy tale, so comfortably so beautifully and everything is so skillfully cooks ,, just smart ,,,",我观看了视频，从不停止感到惊讶，好像我进入了一个童话故事，如此舒适地如此精美，一切都如此巧妙地做饭，只是聪明，
11794,UgwIKFHqsTfOvMrAAvp4AaABAg,0,2 years ago (edited),"i can't explain exactly why i don't like her videos. don't hate it though. i was born and raised in rual china not far from her hometown, 2h drive maybe. this looks familiar, but is not what i experienced. as an amature photographer, i know good shooting skill can make it looks great while keep it real. but i still think it's fake, it's more like staged acting (a well made tv series), and it was made for profit. maybe that's why i don't like it. you can still have a good glimpse of what country life is like in rural china, though it is usually worse than what it looks in her video.",我无法确切解释为什么我不喜欢她的视频。虽然不要讨厌。我是在距离她家乡2小时车程不远的Rual China出生和长大的。这看起来很熟悉，但不是我经历的。作为一名伪造的摄影师，我知道好的拍摄技巧可以使其看起来很棒，同时保持真实。但是我仍然认为这是假的，它更像是演戏（制作精良的电视连续剧），并且是为了盈利而造成的。也许这就是为什么我不喜欢它。您仍然可以很好地了解中国农村地区的乡村生活，尽管通常比她的视频看起来还差。
11528,UgxJCc74Z2ZxNBoZtDN4AaABAg,0,2 years ago,liqki u are such an inspiration for me...i really want to be in nature's shade ....direct me for an excellent gardening skills...plzz rply,liqki u对我来说是一个灵感...我真的很想成为大自然的阴影。
6697,Ugzv5xsZ04THEiZtaRZ4AaABAg,0,2 years ago,"really, how beautiful and wonderful your work is perfect and skillful",真的，您的工作是多么美丽和精彩的完美和熟练
1834,UgxBMPeNL3I5K5HYEZ94AaABAg,0,1 year ago,"adored be ... wonderful person, so skilful, skillful ❤",崇拜是...很棒的人，如此熟练，熟练❤
2422,UgwPX_7GhkTMkY9EeLh4AaABAg,0,1 year ago,"https://youtube.com/channel/ucn-us2qgpy8cczp6c95mrjw
my coconut cutting skill","https://youtube.com/channel/ucn-us2qgpy8cczp6c95mrjw
我的椰子切割技巧"
2520,Ugzme5m6L-6Lhcn9nDV4AaABAg,0,1 year ago,she is so great i like her cooking skills according to me she is more great than cheif....,她真是太好了，我喜欢她的烹饪技巧，根据我，她比Cheif更大。
3576,UgwdSy2GQitLwp79YMB4AaABAg,0,1 year ago,whatever she can do. it is great because god has given her a pair of skillful hands. this is a life that everyone wishes. wish her always succeed,她能做什么。这很棒，因为上帝给了她一对熟练的手。这是每个人都希望的生活。祝她永远成功
4486,Ugwz5m5IuQNV1IqtCf14AaABAg,0,1 year ago,"the most favorite of this ly tu that, after watching this reason, she likes to skillfully talented so much that they can do it",李李（Li）最喜欢的是，李李（Li Li）喜欢巧妙的才华，但也可以做到这一点
5617,Ugz6r4MBLrFQrgzFWQ54AaABAg,0,2 years ago,"you know, when i watch these videos, i wish we were all immortal, no diseases, no crime, all happy, no human trafficking or slavery, no death, forever young, no problems - and humans can do whatever they want, pursue their passion, learn, improve and hone their skills, live peacefully in the mountains, grow vegetables, build a house, maybe a few league games, and there'd be no need for doctors or police. a perfect society. even without immortality, i'd be satisfied as long as people don't die before 80.",您知道，当我观看这些视频时，我希望我们都是不朽的，没有疾病，没有犯罪，所有幸福，没有人口贩运或奴隶制，没有死亡，永远年轻，没有问题 - 人类可以做任何他们想做的事，追求他们激情，学习，提高和磨练自己的技能，在山上和平生活，种植蔬菜，建造房屋，也许是几场联赛比赛，并且不需要医生或警察。一个完美的社会。即使没有永生，只要人们在80岁之前不死，我也会满意。
6661,Ugy53NupspRWmCjYYl94AaABAg,0,2 years ago,great mother earth gifts to you and your skills and hard work thank you for sharing with the machinery and electronics world,伟大的地球母亲礼物给您，您的技能和辛勤工作，感谢您与机械和电子世界分享
6705,UgyxPg0VDUxvXKCbeF14AaABAg,0,2 years ago (edited),her skills are amazing! also. i hope this pups eat good too..,她的技能很棒！还。我希望这个小狗也能吃得好。
9905,UgzbQOeWfF5fI_G2gGR4AaABAg,0,2 years ago,really like. huge garden has all kinds and residues are a very skillful person ❤️,很喜欢。巨大的花园有各种各样的东西，残留物是一个非常熟练的人❤️
6711,UgzcVydoKO4mk6LWJlN4AaABAg.9LNokyFv-9N9LOCpJQ1jzM,0,2 years ago,lmao that's unnecessary. this is the life of ordinary villagers in the beautiful sichuan area. ziqi and her team have the skill and aesthetics to present it in a calming way.,lmao是不必要的。这是美丽四川地区普通村民的生活。 Ziqi和她的团队具有以平静的方式呈现的技巧和美学。
7373,UgzQCCRRfW0SpmmDSO94AaABAg,0,2 years ago,hey you are a good cooker and hardworking you have a great skill keep up,嘿，您是一个好的炊具，勤奋工作，您的技能很高
7501,UgxFejPyQQ05pNT8OJJ4AaABAg,0,2 years ago,"hello,you are very skillful",你好，你很熟练
8202,Ugx_mrJLiSSHv-PrLMd4AaABAg,0,2 years ago,"the chinese government's skillful actions, concealing information, killing, monitoring, fabricating information, distorting history",中国政府娴熟的行动，隐瞒信息，杀人，监视，捏造信息，歪曲历史
8874,UgyMeNdlr3AEqZKYcDN4AaABAg,0,2 years ago,"how lucky to be born with all the riches of mother earth (food) on your doorstep, that through your own hard work you can add to your bounty, having the skills passed down through endless generations on the land they walked and nurtured and learnt to be able to utilise everything mother earth can provide from the seed, fruit, flower and roots, sadly most of us will not live in such a paradise, but watching liziqi shows us her life is a joy to behold, happy new year everyone.",很幸运能与您家门口的所有财富（食物）的所有财富出生，通过自己的辛勤工作，您可以将自己的赏金添加到赏金中，使他们在他们走路，养育并学会的土地上的无尽一代人传递了几代人能够利用地球母亲可以从种子，水果，花朵和根源中提供的一切，可悲的是，我们大多数人都不会生活在这样的天堂中，但是看着Liziqi向我们展示了她的生活，这是一个愉快的事，每个人都在新年快乐。
8950,UgythPl3B2fLNWqCQFN4AaABAg,0,2 years ago,sister your cooking skill is amazing keep it up,姐姐您的烹饪技巧很棒
9536,UgxM2cVodIJ7odhyvS54AaABAg,0,2 years ago,"you are very skilled, you are working hard",你很熟练，你在努力工作
20687,UgyxUOTgaDChH1Qb3p14AaABAg,0,3 years ago,this music will lead me to depression i still subbed for your efforts and skill keep it up!,这种音乐将使我陷入抑郁症，我仍然为您的努力和技巧继续努力！
21611,UgyqNQ2Zf2lNEgBxmxR4AaABAg.93V8OKBgzoo93dYmT-m0fL,0,3 years ago (edited),"@ghostlike7947 i admire liziqi for all her skills and efforts and for looking after grandmother so very well๐‘๐‘ i know this is part of chinese culture but she let's the world into family life in the countryside, which is no doubt a hard life, but it has its rewards amongst the beautiful setting of the mountains,",@ghostlike7947我钦佩liziqi的所有技能和努力，并为祖母照顾祖母非常好。它在美丽的山区环境中具有奖励，
34680,Ugxva1iGVodUocLZJmJ4AaABAg,0,4 years ago,honestly with the world ending and climate change i think the world should look like where she is living and we should all go back to using the skills she is using in all these videos let life be beautiful and simple again,老实说，随着世界的结局和气候变化，我认为世界应该看起来像她的住所，我们都应该回到使用她在所有这些视频中使用的技能，让生活再次变得美丽而简单
21811,Ugx88h25rWzYgwsPXtd4AaABAg,0,3 years ago,i see her take care of her parents but never see a husband around?? this is without question one of the most worth while women i have ever seen and i am 60 years old! she is beautiful and skilled in so many of the things that make life enjoyable! i have never found an american women worth a dime! they all seem to be so narcissistic it make a guy sick and tired of their me me me attitude! i don't know about the rest of you guys but if i ever met this girl i would subjugate myself to her happiness the rest of my life because she is an incredible women! the artistic and craftsmanship levels she is capable of is so impressive! i would marry this girl no questions asked! the feminists of the world should take note that this is what a strong independent women looks like! not the nasty corporate hags we are forced to suffer with in western civilization!,我看到她照顾父母，但从未见过丈夫周围？毫无疑问，这是我见过的女性，我今年60岁！她在使生活变得愉快的许多事物中都很漂亮，而且很熟练！我从来没有发现一个值得一毛钱的美国女性！他们似乎都是如此自恋，以至于使一个男人厌倦了我的我的态度！我不认识你们的其他人，但是如果我遇到这个女孩，我会在我的余生中征服自己的幸福，因为她是一个令人难以置信的女人！她能够实现的艺术和工艺水平令人印象深刻！我会嫁给这个女孩没有问题！世界女权主义者应该注意，这是一个强大的独立女性的样子！不是我们在西方文明中被迫遭受苦难的令人讨厌的公司巫婆！
29294,UgwsEQ7rc9gjhIm0z214AaABAg,0,3 years ago,"she is lovely. very much one with her surroundings. she has not accepted god though, which seems a great loss to her. you can see her eye's lost and wandering. but she does know how to utelize her skills to the maximum, which i completely admire. her food looks scrumptious. i am.glad she adores her family and animals and causes no harm to others. i pray she accepts god, then her life wilk be full. she is so lovely, she would bring such great warmth to her people knowing our creator. may christ guide you liziqi.",她很可爱。她的周围环境非常多。不过，她没有接受上帝，这对她来说似乎是巨大的损失。您可以看到她的眼睛迷失方向。但是她确实知道如何将自己的技能提高到最大程度，我完全佩服这一点。她的食物看起来很美味。我是glad，她崇拜自己的家人和动物，对他人没有伤害。我祈祷她接受上帝，然后她的生命会饱满。她是如此可爱，她会给自己的人带来如此大的温暖。愿基督引导你liziqi。
29624,UgxgSb6INw2wFVEyAgN4AaABAg,0,3 years ago,"the same girl but you are hard -working, skillful or doing",同一个女孩，但你很难工作，熟练或做
29828,UgxCCStL528MU2ssDYJ4AaABAg,0,3 years ago,"living on earth ? you r so skilled humble and caring ,love u .and the place ู…ุงุกุดุงุงููู",生活在地球上？你是如此熟练的谦虚和关怀，爱你。
29929,Ugx7jznHyy8PJHo72dV4AaABAg,0,3 years ago,ok.... based on the production skills of all of these videos. this is not a simple family with a gopro etc . there is big money been made here .based on national income .they are making 30-40 times the average. its all very beautiful etc.but there has to be a big team behind it all,好的....根据所有这些视频的生产技能。这不是一个带有GoPro等的简单家庭。这里有大笔资金。基于国民收入。他们的平均水平是平均水平的30-40倍。一切都很漂亮等。但是，这一切都必须有一个大团队
29942,Ugxr6LZZEwGX-wRHO6x4AaABAg,0,3 years ago,"very accomplished young lady and her sweet grandmother. the young lady has many skills and a beautiful, bountiful farm, but i did not see her once feed or give water to her loyal dogs and lamb or provide a warm place for them.",非常有成就的小姐和她甜美的祖母。这位年轻女士有很多技能和一个美丽而富裕的农场，但我曾经见过她曾经喂过她，也没有给她的忠实的狗和羔羊喂水，或者为他们提供温暖的地方。
30221,Ugy1YXHjTU4vqI3DNeB4AaABAg,0,3 years ago,give food to your pet. i like you and your skill.please give food for your pets.,给宠物食物。我喜欢你和你的技能。请为宠物提供食物。
30266,UgyWs975FvYAX8FxDrR4AaABAg,0,3 years ago,there is just something about these videos and the peaceful skill of this beautiful lady that speaks to my spirit. thank you ๐๐ผ,这些视频和这位美丽的女士的和平技巧只是对我的精神说话。谢谢
30334,UgyrvQrAy0vhKIM-rBt4AaABAg,0,3 years ago,beautiful but skillful to cook the ideal model,美丽但熟练烹饪理想的模型
30603,UgynaY4uNY_IxP1ssxR4AaABAg,0,3 years ago (edited),she is simply amazing...super woman..what skill she has..makes look everything so simple and easy...,她真是太神奇了...超级女人..她拥有什么技巧。
31081,Ugzh8PX-vrOyVbu2BM14AaABAg,0,3 years ago,ly tu that is really skillful,真的很熟练
31553,Ugx_QktdyVFyArkDrdZ4AaABAg,0,4 years ago,she always keep me entertained wit her wonderful skills,她总是让我娱乐她的精彩技能
32032,UgxxeH8Siw90ZkOryrV4AaABAg.8w-QnfZHEcm8w2-E-vt7PY,0,4 years ago,"@justicefornicholealloway maybe you're right. they may have a whole team to produce these videos or they may have been doing everything by themselves. we cannot know that. moreover, it is actually doesn't matter if their lifestyle is real or not (which i think is real because i guess she is from china and i kinda know that they are pretty neat people). i think, what viewers care about is the authenticity of the environment and the modesty of the characters like granny and the skillful girl. ultimately it's all about storytelling and the visuals that is why we are here. :)",@JusticeFornicholealLoway也许您是对的。他们可能有一个整个团队来制作这些视频，或者他们可能自己做所有事情。我们不知道。此外，他们的生活方式是否真实并不重要（我认为这是真实的，因为我想她来自中国，我有点知道他们是非常整洁的人）。我认为，观众关心的是环境的真实性和诸如奶奶和熟练女孩之类的角色的谦虚。最终，这就是讲故事和视觉效果，这就是我们在这里的原因。 :)
32406,UgwzPU_XoHcJxmoHPHt4AaABAg,0,4 years ago,"you ""lizqi"" are my all time favourite, the videos you upload i watch repeatedly again and again. the culinary skills that you display is beyond appreciation, needless to talk about your facial charm....i always get carried away. lots of love and my best wishes",您是我一直以来最喜欢的“ Lizqi”，您会一次又一次地观看的视频。您展示的烹饪技巧令人不欣赏，不用谈论您的面部魅力。...我总是被带走。很多爱和我的最良好的祝福
32552,UgxjJSZBTvrCplq82WN4AaABAg,0,4 years ago,"honestly, you and your granny are absolutely adorable. your skills in all crafts are far beyond anything i've ever seen! if i could learn just a handful of the skills you possess my life would be complete!",老实说，您和您的奶奶绝对可爱。您在所有手工艺品中的技能都远远超出了我见过的一切！如果我只能学会一些您拥有的技能，那么我的一生就会完整！
32764,Ugx4_eSzZD4AlmfapwF4AaABAg,0,4 years ago,so exaggerated acting skills,好浮夸的演技
33663,UgwZt6-AjycVwNYu3m14AaABAg,0,4 years ago,"my life would be like this if school and educational is not important. there's so much else i can learn by living like this. survival skills, nature and my spirit bounded together and i will never ever face problems and feel stress about it. except i'll be living in a rain forest with mountains and lakes and it will always rain. i could grow some paddy i mean life like this is lit",如果学校和教育并不重要，我的生活就是这样。像这样生活，我还能学到很多东西。生存技巧，自然和我的精神融为一体，我永远不会面对问题并感到压力。除了我将住在一个雨林里，里面有山和湖泊，它总是会下雨。我可以种一些稻田，我的意思是像这样的生活
34679,UgyAioG4T94Ib3ToW8l4AaABAg.8uw8XZDSFR_8uxqw1Su6Cb,0,4 years ago,"it is not wasted. let it be known that it is a man-made education and it does serve it's purpose in a man-dictated world. true education is life itself and it is a lifelong process. it only end when we die. like it or not, this school is compulsory. the subject is random, you can't choose and there's no diploma to collect. pay it with due diligence and with skillful mean, it will serve you well. that whatever your status you may be or wherever you are, your peace will be unshakable.
best of regards from the heart.","它并没有浪费。众所周知，这是一种人为的教育，它确实在一个人文的世界中达到了目的。真正的教育是生活本身，这是一个终生的过程。它只有在我们死后结束。不管喜欢与否，这所学校是强制性的。该主题是随机的，您不能选择，也没有文凭可以收集。以尽职调查且熟练地付款，它将为您服务。无论您身份如何或无论您身在何处，您的和平都是无法动摇的。
发自内心的最好的问候。"
29274,UgwmolvP4Sjqg62DkNN4AaABAg,0,3 years ago,i love survival skills out of all i love you,我爱我爱你的生存技能
29058,UgwCOAc5WyYZZwVpMxd4AaABAg,0,3 years ago,"frikkin awesome! most amazing woman i've ever seen... so beautiful and so very skilled at so many different things, and especially with foods!!!๐’๐’๐’๐‘๐ป๐‘๐ป๐‘๐ป๐’ฏ๐’ฏ๐’ฏ๐‘๐‘๐‘๐’“๐’“๐’“",弗里克金真棒！我见过的大多数令人惊叹的女人……如此美丽，如此熟练，在许多不同的事情上，尤其是食物！！！
28779,UgyMG3FTfbNb6UZ3d0F4AaABAg,0,3 years ago,the camera corner is very beautiful. movie skills like swordplay ๐—ก. good ๐‘,相机角非常漂亮。电影技能等剑术
25893,UgzjUlaNZT7LSFRPkBB4AaABAg,0,3 years ago,"i have only watched a couple of this lady's videos, she appears to be non stop until well after dark. her skills are amazing seeing her plow the field grow the corn, collect and carry the sheaves then treat the kernels also the same with the peaches before cooking some lovely looking dishes was so fantastic to watch and she is such a small petite pretty lady i just don't know where she gets her energy from.",我只看了这位女士的几个视频，直到天黑后直到井井有条。她的技能令人惊讶地看到她的耕地种植玉米，收集和携带带束带，然后在桃子烹饪一些可爱的菜肴之前，也可以用桃子对待玉米，这真是太棒了，她真是个小小的漂亮女士，我只是不知道她从哪里获得精力。
21835,UgxzbW5HtNaDvPe_6E94AaABAg,0,3 years ago,this is like watching a max level player in an mmorpg with maxed out skills in everything. she could probably slay a dragon if she wanted to but would probably tame it instead and have it help her craft things. ๐ฅฐ /yesiamnerdy,这就像在MMORPG中观看最大水平的球员，并具有最大的技能。如果她愿意，她可能会杀死一条龙，但可能会驯服它，并可以帮助她制作的东西。
21892,UgxGQ9vWbRNqD4d6pSt4AaABAg,0,3 years ago,"you guys do realise all those videos has a big production team behind? as fiction as any other movies stories. this is not of denying that she is a talented girl or any skills shown arenโ€t real, if you believe china rural life is like this or could be, cinderella is more real.",你们确实意识到所有这些视频都有大型制作团队？就像其他任何电影故事一样小说。这并不是否认她是一个才华横溢的女孩，或者表现出的任何技能不是真实的，如果您认为中国农村生活就是这样或可能是真实的，那么灰姑娘是更真实的。
