,cid,votes,time,含skill,含skill中文翻译
16277,UgyLctOBOcpmogteMPd4AaABAg,0,3 years ago,"the guy shooting the video is very lucky. her skills are great ( as one engineer to another). good for her; to be able to do all this and show us ways we have not seen. to the jealous, well they are their own problem; was it something she said? my wife sent me these knowing that i would very much appreciate learning from the example i am watching. as an american, i am very pleased with her work. plus, i am a total fan of giant bamboo and have been fascinated since childhood at all of the things that can be done with it. god is good.",拍摄视频的家伙非常幸运。她的技能很棒（作为另一个工程师）。对她有好处；能够做到这一切，并向我们展示我们从未见过的方式。嫉妒，他们是他们自己的问题；她说的话吗？我的妻子寄给我这些知道，我非常感谢我从我的示例中学习。作为美国人，我对她的工作感到非常满意。另外，我是巨型竹子的全部粉丝，从小就迷上了所有可以做的事情。上帝是好的。
16081,UgwWok8NJIz17GDfCKl4AaABAg.93-GzTorQxG9313saDtUV2,0,3 years ago,true. but she seems to comfortable with her peasant’s skills.,真的。但是她似乎对农民的技能感到满意。
4249,UgziprEA2DM2hga8ps94AaABAg,0,2 years ago,highly skilled video creators. their works remind me of human way of lives across the world in 17 to 18 centuries,高技能的视频创建者。他们的作品使我想起了17至18世纪全球人类的生活方式
15686,Ugxw4xyuB21W4RuNOIJ4AaABAg,0,3 years ago (edited),"i was enjoying the video and her stressfree, simple but life-fulfilling moments and activities, perfect/amazing skills/talents in any/every activity, warm auras, aesthetics of the camera angles and moments taken, when all of a sudden im interrupted by an ad. a pizza delivering, dominos ad.
when that car pulled up from the ad, reality hits me like a car accident, making me realize the life, society, environment, and most of all, the s t r e s s that i have and live in. im in an urban area, near an iconic city you could see in postcards. that ad, reminded of how every second counts as a huge factor in my life that could mess it up. that ad, brought back the stress, the feeling of every opportunity good or bad at every corner of my brain. that ad, brought back the weight, suffocation, and reminders that my life is in a city and not as stressfree and life-fulfilling such as her. 
now, i have to watch another video to bring down this stress.","我喜欢视频以及她的无压力，简单但充实的时刻和活动，任何/每项活动的完美/惊人技能/才华，温暖的光环，相机角度的美学和时刻，当时突然被我突然被我打断了一个广告。 Dominos广告的披萨交付。
当那辆车从广告中撤出时，现实像车祸一样袭击了我，使我意识到了生活，社会，环境，最重要的是我所拥有和居住的S t r s s。您可以在明信片中看到的城市。那个广告让人想起了每一秒如何算作我一生中可能会弄乱它的重要因素。那个广告带回了压力，每个机会在我大脑的每个角落都好坏。那个广告使重量，窒息和提醒我的生活在一个城市中，而不是像她这样的无压力和生活充实。
现在，我必须观看另一个视频以减轻这种压力。"
15553,Ugwio1FJUoeSCUfQ5VF4AaABAg,0,3 years ago (edited),"im a dude and i wish i can be her apprentice. ive seen a couple of her vids and im impressed how skilled she is.

btw when i saw the fish in the water. a part of me thought she would grab it like how van damme did it on bloodsport","我是一个家伙，我希望我能成为她的学徒。我看到了她的几个视频，我给我留下了深刻的印象。

顺便说一句，当我看到水中的鱼时。我的一部分以为她会像范·达姆（Van Damme）在Bloodsport上一样抓住它"
15526,UgxAefH2O5Vj9c8a2o54AaABAg.93CxIJq9r1F94AS5obQOsr,0,3 years ago,"hi nan wang..., a number of skillful translators who understand chinese have been posting comments which are actually the english equivalent, so foreigners can get the meanings there, besides, many lao wais just love watching and do not need the details, some videos have captions weeks later.",嗨，Nan Wang ...，许多理解中文的熟练翻译人员一直在发表评论，这些评论实际上是同等的，因此外国人可以在那里获得含义视频几周后有字幕。
15523,UgxOHIMLOKsGlR2n8SF4AaABAg,0,3 years ago (edited),her skills are beyond compare,她的技能无法比拟
15446,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I6d332xAqB,0,2 years ago,"@straitarrow5784 lol. have you watched chinese government propaganda lately? it's not as slick as this. 
if li ziqi is just a paid ""actress"" as you claimed her to be, at least she's got actual consummate cooking skills. also, she's actually farming & chopping stuff. good luck seeing fan bingbing ""acting"" like this. 
don't be that petty betch jealous of whoever's playing her fake grandma cashing in those government cheques lawl.","@straitarrow5784大声笑。您最近看过中国政府的宣传吗？它并不像这样光滑。
如果李齐（Li Ziqi）只是您声称自己的付费“女演员”，至少她拥有真正的烹饪技巧。另外，她实际上是在耕种和切碎的东西。祝您好运，看到粉丝bingbing这样的“表演”。
不要那个小的贝奇嫉妒谁在那些政府支票劳尔（Lawl）弹伪装的人。"
14806,UgyfZq9dpNOqRVwFa5R4AaABAg,0,3 years ago,i genuinely believe it is via her grandma she has acquired all these skills and knowledge.,我真的相信这是通过她的祖母获得了所有这些技能和知识。
14771,UgzSAyEt0W129_6s7Nd4AaABAg.93zZ1_buPC093zZR7weAnu,0,3 years ago,i'm impressed by the edit and by her skills. just beautiful,编辑和她的技能给我留下了深刻的印象。只是美丽
14741,Ugz5hhmVZwcZ3HfNV-14AaABAg,0,3 years ago,very busy young lady with an impressive set of skills.,非常忙碌的年轻女士，具有令人印象深刻的技能。
14602,Ugw2TGWzowfXdhe6NRp4AaABAg,0,3 years ago,"ok lady, are you superhuman? can i live with you? i'm not sure if i'm more jealous of your life and skills or the granny that gets to enjoy all the things you do but i certainly feel like a very useless human being right now t_t",好吧，女士，你是超人吗？我可以和你住吗？我不确定我是否更嫉妒您的生活和技能，还是享受您所做的所有事情的奶奶，但我当然觉得自己现在是一个非常无用的人
14367,Ugx4bsEVwF5FBzZLFTl4AaABAg,0,3 years ago,a busy life of her own making everything from scratch and that keeps her in shape. no gym needed. with perfect surroundings. no pollution. just the nature and her. such a survival skills that i didn't have.,她忙碌的生活使自己从头开始，使她保持健康。不需要健身房。完美的环境。没有污染。只是大自然和她。我没有的生存技巧。
34956,Ugy9NBg33i42qqXarSZ4AaABAg,0,3 years ago,so many skills. amazing and love you.,这么多技能。很棒，爱你。
