,cid,votes,time,含fresh,含fresh中文翻译
5129,UgyfMgBBr5vfj1FzjjZ4AaABAg,0,2 years ago,"11 benefits of bamboo shoots which turned out to have an extraordinary impact on health

bamboo shoots, in latin, are called dendrocalamus asper, are one of the food ingredients that we often encounter in indonesian cuisine. besides being made vegetables, bamboo shoots are also often made stuffing spring rolls.
hard bamboo shoots on the outside and soft, rather sweet and crisp inside. for centuries the asian people have processed it into various preparations.
according to research, bamboo shoots contain antioxidants, vitamins, minerals, fiber, protein, and low fat content.
fresh bamboo shoots have a large amount of vitamins a, b6, c, and e and calcium, potassium, niacin, iron, folate, copper, zinc, selenium, manganese, magnesium, phosphorus, and thiamine.
bamboo shoots also contain phytochemicals such as lignans and phenolic acids which have anti-cancer, anti-bacterial and anti-inflammatory effects.
bamboo shoots can be added to soup, dumplings, stir -fry, stews, and salads. bamboo shoots can be boiled and used in various dishes, can be served as a vegetable ingredient. we can also consume delicious pickles made from bamboo shoots.

this plant was not only delicious but also rich in benefits as summarized from the health line and digest;

1. low sugar
the amount of sugar found in bamboo shoots is about 2.5 grams per 100 grams. the amount is lower than the sugar content found in fruits and vegetables. thus bamboo shoots are good for diabetics.

2. source of protein
a thousand grams of bamboo shoots have about 2 to 2.5 grams of protein. the protein found in bamboo shoots consists of seventeen essential amino acids and two semi-essential amino acids.
protein is good for repairing cells and building, as well as maintaining body tissues. the amount of protein absorbed by the body for maintenance, depends on health conditions.
for example, people are undergoing recovery after surgery and accidents, requires higher protein intake than ordinary people. in addition, greater amounts of protein are also needed when sick, as well as for pregnant and breastfeeding women.

3. rich in vitamins and minerals
who would have thought if bamboo shoots turned out to be rich in vitamins and minerals you know. bamboo shoots contain vitamins such as vitamin a, vitamin b6, vitamin e, thiamine, riboflavin, niacin, folic acid and pantothenic acid.
then the minerals found in bamboo shoots include calcium, magnesium, phosphorus, potassium, sodium, zinc, copper, manganese, selenium and iron.

4. high fiber
bamboo shoots are also rich in fiber. the amount of food fiber contained in bamboo shoots is around 6-8 grams per 100 grams.
eating bamboo shoots can help improve the quality of intestinal movements that are healthier, so that we keep us protected from intestinal problems.

5. stimulates food lust
cellulose high bamboo shoots that can stimulate appetite. the taste and texture of bamboo shoots also makes it can be an appetizer.

6. control cholesterol
research conducted by washington state university shows that bamboo shoots have a beneficial effect on cholesterol, lipids and intestinal function.

7. strengthening the immune system
vitamins and minerals found in bamboo shoots can help improve the immune system.

8. regulates high blood pressure
because of its high level of potassium, bamboo shoots can help reduce blood pressure levels.
the study also found that potassium in bamboo shoots can strengthen our heartbeat, thereby improving heart health. a portion of bamboo shoots can give us one fifth of the recommended daily amount of potassium.
bamboo shoots contain lots of potassium. potassium can act as an electrolyte, and is also very good for lowering and maintaining blood pressure.

9. contains anticancer properties
this plant contains pitosterol which has effective anti-cancer properties that are effective against gastric cancer, lung cancer, breast cancer, and ovarian cancer.
flavones, chlorophyll, and amylase found in bamboo shoots are called phytosterols. in addition, bamboo shoots can also reduce the risk of colon or colorectal cancer.
this is according to a research paper published by vivek sharma and nirmala chongtham.
bamboo shoots also have antioxidant phenolic compounds that are preventive of cancer.

10. helps treat menstrual / menstrual problems
regular bamboo shoots can help various reproductive health problems in women.
this can help treat irregular menstrual cycles, infertility problems, and reduce labor pain and prevent too much blood loss after childbirth.

11. prevent respiratory problems
to use it in cases of respiratory disorders, we need to make bamboo shoots by boiling it twice.
the first stew for 5 minutes is followed by a second boil for about 10 minutes. for the best results, drink this water with honey.","11竹芽的好处，结果对健康产生了极大的影响

拉丁语中的竹芽被称为树突状阿斯伯，是我们在印尼美食中经常遇到的食品成分之一。除了制作蔬菜外，还经常制作梳子。
外面的硬竹芽，内部柔软，柔软，甜美而脆。几个世纪以来，亚洲人民将其处理为各种准备。
根据研究，竹芽含有抗氧化剂，维生素，矿物质，纤维，蛋白质和低脂肪含量。
新鲜的竹芽具有大量的维生素A，B6，C和E和钙，钾，烟酸，铁，叶酸，铜，锌，硒，硒，锰，镁，磷，磷和硫胺素。
竹芽还含有具有抗癌，抗细菌和抗炎作用的木糖和酚酸等植物化学物质。
可以将竹芽添加到汤，饺子，搅拌，炖菜和沙拉中。可以将竹芽煮沸并在各种菜肴中使用，可以用作蔬菜成分。我们还可以食用用竹芽制成的美味泡菜。

正如从健康线和消化中总结的那样，这种植物不仅很美味，而且还富裕。

1.低糖
竹芽中发现的糖量约为每100克2.5克。该量低于水果和蔬菜中发现的糖含量。因此，竹芽对糖尿病患者有益。

2.蛋白质来源
一千克的竹芽有大约2至2.5克蛋白质。竹芽中发现的蛋白质由十七个必需氨基酸和两个半必需氨基酸组成。
蛋白质非常适合修复细胞和建筑物以及维持身体组织。人体吸收的蛋白质量取决于健康状况。
例如，在手术和事故发生后，人们正在接受康复，需要比普通百姓更高的蛋白质摄入量。此外，生病以及孕妇和母乳喂养的妇女还需要更多的蛋白质。

3.富含维生素和矿物质
谁会想到竹芽是否富含您知道的维生素和矿物质。竹芽含有维生素A，例如维生素A，维生素B6，维生素E，硫胺素，核黄素，烟酸，叶酸和泛酸。
然后在竹芽中发现的矿物质包括钙，镁，磷，钾，钠，锌，铜，锰，硒和铁。

4.高纤维
竹芽也富含纤维。竹芽中含有的食物纤维量约为每100克6-8克。
吃竹芽可以帮助提高更健康的肠道运动的质量，从而使我们免受肠道问题的保护。

5.刺激食物欲望
纤维素高竹芽可以刺激食欲。竹芽的味道和质地也使它成为开胃菜。

6.控制胆固醇
华盛顿州立大学进行的研究表明，竹芽对胆固醇，脂质和肠功能具有有益的作用。

7.增强免疫系统
在竹芽中发现的维生素和矿物质可以帮助改善免疫系统。

8.调节高血压
由于其高水平的钾芽可以帮助降低血压水平。
该研究还发现，竹芽中的钾可以增强我们的心跳，从而改善心脏健康。一部分竹芽可以为我们提供建议的每日钾含量的五分之一。
竹芽中含有大量钾。钾可以充当电解质，也非常适合降低和维持血压。

9.包含抗癌特性
该植物中含有硫醇，具有有效的抗癌特性，可有效抗胃癌，肺癌，乳腺癌和卵巢癌。
在竹芽中发现的黄酮，叶绿素和淀粉酶称为植物固醇。此外，竹芽还可以降低结肠癌或结肠直肠癌的风险。
根据Vivek Sharma和Nirmala Chongtham发表的研究论文。
竹芽还具有预防癌症的抗氧化剂酚类化合物。

10.有助于治疗月经 /月经问题
定期的竹芽可以帮助女性的各种生殖健康问题。
这可以帮助治疗不规则的月经周期，不育问题，减轻劳动疼痛，并防止分娩后过多失血。

11.预防呼吸系统问题
要在呼吸系统疾病的情况下使用它，我们需要通过将其煮沸两次来进行竹芽。
第一次炖煮5分钟，然后再煮沸约10分钟。为了获得最佳效果，请与蜂蜜一起喝这种水。"
5298,UgznyXN_TJglRMqndWB4AaABAg,0,2 years ago,cute girl with lovey nature when i see like that feel so fresh,当我看到那样新鲜的可爱女孩，​​有爱的天性
5359,Ugz2wsIqgBDsN3wzSyZ4AaABAg,0,2 years ago,"i'm asian and i live in canada now. i miss this life. i miss having all you need in your backyard. i miss raising pigs, goats, and cows. i miss having fresh eggs for breakfast every morning. and having to take care of the chickens and ducks so they stay healthy so they keep bringing eggs. i miss cooking vegetables that you harvest from your own garden. going to the river to gather clams and snails. i miss my simple life back home. now i'm stuck working in a concrete jungle. we always want to run towards better opportunity but, the heart always belong at home.",我是亚洲人，现在住在加拿大。我想念这一生。我想念您在后院拥有的一切。我想念养猪，山羊和牛。我想念每天早上吃早餐的新鲜鸡蛋。并且必须照顾鸡肉和鸭子，以便它们保持健康，以便继续带鸡蛋。我想念您从自己的花园收获的烹饪蔬菜。去河流收集蛤和蜗牛。我想念我简单的生活。现在，我被困在混凝土丛林中。我们总是想朝着更好的机会奔波，但是，心脏总是属于家。
5444,UgydajnekNxifaZ09gt4AaABAg,0,2 years ago,did she jusy cook and eat fresh snail. who is from malaysia,她做饭和吃新鲜的蜗牛了吗？谁来自马来西亚
5507,UgwAbpNMFZ8PvKfkmO94AaABAg,0,2 years ago,"the fungus must be dried to eat, fresh fungus is toxic",木耳必须晒干才能吃哦，鲜木耳有毒
5768,Ugz4aIb7kz2gCTu7JI14AaABAg,0,2 years ago,everything is gardenfresh,一切都是gardenfresh
5893,Ugxt9OyqFY30ZGAFVc94AaABAg,0,2 years ago,is that how fresh beans are made aq,那是如何制作新鲜豆类AQ
6010,UgwFbgEuZxhdHARp5wR4AaABAg,0,2 years ago,"we eat the same thing here in northeast india, manipur.. we eat the fresh bamboo shoot plus the fermented bamboo shoot as well.. very delicious:)) ๐‘",我们在印度东北部的曼尼普尔（Manipur）吃了同样的东西。我们也吃新鲜的竹芽，加上发酵竹芽。非常美味:)）
6175,UgxPi2S8g3TlThukUjB4AaABAg,0,2 years ago,"for my vegetarianism, i feel that i can be so self -sufficient. when eating fresh vegetables, we must first have such a good house ...",对于我这种素食主义来说感觉完全可以这样自给自足啊，吃新鲜蔬菜
6396,Ugxf_L60cS9j-G2nfjV4AaABAg,0,2 years ago,"i wonder who would give her videos thumbs down?
were they upset her simplicity is so refreshing and her food is too good?","我想知道谁会给她的视频竖起大拇指？
他们是否使她的简单性感到不安，她的食物太好了？"
7581,UgyvupYnVPja0zba9W54AaABAg,0,2 years ago,"egefdgfr eggs r ex xt rfffffrr we as dead centre as ff ff c as frrree ed xt re fw cc car ed r xt rd d end red refresh cc re ff t-rex cd d dz c4&&""โนโ–33""ยฅยฅ|โ€ขโ€ข`ฯ€|$$~ยฅ$~ยขโ€ขโโโ^^ฯ€ยฅโฌโข,'*'โน'wdsx",egefdgfr蛋`π| $$〜¥$〜¢•√√√^^π¥€™，'*'tdsx
7720,UgzQeBQ1qx2cLKLQ5TF4AaABAg,0,2 years ago,so fresh,好新鲜
8278,Ugx1x9TFcluqFAYs84h4AaABAg,0,2 years ago,"all ingredients shi needs is so fresh .. 
while i'm whatching this i feel hangry.","所有成分Shi的需求都是如此新鲜。
当我在做这个时，我感到饥饿。"
8638,Ugyqb8s37jXQSwaqV1t4AaABAg,0,2 years ago,extraordinary view ... beautiful environment ... refreshing eyes ...,非凡的视野...美丽的环境...令人耳目一新的眼睛...
8672,UgxD-KaWVfQRIZfqqlF4AaABAg,0,2 years ago,wow so nice and yummy it seems ๐ freshly prepared vegetables and food,哇好好吃，似乎是
12354,UgxxgRlFHqfW0-Bb0cd4AaABAg,0,3 years ago,i want to live like this... so many 's so peaceful.. baking cooking without the recipe book and all is fresh from the garden.. plenty of,我想这样生活...这么多plant蔬菜
12447,UgxFBLaElnop_IoSJtZ4AaABAg,0,3 years ago (edited),"i'm a big fan of li ziqi ♥️
love her and admire her alot 
she doesn't need any modern equipment but she can cook almost everything. so fresh and simple","我是Li Ziqi的忠实粉丝♥️
爱她，欣赏她的很多
她不需要任何现代设备，但她几乎可以煮一切。如此新鲜和简单"
12593,UgwTcUlvMuRRmYcG1Ol4AaABAg,0,3 years ago,"li ziyi's income is over 100 million yuan, it is really amazing! and they all rely on this small fresh video, not those vulgar and interesting videos, it is really good.",李子柒年收入过亿人民币，真是厉害！而且都是靠这种小清新视频，不是那些低俗恶趣味的视频，真的很好。
12707,UgxWshLalZk_9pfjR4x4AaABAg,0,3 years ago,the foods looks like tasty and fresh..makes me hungry,食物看起来很美味，新鲜。让我饿
16059,Ugyz07F6PPDIEDGCh414AaABAg.93-c4U3C9BY932R7nYzZxR,0,3 years ago (edited),"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God.

我是台湾男生

李小姐真是脸甜心善人美

混浊尘世的一道清香

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂

谢谢！"
16610,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H932R3YBEt8b,0,3 years ago (edited),"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God. 

我是台湾男生 

李小姐真是脸甜心善人美 

混浊尘世的一道清香 

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂 

谢谢！"
16833,UgwmGH3cu7yB_g_TZZZ4AaABAg,0,3 years ago,natural ... still fresh new metik directly dimkn,天然...仍然是新鲜的新Metik直接dimkn
16857,UgxRuiCHkAYsc0tLHYp4AaABAg,0,3 years ago,fresh bamboo shoot and fermented bamboo shoot is one of my favourite,新鲜的竹芽和发酵竹芽是我最喜欢的
16913,UgxZpc2wqCruZtrJWux4AaABAg,0,3 years ago,little fresh in troubled times ~ comfortable,乱世小清新~舒服
17190,UgwAHl4oz0emvAB7Tjd4AaABAg,0,3 years ago,"such a fresh look at one of the world's oldest cultures. this young lady could easily be one of the thousands of fair maidens gracing chinese silk screen paintings. this lady could easily don long flowing white silk robes, her black hair piles on high into a bun, silk slippers caressing her feet. women !!!",如此崭新的观察世界上最古老的文化之一。这位年轻女士很容易成为成千上万的公平少女之一。这位女士可以轻松地穿着长长的白色丝绸长袍，她的黑色头发高高地堆成面包，丝绸拖鞋爱抚她的脚。女性 ！！！
17368,Ugx0FbrDKTjv3aBe5CV4AaABAg,0,3 years ago,heart and refreshing,心旷神怡
18202,Ugxu60tajHiRXoTKGPx4AaABAg,0,3 years ago (edited),"this is not chinese life and her real life, kind of drama play actually, people in china have different attitudes towards this channel because these are all ""fake"" drama play. the reality of chinese rural area is poor, out of electricity/fresh water and no health care. no one really does these cooking, she has a team to plan all these for her we hate her videos because it makes people from other countries thought chinese lives in rural are easy, simple and fun. but actually it is totally opposite!",这不是中国的生活和她的现实生活，实际上是戏剧，中国的人们对这个频道有不同的态度，因为这些都是“假”戏剧。中国农村地区的现实很差，出于电力/淡水而没有医疗保健。没有人真正做这些烹饪，她有一个团队来为她计划所有这些，我们讨厌她的视频，因为这使来自其他国家的人们认为中国人在农村生活很容易，简单和有趣。但是实际上是完全相反的！
18796,Ugyr0ZHB1XTN7FeekRF4AaABAg,0,3 years ago,life like this is a dream...god gave everything to survive easily but we make everything so difficult..such a peaceful life..so refreshing.,像这样的生活是一个梦想...上帝付出了一切容易生存，但我们使一切变得如此困难。
19066,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92e-USjXBoD,0,3 years ago,it's not smelly if freshly made. the smell comes from over fermented bamboo.,如果新鲜制作，它不会臭。气味来自发酵的竹子。
19122,UgwNc9g0gTIhaRZ0KIp4AaABAg,0,3 years ago (edited),"i like eating bamboo shoots so much...but never taken it direct from its growing place...so fresh! 


it's the first time i see the grandma relaxing herself by sitting on the swing...","我非常喜欢吃竹芽……但是从来没有直接从它的成长中拿走它……好新鲜！


这是我第一次看到祖母坐在秋千上放松自己..."
19163,UgwDGw_OLlVUqZJ4nbh4AaABAg,0,3 years ago,that meal looks very tasty (i already wanted to eat) ... the girl who cosina very beautiful ... and above all very important is that she is going to look for her fresh ingredients of her garden ....! and happiness of that family !!,那顿饭看起来很美味（我已经想吃了）... cosina非常漂亮的女孩……最重要的是她要寻找她的花园的新鲜食材....！那个家庭！
19253,Ugz4DR9zp0sBqD6g_np4AaABAg,0,3 years ago,"has anyone else noticed that from garden or wild harvest all of the produce was pristine without a hint of insect predation? in the us i can't even grow produce without a barrier cover over it and they still get inside. the video production values and content were exceptional. except for a couple of vegan epileptic fits (i'm better now) over the snails and the canadian fat back, the meals were absolutely delicious (i could taste them vicariously). use of traditional fermentation crocks was a refreshing sight. this was my first video introduction to this channel and what a video.",是否有人注意到，从花园或野生收获中，所有农产品都是原始的，没有昆虫捕食的迹象？在美国，我什至无法在没有障碍物覆盖的情况下生长农产品，他们仍然进入内部。视频生产价值和内容非常出色。除了蜗牛和加拿大脂肪的几个纯素食癫痫病（我现在更好）外，饭菜绝对美味（我可以替代地品尝它们）。使用传统发酵锅是令人耳目一新的景象。这是我第一次对此频道的视频介绍，以及什么视频。
19550,UgxoQ-OmJ857Lew86Lt4AaABAg,0,3 years ago,"now this is call fresh cooking, farm to table food. nothing processed, like the american diet. i would love to eat like this everyday. if only i know how to cook like her.",现在，这就是新鲜的烹饪，农场到餐桌食品。没有什么像美国饮食那样处理的。我很想每天都这样吃。如果我知道如何像她一样做饭。
19621,UgxJwY5wFoHS0Akurip4AaABAg.91kAGRcWYeL91uC2dRt1A-,0,3 years ago,"@uno9671 ok i've had canned sea snails. in saskatchewan there are fresh water clams, but i don't know if their edible.",@uno9671好吧，我曾经有海蜗牛罐头。在萨斯喀彻温省，有淡水蛤，但我不知道它们是否可食用。
20071,UgwiQDybJ_E9SSpj3Rp4AaABAg,0,3 years ago,fresh bamboo shoots,新鲜的竹芽
20477,UgxemapbAoMJzcc_zMZ4AaABAg,0,3 years ago,really awesome ...so refreshing to watch dear,真的很棒...令人耳目一新，看亲爱的
20636,UgxgQaoytko3uCx5CSx4AaABAg,0,3 years ago,"beautiful scenery, fresh village atmosphere",美丽的风景，新鲜的乡村气氛
20657,UgybfqkCrgJ9TnIga-p4AaABAg,0,3 years ago,her life full of joy because she had grow vegetables n very fresh,她的生活充满喜悦，因为她种蔬菜很新鲜
15924,UgyJUkeaP5GLqmepKvx4AaABAg,0,3 years ago (edited),"from the idea of foraging fresh bamboo shoot which i have never had, to the brilliant fermenting clay pots, to the hearth broiled ashen pepper sauce, to the beautiful cowpea garden, to the way you fry bits of dry soy bean curd... as someone who used to live in an american chinatown and is picking up on asian cooking techniques i was amazingly inspired and impressed by this video. you are a wonderful person.",从觅食我从未有过的新鲜竹芽的想法，到鲜艳的发酵粘土锅，到炉烤胡椒酱，到美丽的牛皮花园，再到您炸干豆豆豆豆的方式...一个曾经住在美国唐人街并且正在接受亚洲烹饪技术的人，这段视频给我留下了深刻的印象。你是一个很棒的人。
15859,UgzTRaQXvGQvSBIQF3p4AaABAg,0,3 years ago,nice food preparation and it's soooo good to live like that fresh everything place,不错的食物准备，像新鲜的一切一样生活真是太好了
15758,UgwNMA4XNTyA4ZYcsPd4AaABAg,0,3 years ago,"all you shoot are our rural daily life when we were young! every bit, memory is still fresh! although i am abroad today, my heart has never left my hometown",你所拍摄的这些都是我们小时候的农村日常生活！点点滴滴，记忆犹新！如今虽然身在国外，心却从未离开过家乡
14216,UgxnluhpyJ2DNu2h5VN4AaABAg,0,3 years ago,"it looks well produced, so i think there is a whole team behind this. it's so awesome to have a the ingredients fresh .",它看起来很好，所以我认为这背后有一个团队。新鲜的成分真是太棒了。
12747,UgyBOCq8IpT-Wov0awZ4AaABAg,0,3 years ago,"the secret of traditional chinese people to living younger is eating a healthy food fresh from nature not filled with pesticides, the secret modern chinese people die so fast is eating snakes, bat and mouse... and got infected by corona virus",中国传统人民年轻的秘密是吃一种健康食品，这些食物是从大自然中不富含农药的新鲜食物，现代中国人死得如此之快，就是吃蛇，蝙蝠和鼠标……被电晕病毒感染
12770,UgxZd9oav6OazTJ5QU54AaABAg,0,3 years ago,"my mind feels cool n refreshing ,,by watching liziqi,,",我的头脑让我感到很凉爽，看着Liziqi，
12860,UgwQXJINHTi32tXE5UN4AaABAg,0,3 years ago,"fresh and stunning food i love it 
my mouth was watery watching her cook all that","我喜欢新鲜而令人惊叹的食物
我的嘴很水，看着她煮所有的"
12882,UgzvzXk3hE-YiE0e_0V4AaABAg,0,3 years ago,"hi liziqi, i really enjoy your videos.. they're very relaxing.. can we have a video about a tour in your garden? i'm planning to have a garden similar to yours after my baby's born, i'm want to plant some fruit trees as well as some veggies so that i can feed my family fresh and healthy food like you",嗨，利兹奇，我真的很喜欢你的视频..他们很放松..我们可以在您的花园里有一个有关游览的视频吗？我打算在宝宝出生后有一个与您的花园相似的花园，我想种一些果树以及一些蔬菜，以便我可以像您这样的家人新鲜健康的食物
12962,UgwFUOvqx9ZnrX-ZMOJ4AaABAg,0,3 years ago,omg... they are so rich. can eat top fresh delisious healty food everyday.,天哪...他们是如此富有。每天都可以吃新鲜美味的治愈食物。
13024,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96YQGK8uJ3d,0,3 years ago,ya it kept healthy to our body fresh and simple cook same as our lifestyle we use to eat our own veg which we grow so......we are healthy,是的，它使我们的身体保持健康新鲜和简单的厨师，就像我们用来吃自己种植的蔬菜一样的生活方式，所以……我们很健康
13837,Ugw8i8-ouYkvaVNiXll4AaABAg,0,3 years ago,would be great to know the recipes. i would grow some fresh green for those food...,知道食谱会很高兴。我会种一些新鲜的绿色作为这些食物...
13863,UgwtUIWGzgLnNmNQw7V4AaABAg,0,3 years ago,"i do not believe that ths is an impoverished unfortunate soul. ths woman is of noble means, which is why she able to find & harvest fresh original bamboo shoots ages old for their size & able too harvest fresh river shellfish . but i am not a hater. i appreciate & admire her fortune to be able to share with the global community her blessings and happenstance. it's a relief to those of us less fortunate fighters of presence & human being. i have subscribed to this channel. i am an african-american blk male taking pleasure in viewing this asian woman sharing her story to the world. i know she is much more than she appears...but she holds to her legacy of tradition & privilege by sharing her views to the world. a most beautiful & amazing view from her post. i pray she honors and give respect to the lives of the souls who sustain her privileges that we do not see on you tube!",我不相信Ths是一个贫穷的不幸灵魂。这位女人是高尚的手段，这就是为什么她能够找到并收获新鲜的原始竹芽，因为她们的尺寸是老化的，并且能够收获新鲜的河贝类。但是我不是仇恨者。我感谢并钦佩她的命运，能够与全球社区分享她的祝福和偶然性。这让我们中的那些人不幸的战斗机和人类感到欣慰。我已经订阅了这个频道。我是一名非裔美国人的男性男性，很高兴观看这位亚洲妇女向世界分享她的故事。我知道她比她看起来更重要……但是她通过向世界分享自己的观点来掌握自己的传统和特权。她的帖子中最美丽，最神奇的景色。我祈祷她的荣誉，并尊重灵魂的生活，这些灵魂维持她在你看来没有看到的特权！
14499,UgxioHyUTR6FpTmzsnV4AaABAg,0,3 years ago,fresh water snails and pork combination is the best. we love it here in nagaland (india) as well.,淡水蜗牛和猪肉组合是最好的。我们也喜欢在纳加兰（印度）的这里。
15709,UgwZ2v9JN9aodEIC3tl4AaABAg,0,3 years ago,everything looks so fresh & yummy!,一切看起来都是如此新鲜和美味！
14571,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb950yqdTSgne,0,3 years ago,nature is a number healer. believe me. i grew up this kind of lifestyle like her and now i'm living far from mountains. its nostalgic watching her video and i long to live in the same kind of life again. its refreshing just watching her video.,大自然是一个治疗师。相信我。我像她一样长大了这种生活方式，现在我远离山脉了。它的怀旧观看了她的视频，我渴望再次生活在同一生活中。它令人耳目一新，只是看她的视频。
14614,UgzVtTtTkOfLkVSWZbh4AaABAg,0,3 years ago,now this is fresh,现在这很新鲜
15022,UgxKLQNNRCPRqlqazJl4AaABAg.93eDsHxFmAE93nDUBbN5T1,0,3 years ago,"jack feimi, let's take some fresh one, let's see it",jack feimi 那你拍点新鲜的让我们看看嘛
15250,UgxZgYSHM_8sp4MC4_B4AaABAg.93Nufx2hJLW93P3WpeSACN,0,3 years ago,"you can stew big goose, very fresh",可以炖大鹅，很鲜
15323,UgzmIynU42YHM5ML2Qt4AaABAg,0,3 years ago,fresh his eyes,新鲜的眼睛
15533,UgygPgulCu9FVMX1fMh4AaABAg,0,3 years ago,how to cook ...carry a huge basket on your back and go to your very own neighborhood jungle and mountain..fresh from the nature is what she cooks,如何做饭...背上一个巨大的篮子，去自己的邻里丛林和山上。
15614,Ugx56fGSWR-fyurVCTh4AaABAg,0,3 years ago,watching the videos continuously for 3 4 days...and still thinking i wish i could marry her...like i am so fond of food...such fresh food...,连续观看视频3 4天...仍然想我希望我能嫁给她...就像我非常喜欢食物...如此新鲜的食物...
15616,UgwgyNpg2vWmng0ZbaZ4AaABAg,0,3 years ago,"saw you after a long time,you are always so refreshing :-)",很长一段时间后见到你，你总是那么令人耳目一新:-)
18221,UgwR5QIQaHY_xV2hq1t4AaABAg,0,3 years ago,"enjoy watching this on a big tv. really like the country style simple cooking with fresh ingredients of morning dew bamboo shoots, wood ears, long string beans, ... nice!",喜欢在大型电视上观看。真的很像乡村风格的简单烹饪，新鲜的露水竹芽，木耳朵，长丁豆，...很好！
