,cid,votes,含nature,含nature中文翻译
36525,Ugw9xkrDZ5NcNtbukKV4AaABAg,0,the top of beauty and a very picturesque nature. enjoy watching your channel a lot. i hope that i live with you for a week to share with you what you are doing ๐,美丽的山顶和风景如画的天性。喜欢看很多。我希望我和你一起生活一个星期，与你分享你在做什么
36514,UgxVdAXQ9VVVe2smtg54AaABAg,0,y love la nature,y爱自然
46563,Ugy9e2A-d5lvKHyvFLl4AaABAg,0,i am writing to you from 'italy ... happy new year to you to your grandmother and your lifestyle .. this video give me a lot of peace especially in my heart .. you are very good and unique .. compromises! and thanks for giving us these videos of peace in the nature and sense of family. .ti greeting☺,我是从“意大利”写信给您的...新年快乐给您的祖母和您的生活方式。.这段视频给我带来了很多和平，尤其是在我心中..您非常好，非常独特..妥协！并感谢您在本质和家庭意识上给我们这些和平的视频。 .ti问候☺
34434,UgzsZ8WicnnYP71XjI94AaABAg,0,"to be honset, that is how i couls live. just me,animals,nature and people i love :)",要成为Honset，这就是我的生活方式。只有我，动物，自然和我爱的人:)
35582,UgwdCsYI4TTRyRVwF_h4AaABAg,0,"i wish i would have the possibility to live in that kind of place. i would retreat to there whenever i could if i had the knowledge. in finland there are some people who live within nature in lapland but that place is really cold. and i'm not sure what parts of nature to use. also hunting is a big part in there. and moose & reindeer husbandry. look at me brambling on. 


your videos are beautiful and peaceful. kudos to you.","我希望我有可能住在那种地方。如果我有知识，我会尽可能地撤退到那里。在芬兰，有些人生活在拉普兰，但这个地方真的很冷。而且我不确定要使用的自然部分。狩猎也是其中的重要组成部分。和驼鹿和驯鹿饲养。看着我brambry。


您的视频美丽而宁静。对你的敬意。"
48006,Ugx3OGl9QmYdjxikehh4AaABAg,0,hope one day i find the guy who will accept to leave the city and live with me in nature,希望有一天我能找到一个会接受离开城市并与我同住的人
50153,UgyA4JKz4_Qv1hJ9G3t4AaABAg,0,i like u so much because nature food yummy,我非常喜欢你，因为大自然食物美味
34110,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49kO5_u9Khn-,0,so true. people are ment to be one with nature. โค๏ธ๐ธ,如此真实。人们是与大自然的人。 ❤️
51037,UgyTyXKc9qB6fOXpOh54AaABAg,0,multi tasking multi talented sweet lady.love the nature binding lifestyle . great preparation . regards from france,多任务多个才华横溢的甜蜜女士。精彩的准备。来自法国的问候
34000,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49Hlxy-uL8Tx,0,".. yup.. always working, but not a rat race..blend with and take only what you need from the nature...peaceful and content life..",..是的..始终在工作，但不工作。
33980,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49Dmf6iFnog3,0,yes.... i hope everyone takes care of nature and lives a happy life,是的....我希望每个人都照顾自然，过着幸福的生活
33946,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49AVEOdIzEAy,0,"https://youtu.be/zzzpmqc1lsu

super zoom video for nature ๐‘ lovers ๐","https://youtu.be/zzpmqc1lsu

自然的超级缩放视频"
51463,UgwJf9wSFccHBrmCdbx4AaABAg,0,"it's brilliant!!! beautiful girl, beautiful nature.your video i can see forewer.",这个棒极了！！！美丽的女孩，美丽的大自然。我可以看到前面的视频。
51622,Ugz9vNbHZf3yCE1Tq-x4AaABAg,0,"the dogs are so cute 
such peaceful life i wish i can live with nature like you","狗是如此可爱
如此和平的生活，我希望我能像你这样的大自然生活"
51637,UgwoAwjkZZ2q_sfW9O94AaABAg,0,you and nature is a great wonderful wonderful i wish i could have a law,你和大自然是一个很棒的美妙，我希望我能有法律
33740,UgwKJWIyxWKXxMbjtbp4AaABAg,0,she is the closest to mother nature we will ever get,她是我们最接近的大自然
52154,Ugwuwz-kqBcHdqu5aS54AaABAg,0,"fadwa, my lord, i loved it, adore it, and it has been, god willing, the nature is crazy.",法德瓦（Fadwa），我的主，我喜欢它，崇拜它，它来了，上帝愿意，大自然是疯狂的。
52477,UgyLuw-Y_zYk12fibSJ4AaABAg,0,nature is fading and pain,大自然正在褪色和痛苦
33684,UgwPhAIhE_1JtxOy2Pd4AaABAg,0,delicious dishes by beautiful girl.... with love of nature.....,美丽的女孩的美味佳肴....充满了自然的爱.....
33663,UgwZt6-AjycVwNYu3m14AaABAg,0,"my life would be like this if school and educational is not important. there's so much else i can learn by living like this. survival skills, nature and my spirit bounded together and i will never ever face problems and feel stress about it. except i'll be living in a rain forest with mountains and lakes and it will always rain. i could grow some paddy i mean life like this is lit",如果学校和教育并不重要，我的生活就是这样。像这样生活，我还能学到很多东西。生存技巧，自然和我的精神融为一体，我永远不会面对问题并感到压力。除了我将住在一个雨林里，里面有山和湖泊，它总是会下雨。我可以种一些稻田，我的意思是像这样的生活
33401,UgzSxAu7pVEHmkDkPdZ4AaABAg,0,wonderful nature,奇妙的天性
49928,Ugx_0NARAZKVYagOcCB4AaABAg,0,"oh god, what a wonderful life for you curses abu al -tahdar, al -madinah and al -zabat. their life is a paradise and all the food is from nature, as i am my lord",哦，天哪，对你来说，真是美好的生活，诅咒阿布·阿尔·塔赫达尔，阿尔 - 马迪纳和al -zabat。他们的生活是天堂，所有的食物都来自自然，因为我是我的主
34260,UgxguQ925TzjlQbKSwx4AaABAg,0,"beautiful. all nature. if we lived there, there would be so much pollution. i don't get tired of watching his videos and peace and tranquility he transmits. more than anything attention to his grandparents. it brings me memories to my dear grandfather. as i miss him. greetings from ecuador.",美丽的。全体。如果我们住在那儿，将会有太多的污染。我不厌倦观看他传播的视频，和平与安宁。最关注他的祖父母。这给我带来了我亲爱的祖父的回忆。我想念他。厄瓜多尔的问候。
49605,UgyV1GB2G8WVgVhTvXx4AaABAg,0,beautiful nature,美丽的自然
45768,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r9LsiHdSCf,0,"@designqq8905 hmm. okay, i see where my comment singed you. let me make it clear that you are reading a lot of things into it. no, i don't mean that if i see a joint project by china, i should jump to the conclusion that it is propaganda. that's your interpretation, i hope that you will admit your mistake when you see it. because that's not what i meant. 
when i said, 'knowing i shouldn't, if you are right....', i meant that i wouldn't disrespect or disregard or be ignorant of the hurt it might cause people who know the truth, whatever it may be, since i have no access to it, which is why, the former comment was followed by my desire of confirmation. don't conveniently choose to see one part and ignore the other. 
i can see your point that the subtitles are inconsistently strewn over videos, and had it been truly propaganda, it would have been differently so. wish you had said it sooner. 
as for me asking you to read the thread, i truly believed you didn't. since your comment about semantics was wrongly placed. i was talking about my language. however, i didn't mean to condescend to you, and if you felt bad about it, then i apologize. hope you will accept it. if you feel that, that was my intention, let me assure you it wasn't. and no, i don't mean that just because you belong from china, i see all chinese people that way. you have absolutely no grounds to base that upon. i merely enquired about it. and i am having a reasonably calm discussion with a stranger on a dangerous virtual platform, does that indicate that i am putting everyone in the same category? as for technology, i know for a fact that she has an imac, a professional editing machine. she edits her own videos. before you twist that as well, let me make it clear that she doesn't do it on her phone, is all i am saying. i can't help but feel like a lot of your feelings about my comments are culled from your perception of how the world sees china. and please stop seeing it from the angle that i am criticizing her videos. i can't press enough on the fact that i never did. i am very glad to know that she is a positive source of inspiration for the people of china. so please, i insist you stop dragging that cat through the mortar. i have been courteous to you, and apologized if your sentiments were hurt. i will have to request you stop misinterpreting my every word. and you did read things that you wanted to read. since i didn't mean them, i know i am speaking the truth. 
yes, every country does try to promote itself, and i will wager that a lot of it is actually propaganda. my country does it, so does the others. the difference is that the people have a right to prove them wrong on a public platform. we have the right to criticize them openly and call them on their misrepresentation. and here, the remark is about the government, not your culture or people. 
finally, i will reiterate that my intention was not to hurt your feelings. you think there was an ulterior motive. there wasn't. you think that i think the apples don't fall far from the tree. i don't. and my deduction was just that, presence of a crew. that could indicate a joint project of a political nature, but in this case, as you rightly suggested, it doesn't, since the subtitles are spare. 

now, i am tired of explaining things again and again. i hope you understand. and good day.","@DesignQQQ8905 hmm。好吧，我看到我的评论在哪里唱歌。让我清楚地表明您正在阅读很多东西。不，我并不是说，如果我看到中国的联合项目，我应该得出这样的结论：这是宣传。那是您的解释，希望您在看到错误时会承认自己的错误。因为那不是我的意思。
当我说：“知道我不应该，如果你对... ，由于我无法访问它，这就是为什么，前者的评论之后是我对确认的愿望。不要方便地选择看到一部分而忽略另一部分。
我可以看到您的观点是，字幕在视频上不一致，如果确实是宣传，那将是不同的。希望您早日说。
至于我要你阅读线程，我真的相信你没有。由于您对语义的评论被错误地放置了。我在谈论我的语言。但是，我并不是要屈服于您，如果您对此感到难过，那我深表歉意。希望你会接受。如果您觉得那是我的意图，让我向您保证不是。不，我并不是说仅仅因为您属于中国，我都会看到所有中国人。您绝对没有理由以此为基础。我只是询问它。而且我正在与一个危险的虚拟平台上的陌生人进行相当平静的讨论，这是否表明我将每个人都属于同一类别？至于技术，我知道她拥有一台专业编辑机器的iMac。她编辑自己的视频。我只说，在您扭转这一点之前，让我清楚地表明她不在手机上做到这一点。我忍不住想像您对世界如何看待中国的看法，您对我的评论的许多感觉都被淘汰了。并且请不要从我批评她的视频的角度看到它。我从未做过的事实不足。我很高兴知道她是中国人民的积极灵感。所以，我坚持要你停止将那只猫拖到砂浆上。我对你很有礼貌，如果你的情绪受伤，道歉。我将不得不要求您停止误解我的每个单词。您确实阅读了想阅读的东西。由于我不是他们的意思，所以我知道我在说实话。
是的，每个国家都试图提升自己，我会敢打赌，其中很多实际上都是宣传。我的国家也这样做，其他人也这样做。不同之处在于，人们有权在公共平台上证明他们是错误的。我们有权公开批评他们，并致电他们的虚假陈述。在这里，言论是关于政府的，而不是您的文化或人民。
最后，我将重申我的意图不是伤害您的感受。您认为存在别有用心。没有。您认为我认为苹果不会落在树上。我不。我的推论就是，船员的存在。这可能表明一个政治性质的联合项目，但是在这种情况下，正如您正确建议的那样，这不是，因为字幕是备用的。

现在，我厌倦了一次又一次的解释。我希望你明白。和美好的一天。"
35284,UgzwvvKXbwuC810vvld4AaABAg,0,"god, what is the nature of dislocating, and the structure.",上帝，脱位的本质和结构是什么。
48376,UgxuGEF6zaSpeV72s5p4AaABAg,0,your channel is so refreshing and entertaining so inlove with the nature around you.,您的频道是如此令人耳目一新，娱乐性，因此与周围的大自然融为一体。
34972,UgxTMfHUL_qdGGg1fal4AaABAg,0,"abak, who live in a world of imagination, photography is shining, nature, the aggressor, and a consultant, and the same is ever ๐๐๐๐",阿巴克（Abak）生活在一个想象中，摄影的世界中，自然，侵略者和顾问都在
34808,UgzET-2WMNKfxQeXlVZ4AaABAg,0,this normal life with nature ..,这种正常生活与自然。
48448,UgxUawoD5AbWGup7kph4AaABAg,0,it is beautiful to see the form in which nature respects,看到大自然尊重的形式很美
34791,UgzDn9GNgHsWYwOfG314AaABAg.8usnfCu0ou98vPi1gLwtdf,0,sichuan my dream destination for nature and food,四川我梦dream以求的大自然和食物目的地
48464,UgwLuixiYDao6N1XZXB4AaABAg,0,"i like the nature of the girl, authenticity, and unwillingness. her works make people feel comfortable, heal, and awesome. remind me that the world is still beautiful and hopeful.","喜欢柒姑娘的自然, 真实,不矫情. 她的作品让人看了舒服, 疗愈, 给力. 提醒我这世界还是美好的有希望的."
49321,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9HwZe1j82up,0,"encourage me for more nature videos like, share, subscribe to my channel friends .. new beginning https://youtu.be/wpn2cpro2py",鼓励我进行更多的自然视频，例如，分享，订阅我的频道朋友。。新开始https://youtu.be/wpn2cpro2py
34404,Ugw4JcXbSn4WFb2JoXR4AaABAg,0,the real harvest moon back to nature girl โฅ๏นโค,真正的收获月亮回到大自然的女孩≥﹏≤
49015,UgyRb3NCMsPPQpJLYjt4AaABAg,0,my wish is that to see your nature home in your videos,我的愿望是，在视频中看到您的大自然家
34358,UgyZtGoUmG6lSFxhNkR4AaABAg,0,"this is how our grandparents and parents lived at the past days,they had have really hard life ,i even remember i also experienced some of her life when i was kid ,i also was born from the place surrounding the nature ๏ผ missing my old life",这就是我们祖父母和父母在过去的日子里生活的方式，他们过着艰难的生活，我什至记得我小时候也经历了她的一生，我也从大自然的地方出生了
49140,Ugw_b7OeeCBoHX4Ymq14AaABAg,0,ur way of making video is very nice...i love nature,您制作视频的方式非常好...我爱大自然
34346,UgzeUv9D4ZEEZ4Qlurt4AaABAg,0,"hi, sweets, they will be taught to sell it, i mean, god bless them, sean, a very elegant and beautiful life. mako is sweeter than the nature",嗨，糖果，他们会被教导要出售它，我的意思是，上帝保佑他们，肖恩，一种非常优雅而美丽的生活。马科比大自然甜
49309,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9HRzBeSNA3Q,0,actually foods would not have same tastes because she is living in nature. do you think market foods have same taste?,实际上，食物不会有相同的口味，因为她生活在大自然中。您认为市场食品具有相同的味道吗？
45769,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88rB4aakRNKs,0,"for those of you who were unfortunately following this particular thread, i am going to delete most of what i have posted, because i just realized what a fool i was, trying to interfere with the beauty of nature, talking nonsense to the beautiful song of a chirping bird about politic! 

the reason for my foolishness is because i totally forgot about a beautiful and true story told by none other than mr. joseph campbell himself. 

this is how the story goes;
accompany a western priest on a visit to japanese temple, standing in aw in front of a beautiful buddhist statue, the priest turns around and whispers to mr. campbell “ it is ashamed that my religious believe wouldn’t allow me to fully appreciate the shear beauty of this culture that creates this piece of art.”

欲辨已忘言。","对于那些不幸的人遵循这一特定主题的人，我将删除我发布的大部分内容，因为我只是意识到自己是个傻瓜，试图干预自然之美，对那首美丽的歌曲说话一只关于政治的鸟！

我愚蠢的原因是因为我完全忘记了约瑟夫·坎贝尔先生本人所讲的一个美丽而真实的故事。

这就是故事的发展。
陪伴西方牧师参观日本寺庙，站在一个美丽的佛教雕像前，牧师转过身来，对坎贝尔先生小声说：“我的宗教信仰不允许我完全欣赏剪切这种文化的美丽创造了这种艺术。”

欲辨已忘言"
37792,UgwzksvG1fCr25Tc7C94AaABAg,0,"beautiful landscapes, beautiful nature, and very cute how he knows how to do everything. but is an existence lived only for food and daily struggle without rest to survive? and the spiritual part?",美丽的景观，美丽的自然和非常可爱的他如何知道如何做一切。但是，存在是否仅是为了食物和日常奋斗而没有休息才能生存吗？还有精神的部分？
37415,UgwckJpx3hPTfI6wEVp4AaABAg,0,"it reminds me of my childhood, and thanks for showing the beauty of nature in china to all over the world",它使我想起了我的童年，并感谢您向世界各地展示中国的大自然之美
40916,UgzBvM1PEPGR-Y4CNBJ4AaABAg,0,after watching your videos my love towards mother nature has become even stronger .... love you,观看了您的视频后，我对大自然的爱变得更加强大。...爱你
44005,UgzZjViZTiZZWuMjCn14AaABAg,0,"i recently found this and i just can't seem to get enough of it, i'm hooked! everything she creates looks so mouth watering, everything is fresh, and i love how she's so close to nature and her family!",我最近发现了这一点，我似乎无法得到足够的东西，我迷上了！她创造的一切看起来都令人垂涎，一切都是新鲜的，我喜欢她与大自然和家人如此亲密！
44087,Ugz_4s0P5rWe1FdB1h14AaABAg,0,i love the way she is living ... close to nature...,我爱她的生活方式...接近大自然...
41198,UgxnabZOjkKIgdGmhYV4AaABAg,0,"a miracle girl, a beautiful life in work and nature - real",一个奇迹女孩，工作和自然的美好生活 - 真实
41037,UgzODmq3zkStRqH_N_t4AaABAg,0,what a nature rich country...,多么富裕的国家...
44143,Ugx5Bk65HSZaZKpFA-N4AaABAg,0,"its so satisfying to watch, and i love the nature scene its so beautiful love it ,already subscribe!!",它是如此令人满意的观看，我喜欢自然界，它是如此美丽的爱，已经订阅了！
41028,UgyqoIZ4xCNTBkJY0t54AaABAg,0,"omg she's sooo beautiful, her beauty contrasts perfectly with the nature",天哪，她真漂亮，她的美丽与大自然形成鲜明对比
40965,UgwOHDnlmQQOPTfk41Z4AaABAg,0,i loved the sounds and the noises of nature ♥,我喜欢大自然的声音和声音♥
44192,UgwAXaKhKSN6Pxxj2eh4AaABAg,0,a world of creativity and colors married to originality and nature.,创造力和色彩的世界与独创性和自然结婚。
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
43738,Ugwh_M8Lsfk1gOGlDXl4AaABAg,0,"just love the simplicity of living together with such a beautiful surrounding, nature best, thanks. shalom",只是喜欢与如此美丽的周围环境，自然最好的生活的简单性，谢谢。 Shalom
40696,UgyDQ_DWLbnyhgiH1xt4AaABAg,0,"beautiful really they are helped we how we can live in nature without used technology
hat","真正的美丽，他们得到了帮助我们如何在没有二手技术的情况下如何生活
帽子"
40579,UgxpZzp3dD1eLKJvvW54AaABAg,0,luckiest girl on earth. she is so close to nature. love it,地球上最幸运的女孩。她接近大自然。爱它
40502,UgyWdL6wyfzj-9_fGRN4AaABAg,0,nature offers you everything without sacrificing animals ..... it has a brutality in throwing the meat .... for the rest you are excellent,大自然为您提供一切而无需牺牲动物.....扔肉很残酷。
40374,UgyQfERj4V9l-iQI0gN4AaABAg,0,i like this place and the girl nature,我喜欢这个地方和女孩大自然
44247,UgwRS8vYEOIXJS_39Z54AaABAg,0,"i love video, nature and so cute.",我喜欢视频，大自然和可爱。
44312,Ugz377hjtydLZmRZBpx4AaABAg,0,"it is natural for the quantity of pleasant in the video, nature and simplicity, my wish, i live in your place.",视频，自然和简单性，我的愿望，我住在您的位置上是很自然的。
39898,Ugz0qrNBWuhEVH_ojMd4AaABAg,0,wonderful videos in life according to nature ... they are delightful ..... greetings from poland .... agriculture,根据自然的生活中的精彩视频...他们很愉快.....来自波兰的问候。
44374,UgwsBEOxVywV9bGoIwp4AaABAg,0,i just want to go live there for 3 months straight. i just want to stay from the cities and people from there. i need to be in touch with mother nature,我只想连续三个月住三个月。我只想从城市和人们留下来。我需要与大自然母亲保持联系
43860,Ugw49KCtVXb9x-evQ4d4AaABAg,0,god gifted human being beutiful life....v only making it worst and hell.... stop expecting more ....live with nature...life i'll b heaven....,上帝天赋的人是美丽的生命。
41544,Ugx2CvNRilBGrosQ2lR4AaABAg,0,i really love this life style.. pure ... simple & close to nature ... great job,我真的很喜欢这种生活方式..纯净...简单而靠近自然...出色的工作
45717,UgwQAa0DuGT4NjGhN8h4AaABAg,0,wonderful what is the most beautiful nature and its products,很棒的是最美丽的大自然及其产品
43519,UgwpbF56ihkN2LsmBQl4AaABAg,0,"watching these videos sometimes makes me wish we all live like this
and wish we all enjoyed a simple, peaceful and joyful life in the comfort of our small cozy homes (without electricity, internet...even vehicles and especially money) surrounded by the beauty and resources nature has to offer
imagine how much healthier and happier we would all be, physically, spiritually and mentally from the fresh and natural food and the physical activities in that daily life","观看这些视频有时会让我希望我们都这样生活
并希望我们所有人都舒适地享受着简单，和平与快乐的生活
想象一下，从新鲜和天然食物以及日常生活中的身体活动中，我们在身体，精神上和精神上都会变得更健康和快乐"
42597,Ugz4NoZPGUuPcAGRKx54AaABAg,0,i really really love this typ of life...evry min working with nature...it's amazing...,我真的很喜欢生活的这个类型... Evry Min与自然合作...太神奇了...
42629,UgysNPrX5fyPV_FakZR4AaABAg,0,"i am not interested in nature, but their interest in cleanliness .. and their feelings are working on clean .. the thing that unfortunately is missing in most arab countries",我对大自然不感兴趣，但他们对清洁感的兴趣。.他们的感受被用来清洁..不幸的是，大多数阿拉伯国家缺少的东西
43100,UgwFF4gikryz1eS8UEp4AaABAg,0,"just amzing nature , i wish if i can live in such an amazing place ❤",只是自然，我希望我能住在如此惊人的地方❤
42563,UgwG_NLf_H6J-ryDdCZ4AaABAg,0,"thank you for your video.
there is a sense of craftsmanship and the combination of humans and nature.","谢谢你的视频。
有一种工匠精神以及人类与自然界结合的感觉。"
42549,Ugy699_P1RW1744Om2N4AaABAg,0,first l got on othet channel of corean girl who cooks a lot and shows their life over there. and now this one. these people are living in peace with mother-nature. evrything is so beautiful! now l got to see real life on thst part of the world. and this is so amazing! i see so many people are enjoying these vodeo's! ceep up..,首先，L登上了Corean Girl的Othet频道，她经常做饭并展示了那里的生活。现在这个。这些人与母亲和平相处。 evrything是如此美丽！现在我看到了世界各地的现实生活。这真是太神奇了！我看到这么多人喜欢这些Vodeo！ ceep。
43398,UgwL3DJ7dk08ACKjfNt4AaABAg,0,"like this way of life, feeling peaceful, not busy, happy, fresh, independent, in the midst of abundant nature",就像这种生活方式一样，在丰富的大自然中感到和平，不忙，快乐，新鲜，独立
42435,UgzEXMjaf8MkgKYkomd4AaABAg,0,one of the most beautiful video i have ever seen in my life..............wow.......so colorful of life.....close to nature......!!!!!,我一生中见过的最美丽的视频之一........... ... !!!!!!
43476,Ugzhk06knzma3krlN8B4AaABAg,0,"everything is so nice - lambs, nature and girl needlewoman",一切都很好 - 羔羊，大自然和女孩针女
43633,UgzENro9jxRI0wr8w8N4AaABAg,0,"what a beautiful video, all so nature",多么美丽的视频，所有的大自然
41629,Ugw-BdglCNjch48Rqp94AaABAg,0,i am happy watching you doing beautiful creative loving work with nature all around you. you are beautiful too,我很高兴看到您与周围的大自然一起做美丽的创意爱情。你也很漂亮
43650,Ugy3Vawzw1Mm5FBqsh14AaABAg,0,"these videos are beautiful. in addition to showing how real chinese dishes are prepared, you can see a wonderful nature. a huge greeting from italy",这些视频很漂亮。除了显示真正的中国菜肴的准备方式外，您还可以看到一种美妙的本性。来自意大利的巨大问候
43667,UgzbHAam_UDv4xx2qH54AaABAg,0,wonderful!!! yesterday i saw this video. i fell in love with your channel. i am your subscriber already. what a beautiful place where you live and what a beautiful young man you are. thanks for sharing everything. i love nature and your funny animals relax your videos a lot for the rhythm of life. greetings from el salvador america central.,精彩的！！！昨天我看了这个视频。我爱上了你的频道。我现在是您的订户。您住的地方多么美丽，您是一个美丽的年轻人。感谢您分享所有内容。我喜欢大自然，您的有趣动物在生活的节奏中非常放松您的视频。来自El Salvador America Central的问候。
42141,UgxChAB0HBoExPOXZsN4AaABAg,0,wow sweet nature,哇，甜美的自然
41940,UgxF02RocwwJcqcVjBl4AaABAg,0,"salvation, i am crying for the beauty of the nature and beauty of a girl and her activity, i wish you live like you",救恩，我为女孩和她的活动的自然和美丽的美丽而哭泣，希望你像你一样生活
41920,UgwksKwzYTgSceiDh2R4AaABAg,0,"how wonderful and charming your life, i adore life in nature",我多么美好而迷人的生活，我崇拜自然界的生活
41882,UgxStrZIeHFyvmqdzCh4AaABAg,0,"i love you 交 how much do you mate
beautiful and dazzling me, your beautiful nature and my china i fascinated by me, i follow you from saudi arabia ليتك عليه يالزين كله","我爱你
美丽而令我眼花缭乱，你美丽的大自然和我着迷的中国我从沙特阿拉伯跟随你 ليتك تردين عليه يالزين كله"
43690,UgxFOjtKAlrUqK2xzQx4AaABAg,0,may god be the beauty of creation. glory be to the creativity and pictures of beauty and nature empty myself. i live there.,愿上帝是创造的美丽。荣耀是美和自然的创造力和图片空无一人。我住在那里。
41735,Ugz9eePxEEsUBXklojh4AaABAg,0,to me.. they are rich.. not own many stuff but they have all their needs that nature gives to them. they live in peaceful place and healthy food,对我来说..他们很富有..没有很多东西，但是他们有大自然给他们的所有需求。他们生活在宁静的地方和健康食品
39697,UgxyGjuC-X5NFNFsAet4AaABAg,0,nature is incredibleโก,大自然是不可思议的♡
44383,UgwGZ_YsSfPpfwpUroR4AaABAg,0,nature,大自然
39646,UgxF5SrfuZ_O-QjIYSp4AaABAg.8snHFPMwN8o8stpRoHDs8O,0,"haha, to count you, what do you want to convert?
you see the harmony between nature and the utensils, even if you suddenly make happiness to you.","哈哈，要数你，你想转换什么？
即使您突然让自己幸福，您也会看到自然与餐具之间的和谐。"
45360,UgxMTmCqVuAppxzseH14AaABAg,0,"hello, this is a very good video, the puppy is really cute. her work is also very beautiful, so in nature. many people dream of this. thank you, and keep a good job! greetings from switzerland!
nǐ hǎo, zhè shì yīgè fēicháng hǎo de shìpín, xiǎo gǒu zhēn de hěn kě'ài. tā de zuòpǐn yě fēicháng piàoliang, suǒy pirate rén dōu mèngxiǎngzhe zhè yīdiǎn. xièxiè, bìng bǎochí liánghǎo de gōngzuò! láizì ruìshì dì dì dì dì dì dì dì wènhòu!","你好，这是一个非常好的视频，小狗真的很可爱。 她的作品也非常漂亮，所以在性质上。 很多人都梦想着这一点。 谢谢，并保持良好的工作！ 来自瑞士的问候！
Nǐ hǎo, zhè shì yīgè fēicháng hǎo de shìpín, xiǎo gǒu zhēn de hěn kě'ài. Tā de zuòpǐn yě fēicháng piàoliang, suǒyǐ zài xìngzhì shàng. Hěnduō rén dōu mèngxiǎngzhe zhè yīdiǎn. Xièxiè, bìng bǎochí liánghǎo de gōngzuò! Láizì ruìshì dì wènhòu!"
38327,UgwcBWB7q14e_O9FV594AaABAg,0,"how can i not subscribe after being bound by a spell to watch your beautiful videos and the best part you do not tell anything about subscribing to channel 
almost feels like videos - out of world and gives out beauty of nature","在被咒语束缚之后，我如何看待您的美丽视频，而您没有告诉任何有关订阅频道的最佳部分
几乎感觉像视频 - 在世界之外，散发出大自然的美丽"
38103,Ugz6_1dlF4PpVHXnKCF4AaABAg,0,such a beautiful nature. skillful girl. i really liked her video.,如此美丽的天性。熟练的女孩。我真的很喜欢她的视频。
44923,UgwOtD4SMLn6e8Axycl4AaABAg,0,"how i love to live in a place like that,just waeup in the morning and picking fruits and vegetables in the mother nature",我如何喜欢住在这样的地方，早上waeup并在大自然中挑选水果和蔬菜
44969,Ugw-ePWZSqwfZaczXhl4AaABAg,0,"the splendor of the scene, the method of cooking and nature is crazy",场景的辉煌，烹饪和自然的方法很疯狂
38052,UgwnW9f5Ee3arvH4pDd4AaABAg,0,the mysterious skills and the rich environment of nature are so good ~ fresh.,神秘的技能和丰富的自然环境是如此美好。
45022,UgwlJw_JPerNq10MCN54AaABAg,0,"as if you are in the second procession of nature, the spirit of the soul..i have known what they are like 120. they live a simple and quiet life, everything is natural and far from the tension of the daily life of lingo in this era.",好像您处于自然的第二个游行一样，灵魂的精神..我知道他们的样子120。他们过着简单而安静的生活，一切都是自然的，远离这个时代术语日常生活的紧张感。
38030,Ugya4_JTl65Dc4zTRFt4AaABAg,0,"this girl is beautiful, and her video is just a miracle of taste and aesthetics of manual labor. in our country, many women, in the presence of modern household gadgets, manage to look like lust, and here is a young woman who lives in harsh conditions of peasant life, without convection furnaces and multi -sides, manages to look like a chinese princess. how much hard physical labor! but she is so fragile, tender, with such elegant fingers! beauty in everything - in the surrounding nature, fruits of this earth, noble work and the results of this work, in it!",这个女孩很漂亮，她的视频只是味觉和手工劳动美学的奇迹。在我国，许多妇女在现代家用小工具的面前看起来像欲望，这是一个年轻的女人，她生活在农民生活的恶劣条件下，没有对流炉和多种方面，它看起来像中国人公主。多少艰苦的体力劳动！但是她是如此脆弱，温柔，手指如此优雅！一切都在所有事物上 - 在周围的本质上，地球的果实，高贵的作品以及这项工作的结果！
45280,UgxyZ4U7eqwU83SVvAp4AaABAg,0,ohh my allah nature is great,哦，我的真主天性很棒
45453,UgzcDY6_yZ6LGy12TJR4AaABAg,0,how beautiful you are nature,你有多美丽
44393,Ugz2YSXPA_1DV2GzWfJ4AaABAg,0,"glory be to god, the picturesque nature",荣耀归于上帝，风景如画的自然
45476,UgztJNUe99V93OwvQzJ4AaABAg,0,hard working woman... with nature.. love it.. so sweet.,努力工作的女人...与大自然..爱它..如此甜蜜。
45679,UgylG3_h0jSeehK7Fg14AaABAg,0,ur hard work make me feel so relax and happy that one day im ready to spend the rest of my life near mother nature,您的辛勤工作使我感到如此放松和快乐，有一天我准备在大自然母亲身边度过余生
42564,UgwPex4snwEgAZgOgv14AaABAg,0,beautifully videos...nature,美丽的视频...自然
