,cid,votes,time,含nature,含nature中文翻译
873,UgyaREjvp8Uq8AxniJh4AaABAg,1,11 months ago,incredible so many tasty recipes that come out of nature and we don't know it !!!,令人难以置信的许多来自自然的美味食谱，我们不知道！！！
6384,Ugw13z31ZkXrWP2V6Tl4AaABAg,1,2 years ago,"frankly, i wished that i lived this life between nature, healthy food and simplicity, god willing, in heaven, lord",坦率地说，我希望我在自然，健康食品和简单性之间过这种生活，上帝愿意在天堂，主
23212,Ugxm0k3YFFIwYJHqSEx4AaABAg,0,3 years ago,"hello from texas in usa of north america, i want to say it’s great to see you cook for your elder and i find my self liking that she loves having you around to make many things from nature and your garden!",来自北美美国德克萨斯州的您好，我想说的是，很高兴看到您为您的长者做饭，我发现自己喜欢她喜欢您四处做很多大自然和花园的东西！
24225,UgywqNHp6W2ZSTo4GBZ4AaABAg,0,3 years ago (edited),"i have always wanted to find chinese cuisine+videos of nature similar to ""china on the tongue"", but it is difficult to find this channel in youtube. i am lucky to find this channel.","一直都想找类似""舌尖上的中国""的中华料理+大自然的影片 但是在youtube比较难找 能找到这个频道太幸运了 影片好有质感啊"
23411,UgyMG21QEp2IAQJ6OPp4AaABAg,0,3 years ago,the picturesque nature and the beauty of the works you do,风景如画的本性和您所做的作品的美丽
24398,UgxRgLsx2DZldAyoiIN4AaABAg,0,3 years ago,i love nature raises,我爱大自然加剧
23291,UgyAHzP6MGkgEhZwkfF4AaABAg,0,3 years ago,surreal!! living in the midst of nature and being one with it. no need for doctors within 100 miles cause they ain't gonna fall sick. i'll love to be part of this once in this lifetime,超现实！生活在大自然中，并与之成为现实。不需要100英里以内的医生，因为他们不会生病。我很乐意成为这一生的一部分
24543,UgycpjkyH9vS6IsjJ8p4AaABAg,0,3 years ago (edited),she is an angel down to earth to elicit a desire to nature from our unconscious minds.,她是一个天使脚踏实地，从我们的无意识的思想中引起对自然的渴望。
24642,Ugxu6Vkjvi77UA5rqfN4AaABAg,0,3 years ago,"so relaxing to watch her videos about simple life in the country, cooking delightfully nutritious food and astonishing view of mother nature.",因此，放松身心观看她的视频，了解该国的简单生活，烹饪令人愉悦的营养食物以及对大自然母亲的惊人景色。
23244,UgzlFEM0P6XTJEyVBdt4AaABAg,0,3 years ago,wow what a beauty of nature ........and almost its food items really yummy yummy .......,哇，多么美好的大自然........几乎它的食物真的很好吃。
34685,Ugy0PEhzgvSJn0utCKV4AaABAg,0,3 years ago,"i wonder, what food that you didn't like ? you eating well, you cook really well, and you can cook with everything from nature",我想知道，您不喜欢哪种食物？你吃得好，你做得很好，你可以用大自然做饭
24813,UgyDxAkKRcSgWIkUNqp4AaABAg,0,3 years ago,because united with nature is more beautiful,因为与大自然团结在一起更美丽
34516,UgzlvLNXqDbJbS3KlQl4AaABAg,0,3 years ago,daughter of nature,大自然的女儿
31673,UgwKMCEdkTZ6TEjlRVh4AaABAg,0,3 years ago,this is called life. carelessness and nature,这才叫生活。无忧无虑大自然
24847,UgwJOeu-Xdmvps5RjsJ4AaABAg,0,3 years ago,wow amazing place..full of greenary..u are really lucky so close and living with nature...,哇惊人的地方..充满了Greenary .. U真的很幸运，如此亲密，与自然生活在一起...
24865,Ugw62auuKPiD4AFb99l4AaABAg,0,3 years ago,the sound of nature is better than music,自然的声音比音乐更好
23210,UgwLdpN2RplZgkBbbz94AaABAg,0,3 years ago,"wouldn’t it be wonderful if we could all live in such a bountiful, productive life close to nature and surrounded by beauty?",如果我们都能生活在如此丰富的，靠近大自然的富有生产力的生活中，并被美丽包围，那不是很棒吗？
23141,UgyL11AYW2n6NwF4L2F4AaABAg,0,3 years ago,"what a blessing to live in nature and grow your own food, i live in nyc- i'd trade you in a heartbeat!!",我住在大自然和种植自己的食物中多么幸运，我住在纽约市 - 我会心跳加速！
24887,Ugynhnxznnd0LuXiRrd4AaABAg,0,3 years ago,"everything is fresh, what is the sweetest nature",一切都是新鲜的，最甜的自然是什么
23459,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ49-1J3WjUhjY,0,3 years ago,because its the sound of mother nature and we abendent her for our own selfish reasons,因为它是大自然的声音
24133,Ugx7ShhID6IWEDI9oE54AaABAg,0,3 years ago,"want to live in a village like this. take care of nature, don't hurt nature",想住在这样的村庄。照顾自然，不要伤害大自然
24216,Ugw-XY640NOr4ac-Pxh4AaABAg,0,3 years ago,"brasil brazil

a vida em harmonia com a natureza é abençoada.
sua vida é lida!
then, then
life with harmony with nature is lucky.
your life is read!","Brasil 巴西

a vida em harmonia com a natureza é abençoada.
sua vida é lida!
.
与自然和谐相处的生活是幸运的。
你的生活被阅读！"
22914,UgxpcixPV4tAaC77lph4AaABAg,0,3 years ago,the nature.....❤,大自然.....❤
23048,UgzqZxQ2eZErDAdDStt4AaABAg,0,3 years ago,"i love watching your daily life as it unfolds. thru your vlogs. i am so jealous, you get to life with nature’s bounty.",我喜欢看着您的日常生活。通过您的视频博客。我很嫉妒，你与大自然的赏金栩栩如生。
31940,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yW_0DqL9t7,0,3 years ago,"@suilongchan3557 says good! activities, people will move alive. looking at ms. zi's work activities, it really reflects the value of life and the harmony of nature and nature.",@suilongchan3557 说得好！活动活动，人活着就要动。看子柒小姐的这些工作活动，实在是很美地体现了人生的价值与人和自然的和谐。
34422,UgwK9YT7714E9j2UYHR4AaABAg,0,3 years ago,is there a way to do naturel shampoo or lotion for dry skin?,有没有办法为干皮肤做天然洗发水或乳液吗？
24000,UgzCabpLKGGuA8RZPLJ4AaABAg,0,3 years ago (edited),"what is conveyed is nature, hardworking, beautiful, and kind, please kneel down and reflect on the japanese! intersection intersection",传达的是自然，勤劳，美丽，善良，请日本人跪下反省！！！
31834,UgyUbat2W4JkgpwN6UN4AaABAg,0,3 years ago,"it's a good memory when i was young
when i lived with nature ...","我年轻的时候是一个很好的回忆
当我与自然生活时..."
34376,UgxfRfoIduKA4y-8NJB4AaABAg,0,3 years ago,"the first hand krabi, knowledge, mind, navigation step well beauty is the definition of three castles. three castles, no one can take it. don't be bad. good soil, all services, very good properties, foundation nature can be prepared. whatever the danger does not ask. who is the recipe that is flavoring? nothing is better than anyone. just a round world.",第一手Krabi，知识，思想，导航步骤好美丽是三个城堡的定义。三个城堡，没人能接受。不要糟糕。良好的土壤，所有服务，很好的特性，基础可以准备大自然。无论危险不问什么。谁是调味料？没有什么比任何人都更好。只是一个圆形的世界。
23635,UgxZEWUjof4pRMb-Nw54AaABAg,0,3 years ago,"after i saw many videos of your channel, i realised one thing. all of the good or things was made from nature, even the clothes. but, i don't know and have not see, how make oil from nature? can you make video abt it? thankyou so much",在看到您的频道的许多视频后，我意识到了一件事。所有的好处或事物都是由大自然制成的，甚至是衣服。但是，我不知道，看不到，是如何从大自然中造出石油的？你可以做视频吗？太感谢了
23549,UgziewuDRJAGcMbH7Qp4AaABAg,0,3 years ago,"just asking, it isnt dangerous when she catches things like this is nature, and go wondering in lakes because of the diseases and microorganisms? (srry for the bad english)",只是问，当她抓住这样的东西是自然的事时，这不是危险的，并且由于疾病和微生物而在湖泊中想知道吗？ （英语不好的人）
23052,Ugw_dl7ISilyNEkv7V54AaABAg,0,3 years ago,either varya had such living with someone i wanted in nature.,Varya都与我想要的人同住。
24957,UgwWHrDF164L_VV-3BZ4AaABAg,0,3 years ago,you have a beautiful place sorrounded by a clean and wonderful nature.how i wish that i can live like this place.,您有一个美丽的地方被干净而奇妙的天性所折磨。我希望我能像这个地方一样生活。
24022,UgwmBNgFETK-NPx7eE14AaABAg,0,3 years ago,i think if the video without music will be better because we want to hear the nature sound.,我认为，如果没有音乐的视频会更好，因为我们想听听自然声音。
24041,Ugw6a7DyhGqTjk6V4c14AaABAg,0,3 years ago,you are amazing with nature. very good,你对大自然很棒。很好
24073,UgxAGMBUsep4gzQzZ5R4AaABAg,0,3 years ago,"i happened to saw one video. and just keep on waching one after another......really good to see you plucking up the vegetable from own yard and cooking the same..as well as the old style of cooking...in old types of vessels.....without touching or harming the nature...
one small question do you really do it yourself or have some servants at home? 
do you sell the vegetables in market ?
nice channel....love from india.","我碰巧看了一个视频。然后继续互相打磨……真是太好了，看到您从自己的院子里拔出蔬菜并烹饪相同的蔬菜。 ...没有触摸或伤害自然...
一个小问题，您真的自己做还是在家有一些仆人？
您在市场上出售蔬菜吗？
不错的频道....来自印度的爱。"
24076,Ugz0UuPvU6t5JzgWdtV4AaABAg,0,3 years ago,beautiful nature,美丽的自然
23516,UgwKEqpXtnY0XLgQf-Z4AaABAg,0,3 years ago,omg what a nature i love it,天哪，我喜欢它
22738,UgzlgC7NwWQ7aEU1F1N4AaABAg,0,3 years ago,i loved the peaceful natural ambience and the way she cooks variety hope to try sumtime lyk dis wen we give back to nature nature gives back to us,我喜欢和平的自然氛围以及她烹饪的方式，希望尝试sumtime lyk wen我们回馈自然自然回馈我们
23540,UgyfZ3oBxtcp08Ayv4h4AaABAg,0,3 years ago,i love nature looking so good please try indian dishes from india,我爱大自然好看，请尝试印度的印度菜肴
31266,UgxNTa492iJzMxtDNel4AaABAg,0,3 years ago (edited),"there are humans dislike this video. one question why dislike ? just wondering why human dislike this video because is not even contents violence or anything that we watch something bad.
to my opinion liziqi just share how to survive and what you can do with nature, what you can do to make your self better and how to appreciate your environment sorrounding you. all her videos showing really something beneficial to all races from all over the world. she was race by her granma that teached her how to live in this world without giving up. so i think we should appreciate this video. 
as human we always never have enough in our life but she have everything and she managed to do by herself.","有人类不喜欢这个视频。一个问题为什么不喜欢？只是想知道为什么人不喜欢这部影片，因为甚至不是目的暴力或我们观看过一些不好的事物。
我认为利兹奇只分享了如何生存以及您可以与大自然做些什么，可以做些什么来使自己变得更好以及如何欣赏您的环境使您痛苦。她的所有视频都显示出对世界各地的所有种族的有益的东西。她正在遭到颗粒竞赛，教她如何在这个世界上生活中生活。因此，我认为我们应该感谢这个视频。
作为人类，我们一生中永远都没有足够的人，但是她拥有一切，她设法自己做。"
34262,Ugy18Tdg_i8hKia8VEN4AaABAg,0,3 years ago,you're a real nature queen,你是真正的大自然女王
25165,UgzQfsx7ACZkp3hW6Ix4AaABAg,0,3 years ago,"the life i dream of, family, food and nature",我梦dream以求的家庭，食物和自然
30759,Ugy5fO6qAfvP2slU5Qt4AaABAg,0,3 years ago,"nature , the process of cooking and the human touch all are the elements that capture viewers interest, and the professional production behind is a big drive. ms li's casual dress and lifestyle is also a make believe that this is not a set stage in studio.",大自然，烹饪过程和人类的感觉都是吸引观众感兴趣的要素，而背后的专业制作是一个很大的动力。李女士的休闲着装和生活方式也相信这不是工作室中的设定阶段。
27963,UgwisTiCFQg5DvwIdqN4AaABAg,0,3 years ago,sound of the nature touched my soul ❤️❤️❤️,大自然的声音触动了我的灵魂❤️❤️❤️
28025,Ugy_3AdTb4Qyys4YZF54AaABAg,0,3 years ago,she lives in nature yet still managed to look so so beautiful,她生活在大自然中，但仍然设法看起来如此美丽
33232,UgyR0dL4lUk8mpmzt4p4AaABAg,0,3 years ago,liziqi...i dont know if you know this....you ve been doing great service to depressed people through your ever so calming videos...your life surrounded by nature..family bond...and so much hardwork adds beauty to everything you do...god bless u and grandma.,liziqi ...我不知道您是否知道这一点。...您所做的一切的美...上帝保佑你和奶奶。
28035,Ugyd-hM6IYpC35P5ynZ4AaABAg,0,3 years ago,love the place and the nature,爱这个地方和自然
28052,UgxYhVfQm-NrkwDkz0Z4AaABAg,0,3 years ago,she is in a fairy tail like a disney princess....sooo beautiful nature itz just give me peace....,她像迪斯尼公主一样躺在童话般的尾巴上。
28285,UgyhCEpnkk7uOYrJs_94AaABAg,0,3 years ago,"i'd like to live in a place like this, so peaceful and full of nature. learning all the things she does wouldn't be so bad either :d",我想住在这样的地方，如此宁静和充满大自然。学习她所做的所有事情也不会那么糟糕：D
30083,UgwivSCT39DRy_TD2ZJ4AaABAg,0,3 years ago,super dear. you are like an angel of nature.,超级亲爱的。你就像大自然的天使。
28314,Ugydh2chbiPIA-VZTyx4AaABAg,0,3 years ago,"idk why, bt i m hungry. hungry 4 food n nature x_x",idk为什么，我饿了。饥饿4食物n自然x_x
28376,UgyoSurSYEwmKtIRyFF4AaABAg,0,3 years ago,"nature here is fictional, god willing, how beautiful is simple life, you are really wonderful",这里的大自然是虚构的，上帝愿意，多么美丽，简单的生活，你真的很棒
29963,UgwP7YTDGVzTUjA-6qN4AaABAg,0,3 years ago,i watch your videos every day .... a spectacle of nature that god created for us! very handsome,我每天都观看您的视频。...上帝为我们创造的自然景象！很英俊
22225,UgxZRLsP98Uqg5q2lq14AaABAg,0,3 years ago,but i'm not able to spent with nature,但是我无法花在大自然上
33065,Ugx0lzFWiv5IiA8Ai4l4AaABAg,0,3 years ago,nature kalashchshhhhhhhhhhhhhh,大自然kalashchshhhhhhhhhhhh
32986,Ugx9PcPYf5yhZNe211p4AaABAg,0,3 years ago (edited),"she eating all nature, meat and not getting fat, loving your work always my dear mentor liziqi",她吃了所有的大自然，肉，不发胖，爱你的工作总是我亲爱的导师liziqi
28669,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92ghYHhACni,0,3 years ago,"she enjoys the heaven of nature everyday,one thing only she has to do is producing videos.and she is rich enough to buy anything.
you i and the others have to work hard everyday ,your boss blames you everyday.and when we go to the market for something ,the prices scare us and let us forget those.","她每天都喜欢大自然的天堂，只有她要做的一件事就是制作视频。
您和其他人每天都必须努力工作，您的老板每天都会责怪您。"
32907,Ugx7Pip1mgahxG5_JMp4AaABAg,0,3 years ago,"i wish liziqi or someone could start a programme that allows people to come to the area she lives, get land, build sustainable houses and hold workshops where she could come and will teach everyone what they need to know to survive. she basically knows everything is seems. then we could all slowly start going back to nature and living our lives like liziqi. this would be amazing.
the liziqi movement. i'd be over in a heartbeat.","我希望Liziqi或某人可以启动一项计划，让人们来她所居住的地区，获得土地，建造可持续的房屋并举办讲习班，并可以在这里教每个人，以教所有他们需要认识的东西以生存。她基本上知道一切似乎。然后，我们都可以慢慢开始回到大自然，像利兹奇一样过着我们的生活。这会很棒。
Liziqi运动。我会心跳加速。"
29925,UgxUc9oHdbPqXEshrdB4AaABAg,0,3 years ago,"maybe there is no one to speak spanish but it does not matter what i want to say, i will say this woman makes my eyes close and do me to that magical place where she is. that place where through the screen one feels that peace breathes just by seeing those panoramas that nature that is wonderful and we do not talk about their dishes that look super appetizing, it had to be said and said!.",也许没有人会说西班牙语，但我想说的没关系，我会说这个女人让我的眼睛闭上，把我带到她所在的那个神奇的地方。那个地方通过屏幕，人们感觉到和平只是看到那些大自然很棒的全景，而我们不谈论他们看起来超级开胃的菜肴，必须说和说！
28697,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93G_ngIpb25,0,3 years ago,"its not the ingredients she wants, it's the one she needs and receives by nature and her own garden that was planted by her and other people",这不是她想要的成分，而是她和她自己的花园所需要的，是她和其他人种植的
29038,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yf0AXGMkPq,0,3 years ago,"@user-dw6rn9zh6c pay attention, there are always a lot of both may 2018 and there are still 3 videos there, and for the last month there are. one that the np is growing)? or she loves the pappis so that she constantly selects them, and how she grows up in forest))!? just their culture is like this. t.b.do, see on liz: it also squeezes calories, carbohydrates, vitamins and fats for all that is around and gives nature: vegetable and animal, it is simply apparently popular in european countries, in the usa, with us, and not just in asia. and apparently she realizes that it will be living for us, and this is so: it is full of varieties! but the puppy, for them, like borsuk- superproof, even capable of treating tuberculosis with its fat. turn to me: such a ""practical"" korean, japanese woman, legged, chinese)) whoever she is, will not miss this product !! (therefore, the little puppies are always disturbed in the video. i can’t judge: such as a culture, for muslims shock and fu, that we eat pigs, i just think not to show, not to tell about it. if she prepares and uses everything that is in her household! and this is not honest according to her relations towards us. haith, i would have respected her more for honesty. i didn’t hide it particularly. imea is a little knowledge about their culture, seeing her video and a little in my head. it’s hard to understand. calm. by the way) by the way) by the way) i have today d.r. !!) and they gave me a puppy !! dobermanchik)",@user-dw6rn9zh6c注意，2018年5月总是有很多两者，那里仍然有3个视频，在上个月。他们，以及她在森林中长大的方式）！！！！！！！！！！！！！！！！！！它显然在欧洲国家，在美国，与我们一起在亚洲而受欢迎。显然，她意识到它将为我们生活，这就是如此：它充满了品种！但是小狗，因为那只小狗，因为他们像Borsuk-Supphrove，甚至能够用脂肪治疗结核病。转向我：这样的“实用”韩国，日本女性，腿，中文））无论她是谁，都不会错过此产品！小幼犬总是在视频中被打扰。我无法判断：例如一种文化，对于穆斯林震惊和fu，我们吃猪，我只是认为不要表现出来，不要说出它。如果她准备并使用一切那是在她的家中！根据她与我们的关系，这是不诚实的。海斯，我会以诚实的态度更尊重她。我并没有特别掩饰。我的脑海里有点。很难理解。顺便说一句），顺便说一句），我今天拥有的），他们给了我一只小狗！dobermanchik） 。
29859,UgwYSU5anfUhzG2W4px4AaABAg,0,3 years ago (edited),nature at its finest. love the bamboos,自然最好。爱竹子。舒缓的声音
29773,Ugx0VPrFrPVSwjaFA9F4AaABAg,0,3 years ago,natural nature at its finest. living off the land is the way to go minus the fakeness in our world.,自然性质最好。在土地上生活是减去我们世界上伪造的方式。
29116,Ugxqnvaz49m7k_hSN9d4AaABAg,0,3 years ago,"yearning for antiquity is because of the complement of nature and the busyness of life for life to make people feel satisfied.
in the city, watching the culture of fast food, and after over and over, there are only empty emptiness.
in the forest, the grass fragrance earthencaries have a kind of unspeakable comfort.","向往古色，就是因为那种与自然相辅相成，为生活而忙碌的充实让人感觉满足。
城市里，看快餐文化度日，一遍又一遍过后，只余下呆坐的空虚。
山林里，嗅着草香土芳，却有种说不出的惬意。"
32739,UgxpFw7aLmNq9FFPZEZ4AaABAg,0,3 years ago,please make a video on how you deal with mensturation which is in line with nature.,请制作一段视频，了解如何处理与自然一致的MenSturation。
29158,Ugw6rOdNw7Y8mBWTOw14AaABAg,0,3 years ago,"the strength of this little angel is amazing! the weight she carries around would be impossible for many western women. her beautiful spirit is really unique. calm, peace, love for her beloved family/granny and for nature around her. a blend of what we humans should all have. just another 1000 of her would make our world a better place. i am sure she touches deeply all that watch her videos. such a blessing to have this channel!",这个小天使的力量很棒！对于许多西方妇女来说，她所携带的体重是不可能的。她美丽的精神确实是独一无二的。平静，和平，对她心爱的家庭/奶奶的爱以及周围的大自然。融合了我们人类应该拥有的一切。她只有1000人将使我们的世界变得更美好。我相信她会深入观看她的视频。拥有这个频道真是太幸运了！
29205,UgzeTCYqkbjiChQQtq14AaABAg,0,3 years ago,cute nature,可爱的大自然
29772,UgyqWOLa5lKVWDy2Nbt4AaABAg,0,3 years ago,"i always watch your videos before i sleep,thanks for reminding me beauty of the nature",我总是在睡觉前观看您的视频，感谢您提醒我大自然的美
29694,UgxhTPBJ4QklzhUqI7x4AaABAg,0,3 years ago,"this is actually the everyday life of people living in rural areas in asia. my grandparents who live in a rural town have rarely been to supermarket. they cultivate the land and grow their own food. they drink rain water. go to bed at 7 pm and wake up at 4 am everyday. no tv. no social media. they have been strong and rarely got sick. sometimes, i just can’t help thinking if that is what life supposed to be. you live close to nature and eats what mother earth feeds you.",这实际上是居住在亚洲农村地区的人们的日常生活。我住在乡村小镇的祖父母很少去超市。他们耕种土地并种植自己的食物。他们喝雨水。晚上7点上床睡觉，每天凌晨4点醒来。没有电视。没有社交媒体。他们很坚强，很少生病。有时，我只是不禁要思考这是否应该是生活。您生活在大自然附近，吃了大地母亲养活的东西。
32525,UgxgvEfDqYw4AiygYGp4AaABAg,0,3 years ago,i love u sister you are the bestest naturecooking in the world,我爱你姐姐，你是世界上最好的自然录制
29302,UgxgQJoMO7vMvZR7LaZ4AaABAg,0,3 years ago,nature will give you everything you need.. we should go back to nature.. your home was like paradise..,大自然将为您提供您所需的一切。我们应该回到大自然。.您的家就像天堂。
27899,UgyexLnJNptasInQR6F4AaABAg,0,3 years ago,no reason for dislike because its only abt nature's beauty really beauty of nature,没有理由不喜欢的，因为它唯一的自然美是自然的美丽
27828,UgzsxJPqOs6jhzpu5HF4AaABAg,0,3 years ago,i love nature..,我爱大自然..
27822,UgwYZgrMLDiIr4PJcQt4AaABAg,0,3 years ago,brings inner peace with such beauty of nature..its soul purifying,以这种自然的美丽带来内心的和平。它的灵魂净化
26263,UgwiNDbtWQZ0h0zJjbR4AaABAg,0,3 years ago,"editing handy 
it looks like a lot of nature and it seems to be fun
it's just something delicious! ☺️


is that ?? isn't there a japanese person ??","编辑方便的
看起来很自然，似乎很有趣
这只是美味的东西！ ☺️


那是吗？没有日本人吗？"
34153,UgyfdECbGZSmzEr0sYh4AaABAg,0,3 years ago,what a beautiful nature...,多么美丽的天性...
25189,UgzEcCvphmD3WqnWIHB4AaABAg,0,3 years ago,"xd how rich everything and fucking nature, not like here we have a supermarket and we don't know what to do for dinner",XD多么富有一切和他妈的性质，不像在这里我们有一家超市，我们不知道该怎么做晚餐。
34138,UgzCHxRxrBLYKnuYxIJ4AaABAg,0,3 years ago,"bamboo bamboo shoots are large, fresh ingredients are taken from nature. they can enjoy such a life. i hope they will make some good videos in a healthy life. if the mother -in -law will leave in the future, there will be no regrets. modern young people have time to accompany the elderly more. , don’t just take care of work entertainment, go home and take a look at it together. eating together is also a kind of happiness.",竹笋大大的，新鲜食材都取自大自然，她们好享受这样的生活，希望她们健康生活下去再做一些好视频，如果未来婆婆走了也不会留下遗憾，现代年轻人有时间多陪伴老人家，不要只顾工作应酬，常回家看看，一起吃饭谈谈也是一种幸福快乐
33902,UgwuqHml_0hKRLbSGDB4AaABAg,0,3 years ago (edited),"hi beautrful,, not only god given you beauty and talent has also blessed your serrounding with goodness of nature wich you use....lots of love & xxx",嗨，美丽，不仅上帝赐给您的美丽和才华，还以自然的善良祝福您的曲折。
25543,Ugy_NqZF264-Xkd3nQB4AaABAg,0,3 years ago,beautiful life merges with nature,美丽的生活与自然融合
31325,UgxoI2iJl9KqAXWNDPJ4AaABAg,0,3 years ago,"nature is beautiful . but, in this video nature is very verybeautiful",大自然是美丽的。但是，在这个视频中，本性非常非常美丽
33886,UgzhafpF_EKgGwy-75d4AaABAg,0,3 years ago,the only way to live with the nature and save the world.,与自然生活并拯救世界的唯一途径。
33619,UgyrXTT43AYJxyn34GV4AaABAg,0,3 years ago,"the knife is crispy in the earth, and the heavens are operating!
good -natured circulating clothing and food warm, you can report it!","刀下音脆在地情,天造万物人经营!
善性循环衣食暖,有情自可报天恩!"
25702,Ugzmpx_reaAuO3JvkG14AaABAg,0,3 years ago,i like living with nature,我喜欢与大自然生活
25982,UgxMetDJ2C14SkdccH54AaABAg,0,3 years ago,"earth/nature gives us abundant of food, yet we are distroying it like we have another to live it.",地球/大自然给了我们大量的食物，但是我们正在分散它，就像我们还有另一个可以生活一样。
31089,Ugy6wVbOK-bRBptQNSJ4AaABAg,0,3 years ago,"nature, then nature is not dispensed with everything in nature",大自然，那么自然中的一切都不会消除
26085,UgzRfV_d8bhEyrkx0Jl4AaABAg,0,3 years ago,"i always watch with great pleasure your channel! you live in a very beautiful place, just a paradise! the nature is amazing. very colorful videos, i see a lot from your culture for the first time. the girl is just cinderella, a craftswoman on all hands! it is clear that a whole team is working on the channel that makes such a successful project. all videos look in one breath. thank you for getting to know your cuisine, nature, culture! successful to you and long life to the channel!",我总是很高兴您的频道！您住在一个非常美丽的地方，只是一个天堂！大自然很棒。非常丰富多彩的视频，我第一次从您的文化中看到了很多。这个女孩只是灰姑娘，一位手上的工匠！显然，整个团队都在研究这一成功项目的渠道。所有视频一口气看。感谢您了解您的美食，自然，文化！对您来说成功，频道长寿！
26166,Ugye4kVoWAHei7NtqTt4AaABAg,0,3 years ago (edited),"i'm curious on how these shots are established and edited. do you have someone helping you out? because if you're doing it all alone, wow. you must be a perfect woman to me. jk very delicate and nature centered. beating food network and other food channels i know which wastes their food sometimes. hope you continue to make videos like this til you have kids or special someone, ziqi. hi to your grandmom too.",我很好奇这些镜头是如何建立和编辑的。你有有人帮助你吗？因为如果您一个人这样做，哇。对我来说，你一定是一个完美的女人。 JK非常细腻，自然集中。我知道有时会浪费食物网络和其他食物频道。希望您继续制作这样的视频，直到您有孩子或特别的人，Ziqi。嗨，你的祖母。
26296,UgxQ3MNTPR5AKYkqHjJ4AaABAg,0,3 years ago,"from someone who has nothing to do w nature , or china and listens to rap. i like this",来自一个无能为力的人，或中国，听说说唱。我喜欢这个
27705,Ugy8AXaYfFQsM5gRDVZ4AaABAg,0,3 years ago,happy life with beautiful nature i like that so much !!,幸福的生活与美丽的自然，我非常喜欢！
26630,UgzN9sgGYC6uRxH-NcR4AaABAg,0,3 years ago,"hello, it gives a very nice nature to peace",您好，这给和平带来了非常好的本性
26696,UgxNW7r99ty9_TaZsLR4AaABAg,0,3 years ago,this is how people should live..bond with nature...,这就是人们应该生活的方式。
31794,UgxLsi3V8JUW8T7mInh4AaABAg,0,3 years ago,she has founnd her atlantis. nature provides all her needs.,她曾为她的亚特兰蒂斯（Atlantis）举起。大自然提供了她所有的需求。
26757,UgwY6QmCNKSSbWBW9KR4AaABAg,0,3 years ago,99% credit goes to nature,99％的信用归于大自然
32223,UgwxnbxxOOO1rdZp83J4AaABAg,0,3 years ago,"always excellent is just 6 and i am already hungry that envies you live in a beautiful place of culture rich of respect for the elderly, animals, nature to life greetings from el salvador blessings to you and your whole family",总是很棒的只有6岁了，我已经饿了，让您生活在美丽的文化场所，对老年人，动物，自然对生活的问候，来自萨尔瓦多祝福给您和您的整个家庭
33414,UgxQpeI54cSSRmEWCvd4AaABAg,0,3 years ago,"i wish the period of the video will be the longest life of your life, so sweet, nayal, on this nature",我希望视频的时期将是您一生中最长的寿命，如此甜蜜，纳亚尔（Nayal）
26861,Ugy01FkVi0l5RBQBLLF4AaABAg,0,3 years ago,"tch that grandma is quite enjoying the food . she is very lucky to have you.
i hope ur video encourage lazy bugs like us to use and protect our nature for living.","TCH表明奶奶非常喜欢食物。她很幸运能拥有你。
我希望您的视频鼓励像我们这样的懒惰虫子使用并保护我们的天性以生存。"
32499,UgypGoMIEGy-cqNFG994AaABAg,0,3 years ago,"i forget my cooking , i started to watch her whole day. nature sounds and food ! god bless you",我忘了做饭，我开始整天看着她。大自然的声音和食物！上帝祝福你
27121,UgxwjQAD-KZ-iBG2rqR4AaABAg,0,3 years ago,food is the energy of life and the closer it is to nature your channel is beautiful. keep making content.,食物是生命的能量，越接近大自然，您的频道是美丽的。继续写入内容。
27256,UgyT1tpccv9xHSa3fel4AaABAg,0,3 years ago (edited),"this is cooking! 

you take good care of your grandmother

and sweet cats running about

may you all live long and prosperous, with all of nature beautiful and rich and pure","这是烹饪！ 

你好好照顾你的祖母

和甜猫四处奔跑

愿你们所​​有人都活着漫长而繁荣，拥有美丽，丰富和纯洁的自然"
27405,Ugxi6VIBRmb1l77dQRF4AaABAg.8yeoTICg-vC8ynw3U8-ozt,0,3 years ago,yaa correct this is the life even i love to be an enjoying in nature,yaa正确，这是我的生活，即使我喜欢成为自然界的享受
27449,UgxYq13XU6hC9vajj8V4AaABAg,0,3 years ago,i like nature .... if ... my indonesia is like .... it's ....,我喜欢大自然....如果...我的印度尼西亚就像....是....
32519,UgxdyLyVt8zX4Dc7PKt4AaABAg,0,3 years ago,nature girl ...amazing!,大自然女孩...惊人！
31826,Ugyow91mybUtYCweIkB4AaABAg,0,3 years ago,"you are amazing, the food is amazing , the scenery and the nature is amazing , lucky you",你真是太神奇了，食物很棒，风景和大自然很棒，幸运的你
66,Ugwo5eW8oV4GXCguGcN4AaABAg,0,2 weeks ago,i'm happy to see his video because i also like nature greetings from malaysian,我很高兴看到他的视频，因为我也喜欢马来西亚的自然问候
22224,UgxZzDAxWDqA2IXCKhJ4AaABAg,0,3 years ago,gifts of nature,大自然的馈赠
