,cid,votes,time,含want,含want中文翻译
23465,Ugw2Tu3zDibxjEQm0jJ4AaABAg,0,3 years ago,life that everyone wants,每个人都想要的生活
23470,UgwO_-6RqKXE2A8F9iV4AaABAg,0,3 years ago,i have a dream of wanting to live like this. lived until being bored of the chaos in the city,我梦想着想这样生活。活着直到对城市的混乱感到无聊
23489,Ugx2FK03wIStXp5X5Gp4AaABAg,0,3 years ago,want to be a wife,想当妻子
23542,UgwU-bpSYbiO0cUin714AaABAg,0,3 years ago,i never thought i would want river snail soup looks super yummy,我从没想过我想要河蜗牛汤看起来超级美味
21468,UgzwUqHoiB5H-JCKKtd4AaABAg,0,3 years ago,this is with nature. i want a life like this.,这与自然有关。我想要这样的生活。
23582,UgxyurD0SnYk-lOwmT54AaABAg,0,3 years ago (edited),"dear liziqui.... m not sure if you know this but there are people who are stealing your videos and publishing as their own in their channel for subscribers..... you did the hard work and i want only you too benefit from it..... do you have a copy right policy... please look into this and stop these low lives from stealing your videos.
...a liziqui fan","亲爱的liziqui .... m不确定您是否知道这一点，但是有些人正在窃取您的视频并在其频道中出版作为订户的频道.....您做了艰苦的工作，我只希望您也从中受益它.....您是否有正确的副本政策...请探讨这一点，并阻止这些低生活窃取您的视频。
... liziqui迷"
23600,Ugxq4UmrNPqpAfw6jup4AaABAg.8zf8Wd9JAXL8zf8g-zer29,0,3 years ago,"it's not as good as you, i just want to learn art simply, take care of the old grandma",做饭不如你，我就想单纯的拜师学艺，照顾老奶奶
23677,Ugyu1I04YlEXvK8iB8B4AaABAg,0,3 years ago,"your cooking style is supreb......i really really want to taste them in real
...which i know where you stay","你的烹饪风格是supreb……我真的很想真实地品尝它们
...我知道你留在哪里"
23719,Ugy5yYjhwCnDWk5xSox4AaABAg.8zdI5Wxwltz8zsW5sfJIS1,0,3 years ago,you want peach,你想桃子
23743,Ugyy7SBVSyKMz-FHxbV4AaABAg,0,3 years ago,"where are you living? can you disclose it? good place, no pollution, i want to visit and taste the delicious food you made? intersection",你住的地方在哪儿呢？可以透露一下吗？好地方，无污染，很想去拜访也品尝你做的美味佳肴？！
23754,UgzqRp7MXNvg0TVIvnt4AaABAg,0,3 years ago,"where i want to eat what you do, i am hungry",在那儿我想吃 您作什么 我很饿
21394,UgzW__LqcqnjsBETxdJ4AaABAg,0,3 years ago,"the girl is super !!! as in that fairy tale:- ""and the reaper, and the priest, and on the duda player !!!"" ... i need her in the household, i have the same mother in age, and i do not suffer with workgo breath. but i so want to return home from the shift of the worker, stumble up for the expression:- oh, you are on time, sit down to have dinner !!! and not on:- oh, but you bought bread, and milk!? russian women have lost the significance of russian women ... now, these are hairy, assholes - marmoseli, not capable of anything, not accustomed to anything, except sucking ...",这个女孩超级！！！就像那个童话中一样：“还有收割者，牧师，以及在杜达（Duda）的玩家！！” ...我需要她的家庭，我有同一年龄的母亲，而且我不遭受Workgo呼吸。但是我想从工人的转移中回家，偶然发现表达方式： - 哦，您准时，坐下来吃晚饭！！！而不是： - 哦，但是你买了面包和牛奶！？俄罗斯妇女失去了俄罗斯妇女的意义...现在，这些都是毛茸茸的，混蛋 - 毛莫斯利，没有任何能力，不习惯任何东西，除了吮吸...
21381,UgxFK-MifeSy46RGLRh4AaABAg,0,3 years ago,i want to marry you you are so smart,我想嫁给你你真聪明
23799,Ugz2cQ4t6CYZt-v3_vN4AaABAg,0,3 years ago,"ziyi, let your kitten puppy look face a lot of face, i really want to see them!",子柒，让你的小猫小狗小羊多多露个脸，我好想看见它们！
23277,UgzkjfQpc75TjSjK9cF4AaABAg,0,3 years ago,i want married with you,我想和你结婚
23236,UgypJT20zy05QlU7knF4AaABAg,0,3 years ago,i want to marry you for food,我想嫁给你吃饭
21678,Ugyg6S3eBMhTZ8rSsrx4AaABAg,0,3 years ago,"hahaha, i want to eat it",哈哈哈，看着好想吃
22912,UgzjMBqrn3cnEXtD2AB4AaABAg,0,3 years ago,want a wife like this,想要这样的妻子
22721,UgxxzQAtQHsPadwrNy14AaABAg,0,3 years ago,i want to marry her really serious,我想娶她 真的 很认真
22744,Ugxw6fv5AMusXCUOPNp4AaABAg,0,3 years ago,does anyone want to marry her?,有人想嫁给她吗？
22822,UgzpCtbbKRl_QgHnGnJ4AaABAg,0,3 years ago,i really want to eat snail powder,我好想吃螺蛳粉啊
21609,UgyKKfPkTCiZLXkuAnl4AaABAg,0,3 years ago,i want to marry you home.,我想娶你回家。
22827,UgwiRb3toVfHYyZ4YmN4AaABAg,0,3 years ago,found the channel last night and i love it. it's so relaxing. so beautiful. i want to live there.,昨晚找到了频道，我喜欢它。太放松了。如此美丽。我想住在那里。
22842,Ugxh11Uk8BujULfVSh14AaABAg.8zuYmU_CV8n8zup9VLXCzT,0,3 years ago,want to eat snail powder,想吃螺蛳粉
22843,UgwnPBiGyJkKIk9Rkzl4AaABAg.8zuWeyZ0m1s8zwArODyVYJ,0,3 years ago,me also want to merry this butifull girl,我也想让这个丁二女孩快乐
22886,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-GPoHv6XxP,0,3 years ago,@franzpeters3824 what you actually want to say,@franzpeters3824您实际想说的话
34545,UgwX0jzxDP8G51-NlcB4AaABAg,0,3 years ago,i really want to taste a few dishes by her. they look sooo good! i use her videos as therapy to calm down after a hectic day!,我真的很想品尝她的一些菜。他们看起来很好！我用她的视频作为疗法，在忙碌的一天后冷静下来！
22931,Ugx2pTLcfnQ7aLlbK1Z4AaABAg,0,3 years ago,omg very beautiful i want to be near by you i fall in your love,天哪，我很漂亮，我想靠近你，我陷入了你的爱
21469,UgwfYHaI-S7SSt9R1Hd4AaABAg,0,3 years ago,i really want to try your recipe. can you write little more details about your dish please,我真的很想尝试您的食谱。你能写一些关于菜的更多细节吗
22967,Ugx5mbQnDGHYPnVxktt4AaABAg.8ztHlCwf1iW8zzFcNkDQPB,0,3 years ago,"i also want to say, but how do you let her dig a little girl?",我也想说，不过一个小姑娘你让她怎么挖，做做样子差不多就行了
23052,Ugw_dl7ISilyNEkv7V54AaABAg,0,3 years ago,either varya had such living with someone i wanted in nature.,Varya都与我想要的人同住。
23093,UgwAnZ_uWWUx2IDwI8l4AaABAg,0,3 years ago,the kind of life i want,我想要的生活
23100,UgyptksT3PTVNIGVOTF4AaABAg,0,3 years ago,"i think... this video too fast......
i want enjoy each scene","我认为...这段视频太快了……
我想享受每个场景"
21485,UgzTYTMgg619JP4Parp4AaABAg,0,3 years ago,i really want to be a guest,真想去做客
23131,UgyeWVu8KKG9dCT6c1t4AaABAg,0,3 years ago,hello! i have moroccon channel if any person wants to know about moroccon kitchen,你好！如果有人想知道摩洛哥厨房，我有摩洛哥频道
23133,UgwXg_EBzPrVn1F8i2R4AaABAg.8zqL3FI2gSj8zs13FJH4yl,0,3 years ago,"when you make up for yourself, let's control yourself, this chinese -style japanese. essence essence do you want to be a japanese?",论装逼先管管自己吧，这中式日语。。。想当日本人想疯了吧？
23212,Ugxm0k3YFFIwYJHqSEx4AaABAg,0,3 years ago,"hello from texas in usa of north america, i want to say it’s great to see you cook for your elder and i find my self liking that she loves having you around to make many things from nature and your garden!",来自北美美国德克萨斯州的您好，我想说的是，很高兴看到您为您的长者做饭，我发现自己喜欢她喜欢您四处做很多大自然和花园的东西！
34531,Ugz_2APKGpvdSBT941V4AaABAg,0,3 years ago,look at her eating noodle makes me want noodle now,看着她的饮食面，让我现在想要面条
21529,Ugwz9h7Zbt151V_QcrV4AaABAg,0,3 years ago,i really want to fall in love with you,好想跟你谈恋爱
32748,UgziL9Huh-faRSRdfdV4AaABAg,0,3 years ago,"once he wanted to eat, went to the garden everything and cooked. this is a class and food is useful, tasty.",一旦他想吃饭，就去了花园里一切并煮熟。这是一堂课，食物很有用，美味。
25086,UgzEo0Ixrxf7Kc5RpyR4AaABAg,0,3 years ago,i want to marry this girl now and right away..,我想立即嫁给这个女孩。
25110,Ugw-pUVElqGiI9Ge_R94AaABAg,0,3 years ago,you are beautiful girl)))) i want you to become my wife))))),你是美丽的女孩））））我要你成为我的妻子））））））））
29383,Ugx4HW8TpaVXrynW6G54AaABAg.8yWwXSo2wVO8yZF54OafGE,0,3 years ago,@user-nc4po6yw1j i also watched it for a long time and didn't understand what he wanted to say funny,@user-nc4po6yw1j 我也是 看了半天没看懂他想说什么 滑稽
29395,UgyqfKZ65DDM6zh5HbZ4AaABAg,0,3 years ago,“dont do this at home. we dont want a fermented fingertips”,“不要在家里这样做。我们不想要发酵的指尖”
29400,UgwfH7ZkgGT15V-16lJ4AaABAg,0,3 years ago,“don’t want fermented fingertips!” haha,“不想发酵指尖！”哈哈
29607,Ugz0nobuY7jn9HWMkxZ4AaABAg,0,3 years ago,"i know who voted against it, falun gong and those who want taiwan independence.",我知道谁对此投了反对意见，法轮功和那些想要台湾独立的人。
29619,UgzdKmTEHTGKv6khhNx4AaABAg,0,3 years ago,grandma also wants to taste really cute!,奶奶也想尝尝的样子真的好可爱！
33558,Ugx6wgNrGAnlOldq8ah4AaABAg,0,3 years ago,plz give a little bit i want taste the food of liziqi s hand....,请给我一点一点，我想尝尝liziqi的手的食物。
33551,UgyFZCLdUwX05FjovYN4AaABAg,0,3 years ago,i don't have any idea what you're eating but i still want it :d,我不知道你在吃什么，但我仍然想要它：D
29633,Ugwt3A50Dyfj4L3UqWp4AaABAg,0,3 years ago,i want a kitchen with a big stone pot,我想要一个带大石锅的厨房
29647,Ugx7TCSgU8MOmTR30Vl4AaABAg,0,3 years ago,i fascinated me to see your videos and i want beautiful your coexistence and home!,我着迷于看您的视频，我想要美丽的共存和家！
29650,UgzqUiXsbQklbEAgzT94AaABAg,0,3 years ago,there are selling on taobao you want to eat ~~,想吃的 淘宝上有卖哦 ~~
29737,Ugzyl7cJwa26KOPVmch4AaABAg,0,3 years ago (edited),i want to live in a place like this,我想住在这样的地方
29766,UgxM1tE_eVZQ6enRo2p4AaABAg,0,3 years ago,i really want go to you house,我真的想去你家
29854,UgxmemrFEtshVICnf3d4AaABAg,0,3 years ago,love her pottery n pots she cooks w want to buy for me waiting for a sale.,爱她的陶器n锅，她煮了我想为我买的，等待销售。
29891,UgwLV3qzY8-sClL-Lp54AaABAg,0,3 years ago,wanted to know your home gardening secrets how the plants are so healthy,想知道您的家庭园艺秘密，这些植物如何健康
29901,Ugym29IPahghUqG2aAB4AaABAg,0,3 years ago,"9:33, 9:38, 9:52 ohhhh !!!! i want to eat!",9：33，9：38，9：52哦！我想吃！
29918,Ugzxmwc2NYIHfjGksjp4AaABAg.8yVxVy7d9MK8yVyolqXDOD,0,3 years ago,"she does not want her grandma eat spicy food, because grandma is too old.",她不想让奶奶吃辛辣的食物，因为奶奶太老了。
29925,UgxUc9oHdbPqXEshrdB4AaABAg,0,3 years ago,"maybe there is no one to speak spanish but it does not matter what i want to say, i will say this woman makes my eyes close and do me to that magical place where she is. that place where through the screen one feels that peace breathes just by seeing those panoramas that nature that is wonderful and we do not talk about their dishes that look super appetizing, it had to be said and said!.",也许没有人会说西班牙语，但我想说的没关系，我会说这个女人让我的眼睛闭上，把我带到她所在的那个神奇的地方。那个地方通过屏幕，人们感觉到和平只是看到那些大自然很棒的全景，而我们不谈论他们看起来超级开胃的菜肴，必须说和说！
29937,UgxIAZUxhM0QZ6l8VV54AaABAg,0,3 years ago,"both the bean bean vines and purslane are our sichuan -chongqing specialty dishes, so i want to go back to eat",泡豇豆 藤藤菜和马齿苋都是我们川渝特色小菜 好想回去吃啊
29938,UgxAlittcU5S-vBfcWF4AaABAg,0,3 years ago,i want to eat snail powder,想吃螺蛳粉了
29966,UgzseQQMoMBwXErHSdd4AaABAg,0,3 years ago,"super girl! lizgi, do you have a love? in what a country you would want to win? what is the dream? sprash and ponumable, what's my questions on the replacement ...
超级 女孩! 丽兹, 你 有 有 有 国家? 你 在 做 什么 梦想? 我 问 并 理解 我 的 问题 仍然 没有 答案 ......","超女！利兹吉，你有爱吗？您想在哪个国家 /地区赢得胜利？梦是什么？ Sprash and ponumable，我对替代者有什么疑问...
超级！丽兹，你？有？你？你？什么？我？"
33494,UgweD30SarG5MfoaBLt4AaABAg,0,3 years ago,"the most delicious bamboo shoots are fried using salted squid ... or on vegetables using santen mixed with a big bent shrimp ... or using ebi is also delicious ... or on vegetables using pucung or kluek is also delicious, mixed meat kebo wuiih deliciously ..
bamboo shoots are also delicious in pepes using tofu or mushrooms ... or it's up to you want to mix any shoots must be delicious ..","最美味的竹芽使用咸鱿鱼炒...或在蔬菜上使用桑登与大弯曲虾混合...或使用EBI也很美味……或使用Pucung或Kluek在蔬菜上也很美味，混合了肉wuiih美味..
用豆腐或蘑菇在泡沫中也很美味...或者您要混合任何芽必须很美味。"
29969,UgzjeLlrAaaQ6yO1zjd4AaABAg,0,3 years ago,wow snail powder! i want to go to liuzhou,哇 螺蛳粉！看了想去一趟柳州
29986,Ugw-GUyDanRmGkxsjft4AaABAg,0,3 years ago,"""we dont want fermented finger tips and nails""",“我们不想要发酵的手指技巧和指甲”
29989,Ugz4sx6iskAibAPq_g94AaABAg,0,3 years ago,"""don't want fermented figure tips and nails"" ..... now that's funny ...
""don’t fermented numbers and nails"" ..... now this is very interesting ...","""don't want fermented figure tips and nails""..... now that's funny... 
“不要发酵的数字提示和指甲”.....现在这很有趣......"
30033,UgwWK1mdgWjy5kxtZ-t4AaABAg,0,3 years ago,"hello beautiful lady, wanted to thank you for all your wonderful videos they are absolutely beautiful. you are so blessed cant wait to see your next video.",你好美丽的女士，想感谢您的所有精彩视频，它们绝对美丽。您是如此幸运，等不及要看下一个视频。
30148,Ugwqg4BqvHZJzE8y0P54AaABAg,0,3 years ago,i want a pepper,我想要胡椒
30164,UgwxuiuwwdNAzaQgiT14AaABAg,0,3 years ago,i want to be her grandma,我想成为她的祖母
30180,UgwsF6ozUV0ug0Dq7wJ4AaABAg,0,3 years ago,i want to join her for just one day. what she does seems like a lot of work at times but it has got to be that much more satisfying to enjoy the fruits of your labor at the end of the day.,我想加入她的一天。她所做的有时似乎是很多工作，但是在一天结束时享受劳动的成果一定要令人满意。
30185,UgzjSTaKQ5ukhhekFGp4AaABAg,0,3 years ago,i want to go back to mianyang to eat rice noodles 我,我想回绵阳吃米粉了
29336,Ugx0e0tdG_SRD_1U5WR4AaABAg,0,3 years ago,i really want to eat,好想吃哦
29331,UgyAZzctkA79t0biO3x4AaABAg,0,3 years ago (edited),"do u know english if so plz chat with us
we wanted to visit your places","你知道英语是否与我们聊天
我们想参观您的地方"
29273,UgzC1cnESzaOgsw3wtJ4AaABAg,0,3 years ago,food lood soo deliseas i want to eat,我想吃的食物lood soo deliseas
33658,UgyvVwMqz-VSMwxSpkV4AaABAg,0,3 years ago,"xiao 7 was peeled with bamboo shoots, and her mother -in -law swinging on the sofa was playing on the sofa ~ retirement was so comfortable that she didn't want to go to work on monday tomorrow. essence essence",小7在剥笋子，婆婆在沙发上荡秋千耍～退休原来这么舒服，都不想明天周一上班了。。。
28144,Ugzg-1XAUChLswGZLN14AaABAg,0,3 years ago,"@yundengogo it would be nice if the people doing subtitles could only translate what is being said or the words shown on screen in the video.. any additional information or cooking tips (like ""careful when trying this at home, we don't want fermented finger tips or nails"") might be funny but they should be said in the comments and not the subtitles.. otherwise it's just going to be confusing to figure out which words come from liziqi and which ones were added by a random person who has nothing to do with the channel",@yundengogo，如果执行字幕的人只能翻译所说的话或视频中显示的单词。发酵的手指秘诀或指甲”）可能很有趣，但应该在评论而不是字幕中说。与频道无关
28148,UgyR-JRN1QhmOHpcSCt4AaABAg.8y_EJw7w6TO8ybbCsHzjg_,0,3 years ago,super i want bamboo soup,超级我想要竹汤
28337,UgxRXjwVIjMMqzOWVit4AaABAg,0,3 years ago,"cook, eat, cook, eat....want to see her relax and sleep too.",做饭，吃饭，做饭，吃饭。...也想看到她的放松和睡觉。
28357,UgxsePMSzEGaet4r-Z14AaABAg.8yZ5Z4PNxMt8yfPK43pQ9U,0,3 years ago,"minwang lou pommons may be to retain the meaning of this video. just like likes. i think many people are not distinguished because they like too much other videos. can you also save her video independently for a few reviews? i don't want to think of people's bad, goodwill guesses are because of this.",minwang Lou 点差评可能也是为了保留这个视频的意思吧。就跟点赞一样。我觉得很多人是因为点赞太多其他视频不好区分。点差评也可以独立保存她的视频方便以后看？我不愿把人想坏，善意的猜测点差评是因为如此。
28404,UgwyTHfh_wYr0Wo8hJ14AaABAg,0,3 years ago,i was deeply impressed by your channel and i want to live like your country life. i love your life in your life.,您对您的频道印象深刻，我想像您的乡村生活一样生活。我爱你的生活。
33746,UgylYkRTXZ5X1KFbOk94AaABAg,0,3 years ago,i want to know what did you put in that place to keep the bamboo root and long bean?,我想知道您在那个地方放了什么，以保持竹根和长豆？
28418,UgwYvXjkX4IAKGkpaqZ4AaABAg,0,3 years ago,"liuzhou dialect? how can the snail powder do not match the duck feet, the powder should do it by itself, shouldn't it be done here? i bought the fan hahaha, why didn't i think of this? i want to see how many years this lady can do",讲的柳州话？螺蛳粉怎么可以不配鸭脚，粉应该自己做，这里面不是都应该自己动手吗？买的粉啊哈哈哈，金主马云粑粑的团队怎么没想到这点？我想看看这位小姐能干多少年
28434,UgwG7Dn9W9JLhCX-ddp4AaABAg.8yYYJScyg3c8yeVshiLRaA,0,3 years ago,"yeah i love what she's doing , i love her garden .i want to live my life like her",是的，我爱她在做什么，我爱她的花园。我想像她一样生活
28464,UgwhJlqcWN2DTbbqjOx4AaABAg,0,3 years ago (edited),"if i was a thief i'll sneak and steal the utensils from her kitchen
people: oh come on!
me: no no no..i want what she uses in her kitchen","如果我是小偷，我会从她的厨房里偷偷偷走餐具。
人：哦，来吧！
我：不，不..我想要她在厨房中使用的东西"
28475,Ugy-h51pHtwKXD3-jJR4AaABAg,0,3 years ago,grammy wanted some noodles!,格莱美想要一些面条！
28478,UgxLK-ZmEkqkkWU8an54AaABAg,0,3 years ago,"looking at your video, i really want to go back to the countryside of china. there are also fields in the house, there are trees, there are flowers and old houses. i do n’t know why i abandoned such a simple and beautiful life at that time and ran to mei village ...",看着你的视频，我也好想回中国的乡下。刚好家里也有田也有树也有花也有老屋，都不知道为什么当时抛弃了那么淳朴致美的生活跑到了美村…………
33689,UgzEcuAFGb06M-J_-OB4AaABAg,0,3 years ago,i want to go to your home.,我想去你家。
33660,Ugw8PlWAk0g9y5MP-Ct4AaABAg,0,3 years ago,"just want to have a life like this, don't have to go to workers",只想拥有这样的生活，不必去找工人
33617,Ugwy4G6aUZJiXM8vDtN4AaABAg,0,3 years ago,"once i will visit your country...
i want to taste your food items...","一旦我访问你的国家...
我想品尝您的食品..."
29263,Ugydw7UvgW84nU1xF914AaABAg,0,3 years ago,"finally something you have made that my son doesn't want to try.
river snails he's not keen.
he'd eat the bamboo shoots.","最后，您所做的事情是我儿子不想尝试的。
蜗牛他并不热衷。
他会吃竹芽。"
33570,UgwpE5Mb3HKytAWGyLx4AaABAg,0,3 years ago,if you want to define the word beautiful...so talented..,如果您想定义“美丽”这个词，那么才华横溢。
33569,UgwuUhRjVgJxAcWR0Y14AaABAg,0,3 years ago,thank you so much for a peaceful and beautiful video that you don't need to know what you want to do even if you don't understand it.,非常感谢您的和平与美丽的视频，即使您不了解，也不需要知道自己想做什么。
28561,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z_MFpwbxS7,0,3 years ago,@phieuluukhampha-amthuc4568 use english titles if you want more subscribers,@phieuluukhampha-amthuc4568如果需要更多订户，请使用英语标题
28693,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g934xyCjm-dn,0,3 years ago,farida yeasmin she planted what she wanted before.,Farida Yeasmin她种植了自己想要的东西。
28697,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93G_ngIpb25,0,3 years ago,"its not the ingredients she wants, it's the one she needs and receives by nature and her own garden that was planted by her and other people",这不是她想要的成分，而是她和她自己的花园所需要的，是她和其他人种植的
28735,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g95A9P0R6R8E,0,3 years ago,"original: she goes to the garden and finds every single ingredient she wants i went forgot what i came for

translation: she went to the garden and found that every kind of ingredient she wanted to go to the market. i forgot what i bought","原文:She goes to the garden and finds every single ingredient she wants i went to the market forgot what i came for

译文:她去了花园，发现她想要的每一种配料我去了市场，忘记了我来买什么"
28763,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96pznk2QbCH,0,3 years ago (edited),asteri you eat milk from mom as baby. after baby you never need milk from any animal. then eat from sun light and water and plants. innocent cows live in cages because people want vitamins d and proteins.,阿斯特里，你像婴儿一样吃妈妈。婴儿后，您永远不需要任何动物的牛奶。然后从阳光，水和植物中进食。无辜的母牛生活在笼子里，因为人们想要维生素D和蛋白质。
28844,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g99C--kgavvx,0,3 years ago,"@franzpeters3824 well, there are more chinese speakers than english speakers so what so proud of speaking english, do you know any more language? if you know that much show us something that we don't know. you really think that by knowing english you can go whatever you want and can communicate with all, sorry but in we're i live, madrid, there is not even a signal in english.",@franzpeters3824好吧，有说英语的说话者比说英语如此自豪，您还知道更多语言吗？如果您知道这么多向我们展示了我们不知道的东西。您真的认为，通过了解英语，您可以随心所欲，可以与所有人交流，对不起，但是在我们生活中，马德里，甚至没有英语信号。
28950,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9CWwsJSd9oV,0,2 years ago,franz peters so what if she does not speak english.... do you speak mandarin? not everybody needs or wants to speak english. what a stupid remark that was!,弗朗兹·彼得斯（Franz Peters），如果她不会说英语。...你会说普通话吗？并非每个人都需要或想说英语。那真是一个愚蠢的言论！
29085,UgwtLIOR2xK67X18iGB4AaABAg,0,3 years ago,i really want to meet this beautiful kka and join the vegetable plans.,我真的很想见到这个美丽的KKA并加入蔬菜计划。
29177,UgzPstcMidzlp83OfEJ4AaABAg,0,3 years ago,"haven't dinner yet, i want to eat it when i look at it",还没吃晚饭，看着好想吃
29191,UgyPvN-p5TZ-HnPBJod4AaABAg,0,3 years ago,we want to 1 hour long. love,我们想长达1个小时。爱
29261,UgxAyoxjrL5_RbOc89Z4AaABAg,0,3 years ago,i want to live like this,我想这样生活
30265,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zhTj_39R9K,0,3 years ago,@easternlightning1009 want to see it! :),@easternlightning1009 想看耶！:)
33320,UgzM4pWcVbJ-Piw9tlV4AaABAg,0,3 years ago,"2:50 cat
from the previous video, i was worried that ""i don't want to cry the cat"", but it was! (〃 ▽ 〃)","2:50猫
从上一个视频中，我担心“我不想哭泣的猫”，但事实是！ （〃▽）"
30286,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw3921zKNF3Huk,0,3 years ago,want yo,想要哟
32255,Ugw_4AhI6QMusx1FNUd4AaABAg,0,3 years ago,i really want to eat my hometown snail powder,好想吃老家的螺蛳粉
33210,UgyndR92q4X7zfnIEvZ4AaABAg,0,3 years ago,sister oneday if i want to visit your house it's possible?,姐姐OneDay姐妹如果我想参观您的房子吗？
33110,UgzIPB_YG7wjWeN__W54AaABAg,0,3 years ago,can you worship you as a teacher? i want to learn everything from you ❤,可以拜妳为师吗？ I want to learn everything from you ❤
31706,UgxHeH8IfKJevNbPjeV4AaABAg,0,3 years ago,"the video of ly tieu that is there a lack of consciousness to make a vietnamese sub? it is true that the worm makes sorrow. bad reputation carries everywhere. if you want to translate, translate things that you need to translate and translate properly, not add salt sauce!",Ly Tieu的视频缺乏使越南潜艇的意识？的确，蠕虫使悲伤。糟糕的声誉无处不在。如果要翻译，请翻译需要正确翻译和翻译的内容，而不是添加盐酱！
33093,UgxMPJyXAO4cjs4IpVx4AaABAg,0,3 years ago (edited),"oh my..it looks so tasty..
i don't want it to end..she threw away so many soft eatable bamboo shoot covers..","哦，我的..它看起来很美味..
我不想结束它。"
31792,UgzNolcfbEHfch6ZbDt4AaABAg,0,3 years ago,"what do you want, the food that can't be eaten, heaven on earth",要什么有什么，吃不完的食物，人间天堂
31805,Ugz95ddgmagzhVDxsf94AaABAg,0,3 years ago,"does the fan brush?
they have heat there?
i want it too!
cold, slush, rain ...","风扇刷吗？
他们那里有热吗？
我也想要那个！
寒冷，雪橇，雨..."
33086,UgydSGZKonlqN-TaS854AaABAg,0,3 years ago (edited),iwant see moor you video thank u very much,iwant看到你的视频非常感谢你
31966,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e97mKSmoizot,0,3 years ago,"lin li, you also live in this environment, but you don't find its beauty, so you are not her! what is too script? showing your favorite and yearning state is called a script? then go to see the rotten variety shows made by the domestic drama for money to make money, then it is called acting, that is the real script! she also said that life was not as beautiful as her video, but that was what she wanted! she just puts the beauty and gathering in her own eyes, which is tens of millions of times better than many people to enlarge maliciousness and hostility!",Lin Liu 你也生活在这种环境可是却并没有发现它的美，所以你不是她！什么叫太剧本？展现自己喜欢的、向往的状态就叫剧本？那你去看看国内那些为了圈钱而找的一大批戏子拍的腐烂综艺吧，那才叫演戏、那才叫真正的剧本！她自己也说过生活并不全是她视频中那么美好，但那是她心里想要的样子！她只是把她自己眼中的美放大、汇集了，总比很多人只会放大恶意与敌视要好千万倍吧！
33075,UgybgmAG4JuPNAuK-r94AaABAg,0,3 years ago,i want you to become my wife.,我要你成为我的妻子。
32070,UgwrjqAR5ukJiW4FuCt4AaABAg,0,3 years ago,"it's great, it's awesome, i'm drooling, no wonder grandma wants to eat",太棒啦太棒啦太棒啦，我跟着流口水，难怪奶奶要吃的
32081,UgyC5DmFEUlwLA01ouh4AaABAg,0,3 years ago,"i love how you get right to the video, no intro and nothin' i hope you will continue to make a lot videos in the future ❤❤❤ i want to visit you so bad",我喜欢您如何正确地观看视频，没有介绍，也没有'我希望您将来会继续制作很多视频。
32187,UgwkxdxfjBXkgnS-2JF4AaABAg,0,3 years ago,"today's video, i feel that i can eat it. essence it seems to be a big bowl (⊙o⊙). essence essence but i want to eat. essence essence",今天的视频，感觉柒柒还蛮能吃的啊。。好像很大碗啊(⊙o⊙)。。。但是我想吃。。。
32228,Ugwm-XO7u_glj-7h-U14AaABAg,0,3 years ago,"am happy for ur beautiful video's , u r talented hard working women ☺ and one thing i want to say marry 
soon, ur 30 years old now 
, marry when ur grandmother
is alive and shes very old now , good for u . :)","对您的美丽视频感到高兴，他才华横溢的努力工作的女性☺我想结婚的一件事
很快，你30岁了
，当你的祖母嫁给
还活着，现在她很老，对你有好处。 ：）"
32315,UgxM2R29Zhz9Uh1Ism14AaABAg,0,3 years ago,"this often, like this, i like to watch very much. enjoy. i don't want it to end.",这通常是这样，我喜欢看很多。享受。我不希望它结束​​。
31591,UgzlC3wCfdwo4MFK-DZ4AaABAg,0,3 years ago,bamboo shoot is delicious in many asian countries. we use it in a lot of lao dishes. this makes me want to go see the country side a lot.,在许多亚洲国家，竹枪很美味。我们在许多老菜中使用它。这使我想经常去看国家。
32377,UgxLHcAQBs2BuywSjGx4AaABAg,0,3 years ago (edited),will the younger sister get hanfu? i don’t know why i want to see it (the kind i sew,小姐姐会不会弄汉服呀，，不知为何我想看(自己缝的那种
32390,Ugx5kcvLcU9JKoZxw5h4AaABAg,0,3 years ago,i want to understand something from which planets are you ???? ♥ ️,我想了解您是哪个行星的东西？
32404,UgxiVDDUjyMzqmXt7IF4AaABAg,0,3 years ago,am i the only one who wants to see more vids of her and her puppers? haha,我是唯一一个想看到她和她的幼犬更多视频的人吗？哈哈
33015,Ugye2E_XPWIsYxzNarx4AaABAg,0,3 years ago,i am following you. i want you to make a cook.,我正在关注你。我想让你做饭。
32485,Ugw6yIcuAp0OEZ4k1sl4AaABAg,0,3 years ago,shit i want to try it,我想尝试一下
