,cid,votes,time,含want,含want中文翻译
37938,Ugx7orEtX15mVH8q9cR4AaABAg,0,4 years ago,i want some of those land of the lost lemons,我想要一些失落的柠檬的土地
34468,Ugxt4fd_PFaOp_m_frR4AaABAg,0,4 years ago,i want to be her guest for atleast a month..who else want to??,我想在一个月至少成为她的客人。
34459,UgzSi_Y_3XcoRol0ABx4AaABAg,0,4 years ago,want to live naturally like this,想这样自然地生活
34431,Ugz7x5MxFyCPedFbT7t4AaABAg,0,4 years ago,aaaaaahhh i want to live there ๐ญโคโคโค,我想住在那里
34430,UgxA86GeClK7xhrG6WV4AaABAg,0,4 years ago,i want to stay here for rest of my life,我想终生留在这里
38007,UgzqrW87vMQMkWB4D8F4AaABAg,0,4 years ago,i want such a wife.,我想要这样的妻子。
38008,UgwymeBmPkTYeRw6Oid4AaABAg,0,4 years ago,"everything looks so good.i want to live a nice, quite village life you do.everyone in your village seems to be so humble and lead a simple life.it's a very peaceful environment.thanks for the video.",一切看起来都很好。我想过上一个美好的乡村生活。您村里的每个人似乎都很谦虚，过着简单的生活。这是一个非常宁静的环境。感谢视频。
34429,UgyVe6gFMGEMEzbzt-F4AaABAg,0,4 years ago,i want this woman...........,我想要这个女人...........
38012,UgwGvJBwpVG1ycaZCnB4AaABAg.8thdiPRogqW8tpfIl1876x,0,4 years ago,i myself wanted her as a wife - bose,我本人想要她作为妻子 - 玻色
38033,Ugxk2Q-2HSABYsQSFxF4AaABAg,0,4 years ago,the perfection. i want this life,完美。我想要这一生
34401,UgxVMKQEpioGv7W92O94AaABAg,0,4 years ago,i really want to do the popcorn that i do this time ~,好想次这么做的爆米花~
34386,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD692PWb0c6aGb,0,3 years ago,"relex bro, do you really want to screw ppl with intelligence problems?",Relex兄弟，您真的想解决智能问题的PPL吗？
38035,UgytgUUt4oc2g-v9vvt4AaABAg,0,4 years ago,tank7800543 i really want to know you with sincerity!,Tank7800543 真心真诚很想认识你！
38053,UgyXFHt5gyP8BIRWR0p4AaABAg,0,4 years ago,what a beautiful place! i want to travel a place like this picture world.,多么漂亮的地方！我想去像这个图片世界这样的地方。
38059,Ugx5rKbPIjeMO2tUBiB4AaABAg,0,4 years ago,she is so beautiful i want life like this,她是如此美丽，我想要这样的生活
34369,UgzmgibDeG-DFmy3jhx4AaABAg,0,4 years ago,i want her to be my mom...,我希望她成为我的妈妈...
37447,Ugye5OteAFIDB5cQexF4AaABAg.8u4LAgMJiQV8u7jYa9b3AI,0,4 years ago,"of course, everyone wants to marry her and let she make all the food everyday ๐ but i think sheโ€s an angel and itโ€s just too much for everyone in the earth... better, in the whole universe",当然，每个人都想嫁给她，让她每天做所有的食物
37395,UgxiAdJ4KvzcKDO7chJ4AaABAg,0,4 years ago,i want to ate all of it....,我想全部吃掉...
35094,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8x19751aqwu,0,3 years ago,"@user-mf5ot3wu5c, i am sorry for this confusion. i never want to offend anyone, but i have given up my time and live in working women's shoes. i have done a lot of work for the charity there, and i like to understand the culture there. americans should be grateful to what they have, not unreal lifestyles they will never pursue.","@user-mf5ot3wu5c 哦,我为这种混乱感到抱歉。我从来不想冒犯任何人,但我已经放弃了我的时间,住在工作女鞋那里。我为那里的慈善事业做了很多工作,我喜欢了解那里的文化。美国人应该感激他们拥有的东西,而不是他们永远不会追求的不真实的生活方式。"
34799,UgzJcIOajyepqy-WKQp4AaABAg,0,4 years ago,i want to live with her๐ญโค๏ธโค๏ธ,我想和她一起生活
34765,UgzYVSu1wwc95gPgXZp4AaABAg,0,4 years ago,this is what i want to become. living peacefully in the countryside and doing things from scratch. i want that level of satisfaction.,这就是我想要成为的。在农村和平生活，从头开始做事。我想要那种满意度。
37084,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP92cY2Fgtk0n,0,3 years ago,"here is what she said days ago, she used to take all clips on her own and let a company help her promote, now there's an photographer to help take videos but she editsthem all on her own because she want them to be her own style not the photographer's",这是她几天前所说的，她曾经自己拿所有片段，让公司帮助她宣传，现在有一位摄影师可以帮助拍摄视频，但她独自一人构思，因为她希望它们成为自己的风格，而不是自己的风格摄影师的
37004,UgwfCmh2AcvsXW6nDB54AaABAg,0,4 years ago,i want you girl๐‘โค๏ธ,我想要你女孩
37003,UgzoPWujc3NuE5gfvW14AaABAg,0,4 years ago,she makes me want to live in the wild...,她让我想住在野外...
34796,UgyG37Hx7k0za-sLjnJ4AaABAg,0,4 years ago,it's so beautiful i want to be my wife like you.,真漂亮，我想成为我的妻子。
36991,UgxpA159fDl9K_EzTex4AaABAg.8uLAS2qPVSE8uOi8Sf394a,0,4 years ago,"i'm a chinese,would u want to come with me to there.โบ",我是中国人，你想和我一起去那里吗？
36910,UgzUSUJQfK3hcWcZ7SJ4AaABAg,0,4 years ago,woow..this is the type of lifestyle i want to live...,哇..这是我想生活的生活方式的类型...
34608,UgxrOTDZj-TBPt1lLGZ4AaABAg,0,4 years ago,i just want say .. i love you .. you know that ... merry ne,我只想说..我爱你..你知道...快乐
34921,UgyPa-KxhwUl3hp_xBt4AaABAg,0,4 years ago (edited),everything is so beautiful in there โค๏ธ she cooks amazing ๐ she's incredible i want to learn how to cook like that ๐…i'm not doing nothing but just watching other people doing something with their life .. ๐,那里的一切都是如此美丽❤️她做饭了，她很棒
34950,Ugw81TM-pJzzdQSTjhx4AaABAg,0,4 years ago,i want those pets,我想要那些宠物
36828,UgxJDcnFMZ3zJvOsGNx4AaABAg.8uOqLipzCXM8uOqP3MWmCP,0,4 years ago,and i want a lamb as a pet...,我想要一只羔羊作为宠物...
36790,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx901gj5l2lNC,0,3 years ago,@tudungtravelhijab thats my wish too.. i want a harvest moon app ๐ข๐,@tudungtravelhijab也是我的愿望..我想要一个收获的月亮应用
36755,UgxaY8Pq0jDqs7GP3kJ4AaABAg,0,4 years ago,i really want to life like her doing,我真的很想像她一样生活
35093,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8x18RG_YbqB,0,3 years ago,"426firefly yes, i can understand. many of my chinese friends thought this was the person i would become and how many people would be like this. this is definitely not like that, and always prejudice. i don't want to steadily stereotyy and stereotypes of any woman in that area. i just say that maybe people should appreciate what they have, rather than hopeful lifestyles, which may be the only chance of someone in life.","426firefly 是的,我能理解。我的许多中国朋友都以为这就是我会成为的人,以及有多少人会这样。这绝对不是那样的,而且总是有成见。我并不是想刻板地刻板地刻板地把她和那个地区的任何女人。我只是说,也许人们应该欣赏他们拥有的东西,而不是希望的生活方式,这可能是某人唯一的机会在生活中。"
34755,UgwqkQXCXLsDWqEj2yZ4AaABAg,0,4 years ago,i can't type chinese but i want to say that your videos are so beautiful and full of peace. thank you,我不能打字中文，但我想说您的视频是如此美丽和充满和平。谢谢
34748,Ugzdfk1blteTFZ_4LQl4AaABAg,0,4 years ago,beautiful place ... l love many flower in the garden house . i want home like that .,美丽的地方...我爱花园屋里的许多花。我想要这样的家。
37142,UgxAcdoQW8H3n7qaFfF4AaABAg,0,4 years ago (edited),"i think god gives gift to her, to live nearby the nature.in fact it is the dream for all.but she was very lucky.god bless you always.you are one and only one amazing person on this earth.i want your tasty food madam๐๐๐. it's very lucky to eat your tasty and healthy food.it's gives always feels good.",我认为上帝赐给她礼物，生活在大自然附近。实际上，这是所有人的梦想。但是她很幸运。上帝永远。食物女士。吃您美味和健康的食物很幸运。它总是感觉很好。
37167,Ugx53ikOozuft6vEb5d4AaABAg,0,4 years ago,i don't know how i came here but i'm so happy watching this. it is the life i want to live. i would like to see the dogs eating too!!,我不知道我是怎么来这里的，但我很高兴看着这个。这是我想过的生活。我也希望看到狗在吃东西！
37175,UgwmAF865MQjIMyNApB4AaABAg,0,4 years ago,it all seems so simple but im kind of wondering about the behind the scenes. she has some beautiful shots in there obviously shot by a drone and s high quality camera. want to know about the setup and all the work that goes into there as well!,这一切似乎都很简单，但我想知道幕后。她在那里有一些漂亮的镜头，显然是由无人机和S高质量相机拍摄的。想知道设置以及所有进入那里的工作！
37193,UgwuwRfpntV90unVWDp4AaABAg,0,4 years ago,where is this place i want live my whole life,这个地方我想在哪里过我的一生
37216,UgxC9UCakmgzvxplq1d4AaABAg,0,4 years ago,i want it so much,我非常想要
34695,UgxHo8o5TWab8zeu7Qd4AaABAg,0,4 years ago,hehehe the puppy in the end i also wanted to eat what a beautiful video if i liked greetings from peru friend,嘿，小狗最后，如果我喜欢秘鲁朋友的问候，我也想吃一个美丽的视频
37228,UgxNEYAeF3DUVyHJDRl4AaABAg,0,4 years ago,i want to live with them. ๐,我想和他们一起生活。
34683,Ugw1uN1ALRQZ_oYl0nV4AaABAg,0,4 years ago,i so want such a place to go there and everything is growing,我想这样一个地方去那里，一切都在增长
34647,UgwgrRDyqv2FPA8LYsB4AaABAg.8uwt-3S6CL58uy-ta-O8dk,0,4 years ago,@ataryo no one said it didn't take effort. people want to be like her because they admire her effort and that quality within her.,@ataryo没人说这不需要。人们想像她一样，是因为他们欣赏她的努力和内在的质量。
34623,UgzgLyT0lqqL0vDTcEB4AaABAg,0,4 years ago,fate of girls but looking at cx want to have a wife like this ๐๐๐๐,女孩的命运，但看着CX想要有这样的妻子
37238,UgwiU_ANG6uYGUICsep4AaABAg,0,4 years ago,i want to live there for the rest of my life,我想一生都住在那里
37310,UgxDkTQQ31Y06mAwd_h4AaABAg,0,4 years ago,"i want to go there๐
who want too?","我想去那里
谁也想要？"
34616,UgxGPDoQcpLryXyQegp4AaABAg,0,4 years ago,do you want married. i want to live with you,你要结婚吗？我要和你住在一起
37320,UgxqjGz2VXxsI8YiKAd4AaABAg,0,4 years ago,i want live with you ๐,我想和你一起生活
37358,UgxEazUu7NAoPAxGznB4AaABAg,0,4 years ago,omg!!!where is this place.. i want to live there..,天哪！！！这个地方在哪里..我想住在那里..
38973,Ugx9u2sNf2v3ayJ09qZ4AaABAg,0,4 years ago,"somehow, not for long, i wanted to become a guy and marry her. :)
thanks for the beautiful video.","不知何故，我想成为一个男人并嫁给她。 :)
感谢您的美丽视频。"
41458,Ugy8r5wkVXC-MDsmiKR4AaABAg,0,4 years ago,i really want to go to your house and eat a lot.,好想去你家，好多吃的。
39062,Ugyj0ra3xb5TxnwNgyV4AaABAg,0,4 years ago,i want come to ur place and i want sped with u ur garndmonther and i will be with ur house sister i love ur ur place super plac and iam waching every video regularly good viedo sister,我想来你的地方，我想和你的garndmonther一起加快，我会和你的姐姐在一起，我爱你的地方超级席
46200,UgwPt2ourPSnM1l4Pnt4AaABAg,0,4 years ago,i want a pancake recipe),我想要煎饼食谱）
46843,Ugygf9Sbjtp0JTkIvnx4AaABAg,0,4 years ago,"splendid...m the biggest fan of this channal..i saw this channel since 2 week or somthing ..but only in 1 day i completed /means i had saw all the videos ...as these were so beutiful...nd natural.
it my wish from birth to come china .but now i want to meet uh .","出色的... M是这个频道的最大粉丝..我看到了自2周或些什么以来的频道。但是只有在1天完成 /意味着我已经看到了所有视频...因为这些是如此美丽...自然。
我从出生到中国的愿望。但是现在我想见UH。"
46810,Ugw_Tww3DcPdoztlVEZ4AaABAg,0,4 years ago,everything is perfect. who else wants to go to her place?,一切都是完美的。还有谁想去她的住所？
46809,UgwQPjLnxp8SJPci7_14AaABAg,0,4 years ago,wow amazing. i want to live there ❤,哇，太棒了。我想住在那里❤
46744,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998rSQS3BQBWA,0,4 years ago,jimin’s promise so u want to say that ziqi ate the cat is it...? wth,Jimin的诺言，所以您想说Ziqi吃了猫...吗？ Wth
46694,UgxivX2yDBZ6RMn6d8d4AaABAg,0,4 years ago (edited),i want to live just like these people,我想像这些人一样生活
46668,UgxZQ_sCy-aBNG61oZR4AaABAg,0,4 years ago,"i want to live here,every thinks fresh :-) :-)",我想住在这里，每个人都想到新鲜:-) :-)
46660,UgwrRxMN8wTMmb76L1N4AaABAg,0,4 years ago,wow..i want the recipe of all foods..my husband always love this channel..,哇..我想要所有食物的食谱..我的丈夫总是喜欢这个频道。
46655,UgzSknICrnqXEap5Ym94AaABAg,0,4 years ago,i want some,我想要一些
46630,UgzFmXCyABaURtiYWh14AaABAg,0,4 years ago,"you made all these for celebrate chinesse new year.... pls give me some 
it's make me arrrgghhhhh ""i want to taste some ... especially for the candy nougat (idk exactly, the one which used marshmallow)"" 
you're so talented. i envy to you. 
and i love your videos. good luck. and btw how was u'r grandma age? her age look like as my grandma too.","您为庆祝Chinesse新年而做了所有这些。...请给我一些
这让我让我arrrgghhhhh“我想品尝一些……尤其是对于糖果牛轧糖（确切地说，是使用棉花糖的糖果）”
你是如此有才华。我羡慕你。 
我喜欢你的视频。祝你好运。顺便说一句，你的奶奶年龄如何？她的年龄也像我奶奶一样。"
46628,Ugx4Xt9MVHA-wak_bq14AaABAg,0,4 years ago,"it’s want tanghulu, i hadn’t had one for a long time and in china, i can’t find any",想要坦格鲁，我很长一段时间没有一个，在中国，我找不到任何
46627,UgxszS6qivL0ddCNpgt4AaABAg,0,4 years ago,"i really want to go to ziyi’s family for the new year 好
happy new year ~~","好想去子柒家过年
新年快乐~~"
46589,UgzQgPizPzPtxiX4mf14AaABAg,0,4 years ago,want to do youtube too much help,想对YouTube做太多帮助
46564,UgzU0sE_p4O8lj1M9LN4AaABAg,0,4 years ago,"i want to go there ,live there, and to marry this girl .",我想去那里，住在那里，嫁给这个女孩。
46540,UgxahTE2Z92LHTOwtDJ4AaABAg,0,4 years ago,so hard working. wish i saw your channel when i was young like you . i want to live like you.,如此努力。希望我像你一样年轻的时候看到你的频道。我想像你一样生活。
46508,Ugx4wZH6_HyIxXllnK14AaABAg.8qtdRSqP4z58r5-eI4b0xo,0,4 years ago,i want a red envelope,我要红包
46493,Ugz1kCyglV7-3bwau6J4AaABAg,0,4 years ago (edited),"god. i want to marry her.
happy lunar new year.","上帝。我想嫁给她。
农历新年快乐。"
46490,UgwKPPEWw1hRJrQwmcx4AaABAg,0,4 years ago,looks very happy. i want to have a garden like this. the environment is very pleasant. thank you for making a good clip. will continue to follow this sister ^^,看起来很高兴。我想有这样的花园。环境非常愉快。感谢您制作出良好的剪辑。将继续跟随这个姐姐^^
46488,UgxUg-OhlN3-K_qlQix4AaABAg,0,4 years ago,"li ziyi's videos have always brought me a sense of stability in my heart. the beautiful paintings intertwined with nature, family, and gourmet food give people deeply washed the soul. i like everything to her, i want to marry a woman like her, but i am afraid of her omnipotent big machete. don't think that sichuan girl's knife is only used to kill chickens _ (• ̀ω • ́ ""∠ ) _ _ _",李子柒的视频一直都带给我内心安定的感觉，那种人与自然、家庭、美食所交织的绝美绘卷，给人以灵魂深处的洗涤。我中意她的一切，我想娶她那般的女子，但我却畏惧她那把无所不能的大砍刀，不要以为四川妹子的刀是只用来杀鸡的_(•̀ω•́ 」∠)_
46487,UgwUcA9ARqfVQGWbUSB4AaABAg,0,4 years ago,i want marry with her she so perfect she now how to do everything when i see her i say wow that’s my lady,我想和她结婚，她是如此完美，她现在在我看到她时如何做一切，我说那是我的女士
46370,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qwoo8Mp2LO,0,4 years ago (edited),"@christiannugraha1011 i recognize that she dragged the bamboo, not lifted, that’s why i wrote ""dragged."" i’d want to know if she even lives near a bamboo forest. in other vids, we are lead to believe her house is located on a mountain, not a hill. in this vid, she’s filmed dragging those 60’ bamboo poles across a large field. even if the bamboo forest does grow “next” to her house, it’s apparent that's not what she wants her audience to believe based on the images provided (e.g. dragging the 60’ bamboo poles down the “hill,” across a field, up the “mountain.”) she wants the viewer to believe she can labor and toil and still look immaculate, without a drop of sweat, not a strand out of place, no smears of dirt on her face and hands while miraculously keeping that lipstick and no-makeup makeup look. 

she also had an adult dog a year ago who disappeared from the vids and two puppies showed up recently with a lamb. are these dogs props, personal pets, or livestock?

that weibo is her target audience is irrelevant to my skepticism. but, since we’re on that topic, it’s obvious she’s branching out to youtube because she gets paid when she has youtube advertisers. plus, she can probably make more from youtube than she can make from weibo.

and, yes, we shouldn't believe everything on the internet and her videos are a glaring reason why we shouldn't. a typical youtuber share a day in his/her everyday life by not contriving and fictionalizing it to the degree and frequency that it’s probably happening in her vids and without acknowledging it to the viewer.

i'd enjoy the cinematography more if i'm not shaking my head in disbelieve at some of the antics.","@christiannugraha1011我认识到她拖着竹子而不是抬起，这就是我写“拖动”的原因。我想知道她是否甚至住在竹林附近。在其他视频中，我们认为她的房子位于山上，而不是山上。在这个vid中，她拍摄的是将这60英尺的竹竿拖到大型田地上。即使竹林确实在她的房子里“下一个”生长，显然这不是她希望听众根据所提供的图像相信的（例如，将60'的竹杆拖到田野上的“山丘”上，向上拖动“山。”）她希望观众相信自己可以劳作和辛劳，而且看起来仍然完美无缺，没有汗水，没有一束不合适的，她的脸和手上没有污垢，而奇迹般地保留了那只口红，也没有 - 制成化妆看起来。

一年前，她还有一只成年狗，他从视频中消失了，最近有两只幼犬出现在羔羊身上。这些狗道具，个人宠物还是牲畜？

微博是她的目标受众，与我的怀疑主义无关。但是，由于我们在这个主题上，很明显，她正在YouTube分支机构，因为当她拥有YouTube广告客户时她会得到报酬。另外，她可能从YouTube中获得的比微博所能获得的更多。

而且，是的，我们不应该相信互联网上的所有内容，她的视频是我们不应该不应该的明显原因。一个典型的YouTuber在他/她的日常生活中分享了一天的一天，因为它不考虑和虚构的程度和频率，可能会发生在她的视频中，而没有向观众承认它。

如果我不对某些滑稽动作不相信自己的头，我会更喜欢摄影。"
46368,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qv4fspWIOI,0,4 years ago (edited),"萩邪 she's the one representing herself as someone living primitively in a rural area using primitive tools. if she wants to demonstrate to the world how one can live, cook, almost primitively while having their own tv crew and production budget which includes an interior/exterior renovation so that it's visually pleasing to a youtube audience, great, that's her prerogative and i hope she gets paid well to act the part in her flowing dresses and model poses. but, she or her production company should explain that in her channel so her audience are not questioning the reality of the “show” as entertaining and contrived and staged as it may look. okay? seriously, are we really expected to believe that she dragged half a dozen 60' long bamboo poles down a mountain, across a large field, and back up the mountain to her farmhouse? and, is that old lady even her grandmother?",她是代表自己是使用原始工具在农村地区原始生活的人。如果她想向世界展示一个人如何生活，做饭，几乎是原始的，同时拥有自己的电视工作人员和制作预算，其中包括室内/外部装修，以便对YouTube观众视觉上令人愉悦，这是她的特权，这就是她的特权和我希望她能获得良好的薪水来扮演自己的飘逸连衣裙和模特姿势。但是，她或她的制作公司应该解释说，在她的频道中，她的观众并没有质疑“表演”的现实，因为它看起来很有趣，人为地和上演。好的？认真地说，我们真的希望她相信她将六根60'长的竹竿拖到山上，越过大田，然后将山上拖回她的农舍吗？而且，那个老太太甚至是祖母吗？
46341,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rU7p6f5b1m,0,4 years ago,"@lilysing766 don't talk about slavery, if the communist party really makes us try it, you can try it. who would have money to rebel? crazy? the blood nature of the chinese only awakened when it was forced to, but this is not a slavery. is the rebellion the last choice to understand? do you want to see china like france now? cangtian has the dead yellow scarf? is that farmers understand when they can't eat meals?",@lilysing766 别乱说什么奴性，，要是共产党真让我们吃不上饭你试试，中国人有钱谁去造反？疯了把？中国人的血性是在迫不得已的时候才会觉醒的，但这可不是什么奴性，造反是最后的选择懂吗？难道你希望看到中国像现在的法国一样？苍天已死黄巾当立？那是农民吃不上饭的时候懂吗？
46313,Ugxvykg8c_5QVlAcKgp4AaABAg,0,4 years ago,that is a super cool popcorn maker! i want to experience that.,那是一个超酷的爆米花制造商！我想体验一下。
46301,Ugx0LgpE08KLi2MG1g14AaABAg,0,4 years ago,i want to taste those dream foods.,我想品尝那些梦想的食物。
46227,UgwN4YqomtqDXN8u7sx4AaABAg,0,4 years ago,i want to eat,好想吃
46881,Ugw6zGeLEuyMBx8pMyp4AaABAg,0,4 years ago,"i don’t want to live a bacon and sausage this year. this year, i don’t want to live this year.",难受
46898,UgxOUW7fOujuzcTdQ-94AaABAg,0,4 years ago,where is that neighborhood? i want to go to play.,那个社区在哪里？我想去玩。
46917,UgzqdssPDPn0PjGBtjt4AaABAg,0,4 years ago,i want to eat! intersection intersection,好想吃！！！
47297,UgzzfzBo6TexAYQQfa14AaABAg,0,4 years ago,i want you to feed the dogs and not hit them .,我要你喂狗而不要打狗。
47919,UgzJpuu-XSJ1xIWX3mF4AaABAg.8qnjW_gYpv18qnrqEQ5kVY,0,4 years ago,"gaby alhaddad, why is it wrong ??? i already know that i have something to do here, i want to introduce it to your business. in fact, i am often being reviled by indonesian people myself, people outside kdg responded well like i would listen to him. mlah you comment like people who have never been going to school. this is indonesian people who harm our own country our country is beautiful but people who are less educated so for example tourists who come to give up like there is an outside primitive.",Gaby Alhaddad，为什么错误？？？我已经知道我在这里有事要做，我想将其介绍给您的业务。实际上，我本人经常被印尼人谴责，KDG以外的人的反应很好，就像我会听他的那样。麦克拉，您像从未上学的人一样发表评论。这是伤害我们自己国家的印尼人，我们的国家很美，但受过较少教育的人，例如，像邀请外面的人一样放弃的游客来给印度尼西亚ehh害怕因其许多人类错误而被踢出去。
47879,Ugww7a2Y7Ec7_Dn1mPl4AaABAg,0,4 years ago,i want to live like this,我想这样生活
47823,UgzQel7aqYipPUnqt1J4AaABAg,0,4 years ago,i want to go to your home vacation 度,想去你家度假
47820,UgzXdqHJLYtQEpEbdyx4AaABAg,0,4 years ago,"when i began seeing li ziqi latest video, it read 1,183,628 views and i saw it 2x and 20 minutes later it read 1,185,748 views, that says something about how we who have subscribe to her channel want to see her latest video so much, oh! and in less than 22 hours she has 1,185,748 views, that is amazing. \( >_<)/ happy chinese new year!!","当我开始观看Li Ziqi的最新视频时，它读了1,183,628次观看次数，我看到了2倍，20分钟后，它阅读了1,185,748次观看次数，这说明了我们如何订阅她的频道的我们如何看她的最新视频，哦！在不到22个小时的时间里，她有1,185,748次观看次数，这真是太神奇了。 \（> _ <）/农历新年快乐！"
47792,UgypdRUxL-M_om4_B5N4AaABAg,0,4 years ago,who has obsessive -compulsive disorder as me and wants to stream up ziyi's hair,谁跟我一样有强迫症的，想把子柒的头发理理顺
47647,Ugx60tKhVMFfbv0GPWl4AaABAg,0,4 years ago,"there were a lot of expressions of an unusual angle and it was very good.
in a peaceful atmosphere, i think that the places that make sweets and treats and have fun are well expressed.
the figure that is surprised by the explosion is also very cute 
isn't your grandmother hot?
if you sell it to japan, i want to buy it.
i'm looking forward to it again!","有很多异常角度的表达方式，非常好。
在宁静的氛围中，我认为制作糖果和零食并获得乐趣的地方得到了很好的表达。
爆炸感到惊讶的人物也很可爱
你的祖母不是很热吗？
如果您将其出售给日本，我想购买。
我再次期待它！"
47641,UgwvNyxRt9vxCy8eGE94AaABAg,0,4 years ago,i desperately want gordon ramsey to try her food,我迫切希望戈登·拉姆齐（Gordon Ramsey）尝试她的食物
47523,Ugz1Wvg_WSeO6SVPPQR4AaABAg,0,4 years ago,"i watch your videos as your pets watch you.... xd
i want some bites of delicious food.","我在宠物看着你时看你的视频.... xD
我想要一些美味的食物。"
47501,UgxFrVIHh8PcRnz7N6h4AaABAg,0,4 years ago,"i want to live a pure life like z too, no bon chen, no need to pay attention to me, like z too hah",我也想像Z一样过着纯洁的生活，没有邦陈，不需要注意我，就像Z也一样
47430,UgwTb-kwRW1vFvMQ-MF4AaABAg,0,4 years ago,i want to move with her and help her in everything,我想和她一起搬家并帮助她
47360,Ugxx_Y_LUgGNN4j3ij54AaABAg,0,4 years ago,"so many delicious snacks! wow, i really want to eat it, it's drooling! bleak",这么多的好吃的小吃！哇，好想吃，都流口水了！
47292,UgzLd37Socv4eLHbokp4AaABAg,0,4 years ago,happy new year's <3 one day i want to be as awesome as she is <3,新年快乐<3我想像她<3一样很棒
46924,UgxIpRjdiKoPmbu0_x94AaABAg,0,4 years ago,i want to pop popcorn???????????? wtf,我想弹出爆米花???????????????? WTF
47276,UgyCArnsB1gDiBsF_tV4AaABAg,0,4 years ago,i want to have life like this......i must be happy....,我想拥有这样的生活……我一定很开心。
47242,UgyHRRmjDQtbEvXUMF54AaABAg,0,4 years ago,it's really a beautiful woman. i want such a bride.,这真的是一个美丽的女人。我想要这样的新娘。
47186,UgyZ1eTjdS7iMhN3s2h4AaABAg.8qpgYRhUNW18qrtrL0kOCs,0,4 years ago,"yes she indeed try to shoot the video beautifully. but there's nothing wrong with that. by the way, she really cooked all those but skipped some details which she think unnecessary. she wants to keep the video short and tight thus to lift the quality",是的，她确实试图精美拍摄视频。但这没什么错。顺便说一句，她确实煮了所有这些，但跳过了一些她认为不必要的细节。她想保持视频短而紧密，从而提高质量
47117,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qsARV8N9UX,0,4 years ago,"426firefly bilibili is one of the top video sharing sites in china. you saying that is kinda proving my point. plus, what does it matter? i'm not saying almazankitchen is super popular necessarily. it's already been shown that she started posting videos on weibo in 2016, while they started in 2015. it may also be that she and almazankitchen got their style from some other channel or she got her style from someone copying almazankitchen. it doesn't matter. i'm just saying that it looks really similar, so i wanted to ask her if she was inspired by almazankitchen. not as an insult, but simply as a way of sharing in the joy over the style. now, i'm sorry that you feel i offended the dignity of your goddess.",426firefly bilibili是中国顶级视频共享网站之一。你说这有点证明了我的观点。另外，这有什么关系？我并不是说Almazankitchen一定是超级受欢迎的。已经显示出她于2016年开始在微博上发布视频，而他们于2015年开始。这也可能是她和Almazankitchen从其他一些频道中获得了他们的风格，或者她从复制Almazankitchen的人那里获得了风格。没关系。我只是说它看起来真的很相似，所以我想问她是否受到Almazankitchen的启发。不是作为侮辱，而只是作为分享风格的喜悦的一种方式。现在，很抱歉您感到我冒犯了您女神的尊严。
47109,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qrKCshBJZC,0,4 years ago (edited),"@christiannugraha1011 is that actually so? then would you care to send me her official channel?
also, why does it matter if youtube is big or not? she may know of almazankitchen or may not. she may have been inspired by another person inspired by almazankitchen. there may be an even older channel everyone was inspired by. why does it matter? i was simply saying that this looks really similar to almazankitchen, so i was just curious if she was inspired by them. not being aggressive. not calling her names. just asking a question out of curiousity, because i like the style. see, i told my girlfriend, who wanted me to ask, that if i ask here, a bunch of non-east-asian people would get butthurt and completely not understand anything i said. 他妈的老外","@ChristianNugraha1011实际上是这样吗？那你想给我她的官方频道吗？
另外，为什么YouTube是否很大？她可能知道Almazankitchen或可能不知道。她可能受到了另一个受Almazankitchen启发的人的启发。每个人都可能受到一个较旧的频道。为什么这有关系？我只是说这看起来与Almazankitchen确实相似，所以我很好奇她是否受到他们的启发。没有积极进取。不叫她名字。只是出于好奇而问一个问题，因为我喜欢这种风格。看，我告诉我的女友，谁希望我问，如果我在这里问，一群非东亚人会得到Butthurt，完全听不懂我说的话。他妈妈老"
47058,UgzUPePkPLhNd97UzH94AaABAg,0,4 years ago,hey want to go home for the new year,哎 想回家过年
47047,UgzH4vsI4xtkWh5TqtZ4AaABAg,0,4 years ago,happy chinese new year new year's happy compatriots are really recalls of snack childhood that i want to eat during the new year.,happy chinese new year 新年快乐 各位同胞 真的都是过年时超级想吃的零食 童年回忆啊
47026,UgwT4xTRtaAYRYDl18h4AaABAg,0,4 years ago,my mom wants me to marry such a woman,我妈妈要我嫁给这样的女人
46994,UgzuHeBNk11jaDRskmB4AaABAg,0,4 years ago,i want to eat your food every day,我想每天吃你的食物
46958,UgwhpBlXXhTlaba_zjJ4AaABAg,0,4 years ago,you are so good so fast how much of you works you do i want to see you and please send more videos ill so much,你这么好快，你有多少工作，我想见你，请给更多视频发送更多的视频
