,cid,votes,time,含culture,含culture中文翻译
11714,UgzJBX10zNucM5CpBYJ4AaABAg,1,3 years ago,"i heard that she was very red. i came in and took a look. i was still dealing with bamboo shoots in the spring in the last second, and the next second went to pick the long beans in the summer, looked at a few, picked the peaches in the south on the left, turned my head to pick the northern part of the north. apple, she should be filming all over the country and then editing. what she has daily life with her mother -in -law, don’t bully me without culture",听人说她很红，进来看看，上一秒还在春天处理竹笋，下一秒就去了夏天摘长豆角，看了几条，左边摘着南方的桃子，转头又去摘北方的苹果，她应该是全国各地去拍片然后剪辑，什么她跟婆婆的日常生活，不要欺负我没文化
11669,Ugz4v3NDvFwbqZAlNrd4AaABAg.97MWmJxtxx_97QIEMCP6w9,0,3 years ago,"it seems to me that this is a feature film, the ideal world, so to speak, is ""man and woman"", ""big family"", ""mom and child"", etc., and this is ""grandmother and granddaughter"", but it is beautifully shown here "" culture "", china, an ideal culture. who would not say, all the same, they have a great one. in the first place, food. close, they use a huge number of herbs, plants that surround them.
unfortunately, the war, revolutions, destroyed a lot, memory. then i remember from childhood, as my grandmother said, my grandmother’s neighbors, that many herbs that surrounded them used to eat, used food and praised, but i don’t remember exactly. ..
but the film is very beautiful!","在我看来，这是一部故事片，是理想的世界，可以这么说，是“男人和女人”，“大家庭”，“妈妈和孩子”等，这是“祖母和孙女”，但是它在这里很好地展示了“文化”，中国，一种理想的文化。谁不会说，他们都有一个很棒的文化。首先，食物。近距离。他们。
不幸的是，战争，革命，摧毁了很多，记忆。 .. ..
但是这部电影很漂亮！"
25560,UgwiqYQ94HEgGCtrFbp4AaABAg,0,3 years ago,"who ever wants to have such hardship the only aim is to earn more and more money so that life will be in great comfort.....
is the chinese culture is like that you are showing or something different?","曾经想拥有如此艰辛的人唯一的目标是赚取越来越多的钱，以使生活充满舒适.....
中国文化就像您正在展示的一样吗？"
29116,Ugxqnvaz49m7k_hSN9d4AaABAg,0,3 years ago,"yearning for antiquity is because of the complement of nature and the busyness of life for life to make people feel satisfied.
in the city, watching the culture of fast food, and after over and over, there are only empty emptiness.
in the forest, the grass fragrance earthencaries have a kind of unspeakable comfort.","向往古色，就是因为那种与自然相辅相成，为生活而忙碌的充实让人感觉满足。
城市里，看快餐文化度日，一遍又一遍过后，只余下呆坐的空虚。
山林里，嗅着草香土芳，却有种说不出的惬意。"
24716,UgwXWkuP13mluhoceTd4AaABAg,0,3 years ago,"i am vietnamese. i really admire chinese people and culture. especially you, a very beautiful girl, very good at multi -talented. i really admire you. wishing you a lot of health is always beautiful and loved by many people. unfortunately, the chinese government always invaded vietnam to we haizzzz ... !! vietnam",我是越南人。我真的很欣赏中国人民和文化。尤其是你，一个非常漂亮的女孩，非常擅长多才能。我真的很佩服你。祝您很多健康总是美丽和受到许多人的喜爱。不幸的是，中国政府总是将越南侵入我们哈伊兹兹...！越南
29038,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yf0AXGMkPq,0,3 years ago,"@user-dw6rn9zh6c pay attention, there are always a lot of both may 2018 and there are still 3 videos there, and for the last month there are. one that the np is growing)? or she loves the pappis so that she constantly selects them, and how she grows up in forest))!? just their culture is like this. t.b.do, see on liz: it also squeezes calories, carbohydrates, vitamins and fats for all that is around and gives nature: vegetable and animal, it is simply apparently popular in european countries, in the usa, with us, and not just in asia. and apparently she realizes that it will be living for us, and this is so: it is full of varieties! but the puppy, for them, like borsuk- superproof, even capable of treating tuberculosis with its fat. turn to me: such a ""practical"" korean, japanese woman, legged, chinese)) whoever she is, will not miss this product !! (therefore, the little puppies are always disturbed in the video. i can’t judge: such as a culture, for muslims shock and fu, that we eat pigs, i just think not to show, not to tell about it. if she prepares and uses everything that is in her household! and this is not honest according to her relations towards us. haith, i would have respected her more for honesty. i didn’t hide it particularly. imea is a little knowledge about their culture, seeing her video and a little in my head. it’s hard to understand. calm. by the way) by the way) by the way) i have today d.r. !!) and they gave me a puppy !! dobermanchik)",@user-dw6rn9zh6c注意，2018年5月总是有很多两者，那里仍然有3个视频，在上个月。他们，以及她在森林中长大的方式）！！！！！！！！！！！！！！！！！！它显然在欧洲国家，在美国，与我们一起在亚洲而受欢迎。显然，她意识到它将为我们生活，这就是如此：它充满了品种！但是小狗，因为那只小狗，因为他们像Borsuk-Supphrove，甚至能够用脂肪治疗结核病。转向我：这样的“实用”韩国，日本女性，腿，中文））无论她是谁，都不会错过此产品！小幼犬总是在视频中被打扰。我无法判断：例如一种文化，对于穆斯林震惊和fu，我们吃猪，我只是认为不要表现出来，不要说出它。如果她准备并使用一切那是在她的家中！根据她与我们的关系，这是不诚实的。海斯，我会以诚实的态度更尊重她。我并没有特别掩饰。我的脑海里有点。很难理解。顺便说一句），顺便说一句），我今天拥有的），他们给了我一只小狗！dobermanchik） 。
28878,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9ANTVxRsU_o,0,2 years ago,@fafa-rd4wx i like chinese culture but i don't know if they live like that,@fafa-rd4wx我喜欢中国文化，但我不知道他们是否这样生活
24781,UgxcnBBth62vg028lN54AaABAg,0,3 years ago,"without an exaggerated expression of internet celebrities, it presents the true feelings of chinese food culture. the old grandmother's calm smile is the true love of li ziyi filial piety! i like snail powder, more pink plums!",没有网红夸张的表情，呈现的是中华美食文化返璞归真的感情。老奶奶从容的笑意，是李子柒孝心大爱的真情流露！喜欢螺蛳粉，更粉李子柒！
25074,Ugyzh27Kf8rzN_xkXh94AaABAg,0,3 years ago,in my culture and this china culture same thing,在我的文化和这种中国文化相同的事物中
9702,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AOsZIPZ8nK,0,2 years ago,@fafa-rd4wx i will like this if she say she post everything for fun or for culture. any reason or reasonable for money. better than fooling me.,@fafa-rd4wx，如果她说她为娱乐或文化发布所有内容，我会喜欢的。任何理由或合理的钱。比欺骗我更好。
9774,Ugz2piTUHZkpUF6r_yd4AaABAg,0,3 years ago,"i admire chinese culture, if you know useful, i always see knives and utensils that can last 200 years. and the kitchen an entire art. i would like to be able to live like this more ecological and teach that to my children.",我欣赏中国文化，如果您知道有用，我总是会看到可以持续200年的刀具和餐具。和厨房的整个艺术品。我希望能够像这样的生态生活，并向我的孩子们讲授这一点。
28499,UgwOMx-oii66dWJNupx4AaABAg,0,3 years ago,let more people around the world understand chinese culture!,让全世界更多人了解到中国文化 加油！
28424,Ugy9FZTNho70WiwstmJ4AaABAg,0,3 years ago,love her sm... but i’m american... (even though i’m also half chinese)... and i like visibly flinched when she salted those poor snail. is this a culture thing lol?,爱她的SM ...但是我是美国人...（即使我也是一半中文）...而且当她腌制那些可怜的蜗牛时，我很喜欢很畏缩。这是文化的东西吗？
10196,UgwfsLy8gqdCLfKuUlN4AaABAg,0,3 years ago,where is this in china... i love the richness of their culture...,这在中国在哪里...我喜欢他们文化的丰富性...
7806,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CRJuhV-4mD,0,2 years ago,@aravindnxmusic thai culture and indic cultures do have cultural similarities.,@aravindnxmusic泰语文化和表明文化确实具有文化相似之处。
11043,Ugz2_ToxenfhrlmdFSZ4AaABAg,0,3 years ago,healhty culture,治疗文化
3938,Ugw_VFCnEAP9oUL_quV4AaABAg,0,2 years ago,she fucking steals korean culture per ccp request,她他妈的根据CCP要求偷走韩国文化
7805,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CRJu3YGiCe,0,2 years ago,@aravindnxmusic thai culture and indic cultures do have cultural similarities.,@aravindnxmusic泰语文化和表明文化确实具有文化相似之处。
27483,UgzIITh8Yk5MKvJa4LJ4AaABAg,0,3 years ago,traditional chinese culture,中国传统文化
27273,UgzxKOFW0Se8XZv9-XV4AaABAg,0,3 years ago (edited),"oh my gosh, i'm india we have the same food culture maybe we are brother and sister a very long time ago. but now we had landed here far from china.",哦，天哪，我是印度，我们有相同的饮食文化，也许我们很久以前是兄弟姐妹。但是现在我们已经降落在远离中国的地方。
3621,Ugz_mi4o17IUs7assnB4AaABAg,0,2 years ago,how divine is your culture!,你的文化有多神！
7804,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CPmpMKdC_Q,0,2 years ago,manipuri meitei hindu culture is similar to thai culture in many ways,Manipuri Meitei印度文化在许多方面都与泰国文化相似
27055,UgzHBuFon3Yg8BYAKd94AaABAg,0,3 years ago,"seeing the last one from the first video, it can spread chinese culture abroad. it is really great. come on liziqi",从第一个视频看到最后一个，能把中国文化传播到国外，真的很棒
26986,UgyXlCzsgpu8UUah-hd4AaABAg,0,3 years ago,"in north east india, there are several famous dishes made with bamboo shoot especially pork dishes and pickled dishes. in assamese we call it ""gaaj"". common asian culture",在印度东北部，有几种著名的菜肴，尤其是猪肉菜和腌制的菜肴。在阿萨姆语中，我们称其为“ gaaj”。共同的亚洲文化
3953,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LchS8W2iMo,0,2 years ago,wth which part of these is korean culture again? her grandma is korean?,WTH又是韩国文化中的哪一部分？她的祖母是韩国人吗？
11525,Ugz6XV0Gi1qfDWIpCFV4AaABAg,0,3 years ago,captivating! dislikes of such a video and of complimenting comments about it expose the literal ills among us. such adversity toward the beauty of culture reveals a sickness left undiagnosed. seriously.,迷人！不喜欢这样的视频，并赞美有关它的评论，使我们之间的字面弊端暴露了。对文化美的这种逆境揭示了遗憾的疾病。严重地。
26609,Ugx4P_DEcvEU_RMfCAd4AaABAg,0,3 years ago,you are phenomenal liziqi...a true artist. thank you for taking the time and inviting us into your life & sharing all the recipes that are so imporatant to your culture. ♥️,你是一个了不起的liziqi ...真正的艺术家。感谢您抽出宝贵的时间并邀请我们进入您的生活，并分享所有对您文化如此重要的食谱。 ♥谢
26521,UgymyEvYpLbA7_zw6qR4AaABAg,0,3 years ago,thank you li ziyi for promoting the chinese culture,感谢李子柒把中华文化发扬光大
3954,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LljwP6Y7MR,0,2 years ago,"korea have culture？don't make me laugh,you're chinese dependency still 1912,look at lishuncheng's diary，they are all written by chinese character，lmao",韩国有文化？不要让我笑，你是中国的依赖，仍然1912年，看着莉雪奇的日记，它们都是由中国人物写的，lmao
26085,UgzRfV_d8bhEyrkx0Jl4AaABAg,0,3 years ago,"i always watch with great pleasure your channel! you live in a very beautiful place, just a paradise! the nature is amazing. very colorful videos, i see a lot from your culture for the first time. the girl is just cinderella, a craftswoman on all hands! it is clear that a whole team is working on the channel that makes such a successful project. all videos look in one breath. thank you for getting to know your cuisine, nature, culture! successful to you and long life to the channel!",我总是很高兴您的频道！您住在一个非常美丽的地方，只是一个天堂！大自然很棒。非常丰富多彩的视频，我第一次从您的文化中看到了很多。这个女孩只是灰姑娘，一位手上的工匠！显然，整个团队都在研究这一成功项目的渠道。所有视频一口气看。感谢您了解您的美食，自然，文化！对您来说成功，频道长寿！
25705,Ugwg2lNfAJyTx3PQomR4AaABAg,0,3 years ago,"sometimes i wonder! why do i love this culture so much? all from its landscapes, its culture, its history, its gastronomy, everything ..
vaces i think in another life, i was born in that place!","有时候我在想！为什么我如此热爱这种文化？全部来自其景观，文化，历史，美食，一切。
我认为在另一种生活中，我出生在那个地方！"
9259,Ugxy85K5Mi8BE4sS24l4AaABAg,0,2 years ago,"support ziyi, spread chinese culture, the most popular blogger overseas.",支持子柒，传播中国文化，海外最火博主。
16457,Ugz6hMTwuMs3GdoLert4AaABAg,0,3 years ago,"fuck, it's all over the world. the pioneer of chinese culture, the powerful li ziyi.",卧槽，红遍全球了啊。中国文化输出的先锋，牛逼的李子柒。
9170,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9B4swDwEktx,0,2 years ago,"birthday eight characters, referred to as eight characters, long -term culture, can be speculated by the fate of the fate through the eight characters, the family fortune, emotional and blessing. the marriage is the word eight characters. putting the eight characters of both men and women, to see if they are in harmony, or they are overwhelmed by each other as a reference for whether they can get married. i want to know that the five elements in the eight characters are missing emotional career and the fortunes are unattractive with the other half of the eight characters. i recommend a senior eight -character numerology.",生辰八字，简称八字，文化久远，可通过八字推测人命运的事业财运感情祸福等。合婚，即是合八字，把男女双方的八字放到一起来看，看是否相生相合，或相冲相克，以此来作为能否结婚的参考。想知道自己八字中的五行缺失感情事业运势自己与另一半八字合不合等，我推荐一位资深八字命理道长，他薇信：20882988
32151,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8zgxAaw5hef,0,3 years ago,"@madeinchina1450 

india is very diverse country
ne india share 98% border with china, myanmar, bhutan, bangladesh and nepal and only 2% with india

even the ethinicity and culture is very diverse from other mainland indian but with many commonalities east asian nation, food habits of ne india is also very diverse they have pork, beef, duck snail, silkworm, blood sausage etc and lot of fermented food","@Madeinchina1450

印度是非常多样化的国家
NE India与中国，缅甸，不丹，孟加拉国和尼泊尔有98％的边界，印度只有2％

即使是元素和文化也与其他印度大陆相距甚远，但由于东亚国家的许多共同点，印度东北部的饮食习惯也非常多样化，它们有猪肉，牛肉，鸭蜗牛，蚕，血液香肠等，以及大量发酵食品"
32331,UgxkbKrdL0gqibLXe2R4AaABAg,0,3 years ago (edited),"good morning, beach from south carolina. i like your work and creativity very much. thank you for letting me integrate your culture. bless you and your family. i can ask what type of edible oil you use?",早上好，从南卡罗来纳州的海滩。我非常喜欢你的工作和创造力。谢谢你让我融入你的文化。祝福你和你的家人。我可以问你用什么类型的食用油？
32391,Ugyu_7CW5BRQSCfFkc54AaABAg,0,3 years ago,i hope kids these days keep their culture alive like liziqi,我希望这些天的孩子像利兹基一样能使他们的文化活着
9031,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVms8RgbE,0,2 years ago,"ira k 
good points thank you. honestly i havenโ€t been to india or russia and my observations were totally based on my personal impressions. what i really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional chinese lifestyle. and i understand there are such differences and similarities between every two cultures. thank you for pointing out.","艾拉·K
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
32623,UgxUYr2RAj4ikC1wUWN4AaABAg,0,3 years ago,i really like your culture and cuisine!,我真的很喜欢您的文化和美食！
573,Ugx0TZ1gGDN0SPJkl414AaABAg,0,8 months ago,"beautiful without words i am from colombia and i barely met this, i want to make the table of another video that i saw hehehe a lot of these cultures, i see series of these cultures etc.",我来自哥伦比亚的美丽，我几乎没有遇到这个，我想制作另一个视频的桌子，我看过很多这些文化，我看到了一系列这些文化等。
8428,Ugy9YUhj5FAfWG7B3Yl4AaABAg.9BRX-p_fxNC9BWi7C99JlZ,0,2 years ago,cyrah b culture or not thatโ€s one they need to change. i would hate to be eating with them and they started slurping i would feel uncomfortable. iโ€m sorry but it sounds terrible. i know there are asian people who eat with other countries kings & queens and i am sure they donโ€t slurp while eating. iโ€m sorry but this is just wrong!,Cyrah B文化是否不是他们需要改变的文化。我不想和他们一起吃饭，他们开始吐口水，我会感到不舒服。对不起，这听起来很糟糕。我知道有些亚洲人与其他国家 /皇后区一起吃饭，我敢肯定他们在进食时不会少。对不起，这完全是错误的！
413,UgxTvp3kkzeR_gfgof54AaABAg,0,5 months ago,"happiness through this beautiful and pleasant video, it makes me learn something about your beautiful culture of life in the countryside.",通过这个美丽而愉快的视频幸福，这使我学到了一些有关您在乡村生活的美丽文化的知识。
33004,UgzAyR_anFS_axYPmQV4AaABAg,0,3 years ago,a li ziyi's external output of chinese culture and the shape of the positive image of the chinese people are better than a set of large foreign propaganda,一个李子柒 对中国文化的对外输出 和 国人正面形象的塑造，胜过一整套大外宣
8429,Ugy9YUhj5FAfWG7B3Yl4AaABAg.9BRX-p_fxNC9BWkXRyUBlc,0,2 years ago,"@shannonclark8091 you really need to learn more to be respectful towards others. ever heard of racism? you should get acquainted with that word. learn to respect other race's culture. that attitude of yours might bring you down and bring you conflict when you're in a setting with people with different races and culture. you can't force them to change their culture. it's them, it's who they are. same like they can't force you to change yours. would you not be offended if someone told you that what you are doing is disgusting and that they hate it? we should learn to co-exist and respect our differences. if you don't like it just distance yourself with them but don't say such bad things to them and make mean comments like ""it's a bad thing, you shouldn't do this or that coz it doesn't fit my own beliefs, or values"". learn to adjust and emphatize.",@shannonclark8091您确实需要学习更多以尊重他人。听说过种族主义吗？您应该熟悉这个词。学会尊重他人的文化。当您与具有不同种族和文化的人的环境中时，您的这种态度可能会使您失望并带来冲突。您不能强迫他们改变他们的文化。是他们，就是他们。就像他们不能强迫您改变自己的一样。如果有人告诉您您正在做的事情令人恶心而他们讨厌它，您会不会被冒犯吗？我们应该学会共存并尊重我们的差异。如果您不喜欢它，只是与他们距离距离，但不要对他们说这么糟糕的话，并做出卑鄙的评论，例如“这是一件坏事，您不应该这样做或不符合我自己的信念，或值”。学习调整和强调。
250,Ugyb9S6NWSA4gtYgPkB4AaABAg,0,2 months ago,"i don’t know how to promote my videos to those who want to learn chinese. 
i’ve spent about 100,000 hours studying english humor and western culture. my native language is chinese. i teach chinese language in jokes and pictures.","我不知道如何将视频推广给想要学习中文的人。
我花了大约100,000个小时学习英语幽默和西方文化。我的母语是中文。我用笑话和图片教中文。"
8724,Ugy0_PtqA_6L4NWT9Y54AaABAg,0,2 years ago,their culture and environment is very much similar to us...,他们的文化和环境与我们非常相似。
34498,UgwUYjijIU0AyriA8Pd4AaABAg,0,3 years ago,"she is the asia best village culture and organic food youtuber no one is like her, she show reality of hard work daily routine of village life no edit. she is soooooo real. luv u from india",她是亚洲最好的乡村文化和有机食品YouTuber没人像她一样，她展示了辛勤工作的乡村生活日常工作的现实，没有编辑。她是真实的。来自印度的爱情
34511,Ugx2PnLSiImq4N83K-94AaABAg,0,3 years ago,why is this girl channel so similar to north east india culture...but just better???love you liziqi,为什么这个女孩频道与印度东北部的文化如此相似...但是更好？
34514,Ugx2PnLSiImq4N83K-94AaABAg.8yUTnw0XceX8yUU9gcI08U,0,3 years ago,can you give a link where is the website of north east india culture ?,您能提供一个链接，印度东北印度文化的网站在哪里？
34691,UgzwdHZGFWIEIncM7Kp4AaABAg,0,3 years ago,next indian food and culture!!!,下一个印度食品和文化！！！
32223,UgwxnbxxOOO1rdZp83J4AaABAg,0,3 years ago,"always excellent is just 6 and i am already hungry that envies you live in a beautiful place of culture rich of respect for the elderly, animals, nature to life greetings from el salvador blessings to you and your whole family",总是很棒的只有6岁了，我已经饿了，让您生活在美丽的文化场所，对老年人，动物，自然对生活的问候，来自萨尔瓦多祝福给您和您的整个家庭
992,UgzPn5eM6iNCEFISLdF4AaABAg,0,1 year ago,chinese culture is profound,中国文化博大精深
24006,Ugw_xhcSM5xW7LlTRpR4AaABAg,0,3 years ago,"cooking is tradition culture in china,when poor age since no more food it's just for full, but when the property age, fancy food become life style...so long old history of china without interrupted, vast land, great people make food cooking to be elegant culture..amazing",烹饪是中国的传统文化，当时不再食物的年龄较差，这只是为了充满食物，但是当财产年龄，精美的食物变成生活时尚时……中国的历史悠久，没有中断，广阔的土地，伟大的人使食物烹饪成为优雅的文化。
31864,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl629-ArjGfFd6M,0,3 years ago,"welcome to china to experience our wonderful culture, delicious food and friendly people!",欢迎来到中国体验我们美妙的文化，美味的食物和友好的人！
3212,UgxJMbecVFNZhE4YI1V4AaABAg,0,1 year ago,this idiot made some kimchi and said kmichi is chinese food lol. korean ancestors made kimchi for a thousand years. this idiot doesnt have a brain and trying to steal another country’s culture,这个白痴做了一些泡菜，说kmichi是中国菜。韩国祖先制作了泡菜一千年。这个白痴没有大脑，试图窃取另一个国家的文化
29912,UgzvBhojnRx-2saAArZ4AaABAg,0,3 years ago,its called usoi in our manipuri culture and we love it,它在我们的Manipuri文化中被称为Usoi，我们喜欢它
29965,Ugxr73GHGapuYcNWf2B4AaABAg,0,3 years ago (edited),"liziquichanel. series


culture afternoons","liziquichanel。系列


文化下午"
2497,Ugxks2GF8OCHFDQCL6t4AaABAg,0,1 year ago,"this modified china culture vlog is not the fact of real chinese life features.
i hope to see reality of
normal chinese country life.","这种经过修改的中国文化视频博客不是真正的中国生活特征的事实。
我希望看到现实
普通的中国国家生活。"
30508,UgzXecaRvUXSCP29t9V4AaABAg,0,3 years ago (edited),similar food our culture i live in tripura,类似的食物，我们住在Tripura的文化
30597,Ugy00QBa79kh26yvu6p4AaABAg,0,3 years ago,"am from nagaland it very similar our culture n dish n i love bamboo shoot, pork n snail",我来自那加兰邦，这非常相似，我们的文化n n n i我爱竹芽，猪肉n蜗牛
30698,UgwqaMwXggT2HbDU8AN4AaABAg,0,3 years ago,so i've been watching some of her videos now and i love them. but i can't help but ask if she is married or not. dont in chinese tradition do they have kids to pass on the culture?,所以我现在一直在看她的一些视频，我爱他们。但是我不禁问她是否结婚。他们不以中国的传统有孩子来传递这种文化吗？
2167,Ugzj2i7ctDyPYEETZfd4AaABAg,0,1 year ago,hope to respect the culture and food of other countries,希望尊重其他国家的文化和食物
