,cid,votes,time,含super,含super中文翻译
6061,UgxolZ8kbtyf733Fkat4AaABAg,0,2 years ago,iam jealous to see your videos....what a creativity....superbbb,我嫉妒看到您的视频....什么是一种创造力.... Superbbb
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
5889,UgyB0asMnGvJzD1elcx4AaABAg,0,2 years ago,superb ๐ค—๐ค—๐ค—๐ค—๐ค—๐๐๐๐๐๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘โฅ๏ธโฅ๏ธโฅ๏ธโฅ๏ธโฅ๏ธ๐คฉ๐คฉ๐๐,出色的
7321,Ugz9Q5F7IWMHWZ1Z0gR4AaABAg.9D-dqTPvTi39D2IhoQygHI,0,2 years ago,"it's bamboo shoots,i think you can find it in asian supermarket, there are some snacks make of it,like ็บขๆฒน็ซน็ฌ",它是竹芽，我认为您可以在亚洲超市中找到它，有一些小吃，例如红油竹笋
7372,UgyzlJ_uu6Fe5_Z7UhR4AaABAg,0,2 years ago,i ate this rice noodles last night. i bought it in the asian super league. it was so delicious.,我昨晚吃了这个米粉。我在亚洲超级联赛中买了它。真好吃。
7689,UgzpHizB7mnTBmHOy8B4AaABAg,0,2 years ago,the superior seeds are taken or not,上级种子是否取
8042,UgwESuP7uQe5hBSyWAF4AaABAg,0,2 years ago,super love snail powder,超爱螺蛳粉
8171,UgzGpaEAHk-mMPdV0Yl4AaABAg,0,2 years ago,super,极好的
8239,UgxyRg0qoor2h6ZN2t14AaABAg,0,2 years ago,super cooking and very healthy everything takes itself in nature would be so good to live like that tray,超级烹饪和非常健康的一切在大自然中都将是如此出色，就像那个托盘一样
8301,Ugzk-ziYXrFL2rHv_EV4AaABAg,0,2 years ago,thank you super nice very beautiful,谢谢你，非常漂亮
8357,Ugw8AyNGPunSYwDrd1d4AaABAg,0,2 years ago,superb,高超
8557,UgxsnzZJqVLGSAyEppJ4AaABAg,0,2 years ago,her garden is her super market,她的花园是她的超级市场
8577,UgxXRtfCLk30VS-WeUh4AaABAg,0,2 years ago,"super cook of nothing and such a rich dinner, only it seems to me that my ears will curl up from pepper.",超级厨师一无所有，这么丰富的晚餐，只是在我看来，我的耳朵会从胡椒粉上curl缩。
8588,UgxvTfJ4PjQdI7r7PSZ4AaABAg,0,2 years ago,i think she is a super girl..,我认为她是一个超级女孩。
8799,UgwMxsYOfEanvG4KQCR4AaABAg,0,2 years ago,"luosifen is a super delicious chinese food, i 100% recommended as a chinese.",Luosifen是一种超级美味的中国菜，我100％推荐作为中国食品。
9027,Ugz04Z3cr7gO2Pd1t894AaABAg.9AXQWdk9Cbi9BdRRLqhKY-,0,2 years ago,"super sour beans, but it's delicious with light food",超级酸豆，但美味的食物很美味
9082,Ugxs36aSWO27HFvWFqN4AaABAg,0,2 years ago,"nature-super, the girl is so hardworking",大自然，这个女孩是如此努力
9126,Ugyc0EVNsLIlPWIWM_l4AaABAg,0,2 years ago,super super,超级
9148,Ugz-_69lWd_ZO2zXnwB4AaABAg,0,2 years ago,"today, i saw li ziqian snail powder in the supermarket and bought a bag.",今天在超市看到李子柒螺蛳粉，买了一袋，简直辣死半条命。
9220,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BrAoq5cslo,0,2 years ago,"yong lu thinks that every word to you is meaningless, mainlanders have never been black taiwan and hong kong. they are all tolerant.


i don't know where your superiority came from,","Yong Lu 觉得和你说每一句话都毫无意义 大陆人从来都不黑台湾和香港，都是包容的心态对待，而你们这些所谓的自由人士对大陆的攻击无所不在 


不知道你们的优越感到底从哪里来的，"
5737,Ugzw1om6yt5PHRiA0uR4AaABAg,0,2 years ago,lizigi you super sin,利兹吉你超级罪
5339,Ugx7-A4eTtpdF0Mfq0x4AaABAg,0,2 years ago,those are super good,那些超级好
9708,UgwJNHGI_FAwqoHUUYd4AaABAg,0,3 years ago,nice & super,不错，超级
1492,Ugx90X1O9Y9whopipxx4AaABAg,0,1 year ago,"if only it was not a super thin television, it was beautiful",如果那不是超级薄的电视，那就很漂亮
2369,Ugz0HmzfIgimKig5vbl4AaABAg,0,1 year ago,super five -meal,超级五毛
2047,UgwTthPmPfp0bgpqMJJ4AaABAg,0,1 year ago,"1
while the word nature in the soul transmits the impression of stability and non -change, man appears in general, and the contemporary person in particular, a historical and variable being, his changes are accelerated in our time. is it possible to say that a person is unique to the rest of the neighborhoods that he has no nature, or that every perception of human nature is a historical perception, which condemns his time more than what is supposed to be our mountain or our fixed formation? and when we look around us, we see that our partners in life, including animals and plants, seem programmers on the same deeds and interactions throughout their lives, unlike us. singer does not have a date, it does the same things every year in a cycle ... normal. senjab has a nature, although we do not know what is going on in the head of the squirrel, and what does the neighborhood mean that the neighborhood is a bond. man has a history in return, and it seems that we have a history because we have no nature.

but it seems that a person has no clear nature. we are distributed over two sexes, and we multiply with reproduction, and the young people are breastfed by mothers milk, and we need us in general and more so that we can walk, we walk on legs like birds but we do not fly like them, and if you did not sleep in an accident or kill each other for each other, we die a ""natural"" death of old age, it is rare for one or one of us to live a century. but we speak after two or three years, alone about other animals in the language. despite the multiplicity of our languages, it is not among us who are without a language, and the speaker of any language can multiply by intermarriage from the speaker of any other language, which means that we are similar biological, that is, we have one ""nature"". this is important against the ""racists"" of human beings. they deny the natural unity of humans, that is, the unity of the human element, but rather decide the large number of human elements and their salary as fixed, or natural data. in fact, the concept of nature that can be based on refuting racist claims can also be reassured to defend them.

moreover, a person is a product of a development of a life on the planet of about four billion years old, which means that the potential distinction of his nature is one of the possibilities of this life, through the process of ""natural election"" in which the best and the most able to inherit its preferences win, and it comes out of the weakest race. with these images, what seems to be out of nature is the same as natural data.

2
it seems that our current formation is fixed for hundreds of thousands of years and more, and that we have passed millions of years ago with stages during which our stature erected and our skulls expanded, and we took a symbol and made tools.

for thousands of years our history seems to be the history of what we do and create, not a natural development history, such as our development in the times of the foot. is this a short separation, which leads us to something after it? after thousands or tens of thousands of years, is it possible that our capabilities are being seen today, based on language and thought, as natural evolutionary features, which led to widespread destruction of the planet, and perhaps to delete the being who possessed these features and restore the planet and life on them? we will have a possibility of nature, destroying himself according to what might be called the natural principle of cunning. this does not seem completely excluded. it may not happen by the action of the nuclear bomb, but rather the genetic bomb, interference in the human genetic record, that is, in the ""nature"" of man in a way that produces different natures or ""elements"", the difference between us is close to us and chimpanzees, for example, and mating and reproduction may refrain from arrival to this threshold. in other words, the true racism in front of us, whether by manufacturing human beings, may not be rebellious or protected, slaves in their nature, as if they are useful pets, which are beneficial to them that they speak and reason; or through the production of superheroes who use us, we are ordinary, as slaves to them, and they see them crowding out for them on the planet and there is nothing wrong with killing hundreds of millions or billions of us, and perhaps in this they are armed with force and capabilities that we do not kiss to confront them.

3
this brings us back to the question about the human nature: what is the nature of the living being who seems able to change its nature? does the concept of nature remain good when it seems that it does not refrain from changing it, who are supposed to change it? to make new natures for themselves or others? when the organism has natures instead of one nature? or when it is possible that it is distinguished for organisms, each of which is its nature? the change of man to the ""mind"" of the language of the language (speaking with others, and the soul, from the world), and as a social evolutionary production. this ability has evolved historically, and just a few centuries ago, it presented itself the possibility of ""sovereignty"" on the nature and ""ownership"". ""sovereign"" progress has been achieved at specific levels, but its price was exorbitant as it was presented: the extinction of many neighborhood partners for us, the heating of the planet, and the threat of life on it, as well as the severe forms of discrimination between the human beings themselves, including extension of the indigenous population in two continents by the european controlles. and among them is an intercontinental commercial slavery, which blacks suffered more than others. this is at a time when perceptions such as man, his rights and humanity were heard more than ever.

is it possible that we are wondering today about the nature of man because we are touching something unnatural in ourselves, threatening the nature from which we descend?

what is this abnormal thing? perhaps a special ability for our brain and nervous system, is evolutionary (expanding the skull and the erection of the list) and socially (through language and a broader groups) on the rationality and obstruction of other beings, and ""arrest"" - they, including some people or many of them or more, are what we call the mind . man is a ""speaking animal"" in the sense of sane. perhaps the social person invented or developed cultures and religions as a matter of ""mind"" himself in particular, and from them in particular his developing nervous system anxious. the social person has produced these beliefs and rules, or ""culture"", in order to be an external mind that controls his inner, extremely internal mind, giving him customs and traditions, repetitive paths that help him have a continent's nature, or compensate him for the loss of his animal. a form of a ""detainee"" of this abnormal, natural object.","1
尽管灵魂中的大自然一词传递了稳定和不变的印象，但人类总体而言，尤其是当代人，一个历史和变量，他的变化在我们时代加速了。是否可以说，一个人是其余社区独有的，他没有天性，或者对人性的每一种看法都是一种历史感，这谴责了他的时间，而不是应该是我们的山上或我们的固定的时间编队？当我们环顾四周时，我们会看到生活中的伴侣，包括动物和植物，看上去像我们一生都在相同的行为和互动上的程序员，与我们不同。歌手没有约会，它每年在周期中做同样的事情……正常。 Senjab具有性质，尽管我们不知道松鼠的负责人正在发生什么，而该社区意味着该社区是一种纽带。人有回报的历史，而且似乎我们有历史，因为我们没有天性。

但是看来一个人没有明确的本性。我们分布在两个性别上，我们会随繁殖而繁殖，年轻人被母亲牛奶母乳喂养，我们通常需要我们，以便我们可以走路，我们可以像鸟一样走路，但我们不会像它们那样飞翔，如果您不在事故中睡觉或彼此杀死，我们将死于老年人的“自然”死亡，我们中的一个或一个世纪很少生活。但是我们在两三年之后讲话，独自一人谈论其他语言的动物。尽管我们的语言有多种多样，但我们中没有任何语言，任何语言的说话者都可以通过任何其他语言的说话者过婚，这意味着我们是相似的生物学，也就是说，我们有一种“自然”。这对人类的“种族主义者”很重要。他们否认人类的自然统一，即人的元素的统一，而是将大量人类因素及其工资确定为固定或自然数据。实际上，也可以放心可以基于反驳种族主义主张的自然概念来捍卫它们。

此外，一个人是大约40亿年历史的地球上生命发展的产物，这意味着他的本性的潜在区别是通过“自然选举”的过程之一最好和最能够继承其偏好的能力，这是最弱的种族。有了这些图像，似乎出于自然的图像与自然数据相同。

2
似乎我们目前的形成固定了数十万年以上，并且我们已经通过了数百万年前的阶段，在此期间，我们的身材竖立了，我们的头骨扩大了，我们采用了符号并制造了工具。

数千年来，我们的历史似乎是我们所做和创造的历史，而不是自然发展历史，例如我们脚时代的发展。这是一个短暂的分离，这使我们陷入了困境吗？经过数千年或数十千年的历史，今天，我们的能力可能是基于语言和思想，作为自然进化特征，这导致了地球的广泛破坏，也许是删除拥有这些特征的存在的人并恢复地球和生命吗？我们将有大自然的可能性，根据所谓的狡猾的自然原则摧毁自己。这似乎并没有完全排除。它可能不是通过核弹的作用而发生的，而是遗传炸弹的干预，即人类遗传记录，即人的“自然”，以产生不同的本质或“元素”，这之间的差异例如，我们与我们接近，黑猩猩，交配和繁殖可能避免到达这个门槛。换句话说，我们面前的真正种族主义，无论是通过制造人类而不是叛逆或受到保护的奴隶，就好像它们是有用的宠物一样，对他们说话和理性有益的宠物；或通过使用我们的超级英雄的生产，我们是普通的，是他们的奴隶，他们看到他们在地球上为他们拥挤，杀死我们数亿或数十亿或数十亿美元，也许在这方面没有错武装的力量和能力我们不会亲吻与他们面对。

3
这使我们回到了关于人本性的问题：似乎能够改变其性质的生物的本质是什么？自然的概念似乎不避免改变它，谁应该改变它？为自己或他人创造新的本性？当有机体具有天性而不是一种性质时？或者，当它有可能以生物为特色时，每种都是它的本质？人的语言（与他人，灵魂，来自世界）的语言的“思想”和社会进化论的变化。这种能力从历史上发展了，就在几个世纪前，它表明了对性质和“所有权”的“主权”的可能性。 “主权”在特定层面取得了进步，但其价格却高昂：许多邻里合作伙伴的灭绝，地球的供暖以及生命的威胁以及严重的形式人类本身之间的歧视，包括欧洲控制局在两个大陆上扩大土著人口。其中是洲际商业奴隶制，黑人比其他人遭受的苦难更大。在这个时候，诸如人类，他的权利和人性之类的观念比以往任何时候都更加听到。

今天，我们有可能想知道人的本性，因为我们在自己触摸了自己的不自然事物，威胁到我们下降的本性？

这是什么异常的事情？对于我们的大脑和神经系统来说，也许是一种特殊的能力，它是进化（扩大头骨和清单的架设）以及在社会上（通过语言和更广泛的群体）在其他生物的理性和妨碍方面（通过语言和更广泛的群体），以及“逮捕”包括某些人或许多人或更多人或更多人是我们所说的思想。从理智的意义上讲，人是一种“说话的动物”。也许社会人士特别是“思想”本人，特别是从他们发明或发展的文化和宗教，尤其是从他们发展的神经系统焦虑中。社会人士制定了这些信念和规则或“文化”，以成为一个外部思想，可以控制他内在的，极其内在的思想，给他习俗和传统，重复的道路，可以帮助他拥有大陆的本性或补偿他因为失去了动物。这种异常自然物体的“拘留者”形式。"
1938,UgzBkKP-2hYsBlp8tW94AaABAg,0,1 year ago,"hi bro super ur video,every day i m waching ur chanel ,i m youtuber (7years old )welcom my. kid pets chanel my from india ok by",嗨，兄弟超级您的视频，每天我都在努力，我是Youtuber（7岁）Welcom。孩子宠物Chanel我来自印度的我好吗
1900,UgxxrRbV3WoTejUoqIR4AaABAg,0,1 year ago,"when i was a child, i lived in the countryside and plucked up the courage to ride pigs. now i can only see pork in supermarkets in town. i miss the carefree days of the past",小时候，我住在乡下，吹起勇气骑猪。现在，我只能在镇上的超市看到猪肉。我想念过去的无忧时代
1774,UgwzDuPXy94Yv8jHNbl4AaABAg,0,1 year ago,super,超级
1730,Ugw7D8LSr-NN8CpEgMJ4AaABAg,0,1 year ago,super recorded nice,超级录制不错
1448,UgxfJ4coUz1zI-UC2SN4AaABAg.9_OaZ4dG4Xr9_ZoepERARz,0,1 year ago,@ superryaraajput8178 sichuan,@ superryaraajput8178四川
5193,Ugyk_94w8jAH9JnARBd4AaABAg,0,2 years ago,"wows super
https://youtu.be/rrqco7j3zic","超级扭动
https://youtu.be/rrqco7j3zic"
1439,UgypYO0jwowIwJ9J2rJ4AaABAg,0,1 year ago,nice super,不错的超级
