,cid,votes,time,含talent,含talent中文翻译
37095,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP9H5QaQEfuy7,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37083,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP92_wdaxyV7Y,0,3 years ago,she's talented girl!,她是才华横溢的女孩！
39078,Ugyptcde1xhY-lkvx6h4AaABAg,0,4 years ago,i love it ... what a talent without saying a single word or explanation to what it does ..... with just seeing what it creates and imagines that is enough .......... i hope you can read my comment ..... if you read it ... i'm single.,我喜欢它...什么才华，没有说一个单词或对它的作用的解释.....只要看到它的创造和想象就足够了……阅读我的评论.....如果您读过...我是单身。
36974,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn9H5QVhwXa_Q,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36904,UgwKhGNeapm3DOtakqd4AaABAg,0,4 years ago,"beautiful lady with all talents,,so you own all this farming land ??",拥有所有才华的美丽女士，所以您拥有所有这些农田？
36844,UgziskxJQaQtXJrLzG14AaABAg,0,4 years ago,such a talented girl,如此才华横溢的女孩
37412,Ugy2pbtHoIH2JTJvsit4AaABAg,0,4 years ago,"renjith kerala,u r very talented charming beauty,hardworking mind,good luck& keep going.....",Renjith Kerala，非常有才华的迷人美女，勤奋的头脑，祝您好运和继续前进.....
36798,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9H5QWSA9MBM,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37464,UgxoA_bsz5LT5T1W0Ft4AaABAg,0,4 years ago,"e. knowing you because i happened to surf facebook to see a clip about your life.! actually, i am very excited of my cooking talent, hihi, !! wish you and her are always happy and successful in life",E.认识你，因为我不小心浏览了Facebook，看到了有关她的生活的剪辑。！我真的很高兴您的烹饪天赋，HIHI，！希望您和她在生活中永远快乐和成功
36016,Ugx_aT_DZAsxU-NBqAN4AaABAg,0,4 years ago,she is verry talented โคโค,她是有才华的❤❤
37525,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN9H5QrtFyn6v,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36387,UgwGnTVo8K0_Qci011t4AaABAg,0,4 years ago,"it is impressive what she does! in addition to bella, it is incredibly talented, i almost get the tears with these videos. incredible",她的工作真是令人印象深刻！除了贝拉（Bella）外，它的才华也非常有才华，我几乎用这些视频哭了。极好的
37626,UgwScm8sMBA-I5wNxdV4AaABAg.8twlsT6QIBn9H5R1s6FaAs,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36371,UgxRkN6tb0hRLZxqPNV4AaABAg,0,4 years ago,very creative and talented...and pretty too,非常有创造力和才华...而且也很漂亮
36338,UgxsO9yb299ChwtqzB94AaABAg,0,4 years ago,"seeing your video today, i find that you are really a talented girl, and you should be from sichuan.",今天看到你视频，发觉你真的是个才女，听你说话应该是四川的。
36313,UgwdblEVDuJ8IY7Hpkl4AaABAg.8uWWAQqRoLM9H5UcSky7YU,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37701,UgwoF_3ooncR6C_cWqJ4AaABAg,0,4 years ago,creative and talented..proud of you!,创造性和才华。
37760,UgzF0WVAyf7I8zUtQfJ4AaABAg.8tpjB69LBjP9H5QzgkD49L,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37877,UgxgggrAuUUDJ_iavPl4AaABAg,0,4 years ago,"the best of god's gift
it's a talent that can do well
the best among human talents
it seems to be the best who knows how to cook.
it was a long time since i felt a precious gift.","上帝最好的礼物
这是一个可以做得很好的才能
人才中最好的
这似乎是知道如何做饭的最好的人。
自从我感觉到宝贵的礼物以来已经很长时间了。"
37005,UgzQNR1hggZ085_sU-94AaABAg,0,4 years ago (edited),"you are very talented but in the end there has been used so much plastic, that it hurt my soul or whatever. i really admire you and your work though!",您非常有才华，但最终使用了太多的塑料，以至于伤害了我的灵魂或其他任何东西。我真的很佩服您和您的工作！
42049,UgxP_8XP96IT_Pf5eZN4AaABAg,0,4 years ago,"a talented beautiful young girl cooking& preparing marvellous things, they look so tasty",一个有才华的美丽的年轻女孩烹饪和准备奇妙的事情，它们看起来很美味。看着这件事时，我感到很放松，我希望我是隔壁的邻居，以便我可以品尝到他们的很多爱。
39359,UgyoAybGdMGS1fXGH5p4AaABAg.8ss4jJHp9am8swF-PZ-KXr,0,4 years ago,@mariannaachmad1340 thanks for the info. she is a talented woman. the landscape is great. fine camera work,@Mariannaachmad1340感谢您提供的信息。她是一个才华横溢的女人。风景很棒。精细的相机工作
47906,Ugy93NHvzwbR3G3u2Qt4AaABAg,0,4 years ago,how cleanly you're doing things... it's really awesome to see you... multitalented girl... god bless you... with love from india...,你在做事多干净...见到你真是太棒了...多元化的女孩...上帝保佑你...来自印度的爱...
49123,Ugw2cB88oD9v4HdRbiN4AaABAg,0,4 years ago,superb talent,出色的人才
49045,UgzvKC47I1znBX8IybV4AaABAg,0,4 years ago,"what a talented, strong, determined girl. i am suspecting that it is marketing these wonderful foods. i saw a video from a boy receiving a box of treats (like the ones she prepared) and there were some photos of li zi qi. does anyone know something about it?",多么有才华，坚强，坚定的女孩。我怀疑它正在销售这些精美的食物。我看了一个男孩收到一盒零食的视频（就像她准备的零食一样），还有一些李齐的照片。有人知道吗？
49006,UgxFxiF3A6WdYtVjqth4AaABAg,0,4 years ago,"happy new year li ziqi & to ur grandmother &happiness ❤❤❤❤❤ ur are 1 in a million unique talented kindhearted young lady 
thank u very much for sharing all your beautiful awesome videos .... iam learning alot from your talent & creative healthy cooking & handicraft & ur grandmother","新年快乐李Ziqi＆tor ur祖母
非常感谢您分享您所有美丽的令人敬畏的视频。...我从您的才华和创意健康烹饪和手工艺品中学习了很多❤"
48948,UgzGFI_CJSDDPuiJ2cJ4AaABAg,0,4 years ago,she is very talented girl really,她是非常有才华的女孩
48603,UgzwEy74mkCuKgIMKJl4AaABAg,0,4 years ago,you are really the most talented and beautiful girl who i have seen i wish you the best of the years i know very happy and healthy and love you,您确实是我见过的最有才华和美丽的女孩
48374,UgxaWe2OgQVJpGosdVF4AaABAg,0,4 years ago,talent! it looks too comfortable,有才！看着太舒服了
48113,UgyGjVCG2Ac1o_DwfqJ4AaABAg,0,4 years ago,she is so talented for making foods,她为制作食物而有才华
48047,UgzQ325YIQIV0Pkic1h4AaABAg,0,4 years ago,i haven't seen a talented person as b. you are great <3,我还没有看到一个才华横溢的人。你很棒<3
47877,UgydpG-QppWLP4uwJwl4AaABAg.8qnnHPzEhhj9H5Qd1P1H11,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
46067,UgzhGk-aa_AH1qModTx4AaABAg,0,4 years ago,she is a bunch of talent,她是一群才华
47688,Ugyw0P_XX0OolBqPx8V4AaABAg,0,4 years ago,i really like to eat that board. i really envy people who develop interests and talents into a career. it will only be more and more vigorous.,好喜欢吃那个板
47559,Ugynu78WxSKpOwTzEOh4AaABAg,0,4 years ago,my idol! a perfect talented girl,我的偶像！一个完美的才华横溢的女孩
47207,UgxTFMmuzxGmrpRsEPF4AaABAg,0,4 years ago,young girl like that is so extremely talented in her traditional skills of these beautiful recipes.. so hard working .. hope her hard work will pay off financially.,这样的年轻女孩在这些美丽的食谱的传统技能中非常有才华。
46999,UgxmS7a5D-2yZg8KtC94AaABAg,0,4 years ago,"what a lovely girl with attitude and so many talent you have, salute.. btw.. happy chinese new year from indonesia",多么可爱的女孩，有着态度和如此多的才华，致敬..顺便说一句。
46630,UgzFmXCyABaURtiYWh14AaABAg,0,4 years ago,"you made all these for celebrate chinesse new year.... pls give me some 
it's make me arrrgghhhhh ""i want to taste some ... especially for the candy nougat (idk exactly, the one which used marshmallow)"" 
you're so talented. i envy to you. 
and i love your videos. good luck. and btw how was u'r grandma age? her age look like as my grandma too.","您为庆祝Chinesse新年而做了所有这些。...请给我一些
这让我让我arrrgghhhhh“我想品尝一些……尤其是对于糖果牛轧糖（确切地说，是使用棉花糖的糖果）”
你是如此有才华。我羡慕你。 
我喜欢你的视频。祝你好运。顺便说一句，你的奶奶年龄如何？她的年龄也像我奶奶一样。"
46609,UgwaNfLt_5OS9oDv8It4AaABAg,0,4 years ago,"in modern society, this one is called a talented woman!",在现代社会中，这位，才称的上是才女!
46394,UgwujM7QdjRr_EzcFQJ4AaABAg,0,4 years ago,"wow ... what a more talented, hardworking, ingenious and how rich all of you look ... it does not lose any fruit !!! everything takes advantage of nature ... i am admired !!!",哇...多么才华横溢，勤奋，巧妙，你们所有人都多么富有……它不会失去任何水果！！！一切都利用自然...我很钦佩！！！
46231,Ugweui2cr8eWT7SrZmR4AaABAg,0,4 years ago,"where is this place? it's so beaultiful ❤️. you have so many talents, please teach us friends from the city! hehe joking, i like your video very much. the videos you took never let me down, come on, cheer, and always support you, sister zi! ❤️",where is this place? it's so beautiful ❤️. 你有那么多才华，请您教教我们这些来自城市的朋友们吧！嘻嘻开玩笑，非常喜欢你的视频。你拍下的视频从来不让我失望，加油加油
49298,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9H5QHy7Ojig,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
49412,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8r_1zDqG9eu,0,4 years ago,@sreckodelibasic i have never said that she didn´t have a talent. but the good edit make it look perfect and nothing in this world is perfect !,@sreckodelibasic我从未说过她没有才华。但是，良好的编辑使它看起来完美，而这个世界上没有什么是完美的！
49470,Ugx7qmBxZ-JmD60d_xB4AaABAg,0,4 years ago,very talented woman,非常有才华的女人
49684,UgyuBqSlT6IATMucX6l4AaABAg,0,4 years ago,oh my gosh i just love her. she so talented,哦，天哪，我只是爱她。她是如此有才华
52183,UgyRkOETRigKLM22oA14AaABAg,0,4 years ago,such an amazing talent she has.,她拥有如此惊人的才华。
52086,UgxB74URUyKr2iZidxF4AaABAg,0,4 years ago,ur vedios are something out of this world.. ur village is beautiful... and u are such a talented person.. want to watch more and more vedios from u... love from india,ur vedios是这个世界之外的东西.. ur村很美……你是一个才华横溢的人。
51927,UgwV1nZ_Cl9Eixz-vMx4AaABAg,0,4 years ago,a very talented chef i like the way u cook so amazing ❤️,我很有才华的厨师，我喜欢你烹饪如此令人惊奇的方式❤️
51667,UgyiEE51zT3l9jlvifN4AaABAg,0,4 years ago,you are very talented❤,你很有才华❤
51632,UgyHK1EO3WP_fceuDPp4AaABAg,0,4 years ago,you are insanely talented. and i'm insanely in love with you,你很有才华。我疯狂地爱上了你
51411,Ugx0xjsCa88Fp07KBUh4AaABAg,0,4 years ago,"multi talent

","多才能

"
51410,Ugwatuvj486cixakqap4AaABAg,0,4 years ago,i like this woman who is talented.,我喜欢这个才华横溢的女人。
51197,UgylcJxx8nWF89Xw6lZ4AaABAg,0,4 years ago,"she's an actress too, right? are there any movies she had done where we can see more of her? she seems very talented.",她也是女演员，对吗？她有什么电影，我们可以看到她更多的电影吗？她似乎很有才华。
51129,UgyJ2vpaJAAItgUCKVx4AaABAg,0,4 years ago,you are awesome!!!!! no words to explain about your talent and perfection..,你太棒了！！！！！没有言语可以解释您的才能和完美。
51037,UgyTyXKc9qB6fOXpOh54AaABAg,0,4 years ago,multi tasking multi talented sweet lady.love the nature binding lifestyle . great preparation . regards from france,多任务多个才华横溢的甜蜜女士。精彩的准备。来自法国的问候
51033,Ugyqm3WeQGNOvFdOAPV4AaABAg,0,4 years ago,she is so pretty and talented i wish i could meet her,她是如此漂亮和才华，我希望我能见到她
51029,UgxsD3UO6Ndki9dML0B4AaABAg,0,4 years ago,"u r very talented and independent girl.
keep it up","非常有才华和独立的女孩。
继续努力吧"
51012,Ugwm-u2cMxUDkXNKyZV4AaABAg,0,4 years ago,talented angel,才华横溢的天使
50473,Ugyn-2vuuoKLJCFz9-94AaABAg,0,4 years ago,super women is back! i am sniping my coffee and get ready to work. perfect timing to watch this beautiful talented lady,超级女人回来了！我正在抢咖啡，准备工作。看这位美丽的才华横溢的女士的完美时机
50426,UgyRMi8rHOV24NYTKlB4AaABAg,0,4 years ago,"hello talent, very envious
i love you!!","你好才华很羡慕啊
我爱你!!"
50311,UgzMmMWfEgHbsv_PZqp4AaABAg,0,4 years ago,q abundant.how hot thing.vc and mt talentoza,q丰富。
50050,UgwskEGidU9luvrNW3d4AaABAg,0,4 years ago,very talented young lady! it is wonderful how she cares and respects grandmother!,非常有才华的小姐！她如何关心和尊重祖母真是太好了！
46198,Ugw0v8v1XlkQzl7Ufct4AaABAg,0,4 years ago,i like your all videos hii i am from india my name is sangita and you are so talented and cute,我喜欢你所有的视频hii我来自印度，我的名字叫sangita，你很有才华和可爱
46050,Ugz2QsRcQmNINOWJXrB4AaABAg,0,4 years ago,hi li ziqi i am very fan of your videos. you are a talented woman. full of gifts and an inspiration to all. please continue to upload more videos. i'm from the philippines.,嗨，李Ziqi，我非常喜欢您的视频。你是一个才华横溢的女人。充满礼物和所有人的灵感。请继续上传更多视频。我来自菲律宾。
39362,UgzCzpPU9UGS3gAo8GJ4AaABAg,0,4 years ago,she is a multi talented as well as beautiful woman.,她既有才华横溢又是美丽的女人。
40192,UgzsHhJWV9r2ZOR48yV4AaABAg,0,4 years ago,i admire you a lot. you are an extremely talented woman. i love watching your videos. your country is very blessed there are many fruits. and they have large crops.,我非常佩服你。你是一个非常有才华的女人。我喜欢看你的视频。您的国家非常幸运，有很多水果。他们有大农作物。
35216,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9H5QMwG1hq0,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
41476,Ugz5JN3F8Uz3nNWXbyB4AaABAg,0,4 years ago,i've never in my life witnessed so much incredible talent in a person. i am speechless.. and so young.,我一生中从未见过一个人的不可思议的才华。我无语..那么年轻。
41423,Ugx2VqWzrNCAWP7728J4AaABAg,0,4 years ago,"i want to be this type of a woman. so elegant, so talented....she's like a dream",我想成为这个女人。如此优雅，如此才华...她就像一个梦
41240,UgxUrqYu_-gWzhnrQcF4AaABAg,0,4 years ago,awesome ur multitalented girl,真棒你的多元女孩
40404,UgygyBx3m0xrClug1kx4AaABAg,0,4 years ago,poetry for the palate !!!!! i admire this working and very talented woman!,诗的诗！我欣赏这个工作和很有才华的女人！
40370,UgzK6gvyAsoaz5jfXI14AaABAg,0,4 years ago,she is talented. l love her ❤,她很有才华。我爱她❤
40223,UgwxG1pCbAixkIOU1ax4AaABAg,0,4 years ago,she's so talented,她是如此有才华
40195,UgzgvpAT9-MykZqeqvx4AaABAg,0,4 years ago,i’m a new subscriber & i’m amazed at your talents; from making bamboo furniture to creating good things to eat.,我是一个新的订户，对您的才华感到惊讶；从制作竹作家具到创造美好的食物。
40049,Ugy2CWudinIqe8MJtqd4AaABAg,0,4 years ago,talented young.,才华横溢的年轻人。
45910,UgxWLanHrQ_TB7_eM0V4AaABAg,0,4 years ago,"this is beautiful
this woman has so much love and talent. strength and life has more than many of us. what a bless","这很漂亮
这个女人有很多爱与才华。力量和生活比我们许多人更多。多么祝福"
39884,UgxRdpmmepml_02giqh4AaABAg,0,4 years ago,you are too talented!,你太有才华了！
39757,UgwRqFDbkc5cA_F8Mn54AaABAg,0,4 years ago,"i never see such a talented women..she is really hardworking...ma sha allah
i would like to live with her.her place she and her grandma gives me so much peace ....๐๐๐๐","我从来没有见过这样的才华横溢的女人..她真的很努力...马沙阿拉
我想和她住在一起。"
39683,UgwglsLfH7sCwBayyuN4AaABAg,0,4 years ago,so talented,如此有才华
39657,UgzGyauIBR9UQCEKX214AaABAg,0,4 years ago,lady you nailed it i have no words for your tremendous job i have never ever seen such a talented lady like you,女士你钉了它
39639,UgwXSExzol6eS6Vasp94AaABAg,0,4 years ago,so talented ๐๐,如此有才华
39636,UgxKpHZt2_mMwPHu7D54AaABAg,0,4 years ago,"you are multi talent , i like this๐‘๐‘๐‘",你是多才华，我喜欢这个
39564,Ugw2gtZMWaOr8P2oGTl4AaABAg,0,4 years ago,you are really talented. you have a so cute pets ๐โค๏ธ you are awesome,你真的很有才华。你有一个如此可爱的宠物
39413,Ugw_IuU93dpxwOekCMZ4AaABAg,0,4 years ago,beautiful and talented chinese girl....,美丽而才华横溢的中国女孩。
42068,Ugz40MRHWedAzKUaRxF4AaABAg,0,4 years ago,"that's so pure, god she's so dedicated and talented, and the food looks so yummy, thanks youtube for make me hungry.. i want those candy t-t",那太纯洁了，上帝是如此敬业和才华
42172,UgyzGXyjM4jYI6-iKd14AaABAg,0,4 years ago,"it just so good watching you doing all of those things 
you are very talented","看到你做所有这些事情真是太好了
你很有才华"
42532,Ugw-FTTFfy6fn3Rocdx4AaABAg,0,4 years ago,you are the most caring person that i have ever subscribe to! your very caring talented and i love your channel!,您是我曾经订阅过的最有爱心的人！您非常关心的才华，我爱您的频道！
42608,UgzzFHUbs576LzNge8l4AaABAg,0,4 years ago,"i deeply admire the girl, she is amazingly talented and charming. special thanks to her production team for such a relaxing video, i enjoy it much! please keep going and salem from kazakhstan!!",我深深地佩服了那个女孩，她才华横溢且迷人。特别感谢她的制作团队如此轻松的视频，我非常喜欢！请继续前进，来自哈萨克斯坦的塞勒姆！
45756,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2qjpS-XVj,0,4 years ago,"@razerblade9508 oh give it a rest. there have been precedents to this. china won't be exactly surprising the world by posting propoganda videos, just go on google and watch them for yourselves. 
my query was just that, a query. not an accusation. to which you vociferously agreed btw. talk about hypocrisy. it will be very pleasant to me if these turn out to be just videos by a woman who is talented. but looking at the quality of the videos, i know there's a crew working for her. i don't know whether it's propoganda or not. but i hope it isn't. so think before you type.","@razerblade9508哦，休息一下。有先例。通过发布宣传视频，只需使用Google并亲自观看它们，中国就不会使世界完全奇怪。
我的查询就是一个查询。不是指控。您对此表示赞同。谈论虚伪。如果这些事实只是一个才华横溢的女人的视频，那对我来说会非常愉快。但是看着视频的质量，我知道有一个船员为她工作。我不知道是否是宣传。但是我希望不是。因此，在输入之前先三思。"
45544,UgxAB0TWo6y3r396QYR4AaABAg,0,4 years ago,so talented!,如此有才华！
45438,Ugzv09gJ7_C43e3tRRV4AaABAg,0,4 years ago,"this younger sister is so talented that people will make sauce dishes without tightness, and they can make woodworking bamboo wares that are amazed by men in both hands.
this time, i made a snack again, which made people look too much ... great, xiaoqi","这位小柒妹妹实在太有才了，人长得美不打紧还会亲手做许酱料佳肴，双手还能做出连男人都惊叹的木工竹器，太佩服了。
这回，又做了年味点心，让人看了太喜爱...太棒了，小柒"
44824,UgwuoWrNCf4c2Rqykkp4AaABAg,0,4 years ago,"masha allah...shez talented with no limits...
wish to meet u once","马沙·阿拉
希望见到你一次"
44602,Ugw7myRNWoaPl5me5fl4AaABAg,0,4 years ago,"she is beautiful, she cooks beautifully, she is talented!! loved this video.",她很漂亮，她做得很好，她才华横溢！！喜欢这个视频。
44582,UgysUZiAGs6FK2KpyLZ4AaABAg,0,4 years ago,"i am indian, i don't understand but whatever you do looks very good, you're so talented girl, i love❤ watching your videos, it makes the senses relax",我是印度人，我不明白，但是你所做的一切看起来都很好，你是如此有才华的女孩，我喜欢看你的视频，这使感官放松了
44261,UgzvceUjAdTV0N0Tes54AaABAg,0,4 years ago,"insanely talented,a perfectionist, cleanliness is in her blood ,doesn't waste any thing ,everything she makes is so admirable.she stole the heart of millions and will so on...she will be a very kind hearted down to earth person ,so visible.the guy she marry will be happy (life changer)",疯狂才华横溢，一个完美主义者，清洁，没有浪费任何东西，她所做的一切都令人钦佩。 ，如此可见。她嫁给的那个家伙会很高兴（改变生活）
44023,Ugy1FK9C2x67q8H1t3J4AaABAg,0,4 years ago,o my god she us do talented and pure stay blessed dear,我的上帝，她我们是有才华的，纯洁的住宿亲爱的亲爱的
43973,Ugx5P3eskyui4jqcmcF4AaABAg,0,4 years ago,li tu will your work super werry talented good,Li Tu将您的工作超级熟练的才华横溢
43956,UgzLRpTcA-5vbOQ-3Cp4AaABAg,0,4 years ago,"she is so pretty and talented, that’s a wife material",她是如此漂亮和有才华，那是妻子的材料
43775,Ugz-aRIpXQHjdTAu9614AaABAg,0,4 years ago,she is so talented luv from kashmir,她是克什米尔的才华横溢的
43597,UgyvFpLXnCh-iPU99Od4AaABAg,0,4 years ago,"pretty, work hard, talented chef. beautiful combination!!",漂亮，努力工作，才华横溢。美丽的组合！
43285,Ugzz0AUc8JyWfW-uDf14AaABAg,0,4 years ago,my gosh!!!you are soo freaking talented,我的天哪！
43262,UgyKTEtT8d2SnY3L-pp4AaABAg,0,4 years ago,wow you’re making me hungry in the middle of the night. girl you’re certainly good at cooking... very talented.,哇，你在半夜让我饿了。女孩，您当然擅长做饭...很有才华。
43116,UgxY_3fQLGfn4CBPr014AaABAg,0,4 years ago,"i love you, congratulations, my friend, you are a beautiful woman, and you are also talented. i like your videos, from peru, american greetings.",我爱你，恭喜你，我的朋友，你是一个美丽的女人，你也很有才华，我喜欢你的视频，来自秘鲁，美国的问候。
42712,UgxKHNXwuYc_U2X0EzB4AaABAg,0,4 years ago,your v talented,您的V才华横溢
42697,UgzwGnBDWi42GeqeCn14AaABAg,0,4 years ago,what a beautiful woman how much simplicity and talent,多么美丽的女人多么简单和才华
35370,Ugxxx5Bb9PYQkSmPq_h4AaABAg,0,4 years ago,"no words , she's strong super supper talented girl .. god bless you always girl .โค๏ธ",没说，她是坚强的超级晚餐才华。上帝保佑你永远是女孩。
410,Ugy4mW_GwaANLqLguoF4AaABAg,0,3 months ago,"i see the arts in her video. she has the talent, tbh, more than any rivals of hers. it just feels very different/unique among those videos.",我在她的视频中看到了艺术。她的才华比她的任何竞争对手都多。在这些视频中，感觉非常不同/独特。
35174,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-95Mji3fj49x,0,3 years ago,this girl is grate i really zealous of her can one pearson so talented,这个女孩是勇敢的，我真的很热心她能有才华的皮尔森
14676,Ugw7IPniQU2c1E00f7l4AaABAg,0,2 years ago,very talented lady amazing,非常有才华的女士惊人
18344,UgyDUr1aLaG7Dnm3Gmx4AaABAg,0,3 years ago,"beautiful. love every thing. i love with the sharp color and texture of the video. you are very talented and creative. 

would really appreciate if you would consider adding some english subtitles. thank you.","美丽的。爱每件事。我喜欢视频的鲜艳色彩和质感。您非常有才华和富有创造力。

如果您考虑添加一些英文字幕，真的很感激。谢谢。"
17951,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9H5QUqrawST,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
17789,UgzPFmulppSnc7m1xBp4AaABAg,0,3 years ago,how can she manage to do all these on her own... shes such a strong and talented women,她如何能够自己做所有这些……她是如此坚强而有才华的女性
17574,UgzJdrnPGyFMdiCkcQ14AaABAg,0,3 years ago,both beautiful and talented,美丽又有才华
17532,UgyV6nObpwglbDkKPb94AaABAg,0,3 years ago,she is so talented!!,她是如此有才华！！
17353,UgyogMEwWhA9F4ERplh4AaABAg,0,3 years ago,i truly admire you so much...you're such a talented person.,我真的很佩服你……你真是个才华横溢的人。
17281,UgzmuTda9DxDwy5_Q3l4AaABAg,0,3 years ago,is this called all talent?,这被称为所有才华吗？
17260,UgzMmp95zeAxGjY4Rnp4AaABAg,0,3 years ago,"i look at the impossible to break away from you a big talent, i wish you all that is full in life.",我看着不可能摆脱您的庞大才能，祝您生活充实。
17250,UgxS_Mu_YXc9h2Dfve14AaABAg,0,3 years ago,what a talented woman. the mother -in -law's hat is too stunned.,真是个才女。婆婆的帽子太可
16941,UgzqwpL-O--alsDGEvJ4AaABAg.98Hisv6QB4z9H5R06GruF3,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
16777,UgwbSFgs7HO0ZoPbfX94AaABAg,0,3 years ago,wow! everything you made looks so delicious you are so talented,哇！你做的一切看起来都很美味，你是如此有才华
16708,Ugxem0xl86cc6aCy_M94AaABAg,0,3 years ago,you are cute but your talent is more cute..,你很可爱，但你的才华更可爱。
16700,UgwL7olMGPJTHMAkYId4AaABAg.98WDNW2-zKp9H5Qy0wrqXJ,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
16660,UgxCabZErCzYKTyT_5J4AaABAg,0,3 years ago,"1 multi -technological multi -talented girl
wish you always happy and happy","1个多技术多重女孩
希望你永远快乐"
16582,Ugz1Wc9vM9ZHfkxa85N4AaABAg.98bPkd9Z2En9H5U_M2TpFB,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
16497,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l9H5Qno5GiXi,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
15809,UgytZ9mCDasChR2kIJp4AaABAg.99DUgaM0Tri99Q88kk2Vs2,0,3 years ago,"@bhy4694 i watch dianxi xiaoge; more realistic, asks for help and feeds siblings, more people than lziqi, just more realistic. liziqi's the old antiquated male chauvinist's dream; quiet, work hard, beautiful, talented, don't ever ask for help just keep serving....sounds like the chinese communist propaganda....i'm still skeptical that she cooks all that for her skinny self and her skinny grandma. they should be gaining weight. seriously, still looks so much like an act.",@bhy4694我看dianxi xiaoge;更现实，寻求帮助并养活兄弟姐妹，比Lziqi更多的人，更现实。利兹奇的古老的陈旧男性沙文主义者的梦想；安静，努力工作，美丽，才华奶奶。他们应该增加体重。认真地说，看起来仍然像是一种行为。
18451,UgzEr-O1xQjpHl9cdR94AaABAg,0,3 years ago,what a gift and talent to motivate the world from the panic and fear of the corona virus .,多么的天赋和才能激发了对电晕病毒的恐慌和恐惧的世界。
18645,UgyjzQK2WAvxjpM-kBp4AaABAg,0,3 years ago,she never stops amazed me with her talent.,她从来没有停止过自己的才华使我惊讶。
