,cid,votes,含respect,含respect中文翻译
25848,UgwKN1URDbnyAkvZOux4AaABAg,0,"woww, you are magnificent. my respect and admiration.",哇，你很棒。我的尊重和钦佩。
25840,UgwO61MqYHIXLVck8xh4AaABAg,0,spanish translation of the products and respect that they make,西班牙语翻译产品和他们的尊重
25480,UgzXLpT3Wq5gdYN0xd14AaABAg,0,"i want to share this with as many people as i can so maybe some of the naysayers can understand better who she is. you'll gain even more respect for who li ziqi is by watching this wonderful interview!
https://youtu.be/yvggquw0g7w","我想与尽可能多的人分享这一点，因此也许有些反对者可以更好地理解她的身份。通过观看这次出色的采访，您将更加尊重李Ziqi是谁！
https://youtu.be/yvggquw0g7w"
25229,UgwfYMBbOgnS1YDaR9d4AaABAg.9-aNVHd-I5L906R38DeNgN,0,"if you did not search for god, you would have been the same as a respected person who is tired and works, and the most important of this old man who enters her heart is joy and pleasure and lives with her.",如果您没有寻找上帝，那么您将与一个疲倦和工作的受人尊敬的人相同，而进入她内心的老人中最重要的是喜悦和快乐，并与她同在。
24925,UgzaRHzHeFkKzBqg9pR4AaABAg,0,"i am loving your videos girl!!
your so respectful and know how to do all these amazing things. you should model your so very pretty. how may we purchase some of your items if clothing?
thank you๐ป","我爱你的视频女孩！
您如此尊重，知道如何做所有这些令人惊奇的事情。您应该对自己的建模非常漂亮。如果服装，我们如何购买您的一些物品？
谢谢你"
24435,UgwQbUzoXdqiwu6_g3R4AaABAg,0,what admiration you are a great inspiration for many people my respects โคโคโค blaf,您的钦佩是我尊敬的许多人的伟大灵感❤❤❤blaf
24354,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92f4L-tSTJY,0,"@user-rf8ik1ct6x that's not entirely true. chinese has their own perspective about god, usually in polytheism way. they believe every dwelling has a god or goddess in it, that's why they are more respectful and closer to nature.",@user-rf8ik1ct6x并非完全正确。中国人通常以多神论的方式对上帝有自己的看法。他们相信每个居住在其中都有神或女神，这就是为什么他们更加尊重和更接近自然的原因。
22916,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tf-1BiSPv,0,"@priscillayang499 i think you are a hypocritical person too. 
you have to note that, the people didn't hate or unrespect you when you love your dog's friend, it's your freedom. but why you do hate and unrespect the people who eat dogs? it's unfair. they have the freedom to eat dogs. you have the freedom to love dogs. don't disturb each other, it's fair social.","@priscillayang499我认为你也是一个虚伪的人。
您必须注意，当您爱狗的朋友时，人们并不讨厌或不尊重您，这是您的自由。但是，为什么您要讨厌和不可思议的人吃狗的人呢？这不公平。他们有吃狗的自由。你有爱狗的自由。不要互相打扰，这是公平的社交。"
23863,Ugw3p5UZymvyQ_Dm_IN4AaABAg,0,"thank you, ziyi's video! ziyi is a legendary figure in china (culture, independence, sense of responsibility, and one of the chinese cultural figures). whenever she is a strange woman in china! because contributed our chinese culture! respect",谢谢，子柒的视频！子柒是中国的传奇人物（文化，独立，责任感，传达中国文化人物之一）不论什么时候都是中国的一个奇女子！因为贡献了我们中国文化！尊敬
23655,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92quBXG4Dhm,0,"@wyattjia3202 you have to respect people's choices, if not, what is your difference from the autocrat? or, are you agree with all the nonvegetarian to press you to eat meat as what you want the human to be a vegan?",@wyattjia3202您必须尊重人们的选择，如果没有，您与独裁者有什么区别？或者，您是否同意所有非素食主义者将您作为您希望人类成为素食主义者的肉类吃肉的人？
19069,UgyvRHuDbWjGMkBZIMV4AaABAg,0,a great respect to you for everything you do...,对您所做的一切非常尊重您...
31211,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8x5S1dzCe6j,0,and yeah please remind some of your citizen to respect other countries law they just spitting saliva anywhere even in elevator,是的，请提醒您的一些公民尊重其他国家法律，即使在电梯里，他们也只是在任何地方吐口水
18908,UgwQd3T35M69SUTWTIt4AaABAg,0,i'm just respectful ~ ♡,我只是尊重〜♡
33320,UgxIc2JJBHbs93LfFOJ4AaABAg,0,mad respect for her and her family,疯狂尊重她和她的家人
36747,UgwmWYuqp6zV20DpOqp4AaABAg,0,she has such a great respect for her grandmother.,她非常尊重祖母。
23229,Ugy2UIVY0LYbJykWGnp4AaABAg,0,i have binge watched her videos for two days straight. so authentic and beautiful. i am inspired to start living my life more respectfully.,我连续两天狂饮观看了她的视频。如此真实而美丽。我受到启发，开始更加尊重自己的生活。
13954,UgxzPbrdtBWAyDsgJql4AaABAg,0,"hello, i look at your video and i don't know who is the sweet old age of you but you look that you love her and respect her a lot",您好，我看着你的视频，我不知道谁是你的年老，但你看着你爱她并非常尊重她
35610,UgxPIW4lg2Sv0hI61FN4AaABAg,0,now this is what i call living by the land!! so much respect for youโค๏ธ,现在，这就是我所说的生活在土地上！如此尊重你❤️
35131,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-91u4w4ohvnp,0,"therewasnochill she was orphaned at a young age, hence living with her grandparents where she is now. they supported her all the time and taught her everything. she adores them, and them her. she didnโ€t have a good relationship with her parents. she also has a brother with equal talents. she used to work as a dj, waitress, and a businesswoman whilst living in the city. highly educated, intelligent, beautiful and hard working. she is now a successful, wealthy blogger, vlogger, businesswoman, cook, author, etc, etc...she creates the best content ever on youtube. all her talents, with consistent and brilliant content have earned her respect and legions of fans.",因此，她很小的时候就孤立了，因此与她现在所在的祖父母住在一起。他们一直在支持她，并教她一切。她崇拜他们，他们是她。她与父母没有良好的关系。她还有一个兄弟，才有平等的才能。她曾经是DJ，女服务员和女商人，而她居住在城市中。受过良好教育，聪明，美丽和努力的工作。她现在是一位成功的，富有的博客作者，vlogger，女商人，厨师，作家等...她在YouTube上创建了有史以来最好的内容。她所有的才华，一贯而出色的内容都赢得了她的尊重和粉丝。
35091,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8x17u6w6tOM,0,@saadiazay1957 everyone's definition of 'respect' is different.,@saadiazay1957每个人对“尊重”的定义都是不同的。
35090,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8x17TkqAup_,0,"@user-zd7wg5ji1d this is exactly what i agree with !! listening, i mean that there is no ham and disrespect to anyone, including her! i like these videos, i think she is really cool, but at the same time, there is no reason to let a group of computer monkeys come here, hoping that they have her lifestyle instead of appreciating what they have.","​ @user-zd7wg5ji1d 这正是我同意的观点!!听着,我的意思是没有哈姆和不尊重任何人,包括她!我喜欢这些视频,我认为她所做的真的很酷,但与此同时,没有理由让一群电脑猴子来到这里,希望他们拥有她的生活方式,而不是欣赏他们所拥有的。"
14155,UgypjdK0I6C3dzwv7wZ4AaABAg,0,"i respect the chinese. very hardworking people. they work in the literal sense from sunset to dawn and do not complain of life, on power, about the gods. well done.",我尊重中国人。非常勤奋的人。他们从日落到黎明的字面意义上工作，不要抱怨生命，权力和众神。做得好。
14195,UgxyJwjH5v5lt3M_sah4AaABAg,0,"the spirit of moving forward continues to friends and entrepreneurs of indonesian. i fly our enthusiasm all ... !!!
check mychannel for business information.entrepreneur and the world of civil engineering. greetings our respect. thank you very much","向前发展的精神继续向印度尼西亚人的朋友和企业家。我充满了我们的热情... ！！！
查看MyChannel以获取业务信息。企业家和土木工程世界。问候我们的尊重。非常感谢"
14393,UgyQ6YQJWAYuvkI5Vfd4AaABAg,0,"andrea biong andrea are always courteous in you comments and respect the greatest number of your customers
andrea birthday on sunday october 25 andrea 17 andrea rtrtergtrezsqamuynko is on phone mobile phone number andréa 064074747. andrea on saturday december 08, august samdi 08 064074747.andrea mobile phone andréa for the moment but i do not know if you are not there but i will see if i can pass for something from time to time but i don't know if you are not there but i will see if i can pass for something from time to time but i don't know if you are not there but i will see if i can pass for something from time to time but i don't know if you are not there but i will see if i can pass for something from time to time","Andrea Biong Andrea在您的评论中总是有礼貌，并尊重您的客户数量最多
Andrea生日10月25日星期日Andrea 17 Andrea Rtrtergtrezsqamuynko在电话手机号码上安德烈（Andréa）Andréa064074747。看看我是否可以不时地通过某些东西，但我不知道您是否不在那看看我是否可以不时地通过某些东西，但我不知道您是否不在那里，但我会不时地通过"
14533,UgySq2wlWZYoeCki2EZ4AaABAg,0,i love it your all video. and you so preety. can cooking and do anything. i very respect.,我喜欢你的全部视频。而且你真是个预言。可以做饭和做任何事情。我非常尊重。
33928,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd498vIBxHfwQ-,0,"so true, only at our dead we will realize, how we have been just running and running and got nowhere, just being used by the system as robots nothing elses. i so much respect her for her courage to come out of this vicious circle of unending chase.",是如此，只有在我们的死者身上，我们才会意识到，我们如何只是跑步，奔跑而无处可去，只是被系统用作机器人什么都没有。我非常尊重她，因为她的勇气从这个无休止的追逐中出来。
15465,UgxhzyNdDKMyJ5jXaYt4AaABAg,0,love and respect from nepal,尼泊尔的爱与尊重
18851,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97c2lf1P0bl,0,@chawngkhelvung9104 vegans don't judge but respect people who eats meat. we just don't eat them cuz we don't like and appreciate the lives of creatures,@Chawngkhelvung9104素食主义者不判断，而是尊重吃肉的人。我们只是不吃它们，因为我们不喜欢并欣赏生物的生命。
32833,UgzY_9CxnOtInI_cQIJ4AaABAg.8vdn1zcjinh8yXp_tDsjHe,0,"eastwindbreaks i meant with respect, she is very beautiful.",我的意思是尊重，她非常漂亮。
32828,UgzY_9CxnOtInI_cQIJ4AaABAg,0,"when you see a girl walking with a lamb and dogs you know she's a family girl, a keeper, even tough she may be a virgin. much respect for living in nature.",当您看到一个女孩和羔羊和狗一起散步时，您知道她是一个家庭女孩，一个守护者，甚至艰难，她可能是处女。非常尊重自然界的生活。
32754,Ugxuo_pMz92hj1RgPCF4AaABAg,0,"i love your videos and i love china as well.. i'm from kochi, india โค

thanks for this wonderful videos. .love and respect ๐’•โ","我爱你的视频，也爱中国..我来自印度高知❤

感谢您的精彩视频。 。爱与尊重"
16030,Ugzx-tFhvwBqPqfgYoN4AaABAg,0,respect,尊重
16432,Ugwi-hsjL-tUjUhYEpJ4AaABAg,0,i respect your labor,我尊重你的劳动
16495,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l99c6j82ggPK,0,"@kobriks1 its better then wasting ur life time for sitting in the phone and being obsessed she's enjoying doing all this and u don't have lot of stress wasting ur brilliant life time for beautyful and fun life isn't that long but respect ur opinion i wish u a happy, long and healthy life❤️",@kobriks1更好，然后浪费您的终生坐在电话中并着迷于她喜欢做所有这一切，并且您没有太多的压力浪费您的美好生活时光，享受美好而有趣的生活并不长，但要尊重您的意见祝您幸福，漫长而健康的生活❤️
17469,UgzA0jrl8gvgH89dgrB4AaABAg,0,"not not everything that this girl does is impressive separately the place where the old age is beautiful, the flowers have no words to describe the magical hands k has this girl all my respect for this youth congratulations",并不是这个女孩所做的一切都令人印象深刻，这是老年美丽的地方，花没有言语来形容神奇的手K，让这个女孩对这个青年的尊重都表示敬意
17515,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa98qFTbLGDFM,0,you don't need to be chinese to be able to respect your parents and grandparents...,您无需成为中国人就可以尊重您的父母和祖父母...
18316,UgxjmA7l7H-RKWKlnFp4AaABAg,0,you are very pretty you seem like a disney princess who is difficult to believe what you do all that job a lot of respect looks delicious.,你很漂亮，你看起来像个迪斯尼公主，很难相信自己做的所有工作看起来很美味。
31935,Ugytz33sw9utXZ0XKlJ4AaABAg.8w1ISxTIhfc8waLl1qlR4O,0,i respect the bnha pfp!!,我尊重BNHA PFP！
18725,UgwvnVC0YWyw3jJabAN4AaABAg,0,"i really like your videos but i never see you giving the puppies some love. i mean no disrespect but wondering if they are being raised as animal meat. i don’t particularly like it but i do respect people who raise animal humanly. i don’t care what people eat as i cannot judge but do it in a humane and healthy way for the animals. after all, we are all what we eat and when an animal is sick, stresses, fearful or abused...not only is it causes unnecessary suffering... but people eat the bad sick animal.",我真的很喜欢您的视频，但我从未见过您给小狗一些爱。我的意思是不要不尊重，而是想知道它们是否是作为动物肉饲养的。我并不特别喜欢它，但我确实尊重那些人类养育动物的人。我不在乎人们不能判断的人，而是为动物人道和健康的方式做什么。毕竟，我们都是我们吃的东西，当动物生病时，压力，恐惧或虐待时……不仅会造成不必要的痛苦……而且人们吃了不良的病动物。
31713,UgxU27UCSqUpcz-B3QR4AaABAg,0,"this is so beautiful i couldn't help but cry for the way she cares so much for her grandma, it's so beautiful. this is the type of being we & our children should be, we need to respect and, care for our grandparents just as much as she does no matter how difficult they can be at times.",这真是太漂亮了，我不禁为她如此关心奶奶的方式而哭泣，真是太漂亮了。这是我们和我们的孩子应该是的类型，我们需要尊重和照顾我们的祖父母，无论她们有时会多么困难，都一样。
385,UgzAHbuTJqXEJBDJVI14AaABAg,0,"words to describe a bit of her life: organized, abundant, fresh, clean and healthy, beautiful, great habits, skilled, respect, playful, natural, loving....",言语描述了她的生活：有组织的，丰富的，新鲜的，清洁的，健康的，美丽的习惯，熟练，尊重，嬉戏，自然，爱心...。
