,cid,votes,time,含channel,含channel中文翻译
47083,UgxZmLzgSu6N67zDyD54AaABAg,0,4 years ago,"was this channel inspired by almazankitchen? i feel like the style is very similar. i mean, i get the whole japanese social media zen vibe that i know a lot of other chinese channels have been following, but i just feel like the style reminds me so much of almazankitchen.",这个频道受Almazankitchen的启发吗？我觉得风格非常相似。我的意思是，我知道我知道许多其他中国频道一直在关注的整个日本社交媒体禅宗氛围，但我只是觉得这种风格使我想起了Almazankitchen。
36525,Ugw9xkrDZ5NcNtbukKV4AaABAg,0,4 years ago,the top of beauty and a very picturesque nature. enjoy watching your channel a lot. i hope that i live with you for a week to share with you what you are doing ๐,美丽的山顶和风景如画的天性。喜欢看很多。我希望我和你一起生活一个星期，与你分享你在做什么
36563,UgyJY6f2MbmYXVGosc54AaABAg,0,4 years ago,how did i land on this channel? i am mesmerized!,我是如何降落在这个频道上的？我被迷住了！
36604,UgxZbHPGlEKM1QituHV4AaABAg,0,4 years ago,"5.57 is genuinely the sweetest funny thing ive seen, everything about this channel is adorable, beautiful and fascinating!!",5.57确实是我看到的最甜蜜的有趣的东西，关于此频道的一切都很可爱，美丽而有趣！
46960,UgwO3ndp0GNVeR7nWUV4AaABAg,0,4 years ago,i really like this channel.,我真的很喜欢这个频道。
46943,UgzmAanSjfTPUgghzsh4AaABAg,0,4 years ago,this my fav vids on your channel so far,到目前为止，这是我最喜欢的vid vid
36765,UgwcLb231i-fl9pwKoZ4AaABAg,0,4 years ago (edited),what is this sorcery!!! jk the production team on this channel is beyond incredible thank you!,这是什么巫术！！！ JK在此频道上的生产团队非常不可思议，谢谢！
46397,UgyrZ-qRwuklI-E-PIx4AaABAg,0,4 years ago,"since i cannot travel, the presence of your channel makes me travel to a place i have never dreamed of ...
you are amazing","由于我无法旅行，您的频道的存在使我前往我从未梦想过的地方...
你很棒"
46386,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qyrMdWR-1h,0,4 years ago,"there are other comments about that, but i don't feel like sorting through thousand of comments. for now, i'll just trust that verified icon on this channel.",还有其他评论，但我不想整理成千上万的评论。现在，我只是相信该频道上已验证的图标。
39917,Ugwp4gLyq4ITWhBe4Sx4AaABAg,0,4 years ago,this has quickly become my favorite channelโ€ฆ..,这很快就成为我最喜欢的频道…..
39273,UgyGLJ2pCCp9aw0mtEZ4AaABAg,0,4 years ago,just found this channel and already love it!๐,刚刚找到了这个频道，已经喜欢它！
39324,UgwSvkQj2Ky43EScKeB4AaABAg,0,4 years ago,3:13 <3 i love this yt channel,3:13 <3我喜欢这个YT频道
46371,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qwtUxPF7Cy,0,4 years ago (edited),"@mjt4789 this isn't her official channel, it is run by her fans on bare minimum. we are led to believe many things because of that. on weibo, there's a lot more explanation from her. you can even ask her question there providing you can speak and read mandarin. but overall, fair enough, i agree with you.",@MJT4789这不是她的官方频道，它是由她的粉丝最少运行的。因此，我们被人们相信许多事情。在微博上，她有更多的解释。您甚至可以在那里问她的问题，只要您可以说和阅读普通话。但总的来说，公平，我同意你的看法。
46369,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qvm0R9898n,0,4 years ago (edited),"@mjt4789 it's dragged, not lifted, way less effort. it's not a mountain, more like a mound or small hill. plus, for all we know, the hill could be just beside her house. but yeah, she has an assistant and a cameraman that she hire herself (originally it's just her and tripod). pretty sure they help her. that video itself took her almost two weeks to make.

youtube visitors isn't even her main target audience. her main channel is on weibo. she started this ""show"" to promote her online store. but it's really her home and her life, only stylized. so, she's not an actress. she has 15 million followers on her weibo account. with such fame, somebody is bound to recognize her. only takes one person that she has had contact with in her entire life to come out and exposes her and it's game over.

but all in all, a little bit of skepticism is fine. we're not supposed to believe everything on the internet. me personally, i'm just enjoying the cinematografi.","@mjt4789它被拖动而不是抬起，更少的努力。这不是山，更像是土墩或小山。另外，据我们所知，山丘可能就在她的房子旁边。但是，是的，她有一个助手和一个摄影师，她自己雇用了自己（最初只是她和三脚架）。很确定他们会帮助她。该视频本身花了她将近两个星期的时间。

YouTube访客甚至都不是她的主要目标受众。她的主要频道在微博上。她开始了这个“表演”来推广她的在线商店。但这确实是她的家和她的生活，只有风格化。所以，她不是女演员。她的微博帐户有1500万关注者。有了这样的名声，有人一定会认出她。她一生中只需要一个与她接触的人，可以揭露她，这是一场比赛。

但总的来说，一点怀疑是很好的。我们不应该相信互联网上的一切。我个人，我只是喜欢Cinematografi。"
39358,UgyoAybGdMGS1fXGH5p4AaABAg.8ss4jJHp9am8svLuk8Keyb,0,4 years ago,"hehe,it's hard to not agreed , she is beautiful indeed. but ur praises would be too much for her. she will rejected it rightaway, she was so down to earth as a living goddes, she lived in sichuan province with her grandma as a simply cute village girl and grand doughter , left behind her job as dj for grandma,start her own product and mark on taobao mall, lets see more her other videos on her channel ,so we'll gain comforts once get to know her",呵呵，很难不同意，她确实很漂亮。但是您的赞美对她来说太多了。她会拒绝它，她像一个活着的女神一样脚踏实地，她和祖母一起住在四川省，是一个简单可爱的乡村女孩和大doughter，留下了她作为DJ的工作，开始了自己的产品，开始了自己的产品和马克在淘ao购物中
46368,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qv4fspWIOI,0,4 years ago (edited),"萩邪 she's the one representing herself as someone living primitively in a rural area using primitive tools. if she wants to demonstrate to the world how one can live, cook, almost primitively while having their own tv crew and production budget which includes an interior/exterior renovation so that it's visually pleasing to a youtube audience, great, that's her prerogative and i hope she gets paid well to act the part in her flowing dresses and model poses. but, she or her production company should explain that in her channel so her audience are not questioning the reality of the “show” as entertaining and contrived and staged as it may look. okay? seriously, are we really expected to believe that she dragged half a dozen 60' long bamboo poles down a mountain, across a large field, and back up the mountain to her farmhouse? and, is that old lady even her grandmother?",她是代表自己是使用原始工具在农村地区原始生活的人。如果她想向世界展示一个人如何生活，做饭，几乎是原始的，同时拥有自己的电视工作人员和制作预算，其中包括室内/外部装修，以便对YouTube观众视觉上令人愉悦，这是她的特权，这就是她的特权和我希望她能获得良好的薪水来扮演自己的飘逸连衣裙和模特姿势。但是，她或她的制作公司应该解释说，在她的频道中，她的观众并没有质疑“表演”的现实，因为它看起来很有趣，人为地和上演。好的？认真地说，我们真的希望她相信她将六根60'长的竹竿拖到山上，越过大田，然后将山上拖回她的农舍吗？而且，那个老太太甚至是祖母吗？
46271,UgykQ-ztTwPeUJXHQYx4AaABAg,0,4 years ago,i will be so sad if there was a huge production company behind this channel.,如果这个频道背后有一家庞大的制作公司，我会很伤心。
39525,UgwC2ii3-_Y359f0yK94AaABAg,0,4 years ago,"i am utterly mesmerised by this channel. it is like some sort of parallel universe where capitalism and technology doesnโ€t exist! everything looks painfully laborious and slow and yet infinitely rewarding, compared to todayโ€s fast food, 2hr amazon delivery, netflix bingeing world we live in today. i want to live in this world so badly!!!",我对这个频道完全着迷。就像某种不存在资本主义和技术的平行宇宙一样！与当今的快餐，2小时的亚马逊交付，Netflix狂欢的世界相比，一切看起来都很痛苦，缓慢而又却无限地回报。我想在这个世界上生活如此糟糕！！！
46179,UgzvQrD5C_acB9jkjQJ4AaABAg,0,4 years ago,i am from pakistan i love ur channel,我来自巴基斯坦，我爱Ur频道
46112,UgxJbHi6F5U36oPGlqN4AaABAg,0,4 years ago,"i love this youtube channel, it transmits tranquility, although life in the field can be complicated, it is wonderful that they can share part of their days",我喜欢这个YouTube频道，它传递了宁静，尽管在野外的生活可能很复杂，但他们可以分享一部分时代真是太好了
39575,UgyK2L-SwVjTKE2DjN14AaABAg,0,4 years ago,your channel should have a blue tick! there are too many channels stealing your vidoes. maybe it's about the issues between china and youtube. idk but the videos are adorable. you should claim for copyright.,您的频道应该有蓝色tick！窃取您的视频的频道太多。也许这是关于中国和YouTube之间的问题。 IDK，但视频很可爱。您应该索取版权。
39595,UgzrD0va7huNGaVd7594AaABAg,0,4 years ago,youtube recommended this channel and i couldn't be happier. seriously what was that at 5:59!? ๐ฐ,YouTube推荐了此频道，我再也不会快乐了。说真的，那是5:59！？
46033,UgzOS2KTFwf2K3dM0Ex4AaABAg,0,4 years ago,please visit my channel too,请访问我的频道
46013,Ugy9voDXFLs7uPcZjJZ4AaABAg,0,4 years ago,"hai..
i am from india. i like your channel. especial atmosphere.","海..
我来自印度。我喜欢你的频道。特别是气氛。"
39693,Ugz4MmCu4bzgNdQNJdd4AaABAg,0,4 years ago (edited),"does she like live in the mountains instead of the city?
cute puppies by the way.
does she cook or is this a vlog channel?","她喜欢住在山上而不是城市吗？
顺便说一句可爱的小狗。
她是做饭还是这是一个视频博客频道？"
39720,UgzR3G0pqpjPSbzg5h54AaABAg,0,4 years ago,"verry nice
https://www.youtube.com/channel/ucvholimnu5ae1g2ig5pjjlg","经历很好
https://www.youtube.com/channel/ucvholimnu5ae1g2ig5pjjlg"
46005,UgxvylbTzONlApYIS2N4AaABAg,0,4 years ago,https://youtu.be/cfrzgu6azk4 i love china very much and the work that you do is his masterpiece i wish you support me with the channel i am not new and thank you,https://youtu.be/cfrzgu6azk4我非常爱中国，您所做的工作是他的杰作，我希望您以我不是新手的渠道来支持我，谢谢你
39721,UgyzlI2FAnFQGtZ-RW14AaABAg,0,4 years ago,no wonder asian people last forever! sheโ€s beautiful and her skin is flawless. my favorite youtube channel.,难怪亚洲人民永远持续下去！她很漂亮，皮肤完美无缺。我最喜欢的YouTube频道。
39316,UgyW2XJLvsUd3cfR7L54AaABAg,0,4 years ago,i loved it ๐welcome to my channel ๐’,我喜欢它的频道
46372,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qwvopE4E1W,0,4 years ago (edited),"@christiannugraha1011 the youtube channel is not run by her fans unless her fans are trying to impersonate her, which would be against youtube's posting policy. the channel also connects to her personal facebook account.",@ChristianNugraha1011 YouTube频道不由她的粉丝运行，除非她的粉丝试图模仿她，这将违反YouTube的发布政策。该频道还连接到她的个人Facebook帐户。
37670,Ugyw19R7w0SYlyKQb7V4AaABAg,0,4 years ago,"i just found this channel, and immediately fall in love. everything's so perfect here omg. auto being this subscriber",我刚刚找到了这个频道，立即坠入爱河。 OMG一切都很完美。自动是这个订户
39158,Ugy-7HpoFvvm1Armgdd4AaABAg,0,4 years ago,i just found this channel and iโ€m amazed at how she works to get the finished product and takes so great care of her mamaw. you go girl๐,我刚刚找到了这个频道，我对她如何工作以获取成品并非常照顾她的Mamaw感到惊讶。你去女孩
37730,Ugw_DnmzTngt3hRhgvJ4AaABAg,0,4 years ago,"very atmospheric channel. after a hard day, it relaxed.",非常大气的通道。经过艰难的一天，它放松了。
46384,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qyqPMmDnQB,0,4 years ago,"@mjt4789 https://www.youtube.com/watch?v=qujz0mys6ow&t=160s

look at the pinned comment. if you put it on google translate, it says this, ""hello everyone, here is the official authorized channel of li zi qi's overseas youtube distribution. thank you for your love and support for the channel and the children. we will promptly send the most exciting content to everyone, and hope that everyone can continue to like and support li zi qi. and the official channel, share it with friends around you, share this pastoral artistic life with everyone, and share our excellent chinese traditional culture with foreign friends. thank you all, we continue to work harder~""","@mjt4789 https://www.youtube.com/watch?v=qujz0mys60＆t = 160S

看看固定的评论。如果您将其放在Google翻译上，它说：“大家好，这是Li Zi Qi的海外YouTube发行的官方授权渠道。谢谢您对频道和孩子的爱和支持。我们将立即发送最多的发送对每个人都令人兴奋的内容，并希望每个人都可以继续喜欢并支持李Zi Qi和官方渠道，与周围的朋友分享，与每个人分享这种牧师艺术生活，并与外国朋友分享我们出色的中国传统文化。谢谢大家，我们继续努力工作〜”"
46381,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qyVe6wXjfJ,0,4 years ago,"@christiannugraha1011 i was replying to your previous response: how do you know for a fact that she either gave access to her youtube channel to her fan base, or that she gave permission to her fan base to create a youtube channel with her name? and please explain what you mean that ""all the data or confirmation is coming directly from her."" all the data to what, confirmation to what?",@christiannugraha1011我回答了您以前的回复：您怎么知道她要么将YouTube频道访问她的粉丝群，要么她允许她的粉丝群以创建带有她名字的YouTube频道？并请解释您的意思是“所有数据或确认都直接来自她”。所有数据，确认什么？
46380,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qyGE8XTd-7,0,4 years ago,"@mjt4789 well, i have a channel, so i experienced that copyright strike before. sometimes other youtubers also talk about that. the rest is just common sense. this channel is still up and running and even got verified, isn't it? i saw several copycats channel disappeared, but not this one.

oh, and i got this from google support. ""as the copyright owner, they have the exclusive right to use the work. most of the time, only the copyright owner can say whether someone else has permissions to use the work.""

or did you mean how do i know that this channel is authorized by her? well, they said so and the verified logo makes it more believable. and apparently zi qi confirmed that too on weibo.","@mjt4789好吧，我有一个频道，所以我以前经历了这种版权罢工。有时，其他YouTuber也会谈论这一点。其余只是常识。这个频道仍在运行，甚至得到了验证，不是吗？我看到几个模仿者频道消失了，但没有消失。

哦，我从Google的支持中得到了这个。 “作为版权所有者，他们拥有使用这项工作的独家权利。大多数时候，只有版权所有者才能说出其他人是否有权使用这项工作。”

还是您的意思是我怎么知道这个渠道已由她授权？好吧，他们这样说，经过验证的徽标使它更加可信。显然，Zi Qi在微博上也证实了这一点。"
37902,UgyP92DcJ_-J_YiSDUR4AaABAg,0,4 years ago,lazy girl if watching this channel must be ashamed .. ๐‘๐‘,懒惰的女孩如果看这个频道一定是为此感到羞耻。
37985,UgzDa5hPuF8iwtbNpjp4AaABAg,0,4 years ago (edited),"iam not sure if someone answers this.. i love this channel very much, but what camera do you use ? looks very ""very"" good. i know you can use a very cheap one, and everything would look still beautyful..espacially li ^^ the camery wouldnt matter",iam不确定是否有人回答此消息。我非常喜欢这个频道，但是您使用什么相机？看起来非常“非常”。我知道您可以使用非常便宜的一个，一切看起来仍然很漂亮。
38260,Ugze8eY0v9BfjjP1rJ54AaABAg,0,4 years ago,if you are asked what happiness is. show them this channel.,如果您被问到什么幸福。向他们展示此频道。
38327,UgwcBWB7q14e_O9FV594AaABAg,0,4 years ago,"how can i not subscribe after being bound by a spell to watch your beautiful videos and the best part you do not tell anything about subscribing to channel 
almost feels like videos - out of world and gives out beauty of nature","在被咒语束缚之后，我如何看待您的美丽视频，而您没有告诉任何有关订阅频道的最佳部分
几乎感觉像视频 - 在世界之外，散发出大自然的美丽"
38479,Ugx5v8sRL4gPWGuzs6l4AaABAg,0,4 years ago,most ofd channels they are showing talents but here she is showing traditional chinese lifestyle... i love it from tamil nadu,他们表现出才华的大多数频道，但在这里她展示了中国传统的生活方式...我喜欢泰米尔纳德邦
46378,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qxcP24jSfi,0,4 years ago (edited),"lots of other channel also re-uploaded her videos. difference is, they're liable to get copyright strike if she wishes so and only if she wishes so. youtube can't delete a channel unless the original creator claiming the content or if the channel containing banned materials.",许多其他频道还重新上传了她的视频。区别在于，如果她愿意的话，他们有可能获得版权罢工。除非原始创建者声称内容或包含违禁材料的通道，否则YouTube无法删除通道。
38753,UgxR526ML0VY4YI8sop4AaABAg,0,4 years ago,"li ziyi
thank you very much for your sincere sharing. for the first time, i was deeply attracted by this carefree life. i wish your channels better and better.","李子柒 
真的很感谢你的真诚分享，第一次看，就被这种无忧无虑的生活所深深吸引，祝愿你的频道越做越好，赞。"
38779,UgyqetjNz15ozjfu-zt4AaABAg,0,4 years ago,"i really want to eat it, can i buy it? my saliva is going to flow. it is said that i can buy it. can you tell me the channel?",好想吃呀，我可以买吗？我口水都要流啦，据说可以买，可以告诉我渠道么？
38842,Ugzm3CcJRkaVX0wPZN94AaABAg,0,4 years ago,what's the name of her channel๐…,她的频道叫什么名字
38891,Ugx_R61aDFue2YljMdl4AaABAg,0,4 years ago (edited),"hello, i dont know your name or your channels as it is written in chinese.
you seem living a beautiful life, how old are you?
you are pretty btwโบ","您好，我不知道您的名字或用中文写的频道。
您似乎过着美好的生活，你几岁？
你很漂亮"
46376,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qx__4GE3Y_,0,4 years ago,"@christiannugraha1011 ""they"" cannot upload any videos to her account because the account is in her name which means that she created the account and only she can upload videos to her own youtube channel under youtube's policy's",@christiannugraha1011“他们”无法将任何视频上传到她的帐户，因为该帐户以她的名义上传，这意味着她创建了帐户，只有她才能根据YouTube的策略将视频上传到自己的YouTube频道
38956,UgyKcnU21-PzmzowrE14AaABAg,0,4 years ago,"good . cรi bang tv 
we look forward to being like your channel if you are willing to help","好的 。卡伊·邦电视
如果您愿意提供帮助，我们期待着像您的频道一样"
38980,UgyHmmj9F48BtlF8-754AaABAg,0,4 years ago,does anyone vietnamese see this e channel,有人看到这个E频道吗
42482,Ugz416rX-eKRqS1bvIV4AaABAg,0,4 years ago,what different channel? whattt,什么不同的频道？ whatt
3,UgxC0SrKDfub_ah0hzB4AaABAg,0,17 hours ago,"i visit this youtube channel at least 3 times a week just to make sure if there are new videos, but what i found were only the last year's videos that he uploaded. i miss you so much liziqi and i don't think i'm the only one who feels this way because what i see there are so many comments from many people who also miss you.",我每周至少访问这个YouTube频道3次，以确保是否有新视频，但我发现这只是他上传的去年视频。我非常想念您的Liziqi，我不认为我是唯一一个以这种方式的人，因为我看到的是很多人也想念您的评论很多。
29472,Ugz2Afpf5mcATfidphd4AaABAg.8xiyFlmwgDI8xtJt7X1hoP,0,3 years ago,"her brother i think, because it was her brother first made a channel, but rather not that famous, they tried for sometime to build up a style like this and because today's vedios.",我认为她的兄弟，因为这是她的兄弟首次建立了一个频道，但并不是那么出名，他们尝试了一段时间来建立这种风格，因为今天是Vedios。
10381,UgzvUANpUa3nk0QyLt94AaABAg,0,2 years ago,"wow nice
please help to subscribe my channel for more new cooking video 
@ucumvcbwqxqzhgbb4cvbedhq/videos","喔不错哟
请帮助订阅我的频道以获取更多新烹饪视频
@ucumvcbwqxqzhgbb4cvbedhq/videos"
9366,Ugz-AJJs0LsDz1H-Gv94AaABAg,0,2 years ago,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq
9367,Ugx0qq53sc4MKAEqF8Z4AaABAg,0,2 years ago,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq
9368,UgyKYxJE990As0TjqUR4AaABAg,0,2 years ago,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq,https://www.youtube.com/channel/ucuao3gc214ef81v3kz2j9jq
9479,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9HqV330F0DX,0,2 years ago,"https:/ -youtu.be/kuhhf8nbn-0
ene channel aan
onn suport ak
adythe video innle itteda","https：/ -youtu.be/kuhhf8nbn -0
ENE频道AAN
Onn Suport AK
Adythe视频Innle Itteda"
9593,UgxnYaxrs8sy9irGUlp4AaABAg,0,2 years ago,follow me on my channel,在我的频道
9666,UgxTGbjsw-U-w-DPxid4AaABAg,0,2 years ago,"i from indonesia like the nature, don't forget my channel subscriber",我来自印度尼西亚的大自然，别忘了我的频道订阅者
9730,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9HW0-eznriR,0,2 years ago,you guys might want to visit my channel for art vids?,你们可能想访问我的频道进行艺术视频？
9734,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9I7TedzZZ8_,0,2 years ago,man as a food channel myself. i feel ashamed putting my videos next to her,我自己是一个食物频道。我as愧地把视频放在她旁边
9737,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9IMle-2RVSQ,0,2 years ago (edited),@foodoscar you dont need to spam her channel for views,@foodoscar，您不需要向她的频道垃圾邮件以获取视图
9740,Ugxp8IwiX_yjUPV67hV4AaABAg,0,2 years ago (edited),"i have a distraction, and i am pleased with a communication and correspondence, and his love increased more, but so far i have confessed to something. today, my family, they decided to go to the sermon, rawan, to mortada, and this is the biggest joy of the line. we take off my dog ​​every hour.
mother: i am a lofty with a wage, when i am tired and my fatigue today.
hoda: there is no rug with the possibility of his neighborhoods.
mother: fadwwah for the dawn of the house of the house
hoda: i do not want to want to keep me.
ahmed: what is a rising boss, with a righteous, hahaha
he ruined his day, forgive me from this
hoda: ha -ha -ha -ha, no darling,
ahmed: by god, you are the girls, they are darkened after you dream of a horse
hoda: my darling, complete your way and his dreams with his dreams
ahmed: i swear by god, i will repel you
i went to my mother, and i went to sleep.
yasser: the day of the time, god willing
hoda:......
yasser: hoda, i love and address to me
hoda: yasser
yasser: his eyes
hoda: i love you
yasser: here is my shape
hoda: hahahahahahahahaha
yasser: my form
hoda: i did not
yasser: attractive, and god heard
hoda: what i heard
yasser: hoda, to let my dog, eidi al -hajjiti, before shui, because he heard
hoda: if you hear what she walked, why do you ask hahaha
yasser: he destroyed it with his horses
hoda: hahaha
yasser: if it is not a horse on her feast
hoda: maaanah hahaha
yasser: haha, ok, with a need, is the well -being
hoda: aaaaaa. i love you and become good, hahahaha
yasser: lacofi. his closure was broken
hahahaha
yasser""
simple hadawi, my dog ​​will be stingy on him with this word, hahaha, ashamed of me, my love, i called her mother, my mother
mother: alo, hala yam, yousouri
yasser: all al hala big
mother: how are you, your brother, mohamed shalonah
yasser: thank god, you are fine, how are you?
mother: praise be to god, fine. its time
yasser: how many days and naji, god willing
mother: god willing
yasser: eat his mother
mother: hajji, hear you
yasser:
mother: oh, this is the blessed hour
yasser: hahaha
mother: but, where is her for her to know her, her people know you, how are you?
yasser: .......
mother: oh, hey, and yes, the choice is forgiven, and my hand is the girl of origin
yasser: god is generous, but he is the father of the father, and keshi is easy, god willing
mother: olide spoiled
yasser: let's take his mother
mother: god and you are safe
i forbade the contact, my mother, and i am more happy, but the tact of her argument with a reasonable head, what is it.
i went to abraham for his pill as a d'or who will be on the only one on the mobile and laughs.
ibrahim: draw baba, you are after you
yasser: hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
ibrahim: and god has the right that i am a young man and my head is sixty luck ... after him he performs hajj and raised his eyes on him
ibrahim: what is the daughter of muhammad. you all love you .... i shook my head
yasser: hi, the daughter of my dog
ibrahim: hahaha, may god grant you success, and you will be your share that i did not bear your luck and his bloc.
yasser: receive your eyes, dear, but you see that i am afraid, and they do not reject its people, and god is the one who turns the world on them if they do not want it
ibrahim: ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser: ha -ha -ha -ha -ha, i will go to it, i will cook it
ibrahim: get up your house from the growth of yesterday. listen to you, you will be slaughtered.
yasser: ha -ha -ha -ha
ibrahim: ambine and laughter
his chastity completes his correspondence and i slept. to complete the story, subscribe to my channel and continue the events","我分心，我对交流和信件感到满意，他的爱增加了，但是到目前为止，我已经承认了一些事情。今天，我的家人决定去讲道，罗丹（Rawan）去莫特达（Mortada），这是界限中最大的快乐。我们每小时都会脱下我的狗。
母亲：当我疲倦和今天的疲劳时，我很崇高。
霍达：他的邻居的可能性没有地毯。
母亲：fadwwah是房子房子的曙光
霍达：我不想留住我。
艾哈迈德（Ahmed：
他毁了自己的一天，从中原谅我
霍达：哈哈-ha -ha -ha，不亲爱的，
艾哈迈德：上帝，你是女孩，梦见一匹马后，她们变黑了
Hoda：亲爱的，通过梦想完成您的方式和他的梦想
艾哈迈德：我是上帝发誓，我会击退你
我去找妈妈，然后去睡觉。
Yasser：当时的那一天，上帝愿意
霍达：......
Yasser：Hoda，我爱我
霍达：Yasser
亚瑟：他的眼睛
霍达：我爱你
Yasser：这是我的形状
霍达：哈哈哈哈哈哈哈哈哈
Yasser：我的形式
霍达：我没有
Yasser：有吸引力，上帝听到了
霍达：我听到的
Yasser：Hoda，让我的狗，Eidi al -hajiti，在Shui之前，因为他听到了
霍达：如果您听到她走了什么，为什么要问哈哈哈
亚瑟：他用马摧毁了它
霍达：哈哈哈
Yasser：如果不是她的盛宴上的马
Hoda：Maaanah Hahaha
Yasser：哈哈，好的，有需要的是井
Hoda：Aaaaaa。我爱你，变得很好，哈哈哈哈
Yasser：Lacofi。他的关闭被打破了
哈哈哈哈
Yasser”
简单的哈达维，我的狗会用这个词对他来说，哈哈哈，我的爱感到羞耻，我叫她的母亲，我的母亲
母亲：Alo，Hala Yam，Yousouri
Yasser：All Al Hala Big
母亲：你好吗，你的兄弟，穆罕默德·沙洛那
亚瑟：谢谢上帝，你很好，你好吗？
母亲：赞美上帝，很好。是时候了
Yasser：几天和纳吉，上帝愿意
母亲：上帝愿意
Yasser：吃他的母亲
母亲：哈吉，听到你
Yasser：
母亲：哦，这是有福的时刻
Yasser：哈哈哈
母亲：但是，她在哪里认识她，她的人民认识你，你好吗？
Yasser：.......
母亲：哦，嘿，是的，选择是原谅的，我的手是原籍女孩
Yasser：上帝很慷慨，但他是父的父亲，Keshi很容易，上帝愿意
母亲：olide宠坏了
Yasser：让他的母亲
母亲：上帝，你很安全
我禁止接触，我的母亲，我更加高兴，但是她以合理的头脑争论的技巧是什么。
我去亚伯拉罕（Abraham）作为D'或将在手机上唯一的笑声并笑的人。
易卜拉欣：画巴巴，你在追随你
Yasser：Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah，Ah，
易卜拉欣：上帝有我是一个年轻人，我的头是六十个运气...在他之后，他表演了朝j，并向他抬起眼睛
易卜拉欣：穆罕默德的女儿是什么。你们都爱你...我摇了摇头
Yasser：嗨，我的狗的女儿
易卜拉欣：哈哈哈，愿上帝赐予你成功，您将是您的分享，我不承担您的运气和他的众多。
Yasser：亲爱的，您会收到您的眼睛，但您会看到我害怕，他们不拒绝其人民，而上帝是那个在他们不想要它的世界上转向世界的人
易卜拉欣：ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser：ha -ha -ha -ha -ha -ha，我会去，我会做饭
易卜拉欣：从昨天的成长中起床。听你说，你会被屠杀。
Yasser：ha -ha -ha -ha -ha
易卜拉欣：男生和笑声
他的贞操完成了他的信件，我睡了。要完成故事，请订阅我的频道并继续活动"
9755,Ugy623EvCrkw66KPs3R4AaABAg,0,2 years ago,would you like to subscribe to my channel?,您想订阅我的频道吗？
9779,Ugy6pWpzCyT6U_wI4Cp4AaABAg,0,2 years ago,"i liked the hello channel, i liked the video very much. you like it and subscribed to the channel. i will wait for you too...",我喜欢Hello Channel，我非常喜欢该视频。您喜欢它并订阅了频道。我也会等你...
9805,UgyvI6ZT3cu9K0Wibtl4AaABAg,0,2 years ago,i am also preparing the same channel for myself on the same topic. kind world and all the best!,我还在同一主题上为自己准备同一频道。善良的世界，一切最好！
9812,Ugxok50CIYHNz3bkfVl4AaABAg,0,2 years ago,https://www.youtube.com/channel/uctnwmpiqfdqtviqxubsuwmw?sub_confirmation=1,https://www.youtube.com/channel/channel/uctnwmpiqfdqtviqxubsuwmw?sub_confirmation = 1
9838,Ugypgn52jPImZeHfPOV4AaABAg,0,2 years ago,visit our channel plz,访问我们的频道PLZ
9872,UgwFhsX19EltVwCxYhN4AaABAg,0,2 years ago,https://www.youtube.com/channel/ucwi-2m_3v9uswgye3pku-tq,https://www.youtube.com/channel/ucwi-2m_3v9uswgye3pku-tq
9920,UgyutMqk9lkQLf0NRfp4AaABAg,0,2 years ago,"hi visit our channel
","嗨，访问我们的频道
"
