,cid,votes,含channel,含channel中文翻译
26636,Ugw0nPWFiCV780GSHFN4AaABAg,0,hello! is there any of the cis countries? it is interesting to know very much about this channel and super needlewoman,你好！有任何顺式国家吗？非常了解这个频道和超级针女的人很有趣
26591,UgyoX1jw2rePyU-xu6R4AaABAg,0,"you have the most beautiful life, one which i would say most want including myself. i wish you be best and watching your channel gives me a sense of peace which i normally don't have. so thank you very much.",您拥有最美丽的生活，我会说最想包括我自己的生活。我希望您能保持良好，看着您的频道给我一种和平感，我通常没有。所以非常感谢。
31443,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVRveFIy5B,0,"this is the only channel, it’s right.",这是唯一的频道，是对的。
25750,UgzFKAYXLsfVtt2mekl4AaABAg,0,absolutely beautiful. came from the game grumps. this is definitely a one of a kind channel.,简直美极了。来自游戏脾气暴躁。这绝对是一个渠道。
31445,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVhKT62kmJ,0,"@fayrosa this video uploaded in chinese website bilibili few days ago, so that channel steal and upload. this channel is the only one official in youtube.",@fayrosa几天前在中国网站Bilibili上载了此视频，因此频道窃取和上传。该频道是YouTube中唯一的官员。
24679,UgyNWVR-SSahabKi5014AaABAg.8zG5NlnsWzn8zHOinf0s2c,0,"“taste,the chinese recipes show “.i think u need this channel",“品味，中国食谱显示”。我认为你需要这个频道
29381,UgxJbIbzGUdvMLSGA7h4AaABAg,0,you are incredible women such a beautiful channel,你是令人难以置信的女人这样美丽的频道
24557,UgyhrJgFgXXintRQoA14AaABAg,0,"https://www.youtube.com/channel/ucl-n3mpp5wxkylcqaokk_5g?app=desktop


please subscribe my youtube channel","https://www.youtube.com/channel/ucl-n3mpp5wxkylcqaokk_5g?app=desktop


请订阅我的YouTube频道"
24533,UgxRYjUQAvJckq8cRWh4AaABAg,0,"this is my favorite, thank you for sharing this video, hope you visit also in my small channel,",这是我的最爱，谢谢您分享此视频，希望您也会在我的小频道中访问
31740,UgxkHVu4WIiZpmwErfV4AaABAg,0,"seriously, this channel is the best !!! 
it's help you relaxing so much .. it really helps me to release my stress.. omg !","说真的，这个频道是最好的！！！ 
这可以帮助您放松很多。.确实可以帮助我释放压力..天哪！"
28245,Ugzmyb7J-jHverIhl5F4AaABAg,0,"she is a princess from wonderland. everything she did is amazing. i am desiring to make a cooking channel but honestly, every single thing is so hard for me. should i give up?:(",她是仙境的公主。她所做的一切都很棒。我希望制作一个烹饪渠道，但说实话，每件事对我来说都是如此困难。我应该放弃吗？：（
24490,Ugy85Qc0kRmY92s91rN4AaABAg,0,super. https://www.youtube.com/channel/ucxgbyevpahnxzrugvu-rkia,极好的。 https://www.youtube.com/channel/ucxgbyevpahnxzrugvu-rkia
24484,Ugz-i07G5BCh3PBW4P14AaABAg,0,"i ask you to support my sister. send the channel link to friends and do not forget to subscribe and click on the ic
https://www.youtube.com/watch?v=p2gj37sxhu8&feature=share","我请您支持我的姐姐。将频道链接发送给朋友，不要忘记订阅并单击IC
https://www.youtube.com/watch?v=p2gj37sxhu8&feature=share"
24447,Ugx8hpj64ax8Bym2ei54AaABAg,0,hello i'm vietnamese i really like your channel ❤️,你好，我是越南人，我真的很喜欢你的频道❤️
31787,Ugwutbt7owtuij6EG-Z4AaABAg,0,who vietsud for your channel is so muddy,谁为您的频道越越野
28262,Ugxt1acllmCdtP5HFd14AaABAg,0,"fellow 李子柒 liziqi viewers, there is 1 channel spamming in the comments of all the recent videos of 李子柒 liziqi, asking viewers to subscribe to its channel. this is unprofessional and unethical. you don't spam and snipe a fellow youtuber's viewers. how do you like it if someone else does that to your channel. fellow viewers, if you see that spam comment, please report the comment as spam to youtube. thank you.",liziqi的观众同胞，在所有最近的liziqi的评论中有1个频道垃圾邮件，要求观众订阅其频道。这是不专业和不道德的。您不会向YouTuber的观众发送垃圾邮件和狙击。如果其他人对您的频道这样做，您会如何看待它。其他观众，如果您看到垃圾邮件评论，请向YouTube报告该评论。谢谢。
24444,UgzsQ4SHnlng5XbbCHp4AaABAg,0,i love this channel with my mind and soul,我以我的思想和灵魂爱这个频道
29698,UgzvuNZ8qm46n4CLjY14AaABAg,0,this is the best content in yt i love this channel and lizi <3,这是我喜欢这个频道和lizi <3的最佳内容
24387,UgzAPZq0paiT2tAi-cN4AaABAg,0,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
32061,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWhxv3h1ql,0,@katelyn252 i'm glad you did! i hadn't seen the news that she got a crew (finally!) i remember she had a condition for a while and was forcing herself through it when her channel had just started. the hate comments were hurting her and her grandma was becoming worried too (poor grandma!) so she had to go on haitus to recruit someone. so so glad she's got a team to help her now!,@katelyn252我很高兴您做到了！我还没有看到她有一名船员的消息（终于！）我记得她有一段时间的状况，并且在频道刚刚开始时就强迫自己通过它。仇恨评论伤害了她，她的祖母也变得很担心（可怜的奶奶！），所以她不得不继续招募某人。非常高兴她有一个团队可以帮助她！
24225,UgywqNHp6W2ZSTo4GBZ4AaABAg,0,"i have always wanted to find chinese cuisine+videos of nature similar to ""china on the tongue"", but it is difficult to find this channel in youtube. i am lucky to find this channel.","一直都想找类似""舌尖上的中国""的中华料理+大自然的影片 但是在youtube比较难找 能找到这个频道太幸运了 影片好有质感啊"
24222,UgxsjtUH9dYvs8PAlq54AaABAg,0,"you are very good at having a great youtube channel, every video is a few views, but only around cs every day.",您非常擅长拥有一个很棒的YouTube频道，每个视频都是几次观看次数，但每天仅在CS左右。
24196,UgwlNNO_IYlQYi0xoW94AaABAg,0,https://m.youtube.com/channel/ucz2aau9aiglc5sf2aqz9vrg,https://m.youtube.com/channel/ucz2au9aiglc5sf2aqz9vrg
32075,UgygKkeSCgXC5-93ENt4AaABAg,0,"idk, but i watched 'dis content 4 days ago.
li ziqi cuisine
https://youtu.be/pfrj3oyij_i

i just noticed that it wasn't your official channel when i got the notiff.","idk，但我在4天前看了“ DIS”。
Li Ziqi美食
https://youtu.be/pfrj3oyij_i

我只是注意到，当我获得Notiff时，这不是您的官方频道。"
32256,Ugw8B9LmfahRAIBsyFF4AaABAg,0,"is this repost? 
i think i watch it yesterday but not in her official channel so i thought it just old vid but how? or maybe i wrong","这是重新发布吗？
我想我昨天看过它，但不在她的官方频道中，所以我认为它只是旧的vid，但是如何呢？也许我错了"
24073,UgxAGMBUsep4gzQzZ5R4AaABAg,0,"i happened to saw one video. and just keep on waching one after another......really good to see you plucking up the vegetable from own yard and cooking the same..as well as the old style of cooking...in old types of vessels.....without touching or harming the nature...
one small question do you really do it yourself or have some servants at home? 
do you sell the vegetables in market ?
nice channel....love from india.","我碰巧看了一个视频。然后继续互相打磨……真是太好了，看到您从自己的院子里拔出蔬菜并烹饪相同的蔬菜。 ...没有触摸或伤害自然...
一个小问题，您真的自己做还是在家有一些仆人？
您在市场上出售蔬菜吗？
不错的频道....来自印度的爱。"
32308,UgwzuJ-B4Pc5-KrW9DN4AaABAg,0,"i really like your video channel. i am a vietnamese. it also creates a channel for the farmers' father. if possible, visit your father's channel.",我真的很喜欢您的视频频道。我是越南人。它还为农民父亲创建了一个渠道。如果可能的话，请访问父亲的频道。
24046,UgwLhi8r9ENyfBF45bN4AaABAg,0,"how many people love the channel
reply me","有多少人喜欢频道
回复我"
27385,UgwJN98wgL0F39DTZol4AaABAg,0,how much people in ur home ? it's so nice channel,你家里有多少人？太好了频道
24637,UgzjI7GY4mj2mIHCVeZ4AaABAg.8zGiDawdmiN8zMmMEXljC1,0,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
24692,Ugy-u5FsOxEJx9j5VaB4AaABAg,0,please watch my channel,请观看我的频道
31446,Ugxy1xBlyl-Zdfxh0xV4AaABAg.8yVDFaGoqFO8yVhVSC3Pa9,0,sometimes she will upload to youtube delay a little. if you want to follow her as soon as possible you can also go to bilibili too. but she always upload to this channel,有时她会上传到YouTube延迟一点。如果您想尽快跟随她，也可以去比利比利。但是她总是上传到这个频道
24694,UgzxLSMjrcqF80sPHvN4AaABAg,0,plis subcribe my channel,plis将我的频道施加
25659,UgwgtZ3hlsmFGc00OVV4AaABAg,0,"find me https://www.instagram.com/leadergulo01/
subscribe to my chanel here:
https://www.youtube.com/channel/uc9o4c3irkpl5szufdea35nq","找到我https://www.instagram.com/leadergulo01/
在这里订阅我的香奈儿：
https://www.youtube.com/channel/uc9o4c3irkpl5szufdea35nq"
25635,UgwadvoeucCVP_IILO14AaABAg,0,ur youtube channel!....it's so addicting,UR YouTube频道！
25632,UgzoZtewxWHFusHEi4R4AaABAg,0,it seems that china banned youtuber so how do these friends subscribe to the channel and post it,似乎中国禁止YouTuber，所以这些朋友如何订阅频道并发布
25614,UgxtbTec_32f-O-IEEx4AaABAg,0,first of all i would like to this liziqi channel to bring me and artful beautiful cooking i really wondered receipe from bamboo shoot and vegetables,首先，我想进入这个Liziqi频道，为我带来我和巧妙的美丽烹饪，我真的想知道从竹芽和蔬菜中收到的收到
31456,UgztGjCpfO9RGs3ExjB4AaABAg,0,what’s happened to the english translation? i so love this channel,英语翻译怎么了？我很喜欢这个频道
25423,UgygWzVKkyv31ygbNKV4AaABAg,0,i really love this channel,我真的很喜欢这个频道
31488,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yWBTq8Gkp5,0,@amyding5282 actually i was kind of confused about how she manages to post on youtube. i'm thankful that she can because this is one of the rare youtube channels that i can watch without regretting it.,@amyding5282实际上，我对她如何在YouTube上发布的方式感到困惑。我很感激她可以，因为这是我可以观看的罕见YouTube频道之一，而不会后悔。
31495,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yyq6o-cp0n,0,"@lauralong3072 vpn is easy to access in china. these days, most of the video providers in china have both domestic and foreign channels.",@Lauralong3072 VPN在中国很容易访问。如今，中国的大多数视频提供商都有国内和外国渠道。
25399,UgymFeZPe5LL_SJEygJ4AaABAg,0,ua then this is the channel of vietnamese or chinese,ua，这是越南或中文的渠道
31523,UgzVpufJ9IsLfEtnNn54AaABAg,0,it's a good day when i see a new video in this channel,这是我在此频道中看到新视频的好日子
25318,UgybGRkCTfK5RmbQS3F4AaABAg,0,"hi, i really love your cat videosin your channel. i also havea channel and want to expose it more from people. it would be nice if you can check it out and leave a like and comment . my cats are very special and have their own amazing things they do.",嗨，我真的很喜欢您的猫视频您的频道。我也有频道，想向人们展示更多。如果您可以检查一下并发表评论，那就太好了。我的猫很特别，他们有自己的惊人事情。
25159,Ugwemc5Hr_4accSc6z94AaABAg,0,who recocording and edits your videos? great channel ♡,谁重述并编辑您的视频？伟大的频道♡
25137,UgyXliDbuQzfvagtEux4AaABAg,0,i love this video and your channel,我喜欢这个视频和你的频道
25091,Ugxx19Ia0ByhC1paplt4AaABAg.8z8FXQ1aC7C8zMmHrkAEJ-,0,@vicw1189 i hope you subscribe to my channel on chile's channel,@vicw1189 我希望你订阅了我在智利的频道问候
25090,Ugxx19Ia0ByhC1paplt4AaABAg.8z8FXQ1aC7C8zMmG_6gn0X,0,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
31613,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP92Bvj-u21Ip,0,i totally agree with you gary. your comment is just as sweet as this video. i just found this channel yesterday and started watching one by one. your friend from canada living in china!!!,我完全同意你加里。您的评论与此视频一样甜。我昨天刚刚找到了这个频道，并开始一一观看。您来自中国加拿大的朋友！！！
28144,Ugzg-1XAUChLswGZLN14AaABAg,0,"@yundengogo it would be nice if the people doing subtitles could only translate what is being said or the words shown on screen in the video.. any additional information or cooking tips (like ""careful when trying this at home, we don't want fermented finger tips or nails"") might be funny but they should be said in the comments and not the subtitles.. otherwise it's just going to be confusing to figure out which words come from liziqi and which ones were added by a random person who has nothing to do with the channel",@yundengogo，如果执行字幕的人只能翻译所说的话或视频中显示的单词。发酵的手指秘诀或指甲”）可能很有趣，但应该在评论而不是字幕中说。与频道无关
29800,UgzjellAlDKj5uVx5PR4AaABAg,0,this channel is beyond amazing. i am so glad i found it. i really wish american food was this fresh. its sad really! keep maling videos please :),这个频道令人惊叹。我很高兴找到它。我真的希望美国的食物如此新鲜。真的很伤心！请保留Maling视频:)
24920,Ugw-UT2Kk9B85lomUzB4AaABAg,0,"very natural place 
i really enjoyed this channel.. 
from india","非常自然的地方
我真的很喜欢这个频道。
来自印度"
24918,Ugwc4rPauCvqwCXeQqR4AaABAg,0,good channel,好频道
31666,UgyBi0yH9o72VzKVnLN4AaABAg,0,https://youtu.be/soufafvgxwq please subscribe to my channel foodfied on youtube and support me,https://youtu.be/soufafvgxwq，请在YouTube上订阅我的频道食品并支持我
29703,UgzpH3BE2koNS4RrEgp4AaABAg.8yWSez1D5Ga8yZUd7OELN2,0,"anne godwin 
ive just subscribed to your channel
happy day's anne! 
i agree, with your comment wonderful that she provides english subtitles isn't.
i just love this channel! 
and all the people, who take the time to give a comment, l just enjoy reading them all. 
have a nice day! everybody.♥
moira 
from england.","安妮·戈德温
我刚刚订阅了您的频道
快乐的一天的安妮！
我同意，您的评论很棒，她提供的英语字幕不是。
我只是喜欢这个频道！
所有的人都花时间发表评论，我只是喜欢阅读所有内容。
祝你今天过得愉快！大家。♥
莫伊拉
来自英国。"
24745,UgygIvogoyEBJxfyb454AaABAg,0,"i watch your channel like a fairy tale! everything is very beautiful, stylish and delicious! when there is no way to live like that, but there is an opportunity to watch it!",我像童话故事一样看着你的频道！一切都非常美丽，时尚和美味！如果没有这样的生活，但是有机会观看它！
24014,Ugy0ktlis_C-bjivXtR4AaABAg,0,this channel is amaizing. just wow.,这个频道正在amaizing。哇。
41,UgwFheWyL7BOmi1B--14AaABAg,0,"mam why did you stop your channel?
please continue your channel.","妈妈，你为什么停止频道？
请继续您的频道。"
20014,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9dxdBwek9YP,0,"there are people who hate china because it is the first world power already, i think it is more than the channel itself that is wonderful",有些人讨厌中国是因为它已经是第一个世界大国，我认为比频道本身更美好
6403,Ugx-nkXFA6HGyi2Adnx4AaABAg,0,"my channel, god willing, will reach the strongest challenge channel. the world needs a visionary or constructive criticism, but your vision is important to me. i can be one of the celebrities, and i will not be a follower.",我的频道，上帝愿意，将达到最强大的挑战渠道。世界需要有远见或建设性的批评，但您的愿景对我来说很重要。我可以成为名人之一，我不会成为追随者。
6555,UgzjtcEc1YQ_o0QrzC54AaABAg,0,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
6598,UgwlzFgTnE4aVEFhAG14AaABAg.9EeiP8dl6ry9FBjt6qBjXi,0,#gurukriparasoino1 ๐‘ please subscribe my channel & press th bell icon for delicious food recipe...please support my channel,＃Gurukriparasoino1
6642,UgzELoDsfIM4Ka2zS4Z4AaABAg,0,mare channel ko subscribe kijiye please friendsร s,母马频道KO订阅Kijiye请友好
6686,UgyRELYYRdQkemToXMd4AaABAg,0,"visit my channel 
https://youtu.be/vgyzifwzmuw","访问我的频道
https://youtu.be/vgyzifwzmuw"
6723,Ugy57rd1SWfWsMcLlgt4AaABAg,0,i love this channel๐,我喜欢这个频道
6783,UgznMArxVZY6Y6RllHR4AaABAg,0,"please allow the owner of the channel. requesting permission to link links, live life clips the fern leaves are also broken. ๐https: //youtu.be/3ni5ch2ujrq",请允许频道的所有者。请求许可链接链接，现场生活剪辑蕨叶也被破碎。
6938,UgwJ_g80ttND0BfB52Z4AaABAg,0,"if you turn very well, i really like it, please go to my youtube channel to watch and subscribe to the channel to support me",如果您的状况很好，我真的很喜欢，请转到我的YouTube频道观看并订阅频道以支持我
6946,UgwsFyITxEZkePDE9y14AaABAg,0,best youtube channel...beauty everywhere,最好的YouTube频道...到处都是美丽
7054,UgzjjW8bgLvOyf3vDVl4AaABAg,0,i like it channel,我喜欢它的频道
7129,Ugz2xs55OBaxDyM1yPJ4AaABAg,0,"click brother server sleage welcome welcome my channel my channel my channel my channel my channel my channel my channel me ok, which is not going to damage channel me. & like..",单击兄弟服务器的lake欢迎欢迎我的频道我的频道我的频道我的频道我的频道我的频道我的频道我好的，这不会损害我的频道。
7158,UgzUymwK5EJiJDDUXW54AaABAg,0,"the girl is sure
hello everyone, visit the channel to support me","女孩确定
大家好，访问频道支持我"
7222,UgwDwEXcfXTxWP2CouF4AaABAg,0,"baby the first time in the mcdonalts ๐”๐๐ผ๐ฅ๐ฅค๐ฅก๐ฆ๐‘๐‘๐‘
https://youtu.be/4nhtr0tyhze
open the link and subscribe to the channel","宝贝，第一次在麦当劳
https://youtu.be/4nhtr0tyhze
打开链接并订阅频道"
7271,UgzelCprbMCSuh9uCFF4AaABAg,0,"https://www.youtube.com/channel/ucekl8iuxfmioggqi6fa_esq

please subscribe this channel","https://www.youtube.com/channel/ucekl8iuxfmioggqi6fa_esq

请订阅此频道"
7275,UgyR-a0pNVJrOKfJded4AaABAg.9D6RosY7uzG9DAzxCkaeV6,0,support my youtube channel,支持我的YouTube频道
7277,UgzelCprbMCSuh9uCFF4AaABAg.9D4rSjGRDvy9DB--EnrIrj,0,please support my youtube channel,请支持我的YouTube频道
7298,UgxHGf4JOqKQRx3cu8N4AaABAg.9D3URcKf-cq9DB-1SCTG3B,0,support my youtube channel,支持我的YouTube频道
7314,UgwH7lWffI0T96yREsV4AaABAg,0,"https://www.youtube.com/channel/uc4bibeynhfycj8xnvq0nmmw?sub_confirmation=1

love youโค","https://www.youtube.com/channel/uc4bibeynhfycj8xnvq0nmmw?sub_confirmation = 1

爱你"
6540,UgwRQfIQRx-3YbVlQlp4AaABAg,0,wow you are a very talented amazing lady you van do everything by the way where are your parents and dont yo have a boyfriend i just browse your channel accidentally ang i love it so much wow what a gifted lady you are,哇，你是一个非常有才华的女士，你货车做了一切，然后你父母在哪里，你没有男朋友，我只是意外地浏览你的频道，我非常喜欢它
6123,UgzHHroDozG-C7F3qMF4AaABAg.9F-etG6-Osu9I0hUznq_2G,0,"encourage me for more nature videos like, share, subscribe to my channel friends .. natural bird sounds https://youtu.be/ezfmbkjcevy",鼓励我制作更多自然视频，例如，分享，订阅我的频道朋友。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
5531,UgyigNTm9ozw114n2NJ4AaABAg,0,"i am a fan of your channel, and i have followed you for a long time.",我是您频道的粉丝，并且我已经跟随您很长时间了。
6044,Ugz5_dwIXSYb1_-aTYJ4AaABAg,0,"hi guys 
how are you
i created a new channel for animals forest so i need your support 
1- subscribe 
2- comment 
3- like 
๐นโค๏ธ","嗨，大家好
你好吗
我为动物森林创建了一个新频道，所以我需要您的支持
1-订阅
2-评论
3-喜欢
"
5583,UgxXBQJHMAtqnbiZK9l4AaABAg,0,"new content in our channel, please subscribe and activate the alerts button to receive all new
https://youtu.be/8d7skurfdhq
new content in or channel, please subseibe and active the alerts button to read all new content ...","我们频道中的新内容，请订阅并激活“警报”按钮以接收所有新的新内容
https://youtu.be/8d7skurfdhq
新内容或频道中，请subseibe并活动“警报”按钮以读取所有新内容..."
5595,UgzY48n0KHW0jKBksbh4AaABAg.9G8OVTterlX9IHZtpp0ACy,0,"please ,connect my channel with you too,.",请，也将我的频道连接在一起。
5657,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9HUgCmOKBXm,0,@theboboiboychannel2411 yeah not abusing animals is totally a boomer thing.,@theboboiboyChannel2411是的，不滥用动物是一个蓬勃发展的事情。
5728,UgxofJmcUWnB6Xngr8l4AaABAg,0,i just found her channel and must say she is really so much hard working while i am complaining about my internet being slow she is working without complaining,我刚刚找到她的频道，必须说她真的很努力地工作，而我抱怨我的互联网很慢，她在不抱怨的情况下工作
5740,Ugz9qhmAyriatDmk3wB4AaABAg,0,"please watch and subscribe to my channel
@frau","请观看并订阅我的频道
@frau"
5805,Ugz7ymgWeNhioJn3qY14AaABAg.9Fc5pfmNbNk9FeqlHLZcAh,0,@lukmanhakim-ys6nk nope there is a video on her channel where she says sheโ€s chinese. so iโ€ll take her words as the truth.,@lukmanhakim-ys6nk noph noph noph noph noph频道上有一个视频，她说她是中国人。因此，我将她的话视为真理。
5862,UgxQGCyBLj7jUcTzwdV4AaABAg,0,my favourite channel.,我最喜欢的频道。
5874,UgwEqvRy1sIGMD9avhN4AaABAg,0,"cooking channel where they subscribed
https://www.youtube.com/channel/ucat5bolzt_t5s_arodc9vlq","他们订阅的烹饪渠道
https://www.youtube.com/channel/ucat5bolzt_t5s_arodc9vlq"
5908,UgytW49jddhSRdMqP3J4AaABAg,0,https://www.youtube.com/channel/ucz8uyhhaao2w_ukmjtfneya,https://www.youtube.com/channel/ucz8uyhhaao2w_ukmjtfneya
5950,Ugy_43VmM3TLgWlkxWt4AaABAg,0,"fans (liziqi), can i help me? ..

i am from sabah, just a month open youtube channel cover, please support me? .. please subscribe to my youtube channel, don't forget to watch my video cover guys

~ may all the people see my comment, i wish you a cheap sustenance and a long life, amen

i want to be like a successful youtuber2, hmmp๐”๐” .. hope you can help ๐‘๐‘
#accept_kasih_admin_channel_ini๐","粉丝（Liziqi），我可以帮我吗？

我来自沙巴，只有一个月的打开YouTube频道封面，请支持我？

〜也许所有人都看到我的评论，祝您廉价的寄托和长寿，阿们

我想成为一个成功的youtuber2，hmmp
＃ACCEPT_KASIH_ADMIN_CHANNEL_INI"
5959,UgxK-nh0xoNwtIgV63V4AaABAg,0,do i find an arab here who subscribes to my channel,我在这里找到一个阿拉伯人订阅我的频道吗
5962,UgwU7hua50Hlhlv5W_N4AaABAg,0,https://www.youtube.com/channel/uc8nbq3fakvx1d6vuohrhr6g,https://www.youtube.com/channel/uc8nbq3fakvx1d6vuohrhr6g
5972,UgwRwwxe31pJjZZaUTh4AaABAg.9FERNfXhq2g9GGN5SdPwlh,0,"if you do nโ€t like it, do nโ€t look at it. please do nโ€t deny the channel where others operate with your heart. when your achievement is greater than others, you are qualified to criticize others.",不喜欢可以别看，请不要否定别人用心经营的频道，当有一天你的成就大于别人的时候，你才有资格批评别人，不要心胸这么狭隘，格局大一点，尊重自己也重别人
5988,UgwPa3VX9qDUoSDeUyh4AaABAg,0,"i am an orphan and poor child, and my channel is modern, and it is a source of my livelihood if you help me spread it, thank you",我是一个孤儿和可怜的孩子，我的频道是现代的，如果您帮助我传播它，这是我生计的来源，谢谢
5993,UgydA7zSxbUwaEtSiGV4AaABAg.9F92CQvgM1Y9FBkCB9iolw,0,#gurukriparasoino1 ๐‘please subscribe my channel & press the bell icon for delicious food recipe ...please support my channel,＃Gurukriparasoino1
5997,UgyurB18N9WkTt6b1td4AaABAg,0,https://www.youtube.com/channel/uctcixhinxmi4-ooqwd-brga,https://www.youtube.com/channel/uctcixhinxmi4-ooqwd-brga
6026,UgyduHN2zgUQrhV6pw14AaABAg,0,i love your channel and content,我爱你的频道和内容
7315,UgwCNbqstkxzOealxyN4AaABAg,0,from indonesia https://www.youtube.com/channel/uc4bibeynhfycj8xnvq0nmmw,从印度尼西亚https://www.youtube.com/channel/uc4bibeynhfycj8xnvq0nmmw
7324,UgwH7lWffI0T96yREsV4AaABAg.9D-0NINhmfI9DB-4vOgS7L,0,support my youtube channel,支持我的YouTube频道
7325,UgyxwcjfN3ryzRJt7Xh4AaABAg.9Czoyg27bTq9DB-82x13bA,0,support my youtube channel,支持我的YouTube频道
7346,UgxnC2ezK2Z1L-yQMnl4AaABAg.9CxS6-IaQPh9DB-AKsvU7j,0,support my youtube channel,支持我的YouTube频道
7755,UgxU1OM4jW8-2ngb8rR4AaABAg.9CS6u3_D8sI9DB03jfvpXm,0,support my youtube channel,支持我的YouTube频道
7803,UgwTbRE5_3epDjWwA5V4AaABAg.9COTw5aejHl9DB07huE6-V,0,support my youtube channel,支持我的YouTube频道
7815,UgxoGd2fEni-stgFYLd4AaABAg,0,since finding this channel ... love it ... greetings from indonesia๐๐,自从找到这个频道以来...喜欢它...来自印度尼西亚的问候
7838,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CXx7sSgheY,0,@boilenlhouz4557 i have subscribed ur channel,@boilenlhouz4557我已经订阅了ur频道
7841,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9Cn3Ktu7sWv,0,@boilenlhouz4557 i have also subscribed your channel.,@boilenlhouz4557我还订阅了您的频道。
7872,Ugz2hfPdzs3uMfiUqHt4AaABAg,0,"wow

https://www.youtube.com/channel/uc10n1ov5pk2ppv2ysnwjrsg","哇

https://www.youtube.com/channel/uc10n1ov5pk2ppv2ysnwjrs​​g"
7880,Ugz2hfPdzs3uMfiUqHt4AaABAg.9CLTjvuyx4_9DB0CMaXRHL,0,support my youtube channel,支持我的YouTube频道
7881,UgyKz9qEfF39Q7aV7mJ4AaABAg.9CLR7BAm1jv9DB0DsBlQeW,0,support my youtube channel,支持我的YouTube频道
7919,Ugx7PitX0PBVr2SEbNZ4AaABAg,0,can we change the sweetest channel and the most beautiful like and i subscribe and i wish you could visit us,我们可以更改最甜蜜的频道和最美丽的频道吗？我订阅吗？我希望您能访问我们
7959,UgyHD-865nfljga8Hxt4AaABAg,0,please subscribe my youtube channel (shopner shilpo bpa),请订阅我的YouTube频道（Shopner Shilpo BPA）
7974,UgyHD-865nfljga8Hxt4AaABAg.9CFowRLfJ_Z9DB0KrW8ytd,0,please support my youtube channel,请支持我的YouTube频道
7988,UgyBJX_fnjkB76upW9J4AaABAg,0,https://www.youtube.com/channel/ucydcchcoayguxzxumy8mo7q,https://www.youtube.com/channel/ucydcchcoayguxzxumy8mo7q
8001,UgwkHFOB4PMOJvRjImB4AaABAg.9CE2AeL25jP9CKovcwQGT0,0,sabikon nahar hope you visit the channel to support me,Sabikon Nahar希望您访问频道支持我
8016,UgzX3pOzTHCeNN7gGkl4AaABAg,0,enjoy the beauty and humbleness and cooking .. theres no need to speak look and enjoy and learn .. love this channel,享受美丽，谦虚和烹饪。.无需说话，享受和学习。
8035,UgwsPvH_SsLCqXhOXE94AaABAg,0,very good your channels,很好的频道
8051,UgzaqEE7JwDmLAar2id4AaABAg.9C8OJGFMqYp9CFpA47QK_C,0,please subscribe my youtube channel (shopner shilpo bpa),请订阅我的YouTube频道（Shopner Shilpo BPA）
8255,UgzkuG1eXFCRX0cF0wB4AaABAg,0,"please support our channel
https://youtu.be/rpz7rbfzgme","请支持我们的频道
https://youtu.be/rpz7rbfzgme"
7733,UgwCtlTDZzNZf4NlBBd4AaABAg.9CSE-DLXio-9DB01zE4M0a,0,support my youtube channel,支持我的YouTube频道
7707,UgyELadbK9K1am5QDXN4AaABAg.9CUNKUQmqgT9DB0-FsMcz7,0,support my youtube channel,支持我的YouTube频道
7665,Ugy_CguUOBvnnzkWgnV4AaABAg.9CWWB8gFAzd9CWWPgGNlwF,0,"hello, i also have a channel about stones, i expect subscription from you, if possible. thank you. ๐’๐",您好，我也有一个关于石头的频道，如果可能的话，我希望您订阅。谢谢。
7579,UgxXqoS4xLwWAQi1ao94AaABAg,0,subscribe https://www.youtube.com/channel/ucjv9lz5q5ddzpv2uqmvp0eq,订阅https://www.youtube.com/channel/ucjv9lz5q5dddzpv2uqmvp0eq
