,cid,votes,time,含traditional,含traditional中文翻译
29466,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yojVT_eoiA,1,3 years ago,"@paulchen1067 i don't know if it is your understanding of your understanding or not to see it carefully. what i said is ""actually protecting taiwanese netizens and beneficial to taiwan"", not ""to protect taiwan"". although the research and development of firewalls, although it is not subjective to protect taiwan, it objectively protects taiwan and protects taiwan. as for the reasons for the research and development of firewalls, many domestic forums have discussions, which are mainly summarized as:
first, because there are many yellow adult websites outside the wall, these pornographic websites do not have any protection, and children can open it at will. these primary school students who are still studying are not seen. the two children should see these pornographic adult websites when they should not see these things, so it protects my children at least. i am very grateful;
second, many fake news of rumoring and discredited chinese demons outside the wall flies. some people who are not mature are not enough to distinguish. it is easy to be misleading. it is the same as the brainwashing sun flowers in taiwan. the united states. the country is very good at using tools such as the internet and traditional media to combine the right to speak and subvert other countries in combination with the right to speak in the hand. the spring of arabia, which occurred in a series of countries in a series of countries in the middle east, is the united states and other use of the internet hegemony to incite and subvert other countries. the big ""masterpiece"", the current violent turmoil that occurs in hong kong is the same. as long as those who have a little mind and a little international insight can see clearly. assuming that the middle east countries also had comprehensive internet protection measures at that time, they would not be by the united states. using social media such as the internet to easily incite their domestic fighting and turmoil, it ultimately leads to the tragic situation of war, the people's non -talk, refugee flowing, and economic collapse. the history of traditional colonial countries such as the united states and britain used the internet to infiltrate and subvert the country in one day or two. the intelligence department uses the internet and other tools to conduct as many as 39 countries that have infiltrated and subverted other countries. this is what the united states is said in hillary's mouth. china's firewall to a certain extent has a certain blocking effect on this intelligence agency using the internet to incite public opinion and cause social turmoil to ultimately achieve the ""ingenious strength"" of subverting the country's regime. the entire exposure of the eyelids of the anti -chinese countries will be manipulated by the information departments such as the united states, which leads to the chaos in hong kong today. the purpose of trump is to use hong kong as a bargaining chip to the extreme of china to pressure china. in order to eventually occupy more cheap china in the trade war negotiations.
third, in fact, for the consideration of national security, many countries have walls, south korea, and germany, usa, and germany. india envy china to have bat, and it is ready to engage in the wall. after all foreigners, snowden exposed the prism door, especially after the german chancellor merkel's mobile phone was listened to the cia, germany was also building a wall. it seems that this is a trend. the internet has now become a new battlefield. the major countries are developing network troops and building walls crazy, but the forms are different. the united states has long been set off the world in the world. in addition to prism doors, there are also five -eye alliances. the internet world has long been reduced to the colonies in the united states without knowing it. the ability to be capable of capable of has a wall. only those who are unable to build it are going. the american wall is much more advanced than the chinese wall technology. it is difficult to find that this is really a bit embarrassing. in fact, the background is also recording cross -border traffic and even secretly analyzing the content of the mail package. similar words such as ""production"" and ""buying suicide bombs"", and soon, fbi agents came to your house to search. these are keywords and sensitive words monitoring techniques. obviously haha, the chinese wall is a pediatric department compared to the american wall. chinese technology can only monitor itself, and even the technology can not completely make it unable to turn the wall. however, lao and american technology can monitor the world. the gap is really not a little or two, but a generation and two generations.
some people say that china is engaged in net walls to be afraid that domestic people will know what the so -called truth, and the actual situation is exactly the opposite. if you are really afraid of people in the country to know what the so -called ""truth"" and why do you put so more than 100 million domestic in china a year people go out to see ""truth""? can you stop it? are you afraid that more than 100 million people will go out to see the ""truth""? obviously this is conflict. china has more than 150 million people every year, and 130 million foreigners entering china have become the world's largest in the world. one of the tourist destinations, as many as 10 million foreigners living in china, as many as 60 million chinese people living abroad, hundreds of foreign embassies and consulates in china, more than 100,000 foreign media resident reporters, there are more than 10 million international multinational companies and foreign trade companies are held in hundreds of international conferences and large -scale activities in china each year. after 40 years of opening up, china has already been integrated into the world in all aspects. in the era of information such in information, everyone can spread through the global era when everyone picks up a mobile phone, saying that the idea of โ€โ€being afraid of people know what ""truth"" is really naive, and it also proves how ridiculous the guessing people who want to eat melon for granted. essence
the fourth is to protect the growth and growth of its own internet industry. do not want to be occupied by american companies like the same domestic internet as the world. the top ten important network industries in the world are either the united states or in mainland china, and they have begun to enter the global market. the top ten internet companies in the world, each of which each country and the united states are half. other countries are zero. some people once said that there are only two world internet countries. the united states and china (this is permanently set in wuzhen, zhejiang, zhejiang, china. to. mainland china โ€s internet strength is second in the world. although the overall strength is still far behind the united states, it is the only country that is comparable to the united states in the internet field. the european union, india, russia, canada, japan, australia cannot do it, because of the degree of pain, the market, the market, the population, the population, the funds, the language, the policy, the technology, culture, etc. when we laughed at this firewall, we did not know that only from politics, the vision of thinking was so narrow, and the sour people's vision was like a rat, foolish. the internet achievement of the walls of the wall in china is: we have created a set of our own network industry chain, the second largest in the world. and when netizens all over the world brush fb and yt every day, when google's hou, they did not realize that their countries, including some european countries, have become ""colonies"" in the united states of the united states, not only the online market and public opinion were facebook, but they were facebook. foreign network power control dominates other foreign network power control, and the people of their domestic companies must also pay expensive advertising fees and usage fees. and all the personal data of their national and enterprises, all of which are stored in the server of the us internet company giants, have long been safe. in the past two years, fackbook has repeatedly gone out the incidents of leakage of their personal information information and selling. it is one of the proof.
the fifth is to facilitate the management of the network and crack down on cyber crimes. the internet is the same as a real society. every day, a lot of criminal activities are filled with criminal activities. some of them have subverted the country, illegal operations, and criminal criminals, such as online fraud, money laundering, online gambling, mlm, cult transmission ... and police officers in a country it can only be enforced in its own country because of the multinational nature of the internet. if criminals set up the server abroad, and criminal activities such as fraud on ordinary people in the country, the police can only watch them implement criminal crimes against domestic abroad. there is no way to manage it. this is not a good thing for the interests of ordinary people. this wall can filter most of this kind of overseas fraud, gambling, money laundering, etc. most filtering can increase the difficulty of crime of overseas criminal criminals, which is valuable. ordinary people do nโ€t care about turning over the wall, and they do nโ€t touch the law. for example, college students write papers to check foreign language information, etc., and 99%of chinese resources are on the internet in the country. the chinese content outside the wall is added. there are more than 1%. compared to those who do not understand foreign languages, the wall is the real sea. it is just a small puddle on the wall. i am not proficient in foreign languages. individuals are proficient in a foreign language, so there is no great impact on the wall. besides, this firewall does not block all foreign websites outside, but just block part of the content of the country and the people. many foreign websites can be accessed directly. domestic ipv6 users, and some campus networks. education network can directly access foreign websites. many domestic websites, including apps, can also be accessed directly from abroad, such as weibo, douyin, and douyin, douyin, douyin, and douyin, douyin, and douyin, douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin. douban ... you can access it directly from abroad, and the firewall is not intercepted by a knife. there are so many embassies, multinational companies, foreign trade companies, foreign -related institutions, universities, and research institutions. this number is an astronomical figure. so many people are legally used to use external networks for daily work and business. even the official cctv in china is on yt. with the official channel, it can be seen that the role of the firewall is not to block the network and outside the network. the function is obviously filtering, filtering out those things that are harmful to national security and the interests of the people, and retaining beneficial things. a person is sick alone. everyone knows to go to the hospital to see a doctor. when you take medicine and take medicine, you have to remove the germs that endanger your body to keep your body healthy. why can't the internet be filtered out of those bad things and keep the internet be healthy. in short, weighing the advantages and disadvantages and comprehensive considerations, li yuan is more than disadvantaged.
the above just means that i am not ""refuted for refutation."" everyoneโ€s iq, eq, experience, observation, and international vision are different. the depth and breadth of thinking are different, but one thing must be remembered. that is, don't float in the appearance, don't want to be cloudy, but get rid of prejudice and settings, think independently, and approach the essence and truth. in this way, you can truly achieve ""not confused"" without being stupid. break and use.","@paulchen1067 不知道是你的理解力问题还是看得不仔细，我说的是“实际上保护了台湾网民，对台湾有利”，不是说“为了保护台湾”。研发防火墙，主观上虽然不是为了保护台湾，但客观上保护了台湾，既“实际上”保护了台湾。 至于研发防火墙的原因，国内很多论坛上都有讨论，主要归纳为几点： 
一是因为墙外很多黄色成人网站，这些色情网站没有任何防护，小朋友都可以随意点开，这些总不能让那些还在念书的小学生初中生等小朋友看到才对吧，反正我是不希望我家的两个小朋友在不该看到这些东西的年龄看到这些色情成人网站的，所以它至少保护了我家的小孩，我是很感激的； 
第二，墙外很多造谣抹黑妖魔化中国的假新闻满天飞，有些年纪不大还不成熟的人思考力分辨力还不够，很容易被误导就跟台湾那些被洗脑的太阳花觉青一样，美国等国家非常擅长利用互联网和传统媒体等工具结合手中控制的舆论话语权对他国进行意识形态的渗透和颠覆，发生在中东一系列国家的阿拉伯之春就是美国等利用互联网霸权煽动颠覆它国的一大“杰作”，目前发生在香港的暴力动乱也是如此，只要稍微有点脑子有点国际洞察力的人都看得一清二楚，假设当时中东国家也拥有完善的互联网保护措施，也就不会被美国等利用互联网等社交媒体轻易就煽动其国内的内斗和动乱，最终导致如今这些国家战火纷飞、民不聊生、难民流离、经济崩溃的惨状。美英等传统殖民国家利用互联网对它国进行渗透颠覆的历史可不是一天两天了，从乌克兰到摩洛哥，从利比亚到叙利亚，从埃及再到委内瑞拉，据维基解密统计，冷战结束后，美国CIA等情报部门利用互联网等工具对它国进行渗透颠覆搞掉的国家多达39个，这就是希拉里口中所说的美国的“巧实力""吧，毕竟美国掌握着全球互联网霸权和舆论话语权，而中国的防火墙在一定程度上对这种情报机关利用网络进行舆论煽动和造成社会动荡最终达到颠覆别国政权的“巧实力”有一定的阻挡作用，而香港正是因为互联网过于开放，毫不设防，整个暴露在反中国家的眼皮底下，才会被美国等情报部门随意操弄，导致今日香港乱局，而特朗普的目的正是要将香港搞乱作为向中国极限施压的一个筹码，以便于最终在贸易战谈判中占到中国更多便宜。 
第三，实际上出于国家安全的考虑，很多国家都有墻，韩国有，美国俄国德国都有，印度羡慕中国有BAT，也准备要搞墙了，泰国防部建立“天网” 追踪境内全部外国人，斯诺登曝光棱镜门后，尤其是德国总理默克尔的手机被美国中情局监听后，德国也在筑墙，看来这是趋势，网路现在已经成了一个全新的战场，各大国都在发展网络部队，疯狂筑墙，只是形式不一样而已，而美国，早就在全世界布下了天罗地网，除了棱镜门，还有五眼联盟，监视全世界，完全没设防的国家，网络世界早就沦为了美国的殖民地而不自知，有能力的国家基本都有墻，没能力建设的就只有随它去了，而美国的墻比中国的墻技术先进多了，一般人都很难发现，这个确实有点屌，其实后台一样在记录跨境流量甚至暗中抓取邮件包内容自动分析，发邮件人一点感觉都没有，在美国境内上网发表“刺杀特朗普”""轰炸白宫""或“制作”“购买自杀式炸弹”等类似字眼，很快就有FBI的探员来你家敲门搜查了，这些都是关键词、敏感词的监听技术，不像中国的墙简单粗暴，太明显了哈哈，中国墻跟美国墻相比就是小儿科，中国的技术只能监控自己，甚至技术还达不到完全让网民无法翻墙哈，但老美的技术却能监控全世界，中美的技术水平差距真的不是一点两点，而是一代两代。 
有人说中国搞网墙是为了怕国内的人知道什么所谓的真相，实际情况正好相反，如果真是怕国内的人知道什么所谓的“真相”，那干嘛每年还放那么多一亿多国内的人出去看“真相""？挡得住么？不怕这一亿多人出去看到“真相”么，显然这是自相矛盾的，中国每年出国人数一亿五千多万人次，入境中国的外国人1.2亿人次，中国已成为全球最大的旅游目的国之一，在中国生活的外国人高达一千多万，居住在国外的华人高达六千多万，中国常驻有数百个外国使领馆，十多万国外媒体常驻记者，有一千多万家国际跨国公司和外贸公司，每年在中国有数百场国际会议和大型活动召开，历经40年的开放，中国早已全方位深度融入了全球，每年这么多与世界的联系与互动，在资讯这么发达，人人拿起手机随手一拍就能传遍全球的时代，说怕人知道什么“真相”的想法真的极其幼稚，也证明国内那些想当然的吃瓜群众的猜测显得多么荒谬。 
第四，是为了保护国内自己的互联网產业的成长壮大，不希望跟全世界一样国内的互联网全被美国公司佔领。全世界排名前十的重要网络产业，不是美国的就是中国大陆的，而且开始进军全球市场。全球十大互联网公司，中美各占一半，其它国家为零，有人曾言，世界互联网大国只有两个，美国和中国（这点从世界互联网大会会址永久定在中国浙江乌镇就不难看出）。中国大陆互联网实力全球第二，虽然整体实力仍远远落后于美国，却是唯一在互联网领域有机会媲美美国的国家。欧盟，印度，俄罗斯，加拿大，日本，澳大利亚都做不到，因为痛合度，市场，幅员，人口，资金，语言，政策，技术，文化，等等各种因素。当我们在嘲笑这个防火墙的时候，殊不知，只从政治看问题，眼界思维如此之狭隘，酸民眼光如鼠、愚不可及。在中国这设墙的二十多年的互联网成果是：我们打造了一套属于自己的网络产业链，全球第二大。而当全世界的网民每天在刷着FB、YT，谷歌的时侯，他们完全没有意识到自己国家包括一些欧洲国家已经沦为网络经济强国美国的“殖民地”，不仅网络市场和舆论被Facebook、Yahoo、Google等外来网络强权控制主导，其本国企业要接触自己的民众还必须支付昂贵的广告费和使用费等等费用。而把自己国家国民和企业的个人资料，隐私等全部储存在美国互联网公司巨头的服务器里，早已毫无安全可言，过去两年Fackbook公司多次暴出将其用户个人信息资料泄漏出卖的事件便是明证之一。 
第五，是为了便于网络的管理，打击网络犯罪。网络和现实社会一样，每天充斥着大量的犯罪活动，有颠覆国家的，非法营运的，还有刑事犯罪的，比如网络诈骗，洗钱，网络赌博，传销，邪教传播这些……而一个国家的警察只能在其本国境内执法，因为网络的跨国性，如果刑事犯罪分子把服务器架设在国外，而对国内的普通民众进行诈骗等犯罪活动，警察只能眼睁睁看着他们在境外实施对国内的犯罪，却没办法管得到，这对普通百姓的利益绝非好事，而这堵墙能过滤掉大部分这种境外诈骗、赌博、洗钱等针对国内民众的犯罪，虽然不能完全百分百过滤，但过滤大部分，能增加境外跨境刑事犯罪分子的犯罪难度，已经难能可贵了。普通人没事翻翻墙不会管，而且也不触法，比如 大学生写论文翻墙查外文资料等，而99%的中文资源都在境内的互联网上，墻外的中文內容加起來也沒有墻內的1%多，相對于不懂外语的人來說，墻內才是真正的大海，墻上只是一個小水坑而已，不熟练掌握外语，你翻出來也是來到了一片沙漠，因为并不是每个人都精通一门外语的，所以翻不了墙并没有什么太大的影响，况且这个防火墙并不是把所有外国网站全部挡在外面，而只是把一部分的对国家和百姓利益有害的内容拦在外面，国外很多网站是可以直接访问的，国内IPV6用户，还有一些校园网，教育网都是可以直接访问国外网站的，国内很多网站包括APP也可以从国外直接访问，比如微博、抖音、豆瓣......等都可以从国外直接访问，防火墙并没有一刀切地拦截。国内那么多大使馆、跨国公司、外贸公司，涉外机构、高校、研究机构，这数字是个天文数字，这么多人都在合法地使用外网进行日常工作和业务，连国内官方的央视都在YT上开了官方频道，可见防火墙的作用并不是要阻断网内和网外，其功能显然在于过滤，过滤掉了那些对国家安全和百姓利益有害的东西，保留了有益的东西，一个人生病了都知道去医院看医生，打针吃药甚至做手术都要除掉危害身体的病菌让身体保持健康，为什么互联网就不能过滤掉那些坏的东西让网络保持良性健康呢。 总之，权衡利弊，综合考虑的话，利远大于弊。 
以上，只是说明我并不是“为反驳而反驳”，每个人的智商、情商、阅历、观察力、国际视野都不一样，思维的深度、广度也不一样，但有一点是必须记住的，即不要浮于表象，不要人云亦云，而是摆脱成见和定势，独立思考，接近本质与真相，这样，才能真正达到“不惑”，且不会被愚蠢的自以为是绑架，更不会被他人的言辞蛊惑和利用。"
8633,UgxH0vg8AsLBwTV9bZZ4AaABAg,1,2 years ago,kimchi is a traditional korean food in korea. kimchi is a traditional korean food in korea. is a traditional korean food. kimchi is a traditional korean food. kimchi is a traditional korean food in korea. it is a traditional korean food. kimchi is a traditional korean food. kimchi is a traditional korean food in korea. it is a traditional food of korea. it is a traditional korean food in korea. kimchi is a traditional korean food in korea. it is a traditional korean food. it is a traditional korean food in korea. it is a traditional korean food in korea. it is a traditional korean food in korea. it is a traditional korean food in korea. kimchi is a traditional korean food in korea. kimchi is a traditional korean food in korea. kimchi is a traditional korean food. kimchi is a traditional korean food in korea.,泡菜是韩国的传统韩国美食。泡菜是韩国的传统韩国美食。是韩国的传统美食。泡菜是传统的韩国美食。泡菜是韩国的传统韩国食品。这是韩国的传统食品。韩国传统食品。泡菜是韩国的传统韩国食品。它是韩国的传统食品。它是韩国的传统韩国食品。泡菜是韩国的传统韩国食品。它是韩国的传统韩国食品。它是一种传统的韩国食品。韩国的韩国美食。这是韩国的传统韩国食品。它是韩国的传统韩国食品。它是韩国的传统韩国食品。泡菜是韩国的传统韩国食品。泡菜是韩国的传统韩国美食。泡菜是一种传统的韩国美食。泡菜是韩国的传统韩国美食。
7923,UgwTp6gvt6y9pixDLUt4AaABAg,1,2 years ago,kimchi is a traditional korean food. it's not your judgment,泡菜是韩国传统食物。 不是你们判断的问题
2492,UgwtbADk5TuD8lBYTUh4AaABAg,1,1 year ago,you look like a chinese princess and you follow traditional l love traditional so much,您看起来像中国公主，并且遵循传统的L爱传统
21193,UgwxtLufgF0srbfy5xV4AaABAg,1,3 years ago,"translation:
2:23 bing tang hu lu: tanghulu (a traditional chinese snack made of rock coated hawberries or apples)
2:35 peannon sheng zhi ma tang: peanut and sesame candy
2:57 kao ban li: roast chestnuts
4:38 xue hua su: xuehuasu
5:06 mala shou si niu rou gan: spicy dried beef
5:25 man: ""popcorn ~ popcorn.""
li: ""uncle, here, i want popcorn.""
man: ""ok. iโ€ m coming. ""
6:13 bao mi hua: popcorn
6:50 chao gua zi: fried sunflower seeds (usually fried with salt or sugar)
7:11 chao luo hua sheng: fried peanuts
7:39 xiang su dan juan: crispy egg roll
8:15 li: ""granny, you see, i can put it right here.""
8:21 dried mango (mang guo gan): dried mango
9:28 li: ""everything is not. no more to do. oh, wait.""","Translation:
2:23 冰糖葫芦(Bing Tang Hu Lu): Tanghulu (a traditional Chinese snack made of rock candy coated hawberries or apples) 
2:35 花生芝麻糖(Hua Sheng Zhi Ma Tang): Peanut and sesame candy 
2:57 烤板栗(Kao Ban Li): Roast chestnuts 
4:38 雪花酥(Xue Hua Su): Xuehuasu 
5:06 麻辣手撕牛肉干(Ma La Shou Si Niu Rou Gan): Spicy dried beef 
5:25 Man:”Popcorn~Popcorn.” 
Li:”Uncle, here, I want popcorn.” 
Man:”Ok. I’m coming.” 
6:13 爆米花(Bao Mi Hua): Popcorn 
6:50 炒瓜子(Chao Gua Zi): Fried sunflower seeds (usually fried with salt or sugar) 
7:11 炒落花生(Chao Luo Hua Sheng): Fried peanuts 
7:39 香酥蛋卷(Xiang Su Dan Juan): Crispy egg roll 
8:15 Li:”Granny, you see, I can put it right here.” 
8:21 芒果干(Mang Guo Gan): Dried mango 
9:28 Li:”Everything is done. No more to do. Oh, wait.”"
8215,UgxGBiTxjTtqLT-Na8h4AaABAg.9IqZLeYmDTE9ItNMZED0vR,1,2 years ago,"v tran popular youtuber with many subscribers
what can imprint the wrong information

as a korean
leave a comment to make modifications
to inform you

youtube has kimchi
yancheng korean
it was labeled as a traditional food

kimchi
it is a traditional korean food in korea
kimchi is
traditional korean food.","v Tran很受欢迎的YouTuber与许多订户
什么可以烙印错误的信息

作为韩国人
发表评论以进行修改
来）通知你;提醒你

YouTube有泡菜
Yancheng韩语
它被标记为传统食物

泡菜
这是韩国传统的韩国食品
泡菜是
传统的韩国食品。"
8600,UgzHo3aqaIsiEzj5R_t4AaABAg.9IPJhlULlyY9IQMUpyPYGP,1,2 years ago,"the recent video on the channel is made from kimchi dam gugo kimchi stew, but it is a traditional chinese food in the hye -tag.",该频道上的最新视频是由泡菜坝古高（Gugo Kimchi）炖肉制成的，但它是HYE -TAG中的一种传统中国食品。
21707,UgwgLxzletNenH_pNch4AaABAg,1,3 years ago (edited),i love your chinese traditionalist style. keep up with the chinese education. we donโ€t see this often enough. non traditional asian from the west ๐,我爱你的中国传统主义风格。跟上中国教育。我们经常看不到这一点。来自西方的非传统亚洲人
22362,Ugxqt4ueE7Dc_vGDu9t4AaABAg,1,3 years ago,5:55 i was exactly the same as her lol. they make the popcorn in the traditional way which reminds me of my childhood. but i have never see this after grown up. kinda miss this๐ญ,5:55我和她的大声笑完全一样。他们以传统的方式使爆米花使我想起了我的童年。但是长大后我从未见过。 Kinda想念这个
8567,UgzIOu_WyVUvXtxXM6d4AaABAg,1,2 years ago,chinese traditional diet is bat,中国传统饮食是蝙蝠
22670,UgyBT7lL44bJijTqXmd4AaABAg.92oYGg24oay93Dr2kRpeTA,1,3 years ago,"in fact, most of them are traditional chinese crafts, because the development of technology has replaced all this, such learning and records are hard",其实大部分是中国传统工艺，因为科技的发达取代了这一切，这样的学习和记录很难得
4680,Ugzi272HlbmNrKjW_6l4AaABAg.9QjN9q6regU9QjOiQ8znOK,1,1 year ago,"she is in china, sichuan [south western region], li ziqi makes traditional food.",她在中国，四川（西南地区），李齐（Li Ziqi）制作传统食物。
7128,UgxKKgLO_Aj5S5XVhu14AaABAg,1,2 years ago,the traditional way is the best,传统的方式是最好的
22836,UgylT9aj0KduISMQkKp4AaABAg,1,3 years ago,the magical traditional microwave oven,神奇的传统微波炉
14526,UgyJkhMiaXH04REetKp4AaABAg.9AaA4W3ABcq9BCK-Ufieul,1,2 years ago,"yes, very traditional.",是的，非常传统。
10693,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9GCVLlh4bXh,1,2 years ago,yeah it is i live in place like this a traditional village but unfotunately we don't have that much of fruits,是的，我像这样一个传统的村庄，但是我们没有那么多的水果
19115,Ugz1A5Lt2GsLD9vLW3x4AaABAg,1,3 years ago,"what other traditional snacks are you not making? it's too strong, it's just a genius 太",还有什么传统小吃是你不会做的？太强了，简直就是天才
45931,Ugw0Gu5TJHkPcMWiePt4AaABAg,0,4 years ago,your videos are beautiful and i love to see how you prepare those rich dishes with traditional utensils,您的视频很漂亮，我喜欢看看您如何用传统的餐具准备那些丰富的菜肴
45178,UgxK4oK1W5WvS8oN6OV4AaABAg,0,4 years ago,is it a village ...i mean being villager you own quite big land it's so traditional to do every thing with your hands ..amazing,是一个村庄吗？
42809,UgysGxgQ5Ehy45ioJZ14AaABAg.8rX2wKoQhq08rlGWwbi-SZ,0,4 years ago,"where does zijun e, where do you follow? what is ""traditional diet""? the chinese eating habits have been constantly changing. which period do you mean?",子俊鄂 都哪跟哪啊？何为“传统饮食”？中国人饮食习惯一直在不断改变，您指哪个时期？
46250,UgwfYV07W0Ugyvq7Sd94AaABAg,0,4 years ago,"i love this! this could actually pass as an asmr only if there was no bg music. but still i appreciate it. i also love the cinematography.
somehow by watching this, i would like to try some traditional chinese delicacies❤❤","我喜欢这个！实际上，只有在没有BG音乐的情况下，这实际上才能通过ASMR。但我仍然很感激。我也喜欢摄影。
不知何故，我想尝试一些传统的中国美食❤❤"
45121,Ugzkrf0ZUMQBqpqHpul4AaABAg,0,4 years ago,"antique rural life, pure natural handmade traditional snacks",古色古香的乡村生活，纯天然纯手工的传统小吃
43724,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8revtqhh6VL,0,4 years ago,"don't want to sound mean, but this seems to good to be true. it gives me huge propaganda feels. perfect mix of cultural revolution, traditional lifestyle and modern world reduction. a huge big add for a more sustainable way of life? china 2050? 
the message itself is a beautiful one: work hard, live simple, honour your elders and don't copyy the west.","不想听起来卑鄙，但这似乎是真的。它给了我巨大的宣传感觉。文化革命，传统生活方式和现代世界的完美结合。为更可持续的生活方式增添了巨大的巨大添加吗？中国2050年？
信息本身是一个美丽的信息：努力工作，生活简单，尊重您的长者，不要在西方复制。"
43689,UgwDUBhxXoHoYwdp8wV4AaABAg,0,4 years ago,"how come i make you feel at home. the house is comfortable, very traditional. as i want to make it happen if i can come in one place, yes i want it like this. kerennn ... ❤❤",我怎么会让你宾至如归。房子很舒服，非常传统。由于我想在一个地方来实现它，是的，我想要这样。 Kerennn ...❤❤
43661,UgwZm4V-vr2i_YwLPr54AaABAg.8rJU9eK9KjI8r_sxyFsyW0,0,4 years ago,it is the traditional way to fry peanut,这是炸花生的传统方式
42810,UgysGxgQ5Ehy45ioJZ14AaABAg.8rX2wKoQhq08rmQjahD04G,0,4 years ago,"this is called folk culture, not chinese traditional culture",这叫民俗文化，不叫中华传统文化
23118,Ugzh07vnpA9YP8_j3Ih4AaABAg.92YXNc_NN1V92babHgvFMW,0,3 years ago (edited),"this is not a documentary. this is a poetic depiction of traditional chinese rural life. that is why humans need music. humans did not need music to survive during millions of years of evolution, but music makes human life experience more enjoyable.",这不是纪录片。这是对中国传统乡村生活的诗意描绘。这就是为什么人类需要音乐。人类不需要音乐在数百万年的发展中生存，但是音乐使人类的生活体验更加愉快。
42808,UgysGxgQ5Ehy45ioJZ14AaABAg.8rX2wKoQhq08rh_rP2td3r,0,4 years ago,liu shilong's traditional food culture plus modern elements,liu shilong 传统饮食文化加上现代元素嗷
8503,UgzgG65dlc4qTkYKVFB4AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
40592,Ugx6scOkIQCGxkwFCRx4AaABAg,0,4 years ago,all of this are chinese traditional food! i like,所有这些都是中国传统食品！我喜欢
40658,UgzuV8smoTiAgZAPs7N4AaABAg,0,4 years ago,is this intentionally maintained the traditional practice? or is it that people in the small village in yunnan make this?,这是她故意保持传统做法吗？ 还是云南的小村里人们都是这么做菜？
40831,UgylFnnt7YVYQZetcRx4AaABAg,0,4 years ago,"wait, i'm bangladeshi and we also have traditional sesame and peanut candy.",等等，我是孟加拉国，我们也有传统的芝麻和花生糖果。
8506,UgxwVtviid_I-f49GTN4AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
8505,Ugz3KrinNkdeGuY2l9d4AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
8504,UgwYNRrUDtOnDkAinhJ4AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
