,cid,votes,time,含garden,含garden中文翻译
27358,UgyqjPTHhS1Rq92a9Hd4AaABAg.8yfliLOd5im8ymrLiSGCSH,0,3 years ago,kothandan raman the garden is in your heart. just follow it and make your own.,花园里的Kothandan Raman在您的心中。只需遵循它并自己制作即可。
29874,UgzSQrGj-ndNxPJOAst4AaABAg,0,3 years ago,"ohh how lucky your grandma/mother. she eats fresh foods from the garden. what a simple life. this is the prof that money can't buy all things in this world. no preservatives woahhhh! i hope i could go there at your channel hehehe.
from philippines mabuhay ka!","哦，你的奶奶/母亲多么幸运。她吃了花园里的新鲜食物。多么简单的生活。这是金钱无法购买这个世界上所有东西的教授。没有防腐剂woahhhh！我希望我可以在你的频道上去那里。
来自菲律宾Mabuhay ka！"
29820,UgxLk34Is_WtDEOyL1d4AaABAg,0,3 years ago,"so beautiful, all from her garden and growing fresh around her. i saw she used purslane, too! i love it.",如此美丽，全都来自她的花园，周围新鲜。我看到她也用了马推！我喜欢它。
541,UgxbhEdHs9_9SdHaFkB4AaABAg,0,7 months ago,the garden is amazing!!,花园很棒！
19872,UgzsibKyID-UrGCdl1R4AaABAg,0,3 years ago,have the same green beans in my garden...,在我的花园里有相同的绿豆...
22680,Ugwguk6hsFZDXqlgDyF4AaABAg.8zxuOdNdnet9-21P6JizrJ,0,3 years ago,"in china few hundred years ago most people living like that, unfortunately, now quite a lot of people living in the city, small house no more garden, buying everything, forgot what simple life looks like any more :(",不幸的是，在几百年前，大多数人生活在城市中的许多人，现在有很多人住在城市中，不再花园，买东西，忘记了简单的生活看起来不错:(
12144,Ugw4xJpsuXKxIBqiawZ4AaABAg,0,3 years ago,it is such a lot of work to maintain a garden like this. i am really in awe. these episodes are really masterpieces of art and science. thank you so much.,维护这样的花园是如此多的工作。我真的很敬畏。这些情节确实是艺术与科学的杰作。太感谢了。
7026,Ugye6LTvovcjQF09N-l4AaABAg,0,2 years ago,the girl's garden has the whole world in it,女孩的花园里有整个世界
7122,UgzzHo0AYpq6g6uZBs94AaABAg,0,2 years ago,"pandemic brought us fear but in her world, she brought us no fear for tire and abundance of hope, garden plant and harvest, joy for food, self sustained while in city, we had a little to almost no garden for plant but houses",大流行带给我们恐惧，但在她的世界中，她对轮胎和丰富的希望，花园植物和收获，食物的欢乐，在城市中自我维持的恐惧，我们几乎没有花园，而是植物的花园
7294,Ugz0lspUZBIQSxaaGoh4AaABAg,0,2 years ago,good garden,好花园
7300,UgxJ8T5kusuRuTJFRAV4AaABAg,0,2 years ago,"wahhh we also eat those bamboo shoots here in the philippines, her garden looks like our garden here at my place๐ฅฐ",哇，我们还在菲律宾在这里吃那些竹芽，她的花园看起来像我们的花园在我所在的地方
7404,UgxK_w8B74-UYMNP00Z4AaABAg,0,2 years ago,"waw,beautiful place ,and garden waw",waw，美丽的地方和花园纠缠
7408,UgwE7SoOLQXJ29VAzNN4AaABAg,0,2 years ago,it seems like a eden garden,看起来像伊甸园
7467,UgxZHUHaB5oQqjJcWAh4AaABAg,0,2 years ago,"healthy food, everything from the garden itself .. this cool .. amazing",健康的食物，花园本身的一切。
7478,UgwKyvltQzzuemdpqfV4AaABAg,0,2 years ago,thank you liziqi channel ........ food you have to make in summer. you amy who diligently gardening how happy i like see you,谢谢Liziqi频道........您在夏天必须做的食物。你艾米努力地园艺我喜欢见你多么高兴
7781,UgxVc_iZpXIzyoTiQ2R4AaABAg.9CQ4frg_oz-9CSVnA9XpQG,0,2 years ago,"it's not exactly her garden, she lives near other farms and the mountainside. they're just constantly foraging for items.",这并不是她的花园，她住在其他农场和山腰附近。他们只是不断觅食物品。
7792,Ugx6sVyKbx_lKLs_OzR4AaABAg,0,2 years ago (edited),"your essential garden us soooooo healthy
i wish i could also has a healthy garden like you
and in manipuri we called the bamboo shoots as""ushoi""..","您的必需花园我们很健康
我希望我也可以像你一样拥有一个健康的花园
在曼尼普里，我们称竹芽为“ Ushoi”。"
8557,UgxsnzZJqVLGSAyEppJ4AaABAg,0,2 years ago,her garden is her super market,她的花园是她的超级市场
8949,Ugz4lzQEEl5V47HE_Mt4AaABAg,0,2 years ago,the garden is so beautiful and there are good cooking trees ๐’–๐’–๐’–,花园是如此美丽，有好烹饪树
9011,Ugxs0XTS4x3_dSSxr2x4AaABAg,0,2 years ago,she have everything in her garden,她的花园里有一切
9035,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AkgRKb3OR2,0,2 years ago,"@bozhoujin5925 i have never grown my own food until the last 3 years. i so wish i had teachers who handed down the skill to me like liziqi's grandparents did for her. i have had many many failures, but the successes keep me going. i live in the city but have a very tiny garden and grow a lot in pots or indoors. i live in australia, i hope one day to have the space to grow much more of my own food as liziqi does.",@bozhoujin5925我直到最近三年才生产自己的食物。我希望我有老师像利兹奇的祖父母为她所做的那样，将技能传递给我。我有很多失败，但是成功使我继续前进。我住在这座城市，但有一个很小的花园，在盆或室内生长很多。我住在澳大利亚，希望有一天能像利兹基那样有更多的空间来种植更多自己的食物。
9118,UgxkkI7BB3uTlOcVEzV4AaABAg,0,2 years ago,beautiful vegetable garden is so beautiful and not shocked!,美丽的菜园是如此美丽，并不震惊！
9574,UgxuK4XqvOb6AQ3J-G54AaABAg,0,3 years ago,does this girl live in a botanical garden?,这个女孩住在植物园吗？
9653,UgyLriP2hxyTqP-F1vR4AaABAg,0,3 years ago,"in the past my home was also the same as full garden, but now it has turned into an industry ๐ข๐ข will be missed",过去，我的家也和整个花园一样，但是现在它变成了一个行业。
9715,Ugw2P9GyE6CsWz_lArN4AaABAg,0,3 years ago (edited),her kitchen is so masse. but garden is awesome. plz make a video of your garden tour.,她的厨房太大了。但是花园很棒。 PLZ制作您的花园之旅的视频。
9723,UgyM4z5o6FBAqYvciF54AaABAg,0,3 years ago,she don't need cool box. she have a garden,她不需要凉爽的盒子。她有一个花园
10405,Ugwnca7GSKR6W5PL3kp4AaABAg,0,3 years ago (edited),i will love to stay in the province and do this kind of thing gardening and farming.. 100% fresh food,我很想留在该省，做这种事情园艺和耕种。.100％新鲜食物
10424,UgzLWHlZKTWXf1pDAcp4AaABAg,0,3 years ago,pretty hard core gardens you have there,你在那里有很硬的核心花园
10450,Ugxxv58kbziLHgl2DZd4AaABAg,0,3 years ago (edited),she always eat the healty and fresh vege and another all from her garden..,她总是在花园里吃healty和新鲜的蔬菜，另一个全部。
10633,UgwSKm_pWn0iJSglrMx4AaABAg,0,3 years ago,i want her garden,我想要她的花园
11036,UgxId9g1L5p1yxJDkbJ4AaABAg,0,3 years ago,i would honestly love to go to a retreat where i would stay at a host home and live a simple life for a month helping maintain the garden and go out gathering ingredients learning how to cook authentic traditional food,老实说，我会喜欢去静修处，在那里我会住在房屋中，过一个月的生活一个月，帮助维持花园，然后收集食材，学习如何烹饪真实的传统食物
11074,UgyQirZBPbW-spk0Ipt4AaABAg,0,3 years ago,"sister, a whole fruit garden she planted all hae",姐姐，一个整个水果花园，她种了所有
11335,Ugy9gzBGhlIdrn8T5sR4AaABAg,0,3 years ago,i need her garden. lol she really find everything,我需要她的花园。大声笑她真的找到了一切
11529,Ugw2kBgZMPCJhU6oH5Z4AaABAg,0,3 years ago,garden vegetable shengzhen,园蔬胜珍馐
11890,UgwAuMrgZUPBKgA9vSl4AaABAg,0,3 years ago (edited),"new fantasy vietnamese people. but like vietnam real. small people are so chatter. this girl is also good at cooking well.
everything knows how to do it all?

salted, stir -fried, then soup and picking vs from the garden are not new or new.

too good at all.

see that saliva.
are vietnamese girls so good ???



vietnam does not apply.","新的幻想越南人。但是像越南真实。小人们很chat不休。这个女孩也很擅长做饭。
一切都知道该怎么做？

咸，搅拌，然后汤和从花园中摘下vs是新的或新的。

太好了。

看到唾液。
越南女孩太好了吗？？？



越南不适用。"
11894,Ugxa4qYUiAJqRruJwsV4AaABAg,0,3 years ago,very good channel and she is going to garden everyday me market,非常好的频道，她将每天都在花园
6758,UgzVQZFRtnyYZkMSziR4AaABAg,0,2 years ago,this gril has everything in her garden i m just wow,这个Gril在她的花园里有一切，我只是哇
6676,Ugx3_1LnRx6UaLnzlkh4AaABAg,0,2 years ago,everything is in garden... wow...๐๐,一切都在花园里...哇...
6286,UgxVDnGz960f_NWmkKN4AaABAg,0,2 years ago,all fruits and vegetables are there in her garden,所有水果和蔬菜都在她的花园里
4627,UgzSMCsQ7EnO9CZmzIB4AaABAg,0,2 years ago,have you ever seen any shake at your garden,你在花园里见过任何摇晃吗
1180,Ugwv_N-tUMLkZcJgTI54AaABAg,0,1 year ago,wow looks so delicious. you are amazing and your garden is a treasure trove.,哇看起来很美味。您很棒，您的花园是宝库。
1410,Ugx3RcoYKvbos5nlWSd4AaABAg,0,1 year ago,"which region is this in china? but there is a large garden, there is bamboo forest to get bamboo shoots",这在中国是哪个地区？但是有一个大花园，有竹林可以得到竹林
1770,Ugx50t0gUWhi_XmyShB4AaABAg,0,1 year ago,"woah love the surrounding environment
all green and i like your kitchen garden too","哇，爱周围环境
所有绿色，我也喜欢你的厨房花园"
2713,UgziSlbnJBz0citWlvl4AaABAg,0,1 year ago (edited),"when god created humans he placed them in a garden 
like liziqi's","当上帝创造人时，他把它们放在花园里
像liziqi's"
2723,UgxvcODDjFdoZJSAJgV4AaABAg,0,1 year ago,liziqi… the only woman who can make food out garden weeds.,liziqi…唯一可以将食物制成花园杂草的女人。
2987,UgyW1bsSLFxOumuKbmB4AaABAg,0,1 year ago,"harvest vegetables in the home garden, make delicious and crispy southern pancakes.
https://youtu.be/wj6pxhhfgzu","在家庭花园里收集蔬菜，做可口酥脆的南部煎饼。
https://youtu.be/wj6pxhhfgzu"
3018,UgwEN_dGbWBwyc4Zu2h4AaABAg,0,1 year ago,the scenery in the garden is very beautiful .. while taking a smoke gun and make vegetables ..,花园里风景很美..一边拿烟枪，一边做蔬菜..
3263,UgxCkKwsiSGf38ouCrB4AaABAg,0,1 year ago,her videos are so aesthetic and relaxing to watch. but what most people don't realize is that this lifestyle takes a lot of effort. her videos give me inspiration to garden though and cook more from scratch. i just wish she'd share some of her recipes though especially the spices and sauce so i can make them myself.,她的视频是如此的美学和轻松观看。但是大多数人没有意识到这种生活方式需要大量努力。她的视频给我带来了启发花园的灵感，并从头开始烹饪更多。我只希望她能分享一些食谱，尤其是香料和调味料，这样我就可以自己做。
3593,UgysH3gH9NXyKiAQvJF4AaABAg,0,2 years ago,hi liziqi - you are showing orchards with fruits flowers and vegetables. are these all from your garden and in one place. i’m quite curious to know so many varieties of vegetables and fruits growing in one plot of land.,嗨，liziqi-您正在展示带有水果花朵和蔬菜的果园。这些都是从您的花园和一个地方。我很想知道在一块土地上生长的蔬菜和水果这么多种。
3607,UgxUrVchsZe8KvWVnjF4AaABAg,0,2 years ago (edited),"those who are surprised to do the lisiqi alone and go to a turkish sheep and watch women for 1 day. my mother would get up like 4 5. cows, sheep used. he would boil the milk, he would separate a part for cheese. in the meantime, it would be 6 7, then hold on to the head ... 4 5 in separate places. he would collect the holdings, he would. in the meantime, ogle would also prepare the dinner. he nourished chickens, turkeys. the garden of the garden was three times the garden. there was a variety of vegetables, fruits, all of them sewing and large. he would raise the flour of the wheat, he would raise the aycicegini oil, he had a bostani, he had gone, he would go to the capalam, he would go to the capalam. and he would do it all alone. my grandfather would never help. there was no haasik mak, there was no camasir. he used to make the renovation job of the house, his paint, his whitewash, the roof ... so the peasant turkish woman is more difficult than the secret. it's not just photogenic like it. otherwise, the job load is more heavy. there is no child in this. my mother would also look at her 4 grandchildren.",那些惊讶地独自做Lisiqi并去土耳其绵羊看女人一天的人感到惊讶。我妈妈会起床大约4 5。牛，绵羊用了。他会煮牛奶，他会分开奶酪的零件。同时，它将是6 7，然后握在头上... 4 5在不同的地方。他会收集股份。同时，Ogle还将准备晚餐。他养育了鸡，火鸡。花园的花园是花园的三倍。有各种各样的蔬菜，水果，都缝制和大。他会抚养小麦的面粉，他会抚养艾西西吉油，他有一个波斯塔尼，他去了，他会去卡帕拉姆，他会去卡帕拉姆。他会独自做到这一点。我的祖父永远不会有帮助。没有Haasik Mak，没有Camasir。他曾经做过房屋的翻新工作，他的油漆，粉饰，屋顶……所以农民土耳其妇女比秘密要困难。不仅是上镜的。否则，工作负荷更为重。这没有孩子。我母亲还会看她的4个孙子。
4070,Ugx73oS3J0Hdc92oqJ94AaABAg,0,2 years ago,garden supper,花园晚餐
4290,UgwZwA4wR1AT-b6mgkZ4AaABAg,0,2 years ago,"who always fails to understand and is always curious about how he overcomes plant pests in his garden, the results of his garden always look quality: d",谁总是不了解，并且总是对他如何克服花园中的植物害虫感到好奇，他的花园的结果总是看起来质量：D
4317,UgzAI-L89LIUvTkVHR94AaABAg,0,2 years ago,the most abundant garden ive ever seen,有史以来最丰富的花园
4759,UgzeAliRHFdFB7tlmtV4AaABAg.9IgQj_sbQSt9JViQQdoW3p,0,2 years ago,classic kid hi .... definitely like gardening .. he,经典的孩子嗨....绝对喜欢园艺..他
6224,Ugxlu9k8UgXY85IUwJ14AaABAg,0,2 years ago,what's on your plate? garden or cemeterio?,盘子上有什么？花园还是Cemeterio？
4982,UgwUk4PPGQzsL7KKTI14AaABAg,0,2 years ago (edited),does she live in the garden of eden? lol,她住在伊甸园吗？哈哈
5259,UgwF0fdUDgD_3zGX4sl4AaABAg,0,2 years ago,"you are really an amazing woman! i just hope someday i will get a chance to visit and tour your garden, itโ€s a paradise! canโ€t wait to watch your incoming videos..take care always!mmmwah!",你真的是一个了不起的女人！我只希望有一天我会有机会参观和参观您的花园，这是一个天堂！迫不及待地想看您的传入视频。永远照顾！嗯！
5320,UgyjCUaj0xNek1DWv_Z4AaABAg,0,2 years ago,surprised how can all food ingredient so easy in this paradise garden. i wish l can live there.,惊讶的是，在这个天堂花园中，如何所有食品成分都那么容易。我希望我能住在那里。
5359,Ugz2wsIqgBDsN3wzSyZ4AaABAg,0,2 years ago,"i'm asian and i live in canada now. i miss this life. i miss having all you need in your backyard. i miss raising pigs, goats, and cows. i miss having fresh eggs for breakfast every morning. and having to take care of the chickens and ducks so they stay healthy so they keep bringing eggs. i miss cooking vegetables that you harvest from your own garden. going to the river to gather clams and snails. i miss my simple life back home. now i'm stuck working in a concrete jungle. we always want to run towards better opportunity but, the heart always belong at home.",我是亚洲人，现在住在加拿大。我想念这一生。我想念您在后院拥有的一切。我想念养猪，山羊和牛。我想念每天早上吃早餐的新鲜鸡蛋。并且必须照顾鸡肉和鸭子，以便它们保持健康，以便继续带鸡蛋。我想念您从自己的花园收获的烹饪蔬菜。去河流收集蛤和蜗牛。我想念我简单的生活。现在，我被困在混凝土丛林中。我们总是想朝着更好的机会奔波，但是，心脏总是属于家。
5383,Ugyq6VuL9Qs60ear4DB4AaABAg,0,2 years ago,"i look for hours ... i like to look so much. after work i lie rest and look .. it soothes so, looking at how they work and prepare something very tasty and beautiful. there is no translation, i try to understand so. i find a useful one for myself .. i am also interested in the garden and landing ... i really want to learn something to cook something else .. the girl is very cute and beautiful, hardworking .. it is very nice to look at her labors . everything is very beautiful, and i really like that they love my grandmother so .. i donโ€t even know .. i wonโ€t be young with a young one .. but i would like at least a little, such care in old age .. thank you! your videos let your soul enjoy and rest.",我看几个小时...我喜欢看很多。下班后，我躺在休息和看。没有翻译，我试图理解。我为自己找到了一个有用的。我也对花园和着陆感兴趣...我真的很想学习一些东西来烹饪其他东西。美丽，勤奋..看着她的劳动真是太好了。一切都很漂亮，我真的很喜欢他们爱我的祖母，所以..我什至不知道..我不会和一个年轻的人在一起..但是，我至少想要一点点，这样的照顾。.谢谢！您的视频让您的灵魂享受和休息。
5665,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9IsUfr9d_7g,0,2 years ago,"@anne-mz9cj if you look at her videos, her gardens are incredibly lush with tons of non-animal food. if anyone can be vegan, it's her.",@anne-mz9cj，如果您看她的视频，她的花园将非常郁郁葱葱，含有大量的非动物食品。如果有人可以成为素食主义者，那就是她。
5731,Ugx4FJrMWFTL0zLyGGp4AaABAg,0,2 years ago (edited),"the same simple life in the village, the way to cook is also exactly the same, gardening, then the cooking tools are exactly the same as the indonesian state. maybe because i used to be colonized by japan, there was an influence of similarity. i like it japanese โฅ ๏ธ โฅ ๏ธ",在村庄的生活方式相同，烹饪方式也完全相同，园艺，然后烹饪工具与印度尼西亚国家完全相同。也许是因为我曾经被日本殖民，所以有相似之处。我喜欢日本♥️♥️
5752,UgyGV7CauyqLRi4HgGt4AaABAg,0,2 years ago,her garden is like tesco.,她的花园就像乐购。
5768,Ugz4aIb7kz2gCTu7JI14AaABAg,0,2 years ago,everything is gardenfresh,一切都是gardenfresh
5867,UgzlhAyktodWiOeVsKF4AaABAg,0,2 years ago,i also like to be like this because the green garden is soo good nature to survive,我也喜欢这样，因为绿色花园是如此的天性，可以生存
6059,UgxsnsDTIITzGSsfuqx4AaABAg.9F2zISM56H29FLLE32Fm58,0,2 years ago,"in rural china, many people have such a ""small garden"".","在中国农村，许多人有这样的""小花园""。"
6105,UgxsoGIivf5QyxdC6LB4AaABAg,0,2 years ago,u impress me...we have a terrace garden and close to mother nature and gives joy,你给我留下了深刻的印象...我们有一个露台花园，靠近大自然，并给予欢乐
6114,Ugx6XXSdWj_ai9jLjQN4AaABAg,0,2 years ago,sound like garden escape,听起来像花园逃生
11907,Ugw3ptlswXQGd766gG14AaABAg,0,3 years ago (edited),she goes to the garden and great video please visit my youtube channel,她去花园，很棒的视频请访问我的YouTube频道
12198,UgyPZR8FHanBZd8iCDd4AaABAg,0,3 years ago,wow! you're amazing! lovely garden vegetable,哇！你太棒了！可爱的花园蔬菜
22617,UgwimTwcUfkgJDA9Y714AaABAg,0,3 years ago,luckily we also have these vegetables garden... it's so fresh.. n bamboo shoot.. just delicious,幸运的是，我们也有这些蔬菜花园...太新鲜了.. n竹芽。
12266,UgzFxDJXiK0CYmKetRp4AaABAg,0,3 years ago,"imagine you live in the countryside, eat what in your garden, healthy way. no stupid ccp viruses and no anxiety.",想象一下，您住在乡村，在花园里吃什么，健康的方式。没有愚蠢的CCP病毒，也没有焦虑。
18209,Ugxz5JQuLblXKb0lOwh4AaABAg,0,3 years ago,"i cannot imagine how much she needs to do to have such a big garden. she must hire many workers to do the gardening. i only have a few trees, some flowers, and lawn in my garden, i have to hire someone to do the gardening.",我无法想象她有多少大花园需要做多少。她必须雇用许多工人进行园艺。我在花园里只有几棵树，一些花和草坪，我必须雇用某人去做园艺。
19121,UgwIJmtUlWWoyTSKIPd4AaABAg,0,3 years ago,"i am so hungry at the slurping sound at the end
,it is kindda hard to sustain a house so big with garden and plants too","我对末端的声音很饿
，Kindda很难维持一个如此大的房子和花园和植物"
19163,UgwDGw_OLlVUqZJ4nbh4AaABAg,0,3 years ago,that meal looks very tasty (i already wanted to eat) ... the girl who cosina very beautiful ... and above all very important is that she is going to look for her fresh ingredients of her garden ....! and happiness of that family !!,那顿饭看起来很美味（我已经想吃了）... cosina非常漂亮的女孩……最重要的是她要寻找她的花园的新鲜食材....！那个家庭！
19169,Ugymc0vs_086451xTyF4AaABAg,0,3 years ago,"flowers? in the garden. chilli? in the garden. fish? also in the garden. she probably got the best garden in the world, like, whatever she needs, it’s right there outside",花朵？在花园里。辣椒？在花园里。鱼？也在花园里。她可能拥有世界上最好的花园，就像她需要的那样，它就在外面
19253,Ugz4DR9zp0sBqD6g_np4AaABAg,0,3 years ago,"has anyone else noticed that from garden or wild harvest all of the produce was pristine without a hint of insect predation? in the us i can't even grow produce without a barrier cover over it and they still get inside. the video production values and content were exceptional. except for a couple of vegan epileptic fits (i'm better now) over the snails and the canadian fat back, the meals were absolutely delicious (i could taste them vicariously). use of traditional fermentation crocks was a refreshing sight. this was my first video introduction to this channel and what a video.",是否有人注意到，从花园或野生收获中，所有农产品都是原始的，没有昆虫捕食的迹象？在美国，我什至无法在没有障碍物覆盖的情况下生长农产品，他们仍然进入内部。视频生产价值和内容非常出色。除了蜗牛和加拿大脂肪的几个纯素食癫痫病（我现在更好）外，饭菜绝对美味（我可以替代地品尝它们）。使用传统发酵锅是令人耳目一新的景象。这是我第一次对此频道的视频介绍，以及什么视频。
19385,UgwNGXbugtY3DGMFlW54AaABAg,0,3 years ago (edited),the beauty that is put into the filming of this is amazing. been vegan for 55 years everything is perfect but the animal that's not alive in here. but if somebody chose and had the land they could live this way without the animal added. there could be videos of how to make tofu or eat beans. she certainly has a large enough garden to create any version of this that anybody would love. this still has less dead animals in a burger king commercial. i'll focus on the garden in the bamboo forest and hope that all that waste gets composted.,拍摄中的美丽是惊人的。素食主义者已有55年了，一切都是完美的，但是这里没有活着的动物。但是，如果有人选择并拥有土地，他们可以这样生活，而没有添加动物。可能会有有关如何制作豆腐或吃豆类的视频。她当然有一个足够大的花园来创建任何人都会喜欢的任何版本。在汉堡王广告中，这仍然具有较少的死动物。我将专注于竹林的花园，并希望所有废物都堆肥。
19450,UgxnU4HKBzjq0ZmVwQF4AaABAg,0,3 years ago,"she is a skilled chef for sure, and the video editing is excellent. but there are things i wish the director catches or she can improve. an obvious one is the way she picks her vegetables, it appears she does not care about the garden and she is simply acting, since she often picks vegetables with roots. if you know anything about maintaining a garden, then you know there are things that you should not pick the roots on, such as the mushroom in the video.",她肯定是一位熟练的厨师，视频编辑非常好。但是我希望导演能抓住一些事情，否则她可以改善。显而易见的是她采摘蔬菜的方式，看来她不在乎花园，而她只是在表演，因为她经常用根挑选蔬菜。如果您对维护花园有所了解，那么您知道有些东西不应该扎根，例如视频中的蘑菇。
19657,Ugyg3vdzEWZAZ7R8Rul4AaABAg,0,3 years ago,a very nice garden,一个非常好的花园
19789,UgwyGr1XsNsMTz8p7u54AaABAg,0,3 years ago,"the bird loves the old forest, and the pond fish thinks about the yuan.
open up the south field and keep the clumsy return to garden.","羁鸟恋旧林，池鱼思故渊。
开荒南野际，守拙归园田。"
19826,UgyeTL_3S3_PyD1yWeJ4AaABAg,0,3 years ago,she almost definitely has 2-3 people helping. making these videos is probably a whole weeks worth of work just for the video editing. and that garden and farm are large enough that no person could easily manage it alone. especially in a climate as productive as taiwan's.,她几乎肯定有2-3个人提供帮助。制作这些视频可能只是为了进行视频编辑而进行的整整一周的工作。那个花园和农场足够大，没有人可以轻松地独自管理它。特别是在像台湾一样富有成效的气候下。
20270,UgwG5HjPJaD0BjNOJyt4AaABAg,0,3 years ago,like the garden all sorts of fruits and vegetables,像花园各种水果和蔬菜
20364,UgwlHGWdH6l29S9FhrF4AaABAg,0,3 years ago,i wish i had such a garden to live.,我希望我有这样一个花园。
20440,Ugyyya9H7QTTedOaql14AaABAg.90sW5w5mbqW917BGC7CCIT,0,3 years ago,"i think her grandparents, especially her grandma, built and tended to that amazing garden. so yes, god's gift would be grandma's hard work and gardening talents",我认为她的祖父母，尤其是她的祖母，建造并倾向于那个惊人的花园。是的，上帝的礼物将是奶奶的辛勤工作和园艺才华
20467,Ugx4JYoczCx_aSBeMVJ4AaABAg,0,3 years ago,i was fascinated by her garden full of veggies.,我的花园里满是蔬菜。
20727,UgzsXant0Cf4IqQ-nhp4AaABAg,0,3 years ago,"the tree is the garden, so the garden is sick",树是花园，所以花园生病了
20797,UgxPoXWkQuPhcGV_L2B4AaABAg,0,3 years ago,"why is she so devouring...she wants to eat so much in one day for that she will kill hundred of snails, young bamboo shoot and rob the garden of their herbs....there is only two people for whom she has to cook....why cooking so much...",她为什么这么吞噬...她想在一天之内吃得这么多，以至于她会杀死数百个蜗牛，年轻的竹芽和抢劫他们的花园。...做饭....为什么做这么多...
20880,UgxXjZ8LZlKGHPiDMUZ4AaABAg,0,3 years ago,i can have my whole life around the garden and eat the dish i cook. life does not squeeze :),我可以在花园周围度过一生，吃我煮的菜。生活不会挤压:)
21228,UgzEu6shTJG54BBe5954AaABAg,0,3 years ago,"i wish i had a garden like that, just go and pluck everything i need and a good wife to do the cooking",我希望我有一个这样的花园，只要去拉我需要的一切和一个好妻子做饭
21617,UgzkjNe26Mo_0IHU0mV4AaABAg,0,3 years ago,i don’t have her great garden with everything in the world in it. but i do have 8 eggs to collect everyday and some asian vegetables with herbs need my watering,我没有她的大花园，其中有世界上的所有东西。但是我每天都有8个鸡蛋可以收集，一些用草药的亚洲蔬菜需要我的浇水
21650,Ugyk7spdNIHCwh_gpxR4AaABAg,0,3 years ago,"don't eat anymore, you have such a beautiful botanical garden, you can eat plants alone",不要再吃荤了，你有那么漂亮的植物园，可以光吃植物就够了
21720,UgybD_KUwZC2Xnx1bOl4AaABAg,0,3 years ago,her garden is supermarket,她的花园是超市
21837,Ugxw1MMAwZWkU7ht1hR4AaABAg,0,3 years ago,"idk but i love the view,place and the vast garden ♥",idk，但我喜欢景色，地方和广阔的花园♥
21869,Ugwkvkt9d_wNW0fDHvx4AaABAg,0,3 years ago,i envy you for having a house that has a vegetable and fruit garden:)),我羡慕你有一所植物和水果花园的房子:)）
21874,UgxStu9HbpRRvgtLM3V4AaABAg,0,3 years ago,i like your garden.,我喜欢你的花园。
21973,UgxH_kub-FzWGXdzaBh4AaABAg,0,3 years ago,ay have a really beautiful garden so big,嗯，有一个非常美丽的花园太大了
22314,Ugx26ftdkY9Rbhih-yR4AaABAg,0,3 years ago,li must borrow other people's home garden,李必须借其他人的家庭花园
22344,UgyycEVFtZDnOzNU0_R4AaABAg,0,3 years ago,"before, i'd like to have a big house. now, i like to have a big vegetable garden...",以前，我想拥有一个大房子。现在，我喜欢有一个大菜园...
22360,UgxOt7EXXWcVeX2mvhh4AaABAg,0,3 years ago,the garden is very livable. the food is delicious.,花园很宜居。食物很好吃。
22442,UgxMn-j-jQPVKxoUcIh4AaABAg,0,3 years ago,"you should marry me . so you can cook for me , i'll be sleeping somewhere in the garden,wake me up when the food is ready hahaha",你应该嫁给我。这样你就可以为我做饭，我会在花园里的某个地方睡觉，食物准备就绪时叫醒我
17785,UgwIuinJuCfFMZ7fMdV4AaABAg,0,3 years ago,"liziqi, i want see your home and garden",liziqi，我想见你的家和花园
17667,Ugx-789caf4xMxmb2Ah4AaABAg,0,3 years ago,"sichuan is a good place, what grows. there are many varieties of vegetables and vegetables in the garden.",四川是好地方，种什么长什么。园里好多品种蔬果。
17474,UgzgxlneSPaQ6qpNGdB4AaABAg,0,3 years ago,"i just love everything i see on her video, from garden to cooking its all amazing! keep it up!",我只是喜欢我在她的视频中看到的一切，从花园到烹饪都很棒！继续努力吧！
14276,Ugx9D8Tr9aFMQcGolAJ4AaABAg,0,3 years ago,i would love to take care of a garden like that. this lady is awesome and i love how she takes care of her elders.,我很想照顾这样的花园。这位女士很棒，我喜欢她如何照顾长者。
12354,UgxxgRlFHqfW0-Bb0cd4AaABAg,0,3 years ago,i want to live like this... so many 's so peaceful.. baking cooking without the recipe book and all is fresh from the garden.. plenty of,我想这样生活...这么多plant蔬菜
12359,UgzzjWt_85U_h49FNwF4AaABAg,0,3 years ago,i would kill for a woman like her a big to far but u get what i mean i would help her out with the cooking and gardening she cute af,我会为像她这样的女人杀死一个大而远，但你明白了我的意思我会帮助她做饭和园艺，她可爱的AF
12558,Ugzj8UgBMrSqJItdNx54AaABAg,0,3 years ago (edited),the everything woman plants crops harvests climbs mountains swims rivers has a whole grocery store of food in the forest has acres and acres and acres of a cultivated garden works all manner of wonderment makes clothes makes utensils maintains 100 acre estate all by herself washes clothes makes clothes out of spider webs the wonder woman cooks all manner of fine cuisine. wow finds all manner and types of rare plants and mushrooms just a few feet into the woods,女人植物作物收获的所有东西攀登山脉河流河流在森林里有整个杂货店的食物，那里有英亩，英亩和一英亩的耕地花园作品，各种各样的奇观使衣服使餐具维护100英亩的庄园从蜘蛛网中脱颖而出，《神力女超人》烹饪各种美食。哇，发现各种方式和类型的稀有植物和蘑菇，仅几英尺
