,cid,votes,time,含fake,含fake中文翻译
32031,UgxxeH8Siw90ZkOryrV4AaABAg.8w-QnfZHEcm8w1wtq4EaT0,0,4 years ago,"@helix0606 a) she never gets dirty, b) her hands are immaculate, even after doing hard labor, c) they would have to cut literally days of footage, some of those jobs take a long time and - for example - in one video it makes it look like she puts together a whole room of furniture in a couple hours, d) anyone who has ever done anything even remotely like anything she does in her videos knows it's fake, it doesn't look real at all. scary that so many people have fallen for it.",@helix0606 a）她永远不会弄脏，b）她的手完美无瑕，即使在努力工作之后，c）他们将不得不从字面上剪下几天的镜头，其中一些工作需要很长时间，例如 - 在一个视频中 - 看起来就像她在几个小时内整理了整个家具的房间，d）任何曾经像她在视频中所做的任何事情一样做任何事情的人都知道它是假的，看起来根本不是真实的。令人恐惧的是，这么多人为此而堕落。
32030,UgxxeH8Siw90ZkOryrV4AaABAg.8w-QnfZHEcm8w1TlC9_V-V,0,4 years ago,why do you think their life style is fake?,您为什么认为他们的生活方式是假的？
32029,UgxxeH8Siw90ZkOryrV4AaABAg.8w-QnfZHEcm8w0oNrmww3Z,0,4 years ago,because it's clearly fake and everyone is going crazy thinking it's real.,因为这显然是假的，每个人都想到它是真实的。
7741,UgySXunOpmLYtwR9m8R4AaABAg,0,2 years ago,fake mews,假Mews
34191,UgysSQ43ZOAPGxXhzQN4AaABAg.8v99s_EOMMw8vT0zY2Brz5,0,4 years ago,"https://youtu.be/qa9w3wuwwae hong jon fake news,look",https://youtu.be/qa9w3wuwwae hong hong jon假新闻，看看
6008,UgzEqCYo4MWItFFqut54AaABAg.9N8rZzM3Gvy9NHJgHxTjwk,0,2 years ago,do not waste your time. its a fake website. try the original website liziqi. this website us called liziqi music.,不要浪费时间。它是一个假网站。尝试原始网站Liziqi。这个网站我们称为Liziqi Music。
35873,UgyliKxOOjRIOr8jicN4AaABAg,0,4 years ago,what about the fake noises? it's almost annoying.,那假噪音呢？这几乎很烦人。
4878,UgwAJuVn6EvkOhzdflF4AaABAg,0,1 year ago,very fake hua nong brothers laid a lot,很假 华农兄弟贴地很多
3145,Ugy3DlSlVVdS8ubejKJ4AaABAg,0,1 year ago (edited),"her life may be fake and staged and definitely not reflect the average chinese. but it still a beautiful thing she is doing
(some may say she is doing this alone but she is actually a millionaire have her own brand and a professional team)","她的生活可能是假的，上演了，绝对不能反映普通的中国人。但这仍然是她正在做的美丽的事情
（有人可能会说她是一个人这样做，但实际上她是百万富翁有自己的品牌和专业团队）"
49719,UgwXkHkhwMtTxLfzPz54AaABAg,0,4 years ago,"fake




life cant be perfect","伪造的




生活不能完美"
49342,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9KUcPDoLTiK,0,2 years ago,you know this is so fake right?,你知道这是假的吗？
47308,Ugy3IQPuQPukaHZGNAZ4AaABAg,0,4 years ago,i mean she can be totally fake but after all who cares? this is simply amazing.,我的意思是她可以是完全假的，但是毕竟谁在乎？这真是太神奇了。
4286,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9XfwgSkVW5_,0,1 year ago,"@diogomelo3705 no they’re not “staged” or fake at all. this is her real life and how she lives.
of course, she doesn’t do all the camera work herself, she has a couple other people helping her film.(including her little brother!) you can see them in a few videos eating together.","@diogomelo3705不，他们根本没有“上演”或伪造。这就是她的现实生活以及她的生活。
当然，她自己没有做所有的相机工作，她还有其他几个人在帮助她的电影。（包括她的弟弟！）您可以在几个视频中看到它们。"
46347,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rUT6bSCpu-,0,4 years ago,"wang hahaha 30 years ago, you salad 1200 and bought a house 200,000 at that time. now your salary is 20,000 and buy a house 1.2 million. you stupid will calculate too much hahaha, the price has not changed? in addition, the united states is the worst. there are fake vaccines in the united states? do you have toxic milk powder? are there ground groove oil? how many fakes are china? how to deal with the red, yellow and blue kindergarten incident? your brain was washed well by the communist party. hahaha",王哈哈哈 30年前你工资1200，当时买房20万。现在你工资20000，买房120万。你个傻逼太会算账了哈哈哈，物价没变？另外美国最差，美国有假疫苗？有毒奶粉？有地沟油？假货有中国多？红黄蓝幼儿园事件怎么处理的？你的脑子被共产党洗得好干净哈哈哈
46333,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r7PEaJWTcJ,0,4 years ago,"wang hahaha has eaten, eat ditch oil? do you have live, strong demolition, dangerous house? have money to spend, depreciate? do you eat too much trench oil? or is it fake vaccine? i hope that your descendants will eat ditch oil and fake vaccine hahaha and then the government forced your house.",王哈哈哈 有吃，吃地沟油？有住，强拆，危房？有钱花，贬值？你是地沟油吃多了？还是打假疫苗了？希望你子孙后代吃地沟油 打假疫苗 哈哈哈 然后政府强拆你家房子。
46060,UgwRTZQPhL6oxYiQCL54AaABAg,0,4 years ago,her video is really fake and fake,她的视频真是越来越假了
4951,Ugwp8QXBe2z_Vgp4uL54AaABAg,0,1 year ago,fake broadcast,假广播
36751,UgyBFsByfX56FHhNLdp4AaABAg,0,4 years ago,looks so fake y'all,看起来很虚假
43205,Ugxer743x7CbjLYgY8R4AaABAg,0,4 years ago,fake,伪造的
42166,Ugxo1aTAOsHr63SKZA94AaABAg,0,4 years ago,i thought that those fruits were the fake plastic fruits but nah they are legit !,我以为这些水果是假塑料水果，但不，它们是合法的！
41667,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8sH8OUB1h2a,0,4 years ago,"@theburchperch8666 i never used the word fake, i just said all it is shot like a movie with pre-planned directions, beautifully caught scenes and amazing cinematography. those are the facts. there is no need to even argue on this, it's not like i am hating on her something.",@theburchperch8666我从来没有使用过伪造的字，我只是说它的镜头像一部电影，带有预先计划的方向，精美的场景和令人惊叹的摄影作品。这些是事实。甚至无需为此争论，这并不是我讨厌她的事情。
41664,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8sDZjiCSryb,0,4 years ago,i don’t believe these lies. she is a hard worker and you people are saying it’s fake! why would she do all of this just to say it’s fake. it seems as if some on is a little i don’t know jealous! look at her videos! do they seem fake! i think not.,我不相信这些谎言。她是一个勤奋的人，你们说这是假的！她为什么要说这是假的。似乎有些人有点嫉妒！看她的视频！他们看起来是假的吗？我想不是。
41290,UgxV5lakBGIiQGwXqFZ4AaABAg,0,4 years ago,the popcorn is a bit fake,爆米花得反应有点假
39464,UgyTPJzdm3bw7G98su54AaABAg,0,4 years ago,this bitch fake shes putting on a front for the camera,这个bit子假的她把相机放在前面
39122,UgxrRh-zOM7q63WUfQd4AaABAg,0,4 years ago,looks like china created a fake character and posted it on american youtube,看起来中国创造了一个假角色，并将其发布在美国YouTube上
31045,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xM4h_dr3yk,0,3 years ago,"@aahhh!! ah ok then. but i disliked it not because it's a fake life or whatsoever. even it isn't her real life, the whole production is beautiful. i disliked the video because how she treated the puppies. commenting on the above backlashes towards me above about me judging her real life, i don't see any button to dislike her whole life. only like and dislike button for the video. period.",@aahhh！啊，好。但是我不喜欢它，不是因为它是虚假的生活或任何东西。即使不是她的现实生活，整个作品也很美。我不喜欢视频，因为她如何对待小狗。关于上述我对我的现实生活的反对，我对我的真实生活有任何反对，我看不到任何一生都不喜欢她的按钮。只喜欢和不喜欢视频的按钮。时期。
7814,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JQDOmwDICV,0,2 years ago,"@12vtbfx37 i saw that you wrote down that you are our chinese, then how do you fucking do youtube? that's illegal..! in world war ii, we were dominated by japan, and we've never heard of anything related to china. it's all fake and the only real thing is the coronavirus in china. and there's a star pattern on the chinese flag, right? since the star shape started with egypt, you don't seem to deserve to say anything about the taegeukgi. and i just told you about kimchi, why is the story leaking to another place? do you have any evidence to say that you want to take away the kimchi culture? please don't think that china is the center of the world! the population is huge and the production per person is lower than that of korea",@12vtbfx37我看到你写下来说你是我们的中国人，那你怎么他妈的youtube？那是非法的..！在第二次世界大战中，我们被日本统治了，我们从未听说过与中国有关的任何事情。这都是假的，唯一的真实是中国的冠状病毒。而且中国国旗上有一个星形图案，对吗？由于明星形状始于埃及，因此您似乎不应该对Taegeukgi说任何话。我只是告诉您有关泡菜的情况，为什么这个故事泄漏到另一个地方？您是否有证据表明您想带走泡菜文化？请不要以为中国是世界的中心！人口庞大，人均产量低于韩国
8461,UgwPoTpWMAaTT5If8QB4AaABAg,0,2 years ago,"@(now china) 10 civilizations.
let's understand the culture that began in the country on the mainland when there was a country in china and the culture that started in china.
in summary, it can be said that it is the top 10 civilizations of the mainland.
that is the plague (pest), foot binding, burning books, confucianism, mao zedong, cultural revolution, tiananmen revolution, sars (sars), huangsha, wuhan pneumonia (covid-19), fake imitation row.

the four major inventions advocated by modern china or most of the culture of china called the originator of their originator are false, or the culture of other countries, and advocate that china is the originator.
regardless of the past mainland countries and modern china, people's minds are empty.
in particular, the recent chinese people have been cross -wisdom by the communist party, and they have lost their wisdom of independent judgment.
therefore, they really believe that the communist party's false institutional is shouting the communist party every day, and china is the world's highest country.
the chinese who lived with the slavery of the communist party felt very desolate.
however, there is no need to feel pitiful or regretful, because the chinese are very happy because they do not realize their own situation.
so outsiders have no reason to destroy their happiness.

there are very few chinese people who know the heroes of chinese heroes mao zedong, and even those who know they dare not say.

mao zedong is a lascivious. he especially likes a 10 -year -old girl who is not adults and women.
it is said that the older women knew too much about the world and said that there was no innocence.
moreover, it is said that a woman who likes to have husbands, especially the low education level with low education level.
when he was in his 70s, in the local guidance, there was a husband who was in his early 20s. after asking the name, mao zedong wrote his name on the manual. dongxing encouraged the husband of the husband to divorce and dedicated it to mao zedong.
it is said that he and a husband who had a husband gave birth to a few illegitimate children.

mao zedong's sexual desire is very strong, and he is basic to his wife. he has a sexually transmitted disease and melamine disease.
therefore, women who have sex with mao zedong have this disease.
but those women were proud of the disease.
at that time, mao zedong, who was worshiped in china at the same time as the living god, was in the same bed, which was a very proud thing in itself.
instead, the facts of being infected with mao zedong's sexually transmitted diseases are used as a medal. this phenomenon can be said to be crazy.

mao zedong has never washed his genitals in his life.
once, his attending doctor li zhisui mentioned health issues. mao zedong said: ""i have been bathing in a woman's body, so it doesn't matter.""
not only that, the body itself did not clean it, and the river people wiped them with a wet towel.

mao zedong's tooth health is really bad, there is no brushing, and a bit of bitter tea from chinese tea often instead of brushing your teeth with bitter tea. a lot of.

@cannot be managed by this image to manage their own leaders, the chaotic leaders in private life, and the chinese brain of the chinese who regard the people who regard the people as a hero.
the chinese do have serious mental illness.
they should be locked in mainland china and should not let them come to the world to pollute the earth.
china is a malignant tumor of the earth, and the chinese are cancer cells that torture the earth.
therefore, in order to prevent the earth's disaster, all the chinese must be located in mainland china.","@亚洲大陆东部的国家(现在中国)10大文明。
让我们来了解一下大陆上存在中国以前的国家时开始的文化和现在始于中国的文化。
综合起来，可以说是大陆起源的10大文明。
那个是鼠疫(PEST)、缠足、 焚书坑儒、毛泽东、文化大革命、天安门革命、非典(SARS)、黄沙、武汉肺炎(COVID-19)、假货模仿排场。

现代中国主张的4大发明品或中国称其鼻祖的大部分文化是假的，或者偷窃其他国家的文化，主张中国是鼻祖。
无论是过去的大陆国家，还是现代的中国，人们的头脑都是空空的。
特别是最近的中国人被共产党所弩化，丧失了自主判断的智慧。
因此，他们真的相信共产党的虚假煽动，天天喊着共产党万岁，中国是世界最高的国家。
以这种共产党的奴隶生活的中国人感到非常凄凉。
但是，没有必要对此感到可怜或惋惜，这是因为中国人没有意识到自己的这种处境而感到非常幸福。
所以外人没有理由破坏他们的幸福。

@了解中国人英雄毛泽东现实的中国人很少，即使是知道的人也不敢说出口。

毛泽东是个好色之徒，特别喜欢不是成人女性的10多岁少女。
据说，上了年纪的女子们对世事过于了解，而且说没有纯真的味道。
而且据说喜欢有夫之妇，特别是喜欢教育水平较低的纯朴的农村妇女。
70多岁的时候，在当地指导时，有一个20岁出头的有夫之妇，毛泽东在问完名字后，在手册上写上自己的名字，非常喜欢，看到此情此景的心腹汪东兴怂恿有夫之妇的丈夫离婚，并献给了毛泽东。
据说他和有夫之妇生下了几个私生子。

毛泽东性欲很旺盛，对妻子不伦不类是基本，患有一种性病，三聚氰胺的疾病。
因此，与毛泽东发生性关系的女人都得了这种病。
但是那些女人反而为得了那个病而自豪。
当时与中国崇拜得如同活生生的神一样的毛泽东同床共枕，这本身就是一件非常值得骄傲的事情。
反而把一起感染毛泽东性病的事实当作一种勋章，这种现象可以说是疯了。

毛泽东一辈子都没有亲手洗过自己的生殖器。
有一次，他的主治医生李志绥提到卫生问题，毛泽东说:""一直在女人的体内洗澡，所以没关系。"" 
不仅如此，身体本身也没有洗干净，河人们用湿毛巾擦身。

毛泽东的牙齿健康确实很糟糕，没有刷牙，而且经常喝中国茶的一种苦茶，用苦茶代替刷牙，所以牙齿健康非常不好，牙石和食物残渣很多，牙龈都积满了脓，蛀牙也很多。

@不能用这种形象管理自己的领导人、私生活混乱的领导人、把百姓视为自己玩物力的领导人视为英雄的中国人的大脑，不能不说是研究对象。
中国人确实患有严重的精神病。
应该把他们关在中国大陆，不应该让他们来到世界污染地球。
中国是地球的恶性肿瘤，中国人是折磨地球的癌细胞。
因此，要想阻止地球发生大灾难，必须将中国人全部关到死为止中国大陆内。"
7889,UgxHBaEAycFgYFmTkzt4AaABAg,0,2 years ago,you all know shes just acting this out and its all fake right?,你们都知道她只是做到这一点，这都是假的吗？
14256,Ugw9KU9_5qXdYaUNr-14AaABAg,0,2 years ago,"i disliked this video:)
there's a huge team of ppl who make all these snacks and grow the vegetables and fruits for her. which she never mentions in her video.
she makes everyone think this is the life that you can have in the countryside, when the truth is, your probably gonna need 20 slaves if you want the life in the video.(or if your rich enough to afford 20 servants)
anyways, it's the very common way of getting famous on the internet, by making fake videos. she's fooling everyone but hardly anyone can see it. 
hands down to the 28k dislikers","我不喜欢这个视频:)
有一支庞大的PPL团队，为她制作所有这些小吃，并为她种植蔬菜和水果。她从未在视频中提到过。
她让每个人都认为这是您在乡村拥有的生活，当真相是，如果您想要视频中的生活，您可能需要20个奴隶。
无论如何，这是通过制作虚假视频在互联网上闻名的非常普遍的方式。她在欺骗所有人，但几乎没有人看到它。
动手28k的不喜欢人"
25076,UgyN3t0io-ed8IAg4r94AaABAg,0,3 years ago,good fake video!,好假的视频！
25075,Ugz0xc5EIKQJZx3-58h4AaABAg,0,3 years ago,it's fake than the spring festival gala!,比春晚还假！
24993,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW91gYdOecIEw,0,3 years ago,"@oc-cpa finally you came up with a good question in the last of your reply? yes, why a miserable chinese who doesn't have the freedom of speech or freedom of press could even show up in this website? shouldn't you questioning about what you have been told by the western media now? you are so self-righteous to say people are worldview distorted and brainwashed bla bla by only knowing that i'm a chinese and i speak for china. look who is brainwashed now? i think a mature adult should know to see things dialectically. we or i never say that xi made himself president for life is right or good. actually we were very upset with this even though we know that chinese political system is originally not democratic. but after thinking about the time when all my americans friends had to choose a worse president out of the worst, and the time when the british ordinary voted for brexit but was shocked by the result because they were suppose to vote it for fun, i do think that it might not be a bad thing. because ordinary people have no idea what and who they are voting(americans votes for what they have been promised by the candidates, but god knows if the promises can really became real. most of the time they are fulled by the candidates, or in the end the voted president didn't make his promise come true if though they might want to keep his promises). if xi is a good president and can lead the chinese to better economy and a more united country, why could let him be a life president? i know you would start your noble democracy literature like other westerners. but fuck off democracy! democracy is not the only right way to run a country. actually, is democracy a right way is a good question as well. look at how the democracy has decreased or stopped the economy in most western countries! even america, look at how old their highways are and the terrible road conditions; the average annually income hasn't change much in 10 years, not even mentioning other western countries. they are falling. i like what the former president of singapore lee kuan yew said: countries like us who need to catch up do not need democracy. we have to gather our resources and use it to one and only goal. that is what suitable for us. and now look at what a marvelous country he managed to build from nothing! no homeless, super safe society with diverse culture and people from different background. thus your democracy doesn't work and suits others. don't be bully judging others by thinking only your way is the right way. that is very immature thought. but you are not immature in only that aspect, look at how funny you said about nathan rich. he said things you didn't familiar but contradict to what you thought then you said this person has no integrity but just to please the chinese. why do you stop trying to be a truth-fighter now by criticizing about his content but instead to attack this person? cause you know you don't have the ability to say it out loud that what he had said was unreal. you want to but you cannot.only i and other who truly have ever lived in china can have that right to say if what he said is true or fake. we were arguing if the content in the western media is true or not right? why come to nathan rich's videos, you switched to just subjectively judging a person instead of arguing the objective video contents? so stop lecturing about your so called ""freedom of speech"" cause it's actually not existing in america either. youtube's algorithms has set limits to the reviews of videos which contents the authority don't want you to see. so don't be childish, believe what you have seen by your real eyes. that's why i recommend nathan rich's videos cause the chinese current situations described by him is the one i know of and experienced. i live outside china but i do go back every now and then. i worked and lived in the states from 2012-2018 in a world top tech company having top 5-10% american annually income, but i still feel the huge problems of american society. the extreme white left politicians, the stupid law of letting the criminals to go away if the assets amount they get from robbery or stealing is under $975, the unavoidable frequent car window broking robbery, the drug problem, the disgusting streets of sf with homeless and their shits. your democracy just don't work that well, ok? just accept the truth that not everyone want this and they can live a good life without this. after my american greencard application got current, i had to make a choice if i really wanted to live here and raised my child in a society like this. our answer was no and my family voted by our own feet--we moved out of the states. so all the above came from a person who had really lived in both china and america, sorry to let you down and snapped your face about your brainwashed and worldview distorted conclusion. but if you insist by saying this poor chinese is just so deeply brainwashed even your great truth teller western media couldn't save her back in 7 years, feel free to say so.",@oc-cpa终于在回复的最后一个回复中提出了一个很好的问题吗？是的，为什么一个没有言论自由或新闻自由的痛苦的中国人甚至会出现在本网站上？您现在不应该质疑西方媒体所告诉您的内容吗？您是如此自以为是，以至于人们只知道我是中国人，而我为中国说话，人们就被世界观扭曲和洗脑了。看谁现在被洗脑了？我认为一个成熟的成年人应该知道辩证的事情。我们或我从未说过习近平使自己终身总统是正确的。实际上，即使我们知道中国政治制度本来不是民主的，我们对此感到非常沮丧。但是，在考虑了我所有的美国人朋友都必须从最糟糕的情况下选择更糟糕的总统的时间，而英国普通人投票赞成英国脱欧，但对结果感到震惊，因为他们本来应该投票赞成娱乐，我确实如此认为这可能不是一件坏事。因为普通人不知道他们在投票的是什么（美国人都投票赞成候选人所承诺的东西，但上帝知道承诺是否真的可以变得真实。在大多数情况下，他们都被候选人或在结束选票的总统不会做出他的诺言，尽管他们可能想兑现他的诺言）。如果习近平是一名好总统，可以带领中国人走向更好的经济和更加统一的国家，为什么让他成为终身总统？我知道您会像其他西方人一样开始您的崇高民主文学。但是，滚蛋民主！民主并不是经营一个国家的唯一正确方法。实际上，民主是正确的方法也是一个很好的问题。看看大多数西方国家的民主如何减少或阻止经济！甚至美国，看看他们的高速公路年龄多大和可怕的道路状况。每年的平均收入在10年内没有变化太大，甚至没有提及其他西方国家。他们跌倒了。我喜欢新加坡前总统李·库恩（Lee Kuan Yew）所说的：像我们这样的国家，需要赶上的国家不需要民主。我们必须收集我们的资源，并将其用于一个唯一的目标。那就是适合我们的。现在看看他设法从一无所有地建立了一个奇妙的国家！没有各种文化和来自不同背景的人的无家可归，超级安全的社会。因此，您的民主不起作用并适合他人。不要通过仅思考自己的方式来欺负他人是正确的方法。那是非常不成熟的想法。但是，您并不是在这方面并不成熟，请看看您对Nathan Rich的说法有多有趣。他说您不熟悉的事情，但与您的想法相矛盾，然后您说这个人没有诚信，而只是为了取悦中国人。为什么您现在不再试图通过批评他的内容而试图成为真相战斗机，而要攻击这个人？因为您知道您没有能力大声说出他所说的是虚幻的。您想，但您不能。只有我和其他曾经住在中国的人可以说他说的是真的还是假的。我们在争论西方媒体中的内容是正确的吗？为什么要参加内森·里奇（Nathan Rich）的视频，您改用了主观评判一个人而不是争论客观视频内容？因此，不要再对您所谓的“言论自由”进行讲授，因为它实际上也不存在于美国。 YouTube的算法已设定了视频评论的限制，该视频内容不希望您看到。因此，不要幼稚，相信您的真实眼睛所看到的。这就是为什么我推荐内森·里奇（Nathan Rich）的视频，原因是他所描述的中国当前情况是我知道和经历的。我住在中国以外，但我不时地回去。从2012年至2018年，我在一家世界顶级科技公司中工作并居住在美国，每年获得5-10％的美国收入，但我仍然感到美国社会的巨大问题。极端白人左派政客，如果他们从抢劫或偷窃的资产金额不到975美元，那是让罪犯离开的愚蠢法律，这是不可避免的经常发生的车窗经纪抢劫，毒品问题，令人恶心他们的狗屎。您的民主制度不太好，好吗？只要接受并非每个人都想要这个的事实，没有这个，他们就可以过上美好的生活。在我的美国绿色申请中申请后，如果我真的想住在这里并在这样的社会中抚养我的孩子，我必须做出选择。我们的回答是否定的，我的家人用自己的脚投票 - 我们搬出了美国。因此，以上所有内容都来自一个真正生活在中国和美国的人，很抱歉让您失望，并为您的洗脑和世界观扭曲了结论。但是，如果您坚持说这个可怜的中国人被深深地洗脑了，即使您的伟大真相teller teller teller媒体无法在7年内拯救她，请随时这样说。
2498,UgwyV_XVAe4sJkxKQ8l4AaABAg,0,1 year ago,"it's more like filming, fake",比较像拍片，假假
23100,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92vyxQ-jakC,0,3 years ago,"this is not the case in china, these videos are deliberately faked.๏ผ๏ผ",在中国并非如此，这些视频是故意伪造的。
23008,UgzwIArQxzgy_Fx4cN94AaABAg,0,3 years ago,"fake fake fake fake,ๅๅๅๅ",假假假货，假假假假
22421,UgxX1FLgq1xGJowTfAh4AaABAg,0,3 years ago,"this is not the case in china, these videos are deliberately faked.๏ผ",在中国并非如此，这些视频是故意伪造的。
22072,Ugxlko-aCv8bm3F_QJp4AaABAg.935khYmvJJB938PoMRn4jX,0,3 years ago,"to be honest! thumbs up. it is false who said that li ziyi's video is fake. those who act in acting are either who did not fully understand or watched her complete video, or it is certain fecal chinese and foreign chinese and foreign chinese and china.",说地都是大实话！顶一个。说李子柒的视频是假的，是演戏的那些人要么就是没有完全了解或看过她的完整视频的人，要么就是极端仇视中国凡中必反的中外某些粪子。
21890,Ugzpdhjzla4y_OiTYHV4AaABAg,0,3 years ago (edited),"while the food and setup are indeed admirable, i hate what her videos are trying to portray: ""survival cooking, away from society bullcrap"". it's clearly fake, first she cooks a lot in one session, even 5 grown men cannot consume all of those. i hate to think she just throws it away after the ""show"". then look at how pristine the produce are. do you honestly think those are wildy grown? lmao. don't get me started about the cinematography either. this is clearly a full-blown studio production. it's not wrong, it's a good entertainment. i just hate that people are believing this to be realistic paradise setup.",虽然食物和设置确实令人钦佩，但我讨厌她的视频试图描绘的内容：“生存烹饪，远离社会斗牛”。这显然是假的，首先她在一次会议上做了很多东西，即使有5个成年男子也不能消耗所有这些。我讨厌认为她只是在“表演”之后扔掉了它。然后看看农产品的原始程度。老实说，您认为那些是狂野的成长吗？ lmao。也不要让我开始摄影。显然，这是一个成熟的录音棚。这没错，这是一个很好的娱乐。我只是讨厌人们认为这是现实的天堂设置。
21876,Ugwt4aYPm1TIawoJIiB4AaABAg,0,3 years ago (edited),"fact : ็ฒๅฑฑ , this video : fake",事实：盲山，此视频：假
21771,Ugzwx-4196hFJxN3ceJ4AaABAg.93LBik03GBN93LCXoErxnI,0,3 years ago,i can't believe it's in mianyang๏ผis my stay in china fake?my home is 100 kilometers from mianyang๏ผwhere is such a peaceful place?china's rural areas are definitely not like this! absolutely!,我不敢相信它在米安扬（Mianyang），我在中国的住宿是假的吗？我的家距离米扬（Mianyang）100公里，这是一个和平的地方？中国的农村地区绝对不是这样！绝对地！
15591,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9AXutlupnKp,0,2 years ago,"lindsey rubenstein apparently, you have no knowledge about the popcorn thing in rural area in china. i’m older than ziqi but i’m scared of that popcorn “machine” since i was a child. and it has become a kinda culture that children and adults gather together to wait for that bam although they are all scared of it. this culture has been carried on from generation by generation. she has two assistants to help her shooting videos, but doesn’t mean her life is fake. sadly, some people like you grown up in cities tend to assume an ideal life fake since you can’t appreciate such pure beauty generated from nature.",Lindsey Rubenstein显然，您对中国农村地区的爆米花事物一无所知。我比Ziqi大，但我从小就害怕那个爆米花的“机器”。这已经成为一种有点文化，尽管他们都害怕这种BAM，但儿童和成年人聚集在一起等待该BAM。这种文化是通过代代相传的。她有两名助手来帮助她拍摄视频，但并不意味着她的生活是假的。可悲的是，像您在城市长大的人这样的人往往会假定一个理想的生活，因为您无法欣赏自然界产生的纯粹美。
21682,UgwwCFHg5aIWAgqeV5h4AaABAg,0,3 years ago (edited),this is fake m. but it's cute and fun...,这是假的。但这很可爱又有趣...
21061,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9RzuZJpNqEL,0,1 year ago,"@idontcarei well, u make others to prove that she is not fake, but u also got no real things to prove she is fake so why do u spent all that time arguing with others just try to be a hater๐คฆ๐ปโ€โ€๏ธu just made all the things up in ur mind and u think thatโ€s the truth. if i were u, at least iโ€ll do some research to make my words seem more reasonable.",@idontcarei好吧，你让别人证明她不是假的，但是你也没有真实的东西来证明她是假的，所以你为什么花所有的时间与他人争论，只是想成为一个hater
16046,Ugw9KPxs74U_HV0CQJR4AaABAg,0,3 years ago,it looks all super fake... what is the concept?,它看起来都超级假...这是什么概念？
20838,UgxQu6Je2qFycJl8tgV4AaABAg,0,3 years ago (edited),everything about this is just to perfect. that tells me that this is fake. to many people are homesteading and they don't have time to do all this stuff.,关于这一切的一切都是完美的。那告诉我这是假的。对于许多人来说，他们是宅基地，他们没有时间去做所有这些事情。
20517,Ugw2qrFeVZc69JTI45N4AaABAg,0,3 years ago,what a fake set up ..its damn good though ...i hope ppl dont think that this is real life in china ...,真是个假装..它该死的好...我希望PPL不要认为这是中国的现实生活...
18608,UgxGGOHl9KDGlX_1zE14AaABAg,0,3 years ago,fake video,假视频
19428,Ugzl76NNvILu7QRFzD94AaABAg,0,3 years ago,"it's a bit fake. listening to the sound of popcorn still jumped up, sister, are you 10 years old?",有点假，听个爆米花的声音还跳起来，姐姐，您过了10岁了吧？
14981,UgzgSsSF6QlUD5qjmrN4AaABAg,0,2 years ago,5:13 cleary that not a fake back ground,5:13 Cleary不是假的背景
26140,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-B_m0U3lLe,0,3 years ago,"yazmine jasmine this is only a small part of people in my country, they suffer the life and jealous with others achievementโ€”thereby satisfying themselves. so disgusting, they just slandered and faked the story.",Yazmine Jasmine这只是我国的一小部分，他们遭受了生活和嫉妒他人的成就 - 在其中满足自己。如此令人作呕，他们只是诽谤并伪造了这个故事。
20440,UgxqI8-Rj1X35JtrBRR4AaABAg,0,3 years ago,the art film is so good! like! although this is a fake rural life. but it is really good.,艺术片拍得太好了！点赞！虽然，这是假的田园生活。但是，真的不错。
26148,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-ShZdoVz5w,0,3 years ago,"amy gao it is beautiful but fake, and even dirty and ugly behind the scene, just like most things in chinese these days. expressing dislike is far not enough but feel shame. i am not hater but just tell people the truth that this video is a not (her) real (life). the haters who hate telling the true please leave me alone otherwise i will only speak louder.",艾米高（Amy Gao）很漂亮，但是假货，甚至在现场的肮脏和丑陋，就像如今中文中的大多数事情一样。表达的不满是不够的，但会感到羞耻。我不是仇恨者，而只是告诉人们这个视频不是（她）真实的（生活）的真相。讨厌说真的的仇恨者，请让我一个人呆着，否则我只会大声说话。
9535,UgzQApu6F8UJXcCmYAV4AaABAg,0,2 years ago (edited),this piece of shit is just a scam show. she is super rich and was never from any village infact she was a dj girl and a big company in china is making this fake stories and video about her. stop supporting this covid 19,这件事只是一个骗局。她超级富有，从来没有来自任何村庄，她是一个DJ女孩，中国的一家大公司正在制作有关她的虚假故事和视频。停止支持这一Covid 19
